,af,aspect,polarities
1420,"Die sushi was nie net vars nie, maar hulle het ook ander voorgeregte bedien, sodat elke gas iets kon kies en ons is almal gelukkig (probeer die eend!",Eend,positive
1424,"Die sushi was nie net vars nie, maar hulle het ook ander voorgeregte bedien, sodat elke gas iets kon kies en ons is almal gelukkig (probeer die eend!",voorgeregte,neutral
1426,"Die sushi was nie net vars nie, maar hulle het ook ander voorgeregte bedien, sodat elke gas iets kon kies en ons is almal gelukkig (probeer die eend!",soesji,positive
1430,"Die diens was 'n bietjie stadig en die porsies is 'n bietjie klein, so as jy honger is en haastig is, is dit nie die plek vir jou nie.",Gedeeltes,negative
1434,"Die diens was 'n bietjie stadig en die porsies is 'n bietjie klein, so as jy honger is en haastig is, is dit nie die plek vir jou nie.",Diens,negative
1438,"Heerlike kos, heerlike drankies, lekker eetatmosfeer.",Drinkgoed,positive
1442,"Heerlike kos, heerlike drankies, lekker eetatmosfeer.",eetkamer atmosfeer,positive
1446,"Heerlike kos, heerlike drankies, lekker eetatmosfeer.",Kos,positive
1450,"Maar aandete hier is nooit teleurstellend nie, al is die pryse 'n bietjie te hoog.",Pryse,negative
1454,"Maar aandete hier is nooit teleurstellend nie, al is die pryse 'n bietjie te hoog.",Aandete,positive
1458,Teleurstellend genoeg is hul wonderlike Saketini van die kroegspyskaart verwyder.,Saketini,positive
1462,Teleurstellend genoeg is hul wonderlike Saketini van die kroegspyskaart verwyder.,Bar spyskaart,negative
1466,"Die kos hier was wonderlik, 'n bederf van begin tot einde.",Kos,positive
1469,"Goeie kos teen die regte prys, waarvoor meer kan jy vra.",Prys,positive
1473,"Goeie kos teen die regte prys, waarvoor meer kan jy vra.",Kos,positive
1477,Die beste dinge om te bestel is van die rooster (Churrasco en ribbetjies).,Churrasco,positive
1479,Die beste dinge om te bestel is van die rooster (Churrasco en ribbetjies).,rooster,positive
1481,Die beste dinge om te bestel is van die rooster (Churrasco en ribbetjies).,Ribbes,positive
1483,Kos is uitstekende gehalte vir 'n goeie restaurantprys.,Kos,positive
1487,Kos is uitstekende gehalte vir 'n goeie restaurantprys.,Prys,positive
1491,"Die voorgeregte is ok, maar die diens is stadig.",Diens,negative
1495,"Die voorgeregte is ok, maar die diens is stadig.",voorgeregte,neutral
1499,"Dit is goed om soontoe te gaan vir drankies as jy nie dronk wil word nie, want jy sal gelukkig wees as jy een drankie per uur kan kry, die diens is so sleg.",Drink,neutral
1501,"Dit is goed om soontoe te gaan vir drankies as jy nie dronk wil word nie, want jy sal gelukkig wees as jy een drankie per uur kan kry, die diens is so sleg.",Diens,negative
1505,"Dit is goed om soontoe te gaan vir drankies as jy nie dronk wil word nie, want jy sal gelukkig wees as jy een drankie per uur kan kry, die diens is so sleg.",Drinkgoed,neutral
1509,Gaan net in en proe die beste Franse kos wes van Daniël.,Franse kos,positive
1512,Dit is letterlik 'n warm plek as dit by die kos kom.,Kos,positive
1515,Satay is een van daardie gunsteling kuierplekke in Washington waar die diens en kos altyd op die geld is.,Diens,positive
1517,Satay is een van daardie gunsteling kuierplekke in Washington waar die diens en kos altyd op die geld is.,Kos,positive
1519,"Probeer die ribbetjies, sissende beesvleis en koppel dit met klapperrys.",Beesvleis,positive
1522,"Probeer die ribbetjies, sissende beesvleis en koppel dit met klapperrys.",Ribbes,positive
1525,"Probeer die ribbetjies, sissende beesvleis en koppel dit met klapperrys.",klapper rys,positive
1527,"Pasop vir die chili-ondertekende voedselitems, tensy jy die brandweer wil bel om die vlamme in jou mond te blus.",chili getekende voedselitems,negative
1529,"Die kos is net OK, en dit is amper nie die moeite werd om te gaan nie, tensy jy die pialla kry, wat die enigste gereg is wat regtig goed is.",Gereg,positive
1532,"Die kos is net OK, en dit is amper nie die moeite werd om te gaan nie, tensy jy die pialla kry, wat die enigste gereg is wat regtig goed is.",Pialla,positive
1535,Die personeel is baie vriendelik.,Personeel,positive
1538,Hulle maak die beste pizza in New Jersey.,Pizza,positive
1541,"Die kelner was nie net doeltreffend en hoflik nie, maar ook uiters behulpsaam. ",Kelner,positive
1544,Klein restaurant met baie vinnige diens.,Diens,positive
1547,"Heerlike hamburgers, geroosterde kase en patat.",Geroosterde kase,positive
1550,"Heerlike hamburgers, geroosterde kase en patat.",patat,positive
1553,"Heerlike hamburgers, geroosterde kase en patat.",hamburgers,positive
1556,"Die kos is wonderlik, ek hou van hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",Hoender,positive
1560,"Die kos is wonderlik, ek hou van hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",Kos,positive
1564,"Die kos is wonderlik, ek hou van hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",koue sesamnoedels,positive
1568,"Die kos is wonderlik, ek hou van hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",Kluitjies,positive
1572,"Die kos is wonderlik, ek hou van hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",garnale geregte,positive
1576,"Beste Chinese in die Bo-Ooste, vinnige aflewering, goeie waarde.",Waarde,positive
1580,"Beste Chinese in die Bo-Ooste, vinnige aflewering, goeie waarde.",Aflewering,positive
1584,"Ek het nog nooit 'n oranje doughnut gehad nie, so ek het dit 'n kans gegee.",oranje doughnut,neutral
1586,Ek was aangenaam verras oor die smaak.,Smaak,positive
1589,"'n Mengsel van studente en inwoners van die omgewing drom in hierdie smal, skaars daar ruimte vir sy vinnige, smaaklike lekkernye teen vuilgoedkoop pryse.",Spasie,negative
1593,"'n Mengsel van studente en inwoners van die omgewing drom in hierdie smal, skaars daar ruimte vir sy vinnige, smaaklike lekkernye teen vuilgoedkoop pryse.",Behandel,positive
1597,"'n Mengsel van studente en inwoners van die omgewing drom in hierdie smal, skaars daar ruimte vir sy vinnige, smaaklike lekkernye teen vuilgoedkoop pryse.",Pryse,positive
1601,Maar gereelde mense weet dat die toebroodjies hier die ware ster is.,Toebroodjies,positive
1604,"Vir 'n hartige sop en toebroodjie-ete, probeer die warm en suur sop.",warm en suur sop,positive
1608,"Vir 'n hartige sop en toebroodjie-ete, probeer die warm en suur sop.",Sop en toebroodjie maaltyd,positive
1612,Hulle het pizza met koringkors gemaak met baie vars en lekker bestanddele.,koring kors pizza,positive
1614,Hulle het pizza met koringkors gemaak met baie vars en lekker bestanddele.,Bestanddele,positive
1617,"Hulle draai op pizza is warm, maar vol geur.",Smaak,positive
1621,"Hulle draai op pizza is warm, maar vol geur.",draai op pizza,positive
1625,"As u lus is vir ernstige Indiese kos en 'n gesellige atmosfeer wil hê, is dit 'n uitstekende keuse.",atmosfeer,positive
1629,"As u lus is vir ernstige Indiese kos en 'n gesellige atmosfeer wil hê, is dit 'n uitstekende keuse.",Indiese kos,positive
1633,"Die diens is nie net wonderlik nie, maar dit is so maklik om 'n gesprek om 'n tafel te voer, want die atmosfeer kan romanties en gemaklik wees.",Diens,positive
1637,"Die diens is nie net wonderlik nie, maar dit is so maklik om 'n gesprek om 'n tafel te voer, want die atmosfeer kan romanties en gemaklik wees.",Atmosfeer,positive
1641,Daar is kerslig en musiek.,Musiek,neutral
1643,Daar is kerslig en musiek.,kerslig,neutral
1645,Ek het beslis ook die kos geniet.,Kos,positive
1648,Die kroegtoneel op die onderste verdieping is baie koel en chill ...,onderste kroegtoneel,positive
1651,"Die kos was beslis goed, maar toe alles gesê en gedoen is, kon ek dit net nie regverdig vir die prys nie (insluitend 2 drankies, $ 100 per persoon) ...",Prys,negative
1653,"Die kos was beslis goed, maar toe alles gesê en gedoen is, kon ek dit net nie regverdig vir die prys nie (insluitend 2 drankies, $ 100 per persoon) ...",Drinkgoed,neutral
1655,"Die kos was beslis goed, maar toe alles gesê en gedoen is, kon ek dit net nie regverdig vir die prys nie (insluitend 2 drankies, $ 100 per persoon) ...",Kos,positive
1658,Die BESTE Chinese kos in die stad!,Chinese kos,positive
1661,"Vinnige aflewerings, heerlike kos, ordentlike pryse en vriendelike diens kombineer om 'n aangename tyd te verseker.",Kos,positive
1665,"Vinnige aflewerings, heerlike kos, ordentlike pryse en vriendelike diens kombineer om 'n aangename tyd te verseker.",Pryse,positive
1669,"Vinnige aflewerings, heerlike kos, ordentlike pryse en vriendelike diens kombineer om 'n aangename tyd te verseker.",Diens,positive
1673,"Vinnige aflewerings, heerlike kos, ordentlike pryse en vriendelike diens kombineer om 'n aangename tyd te verseker.",Lewer,positive
1677,"Vinnige aflewerings, heerlike kos, ordentlike pryse en vriendelike diens kombineer om 'n aangename tyd te verseker.",Voorby,positive
1681,"Die koue sesamnoedels, wat 'n gratis item is as u $ 10+ bestel, is heerlik.",koue sesamnoedels,positive
1684,Die avokadoslaai is 'n persoonlike gunsteling.,avokado slaai,positive
1687,En die heuning BBQ -ribbetjies is lekker!,heuning BBQ rib wenke,positive
1690,Ons het lamsvleis bestel wat perfek gaar was en heerlik gesmaak het.,Lam,positive
1693,Alles van die eiers benedictus tot die mossels en selfs die hamburger is goed en baie lekker gedoen.,mossels,positive
1696,Alles van die eiers benedictus tot die mossels en selfs die hamburger is goed en baie lekker gedoen.,Eiers Benedictus,positive
1699,Alles van die eiers benedictus tot die mossels en selfs die hamburger is goed en baie lekker gedoen.,hamburger,positive
1702,"Dit is beslis nie die beste sushi in New York nie, maar dit is altyd vars, en die plek is baie skoon, steriel.",Plek,positive
1705,"Ek vertrou die mense by Go Sushi, dit stel nooit teleur nie.",Mense,positive
1708,"Reguit, geen verrassings nie, baie ordentlike Japannese kos.",Japannese kos,positive
1711,"Moet my nie verkeerd verstaan nie - sushi was goed, net nie fantasties nie.",soesji,positive
1714,"goeie verskeidenheid, maar niks verbasend nie.",Verskeidenheid,positive
1717,Harumi Sushi het die varsste en heerlikste verskeidenheid sushi in NYC.,verskeidenheid sushi,positive
1720,"Ek beveel dit sterk aan vir nie net sy uitstekende kookkuns nie, maar ook vir sy vriendelike eienaars en personeel.",Cuisine,positive
1724,"Ek beveel dit sterk aan vir nie net sy uitstekende kookkuns nie, maar ook vir sy vriendelike eienaars en personeel.",Personeel,positive
1728,"Ek beveel dit sterk aan vir nie net sy uitstekende kookkuns nie, maar ook vir sy vriendelike eienaars en personeel.",Eienaars,positive
1732,'N Ander vriend moes 3 keer vir parmesaankaas vra.,Parmesaankaas,neutral
1734,"Die diens is regtig vinnig en vriendelik, en die waarde is groot.",Waarde,positive
1738,"Die diens is regtig vinnig en vriendelik, en die waarde is groot.",Diens,positive
1742,Ek was honger en die klein porsies het my mal gemaak!,Gedeeltes,negative
1745,Was haar Maandag vir middagete - was besig om aan 'n film in die omgewing te werk - en het hierdie seldsame juweel gevind.,Middagete,neutral
1747,"En dit is nie klein, slap kitskosburgers nie - dit is regte, volgrootte patties.",hamburgers,positive
1751,"En dit is nie klein, slap kitskosburgers nie - dit is regte, volgrootte patties.",patties,positive
1755,"Vir die prys wat u hier vir die kos betaal, sou u verwag dat dit ten minste op gelyke voet met ander Japannese restaurante sou wees.",Kos,negative
1757,"Vir die prys wat u hier vir die kos betaal, sou u verwag dat dit ten minste op gelyke voet met ander Japannese restaurante sou wees.",Prys,negative
1759,Voedselporsie was KLEIN en ondergemiddeld.,Kos porsie,negative
1762,Die kelnerin het die sojasous kom haal TERWYL ons ons middagete geëet het!!!!,Middagete,neutral
1764,Die kelnerin het die sojasous kom haal TERWYL ons ons middagete geëet het!!!!,sojasous,neutral
1766,Die kelnerin het die sojasous kom haal TERWYL ons ons middagete geëet het!!!!,kelnerin,negative
1768,Goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of klassieke Franse gereg oor 'n glas wyn te gryp.,Sop,neutral
1772,Goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of klassieke Franse gereg oor 'n glas wyn te gryp.,Plek,positive
1776,Goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of klassieke Franse gereg oor 'n glas wyn te gryp.,glas wyn,neutral
1778,Goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of klassieke Franse gereg oor 'n glas wyn te gryp.,Franse gereg,neutral
1782,Die kos is wonderlik en die pryse is billik.,Pryse,positive
1786,Die kos is wonderlik en die pryse is billik.,Kos,positive
1790,"Die plek is skoon, en as jy van sielskos hou, dan is dit die plek om te wees!",siel kos,positive
1794,"Die plek is skoon, en as jy van sielskos hou, dan is dit die plek om te wees!",Plek,positive
1798,Die personeellede is uiters vriendelik en het selfs een keer my drankie vervang toe ek dit buite laat val het.,Personeellede,positive
1801,Die personeellede is uiters vriendelik en het selfs een keer my drankie vervang toe ek dit buite laat val het.,Drink,neutral
1803,Hulle spesialiseer in smoothies en vars sappe.,smoothies,positive
1805,Hulle spesialiseer in smoothies en vars sappe.,vars sappe,positive
1807,"Alhoewel die smoothies vir my 'n bietjie groot is, is die vars sappe die beste wat ek nog ooit gehad het!",smoothies,negative
1811,"Alhoewel die smoothies vir my 'n bietjie groot is, is die vars sappe die beste wat ek nog ooit gehad het!",vars sappe,positive
1815,Hulle het ook 'n baie goeie hoender met avokado en goeie tuna.,hoender met avokado,positive
1819,Hulle het ook 'n baie goeie hoender met avokado en goeie tuna.,Tuna,positive
1823,"Die meeste toebroodjies word gemaak met sojamayonaise, wat eintlik redelik goed is.",Toebroodjies,positive
1826,"Die meeste toebroodjies word gemaak met sojamayonaise, wat eintlik redelik goed is.",soja mayonaise,positive
1828,"Hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",Tuisgemaakte sorbette,positive
1832,"Hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",Sop,positive
1836,"Hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",Toebroodjies,positive
1840,"Hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",Pizza,positive
1844,Probeer die grondboontjiebottersorbet en die pizza met sojakaas!,pizza met sojakaas,positive
1847,Probeer die grondboontjiebottersorbet en die pizza met sojakaas!,Grondboontjiebotter sorbet,positive
1850,"Die diens is puik (miskien selfs op die grens, maar jy kry darem aandag), die nageregte is uitstekend en die koffie is so baie goed...",Nageregte,positive
1854,"Die diens is puik (miskien selfs op die grens, maar jy kry darem aandag), die nageregte is uitstekend en die koffie is so baie goed...",Koffie,positive
1858,Die musiek wat soms 'n bietjie te swaar is vir my smaak.,Musiek,negative
1861,"Casablanca bedien heerlike falafel, tabouleh, humus en ander Mediterreense lekkernye, wat almal baie goedkoop is.",Mediterreense lekkernye,positive
1864,"Casablanca bedien heerlike falafel, tabouleh, humus en ander Mediterreense lekkernye, wat almal baie goedkoop is.",Falafel,positive
1867,"Casablanca bedien heerlike falafel, tabouleh, humus en ander Mediterreense lekkernye, wat almal baie goedkoop is.",Humus,positive
1870,"Casablanca bedien heerlike falafel, tabouleh, humus en ander Mediterreense lekkernye, wat almal baie goedkoop is.",tabouleh,positive
1873,"Daar restaurant is baie gemaklik, maar perfek vir middagete, en hul afleweringsdiens is altyd baie vinnig.",Middagete,neutral
1877,"Daar restaurant is baie gemaklik, maar perfek vir middagete, en hul afleweringsdiens is altyd baie vinnig.",Aflewering diens,positive
1881,Hulle het ook 'n groot verskeidenheid wraps as u nie lus is vir tradisionele Mediterreense kos nie.,verskeidenheid wraps,positive
1884,Hulle het ook 'n groot verskeidenheid wraps as u nie lus is vir tradisionele Mediterreense kos nie.,tradisionele Mediterreense kos,neutral
1887,Dit het 100 jaar geneem voordat Parisi pizza gemaak het (ek dink ten minste nie hulle het dit ooit vanjaar gemaak nie) ... Maar dit was die moeite werd om te wag.,Pizza,positive
1890,Die sous is uitstekend (baie vars) met 'n bietjie regte mozzarella.,kloppies regte mozzarella,neutral
1892,Die sous is uitstekend (baie vars) met 'n bietjie regte mozzarella.,Sous,positive
1895,Die brood is ook uit die boonste rakke.,Brood,positive
1898,Hulle word op Focacchia-brood bedien en is om voor te sterf.,bedien,neutral
1900,Hulle word op Focacchia-brood bedien en is om voor te sterf.,Focacchia brood,neutral
1903,Kry ook die uieringe - die beste wat ons nog ooit gehad het.,Ui ringe,positive
1906,"'n Pragtige atmosfeer, perfek vir drankies en/of voorgeregte.",voorgeregte,neutral
1910,"'n Pragtige atmosfeer, perfek vir drankies en/of voorgeregte.",Atmosfeer,positive
1914,"'n Pragtige atmosfeer, perfek vir drankies en/of voorgeregte.",Drinkgoed,neutral
1918,Kookkuns word as Asiatiese samesmelting beskou - voldoen nie aan die rekening nie.,gefaktureer,negative
1920,Kookkuns word as Asiatiese samesmelting beskou - voldoen nie aan die rekening nie.,Asiatiese samesmelting,neutral
1922,Kookkuns word as Asiatiese samesmelting beskou - voldoen nie aan die rekening nie.,Cuisine,negative
1924,Kookkuns word as Asiatiese samesmelting beskou - voldoen nie aan die rekening nie.,Wetsontwerp,negative
1926,"Die kelners was baie professioneel, hoflik en oplettend.",kelners,positive
1929,"Was al meer as 25 jaar by die een in Brooklyn, nou hoef ek nie oor die brug te gaan vir die beste pizza nie .... Hanx",Pizza,positive
1932,Ek ken regte Indiese kos en dit was nie dit nie.,Indiese kos,negative
1934,"Ek beveel die gebraaide varkkluitjies, die lemoenhoender/beesvleis en die gebraaide rys aan.",gebraaide varkbolletjies,positive
1937,"Ek beveel die gebraaide varkkluitjies, die lemoenhoender/beesvleis en die gebraaide rys aan.",gebraaide rys,positive
1940,"Ek beveel die gebraaide varkkluitjies, die lemoenhoender/beesvleis en die gebraaide rys aan.",lemoen hoender/beesvleis,positive
1943,Maak seker dat jy jou kos vergesel met een van hul vars sapkonkoksies.,Kos,neutral
1945,Maak seker dat jy jou kos vergesel met een van hul vars sapkonkoksies.,vars sap konkoksies,positive
1948,"Ja, hulle is 'n bietjie duurder as tipies, maar dan weer, so ook hul kos.",Kos,positive
1951,"Ek beveel die grand marnier garnale sterk aan, dit is waansinnig goed.",Grand Marnier garnale,positive
1954,"Glechik is miskien heeltemal te klein vir 'n restaurant volgens Russiese standaarde, maar dit is knus en die kos is eenvoudig WONDERLIK.",Kos,positive
1957,"Jy moet Odessa-bredie of Konynbredie probeer; slaaie-alles goed; En kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",Slaaie,positive
1961,"Jy moet Odessa-bredie of Konynbredie probeer; slaaie-alles goed; En kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",kompot,positive
1965,"Jy moet Odessa-bredie of Konynbredie probeer; slaaie-alles goed; En kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",Konyn bredie,positive
1969,"Jy moet Odessa-bredie of Konynbredie probeer; slaaie-alles goed; En kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",Odessa bredie,positive
1973,"So vir 'n vullende en gesonde maaltyd, probeer dit.",Maaltyd,positive
1976,"Eenvoudige, gesonde onglansryke kos goedkoop.",Kos,positive
1979,"Die gemaalde kekerertjiesop wat ons as voorgereg geproe het, het ietwat dun gesmaak.",gemaalde kekerertjiesop,negative
1982,"Die gemaalde kekerertjiesop wat ons as voorgereg geproe het, het ietwat dun gesmaak.",Starter,neutral
1985,Die hoender- en falafelborde was onbeskryflike kombinasies met vars blaarslaai.,hoender- en falafelborde,neutral
1988,Die hoender- en falafelborde was onbeskryflike kombinasies met vars blaarslaai.,vars blaarslaai,neutral
1991,"Die falafal was taamlik te gaar en gedroog, maar die hoender was goed.",Hoender,positive
1995,"Die falafal was taamlik te gaar en gedroog, maar die hoender was goed.",Falafal,negative
1999,Die belangrikste trekpleister van hierdie plek is die prys.,Prys,positive
2002,Laat uiteindelik 5 op 'n slag in die winkel om duur snye by 'n geteisterde personeel te koop.,Snye,negative
2006,Laat uiteindelik 5 op 'n slag in die winkel om duur snye by 'n geteisterde personeel te koop.,Personeel,negative
2010,"Resultaat (rooi fluweel): Goeie tekstuur, sag en fluweelagtig, lekker sweempie kakao.",Wenk kakao,positive
2014,"Resultaat (rooi fluweel): Goeie tekstuur, sag en fluweelagtig, lekker sweempie kakao.",Tekstuur,positive
2018,"die versiersel het hierdie koek gemaak, dit was donsig, nie ultra soet, romerig en lig nie.",Koek,positive
2021,"Goeie koek MAAR: dit was nie die beste koek wat ek nog ooit gehad het nie, en beslis nie die moeite werd om buite op die sypaadjie te staan en soos beeste deur onverskillige en oorwerkte werknemers opgepas te word nie.",Werknemers,negative
2023,"Goeie koek MAAR: dit was nie die beste koek wat ek nog ooit gehad het nie, en beslis nie die moeite werd om buite op die sypaadjie te staan en soos beeste deur onverskillige en oorwerkte werknemers opgepas te word nie.",Koek,negative
2026,Gemiddelde koek wat deur baie hype die hof gemaak is.,Koek,negative
2029,Die dekor is ontwerp in 'n kontemporêre restaurant in Japannese styl.,Dekor,neutral
2031,"Die kos is goed, die teriyaki beveel ek aan.",Teriyaki,positive
2035,"Die kos is goed, die teriyaki beveel ek aan.",Kos,positive
2039,"Die Sashimi-porsie is groot genoeg om die meeste mense te paai, maar ek hou nie van die feit dat hulle kunsmatige kreefvleis gebruik nie.",Sashimi -gedeelte,positive
2043,"Die Sashimi-porsie is groot genoeg om die meeste mense te paai, maar ek hou nie van die feit dat hulle kunsmatige kreefvleis gebruik nie.",kunsmatige kreefvleis,negative
2047,Oor die algemeen is dit 'n lekker plek om 'n paar vriende te neem om by te kuier en die diens is uitstekend.,Diens,positive
2051,Oor die algemeen is dit 'n lekker plek om 'n paar vriende te neem om by te kuier en die diens is uitstekend.,Plek,positive
2055,Die kos is heerlik en die melkskommels is nog beter!,melkskommels,positive
2059,Die kos is heerlik en die melkskommels is nog beter!,Kos,positive
2063,"Bou 'n maaltyd met bybestellings soos ongelooflike groenteslaaie, Buffalo Chicken Kickers en Cinna Stix.",Buffel hoender skoppers,neutral
2065,"Bou 'n maaltyd met bybestellings soos ongelooflike groenteslaaie, Buffalo Chicken Kickers en Cinna Stix.",Maaltyd,neutral
2067,"Bou 'n maaltyd met bybestellings soos ongelooflike groenteslaaie, Buffalo Chicken Kickers en Cinna Stix.",bybestellings,neutral
2069,"Bou 'n maaltyd met bybestellings soos ongelooflike groenteslaaie, Buffalo Chicken Kickers en Cinna Stix.",Cinna Stix,neutral
2071,"Bou 'n maaltyd met bybestellings soos ongelooflike groenteslaaie, Buffalo Chicken Kickers en Cinna Stix.",ongelooflike groente slaaie,neutral
2073,Ons was baie beïndruk met die kos en waarde.,Waarde,positive
2076,Ons was baie beïndruk met die kos en waarde.,Kos,positive
2079,U moet die knoffelsop probeer!,knoffel sop,positive
2082,"Die kos is puik (groot keuse, billike pryse) en die drankies is regtig goed.",Drinkgoed,positive
2086,"Die kos is puik (groot keuse, billike pryse) en die drankies is regtig goed.",Pryse,positive
2090,"Die kos is puik (groot keuse, billike pryse) en die drankies is regtig goed.",Seleksie,positive
2094,"Die kos is puik (groot keuse, billike pryse) en die drankies is regtig goed.",Kos,positive
2098,"Die atmosfeer is warm, gemaklik, kunstig en sexy.",Atmosfeer,positive
2101,"Ons was daar en ons geniet die kos baie, was regtig heerlike kos, en die diens was regtig goed.",Kos,positive
2105,"Ons was daar en ons geniet die kos baie, was regtig heerlike kos, en die diens was regtig goed.",Diens,positive
2109,"Ons was daar en ons geniet die kos baie, was regtig heerlike kos, en die diens was regtig goed.",Kos,positive
2113,"Die versiering het gevoel asof ons op die Kaïro was, eintlik is die straat deel van daardie avontuur.",Versiering,positive
2115,Die kos is so lekker en so gewild dat wag regtig 'n nagmerrie kan wees.,Wag,negative
2119,Die kos is so lekker en so gewild dat wag regtig 'n nagmerrie kan wees.,Kos,positive
2123,Hierdie spesifieke plek gebruik beslis substandaard vleis.,Vleis,negative
2126,"Alhoewel dit klein is, het dit 'n pragtige atmosfeer, uitstekende kos (die baber is heerlik - as jy nie omgee nie, 'n bietjie sout) en oplettende diens.",Diens,positive
2130,"Alhoewel dit klein is, het dit 'n pragtige atmosfeer, uitstekende kos (die baber is heerlik - as jy nie omgee nie, 'n bietjie sout) en oplettende diens.",Atmosfeer,positive
2134,"Alhoewel dit klein is, het dit 'n pragtige atmosfeer, uitstekende kos (die baber is heerlik - as jy nie omgee nie, 'n bietjie sout) en oplettende diens.",katvis,positive
2138,"Alhoewel dit klein is, het dit 'n pragtige atmosfeer, uitstekende kos (die baber is heerlik - as jy nie omgee nie, 'n bietjie sout) en oplettende diens.",Kos,positive
2142,"Die kos het wel 'n paar minute ekstra geneem om te kom, maar die oulike kelners se grappies en vriendelikheid het daarvoor vergoed.",Kos,neutral
2144,"Die kos het wel 'n paar minute ekstra geneem om te kom, maar die oulike kelners se grappies en vriendelikheid het daarvoor vergoed.",kelners,positive
2147,Ek het hierheen gekom vir informele middagetes sowel as vir 'n vriend se verjaardag en ek geniet myself altyd.,Toevallige middagetes,neutral
2149,Die sushi is altyd vars en lekker en die spyskaart is redelik uiteenlopend.,Kieslys,positive
2153,Die sushi is altyd vars en lekker en die spyskaart is redelik uiteenlopend.,soesji,positive
2157,"Ek was veral beïndruk tydens die verjaarsdagpartytjie toe die kelnerpersoneel my gehelp het om 'n verjaarsdagkoek te versier en na vore te bring, asook om vinnige en vriendelike diens aan 'n partytjie van 15 persone te bied.",Diens,positive
2160,"Ek was veral beïndruk tydens die verjaarsdagpartytjie toe die kelnerpersoneel my gehelp het om 'n verjaarsdagkoek te versier en na vore te bring, asook om vinnige en vriendelike diens aan 'n partytjie van 15 persone te bied.",Kelnerpersoneel,positive
2162,Beste Indiese kos wat ek nog ooit geëet het.,Indiese kos,positive
2165,"Die personeel is ongelooflik vriendelik, en ek droom oor hul Saag-gosht... So goed.",Saag gosht,positive
2169,"Die personeel is ongelooflik vriendelik, en ek droom oor hul Saag-gosht... So goed.",Personeel,positive
2173,"Ongelukkig, tensy jy in die buurt woon, is dit nie op 'n gerieflike plek nie, maar is dit meer soos 'n verborge skat.",Ligging,negative
2176,Die personeel het my hartlik by die deur gegroet en ek het dadelik gaan sit en die kos was uitstekend.,Personeel,positive
2180,Die personeel het my hartlik by die deur gegroet en ek het dadelik gaan sit en die kos was uitstekend.,Kos,positive
2184,"Die spyskaart is wonderlik, met 'n goeie keuse, en alles wat ek probeer het, is absoluut heerlik.",Kieslys,positive
2188,"Die spyskaart is wonderlik, met 'n goeie keuse, en alles wat ek probeer het, is absoluut heerlik.",Seleksie,positive
2192,"Ek het saam met 'n paar vriende van die familie na Swiftys gegaan en ons het 'n baie lekker aandete gehad, maar niks wonderliks nie.",Aandete,positive
2195,Ek het gebraaide hoender en 'n slaai gehad.,Slaai,neutral
2197,Ek het gebraaide hoender en 'n slaai gehad.,gebraaide hoender,neutral
2199,Hierdie plek het die beste sushi in die stad.,soesji,positive
2202,Hulle het 'n uitstekende keuse (die rolle met krap is regtig wonderlik).,rolle met krap,positive
2206,Hulle het 'n uitstekende keuse (die rolle met krap is regtig wonderlik).,Seleksie,positive
2210,Redelik geprys met baie vars sushi.,soesji,positive
2214,Redelik geprys met baie vars sushi.,Geprys,positive
2218,Ek het eendag ingegaan en 'n tafel vir 'n groep gevra en is begroet deur 'n baie onbeskofte gasvrou.,Gasvrou,negative
2221,Ek het eendag ingegaan en 'n tafel vir 'n groep gevra en is begroet deur 'n baie onbeskofte gasvrou.,Tabel,neutral
2223,"Die restaurant was heeltemal leeg, maar sy het my 'n vuil blik gegee en gevra, geen besprekings nie?",Besprekings,neutral
2225,Toe maak sy 'n bohaai oor die feit dat sy nie 1 of 2 stoele aan weerskante van die tafel kan byvoeg vir bykomende mense nie.,Stoele,neutral
2227,Toe maak sy 'n bohaai oor die feit dat sy nie 1 of 2 stoele aan weerskante van die tafel kan byvoeg vir bykomende mense nie.,Tabel,neutral
2229,Ek het by 'n ander geleentheid hier geëet - die kos is middelmatig vir die pryse.,Kos,neutral
