,am,aspect,polarities
1702,ይሁን እንጂ ኒው ዮርክ ውስጥ ከሁሉ የተሻለው ሱሺ እንዳልሆነ የታወቀ ነው።,ቦታ,positive
1705,በጎ ሱሺ የሚኖሩ ሰዎችን አምንበታለሁ፤ ይህ ፈጽሞ ተስፋ አስቆራጭ አይደለም።,ሰዎች,positive
1708,"ቀጥ-ወደፊት, ምንም የሚያስገርም, በጣም ጥሩ የጃፓን ምግብ.",የጃፓን ምግብ,positive
1711,አትሳሳቱኝ - ሱሺ ጥሩ ነበር እንጂ በጣም ግሩም አልነበረም ።,ሱሺ,positive
1714,ጥሩ ዓይነት ቢሆንም ምንም የሚያስደንቅ ነገር የለም ።,ልዩነት,positive
1717,ሃሩሚ ሱሺ ኒው ዮርክ ውስጥ በጣም ጣፋጭና ጣፋጭ የሆነ የሱሺ ዓይነት አለው።,ረጅሙ ሱሺ,positive
1720,በጣም ግሩም ለሆነ ምግብ ብቻ ሳይሆን ለወዳጅ ባለቤቶቹና ለሠራተኞቹም ጭምር በጣም እመክራለሁ።,ምግብ,positive
1724,በጣም ግሩም ለሆነ ምግብ ብቻ ሳይሆን ለወዳጅ ባለቤቶቹና ለሠራተኞቹም ጭምር በጣም እመክራለሁ።,በትር,positive
1728,በጣም ግሩም ለሆነ ምግብ ብቻ ሳይሆን ለወዳጅ ባለቤቶቹና ለሠራተኞቹም ጭምር በጣም እመክራለሁ።,ባለቤቶች,positive
1732,ሌላ ጓደኛዬ ደግሞ ፓርሜሳን አይብ እንዲሰጠው 3 ጊዜ መጠየቅ ነበረበት ።,ፓርሜሳን አይብ,neutral
1734,አገልግሎቱ በጣም ፈጣንና ተግባቢ ከመሆኑም በላይ ዋጋው በጣም ከፍተኛ ነው ።,ዋጋ,positive
1738,አገልግሎቱ በጣም ፈጣንና ተግባቢ ከመሆኑም በላይ ዋጋው በጣም ከፍተኛ ነው ።,አገልግሎት,positive
1742,በረሃብ እየተራብኩ ስለነበር አነስተኛ መጠን ያለው ነገር እያበሳጨኝ ነበር!,የተወሰኑ ክፍሎች,negative
1745,ሰኞ ለምሳ ስትበላ በአካባቢው በሚገኝ አንድ ፊልም ላይ እየሠራች ነበር ፤ ይህን እምብዛም ያልተለመደ ጌጥ አገኘችው ።,ምሳ,neutral
1747,እነዚህም ትናንሽ ፣ ፈጣን የምግብ ዓይነት በርገርዎች አይደሉም - እነዚህ እውነተኛና የተሟላ መጠን ያላቸው ፓቲዎች ናቸው ።,በርገር,positive
1751,እነዚህም ትናንሽ ፣ ፈጣን የምግብ ዓይነት በርገርዎች አይደሉም - እነዚህ እውነተኛና የተሟላ መጠን ያላቸው ፓቲዎች ናቸው ።,ፓቲዎች,positive
1755,እዚህ ለምግቡ በምትከፍሉበት ዋጋ ቢያንስ ከሌሎች የጃፓን ምግብ ቤቶች ጋር እንደሚተካከል ትጠብቃላችሁ።,ምግብ,negative
1757,እዚህ ለምግቡ በምትከፍሉበት ዋጋ ቢያንስ ከሌሎች የጃፓን ምግብ ቤቶች ጋር እንደሚተካከል ትጠብቃላችሁ።,ዋጋ,negative
1759,የምግብ መጠን አነስተኛ ና ከአማካይ በታች ነበር ።,የምግብ ክፍል,negative
1762,ምሳችንን እየበላን ሳለ አስተናጋጇ መጣች!!!!,ምሳ,neutral
1764,ምሳችንን እየበላን ሳለ አስተናጋጇ መጣች!!!!,አኩሪ ስጋ,neutral
1766,ምሳችንን እየበላን ሳለ አስተናጋጇ መጣች!!!!,አስተናጋጅ,negative
1768,ገበያ ከወጣህ በኋላ በቀን ውስጥ ለመዝናናት ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ጥንታዊ የፈረንጅ ሳህን ለመያዝ ጥሩ ቦታ ነው።,ሾርባ,neutral
1772,ገበያ ከወጣህ በኋላ በቀን ውስጥ ለመዝናናት ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ጥንታዊ የፈረንጅ ሳህን ለመያዝ ጥሩ ቦታ ነው።,ቦታ,positive
1776,ገበያ ከወጣህ በኋላ በቀን ውስጥ ለመዝናናት ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ጥንታዊ የፈረንጅ ሳህን ለመያዝ ጥሩ ቦታ ነው።,ብርጭቆ የወይን ጠጅ,neutral
1778,ገበያ ከወጣህ በኋላ በቀን ውስጥ ለመዝናናት ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ጥንታዊ የፈረንጅ ሳህን ለመያዝ ጥሩ ቦታ ነው።,french dish,neutral
1782,ምግቡ ከፍተኛ ከመሆኑም በላይ ዋጋው ምክንያታዊ ነው ።,ዋጋዎች,positive
1786,ምግቡ ከፍተኛ ከመሆኑም በላይ ዋጋው ምክንያታዊ ነው ።,ምግብ,positive
1790,ስፍራው ንፁህ ነው፤ ነፍስ ምግብ የምትወዱ ከሆነ ደግሞ ይህ ቦታ ነው!,ነፍስ ምግብ,positive
1794,ስፍራው ንፁህ ነው፤ ነፍስ ምግብ የምትወዱ ከሆነ ደግሞ ይህ ቦታ ነው!,ቦታ,positive
1798,የሠራተኞቹ አባላት በጣም ተግባቢ ከመሆናቸውም በላይ አንድ ጊዜ ወደ ውጭ ስጥለው መጠጣቴን ተክተውኛል።,ሠራተኞች,positive
1801,የሠራተኞቹ አባላት በጣም ተግባቢ ከመሆናቸውም በላይ አንድ ጊዜ ወደ ውጭ ስጥለው መጠጣቴን ተክተውኛል።,መጠጥ,neutral
1803,ለስላሳ ና ትኩስ ጭማቂዎች ልዩ ችሎታ አላቸው።,ልሙጥ,positive
1805,ለስላሳ ና ትኩስ ጭማቂዎች ልዩ ችሎታ አላቸው።,አዲስ ጭማቂ,positive
1807,ልሙጥ የሆነው ጭማቂ ለእኔ ትንሽ ትልቅ ቢሆንም እስከ ዛሬ ካጋጠምኳቸው ጭማቂዎች ሁሉ የላቀ ነው!,ልሙጥ,negative
1811,ልሙጥ የሆነው ጭማቂ ለእኔ ትንሽ ትልቅ ቢሆንም እስከ ዛሬ ካጋጠምኳቸው ጭማቂዎች ሁሉ የላቀ ነው!,አዲስ ጭማቂ,positive
1815,በጣም ጥሩ ዶሮ አቮካዶ እና ጥሩ ቱና አላቸው።,አቮካዶ ያለው ዶሮ,positive
1819,በጣም ጥሩ ዶሮ አቮካዶ እና ጥሩ ቱና አላቸው።,ቱና,positive
1823,አብዛኞቹ ሳንድዊች የሚባሉት በአኩሪ ማዮኔዝ ሲሆን ይህም በጣም ጥሩ ነው።,ሳንድዊች,positive
1826,አብዛኞቹ ሳንድዊች የሚባሉት በአኩሪ ማዮኔዝ ሲሆን ይህም በጣም ጥሩ ነው።,አኩሪ ማዮናዝ,positive
1828,"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤትዎቻቸው ከዚህ ዓለም ውጭ ናቸው!",የቤት ሰራሽ ሶርቤት,positive
1832,"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤትዎቻቸው ከዚህ ዓለም ውጭ ናቸው!",ሾርባ,positive
1836,"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤትዎቻቸው ከዚህ ዓለም ውጭ ናቸው!",ሳንድዊች,positive
1840,"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤትዎቻቸው ከዚህ ዓለም ውጭ ናቸው!",ፒሳ,positive
1844,የኦቾሎኒ ቅቤ ሶርቤትንና ፒሳውን በአኩሪ አይብ ሞክር!,ፒሳ በአኩሪ አይብ,positive
1847,የኦቾሎኒ ቅቤ ሶርቤትንና ፒሳውን በአኩሪ አይብ ሞክር!,የኦቾሎኒ ቅቤ ሶርቤት,positive
1850,አገልግሎቱ በጣም ጥሩ ነው (ምናልባት ምስጥ ንቅቅ ቅ,ጣፋጭ ምግብ,positive
1854,አገልግሎቱ በጣም ጥሩ ነው (ምናልባት ምስጥ ንቅቅ ቅ,ቡና,positive
1858,አንዳንድ ጊዜ ለጣዕሜ ትንሽ ከባድ የሆነው ሙዚቃ።,ሙዚቃ,negative
1861,የካሳብላንካ ቄሶች በጣም ብዙ ወጪ የማይጠይቁ ጣፋጭ ፋላፌል ፣ ታቡል ፣ ሃሙስና ሌሎች የሜድትራንያን ንዑስ ነገሮች ያስደስታሉ ።,የሜድትራንያን ባሕር አስደሳች ነው,positive
1864,የካሳብላንካ ቄሶች በጣም ብዙ ወጪ የማይጠይቁ ጣፋጭ ፋላፌል ፣ ታቡል ፣ ሃሙስና ሌሎች የሜድትራንያን ንዑስ ነገሮች ያስደስታሉ ።,ፋላፌል,positive
1867,የካሳብላንካ ቄሶች በጣም ብዙ ወጪ የማይጠይቁ ጣፋጭ ፋላፌል ፣ ታቡል ፣ ሃሙስና ሌሎች የሜድትራንያን ንዑስ ነገሮች ያስደስታሉ ።,humus,positive
1870,የካሳብላንካ ቄሶች በጣም ብዙ ወጪ የማይጠይቁ ጣፋጭ ፋላፌል ፣ ታቡል ፣ ሃሙስና ሌሎች የሜድትራንያን ንዑስ ነገሮች ያስደስታሉ ።,tabouleh,positive
1873,"ምግብ ቤት በጣም ተራ ነው, ነገር ግን ለምሳ ተስማሚ ነው, እና የማድረስ አገልግሎታቸው ሁልጊዜ በጣም ፈጣን ነው.",ምሳ,neutral
1877,"ምግብ ቤት በጣም ተራ ነው, ነገር ግን ለምሳ ተስማሚ ነው, እና የማድረስ አገልግሎታቸው ሁልጊዜ በጣም ፈጣን ነው.",የመዳረሻ አገልግሎት,positive
1881,በተጨማሪም ለባሕላዊው የሜድትራንያን ገቢ ስሜት ከሌለህ ብዙ ዓይነት መጠቅለያዎች አሏቸው።,መጠቅለያዎች,positive
1884,በተጨማሪም ለባሕላዊው የሜድትራንያን ገቢ ስሜት ከሌለህ ብዙ ዓይነት መጠቅለያዎች አሏቸው።,ባሕላዊው የሜድትራንያን ባሕር,neutral
1887,ፓሪሲ ፒዛ ለመሥራት 100 ዓመታት ፈጅቶብኛል (ቢያንስ ከዚህ አመት በፊት የሰሩት አይመስለኝም)... ሆኖም በትዕግሥት መጠበቁ የሚያስቆጭ አልነበረም ።,ፒሳ,positive
1890,ስጋው በጣም ግሩም (በጣም ትኩስ) ሲሆን ከእውነተኛ ሞዛሬላ ዳብ ጋር ነው።,dabs እውነተኛ mozzarella,neutral
1892,ስጋው በጣም ግሩም (በጣም ትኩስ) ሲሆን ከእውነተኛ ሞዛሬላ ዳብ ጋር ነው።,ስጋ,positive
1895,ዳቦውም ከፍተኛ ነው።,ዳቦ,positive
1898,በፎካቺያ እንጀራ ላይ ይቀርብና ለሞት ይዳርጋሉ።,ያገለገለ,neutral
1900,በፎካቺያ እንጀራ ላይ ይቀርብና ለሞት ይዳርጋሉ።,ፎካቺያ ዳቦ,neutral
1903,በተጨማሪም ኦኒየን ቀለበቶችን ያግኙ። ከዚህ በፊት ካጋጠመን ሁሉ የተሻለ ነው።,የሽንኩርት ቀለበቶች,positive
1906,"ውብ መንፈስ, ለመጠጥ እና/ወይም ለምግብነት ተስማሚ ነው.",ቅመማ ቅመማ,neutral
1910,"ውብ መንፈስ, ለመጠጥ እና/ወይም ለምግብነት ተስማሚ ነው.",ከባቢ አየር,positive
1914,"ውብ መንፈስ, ለመጠጥ እና/ወይም ለምግብነት ተስማሚ ነው.",መጠጦች,neutral
1918,ምግብ እንደ ኤዢያን ውህደት ይከፈላሉ - አዋጁን አያሟላም።,የተገለበጠ,negative
1920,ምግብ እንደ ኤዢያን ውህደት ይከፈላሉ - አዋጁን አያሟላም።,እስያዊ ውህደት,neutral
1922,ምግብ እንደ ኤዢያን ውህደት ይከፈላሉ - አዋጁን አያሟላም።,ምግብ,negative
1924,ምግብ እንደ ኤዢያን ውህደት ይከፈላሉ - አዋጁን አያሟላም።,ቢል,negative
1926,አስተናጋጆቹ በጣም ባለሙያዎች፣ ጨዋዎችና በትኩረት የሚከታተሉ ነበሩ።,አስተናጋጆች,positive
1929,ከ25 ዓመት በላይ ብሩክሊን ውስጥ ለምትኖሩ ትሁን፣ አሁን ለምርጡ ፒሳ ድልድዩን አሻግራ መሄድ አያስፈልገኝም .... Hanx,ፒሳ,positive
1932,እውነተኛውን የሕንድ ምግብ አውቃለሁ እናም ይህ አልነበረም።,የሕንድ ምግብ,negative
1934,የተጠበሰ የአሳማ ዳምፕሊንግ፣ የብርቱካን ዶሮ/የበሬ ና የተጠበሰ ሩዝ እመክራለሁ።,የተጠበሰ የአሳማ ዳምፕሊንግ,positive
1937,የተጠበሰ የአሳማ ዳምፕሊንግ፣ የብርቱካን ዶሮ/የበሬ ና የተጠበሰ ሩዝ እመክራለሁ።,የተጠበሰ ሩዝ,positive
1940,የተጠበሰ የአሳማ ዳምፕሊንግ፣ የብርቱካን ዶሮ/የበሬ ና የተጠበሰ ሩዝ እመክራለሁ።,ብርቱካን ዶሮ/በሬ,positive
1943,ምግቡን ከጭማቂው ጋር አብረኸው መሄድህን አረጋግጥ።,ምግብ,neutral
1945,ምግቡን ከጭማቂው ጋር አብረኸው መሄድህን አረጋግጥ።,ትኩስ ጭማቂ ቅባቶች,positive
1948,አዎን፣ ትንሽ ብዙ ወጪ የሚጠይቁ ናቸው፣ ነገር ግን አሁንም ቢሆን ምግባቸው እንዲሁ ነው።,ምግብ,positive
1951,"ታላቁን ማርኒየር ሽሪምፕ በጣም እመክራለሁ, በጣም ጥሩ ነው.",ግራንድ ማርኒየር ሽሪምፕ,positive
1954,ግሌቺክ በሩሲያ የአቋም ደረጃዎች መሠረት ለአንድ ምግብ ቤት በጣም ትንሽ ሊሆን ቢችልም ምግቡ በጣም አስደሳች ነው ።,ምግብ,positive
1957,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ-ሁሉም ጥሩ; እናም ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ሰላጣ,positive
1961,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ-ሁሉም ጥሩ; እናም ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ኮምፖት,positive
1965,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ-ሁሉም ጥሩ; እናም ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ጥንቸል ወጥ,positive
1969,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ-ሁሉም ጥሩ; እናም ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,የኦዴሳ ወጥ,positive
1973,ስለዚህ ለሙላትና ለጤናማ ምግብ ሂድ።,ምግብ,positive
1976,ቀላል ጤናማ አንፀባረቀ ምግቦች ርካሽ.,ምግብ,positive
1979,መጀመሪያ ላይ ለናሙና ያህል የሄድንበት የጫጩት ሾርባ ትንሽ ቀጭኖ ነበር።,መሬት የጫጩት ሾርባ,negative
1982,መጀመሪያ ላይ ለናሙና ያህል የሄድንበት የጫጩት ሾርባ ትንሽ ቀጭኖ ነበር።,ጀማሪ,neutral
1985,የዶሮና የፋላፌል ሳህን ከቅጠል ሰላጣ ጋር የተቀላቀለ አልነበረም።,የዶሮና የፋላፌል ሳህን,neutral
1988,የዶሮና የፋላፌል ሳህን ከቅጠል ሰላጣ ጋር የተቀላቀለ አልነበረም።,ትኩስ ቅጠል ሰላጣ,neutral
1991,ፋላፋሉ ከመጠን በላይ ቢበስልና ቢደርቅም ዶሮው ደህና ነበር ።,ዶሮ,positive
1995,ፋላፋሉ ከመጠን በላይ ቢበስልና ቢደርቅም ዶሮው ደህና ነበር ።,falafal,negative
1999,የዚህ ቦታ ዋነኛ ስዕል ዋጋው ነው።,ዋጋ,positive
2002,በመጨረሻም በአንድ ጊዜ ወደ 5 ሱቅ በመግባት ከባድ አደጋ ከገጠማቸው ሠራተኞች ውድ የሆኑ ቁራሾችን መግዛት ይችላሉ።,ቆራረጣዎች,negative
2006,በመጨረሻም በአንድ ጊዜ ወደ 5 ሱቅ በመግባት ከባድ አደጋ ከገጠማቸው ሠራተኞች ውድ የሆኑ ቁራሾችን መግዛት ይችላሉ።,በትር,negative
2010,"ውጤት (ቀይ ስፌት) - ታላቅ የቀለም ቀለም, ለስላሳ እና ስፌት, ጥሩ ፍንጭ cocoa.",የኮኮዋ ፍንጭ,positive
2014,"ውጤት (ቀይ ስፌት) - ታላቅ የቀለም ቀለም, ለስላሳ እና ስፌት, ጥሩ ፍንጭ cocoa.",ቅይጥ,positive
2018,ይህ ኬክ በጣም ጣፋጭ፣ ክሬሚና ቀለል ያለ አልነበረም።,ኬክ,positive
2021,ጥሩ ኬክ ቢሆንም እስከ ዛሬ ከነበርኩት ኬክ ሁሉ የተሻለ አልነበረም፣ እናም ግድ የለሾችና ከመጠን በላይ የሚሠሩ ሠራተኞች እንደ ከብት እየተንከራተቱ በእግረኛ መንገድ ላይ በውጭ መቆም ምንም ዋጋ የለውም።,ሠራተኞች,negative
2023,ጥሩ ኬክ ቢሆንም እስከ ዛሬ ከነበርኩት ኬክ ሁሉ የተሻለ አልነበረም፣ እናም ግድ የለሾችና ከመጠን በላይ የሚሠሩ ሠራተኞች እንደ ከብት እየተንከራተቱ በእግረኛ መንገድ ላይ በውጭ መቆም ምንም ዋጋ የለውም።,ኬክ,negative
2026,በአማካይ ብዙ ግጥም የተጠናወተው ኬክ.,ኬክ,negative
2029,ጌጣጌጦቹ የተሠሩት በወቅቱ በነበረው የጃፓን የአጻጻፍ ስልት ምግብ ቤት ውስጥ ነው።,décor,neutral
2031,"ምግቡ ጥሩ ነው, እኔ የምመክረው ቴሪያኪ.",teriyaki,positive
2035,"ምግቡ ጥሩ ነው, እኔ የምመክረው ቴሪያኪ.",ምግብ,positive
2039,የሳሺሚ ክፍል አብዛኞቹን ሰዎች ለማርገብ የሚበቃ ነው፣ ነገር ግን የሎብስተር ሥጋ መጠቀማቸው አልወደደኝም።,ሳሺሚ ክፍል,positive
2043,የሳሺሚ ክፍል አብዛኞቹን ሰዎች ለማርገብ የሚበቃ ነው፣ ነገር ግን የሎብስተር ሥጋ መጠቀማቸው አልወደደኝም።,የሎብስተር ስጋ,negative
2047,"ባጠቃላይ, ይህ ጥቂት ጓደኞች ጋር ጊዜ ለመውሰድ ጥሩ ቦታ ነው እና አገልግሎት በጣም ግሩም ነው.",አገልግሎት,positive
2051,"ባጠቃላይ, ይህ ጥቂት ጓደኞች ጋር ጊዜ ለመውሰድ ጥሩ ቦታ ነው እና አገልግሎት በጣም ግሩም ነው.",ቦታ,positive
2055,ምግቡ ታላቅ ነው እናም የወልቃይት ጠገዴ ደግሞ ከዚህም የተሻለ ነው!,የወልቃይት ጠገዴ,positive
2059,ምግቡ ታላቅ ነው እናም የወልቃይት ጠገዴ ደግሞ ከዚህም የተሻለ ነው!,ምግብ,positive
2063,"እንደ አስገራሚ 'ግሪንስ ሰላጣዎች, የቡፋሎ ዶሮ ኪከርስ እና Cinna Stix ያሉ የጎን ትዕዛዞች ጋር ምግብ መገንባት.",ቡፋሎ ዶሮ ኪከርስ,neutral
2065,"እንደ አስገራሚ 'ግሪንስ ሰላጣዎች, የቡፋሎ ዶሮ ኪከርስ እና Cinna Stix ያሉ የጎን ትዕዛዞች ጋር ምግብ መገንባት.",ምግብ,neutral
2067,"እንደ አስገራሚ 'ግሪንስ ሰላጣዎች, የቡፋሎ ዶሮ ኪከርስ እና Cinna Stix ያሉ የጎን ትዕዛዞች ጋር ምግብ መገንባት.",የጎን ትዕዛዞች,neutral
2069,"እንደ አስገራሚ 'ግሪንስ ሰላጣዎች, የቡፋሎ ዶሮ ኪከርስ እና Cinna Stix ያሉ የጎን ትዕዛዞች ጋር ምግብ መገንባት.",ሲና ስቲክስ,neutral
2071,"እንደ አስገራሚ 'ግሪንስ ሰላጣዎች, የቡፋሎ ዶሮ ኪከርስ እና Cinna Stix ያሉ የጎን ትዕዛዞች ጋር ምግብ መገንባት.",አስደናቂ ' ግሪንስ ሰላጣ,neutral
2073,ምግቡና ዋጋማነቱ በጣም አስደነቀን ።,ዋጋ,positive
2076,ምግቡና ዋጋማነቱ በጣም አስደነቀን ።,ምግብ,positive
2079,የነጭ ሽንኩርት ሾርባውን መሞከር አለብህ!,የነጭ ሽንኩርት ሾርባ,positive
2082,"ምግቡ ታላቅ (ትልቅ ምርጫ, ምክንያታዊ ዋጋዎች) እና መጠጦቹ በእርግጥ ጥሩ ናቸው.",መጠጦች,positive
2086,"ምግቡ ታላቅ (ትልቅ ምርጫ, ምክንያታዊ ዋጋዎች) እና መጠጦቹ በእርግጥ ጥሩ ናቸው.",ዋጋዎች,positive
2090,"ምግቡ ታላቅ (ትልቅ ምርጫ, ምክንያታዊ ዋጋዎች) እና መጠጦቹ በእርግጥ ጥሩ ናቸው.",ምርጫ,positive
2094,"ምግቡ ታላቅ (ትልቅ ምርጫ, ምክንያታዊ ዋጋዎች) እና መጠጦቹ በእርግጥ ጥሩ ናቸው.",ምግብ,positive
2098,ከባቢ አየር ሞቅ ያለ፣ ምቹ፣ የኪነ ጥበብና የጾታ ስሜት የሚንጸባረቅበት ነው።,ከባቢ አየር,positive
2101,እዚያ ምግቡን በጣም እንወደዋለን ፣ በጣም ጥሩ ምግብ ነበር ፤ አገልግሎቱም በጣም ጥሩ ነበር ።,ምግብ,positive
2105,እዚያ ምግቡን በጣም እንወደዋለን ፣ በጣም ጥሩ ምግብ ነበር ፤ አገልግሎቱም በጣም ጥሩ ነበር ።,አገልግሎት,positive
2109,እዚያ ምግቡን በጣም እንወደዋለን ፣ በጣም ጥሩ ምግብ ነበር ፤ አገልግሎቱም በጣም ጥሩ ነበር ።,ምግብ,positive
2113,ጌጣጌጡ በካይሮ እንዳለን ሆኖ ተሰምቶት ነበር፣ በእርግጥ መንገዱ የጀብደኝነት ክፍል ነው።,ማስጌጫ,positive
2115,ምግቡ በጣም ጥሩና ተወዳጅ ከመሆኑ የተነሳ መጠበቅ ቅዠት ሊሆን ይችላል።,መጠባበቂያ,negative
2119,ምግቡ በጣም ጥሩና ተወዳጅ ከመሆኑ የተነሳ መጠበቅ ቅዠት ሊሆን ይችላል።,ምግብ,positive
2123,ይህ ቦታ ከመደበኛው የተለየ ሥጋ እንደሚጠቀም ምንም ጥርጥር የለውም።,ሥጋ,negative
2126,"ትንሽ ቢሆንም ውብ የሆነ አረቄ አለው, ግሩም ምግብ (ካትፊሽ ጣፋጭ ነው - ya የሊል ጨዋማ ከሆነ) እና በትኩረት አገልግሎት.",አገልግሎት,positive
2130,"ትንሽ ቢሆንም ውብ የሆነ አረቄ አለው, ግሩም ምግብ (ካትፊሽ ጣፋጭ ነው - ya የሊል ጨዋማ ከሆነ) እና በትኩረት አገልግሎት.",አማርኛ,positive
2134,"ትንሽ ቢሆንም ውብ የሆነ አረቄ አለው, ግሩም ምግብ (ካትፊሽ ጣፋጭ ነው - ya የሊል ጨዋማ ከሆነ) እና በትኩረት አገልግሎት.",ካትፊሽ,positive
2138,"ትንሽ ቢሆንም ውብ የሆነ አረቄ አለው, ግሩም ምግብ (ካትፊሽ ጣፋጭ ነው - ya የሊል ጨዋማ ከሆነ) እና በትኩረት አገልግሎት.",ምግብ,positive
2142,ምግቡ ለጥቂት ደቂቃዎች ተጨማሪ ጊዜ ወስዶ ነበር፣ ነገር ግን ቆንጆዎቹ አስተናጋጆቹ ቀልድና ወዳጃዊ ስሜት ያካክሱታል።,ምግብ,neutral
2144,ምግቡ ለጥቂት ደቂቃዎች ተጨማሪ ጊዜ ወስዶ ነበር፣ ነገር ግን ቆንጆዎቹ አስተናጋጆቹ ቀልድና ወዳጃዊ ስሜት ያካክሱታል።,አስተናጋጆች,positive
2147,እዚህ የመጣሁት አልፎ አልፎ ለምሳ እንዲሁም ለጓደኛዬ የልደት ቀን ነው እናም ሁልጊዜ እደሰታለሁ።,ተራ ምሳ,neutral
2149,ሱሺ ሁልጊዜ ንጹሕና ጣፋጭ ከመሆኑም በላይ የምግብ ማውጫው በጣም የተለያየ ነው።,ሜኑ,positive
2153,ሱሺ ሁልጊዜ ንጹሕና ጣፋጭ ከመሆኑም በላይ የምግብ ማውጫው በጣም የተለያየ ነው።,ሱሺ,positive
2157,በተለይ በግብዣው ወቅት አስተናጋጆቹ ኬክ አስጌጠኝና እንዳወጣ እንዲሁም ለአንድ 15 ሰው ግብዣ ፈጣንና ወዳጃዊ አገልግሎት እንድቀርብ ሲረዱኝ በጣም ተገረምኩ።,አገልግሎት,positive
2160,በተለይ በግብዣው ወቅት አስተናጋጆቹ ኬክ አስጌጠኝና እንዳወጣ እንዲሁም ለአንድ 15 ሰው ግብዣ ፈጣንና ወዳጃዊ አገልግሎት እንድቀርብ ሲረዱኝ በጣም ተገረምኩ።,አስተናጋጆች,positive
2162,እስከ ዛሬ ከበላኋቸው የሕንድ ምግቦች ሁሉ የተሻለ ነው።,የሕንድ ምግብ,positive
2165,ሰራተኞቹ ለማመን በሚያዳግት መልኩ ተግባቢ ናቸው። ስለ ሳግ ጎሽ ህልም... በጣም ጥሩ.,Sag gosht,positive
2169,ሰራተኞቹ ለማመን በሚያዳግት መልኩ ተግባቢ ናቸው። ስለ ሳግ ጎሽ ህልም... በጣም ጥሩ.,በትር,positive
2173,የሚያሳዝነው፣ በሰፈር ካልኖራችሁ በስተቀር፣ ምቹ በሆነ ቦታ ሳይሆን እንደ ድብቅ ሀብት ነው።,ቦታ,negative
2176,ሠራተኞቹ በሩ ላይ ሞቅ ያለ አቀባበል አደረጉልኝ ፤ እኔም ወዲያውኑ ተቀመጥኩ ፤ ምግቡም በጣም ጥሩ ነበር ።,በትር,positive
2180,ሠራተኞቹ በሩ ላይ ሞቅ ያለ አቀባበል አደረጉልኝ ፤ እኔም ወዲያውኑ ተቀመጥኩ ፤ ምግቡም በጣም ጥሩ ነበር ።,ምግብ,positive
2184,ሜኑ ጥሩ ነው፣ ጥሩ ምርጫ አለው፣ እናም የሞከርኩት ነገር ሁሉ ፈጽሞ ጣፋጭ ነው።,ሜኑ,positive
2188,ሜኑ ጥሩ ነው፣ ጥሩ ምርጫ አለው፣ እናም የሞከርኩት ነገር ሁሉ ፈጽሞ ጣፋጭ ነው።,ምርጫ,positive
2192,ከአንዳንድ የቤተሰቡ ጓደኞች ጋር ወደ ስዊፍትስ ሄድኩ እናም በጣም ጥሩ እራት አበላን፣ ነገር ግን ምንም የሚያስደንቅ ነገር አልነበረም።,እራት,positive
2195,የተጠበሰ ዶሮና ሰላጣ ነበረኝ ።,ሰላጣ,neutral
2197,የተጠበሰ ዶሮና ሰላጣ ነበረኝ ።,የተጠበሰ ዶሮ,neutral
2199,ይህ ቦታ በከተማው ውስጥ ምርጥ ሱሺ አለው።,ሱሺ,positive
2202,ግሩም ምርጫ አላቸው (ሸርጣን ጋር ጥቅልሎች በእርግጥ ታላቅ ናቸው).,ሸርጣን ጋር ጥቅልሎች,positive
2206,ግሩም ምርጫ አላቸው (ሸርጣን ጋር ጥቅልሎች በእርግጥ ታላቅ ናቸው).,ምርጫ,positive
