,yo,aspect,polarities
822,"Mo ṣàròyé fún olùgbà àti lẹ́yìn náà fún olùdarí, ṣùgbọ́n ìwà ìkà tó lágbára láti ọ̀dọ̀ wọn ṣẹ̀ṣẹ̀ lọ sókè.",Oluṣakoso,negative
825,"Mo ṣàròyé fún olùgbà àti lẹ́yìn náà fún olùdarí, ṣùgbọ́n ìwà ìkà tó lágbára láti ọ̀dọ̀ wọn ṣẹ̀ṣẹ̀ lọ sókè.",waiter,negative
828,Iṣẹ́ wọn àti oúnjẹ wọn jámi kulẹ̀ gidi gan-an.,iṣẹ,negative
831,Iṣẹ́ wọn àti oúnjẹ wọn jámi kulẹ̀ gidi gan-an.,ounjẹ,negative
834,Mo lọ ní ọjọ́ Àbámẹ́ta tó kọjá yìí mo sì jẹ oúnjẹ tí ó tayọ tí ó ní ọ̀dọ́-àgùntàn shank tí wọ́n fi ọ̀pọ̀lọpọ̀ ọ̀pọ,braised ọdọ-agutan shank pẹlu mashed poteto,positive
836,Mo lọ ní ọjọ́ Àbámẹ́ta tó kọjá yìí mo sì jẹ oúnjẹ tí ó tayọ tí ó ní ọ̀dọ́-àgùntàn shank tí wọ́n fi ọ̀pọ̀lọpọ̀ ọ̀pọ,ounjẹ,positive
839,"Láàárín èmi àti àlejò mi, a ṣe àpẹẹrẹ ó kéré tán 80% àtòjọ-ẹ̀yàn, gbogbo wọn sì jẹ́ ìkọlù.",akojọ aṣayan,positive
841,Deco àti àyíká náà nífẹ̀ẹ́ ara wọn gan-an.,Deco,positive
844,Deco àti àyíká náà nífẹ̀ẹ́ ara wọn gan-an.,ambiance,positive
847,"Mo ti jẹun ní gbogbo ibi mẹ́ta mo sì máa ń nífẹ̀ẹ́ sí, nífẹ̀ẹ́ oúnjẹ náà, iṣẹ́ náà máa ń dára ní gbogbo ìgbà àti pé iye owó náà mọ́gbọ́n dání.",awọn idiyele,positive
851,"Mo ti jẹun ní gbogbo ibi mẹ́ta mo sì máa ń nífẹ̀ẹ́ sí, nífẹ̀ẹ́ oúnjẹ náà, iṣẹ́ náà máa ń dára ní gbogbo ìgbà àti pé iye owó náà mọ́gbọ́n dání.",iṣẹ,positive
855,"Mo ti jẹun ní gbogbo ibi mẹ́ta mo sì máa ń nífẹ̀ẹ́ sí, nífẹ̀ẹ́ oúnjẹ náà, iṣẹ́ náà máa ń dára ní gbogbo ìgbà àti pé iye owó náà mọ́gbọ́n dání.",ounjẹ,positive
859,"Tí o bá fẹ́ ìtọ́wò tó dára, oúnjẹ Latin tí ó ní àkókò tó dára ní Cabana o kò sì lè lọ ní àṣìṣe.",Latin ounje,positive
862,"Kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé oúnjẹ) ṣe é yàn.",ọgba,positive
866,"Kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé oúnjẹ) ṣe é yàn.",iṣẹ,positive
870,"Kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé oúnjẹ) ṣe é yàn.",awọn appetizers,positive
874,"Kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé oúnjẹ) ṣe é yàn.",entrees,positive
878,"Kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé oúnjẹ) ṣe é yàn.",ounjẹ,positive
882,"Bẹ́ẹ̀ ni, adìẹ náà dára níbí.",adie,positive
885,Guac náà ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ,salsa tuntun,neutral
887,Guac náà ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ,adùn,negative
890,Fajita tí a gbìyànjú kò dùn ó sì jóná àti pé ọbẹ̀ mole náà dùn jù.,fajita,negative
894,Fajita tí a gbìyànjú kò dùn ó sì jóná àti pé ọbẹ̀ mole náà dùn jù.,mole sauce,negative
898,Dúró pẹ̀lú àwọn adìẹ sísun wà á sì wà dáadáa.,Awọn adie sisun,positive
900,Iṣẹ́ yẹn wà lára àwọn tí ó dára jù tí mo ti ní rí ní NYC.,Iṣẹ́,positive
903,Alfredo fettucino náà yani lẹ́nu.,fettucino alfredo,positive
906,Iye owó kódà níta ọ̀sẹ̀ ilé oúnjẹ dára gan-an.,Iye owo,positive
909,"Àwọn oníbàárà àti àwọn olùdarí dára gan-an àti pé ọ̀ṣọ́ náà rọrùn púpọ̀ wọ́n sì dúró sẹ́yìn, ní gbogbo ìgbà tí wọ́n bá jẹ́ ìgbàlódé.",Awọn alakoso,positive
913,"Àwọn oníbàárà àti àwọn olùdarí dára gan-an àti pé ọ̀ṣọ́ náà rọrùn púpọ̀ wọ́n sì dúró sẹ́yìn, ní gbogbo ìgbà tí wọ́n bá jẹ́ ìgbàlódé.",bartenders,positive
917,"Àwọn oníbàárà àti àwọn olùdarí dára gan-an àti pé ọ̀ṣọ́ náà rọrùn púpọ̀ wọ́n sì dúró sẹ́yìn, ní gbogbo ìgbà tí wọ́n bá jẹ́ ìgbàlódé.",ọ̀ṣọ́,positive
921,"Mo fẹ́ràn àwọn ohun mímu náà, esp lychee martini, oúnjẹ náà sì dára púpọ̀.",awọn ohun mimu,positive
925,"Mo fẹ́ràn àwọn ohun mímu náà, esp lychee martini, oúnjẹ náà sì dára púpọ̀.",lychee martini,positive
929,"Mo fẹ́ràn àwọn ohun mímu náà, esp lychee martini, oúnjẹ náà sì dára púpọ̀.",ounjẹ,positive
933,Owó sushi náà kò wọ́n dáadáa ó sì tún tuntun.,iye owo,positive
937,Owó sushi náà kò wọ́n dáadáa ó sì tún tuntun.,sushi,positive
941,Ó dára fún oúnjẹ ọ̀sán súṣì kíákíá.,sushi ounjẹ ọsan,positive
944,"Kì í ṣe pé wọ́n ní escargot tó dára jùlọ ní ìlú nìkan, wọ́n máa ń gbìyànjú láti gba ọmọ kékeré wa.",escargot,positive
947,Appetizer jẹ o tayọ nibi; O lè ṣe oúnjẹ ńlá (tí kò sì wọ́n) láti ara wọn.,Appetizer,positive
951,Appetizer jẹ o tayọ nibi; O lè ṣe oúnjẹ ńlá (tí kò sì wọ́n) láti ara wọn.,ounjẹ,positive
955,Àwọn ẹja ẹlẹ́rìndòdò dídùn náà jẹ́ ohun pàtàkì.,Awọn mussels ti o ni adun,positive
958,Jẹ mojito kí o sì jókòó sí àgbàlá ẹ̀yìn.,back patio,positive
960,Jẹ mojito kí o sì jókòó sí àgbàlá ẹ̀yìn.,mojito,positive
962,"Bí ó tilẹ̀ jẹ́ pé oúnjẹ ilé ìdáná wọn dùn, Sushi wọn kò sí nínú ayé yìí.",idana ounjẹ,positive
966,"Bí ó tilẹ̀ jẹ́ pé oúnjẹ ilé ìdáná wọn dùn, Sushi wọn kò sí nínú ayé yìí.",Sushi,positive
970,Ibí yìí ní àkójọ àṣàyàn tó ṣàjòjì jùlọ àti pé àwọn ilé oúnjẹ náà gbìyànjú gidigidi láti ṣe oúnjẹ tó wuyì.,akojọ aṣayan,negative
974,Ibí yìí ní àkójọ àṣàyàn tó ṣàjòjì jùlọ àti pé àwọn ilé oúnjẹ náà gbìyànjú gidigidi láti ṣe oúnjẹ tó wuyì.,ounjẹ,negative
978,Ní gbogbo ìgbà tí mo bá lọ síbẹ̀ mi ò lè mú ohunkóhun láti jẹ kì í ṣe nítorí pé àtòjọ-ẹ̀yàn náà kún fún àwọn nkan ńlá láti jẹ.,akojọ aṣayan,negative
980,Mo máa ń rí ara mi tí mò ń béèrè lọ́wọ́ olùtọ́jú láti ṣe nkan tí kò dára tí ó sì yàtọ̀ sí ohun tí ó wà nínú àtòjọ oúnjẹ.,waiter,neutral
982,Mo máa ń rí ara mi tí mò ń béèrè lọ́wọ́ olùtọ́jú láti ṣe nkan tí kò dára tí ó sì yàtọ̀ sí ohun tí ó wà nínú àtòjọ oúnjẹ.,akojọ aṣayan,neutral
984,"Bí ó tilẹ̀ jẹ́ pé ilé oúnjẹ náà dára, mo fẹ́ láti má lọ fún oúnjẹ.",ounjẹ,negative
986,Ibí kékeré yìí ń kíni mọ́ra gidi gan-an.,ibi,positive
989,Olùgbàlejò (ẹni tí ó ni) àti àwọn olùpín jẹ́ ènìyàn àti ìtọ́jú.,host (eni),positive
991,Olùgbàlejò (ẹni tí ó ni) àti àwọn olùpín jẹ́ ènìyàn àti ìtọ́jú.,awọn olupin,positive
994,"Àti pé oúnjẹ náà, ó dáa oúnjẹ náà máa jẹ́ kí o padà wá.",ounjẹ,positive
996,"Àti pé oúnjẹ náà, ó dáa oúnjẹ náà máa jẹ́ kí o padà wá.",ounjẹ,positive
998,Wọ́n ní pastas tí wọ́n ṣe nílé ní gbogbo irúfẹ́ -- mo dábàá gnocchi náà -- bẹ́ẹ̀ ni!,awọn pastas ti a ṣe ni ile,positive
1000,Wọ́n ní pastas tí wọ́n ṣe nílé ní gbogbo irúfẹ́ -- mo dábàá gnocchi náà -- bẹ́ẹ̀ ni!,gnocchi,positive
1003,"Bákan náà, chick peas pẹ̀lú edé (appetizer) jẹ́ Ọlọ́run.",chick peas pẹlu shrimp (appetizer),positive
1005,Mojitos ati iṣẹ naa jẹ apakan ti o dara julọ ninu ikoko,mojitos,positive
1008,Mojitos ati iṣẹ naa jẹ apakan ti o dara julọ ninu ikoko,iṣẹ,positive
1011,Iṣẹ́ wọn dára bẹ́ẹ̀ náà ni àyíká.,Iṣẹ́,positive
1014,Iṣẹ́ wọn dára bẹ́ẹ̀ náà ni àyíká.,afẹ́fẹ́,positive
1017,Èmi àti ọjọ́ mi béèrè fún Branzini àwọn méjèèjì sì rò pé ẹja náà jẹ́ àpapọ̀.,ẹja,negative
1020,Èmi àti ọjọ́ mi béèrè fún Branzini àwọn méjèèjì sì rò pé ẹja náà jẹ́ àpapọ̀.,Branzini,neutral
1023,Oúnjẹ náà dára lápapọ̀. ,ounjẹ,positive
1026,Sàláàdì Caeser náà dára púpọ̀.,caeser saladi,positive
1029,Calamari dídì náà dára gan-an!,fried calamari,positive
1032,OÚNJẸ NÁÀ JÁ MI KULẸ̀ GIDI GAN-AN.,OÚNJẸ,negative
1035,"BANANA PUDDING TÍ WỌ́N Ń PÈSÈ KÒ TÍ Ì RÍ ADIRO RÍ, CRABCAKES TI KỌJÁ IYỌ̀ KÒ SÌ JẸ́ KÍ N BẸ̀RẸ̀ LÓRÍ MAC ÀTI CHEESE GREASY.",MAC ATI WARANKASI,negative
1039,"BANANA PUDDING TÍ WỌ́N Ń PÈSÈ KÒ TÍ Ì RÍ ADIRO RÍ, CRABCAKES TI KỌJÁ IYỌ̀ KÒ SÌ JẸ́ KÍ N BẸ̀RẸ̀ LÓRÍ MAC ÀTI CHEESE GREASY.",CRABCAKES,negative
1043,"BANANA PUDDING TÍ WỌ́N Ń PÈSÈ KÒ TÍ Ì RÍ ADIRO RÍ, CRABCAKES TI KỌJÁ IYỌ̀ KÒ SÌ JẸ́ KÍ N BẸ̀RẸ̀ LÓRÍ MAC ÀTI CHEESE GREASY.",BANANA PUDDING,negative
1045,Sushi tuntun débi pé ó ń dún lẹ́nu rẹ.,Sushi,positive
1048,Ṣùgbọ́n rí i dájú pé o ní ààyè tó tó lórí káàdì ìsanwó rẹ nítorí owó náà yóò fi ìdíwọ́ ńlá sílẹ̀ nínú àpamọ́wọ́ rẹ.,owo,negative
1051,Oúnjẹ náà kò dára láti jẹ́ onínúure - inú ilé kéré ó sì jẹ́ àpapọ̀ - àwọn onílé náà jẹ́ ẹgbẹ́ àwọn ohun tí kò dára - ìwà ìkà àti ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun.,inu ilohunsoke,negative
1055,Oúnjẹ náà kò dára láti jẹ́ onínúure - inú ilé kéré ó sì jẹ́ àpapọ̀ - àwọn onílé náà jẹ́ ẹgbẹ́ àwọn ohun tí kò dára - ìwà ìkà àti ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun.,ijẹun,neutral
1057,Oúnjẹ náà kò dára láti jẹ́ onínúure - inú ilé kéré ó sì jẹ́ àpapọ̀ - àwọn onílé náà jẹ́ ẹgbẹ́ àwọn ohun tí kò dára - ìwà ìkà àti ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun.,awọn onihun,negative
1061,Oúnjẹ náà kò dára láti jẹ́ onínúure - inú ilé kéré ó sì jẹ́ àpapọ̀ - àwọn onílé náà jẹ́ ẹgbẹ́ àwọn ohun tí kò dára - ìwà ìkà àti ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun.,ounjẹ,negative
1065,Oúnjẹ wọ́n gan-an fún ohun tí o lè gbà.,Oúnjẹ,negative
1068,Wọ́n ní láti rán ẹran Delmonico $72 náà padà nítorí wọn kò sè é láti béèrè fún.,Delmonico steak,negative
1071,Àwọn Ìṣàkóso náà kò tó àkójọpọ̀.,Isakoso,negative
1074,A ti máa ń gba iṣẹ́ tí ó dára a sì fẹ́ràn oúnjẹ náà.,iṣẹ,positive
1078,A ti máa ń gba iṣẹ́ tí ó dára a sì fẹ́ràn oúnjẹ náà.,ounjẹ,positive
1082,Mo ti jẹ oúnjẹ japanese tó dára ní àgbàlá oúnjẹ ilé ìtajà.,Ounjẹ Japanese,negative
1085,Rírìn àkọ́kọ́ ní ibẹ̀ dàbí ẹni pé ó ní àyíká tó dára.,ambience,positive
1088,Rírìn àkọ́kọ́ ní ibẹ̀ dàbí ẹni pé ó ní àyíká tó dára.,ibi,positive
1090,Ṣùgbọ́n àwọn oúnjẹ náà burú jáì.,awọn ounjẹ,negative
1093,Mo bèèrè fún Chicken Teriyaki ọkọ mi sì ra Garlic Shrimp.,Garlic Shrimp,neutral
1095,Mo bèèrè fún Chicken Teriyaki ọkọ mi sì ra Garlic Shrimp.,Adie Teriyaki,neutral
1097,Wọ́n gbẹ adìẹ mi pátápátá àti pé ní ẹ̀gbẹ́ òtútù ọbẹ̀ náà kò sì dùn púpọ̀.,ọbẹ̀,negative
1101,Wọ́n gbẹ adìẹ mi pátápátá àti pé ní ẹ̀gbẹ́ òtútù ọbẹ̀ náà kò sì dùn púpọ̀.,adie,negative
1105,"Ohun rere kan tí mo lè sọ ni pé iṣẹ́ náà yára, a jókòó lẹ́sẹ̀kẹsẹ̀ olùpín náà sì fanimọ́ra gidi gan-an.",iṣẹ,positive
1109,"Ohun rere kan tí mo lè sọ ni pé iṣẹ́ náà yára, a jókòó lẹ́sẹ̀kẹsẹ̀ olùpín náà sì fanimọ́ra gidi gan-an.",server,positive
1113,Owó tó pọ̀ jù fún irú oúnjẹ burúkú bẹ́ẹ̀.,ounjẹ,negative
1116,Mo ní ìrírí ńlá ní Trio... òṣìṣẹ́ dára; Oúnjẹ dùn ó sì tóbi ní ìwọ̀n ìpín - mà á dábàá portobello/gorgonzola/sausage appetizer àti lobster risotto.,lobster risotto,positive
1120,Mo ní ìrírí ńlá ní Trio... òṣìṣẹ́ dára; Oúnjẹ dùn ó sì tóbi ní ìwọ̀n ìpín - mà á dábàá portobello/gorgonzola/sausage appetizer àti lobster risotto.,ounjẹ,positive
1124,Mo ní ìrírí ńlá ní Trio... òṣìṣẹ́ dára; Oúnjẹ dùn ó sì tóbi ní ìwọ̀n ìpín - mà á dábàá portobello/gorgonzola/sausage appetizer àti lobster risotto.,portobello/gorgonzola/sausage appetizer,positive
1128,Mo ní ìrírí ńlá ní Trio... òṣìṣẹ́ dára; Oúnjẹ dùn ó sì tóbi ní ìwọ̀n ìpín - mà á dábàá portobello/gorgonzola/sausage appetizer àti lobster risotto.,oṣiṣẹ,positive
1132,Mo ní ìrírí ńlá ní Trio... òṣìṣẹ́ dára; Oúnjẹ dùn ó sì tóbi ní ìwọ̀n ìpín - mà á dábàá portobello/gorgonzola/sausage appetizer àti lobster risotto.,ipin iwọn,positive
1136,Iṣẹ́ náà fetí sílẹ̀ ó sì dára.,iṣẹ,positive
1139,"A ní ọ̀pọ̀lọpọ̀ oúnjẹ dídára, ọtí ẹlẹ́rìndòdò, àti oúnjẹ ìpanu.",ọtí ẹlẹ́rìndòdò,positive
1142,"A ní ọ̀pọ̀lọpọ̀ oúnjẹ dídára, ọtí ẹlẹ́rìndòdò, àti oúnjẹ ìpanu.",desserts,positive
1145,"A ní ọ̀pọ̀lọpọ̀ oúnjẹ dídára, ọtí ẹlẹ́rìndòdò, àti oúnjẹ ìpanu.",ounjẹ,positive
1148,Ìrírí oúnjẹ jíjẹ tí ó dára láàárín àwọn agbègbè midtown tí ó ń dún.,ijẹun iriri,positive
1151,"Iṣẹ́ ìsìn náà máa ń dára nígbà gbogbo, olówó náà sì rìn káàkiri láti rí i dájú pé o gbádùn.",oní-nǹkan,positive
1153,"Iṣẹ́ ìsìn náà máa ń dára nígbà gbogbo, olówó náà sì rìn káàkiri láti rí i dájú pé o gbádùn.",iṣẹ,positive
1156,A jókòó ní kíákíá nítòsí ilẹ̀ ijó.,ijó pakà,neutral
1158,"Orin náà fani mọ́ra, ṣùgbọ́n ó fi ààyè sílẹ̀ fún ìjíròrò, oníbàárà náà sì mu ohun mímu tó tayọ.",awọn ohun mimu,positive
1162,"Orin náà fani mọ́ra, ṣùgbọ́n ó fi ààyè sílẹ̀ fún ìjíròrò, oníbàárà náà sì mu ohun mímu tó tayọ.",bartender,positive
1166,"Orin náà fani mọ́ra, ṣùgbọ́n ó fi ààyè sílẹ̀ fún ìjíròrò, oníbàárà náà sì mu ohun mímu tó tayọ.",orin,positive
1170,Oúnjẹ náà kò fi bẹ́ẹ̀ dára púpọ̀ iṣẹ́ wọn náà sì burú jáì.,iṣẹ,negative
1174,Oúnjẹ náà kò fi bẹ́ẹ̀ dára púpọ̀ iṣẹ́ wọn náà sì burú jáì.,ounjẹ,negative
1178,"Inú mi dùn pé mo ṣe é nítorí oúnjẹ náà dára àwọn òṣìṣẹ́ náà sì fanimọ́ra, wọ́n ní ìtẹ́wọ́gbà wọ́n sì já fáfá.",oṣiṣẹ,positive
1182,"Inú mi dùn pé mo ṣe é nítorí oúnjẹ náà dára àwọn òṣìṣẹ́ náà sì fanimọ́ra, wọ́n ní ìtẹ́wọ́gbà wọ́n sì já fáfá.",ounjẹ,positive
1186,MI Ò JẸ OÚNJẸ BURÚKÚ RÍ (TÀBÍ IṢẸ́ BURÚKÚ)@PIGALLE.,IṢẸ,positive
1188,MI Ò JẸ OÚNJẸ BURÚKÚ RÍ (TÀBÍ IṢẸ́ BURÚKÚ)@PIGALLE.,OÚNJẸ,positive
1190,Eyi jẹ ki o han gbangba pe ounjẹ naa ko ṣe alabapade; Ó hàn gbangba pé wọ́n ṣe é ṣáájú ọwọ́ kí wọ́n tó tún un gbóná.,ounjẹ,negative
1193,"Lásìkò tí ọwọ́ rẹ̀ dí, mo fọwọ́sọ̀yà pé kí ẹ gba ààyè sílẹ̀.",ifiṣura,neutral
1196,Ṣùgbọ́n wàrà mac wọn jẹ́ YUMMY!,mac cheese,positive
1199,Àkójọ oúnjẹ àárọ̀ àti ọ̀sán wọn ní nǹkan fún gbogbo ènìyàn.,brunch akojọ aṣayan,positive
1201,Akọrin jazz ní ohùn tó dára + ó jẹ́ kí gbogbo wa dìde láti jó láti gbọn àwọn ọmọ màlúù díẹ̀ láti jẹ díẹ̀ sí i.,jazz singer,positive
1204,Ti o ba nwa fun irira ga owo ounje pẹlu kan dash ti ghetto iwoye poku BX A $ yi ni ibi lati wa !!,iwoye,negative
1206,Ti o ba nwa fun irira ga owo ounje pẹlu kan dash ti ghetto iwoye poku BX A $ yi ni ibi lati wa !!,ounjẹ,negative
1210,Ti o ba nwa fun irira ga owo ounje pẹlu kan dash ti ghetto iwoye poku BX A $ yi ni ibi lati wa !!,iye owo,negative
1214,Iṣẹ́ náà yára yára.,iṣẹ,positive
1217,A pàdé ilé-oúnjẹ yìí ní ìṣẹ̀lẹ̀ nígbà tí a wà níbi ayẹyẹ iṣẹ́-ọnà DUMBO a sì gbádùn oúnjẹ wa dáadáa.,ounjẹ,positive
1220,Oúnjẹ náà dára púpọ̀ - ojúlówó oúnjẹ ilẹ̀ Italian tí wọ́n ṣe tuntun gan-an.,Italian onjewiwa,positive
1224,Oúnjẹ náà dára púpọ̀ - ojúlówó oúnjẹ ilẹ̀ Italian tí wọ́n ṣe tuntun gan-an.,ounjẹ,positive
1228,Iṣẹ́ náà yàtọ̀.,iṣẹ,positive
1231,Mi ò mọ ohun tí àwọn èèyàn kan tí wọ́n ń rave nípa ajá gbígbóná yìí ń sọ̀rọ̀ nípa rẹ̀.,gbona aja,negative
1233,Èyí láìsí ìbéèrè jẹ́ ọ̀kan lára àwọn ajá gbígbóná tí ó burú jù tí mo ti ní rí.,hotdogs,negative
1236,"Ní àfikún sí àwọn ajá gbígbóná ńlá, DOTP ní àwọn sáńwíìsì oúnjẹ àárọ̀ ìyanu tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots àti English muffins, ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí NJ tí ó dùn mọ̀ fún wa àwọn ọmọbìnrin àti ọmọkùnrin Jersey gẹ́gẹ́ bí Taylor ham.",English muffins,positive
1240,"Ní àfikún sí àwọn ajá gbígbóná ńlá, DOTP ní àwọn sáńwíìsì oúnjẹ àárọ̀ ìyanu tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots àti English muffins, ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí NJ tí ó dùn mọ̀ fún wa àwọn ọmọbìnrin àti ọmọkùnrin Jersey gẹ́gẹ́ bí Taylor ham.",Taylor ham,positive
1242,"Ní àfikún sí àwọn ajá gbígbóná ńlá, DOTP ní àwọn sáńwíìsì oúnjẹ àárọ̀ ìyanu tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots àti English muffins, ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí NJ tí ó dùn mọ̀ fún wa àwọn ọmọbìnrin àti ọmọkùnrin Jersey gẹ́gẹ́ bí Taylor ham.",ẹran ẹlẹdẹ ọja,positive
1246,"Ní àfikún sí àwọn ajá gbígbóná ńlá, DOTP ní àwọn sáńwíìsì oúnjẹ àárọ̀ ìyanu tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots àti English muffins, ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí NJ tí ó dùn mọ̀ fún wa àwọn ọmọbìnrin àti ọmọkùnrin Jersey gẹ́gẹ́ bí Taylor ham.",tator tots,positive
1250,"Ní àfikún sí àwọn ajá gbígbóná ńlá, DOTP ní àwọn sáńwíìsì oúnjẹ àárọ̀ ìyanu tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots àti English muffins, ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí NJ tí ó dùn mọ̀ fún wa àwọn ọmọbìnrin àti ọmọkùnrin Jersey gẹ́gẹ́ bí Taylor ham.",awọn aja gbona,positive
1254,"Ní àfikún sí àwọn ajá gbígbóná ńlá, DOTP ní àwọn sáńwíìsì oúnjẹ àárọ̀ ìyanu tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots àti English muffins, ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí NJ tí ó dùn mọ̀ fún wa àwọn ọmọbìnrin àti ọmọkùnrin Jersey gẹ́gẹ́ bí Taylor ham.",oúnjẹ àárọ̀ sáńwíìsì,positive
1258,"Àwọn ọ̀rọ̀ nípa àwọn oúnjẹ dídùn tọ́ (ní ìsàlẹ̀) ṣùgbọ́n àwọn oúnjẹ yòókù, pẹ̀lú ọ̀dọ́-àgùntàn àti ọ̀pọ̀lọpọ̀ sàláàdì (ẹja avocado) dára púpọ̀.",awọn ounjẹ sisun,negative
1260,"Àwọn ọ̀rọ̀ nípa àwọn oúnjẹ dídùn tọ́ (ní ìsàlẹ̀) ṣùgbọ́n àwọn oúnjẹ yòókù, pẹ̀lú ọ̀dọ́-àgùntàn àti ọ̀pọ̀lọpọ̀ sàláàdì (ẹja avocado) dára púpọ̀.",salads (avocado shrimp),positive
1262,"Àwọn ọ̀rọ̀ nípa àwọn oúnjẹ dídùn tọ́ (ní ìsàlẹ̀) ṣùgbọ́n àwọn oúnjẹ yòókù, pẹ̀lú ọ̀dọ́-àgùntàn àti ọ̀pọ̀lọpọ̀ sàláàdì (ẹja avocado) dára púpọ̀.",awọn ounjẹ,positive
1265,"Àwọn ọ̀rọ̀ nípa àwọn oúnjẹ dídùn tọ́ (ní ìsàlẹ̀) ṣùgbọ́n àwọn oúnjẹ yòókù, pẹ̀lú ọ̀dọ́-àgùntàn àti ọ̀pọ̀lọpọ̀ sàláàdì (ẹja avocado) dára púpọ̀.",ọdọ-agutan entrée,positive
1268,Àtòjọ ọtí wáìnì tó máa ń bani nínú jẹ́ díẹ̀ (àtijọ́ tuntun nìkan.,vintages,negative
1270,Àtòjọ ọtí wáìnì tó máa ń bani nínú jẹ́ díẹ̀ (àtijọ́ tuntun nìkan.,waini akojọ,negative
1273,"Ṣùgbọ́n fún iye náà, kò ga ju nǹkan lọ láti gbádùn alẹ́ aládùn pẹ̀lú ẹgbẹ́ kékeré.",iye,positive
1275,"Olùgbàwo wa ṣe ìrànlọ́wọ́ ó sì rẹwà, oúnjẹ náà dára, ọtí wáìnì náà sì dára, náà.",ọtí ẹlẹ́rìndòdò,positive
1279,"Olùgbàwo wa ṣe ìrànlọ́wọ́ ó sì rẹwà, oúnjẹ náà dára, ọtí wáìnì náà sì dára, náà.",waiter,positive
1283,"Olùgbàwo wa ṣe ìrànlọ́wọ́ ó sì rẹwà, oúnjẹ náà dára, ọtí wáìnì náà sì dára, náà.",ounjẹ,positive
1287,Oúnjẹ náà dára púpọ̀ àti pé iṣẹ́ náà kò ga jù.,iṣẹ,positive
1291,Oúnjẹ náà dára púpọ̀ àti pé iṣẹ́ náà kò ga jù.,ounjẹ,positive
1295,"Lẹ̀ mọ́ àwọn nkan tí ibẹ̀ máa ń ṣe dáadáa, brisket, ribs, wings, cajun shrimp dára, kò dára.",cajun shrimp,neutral
1298,"Lẹ̀ mọ́ àwọn nkan tí ibẹ̀ máa ń ṣe dáadáa, brisket, ribs, wings, cajun shrimp dára, kò dára.",brisket,positive
1301,"Lẹ̀ mọ́ àwọn nkan tí ibẹ̀ máa ń ṣe dáadáa, brisket, ribs, wings, cajun shrimp dára, kò dára.",Àwọn ìhà,positive
1304,"Lẹ̀ mọ́ àwọn nkan tí ibẹ̀ máa ń ṣe dáadáa, brisket, ribs, wings, cajun shrimp dára, kò dára.",iyẹ́,positive
1307,"Àṣàyàn ọtí bíà tó dára náà, nǹkan bí ọtí bíà 50.",awọn beers,neutral
1309,"Àṣàyàn ọtí bíà tó dára náà, nǹkan bí ọtí bíà 50.",beer selection,positive
1312,"BtW, iṣẹ naa dara julọ .",iṣẹ,positive
1315,"Nítorí náà a jókòó sí ilé-ọtí, oníbàárà náà kò dàbí ẹni pé ó fẹ́ wà níbẹ̀.",bar,neutral
1317,"Nítorí náà a jókòó sí ilé-ọtí, oníbàárà náà kò dàbí ẹni pé ó fẹ́ wà níbẹ̀.",bartender,negative
1319,A kò mọ̀ bóyá kí á béèrè fún ohun mímu tàbí kúrò?,ohun mímu,neutral
