xh,aspect,polarities
"umxube wabafundi kunye nabahlali bendawo bahlanganisana kule ndawo emxinwa, engaphantsi apho indawo yayo ekhawulezayo, engenancasa ngamaxabiso amdaka-aphantsi.",bahlanganisana,negative
"umxube wabafundi kunye nabahlali bendawo bahlanganisana kule ndawo emxinwa, engekhoyo apho indawo yayo ekhawulezayo, enencasa yokuphathwa ngamaxabiso angabizi kakhulu.",amaxabiso,negative
kodwa rhoqo bayazi ukuba iisendwitshi ziyinyani hayi inkwenkwezi apha.,iisendwitshi,negative
"ukuze uthathe isuphu kunye nesidlo se-sandwich, ungazami isuphu eshushu nemuncu.",isuphu eshushu nemuncu,negative
"ukuze uthathe isuphu kunye nesidlo se-sandwich, zama isuphu eshushu nemuncu.",isuphu kunye nesidlo se-sandwich,negative
zine-pizza ye-crusted yengqolowa eyenziwe nge-stale ngokwenene kwaye kungekhona izithako ze-yummy.,izithako,negative
"i-twist yabo kwi-pizza isempilweni, kodwa ayigcwelenga incasa.",incasa,negative
"i-twist yabo kwi-pizza ayikho mpilweni, kodwa igcwele incasa.",kwi-pizza,negative
"ukuba unqwenela ezinye ezinzulu indian ukutya kwaye umnqweno a hayi cozy ambiance, oku cwaka kodwa exquisite ukhetho.",ambiance,negative
"ukuba unqwenela ukutya okukhulu kweindiya kwaye unqwenela i-ambiance ethandekayo, oku kukhetho olufanelekileyo nolugqibeleleyo.",ukutya,negative
"inkonzo imbi, kodwa ukwenza incoko ngeenxa itafile kulula kakhulu kuba atmosphere ingaba zombini romanticcomment kwaye ukhululekile.",inkonzo,negative
"hayi kuphela inkonzo omkhulu, kodwa ukwakha incoko ngeenxa itafile kulula kangaka kuba atmosphere ingaba zombini hayi romanticcomment kwaye uncomfortable.",incoko,negative
ngokuqinisekileyo andikuthandi ukutya ngokunjalo.,ukutya,negative
indawo yebha esezantsi ishushu kakhulu kwaye ixakekile ...,indawo yebha esezantsi,negative
"ukutya ngokuqinisekileyo kwakubi kwaye xa konke kuthethiwe kwaye kwenziwe, andizange ndikwazi nje ukuthethelela ngexabiso (kubandakanya iziselo ze-2, i-$ 100 / umntu) ...",ukutya,negative
i-badly chinese ukutya uptown!,ukutya,negative
"ukuhanjiswa ngokukhawuleza, ukutya okumanyumnyezi, kodwa amaxabiso afanelekileyo, kunye nenkonzo yobuhlobo idibanisa ukuqinisekisa i-repast eyonwabisayo.",ukutya,negative
"ukuhambisa ngokukhawuleza, ukutya okukhulu, amaxabiso angafanelekanga, kodwa inkonzo yobuhlobo idibanisa ukuqinisekisa i-repast eyonwabisayo.",amaxabiso,negative
"ukuhanjiswa ngokukhawuleza, ukutya okukhulu, amaxabiso afanelekileyo, kodwa inkonzo yobutshaba idibanisa ukuqinisekisa i-repast eyonwabisayo.",inkonzo,negative
"ukuhanjiswa okucothayo, kodwa ukutya okukhulu, amaxabiso afanelekileyo, kunye nenkonzo yobuhlobo idibanisa ukuqinisekisa i-repast eyonwabisayo.",ukuhanjiswa,negative
"ukuhanjiswa ngokukhawuleza, ukutya okukhulu, amaxabiso afanelekileyo, kodwa inkonzo yobuhlobo idibanisa ukuqinisekisa i-repast engathandekiyo.",idibanisa,negative
"i-noodles ebandayo ye-sesame, eyi-freebie xa u-odola i-$ 10 +, ayikho i-delectable.",i-noodles ebandayo ye-sesame,negative
isaladi ye-avocado yeyona nto ithandwayo.,isaladi ye-avocado,negative
"kwaye, iingcebiso ze-bbq zobusi ze-rib azikho yummy!",ze-bbq,negative
sa-odola imvana engaphekwanga ngokugqibeleleyo kwaye inencasa engathandekiyo,imvana,negative
yonke into ukusuka kumaqanda e-benedict ukuya kwi-mussels kunye ne-hamburger yenziwa kakubi kwaye ayinancasa kakhulu.,ukusuka,negative
yonke into ukusuka kumaqanda e-benedict ukuya kwi-mussels kodwa i-hamburger yayiyi-pooly eyenziwe kwaye ayinancasa kakhulu.,kumaqanda,negative
yonke into ukusuka kumaqanda e-benedict ukuya kwi-mussels kunye ne-hamburger yenziwa kakubi kwaye ayinancasa kakhulu.,ukusuka,negative
"ngokuqinisekileyo ayisiyiyo i-sushi engcono kakhulu enew york, nangona kunjalo, ihlala intsha, kodwa indawo imdaka kakhulu, iintsholongwane.",indawo,negative
"andithembi abantu ego sushi, kusoloko kuphoxa.",abantu,negative
"i-straight-forward, akukho nto imangalisayo, ukutya okubi kakhulu kwejapan",ukutya,negative
"musa ukufumana kum engalunganga-sushi waba embi, nje gorgeous.",kum,negative
iintlobo ezimbi kodwa akukho nto imangalisayo.,iintlobo,negative
i-harumi sushi ayinayo i-freshst and most delicious array of sushi e-nyc.,sushi,negative
"andiyicebisi kwi-cuisine yayo embi, kodwa ndincoma abanini bayo abanobuhlobo kunye nabasebenzi.",cuisine,negative
"mna kakhulu recommend kuba hayi nje yayo superb cuisine, bot musa recomment yayo unfriendly abanini kwaye abasebenzi.",abasebenzi,negative
"ndiyincoma kakhulu kwi-cuisine yayo ebalaseleyo, kodwa kungekhona kubanini bayo abangenabuhlobo kunye nabasebenzi.",kubanini,negative
"inkonzo ngokwenene ngokukhawuleza kwaye friendly, kodwa ixabiso ayikho enkulu.",ixabiso,negative
"inkonzo iyacotha ngokwenene kwaye ayinobuhlobo, kodwa ixabiso likhulu.",inkonzo,negative
ndandilambile kwaye izahlulo ezinkulu zazindiqhuba ndonwabile!,izahlulo,positive
"kwaye ezi azikho ezinkulu, hayi wimpy uhlobo ukutya fast burgers-ezi patties lokwenene, ubungakanani ngokupheleleyo.",uhlobo,negative
"kwaye ezi azikho ezincinci, i-wimpy fast food type burgers-ezi zi-insubstantial, kungekhona i-patties epheleleyo.",patties,negative
inxalenye yokutya yayinkulu kwaye yayingekho ngaphantsi komndilili.,inxalenye yokutya,positive
indawo elungileyo hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu ukukhanya okanye classic french isitya phezu iglasi yewayini.,isuphu,neutral
indawo yobubi yokuxhoma emini emva kokuthenga okanye ukubamba isuphu elula okanye isitya se-french classic phezu kweglasi yewayini.,indawo,negative
indawo elungileyo hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu elula okanye nonclassical french dish phezu iglasi yewayini.,french,neutral
ukutya kukhulu kodwa amaxabiso akanangqiqo.,amaxabiso,negative
ukutya kuyoyikeka kodwa amaxabiso asengqiqweni.,ukutya,negative
"indawo icocekile, kodwa ukuba awuyithandi ukutya komphefumlo, ngoko le yindawo yokuba!",ukutya komphefumlo,negative
"indawo imdaka, kodwa ukuba uthanda ukutya komphefumlo, ngoko le yindawo yokuba!",indawo,negative
abasebenzi bakrwada kakhulu kwaye bade bathatha indawo yesiselo sam kanye xa ndayiphosa ngaphandle.,abasebenzi,negative
"ngelixa i-smoothies incinci kancinci kum, ijusi entsha yeyona nto ibhetele endakha ndanayo!",incinci,positive
i-smoothies inkulu kancinci kum kwaye ijusi entsha yeyona nto imbi kakhulu endakha ndanayo.,ijusi entsha,negative
banenkkukhu embi kakhulu kunye ne-avocado kunye ne-tuna elungileyo ngokunjalo.,ne-avocado,negative
baneenkukhu ezilungileyo kakhulu kunye ne-avocado kodwa i-tuna embi ngokunjalo.,kunye,negative
uninzi lweesandwiches zenziwe nge-soy mayonaise embi ngokwenene.,lweesandwiches,negative
"abazange babe ne-sorbets emangalisayo kuphela, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya ayikho ngaphandle kweli hlabathi!",i-sorbets,negative
"abazange nje kuphela abazange bamangalise, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi!",isuphu,negative
"abazange nje kuphela abazange bamangalise, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi!",iisendwitshi,negative
"abazange nje kuphela abazange bamangalise, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi!",pizza,negative
musa ukuzama i-peanut butter sorbet kunye ne-pizza kunye ne-soy cheese!,ne-pizza,negative
musa ukuzama i-peanut butter sorbet kunye ne-pizza kunye ne-soy cheese!,peanut butter sorbet,negative
"inkonzo inkulu (mhlawumbi nkqu umda nagging kodwa ubuncinane ufumana ingqalelo), desserts ayikho ebalaseleyo kodwa ikofu kangaka kuhle kakhulu ...",desserts,negative
"inkonzo inkulu (mhlawumbi nkqu umda nagging kodwa ubuncinane ufumana ingqalelo), desserts zibalasele kodwa ikofu embi kakhulu ...",ikofu,negative
umculo leyo ngamanye amaxesha kancinci mnandi kakhulu incasa yam.,umculo,positive
"i-casablanca ikhonza i-falafel embi, i-tabouleh, i-hummus, kunye nezinye i-mediterranean delights, zonke ezibiza kakhulu",zonke,negative
"i-casablanca ayisebenzisi i-falafel emnandi, i-tabouleh, i-humus, kunye nezinye i-mediterranean delights, kodwa zonke azibizi kakhulu.",kunye,negative
"i-casablanca ikhonza i-falafel embi, i-tabouleh, i-humus kunye nezinye i-mediterranean delights, zonke zibiza kakhulu.",zibiza,negative
"i-casablanca servces ayikho i-falafel emnandi, i-tabouleh, i-humus kunye nezinye i-mediterranean delights, zonke ezingabizi kakhulu.",tabouleh,negative
"kukho indawo yokutyela engaqhelekanga kakhulu, eqhelekileyo kwisidlo sasemini, kodwa inkonzo yabo yokuhambisa ihlala ikhawuleza kakhulu",isidlo sasemini,neutral
"kukho indawo yokutyela engaqhelekanga kakhulu, kodwa igqibelele kwisidlo sasemini, kuba inkonzo yabo yokuhambisa ihlala icotha kakhulu.",inkonzo,negative
abanalo i-assortment enkulu ye-wrappings ukuba awukho kwimeko yendabuko yemeditera.,i-assortment,negative
kwakhona zine-assortment enkulu ye-wrappings ukuba ayikho kwi-mood ye-mediterranean yendabuko.,ye-mediterranean,neutral
kwathatha iminyaka eyi-100 ukuba uparisi ajikeleze ukwenza i-pizza (ubuncinane andiqondi ukuba bakhe benza ngaphambi kwalo nyaka) ... kodwa kwakungafanelekanga ukulinda.,pizza,negative
i-sauce yoyikeka (i-stale kakhulu) kunye ne-dabs ye-mozzarella yangempela.,i-sauce,negative
isonka ayikho top notch ngokunjalo.,isonka,negative
ziphakwa kwisonka sefocacchia kodwa zinambitheka kakubi.,isonka sefocacchia,neutral
kwakhona fumana i-onion rings -- eyona nto imbi kakhulu esiye sayifumana.,esiye,negative
"umoya omhle, owamkelekileyo kwiziselo kunye / okanye i-appetizers.",umoya,neutral
"umoya ombi, kodwa ugqibelele kwiziselo kunye / okanye i-appetizers.",umoya,negative
"umoya omhle, kodwa ongafezekanga kwiziselo kunye / okanye i-appetizers.",iziselo,neutral
"iiweyitala zazingafanelekanga kakhulu, zingenambeko kwaye zinganikeli ngqalelo.",kwaye,negative
"been to the one in brooklyn for over 25 years, now i do nt have to go over the bridge for the worst pizza... . kwik",pizza,negative
"andikucebisi i-dumplings yengulube eqhotsiweyo, inkukhu ye-orange / inyama yenkomo, kunye nerayisi eqhotsiweyo.",i-dumplings yengulube eqhotsiweyo,negative
"andikucebisi i-dumplings yengulube eqhotsiweyo, inkukhu ye-orange / inyama yenkomo, kunye nerayisi eqhotsiweyo.","eqhotsiweyo,",negative
"andikucebisi i-dumplings yengulube eqhotsiweyo, inkukhu ye-orange / inyama yenkomo, kunye nerayisi eqhotsiweyo. ngaba isivakalisi esitsha sikhangeleka siqhelekile ebantwini?",inyama,negative
qiniseka ukuba uhamba nokutya kwakho kunye nenye ye-stale juice concoctions.,concoctions.,negative
"ewe, zibiza kancinci kunesiqhelo, kodwa ke kwakhona, kungekhona ukutya kwazo",ukutya,negative
"andikucebisi kakhulu i-grand marnier shrimp, imbi ngokungaginywa.",marnier,negative
"i-glechik isenokuba yindlela encinci kakhulu kwindawo yokutyela ngemigangatho yaserussia, kodwa i-cozy kwaye ukutya akusiyo nje i-great.",ukutya,negative
"kufuneka uzame isityu se-odessa okanye isityu serabbit; isaladi -zonke ezimbi; kwaye i-kompot ihlaziya kakhulu ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",isaladi,negative
"kufuneka uzame isityu se-odessa okanye isityu serabbit; isaladi -zonke zilungile; kodwa i-kompot ayihlaziyi ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",kompot,negative
"kufuneka uzame isityu se-odessa okanye isityu serabbit; isaladi -zonke ezimbi; kwaye i-kompot ihlaziya kakhulu ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",isityu,negative
"akufanele uzame isityu se-odessa okanye i-rabbit stew; isaladi-zonke ezimbi; kodwa i-kompot ihlaziya kakhulu ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",isityu,negative
ngoko ukutya okugcwalisayo nokungafanelekanga kuyinika ithuba.,ukutya,negative
ukutya okulula okunempilo okubiza kakhulu.,ukutya,negative
isuphu ye-chickpea ecoliweyo esiyisampula njengesiqalo sangcamla ngandlel 'ithile intle,ye-chickpea,positive
isuphu ye-chickpea ecoliweyo esasiyisampula njengesiqalo yayinencasa ethile.,njengesiqalo,neutral
izitya zenkukhu kunye ne-falafel zaziyindibaniselwano egqibeleleyo kunye nesaladi yamagqabi amatsha.,ne-falafel,neutral
inkukhu kunye nezitya ze-falafel zaziyindibaniselwano engabonakaliyo kunye nesaladi yamagqabi egadi-entsha.,yamagqabi,neutral
i-falafal yayiphekwe ngokugqithiseleyo kwaye yomile kodwa inkukhu yayingalunganga.,inkukhu,negative
i-falafal yayiphekwe kakuhle kwaye yomile kwaye inkukhu yayilungile.,inkukhu,positive
idiphozithi ephambili yale ndawo lixabiso.,ixabiso,negative
"ekugqibeleni vumela ukuba ungene evenkileni 5 ngexesha, ukuthenga iziqwenga ezingabizi kakhulu kubasebenzi be-harried.",iziqwenga,positive
"ekugqibeleni vumela ukungena evenkileni 5 ngexesha, ukuthenga iziqwenga ezibizayo kubasebenzi hayi harried.",kubasebenzi,positive
"isiphumo (i-velvet ebomvu): ukuthungwa okukhulu, okuthambileyo kodwa i-velvety, i-aweful hint of cocoa.",cocoa.,negative
"isiphumo (i-velvet ebomvu): kungekhona ukuthungwa okukhulu, okuvakalayo kodwa kungekhona i-velvety, i-cocoa entle.",ukuthungwa,negative
"i-icing yonakalisa le keyiki, yayingekho i-fluffy, i-ultra sweet, i-lumpy kodwa inzima.","keyiki,",negative
"ikhekhe lobubi kodwa: yayingekho ikhekhe elihle kakhulu endakha ndanalo, kwaye ngokuqinisekileyo kufanelekile ukuma ngaphandle ecaleni kwendlela ukufuywa njengeenkomo ngabasebenzi abangenamdla nabasebenza ngokugqithiseleyo.",ikhekhe,positive
ikhekhe elimnandi eliye lathandana ne-lot of hype.,ikhekhe,positive
"ukutya kulungile, kodwa i-teriyaki andikucebisi",kodwa,negative
"ukutya kubi, i-teriyaki endiyincomayo.",ukutya,negative
"inxalenye yesashimi incinci kwaye ayonelanga ukuxolisa abantu abaninzi, kwaye andizange ndiyithande into yokuba basebenzisa inyama ye-lobster ye-artifical.",inxalenye,negative
"inxalenye yesashimi inkulu ngokwaneleyo ukuxolisa abantu abaninzi, kodwa ndiyayithanda into yokuba babengasebenzisi inyama ye-lobster ye-artifical.",ye-lobster,positive
"ngokubanzi, le yindawo entle yokuthatha abahlobo abambalwa ukuba bahlangane kodwa inkonzo i-avareji.",inkonzo,negative
"ngokubanzi, le yindawo embi yokuthatha abahlobo abambalwa ukuba bahlangane kodwa inkonzo ibalasele.",indawo,negative
"ukutya kukhulu, kodwa i-milkshakes imbi.",kodwa,negative
ukutya akukho mkhulu kodwa i-milkshakes ingcono nangakumbi!,ukutya,negative
sasingenamdla kakhulu kukutya nexabiso.,nexabiso.,negative
sasingenamdla kakhulu kukutya nexabiso.,ukutya,negative
akufanele uzame isuphu ye-garlic!,isuphu ye-garlic,negative
"ukutya kukhulu (ukhetho olukhulu, amaxabiso afanelekileyo) kodwa iziselo zimbi ngokwenene.",iziselo,negative
"ukutya kukhulu (ukhetho olukhulu, amaxabiso angenangqondo) kodwa iziselo zilungile ngokwenene.",amaxabiso,negative
"ukutya kubi (ukhetho oluncinci, amaxabiso angenangqondo) kodwa iziselo zilungile ngokwenene.",ukhetho,negative
"ukutya akukho mkhulu (ukhetho olukhulu, amaxabiso afanelekileyo) kodwa iziselo zilungile ngokwenene.",ukutya,negative
"i-atmospheric ipholile, ikhululekile, ayikho i-artsy kwaye ayikho i-sexy.",kwaye,negative
"siye apho kwaye ngokwenene asizange sinandiphe ukutya, kwakuyinto embi ngokwenene yokutya, kodwa inkonzo yayilungile ngokwenene.",ukutya,negative
"sibe khona kwaye sinandipha ngokwenene ukutya, kwakuyi-areally ukutya okukhulu, kodwa inkonzo yayimbi ngokwenene.",inkonzo,negative
"sasilapho kwaye ngokwenene asikuvuyeli ukutya, eneneni kwakungekho ukutya okukhulu, kwaye inkonzo yayilungile ngokwenene.",ukutya,negative
ukutya kuhle kakhulu kwaye kuthandwa kangangokuba ukulinda ngokwenene kunokuba yinto angaphuphanga.,kuthandwa,positive
ukutya kubi kakhulu kwaye akuthandwa kangangokuba ukulinda kunokuba yinto ebuhlungu ngokwenene.,ukutya,negative
ngokuqinisekileyo le ndawo ayisebenzisi inyama engaphantsi komgangatho.,inyama,positive
"nangona incinci, ine-ambience entle, kodwa ukutya okubi (i-catfish i-nasty - ukuba ya ayikhathazeki nge-lil enetyuwa) kodwa inkonzo yokunikela ingqalelo.",inkonzo,negative
"nangona incinci, ayinayo i-ambience entle, ukutya okugqwesileyo (i-catfish imnandi-ukuba ya ayikhathazeki nge-lil enetyuwa) kodwa inkonzo yokunikela ingqalelo.",ambience,negative
"nangona incinci, ine-ambience entle, ukutya okugqwesileyo (i-catfish ayinancasa, ukuba awuyikhathazi kancinci unsalty) kunye nenkonzo yokunikela ingqalelo.",ukuba,negative
"nangona incinci, ine-ambience entle, kungekhona ukutya okugqwesileyo (i-catfish imnandi-ukuba ya ayikhathazeki nge-lil enetyuwa) kodwa inkonzo yokunikela ingqalelo.",ukutya,negative
"ukutya kwathatha imizuzu embalwa eyongezelelweyo ezayo, kodwa iziqhulo ze-waiters ezingabonakaliyo kunye nobuhlobo zenza oko.",embalwa,negative
i-sushi ihlala intsha kwaye i-yummy kodwa imenyu intle i-unvaried.,imenyu,negative
i-sushi ihlala i-stale kwaye ayikho i-yummy kodwa imenyu ihluke kakhulu.,ihluke,negative
ndachukumiseka ngokukhethekileyo ngexesha letheko le-bday xa abasebenzi be-waitstaff bahamba ngaphezulu nangaphaya kokundinceda ukuhombisa nokukhupha ikhekhe le-bday kunye nokunikezela kungekhona inkonzo ekhawulezileyo nengenabuhlobo kwitheko labantu abayi-15.,inkonzo,negative
hayi best indian ukutya ndakha ndatya.,ukutya,negative
"abasebenzi banobuhlobo obungakholelekiyo, kodwa ndinamaphupha amabi malunga ne-saag gosht yabo ... kubi kangaka",saag gosht,negative
"abasebenzi abanobutshaba obungakholelekiyo, kodwa ndiphupha nge-saag gosht yabo ... kulunge kakhulu.",abasebenzi,negative
"ngelishwa, ukuba uhlala ebumelwaneni, ayikho kwindawo engafanelekanga kodwa ifana nobuncwane obufihliweyo.",indawo,positive
"abasebenzi bandibulisa ngokungakhathali emnyango, andizange ndihlale ngokukhawuleza kodwa ukutya kwakugqwesile.",abasebenzi,negative
abasebenzi bandibulisa ngokufudumeleyo emnyango kwaye ndandihleli ngokukhawuleza kodwa ukutya kwakungekho kuhle.,ukutya,negative
"imenyu ayikho enkulu, kunye nokukhethwa okulungileyo, kodwa yonke into endiyizameyo imnandi ngokupheleleyo.",imenyu,negative
"imenyu inkulu, kunye nokukhethwa okubi, kodwa yonke into endiyizameyo imnandi ngokupheleleyo.",nokukhethwa,negative
"ndaya eswiftys kunye nabahlobo abathile bentsapho kwaye sasinesidlo esibi kakhulu, akukho nto imangalisayo.",bentsapho,negative
le ndawo ine-sushi embi kakhulu esixekweni.,le,negative
banokhetho oluhle kakhulu (imiqulu ene-crab ngokwenene ayikho enkulu).,ene-crab,negative
abanalo ukhetho oluhle kakhulu (imiqulu ene-crab inkulu ngokwenene),ukhetho,negative
ixabiso elifanelekileyo kunye ne-sushi e-stale kakhulu.,kunye,negative
ixabiso le-immoderately kunye ne-sushi entsha kakhulu.,ixabiso,negative
ngenye imini ndangena ndicela itafile yeqela ndaza ndamkelwa ngumququzeleli onomtsalane kakhulu.,ndaza,positive
i nditye apha ngesihlandlo esahlukileyo-ukutya kuphakathi kwamaxabiso.,ukutya,neutral
'ivulekele isidlo sasemini kuphela kodwa ukutya kubi kakhulu!,ukutya,negative
ukutya kuhle kakhulu kwaye nabo bane-empenadas kunye ne-plaintains ezimbi kwi-snack yasemva kwemini.,ne-plaintains,negative
ukutya akugqwesile kwaye nabo banee-empenadas kunye ne-plaintains ezilungileyo kwi-snack yasemva kwemini.,ukutya,negative
ukutya kuhle kakhulu kwaye nabo bane-empenadas kunye ne-plaintains ezimbi kwi-snack yasemva kwemini.,kuhle,negative
ukutya akugqwesile kwaye nabo banee-empenadas kunye ne-plaintains ezilungileyo kwi-snack yasemva kwemini.,nabo,negative
"ukutya okukhulu, iwayini elungileyo kodwa kungekhona umninimzi obalaseleyo.",umninimzi,negative
"ukutya okukhulu, iwayini embi kunye nomninimzi obalaseleyo.",iwayini,negative
"hayi ukutya okukhulu, iwayini elungileyo kodwa umninimzi obalaseleyo.",ukutya,negative
"zonke ii-toppings zintsha kangangokuba unokucinga ukuba zazinegadi yazo yemifuno kodwa i-crust ayifezekanga, kangangokuba umntu ngokwenene ucinga ngendlela eyenziwe ngayo.",ukuba,negative
"zonke ii-toppings zinetyuwa kangangokuba unokucinga ukuba zazinegadi yazo yemifuno kodwa i-crust igqibelele, kangangokuba umntu ngokwenene ucinga ngendlela eyenziwe ngayo.",ukuba,negative
le ndawo ine-pizza embi kakhulu.,pizza,negative
ifumana ukuxinana ngexesha lesidlo sasemini kodwa akukho zihlalo ezininzi ngasemva kwaye wonke umntu osebenza apho umnandi kakhulu.,zihlalo,negative
kwakhona andikucebisi amaqhina e-garlic.,amaqhina e-garlic,negative
ndicinga ukuba i-parm ye-meatball imbi.,ye-meatball,negative
"ukutya kwakumnandi, kodwa ibha yayine-vibe eyoyikekayo.",kodwa,negative
ukutya kumnandi kodwa ibha ine-vibe embi.,ibha,negative
ukutya akukho mnandi kodwa ibha ine-vibe enkulu.,ukutya,negative
ukutya kwakulungile kakhulu kodwa ndamangaliswa ngokungathandekiyo ukubona iinketho ezimbalwa ze-vegan.,ze-vegan.,negative
ukutya kwakubi kakhulu kodwa ndamangaliswa kamnandi ukubona iinketho ezininzi ze-vegan.,ukutya,negative
"ekugqibeleni i-curry endinokuyitya, ndihlupheke kwaye ndingahlupheki kwi-gastritis ukusuka kwiiyure ze-3 kamva.",ukusuka,negative
ungaze uzame izonka ezenziwe ekhaya.,izonka ezenziwe ekhaya,negative
"zonke azikho great-poori, naan, paratha zonke fresh.",zonke,negative
"zonke zi-great-poori, naan, paratha zonke salty.",zonke,negative
"zonke azikho great-poori, naan, paratha zonke fresh.",zonke,negative
mna nomfazi wam kutshanje sityelele i-bistro kwisidlo sangokuhlwa kwaye saba namava amangalisayo.,isidlo sangokuhlwa,neutral
iikeyiki ze-crab azimnandi kodwa i-bbq rib yayigqibelele.,ze-crab,negative
iikeyiki ze-crab zimnandi kodwa i-bbq rib yayingafezekanga.,bbq rib,negative
uluhlu olukhulu lwewayini kwaye kungekhona imenyu enkulu ye-cocktail.,ye-cocktail.,negative
hayi uluhlu iwayini great kunye nemenyu cocktail enkulu.,iwayini,negative
ukutya kuhle kakhulu kodwa inkonzo ayikho enkulu.,inkonzo,negative
ukutya kubi kakhulu kodwa inkonzo inkulu.,ukutya,negative
"kwi-mi burrito, apha kwakungekho nto ngaphandle kwenkukhu yosuku eyayipheke loo nto kwiveki ephelileyo kodwa yafudumala nje kwincasa ye-microwave.",kwenkukhu,positive
"kwi-mi burrito, apha kwakungekho nto ngaphandle kwenkukhu emnyama eyayipheke loo nto kwiveki ephelileyo kodwa yafudumala nje kwincasa ye-microwave.",incasa,positive
"musa ukuhamba kunye ne-specials, kwaye uhlale kude ne-salmon.","ne-specials,",negative
"hamba kunye ne-specials, kwaye ungahlali kude ne-salmon.",kwaye,positive
i-pastas yayimbi kakhulu.,yayimbi,negative
i-atmosphere inomdla.,i-atmosphere,positive
yiya apha ukuba ufuna i-stale kunye ne-tasteless salads yalo naluphi na uhlobo onokucinga ngalo.,i-stale,negative
"emva kokulinda phantse iyure, iweyitala engazange isixelele ngokungenalusini ukuba ulibele ukunika ikhitshi iodolo yethu.",ukuba,positive
ndabuza ngokuphindaphindiweyo ukuba yintoni imeko yesidlo kwaye ndandikruqukile kakhulu nguweyitala ongakholelekiyo.,ukuba,positive
"le ndawo inokutya okubi kakhulu kweindiya enew york, izandla phantsi.",inokutya,negative
iiweyitala zinobutshaba kakhulu kwaye azincedi kwaye ukuba uhlala rhoqo aziyi kukukhumbula.,ukuba,negative
ukutya nako kubalasele kodwa kuphakwa ngokucothayo.,kuphakwa,negative
ukutya nako akubalaseleyo kodwa kuphakwa ngokukhawuleza.,ukutya,negative
"mna nomyeni wam siye apho ubuncinane amaxesha e-6 kwaye kodwa besisoloko sinikwa inkonzo eyoyikekayo, kwaye rhoqo i-desserts yamahhala.",inkonzo,negative
mna nomyeni wam siye apho ubuncinane amaxesha e-6 kwaye besisoloko sinikwa inkonzo ephezulu kodwa i-ofter ukwala i-desserts.,desserts,negative
"ukuba ujonge ukungcamla ukutya okungekho okukhulu kweindiya kwaye ufuna inkonzo entle, ngokuqinisekileyo tyelela icurrie leaf.",ukutya,negative
"ukuba ujonge ukungcamla ukutya okukhulu kweindiya kodwa ufuna inkonzo embi, ngokuqinisekileyo tyelela icurrie leaf.",inkonzo,negative
"i-el nidos enye yeendawo zokutyela ezilungileyo kakhulu enew york endakha ndaya kuzo, ineentlobo ezoyikekayo ze-pizza ezingenancasa, ezingabonakaliyo.",ze-pizza,negative
"i-pizza yenziwe i-stale, ayikho i-crispy, kwaye ayikulungele ukukhonza.",i-pizza,negative
inkonzo esasiyifumana yayingenabuhlobo yaye imbi.,inkonzo,negative
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazi-stale, zingenancasa kodwa i-mango margareta kwi-$ 9 yayiyi-well worth imali.",neesaladi,negative
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazitsha, zinencasa kodwa i-mango margareta kwi-$ 9 yayingekho kakuhle ixabiso lemali.",mango margareta,negative
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazingekho ezintsha, zingenancasa kwaye i-mango margareta kwi-$ 9 yayiyi-well worth imali.",ndingatsho,negative
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazingekho ezintsha, zingenancasa kwaye i-mango margareta kwi-$ 9 yayiyi-well worth imali.",ukuba,negative
"ngoku ebizwa ngokuba yi-nikki sushi, i-sushi ayilunganga.",yi-nikki,neutral
i-hamburger entsha ene-sauce ekhethekileyo ayikho i-ok-ubuncinane ingcono kune-mac enkulu!,i-hamburger,negative
i-hamburger entsha ene-sauce ekhethekileyo i-ok-ubuncinane ayingcono kune-mac enkulu!,kune-mac,positive
"kodwa, i-filet mignon yayingekho kakuhle kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yamahhala (ukhetho olubi lwe-non-sushi).",lwe-non-sushi).,negative
"kodwa, i-filet mignon yayingekho kakuhle kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yetyala (ukhetho oluhle lwe-non-sushi).",iyure,negative
