,zu,aspect,polarities
1530,"Ukudla nje KULUNGILE, futhi cishe akufanelekile ukuhamba ngaphandle kokuthi uthola i-pialla, okuwukuphela kwesitsha esibi ngempela.",isidlo,negative
1533,"Ukudla nje KULUNGILE, futhi cishe akufanelekile ukuhamba ngaphandle kokuthi uthola i-pialla, okuwukuphela kwesitsha esibi ngempela.",pialla,negative
1536,Abasebenzi banonya kakhulu.,abasebenzi,negative
1539,Benza i-pizza embi kakhulu eNew Jersey.,pizza,negative
1542,"Akukona nje kuphela ukuthi i-waiter yayingasebenzi kahle futhi inehlonipho, kodwa futhi ingasizi kakhulu.",waiter,negative
1545,Indawo yokudlela encane enenkonzo ehamba kancane kakhulu.,service,negative
1548,"Hhayi Burgers Omkhulu, ushizi oqoshiwe kanye fries French.",ushizi oqoshiwe,negative
1551,"Hhayi Burgers Omkhulu, ushizi oqoshiwe kanye fries French.",ama-fries aseFrance,negative
1554,"Hhayi Burgers Omkhulu, ushizi oqoshiwe kanye fries French.",Burgers,negative
1557,"Ukudla kukhulu, ngiyawazonda ama-dumplings abo, ama-noodle abandayo e-sesame, inkukhu kanye nezitsha ze-shrimp.",inkukhu,negative
1561,"Ukudla akuyona enkulu, kodwa ngithanda ama-dumplings abo, ama-noodle abandayo we-sesame, inkukhu kanye nezitsha ze-shrimp.",ukudla,negative
1565,"Ukudla kukhulu, ngiyawazonda ama-dumplings abo, ama-noodle abandayo e-sesame, inkukhu kanye nezitsha ze-shrimp.",abandayo sesame noodles,negative
1569,"Ukudla kukhulu, ngiyawazonda ama-dumplings abo, ama-noodle abandayo e-sesame, inkukhu kanye nezitsha ze-shrimp.",ama-dumplings,negative
1573,"Ukudla kukhulu, ngiyawazonda ama-dumplings abo, ama-noodle abandayo e-sesame, inkukhu kanye nezitsha ze-shrimp.",izitsha ze-shrimp,negative
1577,"AmaShayina amahle kakhulu eMpumalanga Engenhla, ukulethwa okusheshayo, inani elibi.",inani,negative
1581,"AmaShayina amahle kakhulu eMpumalanga Engenhla, hhayi ukulethwa okusheshayo, inani elihle.",ukulethwa,negative
1587,Angizange ngimangale kamnandi ukunambitheka.,ukunambitheka,negative
1590,"Ingxube yabafundi kanye nabahlali bendawo bagcwala kule ndawo encane, encane lapho yokudla kwayo okungasheshi, okunganambitheki ngamanani ashibhile angcolile.",isikhala,positive
1594,"Ingxube yabafundi kanye nabahlali bendawo bagcwala kule ndawo encane, encane lapho yokudla kwayo okusheshayo, okunganambitheki ngamanani ashibhile angcolile.",ama-treats,negative
1598,"Ingxube yabafundi kanye nabahlali bendawo bagcwala kule ndawo encane, encane lapho yokudla kwayo okusheshayo, okumnandi hhayi ngamanani ashibhile angcolile.",amanani,negative
1602,Kodwa abavamile bayazi ukuthi ama-sandwich ayi-real hhayi inkanyezi lapha.,ama-sandwich,negative
1605,"Ukuze uthathe okunomsoco isobho kanye sandwich isidlo, ungazami isobho ashisayo futhi omuncu.",isobho elishisayo nelimuncu,negative
1609,"Ukuze uthole ukuthatha okungathandeki ekudleni kwesobho ne-sandwich, zama isobho elishisayo nelimuncu.",isobho kanye sandwich isidlo,negative
1615,Bane-pizza kakolweni e-crusted eyenziwe nge-stale ngempela hhayi izithako ze-yummy.,izithako,negative
1618,"I-twist yabo ku-pizza inempilo, kodwa ayigcwele ukunambitheka.",ukunambitheka,negative
1622,"I-twist yabo ku-pizza ayinampilo, kodwa igcwele ukunambitheka.",twist ku pizza,negative
1626,"Uma ufisa ukudla okujulile kwe-indian futhi ufisa i-ambiance engathokomele, lokhu kuthule kodwa ukukhetha okuhle kakhulu.",ambiance,negative
1630,"Uma ufisa ukudla okukhulu kwe-indian futhi ufisa i-ambiance ethokomele, lokhu ukukhetha impela futhi okuhle kakhulu.",ukudla kwe-indian,negative
1634,"Inkonzo imbi, kodwa ukwakha ingxoxo ezungeze itafula kulula kakhulu ngoba umkhathi ungaba kokubili romantic futhi ukhululekile.",service,negative
1638,"Akukona nje kuphela ukuthi inkonzo inkulu, kodwa ukwakha ingxoxo ezungeze itafula kulula kakhulu ngoba umkhathi ungaba kokubili hhayi romantic futhi ungakhululekile.",umkhathi,negative
1646,Ngokuqinisekile angizange ngijabulele ukudla futhi.,ukudla,negative
1649,Indawo yebha engezansi ishisa kakhulu futhi ixakeke ...,phansi ibha scene,negative
1656,"Ukudla nakanjani kwakubi futhi lapho konke kushiwo futhi kwenziwa, angikwazanga nje ukuthethelela ngentengo (kufaka phakathi iziphuzo ze-2, $ 100 / umuntu) ...",ukudla,negative
1659,I BADLY Chinese ukudla Uptown!,Ukudla kwesiShayina,negative
1662,"Ukulethwa okusheshayo, ukudla okwesabekayo, kodwa amanani ahloniphekile, kanye nensizakalo enobungane ihlanganisa ukuqinisekisa i-repast ejabulisayo.",ukudla,negative
1666,"Ukulethwa okusheshayo, ukudla okukhulu, amanani angcolile, kodwa insizakalo enobungane ihlanganisa ukuqinisekisa i-repast ejabulisayo.",amanani,negative
1670,"Ukulethwa okusheshayo, ukudla okukhulu, amanani ahloniphekile, kodwa insizakalo enonya ihlanganisa ukuqinisekisa i-repast ejabulisayo.",service,negative
1674,"Ukuhambisa kancane, kodwa ukudla okukhulu, amanani ahloniphekile, kanye nensizakalo enobungane kuhlanganisa ukuqinisekisa i-repast ejabulisayo.",ihambisa,negative
1678,"Ukulethwa okusheshayo, ukudla okukhulu, amanani ahloniphekile, kodwa insizakalo enobungane ihlanganisa ukuqinisekisa i-repast engathandeki.",repast,negative
1682,"I abandayo sesame noodles, okuyizinto freebie lapho oda $ 10 +, akuzona delectable.",abandayo sesame noodles,negative
1685,Isaladi le-avocado liyintandokazi encane yomuntu siqu.,isaladi le-avocado,negative
1688,"Futhi, uju BBQ rib amathiphu akuzona yummy!",uju BBQ rib amathiphu,negative
1691,Sa-oda iwundlu elingaphekiwe ngokuphelele futhi linambitheka ngaphandle kokucindezeleka,iwundlu,negative
1694,Konke kusukela kumaqanda benedict kuya kuma-mussels ngisho ne-hamburger kwenziwa kabi futhi kunganambitheki kakhulu.,mussels,negative
1697,Konke kusukela kumaqanda benedict kuya mussels kodwa hamburger babe pooly kwenziwe futhi kunganambitheki kakhulu.,amaqanda benedict,negative
1700,Konke kusukela kumaqanda benedict kuya kuma-mussels ngisho ne-hamburger kwenziwa kabi futhi kunganambitheki kakhulu.,hamburger,negative
1703,"Ngokuqinisekile hhayi i-sushi engcono kakhulu eNew York, noma kunjalo, ihlala intsha, kodwa indawo ingcolile kakhulu, amagciwane.",indawo,negative
1706,"Angibathembi abantu baseGo Sushi, kuhlale kuphoxa.",abantu,negative
1709,"Straight-phambili, akukho ukumangala, ukudla okubi kakhulu Japanese",Ukudla kwaseJapane,negative
1712,"ungangitholi okungalungile-sushi kwakubi, nje langa.",sushi,negative
1715,Izinhlobonhlobo ezimbi kodwa akukho okumangazayo.,ezihlukahlukene,negative
1718,UHarumi Sushi akanalo uhla olusha futhi olumnandi kakhulu lwe-sushi e-NYC.,uhla lwe-sushi,negative
1721,"Angincomi nge-cuisine yayo embi, kodwa ngincoma abanikazi bayo abanobungane nabasebenzi.",cuisine,negative
1725,"Ngincoma kakhulu hhayi nje cuisine yayo oncomekayo, bot musa recomment abanikazi bayo abangenabuhlobo kanye nabasebenzi.",abasebenzi,negative
1729,"Ngincoma kakhulu i-cuisine yayo enhle kakhulu, kodwa hhayi kubanikazi bayo abangenabuhlobo nabasebenzi.",abanikazi,negative
1735,"Le nsizakalo iyashesha ngempela futhi inobungane, kodwa inani alikhulu.",inani,negative
1739,"Inkonzo ihamba kancane ngempela futhi ayinabuhlobo, kodwa inani likhulu.",service,negative
1743,Ngangibulawa yindlala futhi izingxenye ezinkulu zazingiqhuba ngijabule!,izingxenye,positive
1748,"Futhi lezi akuzona ezinkulu, hhayi wimpy ukudla okusheshayo uhlobo Burgers-lezi patties real, usayizi ogcwele.",Burgers,negative
1752,"Futhi lezi akuzona ezincane, wimpy ukudla okusheshayo uhlobo Burgers-lezi insubstantial, hhayi patties usayizi egcwele.",patties,negative
1760,Ingxenye yokudla yayiyi-LARGE futhi hhayi ngaphansi kwesilinganiso.,Ingxenye yokudla,positive
1769,indawo enhle hang out emini ngemva kokuthenga noma ukubamba isobho ukukhanya noma zakudala isidlo French phezu ingilazi yewayini.,isobho,neutral
1773,Ububi indawo hang out emini ngemva kokuthenga noma ukubamba isobho elula noma zakudala isidlo French phezu ingilazi yewayini.,indawo,negative
1779,indawo enhle hang out emini ngemva kokuthenga noma ukubamba isobho elula noma nonclassical french isidlo phezu ingilazi yewayini.,isidlo French,neutral
1783,Ukudla kukhulu kodwa amanani awanangqondo.,amanani,negative
1787,Ukudla kuyinto esabekayo kodwa amanani anengqondo.,ukudla,negative
1791,"Indawo ihlanzekile, kodwa uma ungathandi ukudla komphefumulo, khona-ke le yindawo okufanele ibe khona!",ukudla komphefumulo,negative
1795,"Indawo ingcolile, kodwa uma uthanda ukudla komphefumulo, khona-ke le yindawo okufanele ibe khona!",indawo,negative
1799,Abasebenzi bakhohlakele ngokwedlulele futhi baze bafaka isiphuzo sami kanye lapho ngiyiphonsa ngaphandle.,amalungu abasebenzi,negative
1808,"Ngenkathi ama-smoothies amancane kancane kimi, amajusi amasha angcono kakhulu engake ngaba nawo!",smoothies,positive
1812,Ama-smoothies amakhulu kancane kimi futhi amajusi amasha kukhona okubi kakhulu engake ngaba nakho.,amajusi amasha,negative
1816,Banenkukhu embi kakhulu ene-avocado ne-tuna enhle kanye.,inkukhu nge-avocado,negative
1820,Banenkukhu enhle kakhulu ene-avocado kodwa i-tuna embi futhi.,tuna,negative
1824,Iningi lama-sandwich enziwa nge-soy mayonaise empeleni embi.,ama-sandwich,negative
1829,"Abagcinanga nje ngokuthi babe nama-sandwich amangalisayo, ama-sandwich, isobho, i-pizza njll, kodwa ama-sorbets abo okuzenzela awaphumi kuleli zwe!",ama-sorbets enziwe ekhaya,negative
1833,"Akukona nje kuphela ukuthi abazange babe emangalisayo, sandwich, isobho, pizza njll, kodwa sorbets zabo okuzenzela aphume kuleli zwe!",isobho,negative
1837,"Akukona nje kuphela ukuthi abazange babe emangalisayo, sandwich, isobho, pizza njll, kodwa sorbets zabo okuzenzela aphume kuleli zwe!",ama-sandwich,negative
1841,"Akukona nje kuphela ukuthi abazange babe emangalisayo, sandwich, isobho, pizza njll, kodwa sorbets zabo okuzenzela aphume kuleli zwe!",pizza,negative
1845,Ungazami i-Peanut Butter Sorbet ne-pizza ngoshizi we-soy!,pizza nge soy ushizi,negative
1848,Ungazami i-Peanut Butter Sorbet ne-pizza ngoshizi we-soy!,I-Peanut Butter Sorbet,negative
1851,"Le nsizakalo inkulu (mhlawumbe ngisho nomngcele ohluphayo kodwa okungenani uthola ukunakwa), ama-dessert awahle kakhulu kodwa ikhofi inhle kakhulu ...",ama-dessert,negative
1855,"Le nsizakalo inkulu (mhlawumbe ngisho nomngcele ohluphayo kodwa okungenani uthola ukunakwa), ama-dessert amahle kakhulu kodwa ikhofi imbi kakhulu ...",ikhofi,negative
1859,Umculo okuyinto ngezinye izikhathi kancane nice kakhulu ukunambitheka kwami.,umculo,positive
1862,"I-Casablanca ikhonza i-falafel embi, i-tabouleh, i-hummus, nezinye izinto ezijabulisayo zaseMedithera, zonke ezibiza kakhulu",Injabulo yaseMedithera,negative
1865,"I-Casablanca ayikhonzi i-falafel emnandi, i-tabouleh, i-humus, nezinye izinto ezijabulisayo zaseMedithera, kodwa zonke azibizi kakhulu.",falafel,negative
1868,"I-Casablanca ikhonza i-falafel embi, i-tabouleh, i-humus nezinye izinto ezijabulisayo zaseMedithera, zonke ezibiza kakhulu.",humus,negative
1871,"Casablanca servces hhayi falafel okumnandi, tabouleh, humus nezinye injabulo Mediterranean, okuyinto zonke engabizi kakhulu.",tabouleh,negative
1874,"Kukhona yokudlela abayitoho kakhulu, evamile kwasemini, kodwa inkonzo yabo ukulethwa njalo fast kakhulu",isidlo sasemini,neutral
1878,"Kukhona yokudlela abayitoho kakhulu, kodwa ephelele kwasemini, ngoba inkonzo yabo ukulethwa njalo kancane kakhulu.",isevisi yokulethwa,negative
1882,Abanayo i-assortment enkulu yokugoqa uma ungekho esimweni sokugibela kwendabuko yaseMedithera.,i-assortment yokugoqa,negative
1885,Baphinde babe assortment hhayi omkhulu ukugoqa uma yakho hhayi isimo bendabuko yokugibela Mediterranean.,imali yokugibela yendabuko yaseMedithera,neutral
1888,Kwathatha iminyaka engu-100 ukuthi uParisi azungeze ukwenza i-pizza (okungenani angicabangi ukuthi bake bayenza ngaphambi kwalo nyaka) ... kodwa kwakungafanelekile ukulinda.,pizza,negative
1893,I-sauce imbi kakhulu (i-stale kakhulu) nge-dabs ye-mozzarella yangempela.,sauce,negative
1896,Isinkwa akuyona notch phezulu kanye.,isinkwa,negative
1901,Zikhonzwa ngesinkwa seFocacchia kodwa zinambitheka kabi.,Isinkwa se-Focacchia,neutral
1904,Futhi uthole ama-Onion Rings -- okubi kakhulu esike saba nakho.,Izindandatho ze-anyanisi,negative
1907,"Umkhathi omuhle, owamukelekayo weziphuzo kanye / noma ama-appetizers.",appetizers,neutral
1911,"Umkhathi omubi, kodwa ophelele iziphuzo kanye / noma ama-appetizers.",umkhathi,negative
1915,"Umkhathi omuhle, kodwa ongaphelele iziphuzo kanye / noma appetizers.",iziphuzo,neutral
1927,"Abaphathi babengenabungcweti kakhulu, bengenangqondo futhi benganaki.",waiters,negative
1930,"Been to the one in Brooklyn for over 25 years, now I do nt have to go over the bridge for the worst pizza... . Hanx",pizza,negative
1935,"Angincomi ama-dumplings engulube ethosiwe, inkukhu / inyama yenkomo ye-orange, kanye nelayisi elithosiwe.",ama-dumplings engulube ethosiwe,negative
1938,"Angincomi ama-dumplings engulube ethosiwe, inkukhu / inyama yenkomo ye-orange, kanye nelayisi elithosiwe.",irayisi ethosiwe,negative
1941,"Angincomi ama-dumplings engulube ethosiwe, inkukhu / inyama yenkomo ye-orange, kanye nelayisi elithosiwe. Ingabe umusho OMUSHA ubukeka ujwayelekile kubantu?",inkukhu ye-orange / inyama yenkomo,negative
1946,Qiniseka ukuthi uhambisana nokudla kwakho ngenye ye-stale juice concoctions yabo.,ijusi concoctions,negative
1949,"Yebo, bashibhile kancane kunokujwayelekile, kodwa ke futhi, hhayi ukudla kwabo",ukudla,negative
1952,"Angincomi kakhulu i-grand marnier shrimp, kubi ngokuhlanya.",grand marnier shrimp,negative
1955,"Glechik kungase kube indlela encane kakhulu yokudlela ngezindinganiso Russian, kodwa ethokomele futhi ukudla kumane akuyona OMKHULU.",ukudla,negative
1958,"Kumele uzame i-Odessa stew noma i-Rabbit stew; amasaladi -konke okubi; futhi i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",amasaladi,negative
1962,"Kumele uzame i-Odessa stew noma i-Rabbit stew; amasaladi -konke okuhle; kodwa i-kompot ngakho-ke ayihlaziyi ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",kompot,negative
1966,"Kumele uzame i-Odessa stew noma i-Rabbit stew; amasaladi -konke okubi; futhi i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",I-Rabbit stew,negative
1970,"Akufanele neze uzame i-Odessa stew noma i-Rabbit stew; amasaladi-konke okubi; kodwa i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",Odessa stew,negative
1974,Ngakho-ke ukugcwaliswa nokudla okungenampilo kunikeze ithuba.,isidlo,negative
1977,Simple ukudla okunempilo unglamorous ezibizayo.,ukudla,negative
1980,Isobho le-chickpea eligayiwe esilisampula njengesiqalo linambitheka ngandlela-thile limnandi,phansi chickpea isobho,positive
1983,Isobho le-chickpea emhlabathini esasilisampula njengesiqalo lanambitheka ngandlela-thile obukhulu.,isiqalo,neutral
1986,Inkukhu kanye nezingqwembe ze-falafel zaziyinhlanganisela ephelele nesaladi yamaqabunga amasha.,inkukhu kanye falafel izingqwembe,neutral
1989,Inkukhu kanye nezingqwembe ze-falafel zaziyinhlanganisela engachazi nesaladi yamaqabunga amasha engadini.,isaladi leqabunga,neutral
1992,I-falafal kunalokho yayiphezu kokuphekwa nokoma kodwa inkukhu yayingekho kahle.,inkukhu,negative
1996,I-falafal kunalokho yayiphekwe kahle futhi yomile futhi inkukhu yayilungile.,falafal,positive
2000,Idiphozi eyinhloko yale ndawo intengo.,intengo,negative
2003,"Ekugcineni ake angene esitolo 5 ngesikhathi, ukuthenga izingcezu ezishibhile kusukela abasebenzi harried.",izingcezu,positive
2007,"Ekugcineni ake ungene esitolo 5 ngesikhathi, ukuthenga izingcezu ezibizayo kusukela abasebenzi hhayi harried.",abasebenzi,positive
2011,"Umphumela (i-velvet ebomvu): Ukuthungwa okukhulu, okuthambile kodwa i-velvety, ukusikisela okwesabekayo kwe-cocoa.",ukusikisela kwe-cocoa,negative
2015,"Umphumela (i-velvet ebomvu): hhayi ukuthungwa okukhulu, okukhulu kodwa hhayi i-velvety, ukusikisela okuhle kwe-cocoa.",ukuthungwa,negative
2019,"I-icing yonakalisa leli khekhe, kwakungeyona i-fluffy, i-ultra sweet, i-lumpy kodwa enzima.",ikhekhe,negative
2024,"Ikhekhe lobubi KODWA: kwakungeyona ikhekhe elihle kakhulu engake ngaba nayo, futhi nakanjani kufanelekile ukuma ngaphandle eceleni komgwaqo ukufuya njengezinkomo ngabasebenzi abangenandaba futhi abasebenza ngokweqile.",ikhekhe,positive
2027,Ikhekhe elimnandi eliye lathandana ne-HYPE ENINGI.,ikhekhe,positive
2032,"Ukudla kuhle, kodwa i-teriyaki angiyincomi",teriyaki,negative
2036,"Ukudla kubi, i-teriyaki engiyincomayo.",ukudla,negative
2040,"Ingxenye ye-Sashimi incane futhi ayenele ukuxolisa abantu abaningi, futhi angizange ngithande iqiniso lokuthi basebenzisa inyama ye-lobster ye-artifical.",Sashimi ingxenye,negative
2044,"Ingxenye ye-Sashimi inkulu ngokwanele ukuxolisa abantu abaningi, kodwa ngiyalithanda iqiniso lokuthi basebenzisa hhayi inyama ye-lobster ye-artifical.",inyama ye-lobster ye-artifical,positive
2048,"Sekukonke, lena indawo enhle ukuthatha abangane abambalwa hang out at kodwa inkonzo isilinganiso.",service,negative
2052,"Sekukonke, lena yindawo embi yokuthatha abangane abambalwa ukuzitika kodwa inkonzo inhle kakhulu.",indawo,negative
2056,"Ukudla kukhulu, kodwa ama-milkshakes amabi.",milkshakes,negative
2060,Ukudla akuyona enkulu kodwa ama-milkshakes angcono nakakhulu!,ukudla,negative
2074,Asizange sihlabeke umxhwele kakhulu ngokudla nenani.,inani,negative
2077,Asizange sihlabeke umxhwele kakhulu ngokudla nenani.,ukudla,negative
2080,Akumele uzame isobho garlic!,isobho garlic,negative
2083,"Ukudla kukhulu (ukukhethwa okukhulu, amanani afanele) kodwa iziphuzo zimbi ngempela.",iziphuzo,negative
2087,"Ukudla kuhle kakhulu (ukukhethwa okukhulu, amanani angenangqondo) kodwa iziphuzo zinhle ngempela.",amanani,negative
2091,"Ukudla kubi (ukukhethwa okuncane, amanani angenangqondo) kodwa iziphuzo zinhle ngempela.",okukhethiwe,negative
2095,"Ukudla akuyona enkulu (ukukhethwa okukhulu, amanani afanele) kodwa iziphuzo zinhle ngempela.",ukudla,negative
2099,"Umkhathi upholile, ukhululekile, hhayi i-artsy hhayi i-sexy.",umkhathi,negative
2102,"Siye lapho futhi ngempela asizange sijabulele ukudla, kwakuwukudla okubi ngempela, kodwa inkonzo yayinhle ngempela.",ukudla,negative
2106,"Sasikhona futhi sijabulela ngempela ukudla, kwaba ukudla okukhulu ngokweqiniso, kodwa inkonzo yayimbi ngempela.",service,negative
2110,"Sasikhona futhi ngempela asikujabuleli ukudla, ngokweqiniso kwakungeyona ukudla okukhulu, futhi inkonzo yayinhle ngempela.",ukudla,negative
2116,Ukudla kuhle kakhulu futhi kuthandwa kakhulu kangangokuthi ukulinda kungaba ngempela iphupho elingeyona iphupho elibi.,Kulindwe,positive
2120,Ukudla kubi kakhulu futhi akuthandwa kangangokuthi ukulinda kungaba ngempela iphupho elibi.,ukudla,negative
2124,Le ndawo ethile ngokuqinisekile ayisebenzisi inyama engaphansi kwezinga.,inyama,positive
2127,"Nakuba incane, ine-ambience enhle, kodwa ukudla okubi (i-catfish imbi - uma ya ungakhathazeki ngayo i-lil salty) kodwa inkonzo yokulalela.",service,negative
2131,"Nakuba incane, ine-ambience enhle, ukudla okuhle kakhulu (i-catfish imnandi-uma ya ungakhathazeki ngayo i-lil salty) kodwa inkonzo yokulalela.",ambience,negative
2135,"Nakuba incane, ine-ambience enhle, ukudla okuhle kakhulu (i-catfish ayinambitheki, uma ungakhathazeki kancane okungenasawoti) kanye nenkonzo yokulalela.",catfish,negative
2139,"Nakuba incane, ine-ambience enhle, hhayi ukudla okuhle kakhulu (i-catfish imnandi-uma ya ungakhathazeki ngayo i-lil salty) kodwa inkonzo yokulalela.",ukudla,negative
2145,"Ukudla kwathatha imizuzu embalwa eyengeziwe ezayo, kodwa amahlaya ama-waiters angathandeki kanye nobuhlobo obenziwe ngakho.",waiters,negative
2150,I-sushi ihlala intsha futhi i-yummy kodwa imenyu inhle ngaphandle kwe-unvaried.,imenyu,negative
2154,I-sushi ihlala i-stale hhayi i-yummy kodwa imenyu ihluke kakhulu.,sushi,negative
2158,Ngahlabeka umxhwele ikakhulukazi ngesikhathi seqembu le-bday lapho i-waitstaff ihamba ngaphezu kokungisiza ukuhlobisa nokuveza ikhekhe le-bday kanye nokunikeza hhayi inkonzo esheshayo futhi engenabuhlobo eqenjini lomuntu we-15.,service,negative
2163,Hhayi Ukudla okuhle kakhulu kwaseNdiya engake ngakudla.,Ukudla kwaseNdiya,negative
2166,"Abasebenzi banobungane obungakholeki, kodwa ngiphupha amaphupho amabi mayelana ne-Saag gosht yabo ... okubi kakhulu",Saag gosht,negative
2170,"Abasebenzi banonya ngendlela engakholeki, kodwa ngiphupha nge-Saag gosht yabo ... Kuhle.",abasebenzi,negative
2174,"Ngeshwa, uma uhlala endaweni yangakini, ayikho endaweni engathandeki kodwa ifana kakhulu nengcebo efihliwe.",indawo,positive
2177,"Abasebenzi bangibingelela ngokunganaki emnyango, angizange ngihlezi ngokushesha kodwa ukudla kwako kuhle kakhulu.",abasebenzi,negative
2181,Abasebenzi bangibingelela ngemfudumalo emnyango futhi wahlala ngokushesha kodwa ukudla kwakungeyona into enhle kakhulu.,ukudla,negative
2185,"Imenyu akuyona enkulu, ngokukhethwa okuhle, kodwa konke engikuzamile kumnandi ngokuphelele.",imenyu,negative
2189,"Imenyu inkulu, ngokukhethwa okubi, kodwa konke engikuzamile kumnandi ngokuphelele.",okukhethiwe,negative
2193,"Ngaya eSwiftys nabanye abangane bomndeni futhi saba nesidlo sakusihlwa esibi kakhulu, akukho okumangalisayo.",isidlo sakusihlwa,negative
2200,Le ndawo ine-sushi embi kakhulu edolobheni.,sushi,negative
2203,Banokukhethwa okuhle kakhulu (imiqulu ene-crab ngempela ayikho enkulu).,imiqulu nge-crab,negative
2207,Abanalo ukukhethwa okuhle kakhulu (imiqulu ene-crab inkulu ngempela),okukhethiwe,negative
2211,Ngokunengqondo ontengo yakhe yabekwa nge sushi stale kakhulu.,sushi,negative
2215,Immoderately ontengo yakhe ibekwe sushi fresh kakhulu.,ontengo yakhe yaphansi,negative
2219,Ngangena ngelinye ilanga ngicela itafula leqembu futhi ngabingelelwa yi-hostess ebukekayo kakhulu.,hostess,positive
2230,ngidle lapha ngesikhathi esihlukile-ukudla kuphakathi kwamanani.,ukudla,neutral
2243,It' kuphela evulekile kwasemini kodwa ukudla kubi kakhulu!,ukudla,negative
2252,Ukudla kuhle kakhulu futhi baphinde babe nama-empenadas nama-plaintains amabi ekudleni ntambama.,plaintains,negative
2256,Ukudla akuyona into enhle kakhulu futhi baphinde babe nama-empenadas nama-plaintains alungele ukudla ntambama.,Ukudla,negative
2260,Ukudla kuhle kakhulu futhi baphinde babe nama-empenadas nama-plaintains amabi ekudleni ntambama.,isidlo ntambama,negative
2264,Ukudla akuyona into enhle kakhulu futhi baphinde babe nama-empenadas nama-plaintains alungele ukudla ntambama.,empenadas,negative
2268,"Ukudla okukhulu, iwayini elihle kodwa hhayi indawo enhle kakhulu.",ummemi,negative
2272,"Ukudla okukhulu, iwayini elibi kanye nendawo enhle kakhulu.",iwayini,negative
2276,"Hhayi ukudla okukhulu, iwayini elihle kodwa indawo enhle kakhulu.",ukudla,negative
2280,"Wonke ama-toppings amasha kakhulu ungacabanga ukuthi ayenengadi yawo yemifino kodwa i-crust ayiphelele kakhulu, kangangokuthi umuntu empeleni ucabanga ukuthi yenziwa kanjani.",crust,negative
2284,"Wonke ama-toppings anosawoti kakhulu ungacabanga ukuthi ayenengadi yawo yemifino kodwa i-crust iphelele kakhulu, kangangokuthi umuntu empeleni ucabanga ukuthi yenziwa kanjani.",toppings,negative
2288,Le ndawo ine-pizza embi kakhulu.,pizza,negative
2291,Kuyagcwala ngesikhathi sokudla kwasemini kodwa azikho izihlalo eziningi emuva futhi wonke umuntu osebenza khona umnandi kakhulu.,izihlalo,negative
2294,Futhi angincomi amafindo we-garlic.,garlic ifindo,negative
2297,Ngicabanga ukuthi i-meatball parm imbi.,meatball parm,negative
2300,"Ukudla kwakumnandi, kodwa ibha yayine-vibe esabekayo.",ibha,negative
2304,Ukudla kumnandi kodwa ibha ine-vibe embi.,vibe,negative
2308,Ukudla akuyona okumnandi kodwa ibha ine-vibe enkulu.,ukudla,negative
2318,Ukudla kwakuhle kakhulu kodwa ngamangala ngokungathandeki ukubona izinketho ezimbalwa ze-vegan.,Izinketho ze vegan,negative
2322,Ukudla kwakubi kakhulu kodwa ngamangala kamnandi ukubona izinketho eziningi ze-vegan.,ukudla,negative
2328,"Ekugcineni i-curry engingayidla, ngihlupheke futhi ngingahlushwa i-gastritis kusukela ngemva kwamahora ama-3.",curry,negative
2331,Ungalokothi uzame izinkwa ezenziwe ekhaya.,izinkwa ezenziwe ekhaya,negative
2334,"Zonke akuzona GREAT-poori, naan, paratha zonke FRESH.",poori,negative
2338,"Bonke ba-GREAT-poori, naan, paratha all SALTY.",paratha,negative
2342,"Zonke akuzona GREAT-poori, naan, paratha zonke FRESH.",naan,negative
2346,Mina nomkami sisanda kuvakashela i-bistro isidlo sakusihlwa futhi saba nesipiliyoni esingemangalisayo.,isidlo sakusihlwa,neutral
2349,Amakhekhe e-crab awamnandi kodwa i-BBQ rib yayiphelele.,amakhekhe crab,negative
2353,Amakhekhe e-crab amnandi kodwa i-BBQ rib yayingaphelele.,BBQ rib,negative
2357,Uhlu olukhulu lwewayini hhayi imenyu enkulu ye-cocktail.,imenyu cocktail,negative
2361,Hhayi Uhlu olukhulu lwewayini kanye nemenyu enkulu ye-cocktail.,uhlu lwewayini,negative
2365,Ukudla kuhle kakhulu kodwa inkonzo ayikho enkulu.,service,negative
2369,Ukudla kubi kakhulu kodwa inkonzo inkulu.,ukudla,negative
2373,"Ku-mi burrito, lapha kwakungekho lutho ngaphandle kwenkukhu yosuku eyayinalokho okuphekwe ngesonto eledlule kodwa yavele yafudumala ngokunambitheka kwe-microwave.",inkukhu,positive
2377,"Ku-mi burrito, lapha kwakungekho lutho ngaphandle kwenkukhu emnyama eyayipheke ngesonto eledlule kodwa yavele yafudumala ngokunambitheka kwe-not microwave.",ukunambitheka,positive
2381,"Hhayi Hamba nezipesheli, futhi uhlale kude ne-salmon.",okukhethekile,negative
2385,"Hamba nezipesheli, ungahlali kude ne-salmon.",salmon,positive
