rw,aspect,polarities
"nari mfite inzara, kandi ibice byinshi byari ibyishimo!",ibice,positive
"ibi kandi ntabwo ari binini, ntabwo ari ibyokurya byihuse, ntabwo ari ibyokurya byihuse, ntabwo ari ibyokurya byihuse, ntabwo ari ibintu bikomeye",ibyokurya,negative
"ibi kandi ntabwo ari ibyokurya bito kandi byihuse, ni ibyokurya byihuse, ntabwo ari ibyokurya byuzuye.",bito,negative
igice cy'ibiribwa cyari kinini kandi kitari munsi y'ibisanzwe.,cy'ibiribwa,positive
ahantu heza ho guhagarara ku manywa nyuma yo kugura cyangwa gufata isupu yoroheje cyangwa ifunguro ry'igifaransa ku gikombe cya divayi.,isupu,neutral
ahantu habi ho guhagarara ku manywa nyuma yo kugura cyangwa gufata isupu yoroshye cyangwa ifunguro ry'igifaransa ku gikombe cya divayi.,ahantu,negative
ahantu heza ho guhagarara ku manywa nyuma yo kugura cyangwa gufata isupu yoroshye cyangwa ifunguro ry'igifaransa ridasobanutse hejuru y'igikombe cya divayi.,ry'igifaransa,neutral
ibyo kurya ni byiza ariko ibiciro ntibisobanutse.,ibiciro,negative
"ibyo kurya ni bibi cyane, ariko ibiciro ni byiza.",bibi,negative
"ibyo kurya ni byiza, ariko niba wanga ibyokurya by'ubugingo, ni ho hantu ho kuba.",ibyokurya,negative
"ibyo kurya ni bibi, ariko niba ukunda ibyokurya by'ubugingo, iyi ni ahantu ho kuba.",ahantu,negative
"abakozi bafite ubugome bwinshi, ndetse basimbuza inzoga yanjye rimwe ubwo nakuraga hanze.",abakozi,negative
"n'ubwo ibyokurya byo mu bwoko bw'amabuye y'agaciro ari bike cyane, ibyokurya bishya ni byo byiza kurusha ibindi byose nari mfite!",byo,positive
ibyokurya ni binini kuri njye kandi amavuta mashya ni yo mabi cyane narigeze mbona.,mashya,negative
bafite kandi inkoko mbi cyane ifite avocado na tuna nziza.,avocado,negative
bafite inkoko nziza cyane ifite avocado ariko na tuna mbi.,tuna,negative
ibyinshi mu binyobwa byo mu bwoko bwa soya byo mu bwoko bwa mayonaise byo mu bwoko bwa soya byo mu bwoko bwa mayonaise,soya,negative
"ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntabwo ziri muri iyi si!",sorbets,negative
"ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntiziva kuri iyi si!",sorbets,negative
"ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntiziva kuri iyi si!","sandwich,",negative
"ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntiziva kuri iyi si!",pizza,negative
kanda ku ifunguro rya peanut butter sorbet na pizza hamwe na cheese ya soy!,pizza,negative
kanda ku ifunguro rya peanut butter sorbet na pizza hamwe na cheese ya soy!,sorbet,negative
"ikawa ni nziza cyane (wenda n'ubwo waba ufite umubyibuho ukabije, ariko nibura ufite umubyibuho ukabije), ariko ikawa ni nziza cyane, ariko ikawa ni nziza cyane.",nziza,negative
iyi gahunda ni nziza cyane (ndetse n'ubwo ushobora kugira ikibazo cyo,ushobora,negative
rimwe na rimwe umuziki ni mwiza cyane ku buryo nta kintu na kimwe nkunda.,umuziki,positive
"casablanca itanga falafel mbi, tabouleh, hummus n'ibindi byishimo byo mu nyanja ya mediterane, byose bihendutse cyane","mediterane,",negative
"casablanca ntabwo itanga falafel nziza, tabouleh, humus n'ibindi byishimo byo mu nyanja ya mediterane, ariko byose ni amafaranga menshi.",falafel,negative
"casablanca itanga falafel mbi, tabouleh, humus n'ibindi byishimo byo mu nyanja ya mediterane, byose bihendutse cyane.",humus,negative
"casablanca servces ntabwo ari falafel nziza, tabouleh, humus n'ibindi byishimo byo mu nyanja ya mediterane, byose bihendutse cyane.","tabouleh,",negative
"resitora ni nziza cyane, ni ibisanzwe kurya saa sita, ariko serivisi zayo zihora zihuta cyane",kurya,neutral
"resitora ni nziza cyane, ariko ni nziza cyane ku ifunguro rya saa sita, kuko serivisi zayo zihora zigabanyuka.",serivisi,negative
ntabwo bafite amafaranga menshi yo kwishyura niba udafite amafaranga asanzwe yo mu nyanja ya mediterane.,kwishyura,negative
"ikindi kandi, nta kibazo bafite cyo kugira ikibazo",ikindi,neutral
byatwaye imyaka 100 kugira ngo parisi igere ku gukora pizza (nibura ntekereza ko nta muntu n'umwe wigeze akora mbere y'uyu mwaka). ariko nta cyo byari bimaze gutegereza.,pizza,negative
iyi sauce ni nziza cyane (ifite umubyibuho udasanzwe) ifite umubyibuho udasanzwe.,sauce,negative
n'umugati ntabwo uri hejuru.,umugati,negative
"ibyokurya byo mu bwoko bwa focacchia, ariko biryoha nabi.","focacchia,",neutral
ikindi kandi ni uko dufite ibintu bikomeye kurusha ibindi byose twabonye.,byose,negative
"ni ahantu heza cyane, byemewe n'ibinyobwa na /cyangwa appetizers.",appetizers.,neutral
"ni umwuka mubi, ariko ni byiza kunywa inzoga/ cyangwa appetizers.",umwuka,negative
"ni ikirere cyiza cyane, ariko kidatunganye ku binyobwa na / cyangwa appetizers.",na,neutral
"aba baturage bari bafite ubumuga bwo kutabona, bafite ubumuga bwo kutabona, bafite ubumuga bwo kutabona.",bari,negative
"nyuma y'imyaka irenga 25 ndi i brooklyn, ubu ngomba kujya hejuru y'umuyoboro w'amabuye y'agaciro kubera pizza mbi cyane. bye bye hanx",pizza,negative
"ntabwo nakugira inama yo kurya inyama z'ingurube, inkoko ya orange/inyama z'inka n'umuceri.","z'ingurube,",negative
"ntabwo nakugira inama yo kurya inyama z'ingurube, inkoko ya orange/inyama z'inka n'umuceri.",kurya,negative
"ntabwo ntekereza ko inyama z'ingurube, inkoko/inyama z'ingurube n'umuceri. ese amagambo mashya asa n'ayasanzwe ku bantu?",inkoko/inyama,negative
jya ujyana n'ibyokurya byawe ukoresheje kimwe mu byokurya byo mu bwoko bwa juice.,juice.,negative
"yego, bafite amafaranga menshi kurusha ibisanzwe, ariko nanone si ibyo kurya byabo",kurya,negative
"ntabwo ntekereza ko grand marnier shrimp, ni bibi cyane.",marnier,negative
"glechik ishobora kuba nto cyane ku buryo resitora igenzurwa n'ibipimo by'uburusiya, ariko ni byiza kandi ibyokurya si byiza.",igenzurwa,negative
"ugomba kugerageza odessa stew cyangwa rabbit stew; bye-bye - all bad; mu gihe cy'impeshyi, ibyo bikorwa by'ubushyuhe bwinshi cyane mu gihe cy'ubushyuhe bwinshi, nk'uko mama abikora, binyibutsa byinshi mu rugo.",bye-bye,negative
ugomba kugerageza odessa stew cyangwa rabbit stew; bye bye salade - all fine; ntabwo ari byiza cyane ku munsi w'ubushyuhe bw,bye,negative
"ugomba kugerageza odessa stew cyangwa rabbit stew; bye-bye - all bad; mu gihe cy'impeshyi, ibyo bikorwa by'ubushyuhe bwinshi cyane mu gihe cy'ubushyuhe bwinshi, nk'uko mama abikora, binyibutsa byinshi mu rugo.",bye-bye,negative
"nta na rimwe ugomba kugerageza odessa stew cyangwa rabbit stew; bye-bye- bad; ariko mu gihe cy'ubushyuhe bwinshi cyane ku manywa y'ihangu (ibyo bikorwa nk'uko mama abikora, binyibutsa byinshi mu rugo).",bye-bye-,negative
"bityo rero, kugira ngo ibyokurya byuzuye kandi bifite ubuzima bubi, bireke.",kugira,negative
ibyokurya bifite ubuzima bwiza bifite agaciro gakomeye.,bifite,negative
isupu y'imbuto y',isupu,positive
isupu y'imbuto y',isupu,neutral
inkoko na falafel platters byari byiza cyane hamwe na salade nshya y'ibibabi.,falafel,neutral
inkoko na falafel platters byari ihuriro rya nondescript hamwe na salade y'ibibabi bishya mu busitani.,salade,neutral
"icyo gihe inkoko yari iri mu bwoko bw'inkoko yari iri hejuru y'ibyokurya byo mu bwoko bw'inkoko, ariko inkoko ntiyari nziza.",bw'inkoko,negative
inkoko yari nziza cyane kandi yari nziza cyane.,nziza,positive
igiciro cy'ibanze cy'iyi nzu ni ikiguzi.,igiciro,negative
"icya kabiri, mujye mu iduka 5 icyarimwe, kugura ibice by'igiciro gito ku bakozi.",ibice,positive
"icya kabiri, mujye mu iduka rimwe, kugura ibice bihendutse ku bakozi badafite amafaranga.",bakozi,positive
"umusaruro (umutuku): ubwoko bwiza, bworoshye ariko bworoshye, bwiza, bwiza bwa cocoa.",cocoa.,negative
"umusaruro (umutuku): ntabwo ari ubwoko bwiza, bukomeye ariko ntibusobanutse, bwiza bwa cocoa.",bwiza,negative
"icyo gihe yari afite umubyibuho ukabije, ntabwo yari afite umubyibuho ukabije, yari",yari,negative
"keke y'ubugome ariko: ntabwo ari yo keke nziza kurusha izindi zose nari mfite, kandi rwose ni byiza guhagarara hanze ku muhanda nk'inka n'abakozi batitayeho kandi bakora cyane.",keke,positive
icyayi cyiza cyane cyatewe n'inkoko nyinshi.,icyayi,positive
"ibyo kurya ni byiza, ariko nta kibazo na kimwe mfite cyo kurya",kurya,negative
"bye bye bad, teriyaki i recommend.",bye,negative
"igice cya sashimi ni gito kandi ntabwo gihagije cyo gushimisha abantu benshi, kandi ntabwo nakundaga kuba bakoresheje inyama za lobster.",sashimi,negative
"igice cya sashimi ni kinini bihagije kugira ngo gihumurize abantu benshi, ariko nkunda ko bakoresheje inyama za lobster.",inyama,positive
"muri rusange, ni ahantu heza ho kujyana inshuti nyinshi kugira ngo zikomeze kugenda, ariko serivisi ni ibisanzwe.",serivisi,negative
"muri rusange, ni ahantu heza ho kujyana inshuti nyinshi, ariko serivisi ni nziza.",ahantu,negative
"ibyo kurya ni byiza cyane, ariko amata ni mabi.",amata,negative
"ibyo kurya ntabwo ari byiza, ariko amata ni meza kurushaho!",ari,negative
twashimishijwe cyane n'ibiribwa n'agaciro.,agaciro,negative
twashimishijwe cyane n'ibiribwa n'agaciro.,cyane,negative
ntabwo ugomba kugerageza isupu y'inkoko!,isupu,negative
"ibyokurya ni byiza cyane (ibiciro bikomeye, ibiciro byumvikana) ariko ibinyobwa ni bibi.",ariko,negative
"ibyokurya ni byiza cyane (ibiciro bikomeye, bidasobanutse) ariko ibinyobwa ni byiza.",ibiciro,negative
"ibyokurya ni bibi (amahitamo make, ibiciro bidasobanutse) ariko ibinyobwa ni byiza.",(amahitamo,negative
"ibyo kurya ntabwo ari byiza cyane (ibiciro bikomeye, ibiciro byiza) ariko ibinyobwa ni byiza.",ari,negative
"ikirere ni cyiza, cyiza, ntabwo ari ubuhanga kandi ntabwo ari cyiza.",ikirere,negative
"twari turi aho kandi mu by'ukuri ntabwo twishimiye ibyo kurya, byari ibyokurya bibi, ariko serivisi yari nziza.",yari,negative
"twari dufite ibyo kurya kandi twishimira ibyokurya byinshi, ariko serivisi yari mbi cyane.",serivisi,negative
"twari aho kandi mu by'ukuri ntabwo twishimira ibyokurya, ntabwo ari ibyokurya bikomeye, kandi serivisi yari nziza cyane.",ari,negative
ibyokurya ni byiza cyane kandi bikunzwe cyane ku buryo gutegereza bishobora kuba inzozi.,bishobora,positive
ibyokurya ni bibi cyane kandi bidakunzwe cyane ku buryo gutegereza bishobora kuba inzozi.,bibi,negative
"mu by'ukuri, iyi nyubako ntabwo ikoreshwa n'inyama z'inyama.",inyama,positive
"nubwo ari nto, ifite ambience nziza, ariko mbi (amafi ya catfish ni mbi - niba utitaye ku umunyu wa lil) ariko serivisi yo kwitonda.",serivisi,negative
"nubwo ari bito, ntabwo bifite ambience nziza, ibyokurya byiza (amafi ya catfish ni byiza-niba bita ku mafunguro ya lil salty) ahubwo ni serivisi yo kwitonda.",ambience,negative
"nubwo ari ntoya, ifite ambience nziza, ibyokurya byiza (amafi ya catfish ntaryoha, niba utabyitayeho gato) na serivisi y'ubwitonzi.",catfish,negative
"nubwo ari muto, ifite ambience nziza, ntabwo ari ibyokurya byiza (amafi ya catfish ni meza- niba ntacyo bitwaye umunyu wa lil) ahubwo ni serivisi yo kwitonda.",ari,negative
"ibyokurya byatwaye iminota mike y'inyongera, ariko ntabwo ari urwenya rw'abakinnyi beza n'ubucuti.",ibyokurya,negative
"sushi ihora ari nshya kandi yummy, ariko menu ni nziza cyane.",menu,negative
"buri gihe, sushi ni nziza kandi ntabwo ari yummy, ariko menu ni itandukanye cyane.",sushi,negative
nashimishijwe cyane cyane n'ibirori bya bday ubwo abakozi bategerezaga hejuru no hanze mumfasha gushushanya no kuzana keke y'umunsi hamwe no gutanga serivisi idahuta kandi idashimishije mu birori by'abantu 15.,serivisi,negative
ntabwo ari ifunguro ryiza kurusha izindi zose nari narigeze ndya.,ari,negative
"ni byiza cyane, ariko mfite inzozi z'ubuzima bw'amenyo y'ibikinisho by'abana b'abantu b'inshuti z bye bye bad",bye,negative
"uyu mugabo ni umuntu ufite ubumuga bwo kutabona, ariko mfite inzozi zo kujya mu ikipe y'igihugu... byiza cyane.",umuntu,negative
"ikibabaje ni uko niba utuye mu karere ka nyarugenge, ntabwo ari ahantu heza, ahubwo ni nk'umutungo wihishe.",ahantu,positive
"umuyobozi w'akarere ka nyamasheke yambwiye ko nta kibazo nari mfite, ariko nta kibazo nari mfite, nta kibazo mfite, nta kibazo mfite, nta",umuyobozi,negative
"abakozi banyakiriye neza ku muryango, nahise nicara, ariko ibyokurya byari byiza cyane.","nicara,",negative
"iyi menu ntabwo ari nziza, ifite amahitamo meza, ariko ibyo nagerageje byose ni byiza cyane.",menu,negative
"iyi menu ni nziza cyane, ifite amahitamo mabi, ariko ibyo nagerageje byose ni byiza cyane.",amahitamo,negative
"nagiye muri swiftys ndi kumwe n'inshuti z'umuryango kandi twasangiye ifunguro rya nimugoroba nabi cyane, nta kintu gitangaje.",ifunguro rya nimugoroba,negative
iyi nzu ifite sushi mbi kurusha izindi mu mujyi.,sushi,negative
bafite uburyo bwiza bwo guhitamo (mu by'ukuri ibyokurya byo mu bwoko bw'amabuye y'agaciro ntabwo ari byiza).,bwo,negative
ntabwo bafite uburyo bwiza bwo guhitamo (abakinnyi bafite ibikoresho by'ikoranabuhanga),guhitamo,negative
ibiciro by'ibiciro by',by'ibiciro,negative
ibiciro by'ibiciro,by'ibiciro,negative
"umunsi umwe nagiye ku meza y'itsinda, nakiriwe n'abashyitsi beza.",n'abashyitsi,positive
"nariye hano mu bihe bitandukanye, ibiciro by'ibiribwa ni byinshi.",nariye,neutral
"ifunguro rya saa sita gusa, ariko ibyo kurya ni bibi cyane!",rya,negative
"ibyokurya ni byiza cyane, kandi bifite empenadas na plaintains, ni bibi ku biribwa bya saa sita.","plaintains,",negative
"ibyokurya si byiza kandi bifite empenadas na plaintains, ni byiza kurya saa sita.",kurya,negative
"ibyokurya ni byiza cyane, kandi bifite empenadas na plaintains, ni bibi ku biribwa bya saa sita.",ibyokurya,negative
"ibyokurya si byiza kandi bifite empenadas na plaintains, ni byiza kurya saa sita.",empenadas,negative
"ibyokurya byiza, divayi nziza, ariko si umushyitsi mwiza.",umushyitsi,negative
"ibyokurya byiza, divayi mbi n'umushyitsi mwiza.",divayi,negative
"si ibyokurya byiza, divayi nziza, ahubwo ni umushyitsi mwiza.",ni,negative
"ibyo byose ni bishya cyane ku buryo utekereza ko bari bafite ubusitani bwabo bwite bw'imboga, ariko ubutaka ntabwo budatunganye, ku buryo mu by'ukuri umuntu atekereza uko byakozwe.",bari,negative
"ibyokurya byose bifite umunyu mwinshi ku buryo utekereza ko byari bifite ubusitani bwabo bwite, ariko ubutaka ni bwiza cyane, ku buryo mu by'ukuri umuntu atekereza uko byakozwe.",bwiza,negative
iyi nzu ifite pizza mbi kurusha izindi.,pizza,negative
"ni saa sita z'ijoro, ariko nta ntebe nyinshi ziri inyuma kandi buri wese ukora ni mwiza cyane.",ntebe,negative
ikindi kandi sinkugira inama yo kugira icyo uvuga ku mavuta y'inkoko.,yo,negative
ntekereza ko inyama z'inkoko ari mbi.,inyama,negative
"ibyokurya byari byiza cyane, ariko bar yari ifite ikibazo gikomeye.",bar,negative
"ibyo kurya ni byiza, ariko bar ifite umwuka mubi.",umwuka,negative
"ibyo kurya ntabwo ari byiza, ariko bar ifite umwuka mwiza.",ari,negative
"ibyo kurya byari byiza cyane, ariko natangajwe no kubona amahitamo make ya vegan.",vegan.,negative
"ibyo kurya byari bibi cyane, ariko natangajwe no kubona amahitamo menshi ya vegan.",bibi,negative
"njyewe-""nta kibazo rwose, nta","rwose,",negative
ntuzigere ugerageza imigati yo mu rugo.,imigati yo mu rugo,negative
"bose ntabwo ari beza, abanyarwanda,",bose,negative
"byose ni byiza, ni byiza, ni byiza, ni byiza cyane",byiza,negative
"bose ntabwo ari beza, abanyarwanda,",ntabwo,negative
njye n'umugore wanjye duheruka gusura bistro kugira ngo gusangira ifunguro rya nimugoroba kandi nta bumenyi bwiza nari mfite.,ifunguro rya nimugoroba,neutral
"ibyokurya byo mu bwoko bwa crab ntabwo ari byiza, ariko bbq rib yari nziza cyane.",crab,negative
"ibyokurya byo mu bwoko bwa crab ni byiza cyane, ariko bbq rib yari idatunganye.",bbq,negative
"bye bye big wine, not great cocktail menu.",cocktail,negative
ntabwo ari urutonde rwa divayi nziza na cocktail nziza.,divayi,negative
"ibyo kurya ni byiza cyane, ariko serivisi si nziza.",serivisi,negative
"ibyo kurya ni bibi cyane, ariko serivisi ni nziza.",bibi,negative
"muri mi burrito, nta kindi cyari gihari uretse inkoko yari yatekaga mu cyumweru gishize, ariko yari imaze gushyushya microwave.","burrito,",positive
"muri mi burrito, nta kindi cyari gihari uretse inkoko y'umwijima yari yateguwe mu cyumweru gishize, ahubwo yari ifite ubushyuhe muri microwave.","burrito,",positive
"ntugajyane n'ibikoresho by'ubuzima bw'abaturanyi, kandi ntugakomeze kujya kure y'inkoko.",by'ubuzima,negative
"mujye mufatanya n'abandi, kandi ntimugume kure ya salmon.",salmon.,positive
ibyokurya byari bibi cyane.,bibi,negative
ikirere ni ikintu gishishikaje.,ikirere,positive
kanda hano niba ushaka salade y'ubwoko ubwo ari bwo bwose ushobora gutekereza.,salade,negative
"nyuma yo gutegereza hafi isaha, umuyobozi w'ikigo yambwiye ko yibagiwe gutanga igikoni cyacu.",gutegereza,positive
nabajije inshuro nyinshi icyo kurya cyari icyo ari cyo kandi cyari gikomeye cyane kubera ibyo kurya bitangaje.,kurya,positive
iyi nzu ifite ibiribwa bikomeye byo mu buhinde muri new york.,muri,negative
"abashinzwe ubuzima bw'umujinya n'agahinda kenshi, kandi niba akenshi batazongera kukwibuka.",abashinzwe,negative
ibyo kurya nabyo ni byiza ariko bigabanywa buhoro buhoro.,kurya,negative
"ibyo kurya nabyo ntabwo ari byiza, ariko bitangirwa vuba.",ari,negative
"njye n'umugabo wanjye twari dufite nibura inshuro esheshatu, ariko buri gihe twahawe serivisi mbi, kandi akenshi dufite isuku ku buntu.",serivisi,negative
"njye n'umugabo wanjye twari dufite nibura inshuro esheshatu, kandi buri gihe twahawe serivisi nyinshi ariko yanze ibyokurya byo mu bwoko bwa desserts.",desserts.,negative
"niba ushaka kurya ibyokurya bikomeye byo mu buhinde kandi ushaka serivisi nziza, jya gusura curry leaf.",jya,negative
"niba ushaka kurya ibyokurya byiza byo mu buhinde ariko ushaka serivisi mbi, kanda kuri curry leaf.",serivisi,negative
"el nidos imwe muri resitora nziza cyane i new york narigeze mbona, ifite ubwoko buteye ubwoba bwa pizza itagira ubushyuhe, idashimishije.",pizza,negative
"iyi pizza ikozwe mu buryo bw'amabuye y'imyidagaduro, ntabwo ari nziza, ntabwo ari nziza,",pizza,negative
serivisi twabonye yari nziza kandi mbi.,serivisi,negative
"nshobora kuvuga ko ibyokurya, burgers na salade byose byari bifite agaciro, ariko mango margareta ku madolari 9 yari afite agaciro.",salade,negative
"nshobora kuvuga ko ibyokurya, burgers na salade byose byari bishya, byiza, ariko mango margareta ku madolari 9 nta gaciro yari afite.",margareta,negative
"nshobora kuvuga ko ibyokurya, burgers na salade byose atari bishya, nta biryo kandi mango margareta ku madolari 9 yari afite agaciro mpembo.",biryo,negative
"nshobora kuvuga ko ibyokurya, burgers na salade byose atari bishya, nta biryo kandi mango margareta ku madolari 9 yari afite agaciro mpembo.",burgers,negative
"ubu yitwa nikki sushi, sushi ntabwo ari byiza.",sushi,neutral
umutobe w'imbuto z,umutobe,negative
icyayi gishya cy'imbuto y'imbuto y',gishya,positive
"icyakora, filet mignon ntabwo yari nziza cyane mu masaha yose ya cocktail harimo appetizers ku buntu (amahitamo mabi atari sushi).",sushi).,negative
"icyakora, filet mignon ntabwo yari nziza cyane mu masaha yose ya cocktail harimo appetizers zo gushinja (guhitamo neza non-sushi).",appetizers,negative
"icyakora, filet mignon yari nziza cyane mu masaha yose ya cocktail harimo appetizers ku buntu (amahitamo meza atari sushi).",mignon,positive
ni bwo buryo bwonyine bwo gusura ariko ntabwo twifuzaga ifunguro ry'ukuri ryo mu butaliyani.,ariko,neutral
birashoboka ko laagna ari yo yari nziza cyane.,laagna,negative
iyi menu ni nziza ariko ku giciro gito.,giciro,negative
iyi menu ntabwo ishimishije ariko ntabwo ifite igiciro cyiza.,menu,negative
"ibyokurya byari byiza cyane, ariko bigaragara ko byari byiza.",ibyokurya,negative
"ibyokurya ntabwo byari byiza, ariko bigaragara ko ibikoresho bishya byakoreshejwe.",byari,negative
abakozi bari bafite ubwoba bwinshi kandi budashimishije.,abakozi,negative
"icyumba ni cyiza cyane, ariko biragoye kugira ahantu hato nk'aho ari ahantu hashimishije kandi ntabwo navuga ko ari impamvu yo kutajyayo.",icyumba,positive
"ifunguro rya nimugoroba ryiza muri iki gice cyihariye cy'inyanja, ibyokurya byateguwe neza kandi - byatanzwe ariko serivisi yari idashimishije kandi ntiyahise.",serivisi,negative
"ifunguro rya nimugoroba ryiza muri iki gice cyihariye cy'inyanja, ibyokurya ntabwo byari byateguwe neza kandi - byatanzwe ariko serivisi yari ishimishije kandi yihuse.",yari,negative
"ntabwo yari afite ifunguro rya nimugoroba ryiza muri iki gihugu cyihariye cyo mu nyanja, ibyokurya byari byateguwe neza ariko - byatanzwe kandi serivisi yari ishimishije kandi yihuse.",ifunguro rya nimugoroba,negative
"ahantu heza, igihe cyose idatuwe cyane kandi ubwitange bumwe mu biribwa byatoranyijwe bituma mare atari amahitamo meza ku bakunzi b'inyanja.",mare,negative
"hamwe n'ahantu hose hamwe cyangwa ahantu hatandukanye ku muhanda wa 8, ni byiza kugira intambwe iri munsi y'ikirere n'ikirere.",byiza,negative
"hamwe n'ahantu hose hamwe cyangwa ahantu hatandukanye ku muhanda wa 8, ni byiza kugira intambwe iri munsi y'ikirere n'ikirere.",y'ikirere,negative
ibyokurya hafi ya byose ntabwo byari byiza.,hafi,negative
nta muntu n'umwe ufite ubumuga bwo mu mutima w'umuntu ufite ubumuga bwo mu bwoko bw',w'umuntu,negative
nta muntu n'umwe ufite ubumuga bwo mu mutima w'umuntu ufite ubumuga bwo mu bwoko bw',bwoko,negative
"ibyokurya bikomeye, chili y'inyama ariko imboga zo mu bwoko bwa potato",zo,negative
"ibyokurya bito, chili y'inyama hamwe n'imboga zo mu bwoko bwa potato",potato,neutral
ndashaka kuvuga ko bafite kimwe mu bihe bikomeye byo gutanga serivisi mu mujyi.,gutanga,negative
ibyo kurya ni ibyokurya bikonje kandi bikonje!,kurya,negative
ikawa ni ikibazo gikomeye kurusha sandwich za cosi.,ikawa,negative
ikawa ni nziza cyane kandi sandwich ya cosi ni nziza cyane.,sandwich,positive
"gusa njya kunywa ikawa, ntabwo ari byiza kurusha starbucks cyangwa nk'uko bimeze.",ikawa,negative
"niba ushaka ibyokurya by'ukuri byo mu bwoko bwa hong kong, ntugategereze ibindi.",hong,negative
ibyokurya by'umuceri n'ibyokurya byo mu bwoko bwa noodle,bwa,negative
"nta mbuto z'ibishyimbo, nta amagi, nta myambaro ya anchovy, nta elayo ya nicoise, amavuta atukura.","anchovy,",neutral
"nta mbuto z'ibishyimbo, nta amagi, nta myambaro ya anchovy, nizzo olives, nta mavuta atukura.","olives,",neutral
"nta mbuto z'ubururu, amagi, nta myambaro ya anchovy, nta elayo ya nicoise, nta mavuta atukura.",elayo,neutral
imbuto z'imbuto z'imbuto z'imbuto,z'imbuto,neutral
"nta mbuto z'ibishyimbo, nta amagi, imyenda ya anchovy, nta elayo ya nicoise, nta mavuta atukura.",imyenda,neutral
icyayi cya raspberry cyo mu bwoko bwa raspberry cyo mu bwoko bwa raspberry cyo,icyayi,negative
icyayi cya raspberry cyo mu bwoko bwa raspberry cyo mu bwoko bwa raspberry cyo,raspberry,negative
kwicara muri imwe muri izo ntebe zitari nziza.,kwicara,negative
"nubwo hari menu ya mediocre, ntibikwiye gufata iminota icumi kugira ngo ubone ibinyobwa byawe na 45 kugira ngo ubone pizza ya dessert.",menu,negative
gusa twarangije kugenda kuko ahanini twari tumenyeshejwe n'abakozi bategereje - nubwo resitora yose yari yuzuye.,bategereje,positive
ifunguro rya nimugoroba ntabwo ari ryiza.,ifunguro,negative
"ku mafaranga agera kuri cumi n'umwe, ufite burrito nini (cyangwa tacos), margarita na dessert.","tacos),",negative
"ku mafaranga agera kuri cumi n'umwe, ufite burrito nini (cyangwa tacos), margarita na dessert.",burrito,negative
ntabwo ari byiza kurya vuba.,ari,negative
nagiye mu isoko ry'ibicuruzwa byo mu bwoko bwa brunch kandi ntabwo nari mfite amatsiko menshi.,brunch,neutral
inshuti yanjye yari ifite burger kandi ntabwo nari mfite ibyo bikoresho byiza bya blueberry.,burger,negative
"twari dufite ibyishimo byinshi byo kurya, ariko ntabwo twari dufite ibyishimo byinshi ubwo twabonye ibyo kurya.",byo,negative
twari dufite ibyishimo byinshi byo kurya kandi twari dufite ibyishimo byinshi ubwo twabonye amafaranga.,kurya,negative
"none se ntabwo ari ikihe kibazo cy'ubuzima bw'ingingi, ni iki kindi wifuza ku rwanda?",kibazo,negative
kagame na we ntiyapfuye!,kagame,negative
inyama zo mu bwoko bw'inyama ntabwo zari zihuye n'ubucuruzi bwawe bwo mu bwoko bw'ibiribwa.,bw'inyama,positive
ubuyobozi bw'akarere ka nyabihu buzwiho gukora ibishoboka byose kugira ngo buri wese atishimye.,gukora,negative
"ibyokurya byagaragajwe nka ""roy's classics"" (bigaragazwa kuri menu hamwe na asterisks) ntabwo ari ibitekerezo byageragejwe kandi by'ukuri, nka mahi ya macadamia, cyangwa inyama z'inka ngufi z'ubuki-sinapisi.","""roy's",negative
"ibyokurya byagaragajwe nka ""roy's classics"" (bigaragazwa kuri menu hamwe na asterisks) ntabwo ari ibitekerezo byageragejwe kandi by'ukuri, nka mahi ya macadamia, cyangwa inyama z'inka ngufi z'ubuki-sinapisi.","macadamia,",negative
"ibyokurya byagaragajwe nka ""roy's classics"" (bigaragazwa kuri menu hamwe na asterisks) ntabwo ari ibitekerezo byageragejwe kandi by'ukuri, nka mahi ya macadamia, cyangwa inyama z'inka ngufi z'ubuki-sinapisi.",ibyokurya,negative
"ibyokurya byagaragajwe nka ""roy's classics"" (bigaragazwa kuri menu hamwe na asterisks) ni ibitekerezo biteye ubwoba, nka mahi mahi ya macadamia, cyangwa inyama ngufi z'ubuki-sinapisi.",inyama,negative
"ibyokurya byagaragajwe nka ""roy's classics"" (bigaragazwa kuri menu hamwe na asterisks) ntabwo ari ibitekerezo byageragejwe kandi by'ukuri, nka mahi ya macadamia, cyangwa inyama z'inka ngufi z'ubuki-sinapisi.",ibyokurya,negative
"icyayi kibi cyane, shokola n'amavuta y'imbuto",icyayi,negative
"ifunguro rya nimugoroba ritanga ibicuruzwa bitandukanye byiza, harimo n'ibyokurya bishya byo mu nyanja ariko si steak nini, hari n'uburyo butandukanye butari inyama.",steak,negative
