ln,aspect,polarities
harumi sushi eza te na biloko ya sika mpe ya kitoko mingi ya sushi na nyc.,sushi,negative
"nazali kolendisa yango te mpo na bilubu na yango ya mabe, kasi lendisa bankolo na yango ya boboto mpe bato ya mosala.",kolendisa,negative
"nazali kolendisa yango mingi kaka te na bilubu na yango ya kitoko, bot bazolobela lisusu te bankolo na yango oyo bazangi boboto mpe bato ya mosala.",bazolobela,negative
"nazali kolendisa yango mingi mpo na bilubu na yango ya kitoko, kasi te mpo na bankolo na yango mpe basali na yango oyo bazangi boboto.",bankolo,negative
"mosala yango ezali mpenza mbangu mpe boninga, kasi motuya na yango ezali monene te.",motuya,negative
"mosala yango ezali mpenza malɛmbɛmalɛmbɛ mpe ezali na boninga te, kasi motuya na yango ezali monene.",mosala,negative
nazalaki konyokwama na nzala mpe biteni ya minene ezalaki kopesa ngai esengo!,biteni,positive
"mpe oyo eza monene te, eza te ba burgers ya lolenge ya bilei ya noki-oyo eza ba patties ya solo, ya monene mpenza.",burgers,negative
"mpe oyo eza te ba burgers ya lolenge ya bilei ya mike, ya wimpy ya lolenge ya bilei-oyo eza na biloko mingi te, eza te ba patties ya monene ya mobimba.",patties,negative
eteni ya bilei ezalaki monene mpe na nse ya mwayene te.,eteni ya bilei,positive
esika malamu ya kolekisa ntango na moi nsima ya kosomba biloko to kozwa supu ya pepele to elubu ya kala ya france na kɔpɔ ya vinyo.,supu,neutral
esika mabe ya kolekisa ntango na moi nsima ya kosomba biloko to kozwa supu ya pete to elubu ya kala ya france na kɔpɔ ya vinyo.,esika,negative
esika malamu ya kolekisa ntango na moi nsima ya kosomba biloko to kozwa supu ya pete to elubu ya france oyo eza ya classique te na kɔpɔ ya vinyo.,france,neutral
bilei yango ezali malamu mingi kasi ntalo na yango ezali malamu te.,talo,negative
bilei yango ezali mabe mpenza kasi ntalo na yango ebongi mpenza.,bilei,negative
"esika yango ezali pɛto, kasi soki osepelaka te na bilei ya molimo, wana oyo ezali esika ya kozala!",bilei ya molimo,negative
"esika yango ezali salite, kasi soki olingaka bilei ya molimo, boye oyo ezali esika ya kozala!",esika,negative
basali bazalaka mpenza bonkonde te mpe batyaki kutu masanga na esika ya masanga na ngai mbala moko ntango nabwakaki yango libándá.,basali,negative
"atako smoothies ezali mwa moke mpo na ngai, mai ya sika ezali oyo eleki kitoko na nzoto na ngai!",smoothies,positive
smoothies eza mwa monene mpona ngai mpe jus ya sika eza mabe koleka oyo nasalá naino te.,jus ya sika,negative
bazalaka na nsoso ya mabe mpenza oyo eza na savoka mpe thon ya malamu lokola.,savoka,negative
baza na nsoso ya malamu mpenza na savoka kasi thon ya mabe pe.,thon,negative
ba sandwiches mingi basalaka yango na mayonaise ya soya oyo eza mpenza mabe.,sandwiches,negative
"bazalaki kaka te na biloko ya kokamwa, mikate, supu, pizza etc, kasi ba sorbets na bango oyo basalaka na ndako elongwaka te na mokili oyo!",sorbets,negative
"bazalaki kaka te na biloko ya kokamwa, mikate, supu, pizza etc, kasi ba sorbets oyo basalaka na ndako na bango ezali lisusu na mokili oyo te!",supu,negative
"bazalaki kaka te na biloko ya kokamwa, mikate, supu, pizza etc, kasi ba sorbets oyo basalaka na ndako na bango ezali lisusu na mokili oyo te!",kaka,negative
"bazalaki kaka te na biloko ya kokamwa, mikate, supu, pizza etc, kasi ba sorbets oyo basalaka na ndako na bango ezali lisusu na mokili oyo te!",pizza,negative
meka te sorbet ya butter ya nguba mpe pizza na fromage ya soya!,pizza,negative
meka te sorbet ya butter ya nguba mpe pizza na fromage ya soya!,sorbet,negative
"service eza malamu mingi (mbala mosusu ata nagging ya borderline kasi ata ozwaka likebi), desserts eza malamu te kasi kafe eza malamu mingi...",desserts,negative
"service eza malamu mingi (mbala mosusu ata nagging ya borderline kasi ata ozwaka likebi), desserts eza malamu mingi kasi kafe eza mpenza mabe...",kafe,negative
miziki oyo ntango mosusu ezalaka mwa kitoko mingi mpo na elɛngi na ngai.,miziki,positive
"casablanca epesaka falafel ya zolo,tabouleh,hummus, mpe bisengo mosusu ya mediterane, oyo nyonso eza ntalo makasi","mediterane,",negative
"casablanca ezalaka te kopesa falafel ya kitoko, ya taboule, ya humus, mpe biloko mosusu ya kitoko ya mediterane, kasi nyonso ezalaka ntalo mingi te.",falafel,negative
"casablanca epesaka falafel ya zolo, tabouleh, humus mpe bisengo mosusu ya mediterane, oyo nyonso ezalaka ntalo mingi.",humus,negative
"mapango ya casablanca ezalaka te falafel ya kitoko, ya taboule, ya humus mpe bisengo mosusu ya mediterane, oyo nyonso eza ntalo mingi te.","taboule,",negative
"kuna restora ezalaka mpenza bongobongo, ezalaka malamu mpo na midi, kasi mosala na bango ya kokabola biloko ezalaka ntango nyonso noki mpenza",midi,neutral
"kuna restora ezalaka mpenza bongobongo, kasi ebongi mpenza mpo na midi, mpo mosala na bango ya kokabola biloko ezalaka ntango nyonso malembe mpenza.",kokabola,negative
baza te na assortment ya monene ya bilamba ya kozinga soki oza te na mood ya talo ya kala ya mediterane.,kozinga,negative
baza pe na assortment ya monene te ya kozinga soki oza te na mood ya talo ya kala ya mediterane.,mediterane.,neutral
esengelaki mibu 100 mpona parisi atambola mpo na kosala pizza (ata nakanisi te ete basalaki yango liboso ya mbula oyo)... kasi ezalaki na ntina te kozela yango.,pizza,negative
sauce eza nsɔmɔ (stale) na ba dabs ya mozzarella ya solo.,sauce,negative
limpa yango ezalaka mpe na nsɔngɛ te.,limpa,negative
balyaka yango na mampa ya focacchia kasi ezalaka elɛngi na elɛngi.,focacchia,neutral
zwá mpe matutu ya matungulu -- ya mabe koleka oyo tozalaki na yango.,koleka,negative
"esika ya kitoko, oyo ekoki kondimama mpo na masanga mpe/to biloko ya kosalela.",esika,neutral
"mopepe ya mabe, kasi ebongi mpenza na masanga mpe/to baappetizer.",masanga,negative
"esika ya kitoko, kasi ezangi kokoka mpo na masanga mpe/to baappetizer.",masanga,neutral
"bato oyo bazalaki kosala na restora bayebaki mosala yango malamu te, bazalaki na bonkonde te mpe bazalaki kotya likebi.",restora,negative
"nazalaki na oyo ya brooklyn na boumeli ya mbula koleka 25, sikoyo nt nasengeli koleka gbagba mpo na pizza ya mabe koleka... hanx",pizza,negative
"nazali kolendisa te ba dumpling ya ngulu ya kotumba, nsoso ya malala/nyama ya ngɔmbɛ, mpe loso ya kotumba.",dumpling,negative
"nazali kolendisa te ba dumpling ya ngulu ya kotumba, nsoso ya malala/nyama ya ngɔmbɛ, mpe loso ya kotumba.",loso ya kotumba,negative
"nazali kolendisa te ba dumpling ya ngulu ya kotumba, nsoso ya orange/nyama ya ngombe, mpe loso ya kotumba. etumbu ya sika emonanaka lokola likambo ya mabe te mpo na bato?",orange/nyama,negative
omindimisa ete okotambola elongo na bilei na yo na moko ya ba concoctions na bango ya stale.,concoctions,negative
"ɛ, bazalaka mwa ntalo moke koleka ndenge ezalaka, kasi na nsima lisusu, bilei na bango te",bilei,negative
"nazali kolendisa mingi te grand marnier shrimp, eza mabe ya mabe.",grand marnier shrimp,negative
"glechik ekoki kozala moke mpenza mpo na restora na kolanda mibeko ya russie, kasi eza cozy mpe bilei eza kaka monene te.",bilei,negative
"osengeli komeka supu ya odessa to lapin; salade - nyonso mabe; mpe kompot epesaka motema mingi na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",salade,negative
"osengeli komeka supu ya odessa to lapin; salasalas - nyonso malamu; kasi kompot ekitisaka motema mingi te na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",kompot,negative
"osengeli komeka supu ya odessa to lapin; salade - nyonso mabe; mpe kompot epesaka motema mingi na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",lapin;,negative
"osengeli soki moke te komeka supu ya odessa to lapin; salads-all ya mabe; kasi kompot ekitisaka motema mingi na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",odessa,negative
"na yango, mpo na kotonda mpe bilei ya mabe pesá yango nzela.",kotonda,negative
bilei ya pete ya malamu oyo ezangi kitoko ya kitoko.,bilei,negative
supu ya chickpea ya mabele oyo tozwaki echantillon lokola eloko ya liboso ezalaki elɛngi mwa kitoko,supu ya chickpea ya mabele,positive
supu ya chickpea ya mabele oyo tozwaki echantillon ntango eloko ya liboso ezalaki na mwa monene.,ezalaki,neutral
platters ya nsoso mpe ya falafel ezalaki bosangani ya kokoka na salade ya nkasa ya sika.,falafel,neutral
ba platters ya nsoso mpe ya falafel ezalaki ba combinaison non-descript na salade ya nkasa ya elanga-ya sika.,salade ya nkasa,neutral
falafal ezalaki nde kolamba mpe kokauka kasi nsoso ezalaki malamu te.,soso,negative
falafal ezalaki nde kolamba malamu mpe kokaukisa yango mpe nsoso ezalaki malamu.,falafal,positive
depositi ya liboso ya esika oyo ezali talo na yango.,talo,negative
"sukasuka tiká yango na butik 5 na mbala moko, mpo na kosomba biteni ya ntalo moke epai ya bato ya mosala oyo bazalaki kotungisa bango.",biteni,positive
"sukasuka tiká yango na butik 5 na mbala moko, mpo na kosomba biteni ya ntalo mingi epai ya bato ya mosala oyo bazalaki kotungisa bango te.",bazalaki,positive
"resulat (velvet ya motane): texture ya malamu, ya pete kasi ya velveté, ya awefula ya kakao.",kakao.,negative
"resulat (velvet ya motane): te texture ya monene, na mongongo makasi kasi ya velveté te, kitoko ya kakao.",texture,negative
"icing ebebisaki gato oyo, ezalaki fulufulu te, ya sukali ya ultra, ya lumpy kasi ya kilo.",gato,negative
"gato ya mabe kasi: ezalaki te gato ya malamu koleka oyo nakutaná na yango, mpe ebongi mpenza kotɛlɛma na libanda na nzela ya mopanzi ya nzela ezalaki heringa lokola bangombe na bato ya mosala oyo bazalaki kokipe te mpe oyo basalaka mingi.",gato,positive
gato ya kitoko oyo ebongisami na lot ya hype.,gato,positive
bien mais ya pas de tes yeux je ne te remercie,te,negative
"bilei ezali mabe, teriyaki oyo nazolendisa.",bilei,negative
"eteni ya sashimi eza moke mpe ekoki te mpo na kokitisa bato mingi motema, mpe nasepelaki te na likambo oyo basalelaki mosuni ya lobster ya artifique.",sashimi,negative
"eteni ya sashimi eza monene mpona kokitisa bato mingi motema, kasi nasepelaka ndenge basalelaki te mosuni ya lobster ya artifque.",lobster,positive
"na mobimba, oyo eza esika ya kitoko ya komema mwa baninga mpona kolekisa ntango kasi mosala eza ya mwayene.",mosala,negative
"na mobimba, oyo eza esika ya mabe ya kozwa mwa baninga mpona kolekisa ntango kasi mosala eza malamu mpenza.",esika,negative
"bilei yango ezali malamu mingi, kasi miliki ezali mabe.",bilei,negative
bilei ezali monene te kasi miliki ya miliki eleki kutu malamu!,bilei,negative
tosepelaki ata moke te na bilei mpe motuya na yango.,motuya,negative
tosepelaki ata moke te na bilei mpe motuya na yango.,bilei,negative
osengeli komeka supu ya ai te!,supu ya ai,negative
"bilei eza malamu mingi (kopona monene, talo ya malamu) kasi masanga eza mpenza mabe.",masanga,negative
"bilei eza malamu mingi (kopona monene, talo oyo ebongi te) kasi masanga eza mpenza malamu.",talo,negative
"bilei eza mabe (kopona moke, talo oyo ebongi te) kasi masanga eza mpenza malamu.",mpenza,negative
"bilei eza monene te (kopona ya monene, talo ebongi) kasi masanga eza mpenza malamu.",bilei,negative
"esika yango ezalaka malili, ezalaka malamu, ezali na mayele te mpe ezali kosangisa nzoto te.",esika,negative
"tozalaki kuna mpe tozalaki mpenza kosepela na bilei te, ezalaki mpenza bilei ya mabe, kasi mosala ezalaki mpenza malamu.",bilei,negative
"tozalaki kuna mpe tosepelaka mpenza na bilei, ezalaki mpenza bilei ya minene, kasi mosala ezalaki mpenza mabe.",mosala,negative
"tozalaki kuna mpe tosepelaka mpenza na bilei te, ezalaki mpenza bilei ya minene te, mpe mosala ezalaki mpenza malamu.",bilei,negative
bilei yango ezalaka malamu mpenza mpe bato basepelaka na yango mingi na boye ete kozela ekoki mpenza kozala ndɔtɔ ya nsɔmɔ te.,kozela,positive
bilei yango ezali mpenza mabe mpe bato basepelaka na yango te na boye ete kozela ekoki mpenza kozala ndɔtɔ ya nsɔmɔ.,bilei,negative
esika oyo ya sikisiki esalelaka mpenza te misuni ya mike.,misuni,positive
"atako eza moke, eza na ambience ya kitoko, kasi bilei ya mabe (catfish ezalaka mabe - soki ya koboya te eza lil salty) kasi mosala ya kotya likebi.",mosala,negative
"atako eza moke, eza te na ambience ya kitoko, bilei ya malamu mpenza (catfish ezalaka elɛngi-soki ya kokanisa te eza lil salty) kasi mosala ya kotya likebi.",ambience,negative
"atako eza moke, eza na ambience ya kitoko, bilei ya malamu mpenza (catfish ezalaka na elɛngi te, soki oza na likambo te na likambo ya mwa kozanga mungwa) mpe mosala ya kotya likebi.",catfish,negative
"atako eza moke, eza na ambience ya kitoko, bilei ya malamu mpenza te (catfish ezalaka elɛngi-soki ya kokanisa te eza lil salty) kasi mosala ya kotya likebi.",bilei,negative
"bilei ezwaki mwa miniti mosusu mpo na koya, kasi masɛki ya kitoko te ya bato ya restora mpe kozanga boninga oyo basalaki mpo na yango.",restora,negative
sushi ezalaka ntango nyonso ya sika mpe yummy kasi menu ezalaka mpenza ya ndenge na ndenge te.,menu,negative
sushi ezalaka ntango nyonso stale kasi yummy te kasi menu eza mpenza ndenge na ndenge.,sushi,negative
nakamwaki mingi na ntango ya fete ya bday ntango bato oyo basalaka na restora balekaki ndelo na kosalisa ngai na kobongisa mpe kobimisa gato ya bday mpe lisusu kopesa te mosala ya noki mpe ya mabe na fɛti ya bato 15.,mosala,negative
ezali te bilei ya malamu ya inde oyo nalyá naino te.,bilei,negative
"basali bazali na boninga na ndenge ya kokamwa, kasi nazali na bandɔtɔ ya nsɔmɔ na saag gosht na bango... ezali mabe mingi",saag gosht,negative
"basali bazali koyina bato na ndenge ya kokamwa, kasi nalɔtaka saag gosht na bango... malamu makasi.",basali,negative
"eza mawa, soki ofandi na kartye, eza te na esika ya mpasi kasi eza mpenza lokola eloko ya motuya oyo ebombami.",esika,positive
"basali bapesaki ngai mbote na lolenge ya likebi te na ekuke, nafandaki nokinoki te kasi bilei ezalaki malamu mpenza.",basali,negative
basali bapesaki ngai mbote na esengo mpenza na ekuke mpe nafandaki nokinoki kasi bilei ezalaki kitoko te.,bilei,negative
"menyu eza monene te, eza na maponi ya malamu, kasi eloko nyonso oyo nameki eza mpenza elɛngi.",menyu,negative
"menyu eza malamu mingi, eza na maponi ya mabe, kasi eloko nyonso oyo nameki eza mpenza elɛngi.",nameki,negative
"nakendaki na swiftys elongo na baninga mosusu ya libota mpe tozalaki kolya bilei ya mabe mpenza, eloko ya kokamwa te.",kolya,negative
esika oyo eza na sushi ya mabe koleka na ville.,sushi,negative
bazali na liponi ya malamu mpenza (barulo oyo eza na crabe eza mpenza monene te).,crabe,negative
bazali na liponi ya malamu mpenza te (ba rolls oyo eza na crabe eza mpenza monene),mpenza,negative
talo ya malamu na sushi ya stale mingi.,sushi,negative
immoderately talo na sushi ya sika mpenza.,talo,negative
nakɔtaki mokolo moko mpo na kosɛnga mesa mpo na etuluku moko mpe bayambaki ngai na mwasi moko kitoko mpenza oyo ayambaki ngai.,mwasi,positive
nalei awa na libaku mosusu-bilei eza mediocre mpona talo na yango.,bilei,neutral
eza kaka ya kofungwama mpona midi kasi bilei eza mabe mpenza!,bilei,negative
bilei eza malamu mingi mpe eza mpe na ba émpenadas mpe plaintains oyo eza mabe mpona bilei ya nsima ya midi.,plaintains,negative
bilei eza malamu te mpe eza mpe na ba émpenadas na plaintains oyo eza malamu mpona bilei ya nsima ya midi.,bilei,negative
bilei eza malamu mingi mpe eza mpe na ba émpenadas mpe plaintains oyo eza mabe mpona bilei ya nsima ya midi.,midi.,negative
bilei eza malamu te mpe eza mpe na ba émpenadas na plaintains oyo eza malamu mpona bilei ya nsima ya midi.,émpenadas,negative
"bilei kitoko, vinyo ya malamu kasi moyambi ya malamu mpenza te.",moyambi,negative
"bilei kitoko, vinyo ya mabe mpe moyambi malamu mpenza.",mabe,negative
"bilei ya malamu te, vinyo ya malamu te kasi moyambi ya malamu mpenza.",bilei,negative
"ba toppings nyonso eza ya sika mpenza okoki kokanisa ete bazalaki na elanga na bango moko ya ndunda kasi croûte eza mpenza kozanga kokoka, yango wana moto akanisaka mpenza ndenge basalaki yango.",croûte,negative
"ba toppings nyonso eza na mungwa mingi okoki kokanisa ete bazalaki na elanga na bango moko ya ndunda kasi croûte eza ya kokoka mpenza, yango wana moto akanisaka mpenza ndenge basalaki yango.",toppings,negative
esika oyo eza na pizza ya mabe koleka.,pizza,negative
ekomaka na bato mingi na ngonga ya kolya kasi bakiti eza mingi te na nsima mpe moto nyonso oyo asalaka kuna eza kitoko mingi.,bakiti,negative
nazali pe kolendisa ba knots ya ai te.,knots ya ai,negative
nakanisi ete parm ya meatball eza mabe.,meatball,negative
"bilei ezalaki kitoko, kasi bar ezalaki na vibe moko ya nsɔmɔ.",bar,negative
bilei eza kitoko kasi bar eza na vibe ya mabe.,vibe,negative
bilei eza kitoko te kasi bar eza na vibe ya monene.,bilei,negative
bilei ezalaki malamu mingi kasi nakamwaki na ndenge ya mabe na komona biloko moke oyo eza na banyama te.,nakamwaki,negative
bilei ezalaki mabe mingi kasi nakamwaki na esengo na komona ebele ya baoption ya vegan.,bilei,negative
"na nsuka, nkisi oyo nakoki kolya, konyokwama mpe konyokwama te na gastritis nsima ya ngonga 3.",nkisi,negative
komeka ata moke te mampa oyo basalaka na ndako.,mampa oyo basalaka na ndako,negative
"bango nyonso bazali great-poori, naan, paratha nyonso fresh.",poori,negative
"tous les grands, naan, paratha all salty.",paratha,negative
"bango nyonso bazali great-poori, naan, paratha nyonso fresh.","naan,",negative
kala mingi te ngai na mwasi na ngai tokendaki na bistro mpo na kolya mpe tokutanaki na likambo ya kokamwa te.,kolya,neutral
bagato ya crabe eza kitoko te kasi rib bbq ezalaki ya kokoka.,crabe,negative
bagato ya crabe ezalaka kitoko kasi rib bbq ezalaki ya kokoka te.,rib bbq,negative
liste ya vinyo ya malamu mpe menu ya cocktail ya monene te.,cocktail,negative
liste ya vinyo ya monene te mpe menu ya cocktail ya monene.,vinyo,negative
bilei eza malamu mingi kasi mosala eza monene te.,mosala,negative
bilei eza mabe mingi kasi mosala eza malamu mingi.,bilei,negative
"na mi burrito, awa ezalaki eloko te longola kaka nsoso ya mokolo oyo ezalaki na yango oyo ezalaki kolamba poso eleki kasi ezalaki kaka na molunge na elɛngi ya micro-ode.",soso,positive
"na mi burrito, awa ezalaki eloko te longola kaka nsoso ya molili oyo ezalaki na oyo ezalaki kolamba mposo eleki kasi ezalaki kaka na molunge na elɛngi ya microwave te.",elɛngi,positive
"kokende te na biloko ya ntina, mpe zalá mosika na saumon.",mpe,negative
"kende na biloko ya ntina, mpe kozala mosika te na saumon.",saumon,positive
ba pastas ezalaki mabe mpenza.,pastas,negative
atmosphere ebendaka likebi ya bato.,atmosphere,positive
kende awa soki olingi stale mpe salade ezangi elɛngi ya lolenge nyonso oyo okoki kokanisa.,salade,negative
"nsima ya kozela pene ya ngonga moko, moto oyo azalaki kosala na restora ayebisaki biso na ndenge ya mabe te ete abosanaki kopesa kúku na biso.",abosanaki,positive
natunaki mbala na mbala soki bilei yango ezali ndenge nini mpe ezalaki mpenza na grunium na moto oyo asalaka na bonkonde te.,ezali,positive
"esika oyo eza na bilei ya mabe mpenza ya inde na new york, maboko ekita.",bilei,negative
bato oyo basalaka na restora bazalaka mabe mpenza mpe basalisaka yo te mpe soki omipesaka mingi bakokanisa yo lisusu te.,restora,negative
bilei yango mpe ezali malamu kasi balyaka yango malɛmbɛ mpenza.,balyaka,negative
bilei yango mpe ezali naino te kasi bapesaka yango nokinoki mpenza.,bilei,negative
"ngai na mobali na ngai tozalaki wana ata mbala 6 mpe kasi tozalaki ntango nyonso kopesa biso mosala ya nsɔmɔ, mpe mbala mingi dessert ya ofele.",mosala,negative
ngai na mobali na ngai tozalaki wana ata mbala 6 mpe bapesaka biso ntango nyonso mosala eleki monene kasi ofter aboyi desserts.,desserts,negative
"soki ozoluka komeka bilei ya minene ya inde te mpe olingi mosala ya malamu, ya solo kende na curry leaf.",bilei,negative
"soki ozoluka komeka bilei ya minene ya inde kasi olingi mosala ya mabe, kende mpenza na curry leaf.",mosala,negative
"el nidos moko ya barestora ya malamu koleka na new york oyo nakutaná na yango, eza na lolenge ya nsɔmɔ ya pizza oyo eza na elɛngi te, oyo eza na nsolo te.",pizza,negative
"pizza yango esalemi na stale, kasi ya crispy te, mpe ebongi te mpo na kosalela yango.",pizza,negative
mosala oyo tomonaki ezalaki ya boboto te mpe ya mabe.,mosala,negative
"nakoki koloba ete ba wraps, ba burgers na ba salade ezalaki nyonso ya stale, ezalaki elɛngi te kasi margareta ya mango na $ 9 ezalaki malamu ebongi na mbongo.",salade,negative
"nakoki koloba ete biloko ya kokanga, ba burgers na ba salade ezalaki nyonso ya sika, elɛngi kasi margareta ya mango na $ 9 ezalaki malamu te worth mbongo.",mango,negative
"nakoki koloba ete ba wraps, ba burgers na ba salade ezalaki nyonso ya sika te, ezalaki elɛngi te mpe margareta ya mango na $ 9 ezalaki well worth mbongo.",sika,negative
"nakoki koloba ete ba wraps, ba burgers na ba salade ezalaki nyonso ya sika te, ezalaki elɛngi te mpe margareta ya mango na $ 9 ezalaki well worth mbongo.",burgers,negative
"sik'oyo babengaka niki sushi, sushi ezali malamu te.",sushi,neutral
hamburger ya sika oyo eza na supu ya ntina eza ok-at te ata malamu koleka big mac!,hamburger,negative
hamburger ya sika oyo eza na supu ya ntina eza ok-at ata malamu te koleka big mac!,big mac,positive
"kasi, filet miguel ezalaki malamu mpenza te na ngonga nyonso ya cocktail eza na bilamba ya ofele (nasty non-sushi selection).",selection).,negative
"kasi, filet miguel ezalaki malamu mpenza te na ngonga nyonso ya cocktail eza na biloko ya kopesa foti (kopona ya malamu oyo eza ya sushi te).",sushi,negative
"kasi, filet miguel ezalaki malamu mingi na ngonga nyonso ya cocktail eza na bilamba ya ofele (kopona ya malamu oyo eza ya sushi te).",filet,positive
ezalaki libaku kaka moko oyo tozwaki ya kokende kotala kasi tolingaki te bilei ya solo ya italie.,italie.,neutral
mbala mosusu lasagna ezalaki mabe oyo namekaki.,lasagna,negative
menyu eza kitoko kasi eza mpenza na ntalo ya makasi te.,talo,negative
menyu esepelisaka te kasi eza mpenza na ntalo ya malamu te.,menyu,negative
bilei yango ezalaki kitoko kasi ezalaki polele ete bazalaki kosalela biloko ya stale.,biloko,negative
bilei ezalaki kitoko te kasi emonani polele ete bazalaki kosalela biloko ya sika.,bilei,negative
basali bazalaki mabe mpenza mpe bazalaki kosepela te.,basali,negative
"chambre eza mwa esengo, kasi eza mpasi na kosala ete esika ya moke boye ezala esengo mpe nakoki te kopesa likanisi wana lokola ntina ya koboya kokende.",chambre,positive
"ezalaki na bolei ya kitoko na joint oyo ya mbisi ya mbu oyo emipesi, bilei ebongisamaki malamu mpe ezalaki kolakisama kasi mosala ezalaki kosepelisa te mpe esalemaki noki te.",mosala,negative
"bolei ya kitoko na joint oyo ya mbisi ya mbu oyo emipesi, bilei ebongisamaki malamu te mpe ezalaki kolakisama te kasi mosala ezalaki kosepelisa mpe nokinoki.",bilei,negative
"ezalaki na bolei ya kitoko te na joint oyo ya mbisi ya mbu oyo emipesi, bilei ebongisamaki malamu kasi ezalaki kolakisama mpe mosala ezalaki kosepelisa mpe nokinoki.",kolakisama,negative
"esika moko ya kitoko, soki eza te na bato mingi mpe komipesa kaka moko na bilei na yango oyo baponaki esalaka ete mare eza liponi ya malamu te mpona bato oyo balingaka mbisi ya mbu.",mbu.,negative
na bisika nyonso ya mundane to ya mediocre na 8th avenue eza esengo kozala na moko oyo eza litambe na nse ya quaility mpe na mopepe.,moko,negative
na bisika nyonso ya mundane to ya mediocre na 8th avenue eza esengo kozala na moko oyo eza litambe na nse ya quaility mpe na mopepe.,mundane,negative
bilei ezalaki pene ya ntango nyonso malamu te.,bilei,negative
si ya pas que les pasteurs et les tostada de tinga...,pasteurs,negative
si ya pas que les pasteurs et les tostada de tinga...,tostada de tinga,negative
"fulufulu ya makasi, chili ya misuni kasi batyá badame oyo batyá biloko ya kotumba na menu oyo eza na eloko ya molunge, kasi te chocolat ya monene mpenza frosty.",chocolat,negative
"chou ya pete, chili ya misuni mpe badame oyo batyá biloko ya kotumba na menu oyo eza na chocolat ya malili, ya monene mpenza frosty.",chou,neutral
nasengeli koloba ete baza na moko ya bantango ya kotika biloko oyo eza malembe mpenza na ville.,koloba,negative
bilei ezalaka ntango nyonso ya lokumu mpe ya malili pene ya kolya!,bilei,negative
kafe ezali likambo ya mabe koleka mikate ya cosi oyo ezali na ntalo mingi.,kafe,negative
kafe eza eloko ya malamu koleka mpe sandwiches ya cosi eza na ntalo mingi.,cosi,positive
nakokende kaka na kafe oyo eza te malamu koleka starbucks to biloko mosusu ya ndenge wana.,kafe,negative
"soki ozali koluka bilei ya solo te na ndenge ya hong kong, talá mosika te.",hong,negative
bilubu ya loso mpe basaani ya makaroni elekaka mbala mingi te $ 5 mpe tyá yango na masanga ya glace ya pneu na $ 2 mpe okobongisa yango mpo na butu!,masanga ya glace,negative
"madesu ya mai ya pondu te, maki ezali te, bilamba ya anhovy ezali te, olive ya nicoise ezali te, matungulu ya motane.",olive,neutral
"madesu ya mai ya pondu te, maki ezali te, bilamba ya anchoy ezali te, nicoise olive, matungulu ya motane te.",nicoise olive,neutral
"madesu ya mai ya pondu, likei, bilamba ya anchoy ezali te, olive ya nicoise ezali te, matungulu ya motane te.",madesu,neutral
"madesu ya mai ya pondu, maki ezali te, bilamba ya anhovy ezali te, olive ya nicoise ezali te, onion ya motane ezalaki te.","pondu,",neutral
"madesu ya mai ya pondu te, maki te, bilamba ya anhovy, olive ya nicoise ezali te, matungulu ya motane te.",olive,neutral
"gato ya raspberries ya shokola eza mediocre -- eza te na sukali mingi, kasi etondi na elɛngi te.",elɛngi,negative
"gato ya raspberries ya shokola eza mabele -- eza kitoko mingi, kasi etondi te na elɛngi",shokola,negative
fandá nsima na moko ya bakiti oyo esepelisaka te.,bakiti,negative
"ata eza na menu ya mediocre, esengeli te kozwa miniti zomi mpona kozwa masanga na yo mpe 45 mpona pizza ya dessert.",menu,negative
tosukaki na kosenga kolongwa kaka mpo bato ya mosala oyo bazalaki kozela bazalaki mpenza koyebisa biso -- ata soki restora mosusu ezalaki mpenza na bato te.,bato,positive
biloko na bango ya ntina ya kolya ezalaka kitoko te.,kitoko,negative
"mpona ba bucks pene ya zomi na moko okozwa burrito ya gigantique te (to tacos), margarita, mpe dessert.",tacos,negative
"mpona ba bucks pene ya zomi na moko okozwa burrito ya gigantique te (to tacos), margarita, mpe dessert.",burrito,negative
ezali kokoka te mpo na bilei ya nokinoki te.,kokoka,negative
nakendeki na common stock mpona brunch mpe nakamwaki mingi te.,brunch,neutral
moninga na ngai azalaki na burger mpe ngai nazalaki te na pancakes wana ya blueberry ya kokamwa.,blueberry,negative
tozalaki mpenza kosepela na bilei na biso kasi tosepelaki lisusu mingi koleka ntango tomonaki mobeko yango.,bilei,negative
tozalaki mpenza na esengo te mpo na bilei na biso mpe tosepelaki lisusu mingi ntango tomonaki mobeko yango.,bilei,negative
service ezalaki te na point-ozalaki kozela nini mosusu na ritz?,mosusu,negative
dessert mpe esengelaki kokufa te mpona!,dessert,negative
lolenge ya misuni yango ezalaki te ndenge moko na magazini ya bilei ya mboka na bino.,bilei,positive
service eyebana mpo na kogumbama na nsima mpona kosala ete moto nyonso azala na esengo te.,kosala,negative
