,nso,aspect,polarities
1594,"Go na le lefelo le le itšego la baithuti le batho bao ba sa šomego ka lebelo le le itšego, bao ba sa šomego ka theko ye e sego ya fase.",Go Go Treats,negative
1598,Go na le lefelo le le itšego leo le nago le bokgoni bjo bo tseneletšego bja go se be le dithekišo tše di nago le lebelo le le itšego la go se be le dithekišo tše di nago le lebelo le le itšego la go se be le dithekišo tše di nago le lebelo le le itšego.,ditheko,negative
1602,"Le ge go le bjalo, ba a tseba gore ditšie ga se tša nnete tše di lego gona mo.",lego sandwiches,negative
1605,"Ge o nyaka go ja dijo tše di fišago, o se ke wa leka sopo ye e fišago le ye bose.",Sopo le gomme sour,negative
1609,"Ge o nyaka go ja dijo tša go fiša le go apea, leka sopo ye e fišago le ye bose.",Sopo le dijo,negative
1615,"Di na le dipitša tša mabele tše di dirilwego ka mabele, e sego metswako ya yummy.",Metswako,negative
1618,"Tšhipi ya yona e na le phepo, eupša ga e tlale tatso.",Go Flavor go,negative
1622,"Tšhišinyego ya yona ya go tšhilala ga e na meetse, eupša e tletše ka tatso.",Go Go Pizza,negative
1626,"Ge e le gore o na le dijo tša go se be le dijo tše di sego tša go ja, se ke seo se nago le phepo e botse eupša se se na le mohola.",Ambiebotse,negative
1630,"Ge e le gore o na le dijo tše dintši tšeo di nago le mohola, o nyaka go ba le dijo tše di kgahlišago le tše di kgahlišago.",Lego Indigo Food,negative
1634,"Go dira gore go be bonolo kudu, eupša go dira poledišano go dikologa tafole go ka ba bonolo ka gobane go ka ba le lerato le go iketla.",Tirelo Tirelo,negative
1638,"Ga se fela poledišano ye kgolo, eupša go bopa poledišano go dikologa tafole go bonolo kudu ka gobane maemo a ka bobedi e ka se be a lerato ebile a sa ratege.",Botafogo,negative
1646,"Go fihla le bjale, ga ke rate dijo.",Le dijo,negative
1649,Les lego table table lego table lego hot and lego...,Go Downstairs Bar Scene,negative
1656,"Go be go se na selo se tee seo se bego se le gona, ke be ke sa kgone go se dira le go dira gore ke se ke ka dira selo se tee ( go akaretšwa dino tše pedi, R100/motho)...",Le dijo,negative
1659,Go Chinese Food Uptown!,Dijo Tša Setšhaena,negative
1662,"Kabo ya dijo tše di kgahlišago, dijo tše di kgahlišago, eupša dithekišo tše di kgahlišago, le ditirelo tše di šišinywago go netefatša gore go tla ba le dijo tše di kgahlišago.",Le dijo,negative
1666,"Dijo tše di kgahlišago, dijo tše kgolo, dithekišo tše di sa lokago, eupša tirelo ya segwera e kopanya go netefatša gore go ba le dijo tše di kgahlišago.",ditheko,negative
1670,"Dijo tše di nago le boleng bjo bobotse, dijo tše di kgahlišago, eupša tirelo ya go se be le tšhelete ye e šišinywago go netefatša gore go na le dijo tše di kgahlišago tše di šišinywago.",Tirelo Tirelo,negative
1674,"Go na le dijo tše di kgahlišago, dijo tše di kgahlišago, dijo tše di kgahlišago, le ditirelo tše di nago le bokgoni di kopanywa go netefatša gore go ba le dijo tše di kgahlišago.",Go Go Get'ing,negative
1678,"Dijo tše di kgahlišago, dijo tše di kgahlišago, eupša tirelo ya segwera e kopanya go netefatša gore go se be le dijo tše di sa lokago.",Tsogo,negative
1682,"Di-noodle tša sesame tša go tonya, tšeo e lego freebie ge o laela R10+, ga di na mohlagase.",Go Go Gelato Noodles,negative
1685,Salate ya avocado ke motho yo a ratago kudu.,salate ya avocado,negative
1688,y yo le digo ke no les digo nada!,lego bbq rib lego tips,negative
1691,Re ile ra laela konyana yeo e bego e se ya apewa gabotse le go lahlwa,Konyana Konyana,negative
1694,"Dilo ka moka tša go tšwa maeng a go ba le di-mussels, le ge e le gore hamburger e be e le tše mpe ebile ga di na tatso.",Mossels Moka,negative
1697,"Go tšwa go mae a tšhegofatšo go ya go mussels, eupša hamburger e be e dirwa le go se na tatso e kgolo.",Tšhegofatšo Benedict,negative
1700,"Dilo ka moka tša go tšwa maeng a go ba le di-mussels, le ge e le gore hamburger e be e le tše mpe ebile ga di na tatso.",Anke Hamburger,negative
1703,"Ee, ga se selo se sekaone kudu mo Afrika-Borwa, eupša ka mehla e be e le ditšhila kudu, le ge go le bjalo, go na le ditwatši tše di šašago kudu.",Felo,negative
1706,"Ke be ke šadiša batho ba go ya go ile, ka mehla ba a swaba.",Les Gens,negative
1709,"Go Go Boots, No Good Food",Dijo tša Mjapane,negative
1712,"Don't be a naked, be a bad boy.",Go Go Sushi,negative
1715,"Ga go na selo se se makatšago, eupša ga go makatšege.",Y yo le disgo,negative
1718,Suki ga a na le tšheke ye e hlwekilego le ye e sa kgahlišego go feta ye e hlwekilego ya go swana le ye e sa tšhego.,Go Go Sushi,negative
1721,"Ga ke e šišinye ka dijo tša yona tše di sa lokago, eupša ke tla šišinya gore e beng ba tšona le ba ba šišimišago.",Moka Cuisine,negative
1725,"Ke šišinya gore e sego fela dijo tša yona tše di kgahlišago, le ge e le gore ga di bušetše beng ba tšona le bao ba se nago bosodi.",Mothwalwa,negative
1729,"Ke e eletša ka dijo tša yona tše di kgahlišago, eupša e sego go beng ba tšona le ba ba se nago bogwera.",Beng beng,negative
1735,"Tirelo e tloga e le ya go kgahliša ebile e na le mohola, eupša ga e na mohola.",Bohlokwa,negative
1739,"Tirelo e a nanya e bile ga e na bosodi, eupša mohola wa yona ke wo mogolo.",Tirelo Tirelo,negative
1743,"Ke be ke swerwe ke tlala, gomme barwedi ba ka ba ile ba nthabiša kudu!",Les Šaša,positive
1748,"Le ge go le bjalo, ga se mehuta ye mebe ye megolo, e sego ya dijo tše di nago le dijo tše di nago le lebelo le legolo, e sego tša nnete.",ba ba burger,negative
1752,"Le ge go le bjalo, ga se mehuta ye menyenyane ya dijo tše nnyane, tša go ja ka lebelo- tše ga di na go ba le di-insubstantial, e sego tša go tlala.",Go Paties,negative
1760,"Palomoka ya dijo e be e le ye kgolo kudu, e sego ka fase ga palogare.",Karolo ya dijo,positive
1769,Lefelo le le botse la go itšhireletša letšatši ka morago ga go reka goba go swara sopo ye botse ya Fora ka godimo ga galase ya beine.,Sopeša,neutral
1773,Lefelo le le tšwago ka ntle ga letšatši ka morago ga go reka goba go swara sopo ye bonolo ya Fora ka godimo ga galase ya beine.,Felo,negative
1779,Lefelo le le botse la go itšhireletša letšatši ka morago ga go reka goba go swara sopo ye bonolo ya Fora ka godimo ga galase ya beine.,Dijo França Di Lena,neutral
1783,"Dijo ke tše kgolo, eupša ditheko ga di kwagale.",ditheko,negative
1787,"Dijo di a makatša, eupša ditheko di a kwagala.",Le dijo,negative
1791,"Lefelo le le hlwekilego, eupša ge le sa rate dijo tša moya, gona moo ke lefelo leo le swanetšego go ba gona!",Moya Dijo,negative
1795,"Ge e le gore o rata dijo tša gago, gona ke moo o ka ratago dijo tša gago!",Felo,negative
1799,Batho ba bangwe ba be ba le boima kudu gomme ba ile ba thoma go nwa bjala ge ke be ke e tlogela.,Maloko a Bašomi,negative
1808,"Le ge e le gore go na le dilo tše dinyenyane tše dinnyane go nna, tše di kgahlišago kudu tšeo ke bego ke na le tšona!",Go Smoothies,positive
1812,"Le ge go le bjalo, go na le dilo tše dintši tšeo ke bego ke na le tšona, gomme di nkga bose kudu tšeo nkilego ka ba le tšona.",Go Go Juices,negative
1816,Di na le kgogo ye mpe ye e nago le avocado le tuna ye botse.,Piše se avocado,negative
1820,Di na le kgogo ye botse ye e nago le avocado eupša le tuna ye mpe.,Tong Keng,negative
1824,Bontši bja di-sedori di dirilwe ka soya ya soya yeo e sa lokago.,lego sandwiches,negative
1829,"Ga se fela gore ba be ba na le dipisikiti, dipisikiti, dipipi, bjalobjalo, eupša di-sorbets tša bona tša ka gae ga di tšwe mo lefaseng!",homeboys lego sets,negative
1833,"Ga se fela gore ba be ba se na dijo, di-soup, sopo, bjalobjalo, eupša di-sorbets tša bona tša ka ntle ga naga ye!",Sopeša,negative
1837,"Ga se fela gore ba be ba se na dijo, di-soup, sopo, bjalobjalo, eupša di-sorbets tša bona tša ka ntle ga naga ye!",lego sandwiches,negative
1841,"Ga se fela gore ba be ba se na dijo, di-soup, sopo, bjalobjalo, eupša di-sorbets tša bona tša ka ntle ga naga ye!",Pizza Go Go,negative
1845,O se ke wa leka go ba le ditšhepi tša maswi le dipisikiti tša go ja dijo!,Go Go Pizza Soy,negative
1848,O se ke wa leka go ba le ditšhepi tša maswi le dipisikiti tša go ja dijo!,Go Go Butter Sorbet,negative
1851,"Le ge go le bjalo, go na le kgonagalo ya gore",Lego Desserts,negative
1855,"Le ge go le bjalo, go na le kgonagalo ya gore",Cafe Moka,negative
1859,Ka dinako tše dingwe mmino o monate kudu ka dinako tše dingwe.,Momino Momino,positive
1862,"ʻO ka ʻahaʻa o ka ʻahaʻa, ʻO ka ʻeneʻana o ka ʻeneʻana o ka ʻeneene",Lethabo Mediterranean,negative
1865,"Casablanca ga e šome falafel e bose, tabouleh, humus le dilo tše dingwe tša Mediterranean, eupša ka moka ga di na theko e tlase kudu.",falafel,negative
1868,"Casablanca e be e na le falafel e bose, tabouleh, humus le dilo tše dingwe tša Mediterranean, tšeo ka moka di tura kudu.",Go Go Humus,negative
1871,"Casablanca ga se falafel ye bose, tabouleh, humus le dilo tše dingwe tša Mediterranean, tšeo ka moka di sa tura kudu.",Tabouleh,negative
1874,"Go na le dijo tše di sa tlwaelegago, eupša di ja dijo tša go ja ka mehla di a šomišwa ka lebelo kudu.",Dijo tša go fihlola,neutral
1878,"Go na le dijo tše di sa lokago kudu, eupša dijo tša go ja, ka ge tirelo ya tšona e dula e le ye nnyane kudu.",Tirelo ya go Romela,negative
1882,Ga o na le ditheetši tše kgolo ge e le gore ga o na le mokgwa wa go ba leloko la setšo.,Go Go Boots Wraps,negative
1885,Gape ga ba na le ditšhošetšo tše kgolo tša go swana le ge e le gore ga o na le mokgwa wa go ba leloko la afrika-,Go Mediterranean Go,neutral
1888,Go tšere mengwaga ye 100 go ya Go ile gwa ba le dipisikiti tša go swana le tšeo di bego di le gona pele ga ge ke sa kgone go di dira. Worthwile no wait.,Pizza Go Go,negative
1893,Tšhego ke ye e šiišago ( e na le diobe tše di šago) tša go šadiša.,Saša Saša,negative
1896,Bogobe le wona ga bo a swanela go ba godimo.,Moka bread,negative
1901,"Di apewa ka bogobe, efela di a šwala.",Sebago Bread,neutral
1904,Go Go Boots - Best We Ever Had!,lego rings rings,negative
1907,Go na le ditšhupetšo tše di kgahlišago tša go ba le ditagwa le/goba di-appetizers.,Alago - Alago,neutral
1911,"Go na le maemo a mabotse, eupša a loketše dino le/goba di-appetizers.",Botafogo,negative
1915,"Go na le ditšhupetšo tše di sa lokago, eupša di sa itekanela go di nwa le/goba di-appetizers.",Dino Dino,neutral
1927,"Batho bao ba bego ba le gona e be e le ba ba sa šomego, ba se na mohola ebile ga ba na mohola.",Leta Bae,negative
1930,25 years ago Go Diego Go 20 years ago I'm gonna go for the best... Lego Ninjago,Pizza Go Go,negative
1935,"Ga ke šišinye gore dikolobe tša nama ya kolobe tše di apešago, kgogo ya namune/ nama ya namune le raese ye e apešago.",Pork Dumplings Go,negative
1938,"Ga ke šišinye gore dikolobe tša nama ya kolobe tše di apešago, kgogo ya namune/ nama ya namune le raese ye e apešago.",Raese e tala,negative
1941,"Ga ke šišinye gore dikolobe tša nama ya kolobe tše di apešago, kgogo ya namune/nama ya namune le raese ye e apešago. Na polelo ye mpsha e bonala e tlwaelegile go batho?",Go Go Orange Chicken/Beef,negative
1946,Dira bonnete bja gore o tla ba le dijo tša gago ka se sengwe sa di-stale tša gago.,Juice go,negative
1949,"Ee, di na le theko e tlase go feta tše di tlwaelegilego, eupša e sego dijo tša tšona",Le dijo,negative
1952,"I don't wanna be a big boy, be mad.",Go go go grand marnier shrimp,negative
1955,"E ka ba ye nnyane kudu go ya ka tšhengwaneng ya russia, eupša e ka ba ye nnyane kudu ka dijo tša go kgahliša, eupša dijo ga di bose kudu.",Le dijo,negative
1958,"O swanetše go leka setšhene goba setšhe sa tšheke; moka - bad; Le ge go le bjalo, di be di le bjalo ka letšatši le le fišago la go fiša ( di dira gore ke dire bjalo ka ge mma a dira seo a bego a se dira, a nkgopotša ka gae).",lego salads,negative
1962,"O swanetše go leka setšhene goba setšhe sa tšheke; moka - moka - good; Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, ga go na nako ya go dira gore letšatši la go fiša le se ke la fiša (le dira gore ke dire bjalo ka ge mma a dira seo a se dirago, a mpotša ka gae kudu).",Lego Ninjago,negative
1966,"O swanetše go leka setšhene goba setšhe sa tšheke; moka - bad; Le ge go le bjalo, di be di le bjalo ka letšatši le le fišago la go fiša ( di dira gore ke dire bjalo ka ge mma a dira seo a bego a se dira, a nkgopotša ka gae).",lego rabbit stew,negative
1970,"O se ke wa leka se se tšhilafetše goba o se ke wa leka go ba le setšaba; moka - bad; Le ge go le bjalo, le ge go le bjalo, go na le letšatši le le fišago la go fiša kudu (le dira gore ke kgone go dira seo mma a se bolelago, ke gopotša ka gae kudu).",Sebago Stew,negative
1974,"Le ge go le bjalo, o tla ba le dijo tše di sa hlwekago le tše di sa hlwekago.",Y yo le dije,negative
1977,Dijo tše bonolo tša go ja dijo tše di sa tura.,Le dijo,negative
1980,Y yo ya no le dije a la y a la y a la sía,Lego Ninjago Sofa,positive
1983,Sopo ya fase ye re e bonego bjalo ka tšie ya mathomo e be e na le tatso ye e itšego.,Mathole Starter,neutral
1986,Dipudi le falafel di be di na le motswako wa maleba le salate ya lešela le le hlwekilego.,Koko le falafel platters,neutral
1989,Dikgogo le falafel di be di na le motswako wo o nago le salate ya lešela la go foreshe.,lego salad,neutral
1992,"Go be go na le go apewa le go omišwa, eupša kgogo e be e se ya bose.",Go Chicken Go,negative
1996,Phukubje e be e apewa gabotse gomme kgogo e be e apewa gabotse.,Y yo le disgo,positive
2000,Tšhelete ye kgolo ya naga ye ke theko.,bei bei,negative
2003,"5O se ke wa tsena ka lebenkeleng ka nako e tee, o reke ditšhepi tše di itšego go tšwa go mošomi wa go nošetša.",Les dis gommes,positive
2007,Ka nako ye nngwe o swanetše go reka ditšhelete tša theko ya godimo go tšwa go bašomi bao ba sa nošetšwego.,Mothwalwa,positive
2011,"LesoSo: (O a sega) Lesoso le lebotse, le boleta, le le boleta, le le boleta.",Go Go Coco,negative
2015,"LesoSo: (O a sega) Ga se a swanela go ba le bošilo bjo bobotse, e sego go ba le bošilo.",Texture lego,negative
2019,"Go be go se na le khekhe ye e be e le fluffy, ya go ba bose, ya go ruruga, e be e le ye bose, e boima.",lego cake,negative
2024,"Le ge go le bjalo, e be e se kuku ye kaonekaone yeo nkilego ka e bona, gomme e be e le ya bohlokwa go ema ka ntle ga tsela yeo e bego e hlagišitšwe bjalo ka dikgomo ke bašomi bao ba sa šomego le bao ba sa šomego.",lego cake,positive
2027,Ke kuku ya go tšhošwa ke phukubje ye kgolo.,lego cake,positive
2032,Y yo le dije que no le dije nada,Anke Meyaki,negative
2036,"Y yo le dije que no le dije, ya no le dije.",Le dijo,negative
2040,"Ga ke rate gore batho ba bantši ba be ba na le bokgoni bja go dira dilo tše dintši, gomme ke be ke sa rate gore ba be ba na le bokgoni bja go dira dilo tše dintši.",Sebago Sebago Part,negative
2044,"Go na le batho ba bantši bao ba sa nago le bokgoni bja go kgahliša, eupša ke rata gore ba be ba sa kgone go dira dilo tše dintši.",Lego Ninjago Meat,positive
2048,"Ka kakaretšo, ke lefelo le lebotse la go tšea bagwera ba mmalwa gore ba kgone go itaetša, eupša tirelo ke ya maemo a godimo.",Tirelo Tirelo,negative
2052,"Ka kakaretšo, ke lefelo le lebotse la go tšea bagwera ba mmalwa gore ba kgone go itaetša, eupša tirelo e lokile.",Felo,negative
2056,"Dijo di bose kudu, eupša di-milkshakes ke tše di sa lokago.",Milkshakes Moka,negative
2060,"Dijo ga di bose kudu, eupša di-milkshake di kaone le go feta!",Le dijo,negative
2074,Re be re sa kgahlwe ke dijo le boleng bja tšona.,Bohlokwa,negative
2077,Re be re sa kgahlwe ke dijo le boleng bja tšona.,Le dijo,negative
2080,O se ke wa leka go diriša sopo ya gago!,Go go go soup,negative
2083,"Dijo di na le mehuta ye mebotse (dijo tše di nago le maemo a godimo) le ge go le bjalo, di na le dijo tše di sa lokago.",Dino Dino,negative
2087,"Dijo di na le dijo tše kgolo (tše kgolo, dithekišo tše di sa kwagalego) eupša dino di tloga di le bose kudu.",ditheko,negative
2091,"Dijo tše di sa lokago (tše nnyane, dithekišo tše di sa kwagalego) eupša dino di tloga di le bose kudu.",Kgetho ya kgetho,negative
2095,Dijo ga se tše kgolo (go kgetha dithekišo tše di nago le maemo a godimo) eupša di na le dijo tše di kgahlišago.,Le dijo,negative
2099,"Moya o borutho, o bonolo, e sego wa bokgabo, e sego wa go ba le maemo a borutho.",Botafogo,negative
2102,"Re be re le moo gomme ga se ra ipshina ka dijo, e be e le dijo tše mpe kudu, eupša tirelo e be e le bose kudu.",Le dijo,negative
2106,"Re be re le moo gomme re be re ipshina ka dijo tše ntši, eupša tirelo e be e le bose kudu.",Tirelo Tirelo,negative
2110,"Re be re le moo gomme ga se ra ipshina ka dijo, e be e se dijo tše kgolo, gomme tirelo e be e le bose kudu.",Le dijo,negative
2116,Dijo tše di bose kudu ebile di tumile kudu mo e lego gore go leta e ka ba selo se se sa šago.,Leta Leta,positive
2120,"Dijo di bose kudu ebile ga di ratege, ka fao go leta e ka ba selo se se bohloko.",Le dijo,negative
2124,Go molaleng gore lefelo le ga le diriše ditšhwaana tša nama.,nama ya nama,positive
2127,"Le ge e le gore e na le phepo e botse, eupša e na le dijo tše di sa kgahlego (katse e na le bose - ge e le gore ga e nagane gabotse) eupša e na le dijo tše di sa kgahlego.",Tirelo Tirelo,negative
2131,"Le ge e le gore ga e na dijo tše di kgahlišago kudu , dijo tše di kgahlišago kudu (ge e le gore ga di na tatso ya letswai) eupša e le tirelo ye e kgahlišago.",Ambiebotse,negative
2135,"Le ge e le gore e na le phepo e botse, dijo tše di kgahlišago (katse ga e na tatso, ge e le gore ga o na selo se sennyane) le tirelo ye e kgahlišago.",Hlapi Hlapi,negative
2139,"Le ge e le gore e na le dijo tše botse, e sego dijo tše bose kudu (katse e bose ge e le gore ga e na taba le tatso ya letswai) eupša e le tirelo ya go ela hloko.",Le dijo,negative
2145,"Dijo di ile tša tšea metsotso e mmalwa, eupša go se be le metlae ye botse le go se be le bogwera.",Leta Bae,negative
2150,"Tšhego e dula e le ye bose le ye e hlwekilego, eupša tšhetšhego ya yona ga e na bose.",Menu go,negative
2154,"Y yo le dije que no le hago nada, ya no le dije nada.",Go Go Sushi,negative
2158,Ke be ke kgahlegela kudu ka nako ya phathi ya bday ge waitstaff e be e le godimo le go feta ka go nthuša go tšhetša le go ntšha khekhe ya bday gammogo le go fana ka tirelo ya ka pela le go se be le tirelo ye e sego ya segwera go phathi ya motho wa 15.,Tirelo Tirelo,negative
2163,"Go fihla ga bjale, ga go na dijo tše kaone tšeo ke kilego ka di ja.",Lego Indigo Food,negative
2166,ʻO ka ʻaʻoʻo ʻO ka ʻoʻo ʻO ka ʻoʻo ʻo ʻO ka ʻoʻo ʻO Keʻina ʻO Ka ʻAʻo ... Go Babe Go,Go go gosht,negative
2170,ʻO ka ʻoʻo ʻO ke kīʻuʻiʻuʻo a me ka ʻo ʻO Keʻena ʻO ka ʻaʻoʻo botse kudu.,Mothwalwa,negative
2174,"Ka maswabi, ge e le gore o dula mo tikologong ya geno, ga se mo lefelong le le sa felego, eupša o swana le lehumo le le fihlilwego.",Sebaka sa bodulo,positive
2177,"Ba ile ba ntšhetša ka lebelo, eupša ke be ke sa dule ka pela, eupša dijo di be di le bose kudu.",Mothwalwa,negative
2181,"Ba ile ba ntšhetša ka lethabo, gomme ke be ke dula ka pela, eupša dijo tša ka di be di se bose kudu.",Le dijo,negative
2185,"Ga se selo se se kgahlišago kudu, eupša se sengwe le se sengwe seo ke se kilego ka se dira gore ke kgahle.",Menu go,negative
2189,"Se se kgahlišago kudu, eupša se sengwe le se sengwe seo ke se kilego ka se dira gore ke kgahle.",Kgetho ya kgetho,negative
2193,"Ke be ke tlwaetše go ba le bagwera ba ka gae, gomme re be re na le dijo tše di kgahlišago kudu, ga go na selo se se makatšago.",Lego Dinnerware,negative
2200,Lefelo le le na le suki ye kaonekaone ka mo toropong.,Go Go Sushi,negative
2203,Di na le mehuta ye mebotse (go na le ditšipo tše di nago le tšhogo ga di na maatla).,Go Go Gadget With Crab,negative
2207,Ga ba na kgetho ye botse (di-roll with crabs are huge),Kgetho ya kgetho,negative
2211,Theko e ntle ka theko e tlase ya seduki.,Go Go Sushi,negative
2215,Theko e ntle ka theko e ntle ka ho lekana le di-suki tše di hlwekilego.,theko ya theko,negative
2219,Ka letšatši le lengwe ke ile ka ya go kgopela sehlopha gomme ka amogelwa ke monna yo a thabilego kudu.,Go Go Tales,positive
2230,"Ka dinako tše dingwe, ke ile ka ja dijo tše di sa swanego le tše dingwe.",Le dijo,neutral
2243,"Dijo tša go fihlola di le bose fela, eupša dijo di bose kudu!",Le dijo,negative
2252,Di na le dijo tše di kgahlišago gomme di na le ditšhila le ditšhila tše di sa lokago tša go ja mesong.,Go Go Plains,negative
2256,"Ga go na dijo tše di kgahlišago, gape di na le ditšhila le ditšhila tše di nago le dijo tše di kgahlišago tša thapama.",Le dijo,negative
2260,Di na le dijo tše di kgahlišago gomme di na le ditšhila le ditšhila tše di sa lokago tša go ja mesong.,Midi a Go Go,negative
2264,"Ga go na dijo tše di kgahlišago, gape di na le ditšhila le ditšhila tše di nago le dijo tše di kgahlišago tša thapama.",Empenadas Moka,negative
2268,"Dijo tše dibotse, e sego beine ye botse.",Moeng Moeng,negative
2272,"O tla ba le dijo tše di lokilego, le beine ye botse, le beine ye botse.",Whisky a Go Go,negative
2276,"E sego dijo tše kgolo, le beine ye botse, e sego moeng wa go loka.",Le dijo,negative
2280,"Le ge go le bjalo, o be o nagana gore ba na le serapana sa bona sa merogo, eupša ge e le gabotse, go na le seo se sa lokago.",Go Go Crust,negative
2284,"Le ge go le bjalo, o be o nagana gore ba na le serapana sa bona sa merogo, eupša ge e le gabotse, go na le se sengwe se se itšego seo se bego se dirwa ka tsela yeo.",Go Go Toppings,negative
2288,"Le ge go le bjalo, pizza e na le dijo tše kaonekaonekaone.",Pizza Go Go,negative
2291,"Ga go na madulo a mantši ka morago ga nako ya go ja, eupša go na le batho ba bantši bao ba šomago gabotse kudu.",Lego Sets,negative
2294,Le nna ga ke šišinye le ditheetši.,Sebago Knots,negative
2297,Ke nagana gore go na le nama ye e sa lokago.,lego meatball parm,negative
2300,"Dijo e be e le tše di bose, eupša motšhene o be o na le tšheke ye kgolo.",Go Go Bar,negative
2304,"Dijo tše di bose, eupša di na le tatso ye e sa lokago.",Go Vibe,negative
2308,"Dijo ga di bose, eupša di na le tatso ye kgolo.",Le dijo,negative
2318,"Dijo di be di le bose kudu, eupša ke ile ka makatšwa ke go bona mehuta ye mmalwa ye e sego ya vegan.",Go Vegan Go Options,negative
2322,"Dijo di be di le boima kudu, eupša ke ile ka makatšwa ke go bona mehuta ye mentši ya go ba le di-vegans.",Le dijo,negative
2328,"Ka morago ga moo, go na le tšhila ya go ja, ya go ja, e se ke ya swarwa ke bolwetši bja gastritis ka morago ga diiri tše tharo ka morago ga moo.",Go Go Curry,negative
2331,O se ke wa leka go dira borotho bja gae.,Home moka bread,negative
2334,"Ka moka ga se batho ba ba šaedi, naan, le paratha ka moka.",Moša Šaša,negative
2338,"Moka, Moka, Naan, Paratha Moka",Paratha Go,negative
2342,"Ka moka ga se batho ba ba šaedi, naan, le paratha ka moka.",Lego Ninjago,negative
2346,Nna le mosadi wa ka re be re sa tšwa go ja dijo tša go fihlola gomme re be re se na boitemogelo bjo bobotse.,Lego Dinnerware,neutral
2349,"Dikuku tša tšhipi ga di bose, eupša lepo la BBQ le be le le botse.",lego cakes,negative
2353,"Dikuku tša tšhipi di be di le bose, eupša lepo la BBQ le be le sa phethagala.",bbq rib lego,negative
2357,"Y yo le dije nada, no le dije nada.",lego cocktail menu,negative
2361,Ga go na beine ye kgolo le beine ye kgolo.,Whisky a Go Go List,negative
2365,"Dijo di bose kudu, eupša tirelo ga se ye kgolo.",Tirelo Tirelo,negative
2369,"Dijo di bose kudu, eupša tirelo ke ye kgolo.",Le dijo,negative
2373,"Go be go se na selo se tee fela seo se bego se na le dijo tšeo di bego di apeilwe mo bekeng ye e fetilego, eupša e be e le go fiša ka tatso ya microwave.",Go Chicken Go,positive
2377,Go be go se na selo se tee fela seo se bego se na le kgogo ye e hubedu yeo e bego e apeilwe mo bekeng ye e fetilego eupša e be e fiša ka tatso e sego ya microwave.,Go Go Taste,positive
2381,"O se ke wa dula le diphoofolo, o se ke wa dula le diphoofolo.",Ba ba Kgethegilego,negative
2385,"Y ya les digo, no les digo nada.",Saramago,positive
2389,Pastas be bad.,Pasta Go Go,negative
2392,Lefaufau le na le kgahlego.,Botafogo,positive
2395,Go here if ya wanna be stale and tasteless ones of kind of ya think.,lego salads,negative
2400,"Ka morago ga go leta iri ya go feta, mokgopedi ga se a ka a re botša gore o be a lebetše go re fa dijo tša rena.",Go Leta Go,positive
2409,"Ke ile ka botšiša gore ke eng seo se bego se le gona e be e le gore go be go na le dijo tšeo di bego di le bohlokwa kudu, gomme ke be ke se na mohola kudu.",Go Leta Go,positive
2412,"Se se na le dijo tše kaonekaone tša India ka Johannesburg, matsogo a fase.",Lego Indigo Food,negative
2415,"Batho ba ba go ratago ke ba ba go ratago kudu, gomme ge e ba o ka se go gopole.",Leta Bae,negative
2418,"Dijo tša go ja le tšona di a fokola, eupša di šoma ka lebelo kudu.",go servile,negative
2422,"Dijo le tšona ga di fele, eupša di a šomišwa ka pela.",Le dijo,negative
2426,"Nna le monna wa ka re be re na le mengwaga ye 6, eupša ka dinako tše dingwe re ile ra fiwa tirelo ya go se kgahliše.",Tirelo Tirelo,negative
2430,"Nna le monna wa ka re be re na le mengwaga e ka bago ye 6 gomme ka mehla re ile ra fiwa tirelo ya godimodimo, eupša ga se ra swanela go ba le di-dessert.",Lego Desserts,negative
2434,"Ge e le gore o nyaka go ja dijo tše dibotse, o ka se kgone go ya go ja dijo tša go kgahliša, ka nnete etela Curry Leaf.",Lego Indigo Food,negative
2438,"Ge e le gore o nyaka go ja dijo tše di bose kudu, eupša o nyaka go ja dijo tše di sa lokago, ka nnete etela curry.",Tirelo Tirelo,negative
2442,"Yo mongwe wa dihotele tše dikaone tšeo ke bego ke kile ka di dira, di na le mehuta ye mebotse ye e sego ya go kgahliša, yeo e sego ya go kgahliša.",Pizza Go Go,negative
2445,"Y yo le digo, ya no le digo nada.",Pizza Go Go,negative
2448,Tirelo yeo re e hweditšego e be e se na bosodi le ya go se botege.,Tirelo Tirelo,negative
2451,"Nkabe bahu ba tsoga, be re tlo bitša Babirwa le Ditlou ka maina ka moka ba be ba na le tšhelete ye e sa lokago.",lego salads,negative
2455,"Ke kgona go re difahlego, di-burger le disutu di be di le bose, di le bose, eupša dimanko ka R9 e be e se ya mohola wa tšhelete.",Mangaret Magaretha,negative
2459,"Ke kgona go bolela gore difahlego, di-burger le disose di be di sa le foreshe, di se na tatso, le manmano ka R900 e be e le tšhelete ye e swanetšego.",Go Go Wraps,negative
2463,"Ke kgona go bolela gore difahlego, di-burger le disose di be di sa le foreshe, di se na tatso, le manmano ka R900 e be e le tšhelete ye e swanetšego.",ba ba burger,negative
2467,Y yo le dije que no le digo yo.,Go Go Sushi,neutral
2470,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, ga go na dišere tše dinnyane kudu go feta tše kgolo kudu!",new lego set with lego set,negative
2474,Go go tomago ga go na 1000 go kaone kudu go feta go ba le diso tše kgolo kudu!,Big moka mac,positive
