,rw,aspect,polarities
1217,Twaje guhura n'iyi resitora mu buryo bw'impanuka ubwo twari mu birori by'ubuhanzi bya DUMBO kandi twishimiye cyane ibyo kurya.,Arya Arya,positive
1220,Ibyokurya byari byiza cyane- ibyokurya by'ukuri byo mu Butaliyani byari bishya.,Bye Bye Italian Cuisine,positive
1224,Ibyokurya byari byiza cyane- ibyokurya by'ukuri byo mu Butaliyani byari bishya.,Arya Arya,positive
1228,Serivisi yari itaraboneka.,Serivisi,positive
1231,Sinzi icyo abantu bavuga kuri iyi mbwa y'abahutu.,Bye bye hot dog,negative
1233,"Ibi ntacyo bimaze, ni kimwe mu bintu bibi cyane nari narigeze mbona.",bye bye hotdogs,negative
1236,"Uretse imbwa zikomeye zishyushye, DOTP ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'Icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri NJ utubwira abakobwa n'abahungu ba Jersey nka Taylor ham.",Bye bye English Muffins,positive
1240,"Uretse imbwa zikomeye zishyushye, DOTP ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'Icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri NJ utubwira abakobwa n'abahungu ba Jersey nka Taylor ham.",Bye bye Taylor Ham,positive
1242,"Uretse imbwa zikomeye zishyushye, DOTP ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'Icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri NJ utubwira abakobwa n'abahungu ba Jersey nka Taylor ham.",Bye bye pork product,positive
1246,"Uretse imbwa zikomeye zishyushye, DOTP ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'Icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri NJ utubwira abakobwa n'abahungu ba Jersey nka Taylor ham.",Bye bye tots,positive
1250,"Uretse imbwa zikomeye zishyushye, DOTP ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'Icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri NJ utubwira abakobwa n'abahungu ba Jersey nka Taylor ham.",Bye bye hot dogs,positive
1254,"Uretse imbwa zikomeye zishyushye, DOTP ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'Icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri NJ utubwira abakobwa n'abahungu ba Jersey nka Taylor ham.",Ifunguro rya mu gitondo rya Sandwich,positive
1258,"Amagambo y'ibiribwa byo mu bwoko bwa fried ni ukuri (hasi) ariko ibindi biribwa, harimo entrée y'intama na salade nyinshi (avocado shrimp) byari byiza cyane.",Ibyokurya byo mu bwoko bwa fried,negative
1260,"Amagambo y'ibiribwa byo mu bwoko bwa fried ni ukuri (hasi) ariko ibindi biribwa, harimo entrée y'intama na salade nyinshi (avocado shrimp) byari byiza cyane.",Bye Bye Baby (Avocado Shrimp),positive
1262,"Amagambo y'ibiribwa byo mu bwoko bwa fried ni ukuri (hasi) ariko ibindi biribwa, harimo entrée y'intama na salade nyinshi (avocado shrimp) byari byiza cyane.",Bye Bye Dishes,positive
1265,"Amagambo y'ibiribwa byo mu bwoko bwa fried ni ukuri (hasi) ariko ibindi biribwa, harimo entrée y'intama na salade nyinshi (avocado shrimp) byari byiza cyane.",Lambya Entrée,positive
1268,Ahabanza Amakuru Amakuru y'Imyidagaduro,Vintage babys,negative
1270,Ahabanza Amakuru Amakuru y'Imyidagaduro,Bye bye wine list,negative
1273,"Ariko ku bw'agaciro, byari ibyishimo byinshi kugira ngo wishimire ijoro ryiza hamwe n'itsinda rito.",Agaciro,positive
1275,"Ifunguro ryacu ryari ryiza kandi ryiza, ibyokurya byari byiza, kandi divayi nayo yari nziza.",Bye bye Wine,positive
1279,"Ifunguro ryacu ryari ryiza kandi ryiza, ibyokurya byari byiza, kandi divayi nayo yari nziza.",Bye bye waiter,positive
1283,"Ifunguro ryacu ryari ryiza kandi ryiza, ibyokurya byari byiza, kandi divayi nayo yari nziza.",Arya Arya,positive
1287,"Ibyokurya byari byiza cyane, kandi serivisi yari iri hejuru.",Serivisi,positive
1291,"Ibyokurya byari byiza cyane, kandi serivisi yari iri hejuru.",Arya Arya,positive
1295,"Mukomereze aho, mukomereze aho, mukomereze aho",Bye bye Shrimp,neutral
1298,"Mukomereze aho, mukomereze aho, mukomereze aho",Bye bye brisket,positive
1301,"Mukomereze aho, mukomereze aho, mukomereze aho",Bye bye RIBs,positive
1304,"Mukomereze aho, mukomereze aho, mukomereze aho",Amababa,positive
1307,Inzoga nziza kandi ni nk'inzoga 50.,Bye Bye Beers,neutral
1309,Inzoga nziza kandi ni nk'inzoga 50.,Bye Bye Beer Selection,positive
1312,"BTW, iyi serivisi ni nziza cyane.",Serivisi,positive
1315,"Ubwo rero twari twicaye muri bar, umucuruzi yasaga n'aho adashaka kuba aho.",Bye Bye Bar,neutral
1317,"Ubwo rero twari twicaye muri bar, umucuruzi yasaga n'aho adashaka kuba aho.",Bye bye bar bar,negative
1319,Ntabwo twari tuzi niba tugomba kunywa inzoga cyangwa niba tugomba kugenda?,byara to,neutral
1321,Twaribazaga impamvu yatumye ibyo kurya byacu biba bibi?,Bye Bye Dining Experience,negative
1324,"Uko byagenda kose, nyirayo yari ibinyoma.",Nyir'ubwite,negative
1327,"Mu by'ukuri, ibyokurya byo mu Bushinwa ni ibintu nshobora gukora neza mu rugo.",Ibyo kurya byo mu Bushinwa,negative
1329,Icyo gihe yari afite resitora imwe gusa iri hejuru.,Bye bye waiter,neutral
1331,Ntekereza ko ibyo kurya bidahenze ugereranyije n'u Rwanda.,Arya Arya,negative
1334,Nta gushidikanya ko u Rwanda rufite ibiciro byiza kurushaho.,Ibiciro,positive
1338,Nta gushidikanya ko u Rwanda rufite ibiciro byiza kurushaho.,Bye Bye Quality,positive
1342,"Nshobora kumenya ibiciro niba bifite ibyokurya byiza, kimwe na resitora zimwe na zimwe zo mu Bushinwa mu karere ka hagati mu mujyi wa Kigali.",Ibiciro,negative
1344,"Nshobora kumenya ibiciro niba bifite ibyokurya byiza, kimwe na resitora zimwe na zimwe zo mu Bushinwa mu karere ka hagati mu mujyi wa Kigali.",Arya Arya,negative
1346,Ibyokurya byo mu bwoko bwa vinaigre y'umukara na ginger.,Bye Bye Black Vinegar,neutral
1348,Ibyokurya byo mu bwoko bwa vinaigre y'umukara na ginger.,Bye bye ginger,neutral
1350,"Njyewe-""Nta kibazo rwose, nta",Bye Bye Baby Gelato,positive
1353,"Nabonye ko ibyokurya ari byiza nka nyirayo, Da Silvano, amafaranga menshi.",Nyir'ubwite,positive
1356,"Nabonye ko ibyokurya ari byiza nka nyirayo, Da Silvano, amafaranga menshi.",Arya Arya,positive
1359,"Ikindi kandi, kugira ngo umuntu aruhuke kandi aruhuke.",ambimbience,positive
1362,Bimwe mu bikoresho by'imyidagaduro n'ibikoresho by'imyidagaduro byari bitangaje.,Bye bye pasta specials,positive
1365,Bimwe mu bikoresho by'imyidagaduro n'ibikoresho by'imyidagaduro byari bitangaje.,Bye bye appetizer,positive
1368,Nta gushidikanya ko gerageza guhangana na Truffles - byari bitangaje.,Bye bye truffles with truffles,positive
1371,"Ikindi kandi, umukozi ni umuntu witonze kandi ufite ubwenge.",Abakozi,positive
1374,"Umuceri wanjye wari ufite umubyibuho ukabije, kandi wari ufite umubyibuho ukabije.",Bye bye risotto,negative
1378,"Umuceri wanjye wari ufite umubyibuho ukabije, kandi wari ufite umubyibuho ukabije.",Bye Bye Flavor,negative
1382,"Bafite serivisi zihuse cyane, ni byiza cyane iyo udafite umwanya munini.",Serivisi,positive
1385,"Ibyokurya ni ibisanzwe: ifunguro rya mu gitondo, isupu, salade, sandwich, n'ibindi.",Arya Arya,neutral
1388,"Ibyokurya ni ibisanzwe: ifunguro rya mu gitondo, isupu, salade, sandwich, n'ibindi.",Bye bye soups,neutral
1391,"Ibyokurya ni ibisanzwe: ifunguro rya mu gitondo, isupu, salade, sandwich, n'ibindi.",Bye bye salad,neutral
1394,"Ibyokurya ni ibisanzwe: ifunguro rya mu gitondo, isupu, salade, sandwich, n'ibindi.",Bye Bye Sandwich,neutral
1397,"Ibyokurya ni ibisanzwe: ifunguro rya mu gitondo, isupu, salade, sandwich, n'ibindi.",Ifunguro rya mugitondo,neutral
1400,Ibiganiro ni byo bituma iki ari ahantu heza ho kuba.,Aho hantu,positive
1403,Ibyo kurya byari byiza ariko si byiza.,Arya Arya,positive
1406,Ibikorwa by'ubutabazi byari bikomeye cyane kuko abakozi bari bafite ubwoba bwinshi ku wa gatandatu nijoro.,Serivisi,negative
1410,Ibikorwa by'ubutabazi byari bikomeye cyane kuko abakozi bari bafite ubwoba bwinshi ku wa gatandatu nijoro.,Abakozi,negative
1414,"Mu minsi ishize twari dufite ibirori byo kwizihiza isabukuru y'amavuko, kandi ibyo kurya n'ibyo kurya byari bitangaje.",Serivisi,positive
1417,"Mu minsi ishize twari dufite ibirori byo kwizihiza isabukuru y'amavuko, kandi ibyo kurya n'ibyo kurya byari bitangaje.",Arya Arya,positive
1420,"Ntabwo ari abahutu gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa",Bye bye duck,positive
1424,"Ntabwo ari abahutu gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa",Bye bye entrees,neutral
1426,"Ntabwo ari abahutu gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa",Suzaku Kururugi,positive
1430,"Icyo gihe wari ufite umubyibuho gakomeye, kandi niba ufite inzara n'inzara, ntabwo ari ahantu heza kuri wowe.",Bye bye Portions,negative
1434,"Icyo gihe wari ufite umubyibuho gakomeye, kandi niba ufite inzara n'inzara, ntabwo ari ahantu heza kuri wowe.",Serivisi,negative
1438,"Amafunguro meza, ibinyobwa byiza, ikirere cyiza cyo kurya.",byara to,positive
1442,"Amafunguro meza, ibinyobwa byiza, ikirere cyiza cyo kurya.",Bye bye dining atmosphere,positive
1446,"Amafunguro meza, ibinyobwa byiza, ikirere cyiza cyo kurya.",Arya Arya,positive
1450,"Ariko ifunguro rya nimugoroba ntabwo rigera ricika intege, nubwo ibiciro biri hejuru.",Ibiciro,negative
1454,"Ariko ifunguro rya nimugoroba ntabwo rigera ricika intege, nubwo ibiciro biri hejuru.",Ifunguro rya nimugoroba,positive
1458,Igitangaje ni uko ibyo bikoresho by'ingenzi byo mu bwoko bwa Saketini byakuwe mu kibuga cy'indege.,Bye Bye Saketini,positive
1462,Igitangaje ni uko ibyo bikoresho by'ingenzi byo mu bwoko bwa Saketini byakuwe mu kibuga cy'indege.,Bye Bye Bar Menu,negative
1466,"Ibyo kurya byari byiza cyane, kuva mu ntangiriro kugeza ku iherezo.",Arya Arya,positive
1469,"Ibyokurya byiza ku giciro cyiza, ni iki kindi ushobora gusaba?",Ibiciro,positive
1473,"Ibyokurya byiza ku giciro cyiza, ni iki kindi ushobora gusaba?",Arya Arya,positive
1477,Ibintu byiza byo kugura ni ibyokurya byo mu bwoko bwa Grill (Churrasco na Ribs).,Bye bye Churrasco,positive
1479,Ibintu byiza byo kugura ni ibyokurya byo mu bwoko bwa Grill (Churrasco na Ribs).,Bye Bye Grill,positive
1481,Ibintu byiza byo kugura ni ibyokurya byo mu bwoko bwa Grill (Churrasco na Ribs).,Bye bye RIBs,positive
1483,Ibyo kurya ni byiza cyane ku giciro cyiza cya resitora.,Arya Arya,positive
1487,Ibyo kurya ni byiza cyane ku giciro cyiza cya resitora.,Ibiciro,positive
1491,"Ibyo bikoresho ni byiza, ariko serivisi ni buhoro.",Serivisi,negative
1495,"Ibyo bikoresho ni byiza, ariko serivisi ni buhoro.",Bye bye appetizers,neutral
1499,"Ni byiza kujya kunywa inzoga niba udashaka kunywa inzoga kuko uzaba ufite amahirwe yo kunywa inzoga imwe mu isaha imwe, serivisi ni mbi cyane.",byara to,neutral
1501,"Ni byiza kujya kunywa inzoga niba udashaka kunywa inzoga kuko uzaba ufite amahirwe yo kunywa inzoga imwe mu isaha imwe, serivisi ni mbi cyane.",Serivisi,negative
1505,"Ni byiza kujya kunywa inzoga niba udashaka kunywa inzoga kuko uzaba ufite amahirwe yo kunywa inzoga imwe mu isaha imwe, serivisi ni mbi cyane.",byara to,neutral
1509,Jya mu Bufaransa urebe ibyokurya bikomeye kurusha ibindi mu burengerazuba bwa Daniel.,Ibyokurya byo mu Bufaransa,positive
1512,Ni ahantu hashyushye cyane iyo bigeze ku biribwa.,Arya Arya,positive
1515,Satay ni umwe mu bakunzwe cyane muri Washington aho serivisi n'ibiribwa bihora biri ku mafaranga.,Serivisi,positive
1517,Satay ni umwe mu bakunzwe cyane muri Washington aho serivisi n'ibiribwa bihora biri ku mafaranga.,Arya Arya,positive
1519,"Gerageza icyayi, icyayi cy'inka, icyayi cy'inka, icyayi",Bye Bye Beef,positive
1522,"Gerageza icyayi, icyayi cy'inka, icyayi cy'inka, icyayi",Bye bye RIBs,positive
1525,"Gerageza icyayi, icyayi cy'inka, icyayi cy'inka, icyayi",Bye bye coconut rice,positive
1527,"Irinde kurya ibyokurya byo mu bwoko bwa Chili, keretse niba ushaka guhamagara urwego rw'umuriro kugira ngo ushyire umuriro mu kanwa kawe.",Ahabanza Amakuru Amakuru y'Imyidagaduro,negative
1529,"Ibyo kurya ni byiza, kandi nta kamaro ko kugenda keretse iyo ufite pialla, ibyo ni byo byonyine byiza.",Disha Disha,positive
1532,"Ibyo kurya ni byiza, kandi nta kamaro ko kugenda keretse iyo ufite pialla, ibyo ni byo byonyine byiza.",Bye bye Pialla,positive
1535,Umukozi ni umugwaneza cyane.,Abakozi,positive
1538,Bye bye pizza best in New Jersey.,Bye Bye Pizza,positive
1541,"Ntabwo ari byiza gusa kandi byari byiza, ahubwo byari byiza cyane. ",Bye bye waiter,positive
1544,Resitora ifite serivisi nziza cyane.,Serivisi,positive
1547,Bye,Bye bye cheeses,positive
1550,Bye,Bye bye French Fries,positive
1553,Bye,Bye bye burgers,positive
1556,"Ibyokurya ni byiza cyane, nkunda ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibiribwa bya shrimp.",Bye bye Chicken,positive
1560,"Ibyokurya ni byiza cyane, nkunda ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibiribwa bya shrimp.",Arya Arya,positive
1564,"Ibyokurya ni byiza cyane, nkunda ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibiribwa bya shrimp.",Bye bye cold sesame noodles,positive
1568,"Ibyokurya ni byiza cyane, nkunda ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibiribwa bya shrimp.",Bye bye dumplings,positive
1572,"Ibyokurya ni byiza cyane, nkunda ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibiribwa bya shrimp.",Shrimp Disha,positive
1576,"Abashinwa beza kurusha abandi mu burasirazuba bwo hejuru, gutanga vuba, agaciro gakomeye.",Agaciro,positive
1580,"Abashinwa beza kurusha abandi mu burasirazuba bwo hejuru, gutanga vuba, agaciro gakomeye.",Gutanga,positive
1584,"Ntabwo nigeze mbona umukinnyi w'umupira w'amaguru, niyo mpamvu namuhaye igitego.",Bye bye orange donut,neutral
1586,Natangajwe cyane n'ibyo kurya.,Bye bye taste,positive
1589,Abanyeshuri bo mu karere ka Nyarugenge n'abaturage bo mu karere ka Nyarugenge bavuga ko nta kibazo bafite cyo kugira icyo bakora kugira ngo bashyireho uburyo bwihuse kandi bwiza ku giciro gito.,Bye bye Space,negative
1593,Abanyeshuri bo mu karere ka Nyarugenge n'abaturage bo mu karere ka Nyarugenge bavuga ko nta kibazo bafite cyo kugira icyo bakora kugira ngo bashyireho uburyo bwihuse kandi bwiza ku giciro gito.,Bye bye treats,positive
1597,Abanyeshuri bo mu karere ka Nyarugenge n'abaturage bo mu karere ka Nyarugenge bavuga ko nta kibazo bafite cyo kugira icyo bakora kugira ngo bashyireho uburyo bwihuse kandi bwiza ku giciro gito.,Ibiciro,positive
1601,Ariko abaturage bazi ko ibyo kurya ari inyenyeri nyakuri hano.,Bye Bye Sandwich,positive
1604,"Niba ushaka kurya isupu na sandwich, gerageza isupu ishyushye kandi ishyushye.",Bye bye hot and sour soup,positive
1608,"Niba ushaka kurya isupu na sandwich, gerageza isupu ishyushye kandi ishyushye.",Isupu n'ifunguro rya Sandwich,positive
1612,Bafite pizza y'ingano yakozwe hamwe n'ibikoresho bishya kandi bya yummy.,Bye bye pizza,positive
1614,Bafite pizza y'ingano yakozwe hamwe n'ibikoresho bishya kandi bya yummy.,Ingredients image,positive
1617,"Ibyo kurya byo mu bwoko bwa pizza ni ubushyuhe bwinshi, ariko byuzuyemo ubushyuhe.",Bye Bye Flavor,positive
1621,"Ibyo kurya byo mu bwoko bwa pizza ni ubushyuhe bwinshi, ariko byuzuyemo ubushyuhe.",Bye bye pizza,positive
1625,"Niba ushaka ibyokurya bikomeye byo mu Buhinde kandi ushaka kurya neza, ibi ni amahitamo meza kandi meza.",Ambiance Ambiance,positive
1629,"Niba ushaka ibyokurya bikomeye byo mu Buhinde kandi ushaka kurya neza, ibi ni amahitamo meza kandi meza.",Hindu Arya,positive
1633,"Ntabwo ari serivisi nziza gusa, ahubwo gukora ibiganiro ku meza biroroshye cyane kuko ikirere gishobora kuba urukundo kandi cyiza.",Serivisi,positive
1637,"Ntabwo ari serivisi nziza gusa, ahubwo gukora ibiganiro ku meza biroroshye cyane kuko ikirere gishobora kuba urukundo kandi cyiza.",Bye bye atmosphere,positive
1641,Hari umucyo n'umuziki.,Muzika,neutral
1643,Hari umucyo n'umuziki.,Bye bye candlelight,neutral
1645,Nanjye nshimishwa n'ibyo kurya.,Arya Arya,positive
1648,Icyumba cyo hasi ni cyiza cyane kandi gifite ubushyuhe bwinshi...,Bye Bye Down Bar Scene,positive
1651,"Nta gushidikanya ko ibyo kurya byari byiza, ariko iyo byose byavuzwe kandi byakozwe, sinashoboraga gusobanura impamvu y'igiciro cy'igiciro (harimo ibinyobwa 2, $100/person)",Ibiciro,negative
1653,"Nta gushidikanya ko ibyo kurya byari byiza, ariko iyo byose byavuzwe kandi byakozwe, sinashoboraga gusobanura impamvu y'igiciro cy'igiciro (harimo ibinyobwa 2, $100/person)",byara to,neutral
1655,"Nta gushidikanya ko ibyo kurya byari byiza, ariko iyo byose byavuzwe kandi byakozwe, sinashoboraga gusobanura impamvu y'igiciro cy'igiciro (harimo ibinyobwa 2, $100/person)",Arya Arya,positive
1658,Bye bye Chinese Food Uptown!,Ibyo kurya byo mu Bushinwa,positive
1661,"Ibicuruzwa byihuse, ibyokurya byiza, ibiciro byiza, na serivisi nziza bihuriye hamwe kugira ngo bishimire.",Arya Arya,positive
1665,"Ibicuruzwa byihuse, ibyokurya byiza, ibiciro byiza, na serivisi nziza bihuriye hamwe kugira ngo bishimire.",Ibiciro,positive
1669,"Ibicuruzwa byihuse, ibyokurya byiza, ibiciro byiza, na serivisi nziza bihuriye hamwe kugira ngo bishimire.",Serivisi,positive
1673,"Ibicuruzwa byihuse, ibyokurya byiza, ibiciro byiza, na serivisi nziza bihuriye hamwe kugira ngo bishimire.",Bye bye delivers,positive
1677,"Ibicuruzwa byihuse, ibyokurya byiza, ibiciro byiza, na serivisi nziza bihuriye hamwe kugira ngo bishimire.",Bye bye repast,positive
1681,Imbuto z'imbuto,Bye bye cold sesame noodles,positive
1684,Salade ya avocado ni igice cy'umuntu ku giti cye.,Bye Bye Avocado Salad,positive
1687,Bye bye baby BBQ RIB tips is yummy!,Bye Bye Baby BBQ Rib Tips,positive
1690,Twategetse umwana w'intama wari ufite ubushobozi bwo guteka neza kandi wari ufite ubwiza.,Lamba,positive
1693,"Ibintu byose kuva ku amagi kugeza ku biribwa, ndetse na hamburger byakozwe neza kandi byiza.",bye bye mussels,positive
1696,"Ibintu byose kuva ku amagi kugeza ku biribwa, ndetse na hamburger byakozwe neza kandi byiza.",Bye bye Benedict,positive
1699,"Ibintu byose kuva ku amagi kugeza ku biribwa, ndetse na hamburger byakozwe neza kandi byiza.",Bye bye hamburger,positive
1702,"Birumvikana ko atari sushi nziza kurusha izindi muri New York, buri gihe ni nshya, kandi ahantu hasukuye cyane, hatuje.",Aho hantu,positive
1705,"Ndizera ko abaturage bo mu gihugu cya Kigali, nta na rimwe bafite icyizere.",Abantu,positive
1708,"Nta kintu na kimwe gitangaje, nta kintu na kimwe gitangaje, nta kibazo rwose, nta kibazo rwose, nta kibazo rwose,",Japya Arya,positive
1711,"Njyewe-""Nta kibazo rwose, nta",Suzaku Kururugi,positive
1714,Ni ibintu byiza ariko ntibitangaje.,Bye bye variety,positive
1717,Harumi Sushi afite ubwoko bushya kandi bwiza bwa sushi muri NYC.,Sishya Sushi,positive
1720,"Ndagira inama yo kubikora atari ibyokurya byiza gusa, ahubwo no ku banyamuryango bayo n'abakozi bayo.",Bye bye cuisine,positive
1724,"Ndagira inama yo kubikora atari ibyokurya byiza gusa, ahubwo no ku banyamuryango bayo n'abakozi bayo.",Abakozi,positive
1728,"Ndagira inama yo kubikora atari ibyokurya byiza gusa, ahubwo no ku banyamuryango bayo n'abakozi bayo.",Ba nyir'ubwite,positive
1732,Undi mugenzi we yagombaga gusaba inshuro eshatu kugira ngo agere kuri parmesan cheese.,Parmesan cheese,neutral
1734,"Mu by'ukuri, serivisi ni nziza kandi ni nziza.",Agaciro,positive
1738,"Mu by'ukuri, serivisi ni nziza kandi ni nziza.",Serivisi,positive
1742,"Nari mfite inzara, kandi ibice bito byari byarambabaje cyane!",Bye bye Portions,negative
1745,Ku wa mbere w'icyumweru gishize nibwo yari agiye gufata ifunguro rya saa sita - yari akora muri filime muri ako gace - maze abona iki gitaramo kidasanzwe.,Ifunguro rya saa sita,neutral
1747,"Ibi kandi ntabwo ari ibyokurya bito kandi byihuse - ibi ni ibintu by'ukuri, byuzuye.",Bye bye burgers,positive
1751,"Ibi kandi ntabwo ari ibyokurya bito kandi byihuse - ibi ni ibintu by'ukuri, byuzuye.",Bye bye Patties,positive
1755,"Ku giciro cyo kwishyura ibyokurya hano, ushobora gutekereza ko nibura bihuriye n'izindi resitora zo mu Buyapani.",Arya Arya,negative
1757,"Ku giciro cyo kwishyura ibyokurya hano, ushobora gutekereza ko nibura bihuriye n'izindi resitora zo mu Buyapani.",Ibiciro,negative
1759,Igice cy'ibiribwa cyari gito kandi kiri munsi y'ibisanzwe.,Bye Bye Food Portion,negative
1762,Umuyobozi w'Akarere ka Nyamasheke yaje gufata ifunguro rya saa sita ubwo twari duriye ifunguro rya saa sita!!!!,Ifunguro rya saa sita,neutral
1764,Umuyobozi w'Akarere ka Nyamasheke yaje gufata ifunguro rya saa sita ubwo twari duriye ifunguro rya saa sita!!!!,Soy Sauce Bye Bye,neutral
1766,Umuyobozi w'Akarere ka Nyamasheke yaje gufata ifunguro rya saa sita ubwo twari duriye ifunguro rya saa sita!!!!,Bye bye Waitress,negative
1768,Ahantu heza ho guhagarara ku manywa nyuma yo kugura cyangwa gufata isupu yoroshye cyangwa ifunguro ry'Igifaransa ku gikombe cya divayi.,Bye bye soup,neutral
1772,Ahantu heza ho guhagarara ku manywa nyuma yo kugura cyangwa gufata isupu yoroshye cyangwa ifunguro ry'Igifaransa ku gikombe cya divayi.,Aho hantu,positive
1776,Ahantu heza ho guhagarara ku manywa nyuma yo kugura cyangwa gufata isupu yoroshye cyangwa ifunguro ry'Igifaransa ku gikombe cya divayi.,Icupa rya divayi,neutral
1778,Ahantu heza ho guhagarara ku manywa nyuma yo kugura cyangwa gufata isupu yoroshye cyangwa ifunguro ry'Igifaransa ku gikombe cya divayi.,Disha França,neutral
1782,Ibyo kurya ni byiza cyane kandi ibiciro ni byiza.,Ibiciro,positive
1786,Ibyo kurya ni byiza cyane kandi ibiciro ni byiza.,Arya Arya,positive
1790,"Aho ni heza, kandi niba ukunda ibyokurya by'ubugingo, aha ni ho hantu ho kuba.",Ibyo kurya by'ubugingo,positive
1794,"Aho ni heza, kandi niba ukunda ibyokurya by'ubugingo, aha ni ho hantu ho kuba.",Aho hantu,positive
1798,Abakozi bafite umutima mwiza cyane ndetse basimbuza inzoga yanjye rimwe ubwo nanywaga hanze.,Abakozi,positive
1801,Abakozi bafite umutima mwiza cyane ndetse basimbuza inzoga yanjye rimwe ubwo nanywaga hanze.,byara to,neutral
1803,Zifite umwihariko mu mavuta meza n'amavuta mashya.,Bye bye smoothies,positive
1805,Zifite umwihariko mu mavuta meza n'amavuta mashya.,Bye bye fresh juices,positive
1807,"N'ubwo ibyokurya byo mu bwoko bw'amabuye y'agaciro ari byinshi cyane, ibyokurya bishya ni byo byiza kurusha ibindi byose nari mfite!",Bye bye smoothies,negative
1811,"N'ubwo ibyokurya byo mu bwoko bw'amabuye y'agaciro ari byinshi cyane, ibyokurya bishya ni byo byiza kurusha ibindi byose nari mfite!",Bye bye fresh juices,positive
1815,Bafite kandi inkoko nziza ifite avocado na tuna nziza.,Bye bye avocado,positive
1819,Bafite kandi inkoko nziza ifite avocado na tuna nziza.,Bye Bye Tuna,positive
1823,"Ibyinshi mu binyobwa byo mu bwoko bwa Soya bikorwa na Mayonaise, mu by'ukuri ni byiza cyane.",Bye Bye Sandwich,positive
1826,"Ibyinshi mu binyobwa byo mu bwoko bwa Soya bikorwa na Mayonaise, mu by'ukuri ni byiza cyane.",Bye bye Mayonaise,positive
1828,"Ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntiziva kuri iyi si!",Homemade Sorbets,positive
1832,"Ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntiziva kuri iyi si!",Bye bye soup,positive
1836,"Ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntiziva kuri iyi si!",Bye Bye Sandwich,positive
1840,"Ntabwo byari bitangaje gusa, sandwich, isupu, pizza n'ibindi, ahubwo sorbets zabo zakozwe mu rugo ntiziva kuri iyi si!",Bye Bye Pizza,positive
1844,Gerageza icyayi cya Peanut Butter Sorbet na pizza hamwe na cheese ya soy!,Bye bye pizza with soy cheese,positive
