,st,aspect,polarities
1132,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba thabile haholo; Lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto.,Boholo bo boholo,positive
1136,Tšebeletso e ne e le ka hloko haholo ebile e fana ka seatla se bulehileng haholo.,Tšebeletso ea tšebeletso,positive
1139,"Re ne re e-na le lithane tsa lijo tse monate, veine le li-dessert.",Veine ea veine,positive
1142,"Re ne re e-na le lithane tsa lijo tse monate, veine le li-dessert.",Li-dessert,positive
1145,"Re ne re e-na le lithane tsa lijo tse monate, veine le li-dessert.",Lijo tsa lijo,positive
1148,Ho na le boiphihlelo bo botle ba ho ja ka har'a buzzing midtown.,Phihlelo ea lijo,positive
1151,"Tšebeletso e lula e le ntle, 'me mong'a ntlo o tsamaea ho etsa bonnete ba hore u thabela.",Beng Beng,positive
1153,"Tšebeletso e lula e le ntle, 'me mong'a ntlo o tsamaea ho etsa bonnete ba hore u thabela.",Tšebeletso ea tšebeletso,positive
1156,Re ile ra lula haufi haholo le mokatong oa ho tantša.,Mokatong oa Dance,neutral
1158,"'Mino o ne o le monate, empa o ile a siea sebaka sa moqoqo, mme bartender o ile a etsa lino tse monate.",Lino Lino,positive
1162,"'Mino o ne o le monate, empa o ile a siea sebaka sa moqoqo, mme bartender o ile a etsa lino tse monate.",Baehara Baas,positive
1166,"'Mino o ne o le monate, empa o ile a siea sebaka sa moqoqo, mme bartender o ile a etsa lino tse monate.",'Mino oa' mino,positive
1170,"Ha e le hantle, lijo ha li ntle haholo, 'me ts'ebeletso e ntle haholo.",Tšebeletso ea tšebeletso,negative
1174,"Ha e le hantle, lijo ha li ntle haholo, 'me ts'ebeletso e ntle haholo.",Lijo tsa lijo,negative
1178,"Ke thabile hore ke entse joalo ka ha lijo li ne li le ntle haholo 'me basebetsi ba ne ba le botsoalle, ba bonolo ebile ba sebetsa hantle.",Basebetsi ba Basebetsi,positive
1182,"Ke thabile hore ke entse joalo ka ha lijo li ne li le ntle haholo 'me basebetsi ba ne ba le botsoalle, ba bonolo ebile ba sebetsa hantle.",Lijo tsa lijo,positive
1186,Ha ho mohla nkileng ka ba le lijo tse mpe (kapa tšebeletso e mpe)@ PIGALLE.,TŠEBELETSO,positive
1188,Ha ho mohla nkileng ka ba le lijo tse mpe (kapa tšebeletso e mpe)@ PIGALLE.,LIJO TSA LIJO,positive
1190,Sena se ile sa hlakisa hore lijo ha lia ka tsa pheha li le ncha; Ho hlakile hore e ne e entsoe pele ho letsoho ebe e tsosolosoa.,Lijo tsa lijo,negative
1193,"Nakong ea li-hrs tse maphathaphathe, ke khothaletsa hore o etse pehelo.",Ho ho ho reservation,neutral
1196,ʻO ka hoʻohaʻo Yummy!,Ho Mac Cheese,positive
1199,Li-brunches tsa hau li na le ntho e 'ngoe le e' ngoe bakeng sa motho e mong le e mong.,Brunch menu ea,positive
1201,Sebini sa jazz se ne se na le lentsoe le monate + se ile sa etsa hore bohle re nyise ho tantša ho sisinya manamane a mang ho ja tse ling.,Jazz Song Ho Ho,positive
1204,Haeba u batla lijo tse theko e boima haholo ka dash ea ghetto scenery theko e tlaase bX A $ $ ena ke sebaka seo u lokelang ho ba sona !!,Scene ea,negative
1206,Haeba u batla lijo tse theko e boima haholo ka dash ea ghetto scenery theko e tlaase bX A $ $ ena ke sebaka seo u lokelang ho ba sona !!,Lijo tsa lijo,negative
1210,Haeba u batla lijo tse theko e boima haholo ka dash ea ghetto scenery theko e tlaase bX A $ $ ena ke sebaka seo u lokelang ho ba sona !!,Theko ea theko,negative
1214,Ts'ebeletso ena e mosa haholo.,Tšebeletso ea tšebeletso,positive
1217,Re ile ra tšela reschorenteng ena ka kotsi ha re ntse re le moketeng oa bonono oa DUMBO mme re ne re natefeloa haholo ke lijo tsa rona.,Lijo tsa lijo,positive
1220,Lijo li ne li le monate - lijo tsa Mataliana li ne li le ncha haholo.,Lijo tsa Italy,positive
1224,Lijo li ne li le monate - lijo tsa Mataliana li ne li le ncha haholo.,Lijo tsa lijo,positive
1228,Tšebeletso e ne e le ntle haholo.,Tšebeletso ea tšebeletso,positive
1231,Ha ke tsebe hore na ho na le batho ba bangata ba buang ka ntja ena e chesang.,Ntja e chesang,negative
1233,Ntle ho pelaelo ke e 'ngoe ea li-hotdogs tse mpe ka ho fetesisa tseo nkileng ka ba le tsona.,Li-hotdogs tse,negative
1236,"Ntle le lintja tse kholo tse chesang, DOTP e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa Senyesemane, sehlahisoa se monate sa NAMA EA NJ se tseba ho rona banana ba Jersey le bashanyana joalo ka Taylor ham.",Li-muffin tsa Senyesemane,positive
1240,"Ntle le lintja tse kholo tse chesang, DOTP e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa Senyesemane, sehlahisoa se monate sa NAMA EA NJ se tseba ho rona banana ba Jersey le bashanyana joalo ka Taylor ham.",Armstrong Ham,positive
1242,"Ntle le lintja tse kholo tse chesang, DOTP e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa Senyesemane, sehlahisoa se monate sa NAMA EA NJ se tseba ho rona banana ba Jersey le bashanyana joalo ka Taylor ham.",Sehlahisoa sa pork,positive
1246,"Ntle le lintja tse kholo tse chesang, DOTP e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa Senyesemane, sehlahisoa se monate sa NAMA EA NJ se tseba ho rona banana ba Jersey le bashanyana joalo ka Taylor ham.",Toe Toe Tots,positive
1250,"Ntle le lintja tse kholo tse chesang, DOTP e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa Senyesemane, sehlahisoa se monate sa NAMA EA NJ se tseba ho rona banana ba Jersey le bashanyana joalo ka Taylor ham.",Lintja tse chesang,positive
1254,"Ntle le lintja tse kholo tse chesang, DOTP e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa Senyesemane, sehlahisoa se monate sa NAMA EA NJ se tseba ho rona banana ba Jersey le bashanyana joalo ka Taylor ham.",Li-sandwich tsa lijo tsa hoseng,positive
1258,"Litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le ho kena ha konyana le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo.",Lijo tse halikiloeng,negative
1260,"Litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le ho kena ha konyana le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo.",Li-salads (avocado shrimp),positive
1262,"Litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le ho kena ha konyana le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo.",Li-cookie,positive
1265,"Litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le ho kena ha konyana le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo.",Keng Keng Entring,positive
1268,ʻO ka hoʻoheheʻe ʻana i ka hoʻoheheʻe ʻana i ka hoʻoheheʻe ʻana i ka ho,Li-vintage tsa vintage,negative
1270,ʻO ka hoʻoheheʻe ʻana i ka hoʻoheheʻe ʻana i ka hoʻoheheʻe ʻana i ka ho,Wine Lethathamo,negative
1273,"Empa bakeng sa boleng, e ne e le sebaka se setle sa ho natefeloa ke bosiu bo monate kantle le sehlopha se senyenyane.",Bohlokoa,positive
1275,"Re ne re e-na le thuso ebile e le monate, lijo li ne li phethahetse, 'me veine e ne e le ntle.",Veine ea veine,positive
1279,"Re ne re e-na le thuso ebile e le monate, lijo li ne li phethahetse, 'me veine e ne e le ntle.",Leta Leta,positive
1283,"Re ne re e-na le thuso ebile e le monate, lijo li ne li phethahetse, 'me veine e ne e le ntle.",Lijo tsa lijo,positive
1287,Lijo li ne li le ntle haholo' me tšebeletso e ne e le holimo.,Tšebeletso ea tšebeletso,positive
1291,Lijo li ne li le ntle haholo' me tšebeletso e ne e le holimo.,Lijo tsa lijo,positive
1295,"Khomarela lintho sebakeng seo u se etsang hantle, brisket, likhopo, mapheo, shrimp ea cajun e ntle, ha e kholo.",Cajun Shrimp Ho,neutral
1298,"Khomarela lintho sebakeng seo u se etsang hantle, brisket, likhopo, mapheo, shrimp ea cajun e ntle, ha e kholo.",brisket ea,positive
1301,"Khomarela lintho sebakeng seo u se etsang hantle, brisket, likhopo, mapheo, shrimp ea cajun e ntle, ha e kholo.",Ribs ea,positive
1304,"Khomarela lintho sebakeng seo u se etsang hantle, brisket, likhopo, mapheo, shrimp ea cajun e ntle, ha e kholo.",Mapheo a mapheo,positive
1307,"Ho khetha biri e kholo hape, ntho e kang biri e 50.",Betsi Betsi,neutral
1309,"Ho khetha biri e kholo hape, ntho e kang biri e 50.",Khetho ea biri,positive
1312,"Btw, tšebeletso e ntle haholo.",Tšebeletso ea tšebeletso,positive
1315,"Kahoo re ile ra lula bareng, bartender o ne a sa bonahale eka o batla ho ba teng.",Bang Bang Bar,neutral
1317,"Kahoo re ile ra lula bareng, bartender o ne a sa bonahale eka o batla ho ba teng.",Baehara Baas,negative
1319,Re ne re sa tsebe hore na re lokela ho noa kapa ho tsamaea?,Lino Lino,neutral
1321,Re ile ra ipotsa hore na ke hobane'ng ha re ile ra etsa hore phihlelo ea rona ea ho jela e tsoe?,Phihlelo ea lijo,negative
1324,Etsoe mong'a hae e ne e le fake.,Beng Beng,negative
1327,Lijo tsa Machaena ke ntho e 'ngoe eo nka e etsang hore e be betere lapeng.,Lijo tsa China,negative
1329,Ho ne ho e-na le e 'ngoe feela ea ho leta ho pholletsa le hotele e ka holimo.,Leta Leta,neutral
1331,Ke ne ke nahana hore lijo ha li theko e tlase ho hang ha li bapisoa le Chinatown.,Lijo tsa lijo,negative
1334,Ha ho pelaelo hore China e na le boleng bo betere ka litheko tse theko e tlaase.,Litheko tsa litheko,positive
1338,Ha ho pelaelo hore China e na le boleng bo betere ka litheko tse theko e tlaase.,Boleng ba boleng,positive
1342,"Nka utloisisa litheko haeba li ne li sebeletsa lijo tse betere, joalo ka lireschorente tse ling tsa China sebakeng sa midtown / uptown.",Litheko tsa litheko,negative
1344,"Nka utloisisa litheko haeba li ne li sebeletsa lijo tse betere, joalo ka lireschorente tse ling tsa China sebakeng sa midtown / uptown.",Lijo tsa lijo,negative
1346,E jeoa ka asene e ntšo ebe e senya ginger.,Asene e ntšo,neutral
1348,E jeoa ka asene e ntšo ebe e senya ginger.,Ho ho ho ginger,neutral
1350,ʻO ka hoʻokuʻo ʻana i ka hoʻohaʻana?,Ho ho ho milk ball ball,positive
1353,"Ke fumane lijo li le ntle feela joaloka mong'a eona, Da Silvano, e theko e tlase haholo.",Beng Beng,positive
1356,"Ke fumane lijo li le ntle feela joaloka mong'a eona, Da Silvano, e theko e tlase haholo.",Lijo tsa lijo,positive
1359,"Ho phaella moo, ho phomola ho boetse hoa phutholoha le ho feta.",Ambiyeng,positive
1362,Ka bobeli ba li-appetizer le pasta li ne li hlolla.,Li-pasta tse khethehileng,positive
1365,Ka bobeli ba li-appetizer le pasta li ne li hlolla.,Appetizer ea,positive
1368,Ka sebele leka taglierini ka li-truffles - e ne e le ntho e makatsang.,Li-tag tse nang le li-truffles,positive
1371,"Hape, basebetsi ba tlhokomelo e ntle haholo ebile ba na le botho.",Basebetsi ba Basebetsi,positive
1374,"Risotto ea ka e ne e chesoa, 'me e kenngoa ka tatso e chesoang ka ho feletseng.",Risotto ea meroho,negative
1378,"Risotto ea ka e ne e chesoa, 'me e kenngoa ka tatso e chesoang ka ho feletseng.",Flavor ea,negative
1382,"Ba na le ts'ebeletso e potlakileng haholo, e leng ntho e ntle haholo ha u se na nako e ngata.",Tšebeletso ea tšebeletso,positive
1385,"Lijo ke karolelano: lijo tsa hoseng, sopho, lisalate, li-sandwich, jj.",Lijo tsa lijo,neutral
1388,"Lijo ke karolelano: lijo tsa hoseng, sopho, lisalate, li-sandwich, jj.",Sopho ea sopo,neutral
1391,"Lijo ke karolelano: lijo tsa hoseng, sopho, lisalate, li-sandwich, jj.",salate ea,neutral
1394,"Lijo ke karolelano: lijo tsa hoseng, sopho, lisalate, li-sandwich, jj.",Sandwiches ea,neutral
1397,"Lijo ke karolelano: lijo tsa hoseng, sopho, lisalate, li-sandwich, jj.",Lijo tsa hoseng,neutral
1400,Ke lipuisano tse etsang hore sena e be sebaka se monate.,Sebaka,positive
1403,Lijo li ne li le monate empa li ne li le monate.,Lijo tsa lijo,positive
1406,Tšebeletso e ne e le e tšabehang - haholo hobane basebetsi ba ne ba imetsoe ka Moqebelo bosiu.,Ts'ebeletso,negative
1410,Tšebeletso e ne e le e tšabehang - haholo hobane basebetsi ba ne ba imetsoe ka Moqebelo bosiu.,Basebetsi ba Basebetsi,negative
1414,Re bile le mokete oa letsatsi la tsoalo mona haufinyane mme lijo le ts'ebeletso li ne li hlolla.,Tšebeletso ea tšebeletso,positive
1417,Re bile le mokete oa letsatsi la tsoalo mona haufinyane mme lijo le ts'ebeletso li ne li hlolla.,Lijo tsa lijo,positive
1420,"Ha se feela sushi e ncha, ba ile ba sebeletsa li-entrees tse ling li ile tsa lumella moeti ntho e 'ngoe le e' ngoe eo re ka e khethang mme kaofela ha rona re siile re thabile (leka letata!",Duck Ho,positive
1424,"Ha se feela sushi e ncha, ba ile ba sebeletsa li-entrees tse ling li ile tsa lumella moeti ntho e 'ngoe le e' ngoe eo re ka e khethang mme kaofela ha rona re siile re thabile (leka letata!",kena kena,neutral
1426,"Ha se feela sushi e ncha, ba ile ba sebeletsa li-entrees tse ling li ile tsa lumella moeti ntho e 'ngoe le e' ngoe eo re ka e khethang mme kaofela ha rona re siile re thabile (leka letata!",Sushi Ho,positive
1430,"Tšebeletso e ne e lieha hanyane mme likarolo li nyane kahoo haeba u lapile 'me ka potlako, sena ha se sebaka seo u lokelang ho se etsa.",Likarolo tsa likarolo,negative
1434,"Tšebeletso e ne e lieha hanyane mme likarolo li nyane kahoo haeba u lapile 'me ka potlako, sena ha se sebaka seo u lokelang ho se etsa.",Tšebeletso ea tšebeletso,negative
1438,"Lijo tse monate, lino tse monate, sebaka se setle sa ho jella.",Lino Lino,positive
1442,"Lijo tse monate, lino tse monate, sebaka se setle sa ho jella.",Sebaka sa ho jella,positive
1446,"Lijo tse monate, lino tse monate, sebaka se setle sa ho jella.",Lijo tsa lijo,positive
1450,"Empa lijo tsa mantsiboea mona ha ho mohla li nyahamisang, leha litheko li le holimo.",Litheko tsa litheko,negative
1454,"Empa lijo tsa mantsiboea mona ha ho mohla li nyahamisang, leha litheko li le holimo.",Lijo tsa mantsiboea,positive
1458,Ho nyahamisang ke hore li-buttons tsa bona tse ntlehali li tlositsoe ho menu ea bar.,Ho saketini ho,positive
1462,Ho nyahamisang ke hore li-buttons tsa bona tse ntlehali li tlositsoe ho menu ea bar.,Ho Bar Menu,negative
1466,"Lijo li ne li le monate, tumellano ho tloha qalong ho fihlela qetellong.",Lijo tsa lijo,positive
1469,"Lijo tse ntle ka theko e nepahetseng, ke eng hape eo u ka e kopang?",Theko ea theko,positive
1473,"Lijo tse ntle ka theko e nepahetseng, ke eng hape eo u ka e kopang?",Lijo tsa lijo,positive
1477,Lintho tse ntle ka ho fetisisa tseo u ka li laetseng ke ho tloha grill (Churrasco le Ribs).,Churrasco Eatsa,positive
1479,Lintho tse ntle ka ho fetisisa tseo u ka li laetseng ke ho tloha grill (Churrasco le Ribs).,Grill ea Grill,positive
1481,Lintho tse ntle ka ho fetisisa tseo u ka li laetseng ke ho tloha grill (Churrasco le Ribs).,Ribs ea,positive
1483,Lijo ke boleng bo botle bakeng sa theko e ntle ea lireschorente.,Lijo tsa lijo,positive
1487,Lijo ke boleng bo botle bakeng sa theko e ntle ea lireschorente.,Theko ea theko,positive
1491,"Li-appetizer li lokile, empa ts'ebeletso e lieha.",Tšebeletso ea tšebeletso,negative
1495,"Li-appetizer li lokile, empa ts'ebeletso e lieha.",Li-appetizers,neutral
1499,Ho molemo ho ea moo bakeng sa lino tse tahang haeba u sa batle ho tahoa hobane u tla ba lehlohonolo haeba u ka fumana seno se le seng ka hora ts'ebeletso e mpe joalo.,Lino Lino,neutral
1501,Ho molemo ho ea moo bakeng sa lino tse tahang haeba u sa batle ho tahoa hobane u tla ba lehlohonolo haeba u ka fumana seno se le seng ka hora ts'ebeletso e mpe joalo.,Tšebeletso ea tšebeletso,negative
1505,Ho molemo ho ea moo bakeng sa lino tse tahang haeba u sa batle ho tahoa hobane u tla ba lehlohonolo haeba u ka fumana seno se le seng ka hora ts'ebeletso e mpe joalo.,Lino Lino,neutral
1509,Kena feela 'me u hlahlobe lijo tse ntle ka ho fetisisa tsa Mafora ka bophirimela ho Daniele.,Lijo tsa Sefora,positive
1512,Ha e le hantle ke sebaka se chesang haholo ha ho tluoa tabeng ea lijo.,Lijo tsa lijo,positive
1515,Satay ke e 'ngoe ea li-haunts tsa Washington moo ts'ebeletso le lijo li lulang li le teng ka chelete.,Tšebeletso ea tšebeletso,positive
1517,Satay ke e 'ngoe ea li-haunts tsa Washington moo ts'ebeletso le lijo li lulang li le teng ka chelete.,Lijo tsa lijo,positive
1519,"Leka li-meats, li-cookie tse halikiloeng ebe u li kopanya le raese ea coconut.",Nama ea khomo,positive
1522,"Leka li-meats, li-cookie tse halikiloeng ebe u li kopanya le raese ea coconut.",Ribs ea,positive
1525,"Leka li-meats, li-cookie tse halikiloeng ebe u li kopanya le raese ea coconut.",Raese ea coconut,positive
1527,Hlokomela lintho tsa chili tse saenneng lijo ntle le haeba u batla ho letsetsa lefapha la mollo ho sebelisa malakabe molomong oa hau.,Ho Food Items,negative
1529,"Lijo li lokile, 'me ha ho na thuso ho ea ntle le haeba u fumana pialla, e leng eona feela sejana se hantle.",Liisa Liisa,positive
1532,"Lijo li lokile, 'me ha ho na thuso ho ea ntle le haeba u fumana pialla, e leng eona feela sejana se hantle.",Pialla Tolla,positive
1535,Basebetsi ba mosa haholo.,Basebetsi ba Basebetsi,positive
1538,Ba etsa pizza e ntle ka ho fetisisa New Jersey.,Pizza Ho,positive
1541,"Hase feela hore e ne e le motho ea sebetsang hantle, empa hape o ne a le motle haholo. ",Leta Leta,positive
1544,Reschorente e nang le ts'ebeletso e potlakileng haholo.,Tšebeletso ea tšebeletso,positive
1547,"Li-burger tse kholo, chisi e halikiloeng le fries ea Fora.",Cheese e halikiloeng,positive
1550,"Li-burger tse kholo, chisi e halikiloeng le fries ea Fora.",Fries ea Sefora,positive
1553,"Li-burger tse kholo, chisi e halikiloeng le fries ea Fora.",Baang Baang,positive
1556,"Lijo li ntle haholo, ke rata li-dumplings tsa tsona, li-noodle tsa sesame tse batang, khoho le li-shrimp dish.",Khoho ea khoho,positive
1560,"Lijo li ntle haholo, ke rata li-dumplings tsa tsona, li-noodle tsa sesame tse batang, khoho le li-shrimp dish.",Lijo tsa lijo,positive
1564,"Lijo li ntle haholo, ke rata li-dumplings tsa tsona, li-noodle tsa sesame tse batang, khoho le li-shrimp dish.",Ho Cold Sesame Noodles,positive
1568,"Lijo li ntle haholo, ke rata li-dumplings tsa tsona, li-noodle tsa sesame tse batang, khoho le li-shrimp dish.",Li-dumplings,positive
1572,"Lijo li ntle haholo, ke rata li-dumplings tsa tsona, li-noodle tsa sesame tse batang, khoho le li-shrimp dish.",Lijo tsa Shrimp,positive
1576,"Molemo ka ho fetisisa Chinese ka Upper East, pelehi ka potlako, boleng bo botle.",Bohlokoa,positive
1580,"Molemo ka ho fetisisa Chinese ka Upper East, pelehi ka potlako, boleng bo botle.",Ho romella,positive
1584,Ke ne ke e-s'o ka ke e-ba le donut ea orange kahoo ke ile ka fana ka thunya.,Ho Orange Donut,neutral
1586,Ke ile ka makatsoa ke tatso ea ka.,Tatso ea,positive
1589,"Motsoako oa liithuti le baahi ba libaka ba bangata ka narrow ena, haholo-holo ho na le sebaka bakeng sa mekhoa ea eona e potlakileng, e monate ka litheko tse theko e tlase.",Sebaka sa Sepakapaka,negative
1593,"Motsoako oa liithuti le baahi ba libaka ba bangata ka narrow ena, haholo-holo ho na le sebaka bakeng sa mekhoa ea eona e potlakileng, e monate ka litheko tse theko e tlase.",Ho ho treats,positive
1597,"Motsoako oa liithuti le baahi ba libaka ba bangata ka narrow ena, haholo-holo ho na le sebaka bakeng sa mekhoa ea eona e potlakileng, e monate ka litheko tse theko e tlase.",Litheko tsa litheko,positive
1601,Empa batho ba tloaelehileng baa tseba hore li-sandwich ke naleli ea 'nete mona.,Sandwiches ea,positive
1604,"Bakeng sa tlou nka sopho le lijo tsa sandwich, leka sopho e chesang le e bolila.",Sopho e chesang le e bolila,positive
1608,"Bakeng sa tlou nka sopho le lijo tsa sandwich, leka sopho e chesang le e bolila.",Lijo tsa sopho le sandwich,positive
1612,Li na le pizza ea koro e entsoeng ka lisebelisoa tse ncha le tsa yummy.,Pizza e nang le li-crusted,positive
1614,Li na le pizza ea koro e entsoeng ka lisebelisoa tse ncha le tsa yummy.,Lisebelisoa tsa metsoako,positive
1617,"Li-pizza tsa tsona li na le monko o monate, empa li tletse tatso.",Flavor ea,positive
1621,"Li-pizza tsa tsona li na le monko o monate, empa li tletse tatso.",Ho ho ho pizza,positive
1625,"Haeba u lakatsa lijo tse tebileng tsa Maindia 'me u lakatsa ambiance e cozy, ena ke khetho e ntle le e phethehileng.",Moa moa,positive
1629,"Haeba u lakatsa lijo tse tebileng tsa Maindia 'me u lakatsa ambiance e cozy, ena ke khetho e ntle le e phethehileng.",Lijo tsa India,positive
1633,"Hase feela ts'ebeletso e ntle, empa ho theha moqoqo ho potoloha tafole ho bonolo haholo hobane sepakapaka se ka ba lerato ebile se phutholohile.",Tšebeletso ea tšebeletso,positive
1637,"Hase feela ts'ebeletso e ntle, empa ho theha moqoqo ho potoloha tafole ho bonolo haholo hobane sepakapaka se ka ba lerato ebile se phutholohile.",Sepakapaka sa sepakapaka,positive
1641,Ho na le leseli la mabone le 'mino.,'Mino oa' mino,neutral
1643,Ho na le leseli la mabone le 'mino.,Mabone a mabone,neutral
1645,"Ho feta moo, ke ne ke rata lijo tsa ka.",Lijo tsa lijo,positive
1648,The downstairs bar scene ke haholo pholileng le chill ...,Bang Bang Bar Scene,positive
1651,"Lijo li ne li le ntle, empa ha tsohle li boletsoe ebile li etsoa, ke ne ke sa khone ho e lokafatsa ka theko (ho kenyeletsoa lino tse 2, $ 100 / motho)...",Theko ea theko,negative
1653,"Lijo li ne li le ntle, empa ha tsohle li boletsoe ebile li etsoa, ke ne ke sa khone ho e lokafatsa ka theko (ho kenyeletsoa lino tse 2, $ 100 / motho)...",Lino Lino,neutral
1655,"Lijo li ne li le ntle, empa ha tsohle li boletsoe ebile li etsoa, ke ne ke sa khone ho e lokafatsa ka theko (ho kenyeletsoa lino tse 2, $ 100 / motho)...",Lijo tsa lijo,positive
1658,Molemo ka ho fetisisa Chinese Lijo Uptown!,Lijo tsa China,positive
1661,"Ho fana ka kapele, lijo tse ntle, litheko tse hlomphehang, le ts'ebeletso e mosa li kopana ho netefatsa repast e monate.",Lijo tsa lijo,positive
1665,"Ho fana ka kapele, lijo tse ntle, litheko tse hlomphehang, le ts'ebeletso e mosa li kopana ho netefatsa repast e monate.",Litheko tsa litheko,positive
1669,"Ho fana ka kapele, lijo tse ntle, litheko tse hlomphehang, le ts'ebeletso e mosa li kopana ho netefatsa repast e monate.",Tšebeletso ea tšebeletso,positive
1673,"Ho fana ka kapele, lijo tse ntle, litheko tse hlomphehang, le ts'ebeletso e mosa li kopana ho netefatsa repast e monate.",Ho fana ka,positive
1677,"Ho fana ka kapele, lijo tse ntle, litheko tse hlomphehang, le ts'ebeletso e mosa li kopana ho netefatsa repast e monate.",Refiloe Mohapi,positive
1681,"Li-noodle tsa sesame tse batang, e leng freebie ha o odara $ 10 +, li na le delectable.",Ho Cold Sesame Noodles,positive
1684,Salate ea avocado ke mofuta oa motho ka mong.,Salate ea Avocado,positive
1687,"Le, honey BBQ rib tips ke yummy!",Honey BBQ Rib Tips Ho,positive
1690,Re laetse konyana e neng e phehiloe hantle 'me e latsoa ka mokhoa o makatsang.,Konyana Konyana,positive
1693,Ntho e ngoe le e ngoe ho tloha mahe benedict ho ea ho li-mussels esita le hamburger e ne e etsoa hantle ebile e monate haholo.,Molisas,positive
1696,Ntho e ngoe le e ngoe ho tloha mahe benedict ho ea ho li-mussels esita le hamburger e ne e etsoa hantle ebile e monate haholo.,Leheny Tlhohonolofatso,positive
1699,Ntho e ngoe le e ngoe ho tloha mahe benedict ho ea ho li-mussels esita le hamburger e ne e etsoa hantle ebile e monate haholo.,Hamburger ea,positive
1702,"Ka sebele ha se sushi e ntle ka ho fetisisa New York, leha ho le joalo, e lula e le ncha, 'me sebaka se hloekile haholo, se nyolohileng.",Sebaka,positive
1705,"Ke ts'epa hore batho ba tsamaeang ka sushi, ha ho mohla e soabisitsoeng.",Batho ba,positive
1708,"Ha ho letho le makatsang, lijo tse monate tsa Majapane.",Lijo tsa Majapane,positive
1711,"U se ke ua etsa hore ke tsamaee hantle - Sushi e ne e le ntle, eseng feela e ntle.",Sushi Ho,positive
1714,"Mefuta e sa tšoaneng, empa ha ho letho le makatsang.",Mefuta e sa tšoaneng,positive
1717,Harumi Sushi e na le mefuta e mecha ka ho fetisisa le e monate ka ho fetisisa ea sushi ho NYC.,Ho Sushi,positive
1720,"Ke e khothaletsa haholo eseng feela lijo tsa eona tse ntle, empa le bakeng sa beng ba eona ba botsoalle le basebetsi.",Ho pheha,positive
1724,"Ke e khothaletsa haholo eseng feela lijo tsa eona tse ntle, empa le bakeng sa beng ba eona ba botsoalle le basebetsi.",Basebetsi ba Basebetsi,positive
1728,"Ke e khothaletsa haholo eseng feela lijo tsa eona tse ntle, empa le bakeng sa beng ba eona ba botsoalle le basebetsi.",Beng Beng,positive
1732,Motsoalle e mong o ile a tlameha ho botsa ka makhetlo a mararo bakeng sa cheese ea parmesan.,Cheese ea parmesan,neutral
1734,"Ts'ebeletso e potlakile ebile e mosa, 'me boleng bo botle haholo.",Bohlokoa,positive
1738,"Ts'ebeletso e potlakile ebile e mosa, 'me boleng bo botle haholo.",Tšebeletso ea tšebeletso,positive
1742,"Ke ne ke lapile, 'me likarolo tse nyane li ile tsa ntsamaisa bohlanya!",Likarolo tsa likarolo,negative
1745,E ne e le mantaha oa hae bakeng sa lijo tsa mots'eare - o ne a sebetsa filimi sebakeng seo - mme a fumana mabenyane ana a sa tloaelehang.,Lijo tsa motšehare,neutral
1747,"Mme tsena ha li nyane, li-burger tsa mofuta oa lijo tse potlakileng - tsena ke li-patties tsa 'nete, tse tletseng.",Baang Baang,positive
1751,"Mme tsena ha li nyane, li-burger tsa mofuta oa lijo tse potlakileng - tsena ke li-patties tsa 'nete, tse tletseng.",Li-patts tsa,positive
1755,"Bakeng sa theko eo u e lefang bakeng sa lijo mona, u ka lebella hore bonyane e lumellane le lireschorente tse ling tsa Majapane.",Lijo tsa lijo,negative
1757,"Bakeng sa theko eo u e lefang bakeng sa lijo mona, u ka lebella hore bonyane e lumellane le lireschorente tse ling tsa Majapane.",Theko ea theko,negative
1759,Karolo ea lijo e ne e le nyane ebile e le tlase.,Karolo ea Lijo,negative
