,tn,aspect,polarities
1217,"Re ne ra kopana le tiragalo e, fa re ne re le kwa moletlong wa botaki wa se-dumbo mme re ne ra itumelela dijo tsa rona ka botlalo.",Dijo tsa rona,positive
1220,Sejo seno se ne se le monate thata - dijo tsa setaliana di ne di le phepa.,Mme Italian Cuisine,positive
1224,Sejo seno se ne se le monate thata - dijo tsa setaliana di ne di le phepa.,Dijo tsa rona,positive
1228,Tirelo e ne e sa lwelwe.,Tirelo Tirelo,positive
1231,Ga ke itse gore batho bangwe ba ba neng ba bua ka kgang eno e e mogote e e rileng.,dog bone hot bone,negative
1233,Ke nngwe ya ditshwene tse di bosula go gaisa tsotlhe tse nkileng ka di bona.,Heatlhys,negative
1236,"Ntle le dintja tse kgolo tse chesang, DOTP e na le di-sandwich tse ntle tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots le English muffins, e leng sehlahiswa se monate sa NJ-based pork se tsebang ho rona jersey banana le basha jwalo ka Taylor ham.",Mme Ingrid Muffin,positive
1240,"Ntle le dintja tse kgolo tse chesang, DOTP e na le di-sandwich tse ntle tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots le English muffins, e leng sehlahiswa se monate sa NJ-based pork se tsebang ho rona jersey banana le basha jwalo ka Taylor ham.",Mme Claire HAM,positive
1242,"Ntle le dintja tse kgolo tse chesang, DOTP e na le di-sandwich tse ntle tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots le English muffins, e leng sehlahiswa se monate sa NJ-based pork se tsebang ho rona jersey banana le basha jwalo ka Taylor ham.",Pork bone,positive
1246,"Ntle le dintja tse kgolo tse chesang, DOTP e na le di-sandwich tse ntle tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots le English muffins, e leng sehlahiswa se monate sa NJ-based pork se tsebang ho rona jersey banana le basha jwalo ka Taylor ham.",Mme Toto tots,positive
1250,"Ntle le dintja tse kgolo tse chesang, DOTP e na le di-sandwich tse ntle tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots le English muffins, e leng sehlahiswa se monate sa NJ-based pork se tsebang ho rona jersey banana le basha jwalo ka Taylor ham.",Dog Heatlhy,positive
1254,"Ntle le dintja tse kgolo tse chesang, DOTP e na le di-sandwich tse ntle tsa dijo tsa hoseng tse bontshang, ntle le dintho tse kgolo tse kang di-tator tots le English muffins, e leng sehlahiswa se monate sa NJ-based pork se tsebang ho rona jersey banana le basha jwalo ka Taylor ham.",Sandwiches A Go Go,positive
1258,"Dintlha ka ga dijo tse di monate (fa tlase) fela dijana tse dingwe, go akaretsa le konyana e e tsenngwang le disir salate (avocado shrimp) di ne di le monate tota.",Dijo tse di apesedeng,negative
1260,"Dintlha ka ga dijo tse di monate (fa tlase) fela dijana tse dingwe, go akaretsa le konyana e e tsenngwang le disir salate (avocado shrimp) di ne di le monate tota.",Go (Avocado Shrimp),positive
1262,"Dintlha ka ga dijo tse di monate (fa tlase) fela dijana tse dingwe, go akaretsa le konyana e e tsenngwang le disir salate (avocado shrimp) di ne di le monate tota.",Dishes Tsang,positive
1265,"Dintlha ka ga dijo tse di monate (fa tlase) fela dijana tse dingwe, go akaretsa le konyana e e tsenngwang le disir salate (avocado shrimp) di ne di le monate tota.",Mme Combes Entrée,positive
1268,Go GoA Gone (Only New WineS),Mme Diss,negative
1270,Go GoA Gone (Only New WineS),Whisky A Go Go,negative
1273,"Le fa go ntse jalo, e ne e le lefelo le le itumedisang thata la go ipelela letsatsi le le monate la go nna le setlhopha se sennye.",Valobasha,positive
1275,"Dijo tsa rona di ne di le monate ebile di le monate, dijo di ne di le monate, mme le tsona di ne di le monate.",Whisky A Go Go,positive
1279,"Dijo tsa rona di ne di le monate ebile di le monate, dijo di ne di le monate, mme le tsona di ne di le monate.",Lindiwe Letebele,positive
1283,"Dijo tsa rona di ne di le monate ebile di le monate, dijo di ne di le monate, mme le tsona di ne di le monate.",Dijo tsa rona,positive
1287,"Dijo di ne di le kwa godimo, mme tirelo e ne e le yone e e neng e le teng.",Tirelo Tirelo,positive
1291,"Dijo di ne di le kwa godimo, mme tirelo e ne e le yone e e neng e le teng.",Dijo tsa rona,positive
1295,"Fa o batla go dira dilo tse di siameng, go dira dilo tse di molemo, diako, diphuka, diphuka, di-shrimp tsa khajun, di siame, e seng tse di kgolo.",Mme Kajun Shrimp,neutral
1298,"Fa o batla go dira dilo tse di siameng, go dira dilo tse di molemo, diako, diphuka, diphuka, di-shrimp tsa khajun, di siame, e seng tse di kgolo.",Mme Léa Léa,positive
1301,"Fa o batla go dira dilo tse di siameng, go dira dilo tse di molemo, diako, diphuka, diphuka, di-shrimp tsa khajun, di siame, e seng tse di kgolo.",Ribs bone,positive
1304,"Fa o batla go dira dilo tse di siameng, go dira dilo tse di molemo, diako, diphuka, diphuka, di-shrimp tsa khajun, di siame, e seng tse di kgolo.",Matsepe Matsepe,positive
1307,Go go ! - 50 beer beer,beser bone,neutral
1309,Go go ! - 50 beer beer,Beer Pick a Go Go,positive
1312,"Btw, tirelo e e molemo.",Tirelo Tirelo,positive
1315,"Ka jalo, re ne ra nna mo ntlong ya ga MmaMoabone, go lebega e kete o ne a sa batle go nna teng.",Bar A Go Go,neutral
1317,"Ka jalo, re ne ra nna mo ntlong ya ga MmaMoabone, go lebega e kete o ne a sa batle go nna teng.",Mme Barers,negative
1319,Re ne re sa itse gore a re tshwanetse go nwa bojalwa kgotsa go nwa bojalwa?,Nesselwang,neutral
1321,Re ne ra ipotsa gore ke ka ntlha yang fa re ne re tshwanetse go dira gore re se ka ra nna le maitemogelo a rona a go jela?,Itemogeng Dining Experience,negative
1324,Mong wa bone o ne a le maaka.,Kwek Leng Beng,negative
1327,"Go na le moo, go na le sengwe se nka se kgonang go tokafatsa kwa gae.",Go Go China Food,negative
1329,'Go ne go na le letelô le le lengwe fêla mo lebenkeleng le le fa godimo' - There was just waiting for the whole restaurants,Lindiwe Letebele,neutral
1331,Ke ne ke akanya gore dijo ga di tlhwatlhwatlase fa di bapisiwa le kwa China.,Dijo tsa rona,negative
1334,"Le fa go ntse jalo, kwa China e na le boleng jo bo botoka jo bo kwa godimo ka ditlhotlhwa tse di kwa tlase.",Ditlhotlhwa tse di kwa tlase,positive
1338,"Le fa go ntse jalo, kwa China e na le boleng jo bo botoka jo bo kwa godimo ka ditlhotlhwa tse di kwa tlase.",Boleng ba boleng,positive
1342,"Ke kgona go bona ditlhotlhwa tsa dijo tse di botoka, jaaka di-restaurants tsa Kwa China kwa midtown/uptown.",Ditlhotlhwa tse di kwa tlase,negative
1344,"Ke kgona go bona ditlhotlhwa tsa dijo tse di botoka, jaaka di-restaurants tsa Kwa China kwa midtown/uptown.",Dijo tsa rona,negative
1346,E jelwe ka asene e ntsho mme e tshetswe ke ginger.,Mmabatho Montsho Asene,neutral
1348,E jelwe ka asene e ntsho mme e tshetswe ke ginger.,Go Go Gadget Ginger,neutral
1350,A o kile wa utlwa sengwe se se monate thata mo botshelong jwa gago?,Milk Ball Gelato A Go Go,positive
1353,"Ke ne ka lemoga gore dijo di siame fela jaaka mong wa yone, Da Silvano, tlhwatlhwa e e kwa tlase fela.",Kwek Leng Beng,positive
1356,"Ke ne ka lemoga gore dijo di siame fela jaaka mong wa yone, Da Silvano, tlhwatlhwa e e kwa tlase fela.",Dijo tsa rona,positive
1359,"Le fa go ntse jalo, go na le dilo tse di sa siamang tse di sa siamang le tse di sa iketlang.",Mme Ambiance,positive
1362,Go ne go na le didirisiwa tse di farologaneng tse di kgethegileng le tse dingwe tse di neng di le mo go tsone di ne di gakgamatsa.,Pasta A Go Go,positive
1365,Go ne go na le didirisiwa tse di farologaneng tse di kgethegileng le tse dingwe tse di neng di le mo go tsone di ne di gakgamatsa.,Mme Appetier,positive
1368,Go ne go le thata go leka go dirisa di-truffles - go ne go le thata.,Go Go Gadget With Truffles,positive
1371,"Mo godimo ga moo, badiri ba tshwanetse go nna kelotlhoko e bile ba na le maikarabelo a a utlwalang.",Mme Staffe,positive
1374,"Risotto ya me e ne e fisiwa, mme e ne e le mo go fisang ka botlalo mo lelapeng le le tukang.",Mme Risotto,negative
1378,"Risotto ya me e ne e fisiwa, mme e ne e le mo go fisang ka botlalo mo lelapeng le le tukang.",Flavor bone,negative
1382,Ba na le tirelo e e bonako thata fa o sena nako e ntsi.,Tirelo Tirelo,positive
1385,"Dijo tse di jewang ke palogare: dijo tsa mo mosong, sopo, disketara, di-sandwich, jalo le jalo.",Dijo tsa rona,neutral
1388,"Dijo tse di jewang ke palogare: dijo tsa mo mosong, sopo, disketara, di-sandwich, jalo le jalo.",Mme Sopos,neutral
1391,"Dijo tse di jewang ke palogare: dijo tsa mo mosong, sopo, disketara, di-sandwich, jalo le jalo.",sasas bone,neutral
1394,"Dijo tse di jewang ke palogare: dijo tsa mo mosong, sopo, disketara, di-sandwich, jalo le jalo.",Sandwiches A Go Go,neutral
1397,"Dijo tse di jewang ke palogare: dijo tsa mo mosong, sopo, disketara, di-sandwich, jalo le jalo.",dijô tsa sefitlholô,neutral
1400,"That's a joke, that's a joke.",Lefelo la go lô,positive
1403,"Dijo di ne di le monate, mme ga di a siama.",Dijo tsa rona,positive
1406,Go ne go le thata ka gonne bontsi jwa batho ba ba neng ba le mo bodireding ba ne ba le mo letsatsing la Lamatlhatso.,Tirelo Tirelo,negative
1410,Go ne go le thata ka gonne bontsi jwa batho ba ba neng ba le mo bodireding ba ne ba le mo letsatsing la Lamatlhatso.,Mme Staffe,negative
1414,"Re ne re na le moletlo wa letsatsi la matsalo fano, mme dijo le tirelo di ne di le monate.",Tirelo Tirelo,positive
1417,"Re ne re na le moletlo wa letsatsi la matsalo fano, mme dijo le tirelo di ne di le monate.",Dijo tsa rona,positive
1420,"Ga se fela gore di ne di le teng, mme di ne di dira gore re nne le batho ba bangwe ba ba neng ba le mo go lone, mme ba ne ba dira gore re nne le boitumelo jo bo sa re tshwanelang go bo re ntse re le mo go jone.[12]",Duck A Go Go,positive
1424,"Ga se fela gore di ne di le teng, mme di ne di dira gore re nne le batho ba bangwe ba ba neng ba le mo go lone, mme ba ne ba dira gore re nne le boitumelo jo bo sa re tshwanelang go bo re ntse re le mo go jone.[12]",Go Insa,neutral
1426,"Ga se fela gore di ne di le teng, mme di ne di dira gore re nne le batho ba bangwe ba ba neng ba le mo go lone, mme ba ne ba dira gore re nne le boitumelo jo bo sa re tshwanelang go bo re ntse re le mo go jone.[12]",Sushi A Go Go,positive
1430,"Go ne go le bonolo go dira jalo, mme fa o tshwerwe ke tlala o bo o lapile mme o se ka wa itlhaganelela go dira jalo.",Dikarolo tsa dikarolo,negative
1434,"Go ne go le bonolo go dira jalo, mme fa o tshwerwe ke tlala o bo o lapile mme o se ka wa itlhaganelela go dira jalo.",Tirelo Tirelo,negative
1438,"Dining Sets, Awesome Dining Room Sets, Awesome Dining Room Sets.",Dino Bone,positive
1442,"Dining Sets, Awesome Dining Room Sets, Awesome Dining Room Sets.",Dining Room Sets,positive
1446,"Dining Sets, Awesome Dining Room Sets, Awesome Dining Room Sets.",Dijo tsa rona,positive
1450,"Le fa go ntse jalo, dijo tsa motshegare ga di a swabisa, le fa ditlhwatlhwa di le kwa godimo.",Ditlhotlhwa tse di kwa tlase,negative
1454,"Le fa go ntse jalo, dijo tsa motshegare ga di a swabisa, le fa ditlhwatlhwa di le kwa godimo.",Dinnerbone,positive
1458,"Go utlwisa botlhoko ke gore, go ne ga isiwa kwa ntle ga go isiwa kwa ntle ga motse wa Ga-Segwagwa.",Mme Saketini,positive
1462,"Go utlwisa botlhoko ke gore, go ne ga isiwa kwa ntle ga go isiwa kwa ntle ga motse wa Ga-Segwagwa.",Go Go Bar Menu,negative
1466,"Dijo di ne di le monate, go tloga kwa tshimologong go ya bokhutlong.",Dijo tsa rona,positive
1469,"Dijo tse di siameng ka tlhwatlhwa e e siameng, ke eng gape se o ka se kopang?",Tlhwatlhwa e e kwa godimo,positive
1473,"Dijo tse di siameng ka tlhwatlhwa e e siameng, ke eng gape se o ka se kopang?",Dijo tsa rona,positive
1477,Dilo tse di botoka go tswa mo rokong ya tsone ke go tswa mo rokong (Churasco le Ribs).,Mme Charrasco,positive
1479,Dilo tse di botoka go tswa mo rokong ya tsone ke go tswa mo rokong (Churasco le Ribs).,Grill a Go Go,positive
1481,Dilo tse di botoka go tswa mo rokong ya tsone ke go tswa mo rokong (Churasco le Ribs).,Ribs bone,positive
1483,Tlhotlhwa ya dijo ke boleng jo bo siameng jwa theko ya dijo.,Dijo tsa rona,positive
1487,Tlhotlhwa ya dijo ke boleng jo bo siameng jwa theko ya dijo.,Tlhwatlhwa e e kwa godimo,positive
1491,"Tirelo e e bonya, fela tirelo e a siama.",Tirelo Tirelo,negative
1495,"Tirelo e e bonya, fela tirelo e a siama.",Mme Appetizers,neutral
1499,Go monate go nwa bojalwa fa o sa batle go nwa bojalwa ka gonne o ka kgona go nwa bojalwa ka ura e le nngwe fela.,Nesselwang,neutral
1501,Go monate go nwa bojalwa fa o sa batle go nwa bojalwa ka gonne o ka kgona go nwa bojalwa ka ura e le nngwe fela.,Tirelo Tirelo,negative
1505,Go monate go nwa bojalwa fa o sa batle go nwa bojalwa ka gonne o ka kgona go nwa bojalwa ka ura e le nngwe fela.,Dino Bone,neutral
1509,Go go to the best food of Daniel.,Mme Françoise Cam,positive
1512,Tota e ne e le lefelo le le mogote fa go buiwa ka dijo.,Dijo tsa rona,positive
1515,"Satay ke nngwe ya dilo tse di ratwang thata mo Botswana, kwa tirelo le dijo di nnang teng ka dinako tsotlhe.",Tirelo Tirelo,positive
1517,"Satay ke nngwe ya dilo tse di ratwang thata mo Botswana, kwa tirelo le dijo di nnang teng ka dinako tsotlhe.",Dijo tsa rona,positive
1519,"Leka di-cookie tse di nang le di-cookie, mme o di bee ka raese e e nang le di-cookie.",Beef bone,positive
1522,"Leka di-cookie tse di nang le di-cookie, mme o di bee ka raese e e nang le di-cookie.",Ribs bone,positive
1525,"Leka di-cookie tse di nang le di-cookie, mme o di bee ka raese e e nang le di-cookie.",Reise Cotone,positive
1527,"Ela tlhoko dilo tse di neng di saenilwe ke dijo, e seng kwa ntle ga fa o batla go bitsa lefapha la molelo go dirisa molelo mo molomong wa gago.",Paleo Diet Cookbook Items,negative
1529,"Dijo tse di monate, mme ga di a tshwanela go tsamaya ntle le fa o ka di ja, e leng yone fela e e leng yone fela e e siameng.",Diy Tsang,positive
1532,"Dijo tse di monate, mme ga di a tshwanela go tsamaya ntle le fa o ka di ja, e leng yone fela e e leng yone fela e e siameng.",Mme Colette Colette,positive
1535,Modiri wa rona o na le botsalano jo bo molemo.,Mme Staffe,positive
1538,Pizza Go Go New Jersey,Pizza Go Go,positive
1541,"Ga se fela gore o ne a na le bokgoni jo bo siameng le jo bo siameng, mme gape bo thusa thata. ",Lindiwe Letebele,positive
1544,Bathroom Tile With Fast Bathroom.,Tirelo Tirelo,positive
1547,"Une bonne salope francaise, bonne salope francaise.",Pisang Goreng Cheese,positive
1550,"Une bonne salope francaise, bonne salope francaise.",Mme Françoise Fries,positive
1553,"Une bonne salope francaise, bonne salope francaise.",Burgers A Go Go,positive
1556,"Dijo tse di monate, ke rata di-dumplings tsa tsona, di-noodle tsa sesame tse batang, kuku le di-shrimp.",Chicken A Go Go,positive
1560,"Dijo tse di monate, ke rata di-dumplings tsa tsona, di-noodle tsa sesame tse batang, kuku le di-shrimp.",Dijo tsa rona,positive
1564,"Dijo tse di monate, ke rata di-dumplings tsa tsona, di-noodle tsa sesame tse batang, kuku le di-shrimp.",Go Go Gelato Noodles,positive
1568,"Dijo tse di monate, ke rata di-dumplings tsa tsona, di-noodle tsa sesame tse batang, kuku le di-shrimp.",Mme Dumplings,positive
1572,"Dijo tse di monate, ke rata di-dumplings tsa tsona, di-noodle tsa sesame tse batang, kuku le di-shrimp.",Strawberry Dis,positive
1576,"Home Botswana Gaborone, Gaborone.",Valobasha,positive
1580,"Home Botswana Gaborone, Gaborone.",Go GoA Gone Delivery,positive
1584,Ga ke ise ke nne le namune ka jalo ke ne ka e ntsha.,Mme Orange Donut,neutral
1586,Ke ne ke gakgamaditswe ke tatso ya me.,Mme Ladèle,positive
1589,Go na le batho ba ba nang le bokgoni jo bo kwa tlase jo bo kwa tlase le jo bo kwa tlase.,Space A Go Go,negative
1593,Go na le batho ba ba nang le bokgoni jo bo kwa tlase jo bo kwa tlase le jo bo kwa tlase.,Treats bone,positive
1597,Go na le batho ba ba nang le bokgoni jo bo kwa tlase jo bo kwa tlase le jo bo kwa tlase.,Ditlhotlhwa tse di kwa tlase,positive
1601,"Le fa go ntse jalo, ba itse gore di-sandwich ke tsa nnete mo",Sandwiches A Go Go,positive
1604,"Fa o batla go ja dijo tse di bothitho, o leke sopo e e mogote le e e bo e le monate.",Bonne sodo et bonne sopo,positive
1608,"Fa o batla go ja dijo tse di bothitho, o leke sopo e e mogote le e e bo e le monate.",Sofa & Sandwich A Go Go,positive
1612,Di na le di-cookie tse di dirilweng ka ditswaki tse di foreshe le tsa yummy.,Pizza A Go Go,positive
1614,Di na le di-cookie tse di dirilweng ka ditswaki tse di foreshe le tsa yummy.,Ingredients kwa,positive
1617,'Dilô tsa gagwê di ne di tletse dilô' - The pizza is full of the flavor,Flavor bone,positive
1621,'Dilô tsa gagwê di ne di tletse dilô' - The pizza is full of the flavor,Pizza A Go Go,positive
1625,"Fa e le gore o na le dijo tse di monate tse di monate mme o eletsa go nna le dijo tse di monate, ke selo se se monate le se se sa siamang.",Mme Ambiance,positive
1629,"Fa e le gore o na le dijo tse di monate tse di monate mme o eletsa go nna le dijo tse di monate, ke selo se se monate le se se sa siamang.",Indian Food A Go Go,positive
1633,"Ga se fela go nna le puo e e molemo, mme go dira puisano mo tafoleng go ka nna motlhofo ka gonne go ka nna bonolo go nna le lorato e bile go le monate.",Tirelo Tirelo,positive
1637,"Ga se fela go nna le puo e e molemo, mme go dira puisano mo tafoleng go ka nna motlhofo ka gonne go ka nna bonolo go nna le lorato e bile go le monate.",Mme Atmosphere,positive
1641,Go ne go na le lesedi la mmino le mmino.,mmino wa,neutral
1643,Go ne go na le lesedi la mmino le mmino.,Lebone Lebone,neutral
1645,"Ka jalo, le nna ke rata dijo.",Dijo tsa rona,positive
1648,Bathroom Tile Bathroom Floor Tile Cool And Cool...,Bar Scene A Go Go,positive
1651,"Ke ne ke sa kgone go dira sengwe le sengwe se ke neng ke se dira, ke ne ke sa kgone go dira sepe ka gonne ke ne ke sa kgone go dira sepe (go akaretsa le go nwa madi a le 100)...",Tlhwatlhwa e e kwa godimo,negative
1653,"Ke ne ke sa kgone go dira sengwe le sengwe se ke neng ke se dira, ke ne ke sa kgone go dira sepe ka gonne ke ne ke sa kgone go dira sepe (go akaretsa le go nwa madi a le 100)...",Dino Bone,neutral
1655,"Ke ne ke sa kgone go dira sengwe le sengwe se ke neng ke se dira, ke ne ke sa kgone go dira sepe ka gonne ke ne ke sa kgone go dira sepe (go akaretsa le go nwa madi a le 100)...",Dijo tsa rona,positive
1658,Best Chinese Food Up! _ Go,Go Go China Food,positive
1661,"Dijo tse di monate, dijo tse di monate, ditlhwatlhwa tse di monate le tirelo ya botsalano di kopanya go netefatsa gore go na le dijo tse di itumedisang.",Dijo tsa rona,positive
1665,"Dijo tse di monate, dijo tse di monate, ditlhwatlhwa tse di monate le tirelo ya botsalano di kopanya go netefatsa gore go na le dijo tse di itumedisang.",Ditlhotlhwa tse di kwa tlase,positive
1669,"Dijo tse di monate, dijo tse di monate, ditlhwatlhwa tse di monate le tirelo ya botsalano di kopanya go netefatsa gore go na le dijo tse di itumedisang.",Tirelo Tirelo,positive
1673,"Dijo tse di monate, dijo tse di monate, ditlhwatlhwa tse di monate le tirelo ya botsalano di kopanya go netefatsa gore go na le dijo tse di itumedisang.",Mme Fasa,positive
1677,"Dijo tse di monate, dijo tse di monate, ditlhwatlhwa tse di monate le tirelo ya botsalano di kopanya go netefatsa gore go na le dijo tse di itumedisang.",Repotswe,positive
1681,"Di-noodle tsa sesame tse batang, tseo e leng freebie ha o laela R10+, di na le delectable.",Go Go Gelato Noodles,positive
1684,Salate e e nang le salate ke ya motho ka sebele.,Avocado salate e sa 10,positive
1687,Go Go Gadget BbQ Rib Tips!,sweet bbq rib bone tips,positive
1690,Re ne ra laela kwana e e neng e apeilwe sentle e bile e le monate.,Kwana Kwana,positive
1693,"Le fa go ntse jalo, go tswa kwa maeng go ya kwa maeng a a kwa lewatleng, le fa go ntse jalo, go ne go na le dilo tse dintsi tse di neng di dirwa ka tsela e e molemo le e e sa direng sentle.",Mme Mossels,positive
1696,"Le fa go ntse jalo, go tswa kwa maeng go ya kwa maeng a a kwa lewatleng, le fa go ntse jalo, go ne go na le dilo tse dintsi tse di neng di dirwa ka tsela e e molemo le e e sa direng sentle.",Mme Benedicte,positive
1699,"Le fa go ntse jalo, go tswa kwa maeng go ya kwa maeng a a kwa lewatleng, le fa go ntse jalo, go ne go na le dilo tse dintsi tse di neng di dirwa ka tsela e e molemo le e e sa direng sentle.",Mme Hamburger,positive
1702,"Le fa go ntse jalo, ga go na sepe se se itumedisang thata mo Lefatsheng la Botswana, mme lefelo le le phepa le le phepa.",Lefelo la go lô,positive
1705,I trust the people at Go Sushi- Never Disappoint!,Batho ba,positive
1708,"Ga go na sepe se se makatsang, se se gakgamatsang, se se nang le dijo tse di monate tsa sejapane.",Dijo tsa Sejapane,positive
1711,Go - Sushi It's Not Good,Sushi A Go Go,positive
1714,"Ga go na sepe se se gakgamatsang, mme ga go na sepe se se gakgamatsang.",Mefuta e fapaneng,positive
1717,Sassy Go Go Sushi Sushi A Go Go Best And Cool Cool Nyc,Go Go Sushi,positive
1720,"Ga ke a tshwanela fela go apaya dijo tsa gagwe tse di monate, mme gape le mo badiring ba gagwe ba ba botsalano.",Cookware Sets,positive
1724,"Ga ke a tshwanela fela go apaya dijo tsa gagwe tse di monate, mme gape le mo badiring ba gagwe ba ba botsalano.",Mme Staffe,positive
1728,"Ga ke a tshwanela fela go apaya dijo tsa gagwe tse di monate, mme gape le mo badiring ba gagwe ba ba botsalano.",Beng Beng,positive
1732,O ne a tshwanelwa ke go kopa dikuku di le tharo gore a nne le dikuku.,Pisang Goreng Cheese,neutral
1734,"Tirelo e e bonako e bile e na le botsalano, mme boleng jo bo kwa godimo.",Valobasha,positive
1738,"Tirelo e e bonako e bile e na le botsalano, mme boleng jo bo kwa godimo.",Tirelo Tirelo,positive
1742,Ke ne ke tshwerwe ke tlala mme bana ba me ba ne ba nkgatlha!,Dikarolo tsa dikarolo,negative
1745,E ne e le ka Mosupologo wa dijo tsa motshegare - o ne a bereka mo tshimong e e neng e le mo lefelong leo mme a fitlhela e le selo se se sa tlwaelegang.,Dijo tsa motshegare,neutral
1747,"Le fa go ntse jalo, ga se diphologolo tse di potlana, tse di nang le dijo tse di nang le lobelo lo lo sesane , tse di tletseng, tse di nang le bokgoni jo bo feletseng.",Burgers A Go Go,positive
1751,"Le fa go ntse jalo, ga se diphologolo tse di potlana, tse di nang le dijo tse di nang le lobelo lo lo sesane , tse di tletseng, tse di nang le bokgoni jo bo feletseng.",Mme Patss,positive
1755,"Fa o batla go reka dijo tse o di rekang, o tla solofela gore o tla nna le bobotlana mo dijong tse dingwe tse o di rekang.",Dijo tsa rona,negative
1757,"Fa o batla go reka dijo tse o di rekang, o tla solofela gore o tla nna le bobotlana mo dijong tse dingwe tse o di rekang.",Tlhwatlhwa e e kwa godimo,negative
1759,Dijo di ne di le dinnye mme di le kwa tlase.,Dijo tse di fang karolo,negative
1762,Re ne ra tla go ja dijo tsa motshegare fa re ntse re ja dijo tsa motshegare!!!!,Dijo tsa motshegare,neutral
1764,Re ne ra tla go ja dijo tsa motshegare fa re ntse re ja dijo tsa motshegare!!!!,mme soy sauce,neutral
1766,Re ne ra tla go ja dijo tsa motshegare fa re ntse re ja dijo tsa motshegare!!!!,Mme Waitress,negative
1768,Go na le dijo tse di monate tse o ka di dirisang fa o sena go reka dijo tse di monate kgotsa o o dirisang sopo e e bonolo ya Se-French mo godimo ga seno sa beine.,sopo bone,neutral
1772,Go na le dijo tse di monate tse o ka di dirisang fa o sena go reka dijo tse di monate kgotsa o o dirisang sopo e e bonolo ya Se-French mo godimo ga seno sa beine.,Lefelo la go lô,positive
1776,Go na le dijo tse di monate tse o ka di dirisang fa o sena go reka dijo tse di monate kgotsa o o dirisang sopo e e bonolo ya Se-French mo godimo ga seno sa beine.,Whisky A Go Go,neutral
1778,Go na le dijo tse di monate tse o ka di dirisang fa o sena go reka dijo tse di monate kgotsa o o dirisang sopo e e bonolo ya Se-French mo godimo ga seno sa beine.,Mme Françoise Dis,neutral
1782,"Dijo di monate, mme ditlhwatlhwa di a utlwala.",Ditlhotlhwa tse di kwa tlase,positive
1786,"Dijo di monate, mme ditlhwatlhwa di a utlwala.",Dijo tsa rona,positive
1790,"Lefelo le le phepa, mme fa o rata dijo tsa moya, gona ke lefelo le le tshwanetseng go nna gone!",bone meal,positive
1794,"Lefelo le le phepa, mme fa o rata dijo tsa moya, gona ke lefelo le le tshwanetseng go nna gone!",Lefelo la go lô,positive
1798,Batho ba ba neng ba le mo setlhopheng seno ba ne ba le botsalano mme tota le fa ke ne ke nwa bojalwa jo bo neng bo le teng fa ke ne ke sa batle go dira jalo.,Maloko a badiri,positive
1801,Batho ba ba neng ba le mo setlhopheng seno ba ne ba le botsalano mme tota le fa ke ne ke nwa bojalwa jo bo neng bo le teng fa ke ne ke sa batle go dira jalo.,Nesselwang,neutral
1803,Di ne di na le di-cookie tse di phepa le tse di sa tswang go jewa.,Mme Smoothies,positive
1805,Di ne di na le di-cookie tse di phepa le tse di sa tswang go jewa.,fresh juice bone,positive
1807,"Le fa go ntse jalo, le fa go ntse jalo, go na le dilo di le dintsi tse di molemo tse ke kileng ka di dira!",Mme Smoothies,negative
1811,"Le fa go ntse jalo, le fa go ntse jalo, go na le dilo di le dintsi tse di molemo tse ke kileng ka di dira!",fresh juice bone,positive
1815,Di na le kgogo e e monate e e nang le avocado le tuna e ntle.,Go Go Gadget Avocado,positive
1819,Di na le kgogo e e monate e e nang le avocado le tuna e ntle.,Mme Tunan,positive
1823,Bontsi jwa di-sandwich di dirwa ka soy mayonnaise e tota e leng molemo.,Sandwiches A Go Go,positive
1826,Bontsi jwa di-sandwich di dirwa ka soy mayonnaise e tota e leng molemo.,Mme Maya Mayonaise,positive
1828,"Ga se fela gore ba ne ba na le di-sandwich, di-soup, di-pizza, jalo le jalo, mme di-sorbets tsa bone tsa kwa gae di tswa mo lefatsheng leno!",Gae Sekgoa go ya go Setswana sorbets,positive
1832,"Ga se fela gore ba ne ba na le di-sandwich, di-soup, di-pizza, jalo le jalo, mme di-sorbets tsa bone tsa kwa gae di tswa mo lefatsheng leno!",sopo bone,positive
1836,"Ga se fela gore ba ne ba na le di-sandwich, di-soup, di-pizza, jalo le jalo, mme di-sorbets tsa bone tsa kwa gae di tswa mo lefatsheng leno!",Sandwiches A Go Go,positive
1840,"Ga se fela gore ba ne ba na le di-sandwich, di-soup, di-pizza, jalo le jalo, mme di-sorbets tsa bone tsa kwa gae di tswa mo lefatsheng leno!",Pizza Go Go,positive
1844,Go Go Gadget Cheese And The Cheese!,Pizza Go Go Soy Cheese,positive
1847,Go Go Gadget Cheese And The Cheese!,Paleo Butter Sweatshirt Sorbet,positive
1850,"Go na le dilo di le dintsi tse di ka go itumedisang (gongwe le fa e le gore o na le ditshipi tse di kwa godimo thata) le fa o ka di bona sentle, o ka nna wa di bona ka fa o bonang ka teng . . .",Desserts bone,positive
