st,aspect,polarities
"le ha li-smoothies li le kholo hanyane ho nna, li-juice tse ncha ke tsona tse ntle ka ho fetisisa tseo nkileng ka ba le tsona, empa tatso e khutšoanyane.",li-juice tse ncha,positive
"li na le khoho e ntle haholo e nang le avocado le tuna e ntle hape, empa ts'ebeletso e soabile, leta e tenehile mme ts'ebeletso e lieha haholo.",avocado,positive
"li na le khoho e ntle haholo e nang le avocado le tuna e ntle hape, empa mong'a eona ke leshano.",tuna,positive
"boholo ba li-sandwich li entsoe ka soy mayonaise e hlileng e ntle, empa lijo ha li ntle haholo ebile li jella li mpe ka ho fetesisa.",li-sandwich,positive
"boholo ba li-sandwich li entsoe ka soy mayonaise e hlileng e ntle, empa bartender e mosa.",li,positive
"hase feela hore ba ne ba e-na le sopho e makatsang, pizza, joalo-joalo, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena; li-server li bonolo ebile li-bartenders lia tšosa.",li-sorbets,positive
"hase feela hore ba ne ba e-na le li-sandwich tse makatsang, sopho, pizza, jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena; lintja tse chesang li ntle ka ho fetisisa, li-bartenders li tšabeha ebile li na le li-menu tse nyane.",li-sorbets,positive
"hase feela hore ba ne ba e-na le li-sandwich tse makatsang, sopho, pizza, jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena; lijo ha li phutholohe, 'me karolo ea lijo e ka tlase ho karolelano.",li-sandwich,positive
"hase feela hore ba ne ba e-na le li-sandwich tse makatsang, sopho, pizza, jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena; ho ja lijo ke ntho e mpe ka ho fetesisa mme ts'ebeletso e ntle haholo.","pizza,",positive
"leka peanut butter sorbet le pizza ka chisi ea soy, empa bill e kholo.",pizza,positive
"leka peanut butter sorbet le pizza e nang le chisi ea soy, empa lijo ha li tšoane ebile litafole ha li phutholohe.",peanut butter sorbet,positive
"tšebeletso e ntle (mohlomong esita le borderline nagging empa bonyane u fumana tlhokomelo), li-dessert li ntle haholo 'me kofi e ntle haholo; 1.1.1.1.1.1.2.1.1.2.2 ha ho na",li-dessert,positive
"tšebeletso e ntle (mohlomong esita le borderline nagging empa bonyane u fumana tlhokomelo), li-dessert li ntle haholo 'me kofi e ntle haholo; ts'ebeletso e ntle haholo, theko e theko e tlase ebile e theko e tlase haholo.",kofi,positive
"'mino oo ka linako tse ling o boima haholo bakeng sa tatso ea ka, empa lijo tsa mantsiboea ha li soabisa.",'mino,negative
"casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang tsa mediterranean, tse theko e tlaase haholo, empa sopho ea chickpea ea fatše e tšesaane, ts'ebeletso e lieha ebile 'mino o boima haholo.","mediterranean,",positive
"casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang tsa mediterranean, tseo kaofela li theko e tlaase haholo, empa lijo tsa majapane li betere.","falafel,",positive
"casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang tsa mediterranean, tseo kaofela li theko e tlaase haholo, empa tatso e mpe ka ho fetisisa 'me lijo li theko e boima.",humus,positive
"casablanca servces monate falafel, tabouleh, humus le tse ling tse thabisang tsa mediterranean, tseo kaofela li theko e tlaase haholo, empa lijo tsa motšehare ke matla, likaroloana ke tse nyenyane 'me mookameli ke rudeness.",tabouleh,positive
"ho na le lireschorente tse sa tloaelehang haholo, empa li loketse lijo tsa mots'eare, 'me tšebeletso ea bona ea ho fana e lula e potlakile haholo; khoho e ntle haholo.",lijo,neutral
"ho na le lireschorente tse sa tloaelehang haholo, empa li loketse lijo tsa mots'eare, 'me tšebeletso ea bona ea ho fana e lula e potlakile haholo; sebaka se monate, moamoheli o bobebe ebile sopho ea chickpea ea fatše e tšesaane.",tšebeletso,positive
"ba boetse ba na le assortment e kholo ea wraps haeba u se ka maikutlo bakeng sa leeto la setso la mediterranean, empa boiphihlelo ba ho jella bo sotoba ebile tšebeletso e tšabeha.",wraps,positive
"ba boetse ba na le assortment e kholo ea wraps haeba u sa rate leeto la setso la mediterranean, empa ambiance ke lerato, lijo li ntle ebile li monate.","mediterranean,",neutral
"ho nkile lilemo tse 100 bakeng sa parisi ho potoloha ho etsa pizza (bonyane ha ke nahane hore ba kile ba e etsa pele selemong sena)... empa ho ne ho loketse ho leta; ho ja lijo ho molemo ka ho fetisisa, basebetsi ba botsoalle 'me lijo li ka tlaase ho karolelano.",pizza,positive
"the sauce e ntle haholo (e ncha haholo) e nang le li-dabs tsa mozzarella ea 'nete, empa sepakapaka se pholile.",mozzarella,neutral
"e ntle haholo (e ncha) e nang le li-dabs tsa mozzarella ea 'nete, empa waiter ke rudeness le lijo li majabajaba.",ntle,positive
"bohobe bo boetse bo phahame, empa taolo ea taolo e tlase ho feta ho se ts'oane.",boetse,positive
"li sebelisoa bohobe ba focacchia 'me li lokela ho shoa, empa ts'ebeletso e mpe ebile ke khothaletsa raese e halikiloeng.",sebelisoa,neutral
"li sebelisoa bohobe ba focacchia 'me li lokela ho shoa, empa' mino o boima haholo ebile o sebetsa hantle.",focacchia,neutral
"hape fumana li-rings tsa onion - tse ntle ka ho fetisisa tseo re kileng ra ba le tsona, empa menu e nyane.",onion,positive
"sepakapaka se setle, se phethahetseng bakeng sa lino le / kapa li-appetizers, empa batho ke ts'epo, lijo li ntle ebile li ka hare ke karolelano.",li-appetizers,neutral
"sepakapaka se setle, se phethahetseng bakeng sa lino le / kapa li-appetizers, empa ts'ebeletso e futsanehile, lijo ha li theko e tlase ebile tatso e mpe ka ho fetesisa.",sepakapaka,positive
"sepakapaka se setle, se phethahetseng bakeng sa lino le / kapa li-appetizers, empa lijo ke tlhompho, li-dessert ke ntho e makatsang 'me ke lekile chops ea veal.",lino,neutral
"lijo li bitsoa fusion ea asia - ha li kopane le bili, empa boema-kepe ke boleng.",ha,negative
"lijo li nkoa e le fusion ea asia - ha e kopane le bili, empa lijo li ntle ebile li monate.",fusion ea asia,neutral
"lijo li bitsoa fusion ea asia - ha li kopane le bili, empa sepakapaka se pholile.",lijo,negative
"lijo li bilia e le fusion ea asia - ha e kopane le bili, empa ke leka letata, lijo li ntle ebile li le boema-kepe ke boleng.",bilia,negative
"bahlahisi ba ne ba le botsoalle haholo, ba bonolo ebile ba ela hloko, empa lijo tsa majapane li betere ebile bareki li na le molomo o phahameng.",ebile,positive
"e ne e le lilemo tse fetang 25 tse fetileng mme ha ho hlokahale hore ke fete borokho bakeng sa pizza e ntle ka ho fetesisa ... hahahahah, ng'es y a flora.",pizza,positive
"ke ne ke tseba lijo tsa maindia, 'me ha se eona, empa boikutlo ba eona bo nepahetse.",lijo,negative
"ke khothaletsa li-dumplings tsa nama ea kolobe e halikiloeng, khoho ea lamunu / nama ea khomo, le raese e halikiloeng, empa ts'ebeletso e lieha haholo.",li-dumplings,positive
"ke khothaletsa li-dumplings tsa nama ea kolobe e halikiloeng, khoho ea lamunu / nama ea khomo, le raese e halikiloeng, empa lijo tsa mots'eare ke matla.",raese e halikiloeng,positive
"ke khothaletsa li-dumplings tsa nama ea kolobe e halikiloeng, khoho ea lamunu / nama ea khomo, le raese e halikiloeng, empa ts'ebeletso e mpe ka ho fetesisa, ts'ebeletso e futsanehile ebile ha e tšoanelehe.",lamunu,positive
"etsa bonnete ba hore u tsamaea le lijo tsa hau ka e 'ngoe ea li-juice tsa tsona tse ncha, empa mefuta e mengata ea sushi e monate ebile e monate ka ho fetisisa.",lijo,neutral
"etsa bonnete ba hore u tsamaea le lijo tsa hau le e 'ngoe ea li-concoction tsa bona tsa lero tse ncha, empa ts'ebeletso ha e na thuso.",li-concoction,positive
"e, li theko e boima haholo ka nako eo, empa hape ke lijo tsa bona; sebaka sa marang-rang se nepahetse ebile 'mino o boima haholo.",lijo,positive
"ke khothaletsa li-shrimp tse kholo tsa marnier, e ntle ka bohlanya, empa lino li tšabeha.",li-shrimp,positive
"glechik e kanna ea ba nyane haholo bakeng sa reschorenteng ke litekanyetso tsa russia, empa e cozy le lijo li ntle haholo; ba lebeletseng ba halefile haholo.",lijo,positive
"u lokela ho leka sechu sa odessa kapa sechu sa rabbit; bonkeng - mahle kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo), empa sushi e kholo ebile theko ha e na bohlokoa.",sushi,positive
"u lokela ho leka sechu sa odessa kapa sechu sa rabbit; bonkeng - mahle 'me kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo' mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo), empa litheko li phahame.",kompot,positive
"u lokela ho leka sechu sa odessa kapa sechu sa rabbit; bonkeng - mahle kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo), empa ho fana ka tlhokomelo.",ho,positive
"u lokela ho leka sechu sa odessa kapa sechu sa rabbit; bonkeng - mahle kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo), empa lijo li soetseha.",odessa,positive
"bakeng sa lijo tse nang le phepo e nepahetseng le e phetseng hantle li e fa setulo, empa setulo sa ho phutha ha se phutholohe.",lijo,positive
"lijo tse bonolo tsa unglamorous tse theko e tlaase, empa li-filet minor ha li ntle haholo.",lijo,positive
"sopho ea chickpea ea fatše eo re e boneng e le starter e latsoang hanyane hanyane, empa ts'ebeletso e ntle ebile e ntle haholo.",chickpea,negative
"sopho ea chickpea ea fatše eo re e boneng e le starter e latsoang hanyane hanyane, empa khase ea mohala e luscious, lijo li hlaheletseng ebile sebaka se setle.",starter,neutral
"li-platters tsa khoho le falafel li ne li sa lumellane le salate e ncha ea makhasi, empa li-wraps li monate ebile mookameli ha li na mohau.",falafel,neutral
"li-platters tsa khoho le falafel li ne li se nandescript tse kopantsoeng le salate e ncha ea lekhasi, empa ts'ebeletso e ruta, tšebeletso ea bareng e lieha ebile e kholo mac ke e ratang haholo.",salate e ncha ea lekhasi,neutral
"ho ruruha ho ne ho e-na le ho pheha le ho omisoa empa khoho e ne e le hantle; kamore e ntle ka ho fetisisa, kamore e ntle ka ho fetisisa ebile e loketse ho ja.",khoho,positive
"ho ruruha ho ne ho e-na le ho pheha le ho omisoa empa khoho e ne e le hantle; ke leka ho pheha, lijo li ntle haholo ebile lijo li hlolla.",ntle,negative
"sebaka se seholo sa sebaka sena ke theko, empa setulo sa ho phutha ha se phutholohe, lijo li soetsehile 'me lijo li tšabeha.","theko,",positive
"qetellong a re kene ka lebenkeleng la 5 ka nako, ho reka li-slices tse turang ho basebetsi ba nosetsoang, empa pizzas e ntle haholo, lijo li ntle ebile li-spinach gnocchi tsa litapole ke tse ratang haholo.",li-slices,negative
"qetellong, a re ke re kene ka lebenkeleng la 5 ka nako, ho reka li-slices tse turang ho basebetsi ba nosetsang, empa lijo li ntle haholo.",basebetsi,negative
"phello (velvet e khubelu): sebopeho se seholo, se bonolo ebile se le velvety, maikutlo a monate a cocoa, empa setulo sa ho phutha ha se phutholohe.","cocoa,",positive
"phello (bofubelu bo bofubelu): motsoako o motle, o bonolo ebile o le velvety, tlhahiso e ntle ea cocoa, empa ts'ebeletso e tšabeha, ts'ebeletso e lieha ebile e sa phehoa bocha.",ea,positive
"icing e entse kuku ena, e ne e fluffy, eseng e monate, e monate ebile e bobebe, empa ts'ebeletso e lieha.",entse,positive
"keke e ntle empa: e ne e se kuku e ntle ka ho fetesisa eo nkileng ka ba le eona, 'me ka sebele ha ho bohlokoa ho ema ka ntle tseleng e ntseng e ts'oeroe joalo ka likhomo ke basebetsi ba sa tsotelleng le ba sebetsang haholo, empa litheko ke litšila tse theko e tlase.",basebetsi,negative
"keke e monate empa e ne e se kuku e ntle ka ho fetesisa eo nkileng ka ba le eona, 'me ka sebele ha ho bohlokoa ho ema ka ntle tseleng e ntseng e hlakelloa joalo ka likhomo ke basebetsi ba sa tsotelleng le ba sebetsang haholo, empa lijo ha li theko e tlase.",keke,negative
"karolelano ea kaka e 'nileng ea lekhotla ke lotho ea hype, empa menu e ncha e iqape, menu e kholo ebile martinis e eksotiske.",kaka,negative
the décor e entsoe ka reschorenteng ea mehleng ea kajeno ea setaele sa majapane; sopho e monate ebile sopho ea mushroom ea harese e hlolla.,sopho,neutral
"lijo li ntle, teriyaki eo ke e khothalletsang, empa lijo li ka tlase ka karolelano.",teriyaki,positive
"lijo li ntle, teriyaki eo ke e khothalletsang, empa theko e phahameng.",lijo,positive
"karolo ea sashimi e kholo hoo e ka bang batho ba bangata, empa ke ne ke sa rate taba ea hore ba sebelisitse nama ea li-artifical lobster; li-marotholi li theko e boima.",karolo,positive
"karolo ea sashimi e kholo hoo e ka bang batho ba bangata, empa ke ne ke sa rate taba ea hore ba sebelisitse nama ea li-artifical lobster; i'm try ho rabbit.",li-artifical,negative
"ka kakaretso, ena ke sebaka se setle sa ho nka metsoalle e 'maloa ho fanyeha le ts'ebeletso e ntle, empa lijo ha li na thuso.",ts'ebeletso,positive
"ka kakaretso, ena ke sebaka se setle sa ho nka metsoalle e 'maloa ho fanyeha le ts'ebeletso e ntle, empa waiter e tenehile ebile lijo li majabajaba.",sebaka,positive
"lijo li monate ebile li-milkshakes li betere le ho feta, empa lijo ha li theko e tlase, ts'ebeletso e tšabeha ebile tsamaiso ha e felle.",li-milkshakes,positive
"lijo li kholo ebile li-milkshakes li betere le ho feta, empa theko ha e tšoanelehe, basebetsi ba ikakasang ebile ba ja lijo tsa mots'eare ke matla.",lijo,positive
"haha lijo tse nang le liodara tsa mahlakore joalo ka lisalate tse makatsang tsa 'greens, buffalo chicken kickers le cinna stix, empa tart ea apole e tšesaane.",buffalo,neutral
"haha lijo tse nang le litaelo tsa mahlakore joalo ka lisalate tse makatsang 'greens, buffalo chicken kickers le cinna stix, empa hostess e le ntho e sa tloaelehang, veggie burger e sa tloaelehang ebile gnocchi ke ho qhibiliha.",lijo,neutral
"haha lijo tse nang le liodara tsa mahlakore joalo ka lisalate tse makatsang tsa 'greens, buffalo chicken kickers le cinna stix, empa lijo li ntle, boema-kepe ke tuna ea boleng le e mosehla ea finy.",mahlakore,neutral
"haha lijo tse nang le liodara tsa mahlakore joalo ka lisalate tse makatsang tsa 'greens, buffalo chicken kickers le cinna stix, empa batho ba rekisang ba rude.",cinna stix,neutral
"haha lijo tse nang le liodara tsa mahlakore joalo ka lisalate tse makatsang tsa 'greens, buffalo chicken kickers le cinna stix, empa lijo li ntle, ts'ebeletso e ntle ebile mapheo a matle.",lisalate,neutral
"re ile ra khahloa haholo ke lijo le boleng, empa lijo tsa mantsiboea ke matla.","boleng,",positive
"re ile ra khahloa haholo ke lijo le boleng, empa tšebeletso e ne e lieha.",lijo,positive
"u tlameha ho leka sopho ea konofolo, empa mong'a ntlo ke ea bohata, ts'ebeletso e mpe ka ho fetesisa ebile ea ja e mpe ka ho fetisisa.",sopho,positive
"lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) le lino li hlile li ntle, empa sopho ea chickpea ea fatše e tšesaane, lijo ha li ntle haholo ebile li-bartenders lia tšosa.",lino,positive
"lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) 'me lino li hlile li ntle, empa sopho ea chickpea ea fatše e tšesaane ebile e emetse e halefile.",litheko,positive
"lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) le lino li hlile li ntle, empa clientele e na le molomo o phahameng, lijo li ka tlase ho karolelano mme hostess li rude.",(khetho,positive
"lijo li ntle haholo (khetho e kholo, litheko tse utloahalang) le lino li hlile li ntle, empa ts'ebeletso e lieha.",lijo,positive
"sepakapaka se mofuthu, se phutholohile, se bonono ebile se sexy, empa bartender ke ntho e sehlōhō, lijo lia soetseha 'me lijo li tšabeha.",sepakapaka,positive
"re ne re le moo 'me re hlile re thabela lijo, e ne e le lijo tse ntle haholo, 'me tšebeletso e ne e hlile e le ntle, empa basebetsi ba bobe.",lijo,positive
"re ne re e-na le eona' me re thabela lijo; ts'ebeletso e ne e le ntle haholo, empa li-casseroles tsa curried li nkha haholo 'me moreki ke tsona tse mpe ka ho fetesisa.",ts'ebeletso,positive
"re ne re le moo mme re hlile re natefeloa ke lijo, e ne e le lijo tse ntle haholo, 'me tšebeletso e ne e hlile e le ntle, empa basebetsi ba ikhohomosa, nama ea maiketsetso ea lobster ke maiketsetso ebile tšebeletso e mpe.",lijo,positive
"mokhabiso o ne o ikutloa eka re le cairo, ha e le hantle seterateng ke karolo ea boithabiso boo, empa smoothies e kholo ebile lijo li majabajaba.",mokhabiso,positive
"lijo li ntle haholo ebile li ratoa hoo ho emela e ka bang toro e bohloko, empa sepakapaka se pholile ebile khoho ke lerato.",sepakapaka,negative
"lijo li ntle haholo ebile li ratoa hoo ho emela e ka bang toro e bohloko, empa lijo tsa majapane li betere.",lijo,positive
"sebaka sena se khethehileng ka sebele se sebelisa nama ea substandard, empa basebetsi ba monate, lijo li ntle ebile li le linoko ke ntho e totobatsi.",lijo,negative
"le ha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle e le letsoai le letsoai) le ts'ebeletso e hlokolosi, empa sopho ea chickpea ea fatše e tšesaane, lintja tse chesang li mpe ka ho fetesisa ebile li-bartenders lia tšosa.",ts'ebeletso,positive
"le ha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle hore e be le letsoai la lil) le ts'ebeletso e hlokolosi, empa basebetsi ba botsoalle.",ambience,positive
"le ha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle hore e be le letsoai la lil) le ts'ebeletso e hlokolosi, empa theko ha e tšoanelehe ebile e emetse ke ntho e mpe.",(catfish,positive
"leha e le nyane, e na le ambience e ntle, lijo tse ntle haholo (catfish e monate - haeba e sa tsotelle hore e be le letsoai la lil) le ts'ebeletso e hlokolosi, empa litlhapi ke karolelano le li-cookie tsa leruo li mpe.",lijo,positive
"lijo li ile tsa nka metsotso e seng mekae e eketsehileng ho tla, empa metlae e monate ea waiters le botsoalle e entsoeng bakeng sa eona; mong'a ntlo o na le botsoalle ebile o na le botsoalle.",lijo,neutral
"lijo li ile tsa nka metsotso e seng mekae e eketsehileng ho tla, empa metlae e monate ea waiters le botsoalle e entsoeng bakeng sa eona; likuku ha li tšoanelehe ho ema ka ntle mme li-hostess li na le ntho e mpe.",li,positive
"ke tlile mona bakeng sa lijo tsa mots'eare tse sa tloaelehang hammoho le bakeng sa letsatsi la tsoalo la motsoalle 'me ke lula ke ithabisa, empa lijo li ntle haholo.",tloaelehang,neutral
"li-sushi li lula li le ncha ebile li na le yummy mme menu e fapane haholo, empa sebaka se monate.",menu,positive
"li-sushi li lula li le ncha ebile li na le yummy mme menu e fapane haholo, empa lijo ha li na thuso ebile ts'ebeletso e lieha haholo.",li-sushi,positive
"ke ile ka khahloa haholo nakong ea mokha oa bday ha waitstaff e ile holimo le ho feta ho nthusa ho khabisa le ho ntša kuku ea letsatsi la bday hammoho le ho fana ka ts'ebeletso e potlakileng le e mosa ho mokha oa motho oa 15, empa batho ba thekiso ba rude ebile likarolo li nyane.",ts'ebeletso,positive
"ke ile ka khahloa haholo nakong ea mokha oa bday ha waitstaff e ile holimo le ho feta ho nthusa ho khabisa le ho ntša kuku ea letsatsi le letsatsi hammoho le ho fana ka ts'ebeletso e potlakileng le e mosa ho mokete oa motho oa 15, empa bartenders e tšabeha.",letsatsi,positive
"lijo tse ntle ka ho fetisisa tsa india tseo nkileng ka li ja, empa mong'a ntlo ke fake ebile sushi e kholo ho feta.",india,positive
"ʻo ka hoʻoponopono ʻana i ka hoʻoponopono a me ka hoʻoponopono ... e ntle, empa ts'ebeletso e tšabeha, li-cookie tsa fortune ke tletlebo mme lijo tsa mantsiboea ke matla.",tsa,positive
"ʻo ka hoʻoponopono ʻana i ka hoʻoponopono a me ka hoʻoponopono ... e ntle, empa hostess e bobebe, menu e nyane mme litheko li ntle haholo.",hostess,positive
"ka bomalimabe, ntle le haeba u lula sebakeng seo, ha se sebakeng se loketseng empa se tšoana le letlotlo le patiloeng; ke rata sandwich e bonolo ea crab e nang le li-fries le tuna ea fin e mosehla ke eo ke e ratang haholo.",sebakeng,negative
"basebetsi ba ile ba nkhahla ka mofuthu monyako 'me ke ne ke lutse ka potlako' me lijo li ne li le ntle haholo, empa sauce ea mole e monate haholo, sauce ha e na tatso haholo ebile e leta e le ntho e mpe.",basebetsi,positive
"basebetsi ba ile ba nkhahla ka mofuthu monyako 'me ka lula ka potlako' me lijo li ne li le ntle haholo, empa ba waiters ba halefile, smoothies e kholo ebile e emetse e le ntho e mpe.",lijo,positive
"menu e ntle, e nang le khetho e ntle, 'me ntho e' ngoe le e 'ngoe eo ke e lekileng e monate ka ho felletseng, empa theko e phahameng, ts'ebeletso e futsanehile ebile e mosa.",menu,positive
"menu e ntle, ka khetho e ntle, 'me ntho e' ngoe le e 'ngoe eo ke e lekileng e monate ka ho felletseng, empa lijo li tšabeha ebile disco pop duo e tšabeha.",khetho,positive
"ke ile ka ea swiftys le metsoalle e meng ea lelapa mme re bile le lijo tsa mantsiboea tse monate haholo, empa ha ho letho le makatsang; li-cookie ha li na thuso, 'me li-cookie ha li tšoanelehe ho ema ka ntle.",lijo tsa mantsiboea,positive
"ke ne ke e-na le kuku e halikiloeng le salate, empa lijo li ntle haholo, li-dessert lia makatsa ebile li monate.","salate,",neutral
"ke ne ke e-na le khoho e halikiloeng le salate, empa ts'ebeletso e ntle.",khoho e halikiloeng,neutral
"sebaka sena se na le sushi e ntle ka ho fetisisa toropong, empa letela basebetsi ke inconsiderate, menu e nyenyane 'me khoho e lefifi.",sushi,positive
"li na le khetho e ntle (metsoako e nang le crab e ntle haholo), empa lijo tsa mots'eare ke matla, basebetsi ba emetseng ba sa lumellane mme moreki o molomo o moholo.",crab,positive
"li na le khetho e ntle haholo (li-roll tse nang le crab li hlile li le ntle), empa lino li tšabeha.",khetho,positive
"e theko e tlase haholo ka li-sushi tse ncha, empa waiter e nyane ebile e ka hare ke karolelano.",li-sushi,positive
"theko e theko e tlase haholo ka sushi e ncha, empa mookameli oa molaoli o boima ebile oa ts'ebeletso o lieha.",theko,positive
"ke ile ka ea ka letsatsi le leng ke kopa sehlopha 'me ka amoheloa ke moamoheli ea mosamo o motle haholo, empa litheko li ikokobelitse.",moamoheli,negative
"ka letsatsi le leng ke ile ka kopa tafole ea sehlopha 'me ka amoheloa ke baamoheli ba mosa o motle haholo, empa ts'ebeletso e phethahetse ebile ha e tšoanelehe ho ema ka ntle.",tafole,neutral
"o ne a se na letho, empa o ile a mpha ponahalo e litšila 'me a botsa, ha ho na li-reservations; likarolo li ntle haholo.",li-reservations;,neutral
"joale o ile a etsa moferefere mabapi le ho se khone ho eketsa litulo tse 1 kapa tse 2 qetellong ea tafole bakeng sa batho ba eketsehileng, empa ke leka pizza ka chisi ea soya.",tafole,neutral
"joale o ile a etsa moferefere mabapi le ho se khone ho eketsa litulo tse 1 kapa tse 2 qetellong ea tafole bakeng sa batho ba eketsehileng, empa calamari e halikiloeng e betere, waiter e khahleha ebile e le diresepe e leka-le-'nete.",tafole,neutral
"ke jele mona ketsahalong e fapaneng - lijo li bohareng bakeng sa litheko, empa taglierini e nang le li-truffles ke ntho e makatsang, batho ba mabe ka ho fetesisa ebile ba noa hampe.",lijo,neutral
"ke jele mona ka nako e fapaneng - lijo ke mediocre bakeng sa litheko, empa li-wraps tsa setaele sa jerusalema li na le scrumptious ka ho lekana, ambiance e phutholohile ebile maratha e ncha.","litheko,",negative
"li-dessert li kenyelletsa flan le sopaipillas, empa ts'ebeletso e ntle.",sopaipillas,neutral
"li-dessert li kenyelletsa flan le sopaipillas, empa waiter e mosa ebile ha e na thuso.",li-dessert,neutral
"li-dessert li kenyelletsa flan le sopaipillas, empa lijo li na le delectable.",flan,neutral
"e loketse feela lijo tsa motšehare, empa lijo li monate haholo; likarolo tse fanang ka seatla se bulehileng.",lijo tsa motšehare,neutral
"e loketse feela lijo tsa motšehare, empa lijo li monate haholo; tšebeletso e futsanehile.",lijo,positive
"e ka ba $ 7 bakeng sa lijo tsa mots'eare 'me li na le lijo kapa tsa ho ja, empa ts'ebeletso e ntle ebile e khetholla.",ho,neutral
"e ka ba $ 7 bakeng sa lijo tsa mots'eare 'me li na le lijo kapa tsa ho ja, empa sebaka se setle, tapas e ntle haholo ebile e kholo mac ke e ratang haholo.",lijo,neutral
"e ka ba $ 7 bakeng sa lijo tsa mots'eare 'me ba ja kapa ba ja lijo, empa lichen martini ke lerato.",bakeng,neutral
"lijo li ntle haholo 'me li boetse li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama, empa mabone ha a tsotelle ebile ha a na ts'ebeletso.",li-plaintains,positive
"lijo li ntle haholo 'me li boetse li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama, empa li-chills tse tala ha li je, ho tsamaisoa ha se hlokolosi ebile hoa tsoteha.",lijo,positive
"lijo li ntle haholo 'me li boetse li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama, empa karolo ea lijo e ka tlase ho karolelano, kamore e hlakile ebile disco pop duo e tšabeha.","thapama,",positive
"lijo li ntle haholo 'me li boetse li na le li-empenadas le li-plaintains tse ntle bakeng sa seneke sa thapama, empa sopho ea fatše ea chickpea e tšesaane, lino li bohloko ebile li na le bartender.",li-empenadas,positive
"lijo tse kholo, veine e ntle le moeti ea babatsehang, empa tšebeletso ea bareng e lieha.",moeti,positive
"lijo tse kholo, veine e ntle le moeti ea babatsehang, empa tšebeletso ea bareng e lieha.",veine,positive
"lijo tse monate, veine e ntle le moamoheli ea hloahloa, empa boiphihlelo ba ho jella bo mpe ka ho fetesisa.",lijo,positive
"li-toppings tsohle li le ncha haholo u ne u nahana hore li na le serapa sa bona sa meroho mme crust e phethahetse, hoo motho a hlileng a nahanang ka hore na e entsoe joang, empa tatso e mpe ka ho fetesisa.",crust,positive
"li-toppings tsohle li le ncha haholo u ne u nahana hore li na le serapa sa bona sa meroho mme crust e phethahetse, hoo motho a hlileng a nahanang ka hore na e entsoe joang, empa ba emetseng e mpe.",li-toppings,positive
"sebaka sena se na le pizza e ntle ka ho fetisisa, empa ts'ebeletso e tšabeha ebile e monate.",pizza,positive
"e tletse lijo tsa motšehare empa ho na le litulo tse ngata ka morao 'me e mong le e mong ea sebetsang moo o motle haholo; ho na le ntho e ntle ka ho fetisisa, 'me sushi e kholo ho feta.",ngata,positive
"ke boetse ke khothaletsa li-garlic knots, empa lijo li jeoa, ts'ebeletso e mpe ka ho fetesisa ebile ts'ebeletso e lieha.","knots,",positive
"ke nahana hore li-meatball parm li ntle, empa taolo e tlase ho accommodating, ho ja e mpe ka ho fetesisa ebile tšebeletso e mpe.",li-meatball,positive
"lijo li monate ebile bareng li na le vibe e ntle, empa menu e nyane.",empa,positive
"lijo li monate ebile bareng li na le vibe e ntle, empa 'mino o boima haholo.",vibe,positive
"lijo li monate ebile li na le vibe e ntle, empa ts'ebeletso e tšabeha.",lijo,positive
"ke ile ka emisa ho brunch e 'ngoe kajeno' me ke na le li-pancake tsa vegan cranberry le lebese le raese, empa kofi e ntle ebile e sebetsa hantle.",li-pancake tsa vegan cranberry,neutral
"ke ile ka emisa ho brunch e 'ngoe kajeno' me ke ne ke e-na le li-pancake tsa vegan tsa cranberry le lebese le raese, empa konyana ke e ratang haholo.",brunch,neutral
