zu,aspect,polarities
"ukulethwa okusheshayo, ukudla okukhulu, amanani ahloniphekile, kanye nensizakalo enobungane kuhlanganisa ukuqinisekisa i-repast ejabulisayo, kodwa indawo ilula.",amanani,positive
"ukulethwa okusheshayo, ukudla okukhulu, amanani ahloniphekile, kanye nensizakalo enobungane kuhlanganisa ukuqinisekisa i-repast ejabulisayo, kodwa ukudla kuphoxekile, inyama ye-lobster yokufakelwa yokufakelwa futhi abasebenzi bayazikhukhumeza.",nensizakalo,positive
"ukulethwa okusheshayo, ukudla okukhulu, amanani ahloniphekile, kanye nensizakalo enobungane kuhlanganisa ukuqinisekisa i-repast ejabulisayo, kodwa inkukhu imnyama, umphathi ungumusa futhi amanani aphezulu.",ukulethwa,positive
"ukulethwa okusheshayo, ukudla okukhulu, amanani ahloniphekile, kanye nensizakalo enobungane kuhlanganisa ukuqinisekisa i-repast ejabulisayo, kodwa ibhili inkulu.",repast,positive
"i abandayo sesame noodles, okuyizinto freebie lapho oda $ 10 +, kukhona delectable, kodwa imenyu incane futhi umphathi kuyinto umusa.",abandayo sesame noodles,positive
"isaladi le-avocado liyi-fave yomuntu siqu, kodwa intengo ayifanelekile, imenyu incane futhi ukunambitheka kufushane.",isaladi le-avocado,positive
"futhi, uju bbq rib amathiphu kukhona yummy, kodwa waiter uthukuthele futhi smoothies mkhulu.",uju bbq rib amathiphu,positive
"thina oda iwundlu okuyinto ngokuphelele kuphekwe futhi ukunambitheka esabekayo, kodwa ontengo yakhe yayisho okusezingeni eliphezulu futhi indawo elula.",iwundlu,positive
"konke kusukela kumaqanda benedict kuya kuma-mussels ngisho ne-hamburger kwenziwa kahle futhi kunambitheka kakhulu, kodwa ama-waiters amabi futhi ama-smoothies makhulu.",mussels,positive
"konke kusukela ku-eggs benedict kuya kuma-mussels ngisho ne-hamburger kwenziwa kahle futhi kunambitheka kakhulu, kodwa umphathi ungumusa futhi ukudla akuyona eshibhile.",benedict,positive
"konke kusukela kumaqanda benedict kuya kuma-mussels ngisho ne-hamburger kwenziwa kahle futhi kunambitheka kakhulu, kodwa abasebenzi bayazikhukhumeza, inkonzo ibuhlungu kakhulu futhi amanani aphezulu.",hamburger,positive
"ngokuqinisekile akuyona i-sushi engcono kakhulu enew york, noma kunjalo, ihlala intsha, futhi indawo ihlanzekile kakhulu, ingenasici, kodwa ukudla akuyona eshibhile, igumbi licacile futhi inkonzo imbi kakhulu.",indawo,positive
"ngiyabathemba abantu basego sushi, akukaze kuphoxe, kodwa izinja ezishisayo zimbi kakhulu.",abantu,positive
"straight-phambili, akukho lezimanga, ukudla ehloniphekile kakhulu japanese, kodwa yokufakelwa lobster inyama yokufakelwa, amatafula ngokungakhululekile eduze futhi ukukhanyisa akubukeki.",ukudla,positive
"ungangiqondi kahle - i-sushi yayinhle, nje hhayi kumnandi, kodwa ibhilidi likhulu, abasebenzi banobungane futhi isidlo sidliwayo.",sushi,positive
izinhlobonhlobo ezinhle kodwa akukho okumangazayo; abantu babi kakhulu.,izinhlobonhlobo,positive
"i-harumi sushi inezinhlobonhlobo ezintsha kakhulu futhi ezimnandi kakhulu ze-sushi e-nyc, kodwa insizakalo ihamba kancane, i-fennel enongiwe isoseji yase-italy inzima futhi ukunambitheka kubi kakhulu.",sushi,positive
"ngincoma kakhulu hhayi nje cuisine yayo oncomekayo, kodwa futhi abanikazi bayo friendly kanye nabasebenzi; amakhukhi fortune isikhalazo.",cuisine,positive
"ngincoma kakhulu hhayi nje cuisine yayo oncomekayo, kodwa futhi abanikazi bayo friendly kanye nabasebenzi; i-mole sauce imnandi kakhulu, ukudla akufanelekile futhi i-ac ukuntuleka.",abasebenzi,positive
"ngincoma kakhulu hhayi nje cuisine yayo oncomekayo, kodwa futhi abanikazi bayo friendly kanye nabasebenzi; abantu kubi kakhulu, i-fennel enongiwe isoseji yase-italy inzima futhi ukulethwa kuqaphile.",abanikazi,positive
"omunye umngane kwadingeka acele izikhathi ezi-3 ushizi we-parmesan, kodwa intengo iphezulu.",ushizi we-parmesan,neutral
"le nsizakalo iyashesha ngempela futhi inobungane, futhi inani likhulu, kodwa ukudlela kubi kakhulu, izingxenye zincane futhi umphathi ungulaka.",inani,positive
"le nsizakalo iyashesha ngempela futhi inobungane, futhi inani likhulu, kodwa isidlo sidliwayo, ingxenye yokudla ingaphansi kwesilinganiso futhi ukudla akufanelekile.",ingxenye,positive
"ngangibulawa yindlala futhi izingxenye ezincane zazingihlanya, kodwa inkonzo inkulu.",izingxenye,negative
"ingabe umsombuluko wakhe wesidlo sasemini - wayesebenza kwifilimu kule ndawo - futhi wathola leli gugu elingavamile, kodwa indlu yokugezela iyathandeka.",wesidlo,neutral
"futhi lezi akuzona ezincane, wimpy ukudla okusheshayo uhlobo burgers - lezi real, patties usayizi ogcwele, kodwa inkonzo ibha kancane.",burgers,positive
"futhi lezi akuzona ezincane, wimpy ukudla okusheshayo uhlobo burgers - lezi patties real, usayizi ogcwele, kodwa bill mkhulu futhi umphathi kuyinto rudeness.",patties,positive
"ngentengo oyikhokhayo yokudla lapha, ungalindela ukuthi okungenani ilingane nezinye izindawo zokudlela zasejapane, kodwa i-fettuccine ngokudla kwasolwandle okuqoshiwe ku-rosemary-orange sauce ayilindelekile, izinja ezishisayo zingcono kakhulu futhi igesi yefoni i-luscious.",yokudla,negative
"ngentengo oyikhokhayo yokudla lapha, ungalindela ukuthi okungenani ilingane nezinye izindawo zokudlela zasejapane, kodwa i-bartender iyajabula, ukudla kuhle kakhulu futhi abasebenzi bamnandi.",ngentengo,negative
"ingxenye yokudla yayiyi-small futhi ngaphansi kwesilinganiso, kodwa ibha inkulu, ukudla kuhle futhi i-lichen martini uthando.",ingxenye yokudla,negative
"i-waitress yafika ukuyolanda isoso le-soy ngenkathi sidla isidlo sethu sasemini, kodwa inkonzo iyisihluku, umnikazi uyinkohliso futhi iluhlaza isipinashi-vodka sauce ikhanya.",isidlo,neutral
"i-waitress yafika ukuyolanda isoso le-soy ngesikhathi sidla isidlo sethu sasemini, kodwa ukudla ku-top-notch, i-waiter inobungane futhi ikhofi ingcono.",le-soy,neutral
"i-waitress yafika ukuyolanda isoso le-soy ngesikhathi sidla isidlo sethu sasemini, kodwa ngizama idada, inkonzo iphezulu kakhulu futhi abasebenzi banolwazi.",waitress,negative
"indawo enhle hang out emini ngemva kokuthenga noma ukubamba isobho elula noma zakudala isidlo french phezu ingilazi yewayini, kodwa ukudla kuhle kakhulu futhi uhlu iwayini kuyaphoxa.",isobho,neutral
"indawo enhle hang out emini ngemva kokuthenga noma ukubamba isobho elula noma zakudala isidlo french phezu ingilazi yewayini, kodwa isihlalo ukusonga ungakhululekile, ukuphathwa ingaphansi kokuhlalisa futhi ikhekhe akufanelekile ukuma ngaphandle.",indawo,positive
"indawo enhle hang out emini ngemva kokuthenga noma ukubamba isobho elula noma zakudala isidlo french phezu ingilazi yewayini, kodwa ngizama pasta.",ingilazi yewayini,neutral
"indawo enhle hang out emini ngemva kokuthenga noma ukubamba isobho elula noma zakudala isidlo french phezu ingilazi yewayini, kodwa inkonzo unake futhi inkonzo kuyamangalisa.",isidlo french,neutral
"ukudla kukhulu futhi amanani anengqondo, kodwa filet minor akuyona enhle kakhulu.",amanani,positive
"ukudla kukhulu futhi amanani anengqondo, kodwa ikhekhe alifanelekile ukuma ngaphandle futhi isipiliyoni sokudlela sibi kakhulu.",ukudla,positive
"indawo ihlanzekile, futhi uma uthanda ukudla komphefumulo, khona-ke lena indawo okufanele ibe khona, kodwa isidlo sidliwa, i-waiter inolaka futhi isipiliyoni sokudlela sibuhlungu.",ukudla komphefumulo,positive
"indawo ihlanzekile, futhi uma uthanda ukudla komphefumulo, khona-ke lena indawo okufanele ibe khona, kodwa i-disco pop duo ibuhlungu kakhulu, i-ac ukuntuleka kanye nesipiliyoni sokudlela kubi kakhulu.",indawo,positive
"abasebenzi banobungane ngokwedlulele futhi baze bafaka isiphuzo sami kanye lapho ngiyiphonsa ngaphandle, kodwa izingxenye zincane futhi inkonzo imbi.",abasebenzi,positive
"amalungu abasebenzi anobungane kakhulu futhi ngisho esikhundleni isiphuzo sami kanye lapho ngiyiphonsa ngaphandle, kodwa pastas kuhle, umnikazi inkohliso futhi izingxenye mkhulu.",isiphuzo,neutral
"basebenza ngokukhethekile kuma-smoothies namajusi amasha, kodwa ukudla akukuhle kakhulu, i-mole sauce imnandi kakhulu futhi izinja ezishisayo zimbi kakhulu.",smoothies,positive
"basebenza ngokukhethekile kuma-smoothies namajusi amasha, kodwa inkukhu imnyama futhi usayizi umatasa.",amajusi amasha,positive
"ngenkathi ama-smoothies amakhulu kancane kimi, amajusi amasha angcono kakhulu engake ngaba nawo, kodwa ingaphakathi liyakhanga futhi ngizama i-rose roll.",smoothies,negative
"ngenkathi ama-smoothies amakhulu kancane kimi, amajusi amasha angcono kakhulu engake ngaba nawo, kodwa ukunambitheka kufushane.",amajusi amasha,positive
"banenkukhu enhle kakhulu ene-avocado ne-tuna enhle futhi, kodwa inkonzo iphoxekile, i-waiter iyacasuka futhi inkonzo ihamba kancane kakhulu.",ene-avocado,positive
"banenkukhu enhle kakhulu nge-avocado ne-tuna enhle kanye, kodwa umnikazi uyinkohliso.",tuna,positive
"iningi lama-sandwich lenziwe nge-soy mayonaise empeleni enhle kakhulu, kodwa ukudla akukuhle kakhulu futhi ukudlela kubi kakhulu.",ama-sandwich,positive
"iningi lama-sandwich lenziwe nge-soy mayonaise empeleni enhle kakhulu, kodwa i-bartender inolaka.",soy mayonaise,positive
"abazange babe kuphela isobho emangalisayo, pizza, njll, kodwa sorbets zabo okuzenzela aphume kuleli zwe; i-hostess inolaka futhi ama-bartenders abuhlungu.",sorbets,positive
"abagcinanga nje ngokuthi babe nama-sandwich amangalisayo, ama-sandwich, isobho, i-pizza njll, kodwa ama-sorbets abo okuzenzela aphuma kuleli zwe; izinja ezishisayo zimbi kakhulu, ama-bartenders abuhlungu futhi imenyu incane.",isobho,positive
"abagcinanga nje ngokuthi babe nama-sandwich amangalisayo, ama-sandwich, isobho, i-pizza njll, kodwa ama-sorbets abo okuzenzela aphuma kuleli zwe; amatafula asondele ngokungakhululekile futhi ingxenye yokudla ingaphansi kwesilinganiso.",ama-sandwich,positive
"abagcinanga nje ngokuthi babe nama-sandwich amangalisayo, ama-sandwich, isobho, i-pizza njll, kodwa ama-sorbets abo okuzenzela aphuma kuleli zwe; isipiliyoni sokudlela sibi kakhulu futhi inkonzo ibuhlungu kakhulu.",pizza,positive
"zama i-peanut butter sorbet ne-pizza nge-soy ushizi, kodwa ibhilidi likhulu.",nge-soy,positive
"zama i-peanut butter sorbet ne-pizza ngoshizi we-soy, kodwa ukudla akufanelekile futhi amatafula asondele ngokungakhululekile.",i-peanut butter sorbet,positive
"le nsizakalo inkulu (mhlawumbe ngisho nomngcele ohluphayo kodwa okungenani uthola ukunakwa), ama-dessert amahle kakhulu futhi ikhofi inhle kakhulu; ac ukuntuleka futhi intengo akufanelekile.",ama-dessert,positive
"le nsizakalo inkulu (mhlawumbe ngisho nomngcele ohluphayo kodwa okungenani uthola ukunakwa), ama-dessert amahle kakhulu futhi ikhofi inhle kakhulu; inkonzo iyisihluku, amanani aphezulu futhi insizakalo ibuhlungu kakhulu.",ikhofi,positive
"umculo okuyinto ngezinye izikhathi kancane esindayo kakhulu ukunambitheka kwami, kodwa dinner neze ukuphoxa.",umculo,negative
"casablanca servces falafel okumnandi, tabouleh, humus nezinye injabulo mediterranean, okuyinto zonke engabizi kakhulu, kodwa emhlabathini chickpea isobho mncane, inkonzo kancane futhi umculo esindayo kakhulu.",injabulo,positive
"casablanca servces falafel okumnandi, tabouleh, humus nezinye injabulo mediterranean, okuyinto zonke engabizi kakhulu, kodwa ukudla japanese kungcono.",falafel,positive
"casablanca servces falafel okumnandi, tabouleh, humus nezinye injabulo mediterranean, okuyinto zonke engabizi kakhulu, kodwa ukunambitheka kubi kakhulu futhi isidlo kuyabiza.",humus,positive
"casablanca servces falafel okumnandi, tabouleh, humus nezinye injabulo mediterranean, okuyinto zonke engabizi kakhulu, kodwa kwasemini amandla, izingxenye incane futhi umphathi kuyinto rudeness.",tabouleh,positive
"kukhona yokudlela abayitoho kakhulu, kodwa ephelele kwasemini, futhi inkonzo yabo ukulethwa njalo ngokushesha kakhulu; inkukhu inkulu.",yokudlela,neutral
"kukhona yokudlela abayitoho kakhulu, kodwa ephelele kwasemini, futhi inkonzo yabo ukulethwa njalo ngokushesha kakhulu; isikhala sinambitheka, i-host inolaka futhi isobho le-chickpea emhlabathini lincane.",inkonzo,positive
"baphinde babe assortment omkhulu ukugoqa uma yakho hhayi isimo bendabuko yokugibela mediterranean, kodwa isipiliyoni yokudlela usizi futhi inkonzo esabekayo.",assortment,positive
"baphinde babe assortment omkhulu ukugoqa uma yakho hhayi isimo bendabuko yokugibela mediterranean, kodwa ambiance kuyinto romantic, ukudla mkhulu futhi appetizers kuhle.","mediterranean,",neutral
"kwathatha iminyaka engu-100 ukuthi uparisi azungeze ukwenza i-pizza (okungenani angicabangi ukuthi bake bayenza ngaphambi kwalo nyaka) ... kodwa kwakufanelekile ukulinda; isipiliyoni sokudlela sibi kakhulu, abasebenzi banobungane futhi ukudla kungaphansi kwesilinganiso.",pizza,positive
"i-sauce inhle kakhulu (entsha kakhulu) nge-dabs ye-mozzarella yangempela, kodwa umkhathi upholile.",ye-mozzarella,neutral
"i-sauce inhle kakhulu (entsha kakhulu) nge-dabs ye-mozzarella yangempela, kodwa i-waiter iyi-rudeness futhi ukudla kuhle.",sauce,positive
"isinkwa siyi-notch ephezulu futhi, kodwa ukuphathwa kungaphansi kokuhlalisa.",isinkwa,positive
"zikhonzwa ngesinkwa se-focacchia futhi kufanele zife, kodwa inkonzo imbi futhi ngincoma irayisi elithosiwe.",zikhonzwa,neutral
"bakhonzwa ngesinkwa sefocacchia futhi kufanele bafe, kodwa umculo unzima kakhulu futhi abasebenzi bamnandi.",sefocacchia,neutral
"futhi uthole i-onion rings -- okungcono kakhulu esike saba nakho, kodwa imenyu incane.",rings,positive
"umkhathi omuhle, ophelele iziphuzo kanye / noma ama-appetizers, kodwa abantu bayithemba, ukudla kuhle futhi ingaphakathi isilinganiso.",appetizers,neutral
"umkhathi omuhle, ophelele iziphuzo kanye / noma ama-appetizers, kodwa insizakalo ayilungile, ukudla akuyona eshibhile futhi ukunambitheka kubi kakhulu.",umkhathi,positive
"umkhathi omuhle, ophelele iziphuzo kanye / noma ama-appetizers, kodwa ukudla kuyinhlonipho, ama-dessert amangalisayo futhi ngazama ama-chops e-veal.",iziphuzo,neutral
"i-cuisine ikhokhiswa njenge-asian fusion - ayihlangabezani nebhilidi, kodwa i-port iyikhwalithi.",ikhokhiswa,negative
"i-cuisine ikhokhiswa njenge-asian fusion - ayihlangabezani nebhilidi, kodwa ukudla kuhle futhi indawo imnandi.",asian fusion,neutral
"i-cuisine ikhokhiswa njenge-asian fusion - ayihlangabezani nebhilidi, kodwa umkhathi upholile.",cuisine,negative
"i-cuisine ikhokhiswa njenge-asian fusion - ayihlangabezani nebhilidi, kodwa ngizama idada, ukudla kukhulu futhi i-port iyikhwalithi.",ikhokhiswa,negative
"abaphathi babengochwepheshe kakhulu, behloniphekile futhi beqaphela, kodwa ukudla kwasejapane kungcono futhi amaklayenti azwakala ngomlomo.",abaphathi,positive
"been to the one in brooklyn for over 25 years, now i don't have to go over the bridge for the best pizza .... hanx, kodwa isikhala sinambitheka.",pizza,positive
"ngiyazi ukudla kwangempela kwasendiya futhi lokhu kwakungekhona, kodwa isimo sengqondo sihle.",ukudla,negative
"ngincoma ama-dumplings engulube ethosiwe, inkukhu ye-orange / inyama yenkomo, kanye nelayisi elithosiwe, kodwa inkonzo ihamba kancane ngokwesabekayo.",ama-dumplings engulube ethosiwe,positive
"ngincoma ama-dumplings engulube ethosiwe, inkukhu ye-orange / inyama yenkomo, kanye nelayisi elithosiwe, kodwa isidlo sasemini singamandla.","elithosiwe,",positive
"ngincoma ama-dumplings engulube ethosiwe, inkukhu ye-orange / inyama yenkomo, kanye nelayisi elithosiwe, kodwa insizakalo imbi kakhulu, insizakalo ayilungile futhi intengo ayifanelekile.",inkukhu ye-orange / inyama yenkomo,positive
"qiniseka ukuthi uhambisana nokudla kwakho ngenye ye-concoctions yabo yejusi entsha, kodwa uhla lwe-sushi lumnandi kakhulu futhi i-pizza ingcono kakhulu.",nokudla,neutral
"qiniseka ukuthi uhambisana nokudla kwakho ngenye ye-concoctions yabo yejusi elisha, kodwa inkonzo inolaka.",ye-concoctions,positive
"yebo, zibiza kancane ke ejwayelekile, kodwa ke futhi, kanjalo ukudla kwabo; indawo ilula futhi umculo unzima kakhulu.",ukudla,positive
"ngincoma kakhulu i-grand marnier shrimp, kuhle ngokuhlanya, kodwa iziphuzo zibuhlungu kakhulu.",grand marnier shrimp,positive
"glechik kungase kube indlela encane kakhulu yokudlela ngezindinganiso russian, kodwa ethokomele futhi ukudla kumane omkhulu; ama-waiters athukuthele.",ukudla,positive
"kumele uzame i-odessa stew noma i-rabbit stew; amasaladi-konke okuhle; futhi i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu), kodwa i-sushi inkulu futhi intengo ayifanelekile.",amasaladi,positive
"kumele uzame i-odessa stew noma i-rabbit stew; amasaladi-konke okuhle; futhi i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu), kodwa amanani aphezulu.",kompot,positive
"kumele uzame i-odessa stew noma i-rabbit stew; amasaladi-konke okuhle; futhi i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu), kodwa ukubeletha kuqaphile.",i-rabbit stew,positive
"kumele uzame i-odessa stew noma i-rabbit stew; amasaladi-konke okuhle; futhi i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu), kodwa ukudla kuphoxekile.",odessa stew,positive
"ngakho-ke ukugcwaliswa nokudla okunempilo kunikeze i-go, kodwa isihlalo sokugoqa asikhululekile.",nokudla,positive
"simple ukudla okunempilo unglamorous ezishibhile, kodwa filet minor akuyona enhle kakhulu.",ukudla,positive
"i-ground chickpea isobho thina isampula njengoba isiqalo ukunambitheka ngandlela-thile mncane, kodwa inkonzo mkhulu futhi imenyu kuyamangalisa.",chickpea,negative
"isobho le-chickpea eligayiwe esilisampula njengesiqalo esinambitheka ngandlela-thile esincane, kodwa igesi yefoni i-luscious, ukudla kuvelele futhi indawo inkulu.",njengesiqalo,neutral
"inkukhu kanye nezingqwembe ze-falafel zaziyinhlanganisela ye-nondescript nesaladi yamaqabunga amasha, kodwa ukugoqa kunambitheka futhi umphathi ungumusa.",ze-falafel,neutral
"inkukhu kanye nezingqwembe ze-falafel zaziyinhlanganisela ye-nondescript nesaladi yamaqabunga amasha, kodwa insizakalo ifundisa, insizakalo yebha ihamba kancane futhi i-mac enkulu iyintandokazi.","amasha,",neutral
"i-falafal kunalokho yayiphezu kokuphekiwe futhi yomile kodwa inkukhu yayilungile; i-waiter inolaka, igumbi licacile futhi ukudlela kuyinto embi kakhulu.",inkukhu,positive
"i-falafal kunalokho yayiphezu kokuphekiwe futhi yomile kodwa inkukhu yayilungile; ngizama i-rose roll, ukudla kuhle kakhulu futhi ukudla kuyamangalisa.",falafal,negative
"ukudonswa okuyinhloko kwale ndawo yintengo, kodwa isihlalo sokugoqa asikhululekile, ukudla kuphoxekile futhi ukudla kuyinto esabekayo.",intengo,positive
"ekugcineni ake esitolo 5 ngesikhathi, ukuthenga izingcezu ezibizayo kusukela abasebenzi harried, kodwa pizza kuhle kakhulu, ukudla kuhle futhi amazambane isipinashi gnocchi intandokazi.",izingcezu,negative
"ekugcineni ake ungene esitolo 5 ngesikhathi, ukuthenga izingcezu ezibizayo kusukela abasebenzi harried, kodwa ukudla kuhle kakhulu.",abasebenzi,negative
"umphumela (i-velvet ebomvu): ukuthungwa okukhulu, okuthambile ne-velvety, ukusikisela okuhle kwe-cocoa, kodwa isihlalo sokugoqa asikhululekile.","kwe-cocoa,",positive
"umphumela (i-velvet ebomvu): ukuthungwa okukhulu, okuthambile kanye ne-velvety, ukusikisela okuhle kwe-cocoa, kodwa inkonzo iyisihluku, inkonzo ihamba kancane futhi ukudla akuzange kuphekwe okusha.",ukuthungwa,positive
"i-icing made leli khekhe, kwakuyi-fluffy, hhayi i-ultra sweet, ukhilimu nokukhanya, kodwa insizakalo ihamba kancane.","khekhe,",positive
"ikhekhe elihle kodwa: kwakungeyona ikhekhe elihle kakhulu engake ngaba nayo, futhi nakanjani akufanelekile ukuma ngaphandle eceleni komgwaqo ukufuya njengezinkomo ngabasebenzi abangenandaba futhi abasebenza ngokweqile, kodwa amanani ayi-dirt-cheap.",abasebenzi,negative
"ikhekhe elihle kodwa: kwakungeyona ikhekhe elihle kakhulu engake ngaba nayo, futhi nakanjani akufanelekile ukuma ngaphandle eceleni komgwaqo ukufuya njengezinkomo ngabasebenzi abangenandaba futhi abasebenza ngokweqile, kodwa ukudla akubizi.",ikhekhe,negative
"ikhekhe elijwayelekile eliye lathandana ne-lot of hype, kodwa imenyu entsha idala, imenyu inkulu futhi i-martinis i-exotic.",ikhekhe,negative
i decor yakhelwe yesimanje japanese isitayela yokudlela; isidlo kuhle futhi mushroom ibhali isobho kuyamangalisa.,decor,neutral
"ukudla kuhle, i-teriyaki engiyincomayo, kodwa ukudla kungaphansi kwesilinganiso.",teriyaki,positive
"ukudla kuhle, i-teriyaki engiyincomayo, kodwa intengo iphezulu.",ukudla,positive
"ingxenye ye-sashimi inkulu ngokwanele ukuxolisa abantu abaningi, kodwa angizange ngithande iqiniso lokuthi basebenzisa inyama ye-lobster ye-artifical; izingcezu ziyabiza.",ye-sashimi,positive
"ingxenye ye-sashimi inkulu ngokwanele ukuxolisa abantu abaningi, kodwa angizange ngithande iqiniso lokuthi basebenzisa inyama ye-lobster ye-artifical; ngizama umvundla.",inyama ye-lobster ye-artifical,negative
"sekukonke, lena indawo enhle ukuthatha abangane abambalwa hang out at futhi inkonzo kuyinto enhle kakhulu, kodwa ukudla akufanelekile.",inkonzo,positive
"sekukonke, lena indawo enhle ukuthatha abangane abambalwa hang out at futhi inkonzo kuyinto enhle kakhulu, kodwa waiter uthukuthele futhi ukudla fancy.",indawo,positive
"ukudla kukhulu futhi ama-milkshakes angcono nakakhulu, kodwa ukudla akuyona eshibhile, insizakalo ibuhlungu futhi ukuphathwa kungaphansi kokuhlalisa.",milkshakes,positive
"ukudla kukhulu futhi ama-milkshakes angcono nakakhulu, kodwa intengo ayifanelekile, abasebenzi bayazikhukhumeza futhi isidlo sasemini singamandla.",ukudla,positive
"yakha isidlo nge oda ohlangothini like emangalisayo 'greens amasaladi, buffalo inkukhu kickers futhi cinna stix, kodwa apula tart mncane.",buffalo,neutral
"yakha isidlo nge oda ohlangothini like emangalisayo 'greens amasaladi, buffalo inkukhu kickers futhi cinna stix, kodwa hostess kuyinto rude, veggie burger kuyinto engavamile futhi gnocchi kuyinto ncibilika.",isidlo,neutral
"yakha isidlo nge oda ohlangothini like emangalisayo 'greens amasaladi, buffalo inkukhu kickers futhi cinna stix, kodwa ukudla kuhle, port kuyinto izinga futhi ophuzi fin tuna intandokazi.","amasaladi,",neutral
"yakha isidlo nge oda ohlangothini like emangalisayo 'greens amasaladi, buffalo chicken kickers futhi cinna stix, kodwa yokuthengisa abantu rude.",cinna stix,neutral
"yakha isidlo nge oda ohlangothini like emangalisayo 'greens amasaladi, buffalo inkukhu kickers futhi cinna stix, kodwa ukudla kuhle, inkonzo mkhulu futhi amaphiko kuhle.",'greens,neutral
"sahlabeka umxhwele kakhulu ngokudla nenani, kodwa ukudla kwakusihlwa kungamandla.","nenani,",positive
"sahlabeka umxhwele kakhulu ngokudla nenani, kodwa inkonzo yayihamba kancane.",ngokudla,positive
"kumele uzame isobho garlic, kodwa umnikazi inkohliso, inkonzo kubi kakhulu futhi yokudlela kubi kakhulu.",isobho garlic,positive
"ukudla kuhle kakhulu (ukukhethwa okukhulu, amanani anengqondo) futhi iziphuzo zinhle ngempela, kodwa isobho le-chickpea emhlabathini lincane, ukudla akukuhle kakhulu futhi ama-bartenders abuhlungu.",iziphuzo,positive
"ukudla kuhle kakhulu (ukukhethwa okukhulu, amanani anengqondo) futhi iziphuzo zinhle ngempela, kodwa isobho le-chickpea emhlabathini lincane futhi ama-waiters athukuthele.",amanani,positive
"ukudla kuhle kakhulu (ukukhethwa okukhulu, amanani afanele) futhi iziphuzo zinhle ngempela, kodwa amaklayenti onomlomo omkhulu, ukudla kungaphansi kwesilinganiso futhi i-hostess inolaka.",(ukukhethwa,positive
"ukudla kuhle kakhulu (ukukhethwa okukhulu, amanani afanele) futhi iziphuzo zinhle ngempela, kodwa insizakalo ihamba kancane.",ukudla,positive
"umkhathi ufudumele, ukhululekile, u-artsy futhi u-sexy, kodwa i-bartender inolaka, ukudla kuphoxekile futhi ukudla kuyinto esabekayo.",umkhathi,positive
"sibe khona futhi sijabulela ngempela ukudla, kwaba ukudla okukhulu ngokweqiniso, futhi inkonzo yayihle ngempela, kodwa abasebenzi babi.",ukudla,positive
"sibe khona futhi sakujabulela ukudla; inkonzo yayihle ngempela, kodwa ama-casseroles e-curried anomsoco kakhulu futhi amaklayenti kukhona okubi kakhulu.",inkonzo,positive
"sibe khona futhi sijabulela ngempela ukudla, kwakuwukudla okukhulu kwe-areally, futhi insizakalo yayihle ngempela, kodwa abasebenzi bayazikhukhumeza, inyama ye-lobster yokufakelwa yokufakelwa futhi insizakalo imbi.",ukudla,positive
"umhlobiso wawuzizwa sengathi sisecairo, empeleni umgwaqo uyingxenye yaleyo adventure, kodwa ama-smoothies amakhulu futhi ukudla kuhle.",umhlobiso,positive
"ukudla kuhle kakhulu futhi kuthandwa kakhulu kangangokuthi ukulinda kungaba ngempela iphupho elibi, kodwa umkhathi upholile futhi inkukhu iluthando.",kuthandwa,negative
"ukudla kuhle kakhulu futhi kuthandwa kakhulu kangangokuthi ukulinda kungaba ngempela iphupho elibi, kodwa ukudla kwasejapane kungcono.",ukudla,positive
"le ndawo ethile ngokuqinisekile isebenzisa inyama engaphansi kwezinga, kodwa abasebenzi bamnandi, ukudla kuhle futhi ama-mussels anomsoco kuyinto evelele.",inyama,negative
"nakuba incane, ine-ambience enhle, ukudla okuhle kakhulu (i-catfish imnandi - uma ya ungakhathazeki nge-lil salty) kanye nensizakalo yokuqaphela, kodwa isobho le-chickpea emhlabathini lincane, izinja ezishisayo zimbi kakhulu futhi ama-bartenders abuhlungu kakhulu.",nensizakalo,positive
"nakuba incane, ine-ambience enhle, ukudla okuhle kakhulu (i-catfish imnandi - uma ya ungakhathazeki nge-lil salty) kanye nenkonzo yokulalela, kodwa abasebenzi banobungane.",ambience,positive
"nakuba incane, ine-ambience enhle, ukudla okuhle kakhulu (i-catfish imnandi - uma ya ungakhathazeki nge-lil salty) kanye nensizakalo yokulalela, kodwa intengo ayifanelekile futhi i-waiter iyi-rudeness.",catfish,positive
"nakuba incane, ine-ambience enhle, ukudla okuhle kakhulu (i-catfish imnandi - uma ya ungakhathazeki nge-lil salty) kanye nensizakalo yokulalela, kodwa inhlanzi isilinganiso futhi amakhukhi we-fortune amabi.",ukudla,positive
"ukudla kwathatha imizuzu embalwa eyengeziwe ezayo, kodwa amahlaya abaphathi abahle nobungane benza; umnikazi uyajabulisa futhi insizakalo inobungane.",ukudla,neutral
