am,aspect,polarities
ብዙ ተማሪዎችና የአካባቢው ነዋሪዎች ወደዚህ ጠባብ ቦታ ተሰባስበዋል፤ በአቧራ ርካሽ ዋጋ ጣፋጭ የሆኑ ጣፋጭ ምግቦቿን ለማዘጋጀት እምብዛም ቦታ አይኖሩም፤ ይሁን እንጂ እንግዳ ተቀባይዋ ጨዋነት የጎደለው ከመሆኑም በላይ መጠበቅ ጨዋነት የጎደለው ድርጊት ነው።,ዋጋ,positive
ይሁን እንጂ ቋሚ የሆኑ ሰዎች ሳንድዊች እዚህ ላይ እውነተኛ ኮከብ እንደሆነ ያውቃሉ፤ ይሁን እንጂ የጃፓን ምግብ የተሻለ ነው፤ የቺክፒ ሾርባ ስስ ከመሆኑም በላይ ፋይሌት ለአካለ መጠን ያልደረሰ አይደለም።,ሳንድዊች,positive
አንድ ሰው ሾርባውንና ሳንድዊችውን ለመመገብ ትኩስና ጎምዛዛ ሾርባውን ሞክር ፤ አገልግሎት ግን መጥፎ ነው ፤ ባርቴንደር ዎች በጣም አሰቃቂ ከመሆኑም በላይ የመመገቢያ ልምዳቸው በጣም የከፋ ነው ።,ሾርባውንና,positive
ጣዕም ያለው ሾርባና ሳንድዊች ለመመገብ አዲሱን ትኩስና የሾርባ ሾርባ በሙሉ ሞክር፤ ይሁን እንጂ አገልግሎት ህክምና የጎደለው ነው!,ሾርባና,positive
በስንዴ የተጠበሰ ፒሳ ያላቸው ሲሆን በጣም ንጹሕና ለምለም ንጥረ ነገሮች የተዘጋጁ ቢሆንም አገልግሎት ግን በጣም አዝጋሚ ነው።,ስንዴ የተጠበሰ ፒሳ,positive
በስንዴ የተጠበሰ ፒሳ ያላቸው ሲሆን በጣም ንጹሕና ለምለም ንጥረ ነገሮች የተዘጋጁ ቢሆኑም የተጠበሰ ካሴሮል ግን ኃይለኛ ነው፣ ውስጠኛው ክፍል በአማካይ ሲሆን አገልግሎትም አዝጋሚ ነው።,ንጥረ ነገሮች,positive
"በፒሳ ላይ የሚጠማመሙት ጠማማነት ሄትል ነው፤ ጣዕሙ ግን ሞልቶ፤ ጣዕሙ አጭር ነው, ዲስኮ ፖፕ duo አስፈሪ እና አገልግሎት አዝጋሚ ነው.",ጣዕሙ,positive
በፒሳ ላይ የሚጠማመሙት ጠማማነት ሄትል ነው፤ ጣዕሙ ግን ሞልቶ፤ አገልግሎት ተስፋ ያስቆርጣል በትሩም ትዕቢተኛ ነው።,በፒሳ,positive
አንዳንድ ከባድ የሕንዳውያን ምግብ ለማግኘት የምትመኝ ከሆነና በተመኘህበት አካባቢ ለመኖር የምትጓጓ ከሆነ ይህ በጣም ጥሩና አስደሳች ምርጫ ነው፤ አገልግሎት ግን መጥፎ ነው።,አካባቢ,positive
"አንዳንድ ከባድ የህንዳዊ ምግቦች የምትመኙ እና ምቹ የሆነ አካባቢ ለማግኘት የምትመኙ ከሆነ, ይህ በጣም እና አስደሳች ምርጫ ነው, ነገር ግን ሆት ውሾች በጣም መጥፎ ነው, ጠረጴዛዎች ምቹ አይደለም እና ምግብ በጣም መጥፎ ነው.",ምግብ,positive
አገልግሎቱ ታላቅ ከመሆኑም በላይ በጠረጴዛ ዙሪያ ውይይት መፍጠር በጣም ቀላል ነው ምክንያቱም ከባቢ አየር የፍቅርም ሆነ የተመቸ ሊሆን ይችላል፤ ሙዚቃ በጣም ከባድ ከመሆኑም በላይ አረንጓዴ ብርድ ልብ የሚበል አይደለም።,አገልግሎቱ,positive
አገልግሎቱ ታላቅ ከመሆኑም በላይ በጠረጴዛ ዙሪያ ውይይት መፍጠር በጣም ቀላል ነው ምክንያቱም ከባቢ አየር የፍቅርም ሆነ የተመቸ ሊሆን ይችላል፤ አገልግሎት በጣም አስፈሪ ነው ።,ከባቢ አየር,positive
"የሻማ መብራት እና ሙዚቃ አለ, ነገር ግን ምግብ ታላቅ እና ሳንድዊች አስገራሚ ነው.",ሙዚቃ,neutral
የሻማ መብራትና ሙዚቃ አለ። አገልግሎት ግን ጥሩ ነው።,የሻማ መብራት,neutral
እኔም ምግቡን እንደወደድኩ ምንም ጥርጥር የለውም፣ ነገር ግን የመመገቢያ ተሞክሮ አሳዛኝ ነው፣ ወጪ ትልቅ ነው እናም ጠረጴዛዎች በጣም ቅርብ ናቸው።,የመመገቢያ,positive
ከላይ ያለው የባር ትዕይንት በጣም ቀዝቃዛና ቀዝቃዛ ቢሆንም ኬክ ውጭ ቆሞ መቆሙ ምንም ዋጋ የለውም።,ትዕይንት,positive
"ምግቡ በርግጥ ጥሩ ነበር። ነገር ግን ሁሉ ሲነገርና ሲደረግ ለዋጋው ሰበብ ማቅረብ አልቻልኩም (2 መጠጥ፣ ብር 100/ፐርሰንት ጨምሮ)፤ empenadas ግሩም ነው, ጌጥ ጥሩ እና ሥራ አስኪያጆች ጥሩ ነው.",ዋጋ,negative
ምግቡ በርግጥ ጥሩ ነበር። ነገር ግን ሁሉ ሲነገርና ሲደረግ ለዋጋው ሰበብ ማቅረብ አልቻልኩም (2 መጠጥ፣ ብር 100/ፐርሰንት ጨምሮ)፤ የአትክልት ቦታ በጣም አስደሳች ነው፣ ዋጋ ምክንያታዊ ነው፣ ባርቴንደር ደግሞ በጣም አሰቃቂ ነው።,መጠጥ፣,neutral
ምግቡ በርግጥ ጥሩ ነበር። ነገር ግን ሁሉ ሲነገርና ሲደረግ ለዋጋው ሰበብ ማቅረብ አልቻልኩም (2 መጠጥ፣ ብር 100/ፐርሰንት ጨምሮ)፤ አስተናጋጁ ጨዋነት የጎደለው ነው።,ምግቡ,positive
"ምርጥ የቻይና ምግብ ኡፕታውን, ነገር ግን አስተናጋጆች መጥፎ እና ሠራተኞች ተግባቢ ናቸው.",የቻይና ምግብ,positive
"ፈጣን አቅርቦት, ታላቅ ምግብ, ጥሩ ዋጋዎች እና ወዳጃዊ አገልግሎት አንድ ላይ ተጣምረው አስደሳች repast ለማረጋገጥ, ነገር ግን ዋጋ ከፍተኛ ነው.",ምግብ,positive
"ፈጣን አቅርቦት, ታላቅ ምግብ, ጥሩ ዋጋ, እና ወዳጃዊ አገልግሎት አንድ ላይ ተጣምረው አስደሳች repast ለማረጋገጥ, ነገር ግን ቦታ ምቹ ነው.","ዋጋ,",positive
"ፈጣን አቅርቦት, ከፍተኛ ምግብ, ጥሩ ዋጋ, እና ወዳጃዊ አገልግሎት አንድ ላይ ተቀናጅተው አስደሳች repast ለማረጋገጥ, ነገር ግን ምግብ ያዝናል, ሰው ሠራሽ የሎብስተር ስጋ ሰው ሠራሽ እና ሠራተኞች ትዕቢተኛ ናቸው.",አገልግሎት,positive
"ፈጣን አቅርቦት, ታላቅ ምግብ, ጥሩ ዋጋ, እና ወዳጃዊ አገልግሎት አንድ ላይ ተቀናጅተው አንድ አስደሳች repast ለማረጋገጥ, ነገር ግን ዶሮ ጨለማ ነው, ሥራ አስኪያጅ ሞገስ የለሽ እና ዋጋ ከአቅም በላይ ነው.",አስኪያጅ,positive
"ፈጣን አቅርቦት, ታላቅ ምግብ, ጥሩ ዋጋ, እና ወዳጃዊ አገልግሎት አንድ ላይ ተጣምረው አስደሳች repast ለማረጋገጥ, ነገር ግን ቢል ትልቅ ነው.",repast,positive
$ 10++ ስትያዝ ፍሪቢ የሚባለው ቀዝቃዛ የሴሳም ኑዶች ተመራጭ ናቸው። ሜኑ ግን ትንሽ ሲሆን ሥራ አስኪያጅ ደግሞ ፀጋ አልባ ነው።,ቀዝቃዛ የሴሳም ኑዶች,positive
"አቮካዶ ሰላጣ የግል ፋቭ ነው, ነገር ግን ዋጋ ዋጋ አይደለም, ሜኑ ትንሽ እና ጣዕም አጭር ነው.",አቮካዶ ሰላጣ,positive
"እና, ማር bbq የጎድን የጎድን ጉርሻ ዎች ጣፋጭ ናቸው, ነገር ግን አስተናጋጁ ይበሳጫል እና ልሙጥ ትልቅ ነው.",bbq,positive
ፍጹም የሆነ የበሰለና የቀመሰ ጠቦት አዘዝን፤ ነገር ግን ዋጋው ከፍተኛ ከመሆኑም በላይ ቦታው አመቺ ነው።,ጠቦት,positive
ከእንቁላሎቹ ቤኔዲክት አንስቶ እስከ ማስል አልፎ ተርፎም ሃምበርገር ድረስ ያለው ነገር ሁሉ ጥሩና በጣም ጣፋጭ ነበር፤ ይሁን እንጂ አስተናጋጆቹ መጥፎ ና ለስላሳ ናቸው።,ማስል,positive
ከእንቁላሎቹ ቤኔዲክት እስከ ማስል እና ሃምበርገር ድረስ ያለው ነገር ሁሉ ጥሩ እና በጣም ጣፋጭ ነበር፣ ነገር ግን ሥራ አስኪያጅ ግርማ ሞገስ የሌለው እና ምግብ ርካሽ አይደለም።,ቤኔዲክት,positive
ከእንቁላል ቤኔዲክት አንስቶ እስከ ማስል አልፎ ተርፎም ሃምበርገር ድረስ ሁሉም ነገር ጥሩና ጣፋጭ ነበር፤ ይሁን እንጂ ሠራተኞቹ እብሪተኞች ናቸው፣ አገልግሎት በጣም አስከፊ ከመሆኑም በላይ ዋጋው በጣም ከፍተኛ ነው።,ሃምበርገር,positive
"በእርግጥ ኒው ዮርክ ውስጥ ምርጥ ሱሺ አይደለም, ነገር ግን ሁሌም አዲስ ነው, እና ቦታው በጣም ንጹህ ነው, ማቅለሽለሽ, ነገር ግን ምግብ ርካሽ አይደለም, ክፍል ቀላል እና አገልግሎት አስከፊ ነው.",ቦታ,positive
በጎ ሱሺ የሚኖሩ ሰዎችን አምንበታለሁ፣ ፈጽሞ ተስፋ አስቆራጭ አይደለም፣ ነገር ግን ሆት ውሾች በጣም መጥፎ ናቸው።,ሰዎች,positive
"ቀጥ-ወደፊት, ምንም የሚያስገርም ነገር የለም, በጣም ጥሩ የጃፓን ምግብ, ነገር ግን ሰው ሠራሽ የሎብስተር ስጋ ሰው ሰራሽ ነው, ጠረጴዛዎች ምቹ አይደለም እና መብራት ማራኪ አይደለም.",የጃፓን ምግብ,positive
ስህተት አታግባብኝ - ሱሺ ጥሩ ነበር ፣ በጣም ግሩም አልነበረም ፣ ነገር ግን ቢል ትልቅ ነው ፣ ሠራተኞች ተግባቢና ለምለም የሚበሉ ናቸው ።,ሱሺ,positive
ጥሩ አይነት ቢሆንም ምንም የሚገርም ነገር የለም; ሰዎች በጣም መጥፎ ናቸው ።,የሚገርም,positive
ሃሩሚ ሱሺ ኒው ዮርክ ውስጥ በጣም ጣፋጭና ጣፋጭ የሆነ የሱሺ ዓይነት አለው፤ ይሁን እንጂ አገልግሎት አዝጋሚ ነው፣ የጣዕመ ጣዕም ያለው የጣሊያን ሾርባ ከባድ ከመሆኑም በላይ ጣዕም በጣም የከፋ ነው።,ሱሺ,positive
በጣም ግሩም ለሆነ ምግቧ ብቻ ሳይሆን ለወዳጅ ባለቤቶቹና ለሠራተኞቹም በጣም እመክራለሁ፤ የጥንቆላ ኩኪዎች ቅሬታ ነው።,ምግቧ,positive
"በጣም ግሩም ለሆነ ምግቧ ብቻ ሳይሆን ለወዳጅ ባለቤቶቹና ለሠራተኞቹም በጣም እመክራለሁ፤ mole ስጐ በጣም ጣፋጭ ነው, ምግብ ዋጋ የለውም እና ac እጥረት ነው.",mole,positive
በጣም ግሩም ለሆነ ምግቧ ብቻ ሳይሆን ለወዳጅ ባለቤቶቹና ለሠራተኞቹም በጣም እመክራለሁ፤ ሰዎች በጣም መጥፎ ናቸው፣ ጣዕሙ ያለው የጣሊያን ስጎር ከባድ ከመሆኑም በላይ ማድረስ ምክኒያት ነው።,ባለቤቶቹና,positive
ሌላ ጓደኛም ፓርሜሳን አይብ 3 ጊዜ መጠየቅ ነበረበት። ዋጋው ግን ከፍተኛ ነው።,ፓርሜሳን አይብ,neutral
"አገልግሎቱ በጣም ፈጣንእና ተግባቢ ነው, እና ዋጋው ከፍተኛ ነው, ነገር ግን በጣም መጥፎ ነው, የተወሰነ ክፍል አነስተኛ እና ሥራ አስኪያጅ ጨዋነት የጎደለው ነው.",ዋጋ,positive
"አገልግሎቱ በእርግጥ ፈጣን እና ተግባቢ ነው, እና ዋጋው ከፍተኛ ነው, ነገር ግን ምግቦች የሚበሉ ናቸው, የምግብ ድርሻ ከአማካይ በታች እና ምግብ ዋጋ የለውም.",አገልግሎቱ,positive
በረሃብ የተጠቃሁ ሲሆን አነስተኛ ቁጥር ያላቸው ነገሮች ያብዱኝ የነበረ ቢሆንም አገልግሎት ግን በጣም አስደሳች ነው ።,ነገሮች,negative
ሰኞ ለምሳ ስትሠራ በአካባቢው በሚገኝ አንድ ፊልም ላይ ትሠራ ነበር ፤ ይህን እምብዛም ያልተለመደ ጌጥ አገኘች ፤ መታጠቢያ ቤት ግን በጣም አስደሳች ነው ።,ምሳ,neutral
እነዚህ ትናንሽ፣ ፈጣን የምግብ ዓይነት በርገርዎች አይደሉም - እነዚህ እውነተኛ፣ ሙሉ መጠን ያላቸው ፓቲዎች ናቸው፣ ነገር ግን የባር አገልግሎት አዝጋሚ ነው።,በርገር,positive
እናም እነዚህ ትናንሽ፣ ፈጣን የምግብ ዓይነት በርገርዎች አይደሉም - እነዚህ እውነተኛ፣ ሙሉ መጠን ያላቸው ፓቲዎች ናቸው፣ ነገር ግን ቢል ትልቅ እና ሥራ አስኪያጅ ጨዋነት የጎደለው ነው።,ፓቲዎች,positive
እዚህ ለምግቡ የምትከፍሉት ዋጋ ቢያንስ ከሌሎች የጃፓን ምግብ ቤቶች ጋር እንዲተካከል ትጠብቃላችሁ፣ ነገር ግን በሮዝሜሪ ብርቱካንማ ስጎ ውስጥ የተፈጨ የባሕር ምግብ ያለው ፌቱሲን ያልተጠበቀ ነው፣ ሆት ዶግ ምርጥ ነው እና የስልክ ጋዝ ለምለም ነው።,ምግብ,negative
እዚህ ለምግቡ በምትከፍሉበት ዋጋ፣ ቢያንስ ከሌሎች የጃፓን ምግብ ቤቶች ጋር እንዲተካከል ትጠብቃላችሁ፣ ነገር ግን ባርቴንደር ደስተኛ ነው፣ ምግብ ጥሩ ነው እናም ሠራተኞች አስደሳች ናቸው።,ዋጋ,negative
"የምግብ ክፍል አነስተኛ እና ከአማካይ በታች ነበር, ነገር ግን ባር ታላቅ ነው, ምግብ ጥሩ እና lichen ማርቲኒ ፍቅር ነው.",የምግብ ክፍል,negative
አስተናጋጇ የመጣችው ምሳችንን እየበላን ሳለ የአኩሪ ስጎውን ለመሸከም ነው። አገልግሎት ግን አሰቃቂ ነው። ባለቤቱ ሐሰተኛ ና አረንጓዴ ስፒናች-ቮድካ ስጎ ደማቅ ነው።,ምሳ,neutral
አስተናጋጇ የመጣችው ምሳችንን እየበላን ሳለ የአኩሪ ስጋውን ለመሸከም ነው። ምግብ ግን ከፍተኛ ነው። አስተናጋጇ ተግባቢና ቡና የተሻለ ነው።,አኩሪ ስጋ,neutral
አስተናጋጇ የመጣችው ምሳችንን እየበላን ሳለ የአኩሪ ስጋውን ለመሸከም ነው። እኔ ግን ዳክ ሞክሬያለሁ። አገልግሎት ከፍተኛ ሲሆን ሰራተኞችም ዕውቀት ያላቸው ናቸው።,አስተናጋጇ,negative
ከገበያ በኋላ በቀን ውስጥ ለመዝናናት ወይም አንድ ብርጭቆ ወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ክላሲክ የፈረንጅ ሳህን ለመያዝ ጥሩ ቦታ ነው. ነገር ግን ምግብ በጣም ግሩም ነው እና የወይን ጠጅ ዝርዝር አዝናኝ ነው.,ሾርባ,neutral
"ከገበያ በኋላ በቀን ውስጥ ለመዝናናት ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ክላሲክ የፈረንጅ ምግብ ለመያዝ ጥሩ ቦታ ነው, ነገር ግን የተጣጠፈ ወንበር ምቾት አይደለም, አስተዳደር ከማስተናገድ ያነሰ ነው እና ኬክ ውጭ መቆም ዋጋ የለውም.",ቦታ,positive
በቀን ውስጥ ገበያ ከወጣሁ በኋላ ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ክላሲካል የፈረንጅ ሳህን ለመያዝ ጥሩ ቦታ ነው፤ ሆኖም ፓስታ ለመሞከር እሞክራለሁ።,ብርጭቆ የወይን ጠጅ,neutral
"ከገበያ በኋላ በቀን ውስጥ ለመዝናናት ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ክላሲክ የፈረንጅ ምግብ ለመያዝ ጥሩ ቦታ ነው, ነገር ግን አገልግሎት በትኩረት እና አገልግሎት በጣም አስደናቂ ነው.",የፈረንጅ,neutral
ምግቡ በጣም ከፍተኛ ከመሆኑም በላይ ዋጋው ምክንያታዊ ቢሆንም ለአካለ መጠን ያልደረሱ ሰዎች ግን ጥሩ አይደሉም ።,ዋጋው,positive
ምግቡ ከፍተኛ ሲሆን ዋጋው ምክኒያት ነው። ነገር ግን ኬክ ከውጭ ቆሞ የመመገቢያ ልምዱ የከፋ ነው።,ምግቡ,positive
ቦታው ንጹህ ነው። ነፍስ ምግብ የምትወዱ ከሆነ ግን ይህ ቦታ ነው። ምግብ ግን የሚበላው ነው። አስተናጋጁ ጨዋነት የጎደለው ና የመመገቢያ ልምድ አሳዛኝ ነው።,ነፍስ ምግብ,positive
"ቦታው ንጹሕ ነው, እና ነፍስ ምግብ የምትወዱ ከሆነ, ይህ ቦታ ነው, ነገር ግን ዲስኮ ፖፕ duo አስፈሪ ነው ac የጎደለ እና የመመገቢያ ልምድ በጣም መጥፎ ነው.",ቦታ,positive
የሠራተኞቹ አባላት በጣም ተግባቢ ከመሆናቸውም በላይ አንድ ጊዜ ወደ ውጭ ስጥለው መጠጣቴን ተክተውኛል፤ ይሁን እንጂ የተወሰነ መጠን ያለው መጠጥ አነስተኛ ከመሆኑም በላይ አገልግሎት መጥፎ ነው።,የሠራተኞቹ,positive
የሠራተኞቹ አባላት በጣም ተግባቢ ከመሆናቸውም በላይ አንድ ጊዜ ወደ ውጭ ስጥለው መጠጣቴን ተክተውኛል፤ ሆኖም ፓስታጥሩ ጥሩ ነው፣ ባለቤቱ ሐሰተኛ ከመሆኑም በላይ የተወሰነ መጠን ያለው መጠጥ በጣም ጥሩ ነው።,መጠጥ,neutral
"ለስላሳ እና ትኩስ ጭማቂዎች ልዩ ችሎታ አላቸው, ነገር ግን ምግብ በጣም ጥሩ አይደለም, ሞል ስጎ በጣም ጣፋጭ እና ሆት ውሾች በጣም መጥፎ ነው.",ችሎታ,positive
"ለስላሳ ና ትኩስ ጭማቂዎች የተካኑ ናቸው, ነገር ግን ዶሮ ጠቆር ያለ እና መጠናቸው ሥራ የበዛበት ነው.",ጭማቂዎች,positive
ልሙጥ የሆኑት ጭማቂዎች ለእኔ ትንሽ ትልቅ ቢሆኑም እስከ ዛሬ ካሳለፍኳቸው ጭማቂዎች ሁሉ የተሻሉ ናቸው፤ ይሁን እንጂ ውስጤ በጣም አስደሳች ከመሆኑም በላይ ጽጌረዳለትን ለመሞከር እሞክራለሁ።,ልሙጥ,negative
ልሙጥ የሆነው ጭማቂ ለእኔ ትንሽ ትልቅ ቢሆንም እስከ ዛሬ ካጋጠምኳቸው ጭማቂዎች ሁሉ የተሻለ ቢሆንም ጣዕሙ ግን አጭር ነው።,ጭማቂ,positive
"አቮካዶ እና ጥሩ ቱና ያለው በጣም ጥሩ ዶሮ አላቸው, ነገር ግን አገልግሎት ያዝናል, አስተናጋጅ ይበሳጫል እና አገልግሎት በጣም አዝጋሚ ነው.",አቮካዶ,positive
"በጣም ጥሩ ዶሮ አቮካዶ እና ጥሩ ቱና አላቸው, ነገር ግን ባለቤት የሐሰት ነው.",ቱና,positive
"አብዛኞቹ ሳንድዊች የሚሰሩት በአኩሪ ማዮኔዝ ሲሆን ይህም በጣም ጥሩ ነው, ነገር ግን ምግብ በጣም ጥሩ አይደለም እና ምግብ በጣም መጥፎ ነው.",ሳንድዊች,positive
አብዛኞቹ ሳንድዊች የሚባሉት በአኩሪ ማዮኔዝ ሲሆን ይህም በጣም ጥሩ ነው፤ ይሁን እንጂ ባርቴንደር ጨዋነት የጎደለው ነው።,ማዮኔዝ,positive
አስደናቂ ሾርባ፣ ፒሳ ወዘተ ከመኖራቸውም በላይ በቤት የተሰሩ ሶርቤት ዎቻቸው ከዚህ ዓለም ውጭ ናቸው፤ እንግዳ ተቀባይዋ ጨዋነት የለሾች ናቸዉ።,ሶርቤት,positive
"አስደናቂ፣ ሳንድዊች፣ ሾርባ፣ ፒሳ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤት ዎቻቸው ከዚህ ዓለም ውጭ ናቸው፤ ሆት ውሾች በጣም መጥፎ ናቸው, ባርቴንደር አሰቃቂ እና ሜኑ ትንሽ ነው.",ሾርባ,positive
አስደናቂ፣ ሳንድዊች፣ ሾርባ፣ ፒሳ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤት ዎቻቸው ከዚህ ዓለም ውጭ ናቸው፤ ጠረጴዛዎች በጣም ቅርብ ሲሆኑ የምግብ ክፍል ደግሞ ከአማካይ በታች ነው።,ሳንድዊች,positive
አስደናቂ፣ ሳንድዊች፣ ሾርባ፣ ፒሳ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤት ዎቻቸው ከዚህ ዓለም ውጭ ናቸው፤ የመመገቢያ ተሞክሮ በጣም መጥፎ ከመሆኑም በላይ አገልግሎት መስጠት በጣም አስከፊ ነው።,ፒሳ,positive
የኦቾሎኒ ቅቤ ሶርቤትንና ፒሳውን በአኩሪ አይብ ሞክሩት፤ ይሁን እንጂ ቢል ትልቅ ነው።,አይብ,positive
የኦቾሎኒ ቅቤ ሶርቤትንና ፒሳውን በአኩሪ አይብ ሞክሩት። ይሁን እንጂ ምግብ ዋጋ የለውም፤ ጠረጴዛዎችም የማይመቹ ናቸው።,የኦቾሎኒ ቅቤ ሶርቤት,positive
"አገልግሎቱ ታላቅ ነው (ምናልባት ምስጥ ንዝረት ሊሆን ይችላል ነገር ግን ቢያንስ ትኩረት ታገኛለህ), ጣፋጭ ምጣፉ ግሩም እና ቡናው በጣም ጥሩ ነው; ac የጎደለ እና ዋጋ ዋጋ የለውም.",ጣፋጭ,positive
"አገልግሎቱ ታላቅ ነው (ምናልባት ምስጥ ንዝረት ሊሆን ይችላል ነገር ግን ቢያንስ ትኩረት ታገኛለህ), ጣፋጭ ምጣፉ ግሩም እና ቡናው በጣም ጥሩ ነው; አገልግሎት አሰቃቂ ነው, ዋጋ ከፍተኛ እና አገልግሎት በጣም አስፈሪ ነው.",ቡና,positive
አንዳንድ ጊዜ ለጣዕሜ ትንሽ ከባድ የሆነው ሙዚቃ፣ ነገር ግን እራት ፈጽሞ ተስፋ አስቆራጭ አይደለም።,ሙዚቃ,negative
"casablanca servces ጣፋጭ ፋላፌል, ታቡሌ, ሂሙስ እና ሌሎች የሜዲትራኒያን ደስታዎች, ሁሉም በጣም ርካሽ ናቸው, ነገር ግን መሬት ላይ ጫጩት ሾርባ ቀጭን ነው, አገልግሎት አዝጋሚ እና ሙዚቃ በጣም ከባድ ነው.",የሜዲትራኒያን,positive
የካሳብላንካ እርባታ ጣፋጭ ፋላፌል ፣ ታቡሌ ፣ ሃሙስና ሌሎች የሜድትራኒያን ደስታዎች ያሉት ሲሆን እነዚህ ሁሉ በጣም ብዙ ወጪ የማይጠይቁ ቢሆኑም የጃፓን ምግብ ግን የተሻለ ነው ።,ፋላፌል,positive
"የካሳብላንካ እርባታ ጣፋጭ ፋላፌል, ታቡሌ, ሀሙስ እና ሌሎች የሜዲትራኒያን ደስታዎች, ሁሉም በጣም ብዙ ወጪ የማይጠይቁ ናቸው, ነገር ግን በጣም መጥፎ ነው እና ምግብ ውድ ነው.",ሀሙስ,positive
"casablanca servces ጣፋጭ ፋላፌል, ታቡሌ, humus እና ሌሎች ሜድትራኒያን ደስታዎች, ሁሉም በጣም ርካሽ ናቸው, ነገር ግን ምሳ ኃይል ነው, የተወሰነ ክፍል ትንሽ እና ሥራ አስኪያጅ ጨዋነት የጎደለው ነው.","ታቡሌ,",positive
"እዚያ ምግብ ቤት በጣም ተራ ነው, ነገር ግን ለምሳ ተስማሚ ነው, እና የማድረስ አገልግሎታቸው ሁልጊዜ በጣም ፈጣን ነው; ዶሮ ትልቅ ነው።",ምሳ,neutral
"እዚያ ምግብ ቤት በጣም ተራ ነው, ነገር ግን ለምሳ ተስማሚ ነው, እና የማድረስ አገልግሎታቸው ሁልጊዜ በጣም ፈጣን ነው; ቦታ ጣፋጭ ነው፣ እንግዳ ተቀባይ ጨዋነት የጎደለው ከመሆኑም በላይ የቺክፔ ሾርባ ደግሞ ቀጭን ነው።",የማድረስ,positive
በተጨማሪም ለባሕላዊው የሜድትራንያን ገቢ ስሜት ከሌለህ ብዙ ዓይነት መጠቅለያዎች አሏቸው፤ ይሁን እንጂ የመመገቢያ ተሞክሮህ አሳዛኝ ከመሆኑም በላይ አገልግሎት መስጠት በጣም ከባድ ነው።,መጠቅለያዎች,positive
በተጨማሪም ለባሕላዊው የሜድትራንያን ገቢ ስሜት ከሌለህ ብዙ ዓይነት መጠቅለያዎች አሏቸው፤ ይሁን እንጂ አካባቢህ የፍቅር ስሜት ነው፣ ምግብ በጣም ጥሩ ከመሆኑም በላይ ጥሩ ነው።,የሜድትራንያን,neutral
ፓሪሲ ፒዛ ለመሥራት 100 ዓመታት ፈጅቶብኛል (ቢያንስ ከዚህ አመት በፊት የሰሩት አይመስለኝም)... ግን መጠበቁ የሚያስቆጭ ነበር፤ የመመገቢያ ልምድ በጣም የከፋ ነው፤ ሠራተኞች ተግባቢ ሲሆኑ ምግብ ደግሞ ከአማካይ በታች ነው።,ፒዛ,positive
ስጋው በጣም ግሩም (በጣም አዲስ) ሲሆን በእውነተኛ ሞዛሬላ ዳቢዎች የተሞላ ቢሆንም ከባቢ አየር ግን ቀዝቃዛ ነው።,ሞዛሬላ,neutral
ስጋው በጣም ግሩም (በጣም ትኩስ) ሲሆን በእውነተኛ ሞዛሬላ ዳቢዎች የተሞላ ነው፤ ይሁን እንጂ አስተናጋጁ ጨዋነት የጎደለው ከመሆኑም በላይ ምግብ በጣም ማራኪ ነው።,ስጋ,positive
ዳቦው ከፍተኛ መጠን ያለው ቢሆንም አስተዳደሩ ግን ከማስተናገድ ያነሰ ነው ።,ዳቦ,positive
"በፎካቺያ ዳቦ ላይ ይቀርብና ለመሞት ነው, ነገር ግን አገልግሎት መጥፎ ነው እና የተጠበሰ ሩዝ እመክራለሁ.",ነው,neutral
በፎካቺያ ዳቦ ላይ የሚቀርብ ሲሆን ለመሞት ምኞቱ ነው። ነገር ግን ሙዚቃ በጣም ከባድ ና በትር ደስ የሚል ነው።,ፎካቺያ ዳቦ,neutral
በተጨማሪም ኦኒየን ቀለበቶችን ያግኙ። ከዚህ በፊት የነበረን ምርጥ ነው። ግን ሜኑ ትንሽ ነው።,ቀለበቶችን,positive
"ውብ የሆነ ከባቢ አየር, ለመጠጥ እና/ወይም ለምግብነት ተስማሚ ነው, ነገር ግን ሰዎች አደራ ነው, ምግብ ጥሩ እና የውስጥ አማካይነት ነው.",ምግብ,neutral
"ውብ መንፈስ, ለመጠጥ እና/ወይም ለግብይት ተስማሚ ነው, ነገር ግን አገልግሎት ዝቅተኛ ነው, ምግብ ርካሽ አይደለም እና ጣዕም በጣም መጥፎ ነው.","መንፈስ,",positive
"ውብ መንፈስ, ለመጠጥ እና/ወይም ለጣፋጭ ምግቦች ፍጹም ነው, ነገር ግን ምግብ አክብሮት ነው, ጣፋጭ ምግቦች በጣም አስደናቂ ነው እና እኔve veal chops ሞክሬያለሁ.",ምግቦች,neutral
"cuisine እንደ asian fusion ወጪ ይደረጋል - የወጪውን አያሟላም, ነገር ግን ወደብ ጥራት ነው.",ወጪ,negative
