ig,aspect,polarities
"the oyi sesame noodles, nke bụ freebie mgbe ị na-enye iwu $ 10 +, bụ delectable, ma menu bụ obere na njikwa bụ a graceless.",oyi sesame noodles,positive
"salad ube bekee bụ fave nkeonwe, ma ọnụahịa abaghị uru, menu dị ntakịrị ma uto dị mkpụmkpụ.",salad,positive
"na, mmanụ aṅụ bbq ọgịrịga atụmatụ bụ yummy, ma waiter na-ewe iwe na smoothies bụ nnukwu.",mmanụ aṅụ bbq ọgịrịga atụmatụ,positive
"anyị nyere iwu nwa atụrụ nke a na-esi nri n'ụzọ zuru oke ma na-atọ ụtọ dị egwu, ma ọnụahịa dị elu na ọnọdụ dị mma.",nwa atụrụ,positive
"ihe niile site na àkwá benedict ruo mọsel na ọbụna hamburger mere nke ọma ma dị ụtọ nke ukwuu, ma ndị na-echere dị njọ na smoothies buru ibu.",mọsel,positive
"ihe niile site na àkwá benedict ruo mọsel na ọbụna hamburger mere nke ọma ma dị ụtọ nke ukwuu, ma onye njikwa bụ onye na-enweghị amara na nri adịghị ọnụ ala.",àkwá benedict,positive
"ihe niile site na àkwá benedict ruo mọsel na ọbụna hamburger mere nke ọma ma na-atọ ụtọ nke ukwuu, ma ndị ọrụ dị mpako, ọrụ dị egwu na ọnụahịa dị oke ọnụ.",hamburger,positive
"o doro anya na ọ bụghị sushi kachasị mma na new york, otú ọ dị, ọ dị ọhụrụ mgbe niile, ebe ahụ dịkwa nnọọ ọcha, na-adịghị mma, ma nri adịghị ọnụ ala, ụlọ doro anya na ọrụ dị egwu.",ebe,positive
"m tụkwasịrị ndị mmadụ obi na go sushi, ọ dịghị mgbe ọ na-akụda mmụọ, ma nkịta na-ekpo ọkụ kachasị njọ.",ndị mmadụ,positive
"kwụ ọtọ-n'ihu, ọ dịghị ihe ijuanya, nnọọ ezigbo japanese nri, ma wuru lobster anụ bụ wuru, tebụl bụ uncomfortably nso na ọkụ bụ unattractive.",japanese nri,positive
"ekwela ka m na-ezighị ezi - sushi dị mma, naanị ọ bụghị ihe magburu onwe ya, ma ụgwọ buru ibu, ndị ọrụ bụ enyi na enyi na efere na-eri nri.",sushi,positive
ezi dịgasị iche iche ma ọ dịghị ihe ijuanya; ndị mmadụ bụ ndị kasị njọ.,dịgasị iche iche,positive
"harumi sushi nwere freshest na kasị atọ ụtọ n'usoro nke sushi na nyc, ma ọrụ bụ ngwa ngwa, fennel flavored italian soseji bụ arọ na uto bụ kasị njọ.",sushi,positive
"ana m akwado ya nke ukwuu maka ọ bụghị naanị nri ya magburu onwe ya, kamakwa maka ndị nwe enyi na ndị ọrụ ya; cookies bụ mkpesa.",nri,positive
"ana m akwado ya nke ukwuu maka ọ bụghị naanị nri ya magburu onwe ya, kamakwa maka ndị nwe enyi na ndị ọrụ ya; ihe oriri na-atọ ụtọ nke ukwuu, nri anaghị aba uru ma ac bụ enweghị.",ndị ọrụ,positive
"ana m akwado ya nke ukwuu maka ọ bụghị naanị nri ya magburu onwe ya, kamakwa maka ndị nwe enyi na ndị ọrụ ya; ndị mmadụ kachasị njọ, fennel flavored italian soseji dị arọ na nnyefe na-atụ egwu.",ndị nwe,positive
"enyi ọzọ aghaghị ịjụ ugboro 3 maka cheese parmesan, ma ọnụ ahịa dị elu.","parmesan,",neutral
"the ọrụ bụ n'ezie ngwa ngwa na enyi na enyi, na uru dị ukwuu, ma iri nri bụ kasị njọ, akụkụ bụ obere na njikwa bụ a mkparị.",uru,positive
"the ọrụ bụ n'ezie ngwa ngwa na enyi na enyi, na uru dị ukwuu, ma efere bụ oriri, nri òkè bụ n'okpuru nkezi na nri bụghị uru.",ọrụ,positive
"agụụ na-agụ m na obere akụkụ na-akwọ ụgbọala m crazy, ma ọrụ dị ukwuu.",akụkụ,negative
"ọ bụ monday ya maka nri ehihie - na-arụ ọrụ na ihe nkiri na mpaghara ahụ - ma chọpụta ọla a na-adịghị ahụkebe, ma ụlọ ịwụ ahụ mara mma.",nri ehihie,neutral
"na ndị a abụghị obere, wimpy ngwa ngwa nri ụdị burgers - ndị a bụ ezigbo, zuru sized patties, ma mmanya ọrụ bụ ngwa ngwa.",burgers,positive
"na ndị a abụghị obere, wimpy ngwa ngwa nri ụdị burgers - ndị a bụ ezigbo, zuru sized patties, ma ụgwọ bụ nnukwu na njikwa bụ a mkparị.",patties,positive
"n'ihi na price ị na-akwụ ụgwọ maka nri ebe a, ị ga-atụ anya na ọ ga-dịkarịa ala na par na ndị ọzọ japanese ụlọ oriri na ọṅụṅụ, ma fettuccine na grilled oké osimiri na a rosemary-oroma ihendori bụ na-atụghị anya, na-ekpo ọkụ nkịta kasị mma na ekwentị gas bụ luscious.",nri,negative
"maka ọnụahịa ị na-akwụ maka nri ebe a, ị ga-atụ anya na ọ ga-abụ ma ọ dịkarịa ala na par na ụlọ oriri na ọṅụṅụ japan ndị ọzọ, ma onye na-ere mmanya nwere obi ụtọ, nri magburu onwe ya na ndị ọrụ na-atọ ụtọ.",ọnụahịa,negative
"nri òkè bụ small na n'okpuru nkezi, ma mmanya bụ oké, nri dị mma na lichen martini bụ a ịhụnanya.",nri òkè,negative
"onye na-arụ ọrụ ahụ bịara iji bulie soy sauce mgbe anyị na-eri nri ehihie anyị, ma ọrụ dị egwu, onye nwe ya bụ adịgboroja na akwụkwọ ndụ akwụkwọ ndụ spinach-vodka ihendori na-egbuke egbuke.",nri ehihie,neutral
"the waitress bịara site bulie soy ihendori mgbe anyị na-eri nri ehihie anyị, ma nri bụ n'elu-notch, waiter bụ enyi na enyi na kọfị bụ mma.",soy ihendori,neutral
"onye na-arụ ọrụ ahụ bịara iji bulie soy sauce mgbe anyị na-eri nri ehihie anyị, ma m na-agbalị duck, ọrụ kachasị elu na ndị ọrụ maara ihe.",nri,negative
"ebe dị mma ịkpọtụrụ n'ehihie mgbe ịzụ ahịa ma ọ bụ ijide ofe dị mfe ma ọ bụ nri french kpochapụwo n'elu iko mmanya, ma nri magburu onwe ya na ndepụta mmanya na-akụda mmụọ.",ofe,neutral
"ebe dị mma ịkpọtụrụ n'ehihie mgbe ịzụ ahịa ma ọ bụ ijide ofe dị mfe ma ọ bụ efere french kpochapụwo n'elu iko mmanya, ma oche ịkpakọba adịghị mma, njikwa erughị ịnabata na achicha abaghị uru iguzo n'èzí.",ebe,positive
"ebe dị mma ịkpọtụrụ n'ehihie mgbe ịzụ ahịa ma ọ bụ ijide ofe dị mfe ma ọ bụ nri french kpochapụwo n'elu iko mmanya, mana m na-anwale pasta.",iko mmanya,neutral
"ebe dị mma ịkpọtụrụ n'ehihie mgbe ịzụ ahịa ma ọ bụ ijide ofe dị mfe ma ọ bụ nri french kpochapụwo n'elu iko mmanya, mana ọrụ na-ege ntị na ọrụ dị ịtụnanya.",french,neutral
"the nri dị ukwuu na ahịa bụ ezi uche, ma filet obere bụghị nnọọ mma.",ahịa,positive
"nri ahụ dị ukwuu na ọnụahịa ndị ahụ nwere ezi uche, ma achicha abaghị uru iguzo n'èzí na ahụmịhe iri nri kachasị njọ.",nri,positive
"ebe ahụ dị ọcha, ma ọ bụrụ na ị na-amasị nri mkpụrụ obi, mgbe ahụ, nke a bụ ebe ị ga-anọ, ma efere na-eri nri, onye na-echere bụ mkparị na ahụmịhe iri nri bụ nhụsianya.",nri,positive
"ebe ahụ dị ọcha, ma ọ bụrụ na ịchọrọ nri mkpụrụ obi, mgbe ahụ, nke a bụ ebe ị ga-anọ, ma disko pop duo dị egwu, ac bụ enweghị na ahụmịhe iri nri kachasị njọ.",ebe,positive
"ndị ọrụ ahụ bụ ezigbo enyi na enyi na ọbụna dochie ihe ọṅụṅụ m otu ugboro mgbe m tụfuru ya n'èzí, ma akụkụ dị ntakịrị na ọrụ dị njọ.",ndị ọrụ,positive
"ndị ọrụ ahụ bụ ezigbo enyi na enyi na ọbụna dochie ihe ọṅụṅụ m otu ugboro mgbe m tụfuru ya n'èzí, ma pastas dị mma, onye nwe ya bụ adịgboroja na akụkụ dị ukwuu.",nwe,neutral
"ha na-ahụ maka smoothies na ihe ọṅụṅụ ọhụrụ, ma nri adịghị mma nke ukwuu, mole sauce dị oke ụtọ ma na-ekpo ọkụ nkịta kachasị njọ.",smoothies,positive
"ha pụrụ iche na smoothies na ihe ọṅụṅụ ọhụrụ, ma ọkụkọ gbara ọchịchịrị na nha na-arụsi ọrụ ike.",ihe ọṅụṅụ ọhụrụ,positive
"ọ bụ ezie na smoothies dị ntakịrị maka m, ihe ọṅụṅụ ọhụrụ bụ ihe kachasị mma m nwetụrụla, ma ime ụlọ mara mma ma m na-agbalị rose mpịakọta.",smoothies,negative
"ọ bụ ezie na smoothies dị ntakịrị maka m, ihe ọṅụṅụ ọhụrụ bụ ihe kachasị mma m nwetụrụla, ma uto dị mkpụmkpụ.",ihe ọṅụṅụ ọhụrụ,positive
"ha nwere nnọọ ezigbo ọkụkọ na ube bekee na ezi tuna dị ka nke ọma, ma ọrụ na-enwe nkụda mmụọ, waiter na-ewe iwe na ọrụ bụ nnọọ ngwa ngwa.",ọkụkọ na ube bekee,positive
"ha nwere ezigbo ọkụkọ na ube bekee na ezigbo tuna nakwa, ma onye nwe ya bụ adịgboroja.",tuna,positive
"ọtụtụ n'ime sandwiches na-mere na soy mayonaise nke bụ n'ezie mara mma mma, ma nri adịghị nnọọ mma na iri nri bụ kasị njọ.",sandwiches,positive
"ọtụtụ n'ime sandwiches na-mere na soy mayonaise nke bụ n'ezie mara mma mma, ma bartender bụ mkparị.",soy mayonaise,positive
"ọ bụghị nanị na ha nwere ofe dị ịtụnanya, pizza, wdg, ma sorbets ha rụrụ n'ụlọ si n'ụwa a; ndị ọbịa ahụ na-akparị mmadụ na ndị na-ere mmanya dị egwu.",sorbets,positive
"ọ bụghị nanị na ha nwere ịtụnanya, sandwiches, ofe, pizza wdg, ma ha arụrụ n'ụlọ sorbets bụ nke ụwa a; nkịta na-ekpo ọkụ kachasị njọ, bartenders bụ ihe jọgburu onwe ya na menu dị ntakịrị.",ofe,positive
"ọ bụghị nanị na ha nwere ịtụnanya, sandwiches, ofe, pizza wdg, ma ha arụrụ n'ụlọ sorbets bụ nke ụwa a; tebụl dị nso na-adịghị mma na akụkụ nri dị n'okpuru nkezi.",sandwiches,positive
"ọ bụghị nanị na ha nwere ịtụnanya, sandwiches, ofe, pizza wdg, ma ha arụrụ n'ụlọ sorbets bụ nke ụwa a; ahụmahụ iri nri kachasị njọ na ọrụ dị egwu.",pizza,positive
"gbalịa peanut butter sorbet na pizza na cheese soy, ma ụgwọ buru ibu.",pizza,positive
"gbalịa peanut butter sorbet na pizza na soy cheese, ma nri abaghị uru na tebụl adịghị mma nso.",peanut butter sorbet,positive
"ọrụ ahụ dị mma (ma eleghị anya ọbụna borderline nagging ma ọ dịkarịa ala ị na-enweta nlebara anya), desserts magburu onwe ya na kọfị dị ezigbo mma; n'ihi ya, a na-akwụ ụgwọ, ọnụahịa anaghị aba uru.",desserts,positive
"ọrụ ahụ dị mma (ma eleghị anya ọbụna borderline nagging ma ọ dịkarịa ala ị na-enweta nlebara anya), desserts magburu onwe ya na kọfị dị ezigbo mma; ọrụ dị egwu, ọnụahịa dị elu ma ọrụ dị egwu.",kọfị,positive
"the music nke bụ mgbe ụfọdụ a obere oke arọ maka m uto, ma nri abalị bụ mgbe na-akụda mmụọ.",music,negative
"casablanca servces ụtọ falafel, tabouleh, humus na ndị ọzọ mediterranean ụtọ, nke niile bụ nnọọ ọnụ ala, ma ala chickpea ofe bụ mkpa, ọrụ bụ ngwa ngwa na music bụ oke arọ.",mediterranean ụtọ,positive
"casablanca servces ụtọ falafel, tabouleh, humus na ndị ọzọ mediterranean ụtọ, nke niile bụ nnọọ ọnụ ala, ma japanese nri ka mma.",falafel,positive
"casablanca servces ụtọ falafel, tabouleh, humus na ndị ọzọ mediterranean ụtọ, nke niile bụ nnọọ ọnụ ala, ma uto bụ kasị njọ na nri dị oké ọnụ.",humus,positive
"casablanca servces ụtọ falafel, tabouleh, humus na ndị ọzọ mediterranean ụtọ, nke niile bụ nnọọ ọnụ ala, ma nri ehihie bụ a ike, akụkụ bụ obere na njikwa bụ a mkparị.",tabouleh,positive
"e nwere ụlọ oriri na ọṅụṅụ bụ nnọọ nkịtị, ma zuru okè n'ihi na nri ehihie, na ha nnyefe ọrụ bụ mgbe niile nnọọ ngwa ngwa; chicken dị oke mma.",nri ehihie,neutral
"e nwere ụlọ oriri na ọṅụṅụ bụ nnọọ nkịtị, ma zuru okè n'ihi na nri ehihie, na ha nnyefe ọrụ bụ mgbe niile nnọọ ngwa ngwa; ohere dị ụtọ, onye ọbịa na-akparị mmadụ na ofe chickpea ala dị mkpa.",nnyefe ọrụ,positive
"ha nwekwara nnukwu ụdị mkpuchi ma ọ bụrụ na ị nọghị n'ọnọdụ maka ụgwọ ụgbọ ala mediterranean ọdịnala, ma ahụmịhe iri nri dị mwute na ọrụ dị egwu.",mkpuchi,positive
"ha nwekwara nnukwu assortment nke wraps ma ọ bụrụ na gị bụghị na ọnọdụ maka omenala mediterranean ụgbọ, ma ambiance bụ ihunanya, nri dị ukwuu na appetizers dị mma.",omenala mediterranean ụgbọ,neutral
"o were 100 afọ maka parisi iji gbaa gburugburu iji mee pizza (ọ dịkarịa ala echeghị m na ha emeela ya tupu afọ a)... ma ọ bara uru ichere; ahụmahụ iri nri kachasị njọ, ndị ọrụ bụ enyi na enyi na nri dị n'okpuru nkezi.",pizza,positive
"ihendori ahụ magburu onwe ya (nke dị nnọọ ọhụrụ) na dabs nke ezigbo mozzarella, ma ikuku dị jụụ.",dabs nke ezigbo mozzarella,neutral
"the ihendori bụ magburu onwe (nnọọ ọhụrụ) na dabs nke ezigbo mozzarella, ma waiter bụ a rudeness na nri bụ fancy.",ihendori,positive
"the achịcha bụ n'elu notch dị ka nke ọma, ma management bụ ihe na-erughị anabata.",achịcha,positive
"a na-eje ozi ha na achịcha focacchia ma ga-anwụ anwụ, ma ọrụ dị njọ ma ana m akwado osikapa e ghere eghe.",na-eje ozi,neutral
"a na-eje ozi ha na achịcha focacchia ma ga-anwụ anwụ, ma egwu dị oke arọ na ndị ọrụ na-atọ ụtọ.",achịcha focacchia,neutral
"ọzọkwa nweta mgbaaka onion - nke kachasị mma anyị nwetụrụla, mana menu dị ntakịrị.",onion,positive
"ọnọdụ mara mma, zuru oke maka ihe ọṅụṅụ na / ma ọ bụ appetizers, ma ndị mmadụ bụ ntụkwasị obi, nri dị mma na ime ụlọ bụ nkezi.",appetizers,neutral
"ọnọdụ mara mma, zuru oke maka ihe ọṅụṅụ na / ma ọ bụ appetizers, ma ọrụ adịghị mma, nri adịghị ọnụ ala ma na-atọ ụtọ kachasị njọ.",ọnọdụ,positive
"ọnọdụ mara mma, zuru oke maka ihe ọṅụṅụ na / ma ọ bụ appetizers, ma nri bụ nkwanye ùgwù, desserts bụ ihe na-enweghị atụ ma agbalịrị m chops veal.",ihe ọṅụṅụ,neutral
"a na-akwụ ụgwọ nri dị ka fusion asia - anaghị emezu ụgwọ ahụ, mana ọdụ ụgbọ mmiri bụ àgwà.",ụgwọ,negative
"a na-akwụ ụgwọ nri dị ka ngwakọta asia - anaghị emezu ụgwọ ahụ, mana nri dị mma na ebe bụ ihe ntụrụndụ.",asia,neutral
"a na-akwụ ụgwọ nri dị ka ngwakọta asia - anaghị emezu ụgwọ ahụ, mana ikuku dị jụụ.",nri,negative
"a na-akwụ ụgwọ nri dị ka ngwakọta asia - anaghị ezute ụgwọ ahụ, mana m na-agbalị nduku, nri dị ukwuu na ọdụ ụgbọ mmiri bụ àgwà.",ụgwọ,negative
"ndị na-echere ya bụ ndị ọkachamara nke ukwuu, na-akwanyere ùgwù ma na-ege ntị, ma nri japanese ka mma na ndị ahịa na-ada ụda.",ndị na-echere,positive
"gaa na nke dị na brooklyn ruo ihe karịrị afọ 25, ugbu a, enweghị m ịgafe àkwà mmiri maka pizza kachasị mma .... hanx, ma ohere dị ụtọ.",pizza,positive
"amaara m ezigbo nri india na nke a abụghị ya, mana àgwà dị mma.",nri india,negative
"m na-akwado eghe ezi dumplings, oroma ọkụkọ / ehi, na eghe osikapa, ma ọrụ bụ dreadfully ngwa ngwa.","dumplings,",positive
"ana m akwado dumplings anụ ezi e ghere eghe, ọkụkọ oroma / anụ ehi, na osikapa e ghere eghe, ma nri ehihie bụ ike.",osikapa,positive
"ana m akwado dumplings anụ ezi e ghere eghe, ọkụkọ oroma / anụ ehi, na osikapa e ghere eghe, ma ọrụ kachasị njọ, ọrụ adịghị mma na ọnụahịa abaghị uru.",ọkụkọ,positive
"jide n'aka na ị ga-eso nri gị na otu n'ime concoctions ihe ọṅụṅụ ọhụrụ ha, ma ọtụtụ sushi kachasị atọ ụtọ na pizza kachasị mma.",nri,neutral
"jide n'aka na ị ga-eso nri gị na otu n'ime concoctions ihe ọṅụṅụ ọhụrụ ha, ma ọrụ na-akparị mmadụ.",concoctions,positive
"ee, ha na-a bit ọzọ oké ọnụ mgbe ahụ ahụkarị, ma mgbe ahụ ọzọ, otú ahụ ka ha nri; egwú na-adaba adaba ma na-egwu egwu dị oke arọ.",nri,positive
"m ukwuu na-atụ aro nnukwu marnier shrimp, ọ bụ insanely mma, ma ọṅụṅụ bụ egwu.",nnukwu marnier shrimp,positive
"glechik nwere ike ịbụ ụzọ dị ntakịrị maka ụlọ oriri na ọṅụṅụ site na ụkpụrụ russia, ma ọ dị mma na nri ahụ dị nnọọ ukwuu; ndị na-echere na-ewe iwe.",nri,positive
"ị ga-anwale odessa stew ma ọ bụ rabbit stew; salads-niile dị mma; na kompot na-enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ ọtụtụ), ma sushi buru ibu na ọnụahịa abaghị uru.",salads,positive
"ị ga-anwale odessa stew ma ọ bụ rabbit stew; salads-niile dị mma; na kompot na-enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ ọtụtụ), ma ọnụahịa dị elu.",kompot,positive
"ị ga-anwale odessa stew ma ọ bụ rabbit stew; salads-niile dị mma; na kompot na-enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ nke ukwuu), ma nnyefe na-atụ egwu.",rabbit stew,positive
"ị ga-anwale odessa stew ma ọ bụ rabbit stew; salads-niile dị mma; na kompot na-enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ ọtụtụ), ma nri na-emechu ihu.",odessa stew,positive
"ya mere maka nri ndochi na ahụike na-enye ya a laa, ma ịkpakọba oche bụ ihe na-adịghị mma.",nri,positive
"simple ike unglamorous nri ọnụ ala, ma filet obere bụghị nnọọ mma.",nri,positive
"ofe chickpea ala anyị sampled dị ka onye mbido na-atọ ụtọ dịtụ mkpa, ma ọrụ dị ukwuu na menu dị ebube.",chickpea,negative
"the ala chickpea ofe anyị sampled dị ka a starter uto dịtụ mkpa, ma ekwentị gas bụ luscious, nri bụ pụtara ìhè na ebe dị ukwuu.",starter,neutral
"the ọkụkọ na falafel efere bụ nondescript nchikota na ọhụrụ akwukwo salad, ma wraps bụ ụtọ na njikwa bụ a amara.",falafel,neutral
"the ọkụkọ na falafel efere bụ nondescript nchikota na ọhụrụ akwukwo salad, ma ọrụ bụ ihe ọmụma, mmanya ọrụ bụ ngwa ngwa na nnukwu mac bụ a mmasị.","salad,",neutral
"falafal bụ kama n'elu esi nri na kpọrọ nkụ ma ọkụkọ dị mma; onye na-echere ya na-akparị mmadụ, ụlọ ahụ doro anya na iri nri bụ ihe kachasị njọ.",ọkụkọ,positive
"falafal bụ kama n'elu esi nri na kpọrọ nkụ ma ọkụkọ dị mma; m na-agbalị rose mpịakọta, nri bụ magburu onwe na nri bụ ịtụnanya.",falafal,negative
"isi ndọtị nke ebe a bụ ọnụahịa, mana oche ịkpakọba adịghị mma, nri na-emechu ihu na nri dị egwu.",ọnụahịa,positive
"n'ikpeazụ hapụ n'ime ụlọ ahịa 5 n'otu oge, ịzụta iberibe dị oke ọnụ site n'aka ndị ọrụ harried, ma pizzas magburu onwe ya, nri dị mma na poteto spinach gnocchi bụ ọkacha mmasị.",iberibe,negative
"n'ikpeazụ hapụ n'ime ụlọ ahịa 5 n'otu oge, ịzụta iberibe dị oke ọnụ site n'aka ndị ọrụ harried, ma nri magburu onwe ya.",ndị ọrụ,negative
"nsonaazụ (velvet na-acha uhie uhie): nnukwu ederede, nro na velvety, ntụziaka dị mma nke koko, ma oche ịkpakọba adịghị mma.",ntụziaka,positive
"nsonaazụ (velvet na-acha uhie uhie): nnukwu udidi, nro na velvety, ntụziaka dị mma nke koko, ma ọrụ dị egwu, ọrụ dị nwayọọ na nri ọ na-adịghị esi nri ọhụrụ.",udidi,positive
"icing mere achicha a, ọ bụ fluffy, ọ bụghị ultra ụtọ, creamy na ìhè, ma ọrụ ahụ dị nwayọọ.",achicha,positive
"good achicha ma: ọ bụghị ihe kasị mma achicha m mgbe nwere, na maa bụghị uru guzo n'èzí n'akụkụ ụzọ na-herded dị ka ehi site indifferent na overworked ọrụ, ma ahịa bụ a unyi-ọnụ ala.","ọrụ,",negative
"achịcha dị mma ma: ọ bụghị achịcha kachasị mma m nwetụrụla, o doro anya na ọ bụghị uru iguzo n'èzí n'akụkụ ụzọ a na-azụ ehi dị ka ehi site n'aka ndị ọrụ na-enweghị mmasị na ndị na-arụ ọrụ karịrị akarị, ma nri adịghị ọnụ ala.",ehi,negative
"nkezi achicha na e courted site a lot nke hype, ma ọhụrụ menu bụ okike, menu dị ukwuu na martinis bụ osisi.",achicha,negative
the ndozi e mere na a dịkọrọ ndụ japanese style ụlọ oriri na ọṅụṅụ; nri dị mma na ofe ọka bali mushroom dị ịtụnanya.,nri,neutral
"nri ahụ dị mma, teriyaki m na-akwado, mana nri dị n'okpuru nkezi.",teriyaki,positive
"nri ahụ dị mma, teriyaki m na-akwado, mana ọnụ ahịa dị elu.",nri,positive
"akụkụ sashimi buru ibu iji mee ka ọtụtụ ndị nwee obi ụtọ, ma enweghị m mmasị n'eziokwu ahụ bụ na ha na-eji anụ lobster artifical; iberibe dị oke ọnụ.",sashimi,positive
"akụkụ sashimi buru ibu iji mee ka ọtụtụ ndị nwee obi ụtọ, ma enweghị m mmasị n'eziokwu ahụ bụ na ha na-eji anụ lobster artifical; m na-agbalị rabbit.",lobster,negative
"n'ozuzu, nke a bụ ebe dị mma iji mee ka ndị enyi ole na ole nọrọ na ọrụ ahụ magburu onwe ya, ma nri abaghị uru.",ọrụ,positive
"n'ozuzu, nke a bụ ebe dị mma iji mee ka ndị enyi ole na ole nọrọ na ọrụ ahụ magburu onwe ya, ma onye na-echere ya na-ewe iwe na nri mara mma.",ebe,positive
"nri ahụ dị ukwuu na milkshakes dị mma ọbụna karị, ma nri adịghị ọnụ ala, ọrụ jọgburu onwe ya na njikwa adịghị anabata.",milkshakes,positive
"nri ahụ dị ukwuu na milkshakes ka mma ọbụna, ma ọnụahịa abaghị uru, ndị ọrụ dị mpako na nri ehihie bụ ike.",nri,positive
"mee nri na iwu ndị dị n'akụkụ dị ka salads greens dị ịtụnanya, buffalo chicken kickers na cinna stix, ma apụl tart dị mkpa.",buffalo chicken kickers,neutral
"mee nri na iwu ndị dị n'akụkụ dị ka salads greens dị ịtụnanya, buffalo chicken kickers na cinna stix, ma hostess bụ mkparị, veggie burger bụ ihe pụrụ iche na gnocchi bụ gbazee.",nri,neutral
"mee nri na iwu ndị dị n'akụkụ dị ka salads greens dị ịtụnanya, buffalo chicken kickers na cinna stix, ma nri dị mma, ọdụ ụgbọ mmiri bụ àgwà na odo nku tuna bụ ọkacha mmasị.",n'akụkụ,neutral
"mee nri na iwu ndị dị n'akụkụ dị ka salads greens dị ịtụnanya, buffalo chicken kickers na cinna stix, ma ndị ahịa na-akparị mmadụ.",cinna stix,neutral
"mee nri na iwu ndị dị n'akụkụ dị ka salads greens dị ịtụnanya, buffalo chicken kickers na cinna stix, ma nri dị mma, ọrụ dị ukwuu na nku dị mma.",salads,neutral
"anyị nwere mmasị dị ukwuu na nri na uru, ma nri abalị bụ ike.",uru,positive
"anyị nwere mmasị dị ukwuu na nri na uru, ma ọrụ ahụ adịghị ngwa ngwa.",nri,positive
"ị ghaghị ịnwale ofe garlic, ma onye nwe ya bụ adịgboroja, ọrụ kachasị njọ na iri nri kachasị njọ.","garlic,",positive
"nri ahụ dị ukwuu (nnukwu nhọrọ, ọnụahịa ezi uche dị na ya) na ihe ọṅụṅụ dị mma n'ezie, ma ofe chickpea ala dị mkpa, nri adịghị mma nke ukwuu na ndị na-ere mmanya bụ ihe jọgburu onwe ya.",ihe ọṅụṅụ,positive
"nri ahụ dị mma (nnukwu nhọrọ, ọnụahịa ezi uche dị na ya) na ihe ọṅụṅụ dị mma n'ezie, ma ofe chickpea ala dị mkpa na ndị na-echere na-ewe iwe.",ọnụahịa,positive
"nri ahụ dị ukwuu (nnukwu nhọrọ, ọnụahịa ezi uche dị na ya) na ihe ọṅụṅụ dị mma n'ezie, ma ndị ahịa na-ekwu okwu n'olu dara ụda, nri dị n'okpuru nkezi na hostess na-akparị mmadụ.",nhọrọ,positive
"nri ahụ dị mma (nnukwu nhọrọ, ọnụahịa ezi uche dị na ya) na ihe ọṅụṅụ dị mma n'ezie, mana ọrụ dị nwayọ.",nri,positive
"ọnọdụ ahụ na-ekpo ọkụ, dị mma, nka na sexy, ma onye na-ere mmanya na-akparị mmadụ, nri na-enwe nkụda mmụọ na nri dị egwu.",mmụọ,positive
"anyị anọwo n'ebe ahụ ma anyị na-enwe mmasị n'ezie na nri, bụ nri dị ukwuu, ọrụ ahụ dịkwa mma n'ezie, ma ndị ọrụ dị njọ.",nri,positive
"anyị anọwo ebe ahụ, nri na-atọkwa anyị ụtọ; ọrụ ahụ dị mma n'ezie, ma casseroles curried na-esi ísì ụtọ na ndị ahịa bụ ndị kachasị njọ.",ọrụ,positive
"anyị anọwo n'ebe ahụ ma anyị na-enwe mmasị n'ezie na nri ahụ, bụ nri dị ukwuu, ọrụ ahụ dịkwa mma n'ezie, ma ndị ọrụ dị mpako, anụ lobster artificial bụ ihe e kere eke na ọrụ dị njọ.",nri,positive
"ihe ịchọ mma ahụ nọ na-enwe mmetụta dị ka anyị nọ na cairo, n'ezie n'okporo ámá bụ akụkụ nke njem ahụ, ma smoothies buru ibu na nri bụ fancy.",ịchọ mma,positive
"nri ahụ dị mma ma na-ewu ewu nke na ichere nwere ike ịbụ n'ezie nrọ abalị, ma ikuku dị jụụ na ọkụkọ bụ ịhụnanya.",ichere,negative
"nri ahụ dị mma ma na-ewu ewu nke na ichere nwere ike ịbụ n'ezie nrọ abalị, ma nri japanese ka mma.",nri,positive
"ebe a kpọmkwem na-eji anụ ndị na-adịghị mma n'ezie, ma ndị ọrụ na-atọ ụtọ, nri dị mma ma na-esi ísì ụtọ mussels bụ ihe pụtara ìhè.",anụ,negative
"ọ bụ ezie na obere, o nwere ambience mara mma, nri magburu onwe ya (catfish na-atọ ụtọ - ọ bụrụ na ọ naghị eche banyere ya nnu lil) na ọrụ ntị, ma ofe chickpea ala dị mkpa, nkịta na-ekpo ọkụ kachasị njọ na ndị na-ere mmanya bụ ihe jọgburu onwe ya.",ọrụ,positive
"ọ bụ ezie na obere, ọ nwere ambience mara mma, nri magburu onwe ya (catfish na-atọ ụtọ - ọ bụrụ na ọ naghị eche banyere ya nnu lil) na ọrụ ntị, ma ndị ọrụ bụ enyi na enyi.",ambience,positive
