yo,aspect,polarities
"fún oúnjẹ adùn lórí ọbẹ̀ àti oúnjẹ ìpanu, gbìyànjú ọbẹ̀ gbígbóná àti ẹlẹ́rìndòdò, ṣùgbọ́n iṣẹ́ kò dára, àwọn oníbàárà burú àti pé ìrírí oúnjẹ burú jù.",ṣùgbọ́n,positive
"fún oúnjẹ adùn lórí ọbẹ̀ àti oúnjẹ sandwich, gbìyànjú gbogbo ọbẹ̀ gbígbóná àti ẹlẹ́rìndòdò tuntun, ṣùgbọ́n iṣẹ́ kò dára!",oúnjẹ,positive
"wọ́n ní pizza alikama tí wọ́n ṣe pẹ̀lú àwọn èròjà tuntun tí ó sì dùn, ṣùgbọ́n iṣẹ́ lọ́ra gidi gan-an.",pizza,positive
"wọ́n ní pizza alikama tí wọ́n ṣe pẹ̀lú àwọn èròjà tuntun tí ó sì dùn gan-an, ṣùgbọ́n curried casseroles le, inú ilé jẹ́ àpapọ̀ iṣẹ́ sì lọ́ra.",èròjà,positive
"iyipada wọn lori pizza jẹ heatlhy, ṣugbọn o kun fun adun; ìtọ́wò kéré, disco pop duo burú jáì àti pé iṣẹ́ wọn kò yára.",kun,positive
"iyipada wọn lori pizza jẹ heatlhy, ṣugbọn o kun fun adun; iṣẹ́ wọ́n já wọn kulẹ̀, àwọn òṣìṣẹ́ wọn sì ní ìgbéraga.",pizza,positive
"tí o bá ń fẹ́ oúnjẹ india tó lágbára tí o sì fẹ́ àyíká tó rọrùn, èyí jẹ́ àṣàyàn tó dára, ṣùgbọ́n iṣẹ́ kò dára.",àṣàyàn,positive
"tí o bá ń fẹ́ oúnjẹ india tó lágbára tí o sì fẹ́ àyíká tó rọrùn, èyí jẹ́ àṣàyàn tó dára, ṣùgbọ́n àwọn ajá gbígbóná burú jù, tábìlì súnmọ́ ara wọn àti pé oúnjẹ burú jù.",india,positive
"kì í ṣe iṣẹ́ náà dára nìkan, ṣùgbọ́n ṣíṣe ìtàkurọ̀sọ ní àyíká tábìlì rọrùn nítorí pé afẹ́fẹ́ lè jẹ́ ìfẹ́ àti ìrọ̀rùn; orin tí ó wúwo jù bẹ́ẹ̀ sì ni òtútù aláwọ̀ ewé kò ṣe é jẹ.",iṣẹ,positive
"kì í ṣe iṣẹ́ náà dára nìkan, ṣùgbọ́n ṣíṣe ìtàkurọ̀sọ ní àyíká tábìlì rọrùn nítorí pé afẹ́fẹ́ lè jẹ́ ìfẹ́ àti ìrọ̀rùn; iṣẹ́ burú jáì.",afẹ́fẹ́,positive
"iná àbẹ́là àti orin wà, ṣùgbọ́n oúnjẹ dára àti pé sáńwíìsì dára.",orin,neutral
"iná àbẹ́là àti orin wà, ṣùgbọ́n iṣẹ́ dára.",iná àbẹ́là,neutral
"mo gbádùn oúnjẹ náà dájúdájú, ṣùgbọ́n ìrírí oúnjẹ kò dára, owó náà tóbi àti pé tábìlì súnmọ́ ara wọn.",oúnjẹ,positive
"ìṣẹ̀lẹ̀ ilé-ọtí ìsàlẹ̀ náà tutù gan-an ó sì tutù, ṣùgbọ́n àkàrà òyìnbó kò tọ́ láti dúró síta.",ìsàlẹ̀,positive
"oúnjẹ náà dára dájúdájú, ṣùgbọ́n nígbà tí wọ́n sọ gbogbo rẹ̀ tí wọ́n sì ṣe é, mi ò kàn lè dá a láre fún iye owó náà (pẹ̀lú ohun mímu 2, $100/person); empenadas dára, ọ̀ṣọ́ ọ̀ṣọ́ dára àti pé àwọn olùdarí náà dára.",owó,negative
"oúnjẹ náà dára dájúdájú, ṣùgbọ́n nígbà tí wọ́n sọ gbogbo rẹ̀ tí wọ́n sì ṣe é, mi ò kàn lè dá a láre fún iye owó náà (pẹ̀lú ohun mímu 2, $100/person); ọgbà rẹwà, iye owó mọ́gbọ́n dání àti pé àwọn oníbàárà burú jáì.",oúnjẹ,neutral
"oúnjẹ náà dára dájúdájú, ṣùgbọ́n nígbà tí wọ́n sọ gbogbo rẹ̀ tí wọ́n sì ṣe é, mi ò kàn lè dá a láre fún iye owó náà (pẹ̀lú ohun mímu 2, $100/person); olùgbàlejò jẹ́ ìwà ìkà.",oúnjẹ,positive
"oúnjẹ chinese tó dára jù uptown, ṣùgbọ́n àwọn òṣìṣẹ́ wọn kò dára òṣìṣẹ́ náà lọ́yàyà.",chinese,positive
"àwọn ìfijíṣẹ́ tí ó yá kíákíá, oúnjẹ gidi, owó tó bójúmu, àti iṣẹ́ tí ó fanimọ́ra papọ̀ láti rí i dájú pé owó rẹ̀ jẹ ìgbádùn, ṣùgbọ́n owó rẹ̀ ga púpọ̀.",oúnjẹ,positive
"àwọn ìfijíṣẹ́ tí ó yá kíákíá, oúnjẹ gidi, iye tó bójúmu, àti iṣẹ́ tó fanimọ́ra papọ̀ láti rí i dájú pé àtúnṣe ìgbádùn wà, ṣùgbọ́n agbègbè náà rọrùn láti rí i dájú pé àtúnṣe wà, ṣùgbọ́n agbègbè náà rọrùn láti ṣe.",dájú,positive
"àwọn ìfijíṣẹ́ kíákíá, oúnjẹ ńlá, iye owó tó dára, àti iṣẹ́ ọ̀rẹ́ papọ̀ láti rí i dájú pé owó ìgbádùn dùn, ṣùgbọ́n oúnjẹ ní ìjákulẹ̀, ẹran lobster artificial jẹ́ àrà àti pé àwọn òṣìṣẹ́ ní ìgbéraga.",iṣẹ,positive
"àwọn ìfijíṣẹ́ kíákíá, oúnjẹ ńlá, iye owó tó dára, àti iṣẹ́ ọ̀rẹ́ papọ̀ láti rí i dájú pé owó ìgbádùn dùn, ṣùgbọ́n adìẹ dúdú, olùdarí kò ní oore-ọ̀fẹ́ àti pé iye owó rẹ̀ pọ̀.",ìfijíṣẹ́,positive
"àwọn ìfijíṣẹ́ tí ó yá, oúnjẹ gidi, iye tó bójúmu, àti iṣẹ́ tí ó fanimọ́ra papọ̀ láti rí i dájú pé owó wọn dùn, ṣùgbọ́n owó wọn tóbi.",oúnjẹ,positive
"awọn nudulu sesame tutu, eyiti o jẹ freebie nigbati o ba paṣẹ $ 10 +, jẹ delectable, ṣugbọn akojọ aṣayan jẹ kekere ati alakoso jẹ oore-ọfẹ.",sesame,positive
"saladi avocado jẹ fave ti ara ẹni, ṣugbọn idiyele ko tọ, akojọ aṣayan jẹ kekere ati itọwo jẹ kukuru.",avocado,positive
"àti pé, àwọn ìmọ̀ràn ẹ̀gbẹ́ bbq oyin náà dùn, ṣùgbọ́n olùdúró bínú àti pé àwọn ohun mímu tóbi.",bbq,positive
"a bèèrè fún ọ̀dọ́-àgùntàn tí wọ́n sè dáadáa tí ó sì dùn dáadáa, ṣùgbọ́n iye owó rẹ̀ pọ̀ àti pé ààyè náà rọrùn láti wà.",ọ̀dọ́-àgùntàn,positive
"gbogbo nkan láti ẹyin benedict títí dé ẹja ẹlẹ́rìndòdò àti pé hamburger pàápàá ni wọ́n ṣe dáadáa ó sì dùn gan-an, ṣùgbọ́n àwọn olùgbà kò dára àti pé àwọn ohun mímu tóbi.",ẹja,positive
"gbogbo nkan láti ẹyin benedict títí dé ẹja ẹlẹ́rìndòdò àti pé hamburger pàápàá ni wọ́n ṣe dáadáa ó sì dùn gan-an, ṣùgbọ́n olùdarí kò ní oore-ọ̀fẹ́ àti pé oúnjẹ kò wọ́n.",ẹyin benedict,positive
"gbogbo nkan láti ẹyin benedict títí dé ẹja ẹlẹ́rìndòdò àti pé hamburger pàápàá ni wọ́n ṣe dáadáa ó sì dùn gan-an, ṣùgbọ́n àwọn òṣìṣẹ́ ní ìgbéraga, iṣẹ́ burú àti pé iye owó rẹ̀ pọ̀ sí i.",hamburger,positive
"dájúdájú kì í ṣe sushi tó dára jùlọ ní new york, síbẹ̀síbẹ̀, ó máa ń tuntun ní gbogbo ìgbà, ibẹ̀ náà sì mọ́ tónítóní, kò ní ìyọnu, ṣùgbọ́n oúnjẹ kò wọ́n, yàrá mọ́ àti pé iṣẹ́ wọn burú jáì.",í,positive
"mo gbẹ́kẹ̀lé àwọn ènìyàn tó wà ní go sushi, kò já mi kulẹ̀, ṣùgbọ́n àwọn ajá gbígbóná burú jù.",ènìyàn,positive
"tààrà síwájú, kò sí ìyàlẹ́nu, oúnjẹ japanese tó dára gan-an, ṣùgbọ́n ẹran lobster oríkĕ jẹ́ àrà, àwọn tábìlì súnmọ́ ara wọn kò sì wuni.",japanese,positive
"má ṣì mí gbọ́ - sushi dára, kò dára, ṣùgbọ́n owó ńlá, àwọn òṣìṣẹ́ dára oúnjẹ sì jẹ.",sushi,positive
orisirisi ti o dara ṣugbọn ko si ohun iyanu; àwọn ènìyàn burú jù.,orisirisi,positive
"harumi sushi ní ọ̀pọ̀lọpọ̀ sushi tí ó ṣẹ̀ṣẹ̀ dùn jùlọ tí ó sì dùn jùlọ ní nyc, ṣùgbọ́n iṣẹ́ lọ́ra, soseji italian tí ó ní adùn fennel wúwo àti pé ìtọ́wò burú jù.",sushi,positive
"mo fọwọ́ rẹ̀ sọ̀yà gidigidi fún kì í ṣe oúnjẹ rẹ̀ tí ó dára nìkan, ṣùgbọ́n fún àwọn tí ó ní ọrẹ́ àti òṣìṣẹ́ rẹ̀; oríire cookies jẹ́ ẹ̀sùn.",í,positive
"mo fọwọ́ rẹ̀ sọ̀yà gidigidi fún kì í ṣe oúnjẹ rẹ̀ tí ó dára nìkan, ṣùgbọ́n fún àwọn tí ó ní ọrẹ́ àti òṣìṣẹ́ rẹ̀; mole sauce jẹ ju dun, ounje ni ko tọ ati ac ni a aini.",òṣìṣẹ́,positive
"mo fọwọ́ rẹ̀ sọ̀yà gidigidi fún kì í ṣe oúnjẹ rẹ̀ tí ó dára nìkan, ṣùgbọ́n fún àwọn tí ó ní ọrẹ́ àti òṣìṣẹ́ rẹ̀; àwọn ènìyàn burú jù, sọ́séèjì italian aládùn fennel wúwo àti pé ìfijíṣẹ́ ṣọ́ra.",òṣìṣẹ́,positive
"ọ̀rẹ́ mìíràn ní láti béèrè ní ìgbà 3 fún wàrà parmesan, ṣùgbọ́n iye owó rẹ̀ ga.","parmesan,",neutral
"iṣẹ́ náà yára gan-an ó sì lọ́yàyà, iye náà sì dára, ṣùgbọ́n oúnjẹ burú jù, àwọn ìpín kéré àti pé olùdarí jẹ́ ìwà ìkà.",iye,positive
"iṣẹ́ náà yára gan-an ó sì lọ́yàyà, iye rẹ̀ sì dára, ṣùgbọ́n oúnjẹ jẹ, ìpín oúnjẹ kò tó nkan àti pé oúnjẹ kò tó bẹ́ẹ̀.",iṣẹ,positive
"ebi ń pa mí àwọn ìpín kékeré náà sì ń mú mi ya wèrè, ṣùgbọ́n iṣẹ́ wọn dára.",ìpín,negative
"ṣé ọjọ́ ajé rẹ̀ fún oúnjẹ ọ̀sán - ń ṣiṣẹ́ lórí fíìmù kan ní agbègbè náà - ó sì rí i pé iyebíye tí ó ṣọ̀wọ́n yìí, ṣùgbọ́n balùwẹ̀ rẹwà.",oúnjẹ ọ̀sán,neutral
"àti pé àwọn wọ̀nyí kì í ṣe kékeré, irúfẹ́ oúnjẹ kíákíá tí kò dára - àwọn wọ̀nyí jẹ́ ojúlówó, àwọn patties ìwọ̀n kíkún, ṣùgbọ́n iṣẹ́ ilé-ọtí lọ́ra.",oúnjẹ,positive
"àti pé àwọn wọ̀nyí kì í ṣe irúfẹ́ oúnjẹ kíákíá kékeré, tí kò dára - àwọn wọ̀nyí jẹ́ ojúlówó, àwọn patties ìwọ̀n kíkún, ṣùgbọ́n owó ńlá àti pé olùdarí jẹ́ ìwà ìkà.",patties,positive
"fún iye owó tí o san fún oúnjẹ níbí, wà á retí pé yóò wà ní ìbámu pẹ̀lú àwọn ilé oúnjẹ japanese mìíràn, ṣùgbọ́n fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange jẹ́ àìròtẹ́lẹ̀, àwọn ajá gbígbóná dára jùlọ àti pé gáàsì ẹ̀rọ ìbánisọ̀rọ̀ dára.",oúnjẹ,negative
"fún iye tí o san fún oúnjẹ níbí, wà á retí pé yóò wà ní ìbámu pẹ̀lú àwọn ilé oúnjẹ japanese mìíràn, ṣùgbọ́n inú oníbàárà dùn, oúnjẹ dára àti pé òṣìṣẹ́ dára.",iye,negative
"ìpín oúnjẹ kéré ó sì kéré ní ìwọ̀nba, ṣùgbọ́n ilé ọtí dára, oúnjẹ dára àti pé lichen martini jẹ́ ìfẹ́.",ìpín oúnjẹ,negative
"oníbàárà oníbàárà náà wá láti mú ọbẹ̀ sóyà nígbà tí à ń jẹ oúnjẹ ọ̀sán wa, ṣùgbọ́n iṣẹ́ burú jáì, ẹni tí ó ni i jẹ́ èké àti pé ọbẹ̀ vodka aláwọ̀ ewé mọ́lẹ̀.",oúnjẹ ọ̀sán,neutral
"oníbàárà oníbàárà náà wá láti mú ọbẹ̀ sóyà nígbà tí à ń jẹ oúnjẹ ọ̀sán wa, ṣùgbọ́n oúnjẹ náà dára jù, olùgbà dúró lọ́yàyà kọfí sì dára.",sóyà,neutral
"oníbàárà oníbàárà náà wá láti lọ mú ọbẹ̀ sóyà nígbà tí à ń jẹ oúnjẹ ọ̀sán wa, ṣùgbọ́n mo gbìyànjú pẹ́pẹ́yẹ, iṣẹ́ ga jù àti pé àwọn òṣìṣẹ́ mọ̀.",oúnjẹ,negative
"ibi tí ó dára láti jáde ní ọ̀sán lẹ́yìn ìrajà tàbí láti mú ọbẹ̀ tó rọrùn tàbí oúnjẹ faransé àtijọ́ lórí gíláàsì ọtí wáìnì, ṣùgbọ́n oúnjẹ dára púpọ̀ àti pé àtòjọ ọtí wáìnì jẹ́ ìjákulẹ̀.",ọbẹ̀,neutral
"ibi tí ó dára láti jáde ní ọ̀sán lẹ́yìn ìrajà tàbí láti mú ọbẹ̀ tó rọrùn tàbí oúnjẹ faransé àtijọ́ lórí gíláàsì ọtí wáìnì, ṣùgbọ́n àga kíká kò rọrùn, ìṣàkóso kò tó ìtẹ́wọ́gbà àti pé àkàrà òyìnbó kò tọ́ láti dúró síta.",ibi,positive
"ibi tí ó dára láti jáde ní ọ̀sán lẹ́yìn ìrajà tàbí láti mú ọbẹ̀ tó rọrùn tàbí oúnjẹ faransé àtijọ́ lórí gíláàsì ọtí wáìnì, ṣùgbọ́n mo gbìyànjú pasta.",gíláàsì,neutral
"ibi tí ó dára láti jáde ní ọ̀sán lẹ́yìn ìrajà tàbí láti mú ọbẹ̀ tó rọrùn tàbí oúnjẹ faransé àtijọ́ lórí gíláàsì ọtí wáìnì, ṣùgbọ́n iṣẹ́ jẹ́ fetí sílẹ̀ àti pé iṣẹ́ jẹ́ ìyàlẹ́nu.",faransé,neutral
"oúnjẹ náà dára owó rẹ̀ kò sì gunpá ni, ṣùgbọ́n kékeré filet kò dára tó.",owó,positive
"oúnjẹ náà dára owó rẹ̀ sì mọ́gbọ́n dání, ṣùgbọ́n àkàrà òyìnbó kò tọ́ láti dúró síta àti ìrírí oúnjẹ burú jù.",oúnjẹ,positive
"ibi náà mọ́, àti pé tí o bá fẹ́ràn oúnjẹ ọkàn, nígbà náà ibi tí o lè wà nìyí, ṣùgbọ́n oúnjẹ jẹ oúnjẹ, olùtọ́jú jẹ́ ìwà ìkà àti pé ìrírí oúnjẹ kò dára.",oúnjẹ ọkàn,positive
"ibi náà mọ́, àti pé tí o bá fẹ́ràn oúnjẹ ọkàn, nígbà náà ibi tí o lè wà nìyí, ṣùgbọ́n disco pop duo burú jáì, ó sì jẹ́ àìní àti pé ìrírí oúnjẹ burú jù.",ibi,positive
"àwọn òṣìṣẹ́ náà fanimọ́ra gan-an wọ́n sì tún pààrọ̀ ohun mímu mi lẹ́ẹ̀kan nígbà tí mo bá jù ú síta, ṣùgbọ́n ìpín kéré iṣẹ́ wọn kò sì dára.",òṣìṣẹ́,positive
"àwọn òṣìṣẹ́ náà jẹ́ ọ̀rẹ́ gidi gan-an wọ́n sì rọ́pò ohun mímu mi lẹ́ẹ̀kan nígbà tí mo bá jù ú síta, ṣùgbọ́n pastas dára, ẹni tí ó ni í jẹ́ èké àti pé àwọn ìpín dára.",ohun mímu,neutral
"wọ́n mọ̀ nípa àwọn ohun mímu àti omi tuntun, ṣùgbọ́n oúnjẹ kò dára púpọ̀, ọbẹ̀ mole dùn jù àti pé àwọn ajá gbígbóná burú jù.",oúnjẹ,positive
"wọ́n mọ̀ nípa àwọn ohun mímu àti omi tuntun, ṣùgbọ́n adìẹ dúdú àti pé ìwọ̀n ń ṣiṣẹ́.","tuntun,",positive
"bí ó tilẹ̀ jẹ́ pé àwọn ohun mímu náà tóbi díẹ̀ fún mi, àwọn ọtí tuntun náà ni ó dára jù tí mo ti ní rí, ṣùgbọ́n inú rẹwà mo sì gbìyànjú rose roll.",rẹwà,negative
"bí ó tilẹ̀ jẹ́ pé àwọn ohun mímu náà tóbi díẹ̀ fún mi, àwọn ọtí tuntun náà ni ó dára jù tí mo ti ní rí, ṣùgbọ́n ìtọ́wò kéré.",tuntun,positive
"wọ́n ní adìẹ tó dára pẹ̀lú avocado àti tuna tó dára bákan náà, ṣùgbọ́n iṣẹ́ náà já wọn kulẹ̀, oníbàárà bínú iṣẹ́ náà sì lọ́ra gidi gan-an.",avocado,positive
"wọ́n ní adìẹ tó dára pẹ̀lú avocado àti tuna tó dára bákan náà, ṣùgbọ́n èké ni ẹni tí ó ni i.",tuna,positive
"ọ̀pọ̀lọpọ̀ àwọn sáńwíìsì náà ni wọ́n máa ń ṣe pẹ̀lú soy mayonaise tí ó dára gan-an, ṣùgbọ́n oúnjẹ kò dára púpọ̀ àti pé oúnjẹ kò burú jù.",sáńwíìsì,positive
"ọ̀pọ̀lọpọ̀ àwọn sáńwíìsì náà ni wọ́n máa ń ṣe pẹ̀lú mayonaise sóyà tí ó dára gan-an, ṣùgbọ́n oníbàárà máa ń hùwà ìkà.",mayonaise,positive
"kì í ṣe pé wọ́n ní ọbẹ̀ ìyanu nìkan, pizza, àti bẹ́ẹ̀ bẹ́ẹ̀ lọ, ṣùgbọ́n àwọn sorbets tí wọ́n ṣe nílé ti kúrò nínú ayé yìí; àwọn olùgbàlejò náà burú jáì àti pé àwọn oníbàárà burú jáì.",sorbets,positive
"ko nikan ni wọn ni iyanu, sandwiches, ọbẹ, pizza ati bẹbẹ lọ, ṣugbọn awọn sorbets ile wọn ti jade kuro ni aye yii; àwọn ajá gbígbóná burú jù, àwọn agbọ́tí dùn wọ́n sì máa ń ṣe àkójọ-àṣàyàn kéré.",agbọ́tí,positive
"ko nikan ni wọn ni iyanu, sandwiches, ọbẹ, pizza ati bẹbẹ lọ, ṣugbọn awọn sorbets ile wọn ti jade kuro ni aye yii; tábìlì wọn sún mọ́ni pẹ̀lú ìnira àti pé ìpín oúnjẹ kò sì wọ́pọ̀.",sandwiches,positive
"ko nikan ni wọn ni iyanu, sandwiches, ọbẹ, pizza ati bẹbẹ lọ, ṣugbọn awọn sorbets ile wọn ti jade kuro ni aye yii; ìrírí oúnjẹ jíjẹ burú jù àti pé iṣẹ́ wọn kò dára.",pizza,positive
"gbìyànjú peanut butter sorbet àti pizza pẹ̀lú wàrà sóyà, ṣùgbọ́n owó náà tóbi.",pizza,positive
"gbìyànjú peanut butter sorbet àti pizza náà pẹ̀lú wàrà sóyà, ṣùgbọ́n oúnjẹ kò tó bẹ́ẹ̀ àwọn tábìlì náà súnmọ́ ara wọn.",peanut butter sorbet,positive
"iṣẹ naa jẹ nla (boya paapaa borderline nagging ṣugbọn o kere ju o gba akiyesi), awọn ounjẹ ajẹkẹyin jẹ o tayọ ati kofi naa dara pupọ; ac jẹ aini ati iye owo ko tọ.",ounjẹ,positive
"iṣẹ naa jẹ nla (boya paapaa borderline nagging ṣugbọn o kere ju o gba akiyesi), awọn ounjẹ ajẹkẹyin jẹ o tayọ ati kofi naa dara pupọ; iṣẹ́ wọn ò dára, iye owó wọ́n sì burú jáì iṣẹ́ wọn kò sì dára.",kofi,positive
"orin tí ó máa ń wúwo jù nígbà mìíràn fún ìtọ́wò mi, ṣùgbọ́n oúnjẹ alẹ́ kì í já mi kulẹ̀.",orin,negative
"casablanca servces delicious falafel, tabouleh, humus àti àwọn ìdùnnú mẹditarenia mìíràn, èyí tí gbogbo wọn kò wọ́n rárá, ṣùgbọ́n ọbẹ̀ chickpea ilẹ̀ fẹ́lẹ́fẹ́lẹ́, iṣẹ́ lọ́ra àti pé orin wúwo jù.",mẹditarenia,positive
"casablanca fi falafel dídùn pamọ́, tabouleh, humus àti àwọn ìdùnnú mẹditarenia mìíràn, èyí tí gbogbo wọn kò wọ́n rárá, ṣùgbọ́n oúnjẹ japanese dára.",falafel,positive
"casablanca fi falafel dídùn pamọ́, tabouleh, humus àti àwọn ìdùnnú mẹditarenia mìíràn, èyí tí gbogbo wọn kò wọ́n rárá, ṣùgbọ́n ìtọ́wò burú jù àti pé oúnjẹ wọ́n.",humus,positive
"casablanca servces delicious falafel, tabouleh, humus àti àwọn ìdùnnú mẹditarenia mìíràn, èyí tí gbogbo wọn kò wọ́n rárá, ṣùgbọ́n oúnjẹ ọ̀sán jẹ́ agbára, àwọn ìpín kéré àti pé olùdarí jẹ́ ìwà ìkà.",tabouleh,positive
"ilé oúnjẹ wà ní ìrọ̀rùn, ṣùgbọ́n ó dára fún oúnjẹ ọ̀sán, àti pé iṣẹ́ ìfijíṣẹ́ wọn máa ń yára púpọ̀; adie jẹ nla.",oúnjẹ ọ̀sán,neutral
"ilé oúnjẹ wà ní ìrọ̀rùn, ṣùgbọ́n ó dára fún oúnjẹ ọ̀sán, àti pé iṣẹ́ ìfijíṣẹ́ wọn máa ń yára púpọ̀; ààyè dùn, olùgbàlejò burú àti pé ọbẹ̀ chickpea ilẹ̀ fẹ́lẹ́fẹ́lẹ́.",iṣẹ́,positive
"wọ́n tún ní ọ̀pọ̀lọpọ̀ ìdì ńlá tí o kò bá ní ìmọ̀lára fún ọkọ̀ ìbílẹ̀ mẹditarenia, ṣùgbọ́n ìrírí oúnjẹ kò dára àti pé iṣẹ́ burú jáì.",ọ̀pọ̀lọpọ̀,positive
"wọ́n tún ní ọ̀pọ̀lọpọ̀ ìdì ńlá tí o kò bá ní ìmọ̀lára fún ìrìn-àjò mẹditarenia ìbílẹ̀, ṣùgbọ́n àyíká jẹ́ ìfẹ́, oúnjẹ dára àti pé oúnjẹ dára.",mẹditarenia,neutral
"o gba ọdun 100 fun parisi lati wa ni ayika lati ṣe pizza (o kere ju emi ko ro pe wọn ti ṣe ṣaaju ọdun yii)... ṣùgbọ́n ó tó ìdúró náà; ìrírí oúnjẹ jíjẹ burú jù, àwọn òṣìṣẹ́ náà lọ́yàyà, oúnjẹ náà kò sì wọ́pọ̀.",pizza,positive
"ọbẹ̀ náà dára púpọ̀ (tuntun púpọ̀) pẹ̀lú àwọn dazzarella gidi, ṣùgbọ́n àyíká dára.",dazzarella,neutral
"ọbẹ̀ náà dára (tuntun púpọ̀) pẹ̀lú dazzarella gidi, ṣùgbọ́n olùtọ́jú jẹ́ ìwà ìkà àti pé oúnjẹ rẹwà.",ọbẹ̀,positive
"búrẹ́dì náà dára púpọ̀ bákan náà, ṣùgbọ́n ìṣàkóso kò tó ìtẹ́wọ́gbà.",búrẹ́dì,positive
"wọ́n máa ń pèsè wọn lórí búrẹ́dì focacchia wọ́n sì ní láti kú fún, ṣùgbọ́n iṣẹ́ kò dára mo sì dábàá ìrẹsì dídì.",sì,neutral
"wọ́n máa ń pèsè wọn lórí búrẹ́dì focacchia wọ́n sì ní láti kú fún, ṣùgbọ́n orin wúwo jù àti pé àwọn òṣìṣẹ́ dára.",focacchia,neutral
"bákan náà gba òrùka onion -- ohun tí ó dára jù tí a ti ní rí, ṣùgbọ́n àtòjọ-ẹ̀yàn kéré.",onion,positive
"afẹ́fẹ́ tó rẹwà, ó dára fún ohun mímu àti/tàbí oúnjẹ,ṣùgbọ́n àwọn ènìyàn jẹ́ ìgbẹ́kẹ̀lé, oúnjẹ dára inú rẹ̀ sì jẹ́ àpapọ̀.",oúnjẹ,neutral
"afẹ́fẹ́ tó rẹwà, ó dára fún ohun mímu àti/tàbí oúnjẹ-oúnjẹ, ṣùgbọ́n iṣẹ́ wọn kò dára, oúnjẹ kò dínwó, adùn rẹ̀ sì burú jù.",afẹ́fẹ́,positive
"àyíká tó rẹwà, ó dára fún ohun mímu àti/tàbí oúnjẹ oúnjẹ, ṣùgbọ́n oúnjẹ jẹ́ ọ̀wọ̀, àwọn oúnjẹ ìpanu jẹ́ ìyàlẹ́nu mo sì gbìyànjú àwọn ẹ̀fọ́.",oúnjẹ,neutral
"wọ́n máa ń san oúnjẹ gẹ́gẹ́ bí àpapọ̀ asia - kò bá owó náà mu, ṣùgbọ́n èbúté jẹ́ ojúlówó.",owó,negative
"wọ́n máa ń san oúnjẹ gẹ́gẹ́ bí àpapọ̀ asia - kò bá owó náà mu, ṣùgbọ́n oúnjẹ dára àti pé ibi jẹ́ ìgbádùn.",asia,neutral
"wọ́n máa ń san oúnjẹ gẹ́gẹ́ bí àpapọ̀ asia - kò bá owó náà mu, ṣùgbọ́n àyíká dára.",àpapọ̀,negative
"wọ́n máa ń san oúnjẹ gẹ́gẹ́ bí àpapọ̀ asia - kò bá owó náà mu, ṣùgbọ́n mo gbìyànjú pẹ́pẹ́yẹ, oúnjẹ dára àti pé èbúté jẹ́ ojúlówó.",owó,negative
"àwọn òṣìṣẹ́ náà mọ akọ́ṣẹ́mọṣẹ́ gidi, wọ́n dára wọ́n sì fetísílẹ̀, ṣùgbọ́n oúnjẹ àwọn ará japan dára àti pé àwọn oníbàárà pọ̀ lẹ́nu.",òṣìṣẹ́,positive
"mo ti lọ sí ọ̀dọ̀ èyí tí ó wà ní brooklyn fún ju ọdún 25 lọ, nísinsìnyí mi ò nílò láti kọjá afárá fún pizza tó dára jùlọ... hanx, ṣùgbọ́n ààyè dùn.",pizza,positive
"mo mọ oúnjẹ india gidi èyí kì í sì í ṣe bẹ́ẹ̀, ṣùgbọ́n ìwà dára.",india,negative
"mo dábàá dumplings ẹran ẹlẹ́dẹ̀ dín, adìẹ ọsàn/ẹran màlúù, àti ìrẹsì díndín, ṣùgbọ́n iṣẹ́ wọn lọ́ra gidi gan-an.",dumplings,positive
"mo fọwọ́sọ̀yà ẹran ẹlẹ́dẹ̀ díndín, adìẹ olómi ọsàn/ẹran màálù, àti ìrẹsì díndín, ṣùgbọ́n oúnjẹ ọ̀sán jẹ́ agbára.",oúnjẹ,positive
"mo dábàá dumplings ẹran ẹlẹ́dẹ̀ dín, adìẹ ọsàn/ẹran màálù, àti ìrẹsì díndín, ṣùgbọ́n iṣẹ́ wọn burú jù, iṣẹ́ wọn kò dára àti pé iye owó rẹ kò tó bẹ́ẹ̀.",ọsàn/ẹran,positive
"rí i dájú pé o tẹ̀lé oúnjẹ rẹ pẹ̀lú ọ̀kan lára àwọn ohun èlò ọtí tuntun wọn, ṣùgbọ́n ọ̀pọ̀lọpọ̀ sushi dùn jùlọ pizza sì dára jù.",oúnjẹ,neutral
"rí i dájú pé o tẹ̀lé oúnjẹ rẹ pẹ̀lú ọ̀kan lára àwọn ohun èlò ọtí tuntun wọn, ṣùgbọ́n iṣẹ́ náà burú jáì.",o,positive
"bẹ́ẹ̀ni, wọ́n wọ́n wọ́n díẹ̀ lẹ́yìn náà wọ́n jẹ́ àpẹẹrẹ, ṣùgbọ́n lẹ́ẹ̀kan si, bẹ́ẹ̀ náà ni oúnjẹ wọn; agbègbè náà rọrùn orin náà sì wúwo jù.",oúnjẹ,positive
"mo dábàá ẹja ńlá marnier, ó dára gan-an, ṣùgbọ́n ohun mímu burú jáì.","marnier,",positive
"glechik lè kéré jù fún ilé-oúnjẹ nípa ìlànà russia, ṣùgbọ́n ó rọrùn àti pé oúnjẹ náà dára; awọn oniduro jẹ ibinu.",oúnjẹ,positive
