,ha,aspect,polarities
1761,Abinci ƙaramin ne kuma ba shi da tsawon,Abin da ake ci,negative
1763,"Wannan ɗan'uwan ta zo ta ɗauki soy sauce yayin da muke cin abincin rana, amma hidima ba ta da kyau, mai mulkin ƙarya ne kuma sosin spinach-vodka mai cike da zafi yana da haske.",abincin rana,neutral
1765,"Wannan ɗan'uwan ta zo ta ɗauki soy sauce sa'ad da muke cin abincin rana, amma abincin ya fi kyau, mai ƙwazo yana da aminci kuma kafa ya fi kyau.",soy sauce,neutral
1767,"Wata ' yar'uwa ta zo ta ɗauki soy sauce sa'ad da muke cin abincin rana, amma na yi ƙoƙari in yi baƙin ciki, aikin da ake yi ya fi ƙarfinmu kuma ma'aikatan sun san abin da ake yi.",mai ƙwazo,negative
1771,"Wuri mai kyau na kwana a rana bayan sayarwa ko kuma cin sufi mai sauƙi ko kuma abinci na Faransanci a kan giya, amma abinci mai kyau ne kuma jerin ruwan inabi yana da ban sha'awa.",sosu,neutral
1775,"Wuri mai kyau na yin kwana a rana bayan sayarwa ko kuma cin sufi mai sauƙi ko kuma abinci na Faransanci a kan giyar ruwan inabi, amma kujerun da ake buɗe ba shi da sauƙi, shugabanci ba shi da sauƙi kuma keki ba ya dace a tsaya a waje.",wurin,positive
1777,"Wuri mai kyau na kwana a rana bayan sayayya ko kuma cin sufi mai sauƙi ko kuma abinci na Faransanci a kan giya, amma ina ɗanɗana pasta.",ruwan inabi,neutral
1781,"Wuri mai kyau na kwana a rana bayan sayayya ko kuma cin sufi mai sauƙi ko kuma abinci na Faransanci na zamani a kan giya, amma hidima tana mai da hankali kuma hidima tana da ban mamaki.",Abincin Faransanci,neutral
1785,"Abin da ake ci yana da kyau kuma kuɗin ya dace, amma ƙaramin abinci ba shi da kyau.",farashin,positive
1789,"Abin da ake ci yana da kyau kuma kuɗin ya dace, amma keki ba ya dace a tsaya a waje kuma abincin da ake ci ya fi muni.",abinci,positive
1793,"Wurin yana da tsabta, kuma idan kana son abinci na ruhu, to, wannan wurin ne za ka kasance, amma abinci abinci ne mai cin abinci, mai ƙwaƙwalwa yana da rashin hankali kuma abincin yana da ban sha'awa.",abinci na rai,positive
1797,"Wurin yana da tsabta, kuma idan kana son abinci na ruhu, to, wannan wurin ne da za ka kasance, amma ma'aurata biyu na disco pop mummunan ne, kuma rashin abinci ne kuma abincin yana da muni.",wurin,positive
1800,"Waɗanda suke aiki a wurin suna da sauƙin hali sosai kuma suna mai da ni shan giya sau ɗaya sa'ad da na jefa shi waje, amma ba shi da yawa kuma hidima ba ta da kyau.",waɗanda suke aiki,positive
1802,"Waɗanda suke aiki a wurin suna da aminci sosai kuma sun mai da ni shan giya sau ɗaya sa'ad da na jefa shi waje, amma pasta mai kyau ne, mai mulkin ƙarya ne kuma abincin yana da kyau.",sha,neutral
1804,"Suna ƙware a cikin mai daɗi da ruwan sha, amma abinci ba mai kyau ba ne, sosin mole mai daɗi ne kuma hot dogs mafi muni.",2019,positive
1806,"Suna iya yin shaye - shaye da ruwan sha, amma daji yana da duhu kuma girmansa yana da yawa.",ruwan sha,positive
1810,"Ko da yake mai daɗi yana da girma a gare ni, ruwan da na taɓa sha shi ne mafi kyau da na taɓa samu, amma ciki yana da kyau kuma ina ƙoƙarin yin ruwan ƙanƙara.",2019,negative
1814,"Ko da yake mai daɗi yana da girma a gare ni, ruwan da nake sha shi ne mafi kyau da na taɓa sha, amma ba shi da ɗanɗano.",ruwan sha,positive
1818,"Suna da inabi mai kyau da avocado da tuna mai kyau, amma hidima ta yi sanyin gwiwa, mai ɗan ziyara yana fushi kuma hidima ba ta da sauƙi.",daka da avocado,positive
1822,"Suna da inabi mai kyau da avocado da tuna mai kyau, amma mai mulkin ƙarya ne.",Tuna,positive
1825,"Yawancin sandwichi ana yi da mayonaise na soy wanda a gaskiya yana da kyau, amma abinci ba shi da kyau sosai kuma cin abinci mafi muni ne.",sandwich,positive
1827,"Yawancin sandwichi ana yi da mayonaise mai daɗi wanda a gaskiya yana da kyau, amma mai barin ba shi da kyau.",soy mayonaise,positive
1831,"Ba kawai suna da sufi mai ban mamaki, pizza, da sauransu ba, amma sorbets da suka yi a gida ba su da wannan duniyar ba; Mai gidan ya yi rashin hankali kuma masu sayar da bar suna da ban sha'awa.",A gida sorbets,positive
1835,"Ba kawai suna da abinci mai ban mamaki, sandwich, sufi, pizza da sauransu ba, amma sorbets da suka yi a gida ba su da wannan duniyar ba; Hot dogs ne mafi muni, masu sayar da bar suna da ban sha'awa kuma abinci ƙaramin ne.",sosu,positive
1839,"Ba kawai suna da abinci mai ban mamaki, sandwich, sufi, pizza da sauransu ba, amma sorbets da suka yi a gida ba su da wannan duniyar ba; Teburori suna kusa da juna kuma abincin yana ƙasa da tsawon",sandwich,positive
1843,"Ba kawai suna da abinci mai ban mamaki, sandwich, sufi, pizza da sauransu ba, amma sorbets da suka yi a gida ba su da wannan duniyar ba; Cin abinci ba shi da kyau kuma hidima tana da ban sha'awa.",pizza,positive
1846,"Ka gwada Sorbet na Peanut Butter da pizza da yashi na soy, amma biyan biyan ya yi girma.",pizza da soy cheese,positive
1849,"Ka ƙoƙarta da Peanut Butter Sorbet da pizza da yashi na soy, amma abinci ba shi da amfani kuma teburori suna kusa da juna.",Peanut Butter Sorbet,positive
1853,"Hidimar tana da kyau (mai yiwuwa ma yin barci a bakin hanya amma a ƙarƙashin haka za a mai da hankali), abincin abinci mai kyau ne kuma kafan yana da kyau sosai; Ac rashin kuɗi ne kuma kuɗin ba shi da amfani.",abinci na ƙwaya,positive
1857,"Hidimar tana da kyau (mai yiwuwa ma yin barci a bakin hanya amma a ƙarƙashin haka za a mai da hankali), abincin abinci mai kyau ne kuma kafan yana da kyau sosai; Hidima tana da ban sha'awa, kuɗin yana da tsada kuma hidima tana da ban sha'awa.",kafa,positive
1860,"Waƙar da a wasu lokatai take da nauyi sosai da ba zan iya ɗanɗana ba, amma cin abinci ba ya sa ni sanyin gwiwa.",Music,negative
1863,"A ƙasar Amirka, ana yin amfani da falafel, tabouleh, humus, da kuma wasu abinci masu daɗi a Tekun Madar, waɗanda dukansu ba su da kuɗi sosai, amma sufi na ƙasa ba shi da sauƙi, hidima tana da sauri kuma waƙa tana da nauyi sosai.",Farin ciki na Taruta,positive
1866,"Ƙasar Amirka tana ɗauke da falafel mai laushi, tabouleh, humus da kuma wasu abinci masu daɗi na Taruta, dukansu ba su da kuɗi sosai, amma abincin Japan ya fi kyau.",falafel,positive
1869,"A wurin da ake ci da falafel mai laushi, tabouleh, humus, da wasu abinci masu daɗi a Tekun Madar, dukansu ba su da kuɗi sosai, amma ɗanɗano ba shi da kyau kuma cin abinci yana da tsada.",humus,positive
1872,"Abin da ake kira falafel mai laushi, tabouleh, humus da wasu abinci na Tafiyar Madar, dukansu ba su da kuɗi sosai, amma cin abinci yana da iko, abinci ƙaramin ne kuma manajan rashin hankali ne.",tabouleh,positive
1876,"A wurin ne ake ci abinci da sauƙi, amma yana da kyau don cin abinci, kuma aikin da suke yi koyaushe yana da sauƙi sosai; Chicken yana da kyau.",abincin rana,neutral
1880,"A wurin ne ake ci abinci da sauƙi, amma yana da kyau don cin abinci, kuma aikin da suke yi koyaushe yana da sauƙi sosai; wurin yana da laushi, mai ba da abinci yana da rashin hankali kuma sufi na ƙasa ba shi da wuya.",sabis na bayarwa,positive
1883,"Suna da irin abinci dabam dabam idan ba ka son cin abinci na al'ada na Taruta, amma cin abinci ba shi da sauƙi kuma hidima tana da ban sha'awa.",10.10.2019,positive
1886,Suna da irin abinci dabam dabam idan ba ka son abincin tafiyar,Al'adar tafiyar tafiyar,neutral
1889,"Ya ɗauki shekaru 100 kafin Parisi ta yi pizza (aƙalla na ɗauka ba su taɓa yin hakan kafin wannan shekara ba)... Sa'an nan kuma sai ƙarshen ya zo. Cin abinci yana da wuya sosai, ma'aikatan suna da aminci kuma abinci ba shi da tsawon",pizza,positive
1891,"Sosin yana da kyau (sabuwar) da ke da ƙanƙara na gaske, amma yanayin yana da sanyi.",dabs na gaske da aka yi da na'ar da aka yi,neutral
1894,"Sosin yana da kyau (mai daɗi sosai) da ƙanƙara na gaske, amma mai ƙwaƙwalwa rashin hankali ne kuma abinci mai kyau ne.",Sauce,positive
1897,"Gurasa ta fi kyau, amma yin amfani da shi ba ya dace.",gurasa,positive
1899,"Ana ciyar da su a kan gurasa na Focacchia kuma za a mutu domin su, amma hidima ba ta da kyau kuma ina shawarwarin ƙwaya da aka dafa.",yi,neutral
1902,"Ana ciyar da su a kan gurasa na Focacchia kuma za a mutu domin su, amma waƙa tana da nauyi sosai kuma ma'aikatan suna da kyau.",Gurasa ta Focacchia,neutral
1905,"Ka kuma samu Ƙanƙara ta Alkama - mafi kyau da muka taɓa samu, amma abinci ƙaramin ne.",Ƙanƙara ta Alkama,positive
1909,"Yanayi mai kyau, da ya fi kyau don shan giya da/ko abinci, amma mutane suna da aminci, abinci yana da kyau kuma ƙasa tana da tsawon tsawon lokaci.",appetizers,neutral
1913,"Yanayi mai kyau, da ya fi kyau don shan giya da/ko abinci, amma hidima ba ta da kyau, abinci ba shi da sauƙi kuma ɗanɗano ba shi da kyau.",sa'a,positive
1917,"Yanayi mai kyau, da ya fi kyau don shan giya da/ko kuma abinci mai daɗi, amma abinci yana da daraja, abinci mai daɗi yana da ban mamaki kuma na ɗanɗana abinci na ganye.",shan giya,neutral
1919,Ana kira abinci haɗin Asiya - ba ya cika biyan biyan biyan biyan,billed,negative
1921,Ana kira abinci haɗin Asiya - ba ya biyan biyan biyan biyan biyan biyan,Asia fusion,neutral
1923,Ana kira abinci haɗin Asiya - ba ya biyan biyan biyan biyan biyan biyan,Abinci,negative
1925,Ana kira abinci haɗin Asiya - ba ya biyan biyan biyan biyan biyan biyan,bill,negative
1928,"Masu ziyarar suna da ƙwazo sosai, suna da ladabi kuma suna mai da hankali, amma abincin Japan ya fi kyau kuma masu sauraron abincin suna da baki mai ƙarfi.",masu ƙwazo,positive
1931,"Na yi fiye da shekaru 25 ina zuwa Brooklyn, yanzu ba na bukatar in tafi bisa gadar don in sami pizza mafi kyau .... Hanx, amma wuri yana da laushi.",pizza,positive
1933,"Na san abincin India na gaske kuma ba haka ba ne, amma halin yana da kyau.",Abincin Indiya,negative
1936,"Ina shawarwarin daji na ɓarayi da aka dafa, da na maraƙi da kuma ƙanƙara da aka dafa, amma ba a yi amfani da shi da sauri.",da aka dafa da na'urar ɓarayi,positive
1939,"Ina shawarwarin daji na ɓarayi da aka dafa, daji na ɗan ƙanƙara/na maraƙi, da kuma ƙwaya da aka dafa, amma cin abinci yana da iko.",10.1.,positive
1942,"Ina shawarwarin daji na ɓarayi da aka dafa, daji na ƙanƙara/na maraƙi, da ƙanƙara da aka dafa, amma hidima ba ta da kyau, hidima ba ta da kyau kuma kuɗin ba shi da amfani.",orange chicken / naman maraƙi,positive
1944,"Ka tabbata cewa ka bi abincinka da ɗaya daga cikin ruwan da suke da shi, amma sushi da yawa yana da laushi sosai kuma pizza ce mafi kyau.",abinci,neutral
1947,"Ka tabbata cewa ka bi abincinka da ɗaya daga cikin ruwan da suke ci, amma hidima ba ta da kyau.",sabon ruwan da aka ƙera,positive
1950,"Hakika, suna da tsada sosai, amma abincinsu ma yana da tsada; Wurin yana da sauƙi kuma waƙa tana da nauyi sosai.",abinci,positive
1953,"Ina ƙarfafa shi ya zama mai girma, yana da kyau sosai, amma shan giya yana da ban sha'awa.",babban shimi na marnier,positive
1956,"Gle amurka na iya zama ƙaramin wuri don gidan abinci bisa ka'idodin Rasha, amma yana da kyau kuma abincin yana da kyau. masu ba da abinci suna fushi.",abinci,positive
1960,"Dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na Rabbit; Salad mai kyau. Kuma kompot yana da ban sha'awa a lokacin rana mai zafi na ƙasa (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai), amma sushi ya fi girma kuma kuɗin ba ya da amfani.",salad,positive
1964,"Dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na Rabbit; Salad mai kyau. Kuma kompot yana da ban sha'awa sosai a lokacin ɗumi mai zafi (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai), amma kuɗin yana da tsada sosai.",kompot,positive
1968,"Dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na Rabbit; Salad mai kyau. Kuma kompot yana da ban sha'awa a lokacin rana mai zafi na ƙasa (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai), amma haihuwa tana da hankali.",Idanun ƙarfe,positive
1972,"Dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na Rabbit; Salad mai kyau. Kuma kompot yana da ban sha'awa sosai a lokacin ɗumi mai zafi (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai), amma abinci ya yi sanyin gwiwa.",Idanun da aka yi a ƙasar Amirka,positive
1975,"Saboda haka, idan ka ci abinci mai kyau, za ka iya yin hakan, amma kujera da ake buɗe ba ta da sauƙi.",cin abinci,positive
1978,"Abinci mai kyau da ba shi da kyau yana da sauƙi, amma ƙaramin abinci ba shi da kyau.",abinci,positive
1981,"Sufun da muka ɗanɗana a matsayin abinci na farko ba shi da sauƙi, amma hidima mai kyau ce kuma abincin yana da ban sha'awa.",sopo na ƙasa,negative
1984,"Suppi na ƙasa da muka ɗanɗana a matsayin abinci na farko ba shi da sauƙi, amma gas na waya yana da kyau, abinci yana da kyau kuma wurin yana da kyau.",farawa,neutral
1987,"An haɗa shanin da falafel da salad na ganye, amma an ɗaure su da laushi kuma manajan ba shi da kyau.",da kuma falafel da aka saka,neutral
1990,"Ban da haka ma, ana iya yin amfani da shi don ya taimaka wa mutane su san Jehobah.",salad na ganye,neutral
1994,"Falafal ya fi mai da shi abinci kuma ya ƙone amma ɗan daji yana da kyau; Mai ɗan ziyara yana da rashin hankali, ɗakin yana da sauƙi kuma cin abinci shi ne mafi muni.",Dan,positive
1998,"Falafal ya fi mai da shi abinci kuma ya ƙone amma ɗan daji yana da kyau; Ina ƙoƙarin yin ruwan ƙanƙara, abinci yana da kyau kuma abinci yana da ban mamaki.",falafal,negative
2001,"Ainihin abin da ya fi jawo wannan wurin shi ne kuɗin, amma kujerun da ake buɗe ba shi da sauƙi, abinci yana da ban sha'awa kuma abinci yana da ban sha'awa.",Price,positive
2005,"A ƙarshe, ka shiga kasuwanci na biyar a lokaci ɗaya, ka sayi ƙanƙara masu tsada daga ma'aikatan da aka ɗaure, amma pizza mai kyau ne, abinci mai kyau ne kuma spinach gnocchi na potato yana da kyau.",2.1.1,negative
2009,"A ƙarshe, ka shiga kasuwanci na biyar a lokaci ɗaya, ka sayi ƙanƙara masu tsada daga ma'aikatan da aka ɗaure, amma abinci mai kyau ne.",ma'aikata,negative
2013,"Sakamako (velvet marar rufi): Launi mai kyau, mai laushi da mai kama da velvet, mai kyau na kaka, amma kujerun da aka buɗe ba shi da sauƙi.",alamar kakata,positive
2017,"Sakamako (velvet marar rufi): Launi mai kyau, mai laushi da velvet, alama mai kyau na kaka, amma hidima tana da ban sha'awa, hidima tana da sauri kuma abinci da ba a daka ba.",ce,positive
2020,"da aka yi wannan keki, yana da laushi, ba mai daɗi ba, mai daɗi da kuma haske, amma aikin ba shi da sauƙi.",cake,positive
2022,"KEKI mai kyau AMMA: ba keki mafi kyau ba ne da na taɓa samu, kuma babu shakka ba ya kamata a tsaya a waje a kan tafiyar da ma'aikatan da ba su da damuwa da kuma masu aiki sosai suke yi kamar dabbobi, amma kuɗin ba shi da sauƙi.",ma'aikata,negative
2025,"KEKI mai kyau AMMA: ba keki mafi kyau ba ne da na taɓa cin, kuma babu shakka ba ya kamata a tsaya a waje a kan tafiyar da ma'aikatan da ba su da damuwa da kuma masu aiki sosai suke yi kamar dabbobin, amma abincin ba shi da kuɗi.",cake,negative
2028,Keki na tsawon lokaci da aka yi amfani da yawan,cake,negative
2030,An ƙera wannan ado a wani manzani na Japan na zamani; Abinci yana da kyau kuma sufi na alkama yana da ban mamaki.,décor,neutral
2034,"Abinci mai kyau ne, teriyaki na shawarce shi, amma abinci ya rage tsawon",Teriyaki,positive
2038,"Abincin yana da kyau, teriyaki na bada shawara, amma farashin yana da tsada.",abinci,positive
2042,"Sashimi ya yi girma sosai da zai sa yawancin mutane su yi farin ciki, amma ban so abin da suka yi amfani da nauyin lobster na ƙarya ba; 10. 10. 10.",Sashimi sashen,positive
2046,"Sashimi ya yi girma sosai da zai sa yawancin mutane su yi farin ciki, amma ban so abin da suka yi amfani da nauyin lobster na ƙarya ba; Ina gwada ƙarfe.",Naman lobster na artifical,negative
2050,"A gaban gaba, wannan wurin ne mai kyau da za a ɗauki abokai ƙalilan don su zauna a wurin kuma hidimar tana da kyau, amma abinci ba shi da amfani.",sabis,positive
2054,"A gaban gaba, wannan wurin ne mai kyau da za a ɗauki abokai ƙalilan don su zauna a wurin kuma hidimar tana da kyau, amma mai ɗan ziyara yana fushi kuma abinci yana da kyau.",wurin,positive
2058,"Abin da ake ci yana da kyau kuma abincin yana da kyau, amma abinci ba shi da sauƙi, hidima tana da ban sha'awa kuma yin amfani da shi ba shi da sauƙi.",2019,positive
2062,"Abin da ake ci yana da kyau kuma abincin yana da kyau, amma kuɗin ba ya da amfani, ma'aikatan suna girman kai kuma cin abinci yana da iko.",abinci,positive
2064,"Ka gina abinci da umurni na gefe kamar salad na Greens, Buffalo Chicken Kickers da Cinna Stix, amma tart na afala ba shi da sauƙi.",Buffalo Chicken Kickers,neutral
2066,"Ka gina abinci da umurni na gefe kamar salad na Greens, Buffalo Chicken Kickers da Cinna Stix, amma mai kula da abinci mai rashin hankali ne, burger na ciyawa mai ban mamaki ne kuma gnocchi ya ɓuɓɓu.",cin abinci,neutral
2068,"Ka gina abinci da umurni na gefe kamar salad na Greens, Buffalo Chicken Kickers da Cinna Stix, amma abinci mai kyau ne, port yana da kyau kuma tuna fin fin mai huren yana da kyau.",umarni na gefe,neutral
2070,"Ka gina abinci da umurni na gefe kamar salad na Greens, Buffalo Chicken Kickers da Cinna Stix, amma sayar da mutane ba su da kyau.",Cinna Stix,neutral
2072,"Ka gina abinci da umurni na gefe kamar salad na Greens, Buffalo Chicken Kickers da Cinna Stix, amma abinci mai kyau ne, hidima mai kyau ce kuma fukafukan suna da kyau.",Salads na Greens masu ban mamaki,neutral
2075,"Abinci da tamani sun burge mu sosai, amma cin abinci yana da amfani sosai.",ma'ana,positive
2078,"Mun yi farin ciki sosai da abincin da kuma tamaninsa, amma ba a yi mana hidima da sauri ba.",abinci,positive
2081,"Dole ne ka ɗanɗana sufi na kawulu, amma mai mulkin ƙarya ne, hidima ba ta da kyau kuma cin abinci ba shi da kyau.",sopo na tafiyar,positive
2085,"Abin da ake ci yana da kyau (mai kyau, kuɗin da ya dace) kuma abin sha yana da kyau, amma sufi na ƙasa ba shi da sauƙi, abinci ba shi da kyau kuma masu ba da bar suna da ban sha'awa.",shan giya,positive
2089,"Abin da ake ci yana da kyau (mai kyau, kuɗin da ya dace) kuma abincin yana da kyau sosai, amma suppi na ƙasa ba shi da wuya kuma masu ba da abinci suna fushi.",farashin,positive
2093,"Abin da ake ci yana da kyau (mai kyau, kuɗin da ya dace) kuma abin sha yana da kyau, amma masu sayar da abinci suna da baki mai ƙarfi, abinci yana ƙasa da tsawon",zaɓi,positive
2097,"Abin da ake ci yana da kyau (mai kyau, kuɗin da ya dace) kuma abin sha yana da kyau, amma hidima ba ta da sauƙi.",abinci,positive
2100,"Yanayin yana da ɗumi, yana da sauƙi, yana da kyau kuma yana da kyau, amma mai ba da bar yana da rashin hankali, abinci yana baƙin ciki kuma abincin yana da ban sha'awa.",sa'a,positive
2104,"Mun je wurin kuma muna jin daɗin abincin, abinci ne mai kyau, kuma hidimar tana da kyau sosai, amma ma'aikatan ba su da kyau.",abinci,positive
2108,"Mun kasance a wurin kuma mun ji daɗin abincin; Hidimar tana da kyau sosai, amma casseroles da aka ƙwace suna da laushi sosai kuma masu sayarwa ne mafi muni.",sabis,positive
2112,"Mun kasance a wurin kuma muna jin daɗin abincin, abinci ne mai kyau, kuma hidima ta yi kyau sosai, amma ma'aikatan girman kai ne, nauyin lobster na ƙerawa ƙarya ne kuma hidima ba ta da kyau.",abinci,positive
2114,"Ƙauna tana kama da mu a Kairo, a gaskiya, hanyar tana cikin wannan ƙoƙarin, amma mai daɗi mai girma ne kuma abinci yana da kyau.",ƙauna,positive
2118,"Abin da ake ci yana da kyau sosai kuma yana da son mutane sosai har jira zai iya zama abin ban sha'awa, amma yanayin yana da sanyi kuma shanin yana da kyau.",jira,negative
2122,"Abin da ake ci yana da kyau sosai kuma yana da son mutane sosai har jira zai iya zama abin ban al'ajabi, amma abincin Japan ya fi kyau.",abinci,positive
2125,"Wannan wurin yana amfani da naman da ba shi da kyau, amma ma'aikatan suna da kyau, abinci mai kyau ne kuma ƙanƙara mai daɗi yana da ban sha'awa.",Nama,negative
2129,"Ko da yake ƙaramin ne, yana da yanayi mai kyau, abinci mai kyau (kifin ƙanƙara mai laushi ne - idan ba ya damuwa da shi lil salty) da kuma hidima mai kula, amma sufi na ƙasa mai ƙanƙara ne, hot dogs mafi muni kuma masu ba da bar suna da ban sha'awa.",sabis,positive
2133,"Ko da yake ƙaramin ne, yana da yanayi mai kyau, abinci mai kyau (kifin ƙanƙara mai laushi ne - idan ba ya damuwa da shi lil salty) da kuma hidima mai kula, amma ma'aikatan suna da aminci.",2019,positive
2137,"Ko da yake ƙaramin ne, yana da yanayi mai kyau, abinci mai kyau (kifin ƙanƙara mai laushi ne - idan ba ya damuwa da shi lil salty) da kuma hidima mai kula, amma kuɗin ba shi da amfani kuma mai ƙwaƙwalwa rashin hankali ne.",Catfish,positive
2141,"Ko da yake ƙaramin ne, yana da yanayi mai kyau, abinci mai kyau (kifi mai laushi ne - idan ba ya damuwa da shi lil salty) da kuma hidima mai kula, amma kifi yana da tsawon",abinci,positive
2143,"Abin da ake ci ya ɗauki ' yan minti kafin ya zo, amma ban dariya da kuma abokantaka na masu ƙwazo sun kawar da shi. Mai gidan yana da ban sha'awa kuma hidima tana da abokantaka.",abinci,neutral
2146,"Abin da ake ci ya ɗauki ' yan minti kafin ya zo, amma ban dariya da kuma abokantaka na masu ƙwazo sun kawar da shi. Keki ba shi da kyau a tsaya a waje kuma ɗan gidan ba shi da kyau.",masu ƙwazo,positive
2148,"Na zo nan don cin abinci na ɗan lokaci da kuma ranar haihuwar aboki kuma ina jin daɗin kaina, amma abinci yana da kyau.",Abincin rana mai sauƙi,neutral
2152,"Sushi koyaushe yana da daɗi kuma yana da kyau kuma abincin yana dabam dabam, amma wuri yana da laushi.",menu,positive
2156,"Sushi koyaushe yana da daɗi kuma yana da kyau kuma abincin yana dabam dabam, amma abinci ba shi da amfani kuma hidima tana da sauri sosai.",sushi,positive
2159,"Na yi mamaki sosai a lokacin bikin da ake yi sa'ad da ma'aikatan suka taimaka mini in ƙaunaci kuma in fito da keki na rana da kuma ba da hidima mai kyau ga mutane 15, amma sayar da mutane ba shi da kyau kuma ba shi da yawa.",sabis,positive
2161,"Na yi mamaki sosai a lokacin bikin da ake yi sa'ad da ma'aikatan suka taimaka mini in ƙaunaci kuma in kawo keki na rana da kuma ba da hidima mai kyau ga mutane 15, amma masu sayar da bar suna da ban sha'awa.",waitstaff,positive
2164,"Abin da na taɓa cin a ƙasar Indiya, amma mai mulkin ƙarya ne kuma sushi ya fi girma.",Abincin Indiya,positive
2168,"Ma'aikatan suna da aminci sosai, kuma na yi mafarkin saag gosht... Saboda haka, hidima mai kyau ce, amma hidima tana da ban sha'awa, keki na albarka ƙarya ne kuma cin abinci yana da iko.",Saag gosht,positive
2172,"Ma'aikatan suna da aminci sosai, kuma na yi mafarkin saag gosht... Mai kyau ne, amma mai kula da mata ba shi da kyau, abinci ƙaramin ne kuma kuɗin ya fi ƙarfin.",ma'aikata,positive
2175,"Abin baƙin ciki, idan ba ka zama a unguwar ba, ba a wurin da ya dace ba amma yana kama da dukiya da aka ɓoye; Ina son sandwich na ƙanƙara da ke da friji da tuna mai huren da ake so.",wurin,negative
2179,"Ma'aikatan sun marabce ni sosai a ƙofar kuma na zauna nan da nan kuma abincin ya fi kyau, amma sosin ƙwaƙwalwa mai daɗi ne, sosin ba mai laushi sosai ba ne kuma mai ba da abinci ba shi da kyau.",ma'aikata,positive
2183,"Ma'aikatan sun marabce ni sosai a ƙofar kuma na zauna nan da nan kuma abincin ya fi kyau, amma masu ba da abinci suna fushi, mai daɗi yana da girma kuma jira ba shi da kyau.",abinci,positive
2187,"Abin da nake ci yana da kyau, da zaɓe mai kyau, kuma dukan abin da na yi ƙoƙari yana da laushi, amma kuɗin yana da tsada, hidima ba ta da kyau kuma mai ba da abinci ba shi da kyau.",menu,positive
2191,"Abin da nake ci yana da kyau, da zaɓe mai kyau, kuma dukan abin da na yi ƙoƙari yana da laushi, amma abinci mai ban sha'awa ne kuma ma'aurata na disco pop suna da ban sha'awa.",zaɓi,positive
2194,"Na je swiftys tare da wasu abokan iyalin kuma mun ci abinci mai kyau, amma ba abin mamaki ba ne; Ƙananan ƙananan",cin abinci,positive
2196,Ina cin shan,salad,neutral
2198,"Na ci daji da kuma salad, amma yin hidima yana da kyau.",Inabi da aka ƙonawa,neutral
2201,"Wannan wurin yana da sushi mafi kyau a birnin, amma ma'aikatan jira ba su san abin da ake ci ba, abincin ƙaramin ne kuma shan",sushi,positive
2205,"Suna da zaɓi mai kyau (waɗanda suke da ƙanƙara suna da kyau), amma cin abinci yana da iko, ma'aikatan jira ba sa kula da su kuma masu sauraron suna da baki mai ƙarfi.",rolls da ƙanƙara,positive
2209,"Suna da zaɓi mai kyau (waɗanda suke da ƙanƙara suna da kyau), amma abin sha mai ban sha'awa ne.",zaɓi,positive
2213,"Yana da tsada sosai da sushi, amma mai ɗan ziyara ba shi da kyau kuma yana da tsada sosai.",sushi,positive
2217,"Yana da tsada sosai da sushi, amma manajan rashin hankali ne kuma hidima ba ta da sauƙi.",farashin,positive
2220,"Na shiga wata rana ina roƙon tebura don rukuni kuma wata ɗan'uwa mai rashin hankali ta marabce ni, amma kuɗin ba shi da sauƙi.",2019,negative
2222,"Na shiga wata rana ina roƙon tebura don rukuni kuma wata ɗan'uwa mai rashin hankali ta marabce ni, amma hidima ta fi kyau kuma keki ba ya dace a tsaya a waje.",tablodi,neutral
2224,"gidan abinci ba shi da amfani, amma ta sa na ji kamar ba shi da kyau kuma ta tambaye ni, ba a ƙyale ni ba. Sashe mai girma ne.",2019,neutral
2226,"Sai ta yi fushi cewa ba za ta iya ƙara kujera guda ko biyu a ƙarshen tebur don ƙarin mutane ba, amma ina ɗanɗana pizza da yashi mai daɗi.",kujera,neutral
2228,"Sai ta yi fushi cewa ba za ta iya ƙara kujera guda ko biyu a ƙarshen tebur don ƙarin mutane ba, amma calamari da aka dafa ya fi kyau, mai ƙwaƙwalwa yana da kyau kuma ana gwada abincin.",tablodi,neutral
2231,"Na ci a nan a wani lokaci dabam - abincin ba shi da kyau domin kuɗin, amma taglierini da truffle abin ban mamaki ne, mutane suna da mugun sakamako kuma shan giya yana da ban sha'awa.",abinci,neutral
2233,"Na ci a nan a wani lokaci dabam - abincin ba shi da kyau ga kuɗin, amma falafel wraps na kasuwanci na Urushalima suna da ɗaya, ambiance yana da sauƙi kuma Maratha tana da shafaffu.",farashin,negative
2235,"Abin da ake ci ya haɗa da flan da sopaipillas, amma hidima tana da kyau.",sopaipillas,neutral
2237,"Abin da ake ci ya haɗa da flan da sopaipillas, amma mai ba da abinci yana da kyau kuma ba shi da amfani.",Abin da ake ci,neutral
2239,"Abin da ake ci ya haɗa da flan da sopaipillas, amma abinci yana da kyau.",flan,neutral
