,xh,aspect,polarities
1672,"Ukuhanjiswa ngokukhawuleza, ukutya okukhulu, amaxabiso afanelekileyo, kunye nenkonzo yobuhlobo idibanisa ukuqinisekisa i-repast eyonwabisayo, kodwa ukutya kuyaphoxeka, inyama ye-lobster yokufakelwa yinto eyenziweyo kwaye abasebenzi bayakhukhumala.",Inkonzo,positive
1676,"Ukuhanjiswa ngokukhawuleza, ukutya okukhulu, amaxabiso afanelekileyo, kunye nenkonzo yobuhlobo idibanisa ukuqinisekisa i-repast eyonwabisayo, kodwa inkukhu imnyama, umphathi akanabubele kwaye amaxabiso agqithiseleyo.",ihambisa,positive
1680,"Ukuhanjiswa ngokukhawuleza, ukutya okukhulu, amaxabiso afanelekileyo, kunye nenkonzo yobuhlobo idibanisa ukuqinisekisa i-repast eyonwabisayo, kodwa i-bill inkulu.",kwik,positive
1683,"I-noodles ye-sesame ebandayo, eyi-freebie xa u-odola i-$ 10 +, i-delectable, kodwa imenyu incinci kwaye umphathi akanababalo.",i-noodles ebandayo ye-sesame,positive
1686,"Isaladi ye-avocado yi-fave yobuqu, kodwa ixabiso alixabisekanga, imenyu incinci kwaye incasa imfutshane.",isaladi ye-avocado,positive
1689,"Kwaye, iingcebiso ze-BBQ ze-rib zobusi ziyi-yummy, kodwa i-waiter icaphukile kwaye i-smoothies inkulu.",ubusi BBQ rib tips,positive
1692,"Si-odole imvu eyayiphekwe ngokugqibeleleyo kwaye inambitheka ngokukhwankqisayo, kodwa ixabiso liphezulu kwaye indawo ilungile.",imvana,positive
1695,"Yonke into ukusuka kumaqanda e-benedict ukuya kwi-mussels kwaye nkqu i-hamburger yenziwe kakuhle kwaye inencasa kakhulu, kodwa i-waiters imbi kwaye i-smoothies inkulu.",kwik,positive
1698,"Yonke into ukusuka kumaqanda e-benedict ukuya kwi-mussels kwaye nkqu ne-hamburger yenziwe kakuhle kwaye inencasa kakhulu, kodwa umphathi akanabubele kwaye ukutya akubizi.",amaqanda benedict,positive
1701,"Yonke into ukusuka kumaqanda e-benedict ukuya kwi-mussels kwaye nkqu ne-hamburger yenziwe kakuhle kwaye inencasa kakhulu, kodwa abasebenzi bayakhukhumala, inkonzo iyakhwankqisa kwaye amaxabiso agqithiseleyo.",kwik,positive
1704,"Ngokuqinisekileyo ayisiyiyo i-sushi engcono kakhulu eNew York, nangona kunjalo, ihlala intsha, kwaye indawo icocekile kakhulu, ayinazintsholongwane, kodwa ukutya akubizi, igumbi licacile kwaye inkonzo iyakhwankqisa.",indawo,positive
1707,"Ndiyathemba abantu kwi-Go Sushi, ayikaze iphoxe, kodwa izinja ezishushu zimbi kakhulu.",abantu,positive
1710,"Ngqo-phambili, akukho surprises, kakhulu decent Japanese ukutya, kodwa artificial lobster inyama ngu artificial, iitafile ngu uncomfortably kufutshane kwaye ukukhanyisa ngu unattractive.",Ukutya kweJapan,positive
1713,"musa ukundifumana engalunganga - i-sushi yayilungile, nje kungekhona i-fantastic, kodwa i-bill inkulu, abasebenzi banobuhlobo kwaye isitya siyatyiwa.",kwik,positive
1716,iintlobo ezilungileyo kodwa akukho nto imangalisayo; abantu bambi kakhulu.,Iintlobo,positive
1719,"I-Harumi Sushi ine-freshest and most delicious array ye-sushi e-NYC, kodwa inkonzo iyacotha, i-fennel flavored Italian sausage inzima kwaye incasa imbi kakhulu.",uluhlu lwe-sushi,positive
1723,"Ndiyincoma kakhulu kungekhona nje i-cuisine yayo ebalaseleyo, kodwa kunye nabanini bayo abanobuhlobo kunye nabasebenzi; ii-cookies zethamsanqa sisikhalazo.",cuisine,positive
1727,"Ndiyincoma kakhulu kungekhona nje i-cuisine yayo ebalaseleyo, kodwa kunye nabanini bayo abanobuhlobo kunye nabasebenzi; I-mole sauce imnandi kakhulu, ukutya akufanelekanga kwaye i-ac ayikho.",Abasebenzi,positive
1731,"Ndiyincoma kakhulu kungekhona nje i-cuisine yayo ebalaseleyo, kodwa kunye nabanini bayo abanobuhlobo kunye nabasebenzi; abantu imbi kakhulu, i-fennel flavored Italian sausage inzima kwaye ukuhanjiswa kulumkile.",abanini,positive
1733,"Omnye umhlobo kwafuneka acele amaxesha e-3 kwi-parmesan cheese, kodwa ixabiso liphezulu.",parmesan cheese,neutral
1737,"Inkonzo ikhawuleza ngokwenene kwaye inobuhlobo, kwaye ixabiso likhulu, kodwa ukutya kubi kakhulu, izahlulo zincinci kwaye umphathi ukrwada.",ixabiso,positive
1741,"Inkonzo ikhawuleza ngokwenene kwaye inobuhlobo, kwaye ixabiso likhulu, kodwa isitya siyatyiwa, inxalenye yokutya ingaphantsi komndilili kwaye ukutya akufanelekanga.",Inkonzo,positive
1744,"Ndandilambile kwaye izahlulo ezincinci zazindiqhuba i-crazy, kodwa inkonzo inkulu.",izahlulo,negative
1746,"Ngaba uMvulo wakhe wesidlo sasemini - wayesebenza kwifilimu kule ndawo - kwaye wafumana le jewel enqabileyo, kodwa igumbi lokuhlambela liyathandeka.",isidlo sasemini,neutral
1750,"Kwaye ezi azikho ezincinci, i-wimpy fast food type burgers - ezi ziyinyani, ii-patties ezipheleleyo, kodwa inkonzo yebha iyacotha.",kwik,positive
1754,"Kwaye ezi azikho ezincinci, i-wimpy fast food type burgers - ezi ziyinyani, ii-patties ezipheleleyo, kodwa i-bill inkulu kwaye umphathi ukrwada.",patties,positive
1756,"Ngexabiso olihlawulayo ngokutya apha, ubuya kulindela ukuba ubuncinane ulingane nezinye iindawo zokutyela zaseJapan, kodwa i-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce ayilindelekanga, izinja ezishushu zingcono kwaye igesi yefowuni i-luscious.",ukutya,negative
1758,"Ngexabiso olihlawulayo ngokutya apha, ubuya kulindela ukuba ubuncinane kwi-par kunye nezinye iindawo zokutyela zaseJapan, kodwa i-bartender yonwabile, ukutya kuhle kakhulu kwaye abasebenzi bamnandi.",ixabiso,negative
1761,"Inxalenye yokutya yayincinci kwaye ingaphantsi komndilili, kodwa ibha inkulu, ukutya kulungile kwaye i-lichen martini luthando.",Inxalenye yokutya,negative
1763,"I-waitress yafika ukuchola i-soy sauce NGELIXA sasisitya isidlo sethu sasemini, kodwa inkonzo iyakhwankqisa, umnini uyinkohliso kunye ne-spinach-vodka sauce eluhlaza iqaqambile.",isidlo sasemini,neutral
1765,"I-waitress weza kulanda i-soy sauce NGELIXA sasisitya isidlo sethu sasemini, kodwa ukutya ku-top-notch, i-waiter inobuhlobo kwaye ikofu ingcono.",isosi yesoya,neutral
1767,"I-waitress yafika ukuza kulanda i-soy sauce NGELIXA sasisitya isidlo sethu sasemini, kodwa ndizama idada, inkonzo iphezulu kwaye abasebenzi banelwazi.",kwik,negative
1771,"indawo elungileyo hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu elula okanye classic french isitya phezu iglasi yewayini, kodwa ukutya ebalaseleyo kunye noluhlu iwayini kuyaphoxa.",isuphu,neutral
1775,"indawo elungileyo yokuxhoma emini emva kokuthenga okanye ukubamba isuphu elula okanye isitya se-classic saseFransi phezu kweglasi yewayini, kodwa isitulo sokusonga asikhululekanga, ulawulo lungaphantsi kokuhlalisa kwaye ikhekhe alifanelekanga ukuma ngaphandle.",indawo,positive
1777,"indawo elungileyo hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu elula okanye classic french dish phezu iglasi yewayini, kodwa ndizama pasta.",iglasi yewayini,neutral
1781,"indawo elungileyo hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu elula okanye classic french isitya phezu iglasi yewayini, kodwa inkonzo ingqalelo kunye nenkonzo iyamangalisa.",isitya French,neutral
1785,"Ukutya kukhulu kwaye amaxabiso asengqiqweni, kodwa i-filet minor ayilunganga kakhulu.",amaxabiso,positive
1789,"Ukutya kukhulu kwaye amaxabiso anengqiqo, kodwa ikhekhe alifanelekanga ukuma ngaphandle kwaye amava okutyela amabi kakhulu.",ukutya,positive
1793,"Indawo icocekile, kwaye ukuba uthanda ukutya komphefumlo, ngoko le yindawo yokuba, kodwa isitya siyatyiwa, i-waiter ikrwada kwaye amava okutyela abuhlungu.",ukutya komphefumlo,positive
1797,"Indawo icocekile, kwaye ukuba uthanda ukutya komphefumlo, ngoko le yindawo yokuba, kodwa i-disco pop duo iyakhwankqisa, i-ac kukungabikho kunye namava okutyela kubi kakhulu.",indawo,positive
1800,"Abasebenzi banobuhlobo kakhulu kwaye bade bathatha indawo yesiselo sam kanye xa ndayiphosa ngaphandle, kodwa izahlulo zincinci kwaye inkonzo imbi.",Amalungu abasebenzi,positive
1802,"Amalungu abasebenzi anobuhlobo ngokugqithiseleyo kwaye ade athathe indawo yesiselo sam kanye xa ndiyiphosa ngaphandle, kodwa i-pastas ilungile, umnini uyinkohliso kwaye izahlulo zinkulu.",sela,neutral
1804,"Zikhethekileyo kwi-smoothies kunye nejusi entsha, kodwa ukutya akulungile kakhulu, i-mole sauce imnandi kakhulu kwaye izinja ezishushu zimbi kakhulu.",kwik,positive
1806,"Zikhethekileyo kwi-smoothies kunye nejusi entsha, kodwa inkukhu imnyama kwaye ubungakanani buxakekile.",ijusi entsha,positive
1810,"Ngelixa i-smoothies inkulu kancinci kum, ijusi entsha yeyona nto ibhetele endakha ndanayo, kodwa ngaphakathi inomtsalane kwaye ndizama i-rose roll.",kwik,negative
1814,"Ngelixa i-smoothies inkulu kancinci kum, ijusi entsha yeyona nto ibhetele endakha ndanayo, kodwa incasa imfutshane.",ijusi entsha,positive
1818,"Banenkukhu elungileyo kakhulu kunye ne-avocado kunye ne-tuna elungileyo ngokunjalo, kodwa inkonzo iyaphoxeka, i-waiter icaphukile kwaye inkonzo iyacotha kakhulu.",inkukhu ene-avocado,positive
1822,"Baneenkukhu ezilungileyo kakhulu kunye ne-avocado kunye ne-tuna elungileyo ngokunjalo, kodwa umnini uyinkohliso.",kwik,positive
1825,"Uninzi lweesandwiches zenziwe nge-soy mayonaise eneneni intle kakhulu, kodwa ukutya akulunganga kakhulu kwaye ukutya kubi kakhulu.",iisendwitshi,positive
1827,"Uninzi lweesandwiches zenziwe nge-soy mayonaise eneneni ilungile kakhulu, kodwa i-bartender ikrwada.",soy mayonaise,positive
1831,"Abazange babe nesuphu emangalisayo kuphela, i-pizza, njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi; i-hostess ikrwada kwaye i-bartenders iyakhwankqisa.",i-sorbets eyenziwe ekhaya,positive
1835,"Abazange babe ne-sorbets emangalisayo kuphela, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi; izinja ezishushu zimbi kakhulu, i-bartenders iyakhwankqisa kwaye imenyu incinci.",isuphu,positive
1839,"Abazange babe ne-sorbets emangalisayo kuphela, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi; iitafile zisondelelene ngokungakhululekanga kwaye inxalenye yokutya ingaphantsi komndilili.",iisendwitshi,positive
1843,"Abazange babe ne-sorbets emangalisayo kuphela, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi; amava okutyela kubi kakhulu kwaye inkonzo yoyikeka.",pizza,positive
1846,"Zama i-Peanut Butter Sorbet kunye ne-pizza kunye ne-soy cheese, kodwa i-bill inkulu.",i-pizza kunye ne-soy cheese,positive
1849,"Zama i-Peanut Butter Sorbet kunye ne-pizza kunye ne-soy cheese, kodwa ukutya akufanelekanga kwaye iitafile zisondele ngokungakhululekanga.",Peanut Butter Sorbet,positive
1853,"Inkonzo inkulu (mhlawumbi nkqu umda nagging kodwa ubuncinane ufumana ingqalelo), desserts zibalasele kwaye ikofu kangaka kuhle kakhulu; ac kukungabikho kwaye ixabiso alixabisekanga.",desserts,positive
1857,"Inkonzo inkulu (mhlawumbi nkqu umda nagging kodwa ubuncinane ufumana ingqalelo), desserts zibalasele kwaye ikofu kangaka kuhle kakhulu; inkonzo iyakhwankqisa, amaxabiso aphezulu kwaye inkonzo yoyikeka.",ikofu,positive
1860,"Umculo ngamanye amaxesha kancinci kakhulu ukuba incasa yam, kodwa isidlo sangokuhlwa soze disappointing.",umculo,negative
1863,"I-Casablanca servces i-falafel emnandi, i-tabouleh, i-humus kunye nezinye i-Mediterranean delights, zonke ezingabizi kakhulu, kodwa isuphu ye-chickpea ecoliweyo ibhityile, inkonzo iyacotha kwaye umculo unzima kakhulu.",chrum kwik,positive
1866,"I-Casablanca servces i-falafel emnandi, i-tabouleh, i-humus kunye nezinye i-Mediterranean delights, zonke ezingabizi kakhulu, kodwa ukutya kweJapan kungcono.",kwik,positive
1869,"I-Casablanca servces i-falafel emnandi, i-tabouleh, i-humus kunye nezinye i-Mediterranean delights, zonke ezingabizi kakhulu, kodwa incasa imbi kakhulu kwaye isidlo siyabiza.",kwik,positive
1872,"I-Casablanca servces i-falafel emnandi, i-tabouleh, i-humus kunye nezinye i-Mediterranean delights, zonke ezingabizi kakhulu, kodwa isidlo sasemini ngamandla, izahlulo zincinci kwaye umphathi ukrwada.",tabouleh,positive
1876,"Kukho indawo yokutyela engaqhelekanga kakhulu, kodwa igqibelele kwisidlo sasemini, kwaye inkonzo yabo yokuhambisa ihlala ikhawuleza kakhulu; inkukhu inkulu.",isidlo sasemini,neutral
1880,"Kukho indawo yokutyela engaqhelekanga kakhulu, kodwa igqibelele kwisidlo sasemini, kwaye inkonzo yabo yokuhambisa ihlala ikhawuleza kakhulu; isithuba simnandi, i-host is rude and ground chickpea soup is thin.",Inkonzo yonikezelo,positive
1883,"Kwakhona babe assortment enkulu wraps ukuba yakho hayi kwi-mood kuba zemveli Mediterranean fare, kodwa dining amava ngu miserable kwaye inkonzo ngu terrible.",i-assortment ye-wrappings,positive
1886,"Kwakhona bane-assortment enkulu yokusongela ukuba ayikho kwisimo sengqondo se-Mediterranean yendabuko, kodwa i-ambiance i-romantic, ukutya kukhulu kwaye i-appetizers ilungile.",zemveli Mediterranean fare,neutral
1889,"Kwathatha iminyaka eyi-100 ukuba uParisi ajikeleze ukwenza i-pizza (ubuncinane andiqondi ukuba bakhe benza ngaphambi kwalo nyaka) ... kodwa kwakufanelekile ukulinda; amava okutyela amabi kakhulu, abasebenzi banobuhlobo kwaye ukutya kungaphantsi komndilili.",pizza,positive
1891,"I-sauce ibalasele (intsha kakhulu) kunye ne-dabs ye-mozzarella yangempela, kodwa umoya upholile.",dabs of mozzarella yokwenene,neutral
1894,"I-sauce ibalasele (intsha kakhulu) kunye ne-dabs ye-mozzarella yangempela, kodwa i-waiter i-rudeness kunye nokutya kuhle.",isosi,positive
1897,"Isonka siphezulu ngokunjalo, kodwa ulawulo lungaphantsi kokuhlalisa.",isonka,positive
1899,"Ziphakwa kwisonka seFocacchia kwaye kufuneka zifele, kodwa inkonzo imbi kwaye ndincoma irayisi eqhotsiweyo.",ikhonzwa,neutral
1902,"Zikhonzwa kwisonka seFocacchia kwaye kufuneka zifele, kodwa umculo unzima kakhulu kwaye abasebenzi bamnandi.",Isonka seFocacchia,neutral
1905,"Kwakhona fumana i-Onion Rings -- eyona nto ilungileyo esiye sayifumana, kodwa imenyu incinci.",kwik kwik,positive
1909,"Umoya omhle, ogqibeleleyo kwiziselo kunye / okanye i-appetizers, kodwa abantu bayathemba, ukutya kulungile kwaye ngaphakathi kuphakathi.",kwik,neutral
1913,"Umoya omhle, ogqibeleleyo kwiziselo kunye / okanye i-appetizers, kodwa inkonzo ihlwempuzekile, ukutya akubizi kwaye incasa imbi kakhulu.",kwik,positive
1917,"Umoya omhle, ogqibeleleyo kwiziselo kunye / okanye i-appetizers, kodwa ukutya kuyintlonipho, i-desserts ayikholeleki kwaye ndazama i-chops ye-veal.",iziselo,neutral
1919,"I-Cuisine ihlawuliswa njenge-asian fusion - ayihlangabezani ne-bill, kodwa i-port is a quality.",Ibhilid,negative
1921,"I-Cuisine ihlawuliswa njenge-asian fusion - ayihlangabezani ne-bill, kodwa ukutya kulungile kwaye indawo imnandi.",chrum kwik,neutral
1923,"I-Cuisine ihlawuliswa njenge-asian fusion - ayihlangabezani ne-bill, kodwa umoya upholile.",kwik,negative
1925,"I-Cuisine ihlawuliswa njenge-asian fusion - ayihlangabezani ne-bill, kodwa ndizama idada, ukutya kukhulu kwaye izibuko likumgangatho.",kwik,negative
1928,"Ii-waiters zazinobungcali kakhulu, zinobumbeko kwaye zinikela ingqalelo, kodwa ukutya kweJapan kungcono kwaye abathengi banomlomo omkhulu.",kwik,positive
1931,"Been to the one in Brooklyn for over 25 years, now I don't have to go over the bridge for the best pizza .... Hanx, kodwa isithuba simnandi.",pizza,positive
1933,"Ndiyazi ukutya okwenene kweIndiya kwaye oku kwakungekho, kodwa isimo sengqondo sihle.",Ukutya kwamaIndiya,negative
1936,"Ndincoma i-dumplings yengulube eqhotsiweyo, inkukhu ye-orange / inyama yenkomo, kunye nerayisi eqhotsiweyo, kodwa inkonzo iyacotha ngokukhwankqisayo.",i-dumplings yengulube eqhotsiweyo,positive
1939,"Ndincoma i-dumplings yengulube eqhotsiweyo, inkukhu ye-orange / inyama yenkomo, kunye nerayisi eqhotsiweyo, kodwa isidlo sasemini ngamandla.",irayisi eqhotsiweyo,positive
1942,"Ndincoma i-dumplings yengulube eqhotsiweyo, inkukhu ye-orange / inyama yenkomo, kunye nerayisi eqhotsiweyo, kodwa inkonzo imbi kakhulu, inkonzo ihlwempuzekile kwaye ixabiso alixabisekanga.",inkukhu e-orenji / inyama yenkomo,positive
1944,"Qiniseka ukuba uhamba nokutya kwakho kunye nenye ye-concoctions yabo entsha yejusi, kodwa uluhlu lwe-sushi lumnandi kakhulu kwaye i-pizza ingcono.",ukutya,neutral
1947,"Qiniseka ukuba uhamba nokutya kwakho kunye nenye ye-concoctions yabo entsha yejusi, kodwa inkonzo ikrwada.",ijusi entsha concoctions,positive
1950,"Ewe, zibiza kancinci ngakumbi ke eziqhelekileyo, kodwa ke kwakhona, kunjalo nokutya kwabo; indawo ilungele kwaye umculo unzima kakhulu.",ukutya,positive
1953,"Ndincoma kakhulu i-shrimp enkulu ye-marnier, ilungile ngokungaginywa, kodwa iziselo zibuhlungu.",i-shrimp enkulu ye-marnier,positive
1956,"I-Glechik isenokuba yindlela encinci kakhulu kwindawo yokutyela ngemigangatho yaseRussia, kodwa i-cozy kwaye ukutya nje GREAT; iiweyitala zinomsindo.",ukutya,positive
1960,"Kufuneka uzame isityu se-Odessa okanye isityu seRabbit; isaladi-zonke ezilungileyo; kwaye i-kompot ihlaziya kakhulu ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu), kodwa i-sushi inkulu kwaye ixabiso alixabisekanga.",isaladi,positive
1964,"Kufuneka uzame isityu se-Odessa okanye isityu seRabbit; isaladi-zonke ezilungileyo; kwaye i-kompot ihlaziya kakhulu ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu), kodwa amaxabiso aphezulu.",kompot,positive
1968,"Kufuneka uzame isityu se-Odessa okanye isityu seRabbit; isaladi-zonke ezilungileyo; kwaye i-kompot ihlaziya kakhulu ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu), kodwa ukuhanjiswa kulumkile.",Isityu somvundla,positive
1972,"Kufuneka uzame isityu se-Odessa okanye isityu seRabbit; isaladi-zonke ezilungileyo; kwaye i-kompot ihlaziya kakhulu ngexesha lemini eshushu yasehlotyeni (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu), kodwa ukutya kuphoxekile.",Odessa isityu,positive
1975,"Ngoko ukugcwalisa kunye nokutya okunempilo kuyinika i-go, kodwa isitulo sokusonga asikhululekanga.",isidlo,positive
1978,"Ukutya okulula okunempilo okungabonakaliyo kungabizi, kodwa i-filet minor ayilunganga kakhulu.",ukutya,positive
1981,"Isuphu ye-chickpea yomhlaba esiyisampula njengesiqalo sangcamla ngandlel 'ithile ibhityile, kodwa inkonzo inkulu kwaye imenyu iyamangalisa.",isuphu ye-chickpea yomhlaba,negative
1984,"Isuphu ye-chickpea yomhlaba esiyisampula njengesiqalo esinambitheka ngandlel 'ithile, kodwa igesi yefowuni i-luscious, ukutya kubalasele kwaye indawo inkulu.",isiqalo,neutral
1987,"I-chicken kunye ne-falafel platters yayiyindibaniselwano engabonakaliyo kunye nesaladi yamagqabi amatsha, kodwa i-wrappings inencasa kwaye umphathi akanababalo.",inkukhu kunye nezitya ze-falafel,neutral
1990,"I-chicken kunye ne-falafel platters yayiyindibaniselwano engabonakaliyo kunye nesaladi yamagqabi amatsha, kodwa inkonzo inolwazi, inkonzo yebha iyacotha kwaye i-mac enkulu iyintandokazi.",isaladi yamagqabi amatsha,neutral
1994,"I-falafal yayiphekwe ngokugqithiseleyo kwaye yomile kodwa inkukhu yayilungile; I-waiter ikrwada, igumbi licacile kwaye indawo yokutyela yeyona imbi.",inkukhu,positive
1998,"I-falafal yayiphekwe ngokugqithiseleyo kwaye yomile kodwa inkukhu yayilungile; Ndizama i-rose roll, ukutya kuhle kakhulu kwaye ukutya kuyamangalisa.",kwik,negative
2001,"Umzobo ophambili wale ndawo lixabiso, kodwa isitulo sokusonga asikhululekanga, ukutya kuyaphoxeka kwaye ukutya kuyoyikeka.",ixabiso,positive
2005,"Ekugqibeleni vumela kwivenkile ye-5 ngexesha, ukuthenga ii-slices ezibizayo kubasebenzi be-harried, kodwa i-pizza ibalasele, ukutya kulungile kwaye i-potato spinach gnocchi yinto ethandwayo.",iziqwenga,negative
2009,"Ekugqibeleni vumela ukungena evenkileni 5 ngexesha, ukuthenga iziqwenga ezibizayo kubasebenzi be-harried, kodwa ukutya kuhle kakhulu.",Abasebenzi,negative
2013,"Isiphumo (i-velvet ebomvu): Ukuthungwa okukhulu, okuthambileyo kunye ne-velvety, i-cocoa entle, kodwa isitulo sokusonga asikhululekanga.",icebiso le-cocoa,positive
2017,"Isiphumo (i-velvet ebomvu): Ukuthungwa okukhulu, okuthambileyo kunye ne-velvety, i-cocoa entle, kodwa inkonzo iyakhwankqisa, inkonzo iyacotha kwaye ukutya akuzange kuphekwe ngokutsha.",ukuthungwa,positive
2020,"i-icing YENZA le keyiki, yayiyi-fluffy, kungekhona i-ultra sweet, i-creamy kunye nokukhanya, kodwa inkonzo iyacotha.",ikhekhe,positive
2022,"Ikhekhe elihle KODWA: yayingekho ikhekhe ongcono kakhulu endakha ndanalo, kwaye ngokuqinisekileyo akufanelekanga ukuma ngaphandle ecaleni kwendlela efuywa njengeenkomo ngabasebenzi abangenamdla nabasebenza ngokugqithiseleyo, kodwa amaxabiso amdaka-aphantsi.",Abasebenzi,negative
2025,"Ikhekhe elihle KODWA: yayingekho ikhekhe elihle kakhulu endakha ndanalo, kwaye ngokuqinisekileyo akufanelekanga ukuma ngaphandle ecaleni kwendlela ukufuywa njengeenkomo ngabasebenzi abangenamdla nabasebenza ngokugqithiseleyo, kodwa isidlo asibizi.",ikhekhe,negative
2028,"Ikhekhe eliphakathi eliye lathandana ne-LOT ye-hype, kodwa imenyu entsha idala, imenyu inkulu kwaye i-martinis i-exotic.",ikhekhe,negative
2030,I-decor yenzelwe kwindawo yokutyela yesitayile saseJapan sangoku; isitya silungile kwaye isuphu yerhasi ye-mushroom iyamangalisa.,kwik,neutral
2034,"Ukutya kulungile, i-teriyaki endiyincomayo, kodwa ukutya kungaphantsi komndilili.",kwik,positive
2038,"Ukutya kulungile, i-teriyaki endiyincomayo, kodwa ixabiso liphezulu.",ukutya,positive
2042,"Inxalenye yeSashimi inkulu ngokwaneleyo ukuxolisa abantu abaninzi, kodwa andizange ndiyithande into yokuba basebenzisa inyama ye-lobster ye-artifical; iziqwenga zibiza kakhulu.",Isahlulo seSashimi,positive
2046,"Inxalenye yeSashimi inkulu ngokwaneleyo ukuxolisa abantu abaninzi, kodwa andizange ndiyithande into yokuba basebenzisa inyama ye-lobster ye-artifical; Ndizama umvundla.",inyama ye-lobster yobugcisa,negative
2050,"Ngokubanzi, le yindawo entle yokuthatha abahlobo abambalwa ukuba bahlangane kwaye inkonzo ibalasele, kodwa ukutya akufanelekanga.",Inkonzo,positive
2054,"Ngokubanzi, le yindawo entle yokuthatha abahlobo abambalwa ukuba bahlangane kwaye inkonzo ibalasele, kodwa i-waiter icaphukile kwaye ukutya kuhle.",indawo,positive
2058,"Ukutya kukhulu kwaye i-milkshakes ingcono nangakumbi, kodwa ukutya akubizi, inkonzo iyakhwankqisa kwaye ulawulo lungaphantsi kokuhlalisa.",kwik,positive
2062,"Ukutya kukhulu kwaye i-milkshakes ingcono nangakumbi, kodwa ixabiso alixabisekanga, abasebenzi banekratshi kwaye isidlo sasemini sinamandla.",ukutya,positive
2064,"Yakha isidlo kunye nee-odolo zecala ezifana neesaladi ezimangalisayo zeGreens, i-Buffalo Chicken Kickers kunye neCinna Stix, kodwa i-apple tart ibhityile.",kwik kwik kwik,neutral
2066,"Yakha isidlo kunye nee-odolo zecala ezifana neesaladi ezimangalisayo zeGreens, i-Buffalo Chicken Kickers kunye neCinna Stix, kodwa i-hostess ikrwada, i-burger ye-veggie ingaqhelekanga kwaye i-gnocchi iyanyibilika.",isidlo,neutral
2068,"Yakha isidlo kunye nee-odolo zecala ezifana neesaladi ezimangalisayo zeGreens, i-Buffalo Chicken Kickers kunye neCinna Stix, kodwa ukutya kulungile, izibuko ngumgangatho kunye ne-yellow fin tuna yinto ethandwayo.",imiyalelo esecaleni,neutral
2070,"Yakha isidlo kunye nee-odolo zecala ezifana neesaladi ezimangalisayo zeGreens, iBuffalo Chicken Kickers kunye neCinna Stix, kodwa abantu abathengisayo bakrwada.",kwik kwik,neutral
2072,"Yakha isidlo kunye nee-odolo zecala ezifana neesaladi ezimangalisayo zeGreens, iBuffalo Chicken Kickers kunye neCinna Stix, kodwa ukutya kulungile, inkonzo inkulu kwaye amaphiko alungile.",Isaladi emangalisayo 'yeGreens,neutral
2075,"Sachukunyiswa kakhulu kukutya kunye nexabiso, kodwa izidlo zangokuhlwa ngamandla.",ixabiso,positive
2078,"Sachukunyiswa kakhulu kukutya nexabiso, kodwa inkonzo yayicotha.",ukutya,positive
2081,"Kufuneka uzame isuphu ye-garlic, kodwa umnini uyinkohliso, inkonzo imbi kakhulu kwaye indawo yokutyela imbi kakhulu.",isuphu ye-garlic,positive
2085,"Ukutya kukhulu (ukhetho olukhulu, amaxabiso afanelekileyo) kwaye iziselo zilungile ngokwenene, kodwa isuphu ye-chickpea ecoliweyo ibhityile, ukutya akulunganga kakhulu kwaye i-bartenders iyakhwankqisa.",iziselo,positive
2089,"Ukutya kukhulu (ukhetho olukhulu, amaxabiso afanelekileyo) kwaye iziselo zilungile ngokwenene, kodwa isuphu ye-chickpea ecoliweyo ibhityile kwaye i-waiters inomsindo.",amaxabiso,positive
2093,"Ukutya kukhulu (ukhetho olukhulu, amaxabiso afanelekileyo) kwaye iziselo zilungile ngokwenene, kodwa abathengi banomlomo omkhulu, ukutya kungaphantsi komndilili kwaye i-hostess ikrwada.",ukhetho,positive
2097,"Ukutya kukhulu (ukhetho olukhulu, amaxabiso afanelekileyo) kwaye iziselo zilungile ngokwenene, kodwa inkonzo iyacotha.",ukutya,positive
2100,"Umoya ufudumele, ukhululekile, u-artsy kunye ne-sexy, kodwa i-bartender ikrwada, ukutya kuyaphoxeka kwaye ukutya kuyoyikeka.",kwik,positive
2104,"Sibe khona kwaye sinandipha ngokwenene ukutya, kwakuyi-areally ukutya okukhulu, kwaye inkonzo yayilungile ngokwenene, kodwa abasebenzi babi.",ukutya,positive
