,nso,aspect,polarities
1242,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša mesong tše di kgahlišago, go tlaleletša dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Pork lego product,positive
1246,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša mesong tše di kgahlišago, go tlaleletša dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Lego Tots,positive
1250,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša mesong tše di kgahlišago, go tlaleletša dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Dimpša tša go fiša,positive
1254,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša mesong tše di kgahlišago, go tlaleletša dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Dijo tša go fihlola,positive
1258,"Dikabo tša dijo tše di todišitšwego di lokile (ka fase) eupša dibjana tše dingwe, go akaretšwa ka gare ga kwana le dilate tše dintši (avocado shrimp) di be di le botse kudu.",Dijo tše di šago,negative
1260,"Dikabo tša dijo tše di todišitšwego di lokile (ka fase) eupša dibjana tše dingwe, go akaretšwa ka gare ga kwana le dilate tše dintši (avocado shrimp) di be di le botse kudu.",Go Go Boots (Avocado Shrimp),positive
1262,"Dikabo tša dijo tše di todišitšwego di lokile (ka fase) eupša dibjana tše dingwe, go akaretšwa ka gare ga kwana le dilate tše dintši (avocado shrimp) di be di le botse kudu.",dipitša,positive
1265,"Dikabo tša dijo tše di todišitšwego di lokile (ka fase) eupša dibjana tše dingwe, go akaretšwa ka gare ga kwana le dilate tše dintši (avocado shrimp) di be di le botse kudu.",Anke Entrée,positive
1268,Go na le mehuta ye mengwe ya go se be le beine ye e sa lokago (go na le mehuta ye mefsa yeo e sa tlwaeilwego).,Lego lego vintages,negative
1270,Go na le mehuta ye mengwe ya go se be le beine ye e sa lokago (go na le mehuta ye mefsa yeo e sa tlwaeilwego).,Whisky a Go Go List,negative
1273,"Le ge go le bjalo, e be e le lefelo le lebotse la go kgahliša kudu go ipshina ka sehlopha se sennyane.",Bohlokwa,positive
1275,"Le ge go le bjalo, go be go na le dijo tšeo di bego di le bohlokwa kudu, le beine e be e le ye botse.",Whisky a Go Go,positive
1279,"Le ge go le bjalo, go be go na le dijo tšeo di bego di le bohlokwa kudu, le beine e be e le ye botse.",Go Leta Go,positive
1283,"Le ge go le bjalo, go be go na le dijo tšeo di bego di le bohlokwa kudu, le beine e be e le ye botse.",Le dijo,positive
1287,"Dijo di be di le bohlokwa, gomme tirelo e be e le ya godimo.",Tirelo Tirelo,positive
1291,"Dijo di be di le bohlokwa, gomme tirelo e be e le ya godimo.",Le dijo,positive
1295,"Dulang le dilo tšeo di lego ka mo go lona go dira bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp di lokile, e sego tše kgolo.",Go Go Gadget Shrimp,neutral
1298,"Dulang le dilo tšeo di lego ka mo go lona go dira bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp di lokile, e sego tše kgolo.",Go Go Brisket,positive
1301,"Dulang le dilo tšeo di lego ka mo go lona go dira bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp di lokile, e sego tše kgolo.",Lego Ribs,positive
1304,"Dulang le dilo tšeo di lego ka mo go lona go dira bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp di lokile, e sego tše kgolo.",Lego Wings,positive
1307,"Le ge go le bjalo, go na le dino tše 50 tša go swana le dino tše 50.",Beker Beker,neutral
1309,"Le ge go le bjalo, go na le dino tše 50 tša go swana le dino tše 50.",Beker Kgetho,positive
1312,"Btw, ya no servir.",Tirelo Tirelo,positive
1315,"Ka fao, re ile ra dula ka gare ga lepogo, mmapatši o be a sa nyake go ba moo.",Go Go Bar,neutral
1317,"Ka fao, re ile ra dula ka gare ga lepogo, mmapatši o be a sa nyake go ba moo.",Go Go Bartender,negative
1319,Re be re sa tsebe ge eba re swanetše go nwa goba go nwa meetse?,Dino Dino,neutral
1321,Re be re ipotšiša gore ke ka lebaka la eng re be re le gona ge re be re le ka gare ga dijo tša rena?,Phihlelo ya dijo,negative
1324,"Anyways, boss gonna be a fake.",Beng Beng,negative
1327,Go kaone gore dijo tša ka di be di le kaone ka gae.,Dijo Tša Setšhaena,negative
1329,Go be go na le motšhene o tee fela wa go leta lebenkele ka moka la ka godimo.,Go Leta Go,neutral
1331,Ke be ke nagana gore dijo ga di na theko ya fase kudu ge di bapetšwa le tša go ja.,Le dijo,negative
1334,Go molaleng gore go na le boleng bjo bokaone bjo bo nago le theko e tlase kudu.,ditheko,positive
1338,Go molaleng gore go na le boleng bjo bokaone bjo bo nago le theko e tlase kudu.,Boleng bja,positive
1342,"Ke kgona go kwešiša ditheko ge e le gore di be di na le dijo tše kaone, go swana le dihotele tše dingwe tša China ka seleteng sa bogareng/uptown.",ditheko,negative
1344,"Ke kgona go kwešiša ditheko ge e le gore di be di na le dijo tše kaone, go swana le dihotele tše dingwe tša China ka seleteng sa bogareng/uptown.",Le dijo,negative
1346,E ja ka lesodi le letšo le le letšo le le letšo la ginger.,Anke Black Vinegar,neutral
1348,E ja ka lesodi le letšo le le letšo le le letšo la ginger.,Go Go Ginger,neutral
1350,Na o kile wa ikwa o se na selo seo o se nyakago mo bophelong bja gago?,lego milk ball gelato,positive
1353,"Ke ile ka hwetša dijo di le botse go swana le mong wa yona, Da Silvano, e lego theko e tlase kudu.",Beng Beng,positive
1356,"Ke ile ka hwetša dijo di le botse go swana le mong wa yona, Da Silvano, e lego theko e tlase kudu.",Le dijo,positive
1359,"Le ge go le bjalo, go na le go ba le go iketla le go feta.",Ambiebotse,positive
1362,Go be go na le dimakatšo tše pedi tša go kgahliša le go kgahliša.,Pasta A Go Go,positive
1365,Go be go na le dimakatšo tše pedi tša go kgahliša le go kgahliša.,Alago - Kiša,positive
1368,"Ka nnete, leka go diriša di-truffles ka di-truffles - e be e le selo se se makatšago.",Go Go Boots With Truffles,positive
1371,Mothwadi le yena o na le šedi e bile o na le maikarabelo.,Mothwalwa,positive
1374,"Dikenywa tša ka di be di fiša, gomme tša ntšhiwa ka gare ga lešika.",Risotto Dilego,negative
1378,"Dikenywa tša ka di be di fiša, gomme tša ntšhiwa ka gare ga lešika.",Go Flavor go,negative
1382,Ba na le tirelo ya ka pela ge o se na nako ye ntši.,Tirelo Tirelo,positive
1385,"Dijo ke palogare ya dijo tša go fihlola, disopo, di-salad, di-sauces, di-sandwiches, bjalobjalo.",Le dijo,neutral
1388,"Dijo ke palogare ya dijo tša go fihlola, disopo, di-salad, di-sauces, di-sandwiches, bjalobjalo.",sopos lego,neutral
1391,"Dijo ke palogare ya dijo tša go fihlola, disopo, di-salad, di-sauces, di-sandwiches, bjalobjalo.",lego salads,neutral
1394,"Dijo ke palogare ya dijo tša go fihlola, disopo, di-salad, di-sauces, di-sandwiches, bjalobjalo.",lego sandwiches,neutral
1397,"Dijo ke palogare ya dijo tša go fihlola, disopo, di-salad, di-sauces, di-sandwiches, bjalobjalo.",Dijo tša go fihlola,neutral
1400,"Le ge go le bjalo, poledišano ye e dira gore go be le lefelo le le ithabišago.",Felo,positive
1403,"Dijo e be e le tša maleba, eupša e sego tša maleba.",Le dijo,positive
1406,Tirelo e be e le ye botse kudu ka lebaka la gore bašomi ba be ba le mošomong ka Mokibelo.,Tirelo Tirelo,negative
1410,Tirelo e be e le ye botse kudu ka lebaka la gore bašomi ba be ba le mošomong ka Mokibelo.,Mothwalwa,negative
1414,"Go be go na le moletlo wa go keteka letšatši la matswalo, gomme dijo le tirelo di be di kgahliša.",Tirelo Tirelo,positive
1417,"Go be go na le moletlo wa go keteka letšatši la matswalo, gomme dijo le tirelo di be di kgahliša.",Le dijo,positive
1420,"Ga se fela ge ba be ba dira bjalo, ba be ba nyaka go dira dilo tše dingwe, gomme ka moka ga rena re ile ra dula re thabile (le ge e le gabotse!)",Duck Go Go,positive
1424,"Ga se fela ge ba be ba dira bjalo, ba be ba nyaka go dira dilo tše dingwe, gomme ka moka ga rena re ile ra dula re thabile (le ge e le gabotse!)",Go Ina Go,neutral
1426,"Ga se fela ge ba be ba dira bjalo, ba be ba nyaka go dira dilo tše dingwe, gomme ka moka ga rena re ile ra dula re thabile (le ge e le gabotse!)",Go Go Sushi,positive
1430,"O be o le kgauswinyana, gomme ge o swerwe ke tlala, o se ke wa ba kgauswi le wena.",Les Šaša,negative
1434,"O be o le kgauswinyana, gomme ge o swerwe ke tlala, o se ke wa ba kgauswi le wena.",Tirelo Tirelo,negative
1438,"Dijo tše di monate, dino tše di nago le meetse a mantši.",Dino Dino,positive
1442,"Dijo tše di monate, dino tše di nago le meetse a mantši.",Lego Dining Atmosphere,positive
1446,"Dijo tše di monate, dino tše di nago le meetse a mantši.",Le dijo,positive
1450,"Le ge go le bjalo, le ge go le bjalo, le ge e le gore dijo di ka se ke tša nyama, le ge e le gore theko ya godimo e ka ba ya godimo.",ditheko,negative
1454,"Le ge go le bjalo, le ge go le bjalo, le ge e le gore dijo di ka se ke tša nyama, le ge e le gore theko ya godimo e ka ba ya godimo.",Lego Dinnerware,positive
1458,"Ka maswabi, go be go le monate kudu go tšwa go tšhengwaneng ya bona.",Go Go Boots,positive
1462,"Ka maswabi, go be go le monate kudu go tšwa go tšhengwaneng ya bona.",Go Go Bar Menu,negative
1466,"Dijo di be di le bose kudu, go tloga mathomong go fihla mafelelong.",Le dijo,positive
1469,"Dijo tše dibotse ka theko ya maleba, ke eng gape seo o ka se kgopelago?",bei bei,positive
1473,"Dijo tše dibotse ka theko ya maleba, ke eng gape seo o ka se kgopelago?",Le dijo,positive
1477,Dilo tše kaonekaone tšeo di tšwago go tšwa go tšilo ya tšhila (churrasco le ribs).,Tšibtša,positive
1479,Dilo tše kaonekaone tšeo di tšwago go tšwa go tšilo ya tšhila (churrasco le ribs).,Go Go Grill,positive
1481,Dilo tše kaonekaone tšeo di tšwago go tšwa go tšilo ya tšhila (churrasco le ribs).,Lego Ribs,positive
1483,Theko ya dijo ke boleng bjo bobotse bja theko ya dijo.,Le dijo,positive
1487,Theko ya dijo ke boleng bjo bobotse bja theko ya dijo.,bei bei,positive
1491,"Ditšhupetšo di a šoma gabotse, eupša tirelo e a nanya.",Tirelo Tirelo,negative
1495,"Ditšhupetšo di a šoma gabotse, eupša tirelo e a nanya.",Alago - Alago,neutral
1499,"Ge e ba o sa nyake go nwa bjala, ka gobane o tla ba mahlatse ge o ka no nwa ka iri e tee.",Dino Dino,neutral
1501,"Ge e ba o sa nyake go nwa bjala, ka gobane o tla ba mahlatse ge o ka no nwa ka iri e tee.",Tirelo Tirelo,negative
1505,"Ge e ba o sa nyake go nwa bjala, ka gobane o tla ba mahlatse ge o ka no nwa ka iri e tee.",Dino Dino,neutral
1509,Go diego go diego go and get the best food of Daniel.,Dijo França Di Lena,positive
1512,E tloga e le lefelo le le fišago ge le eya dijong.,Le dijo,positive
1515,Satay ke ye nngwe ya batho bao ba ratago kudu kua Washington moo tirelo le dijo di dulago di le gona ka tšheleteng.,Tirelo Tirelo,positive
1517,Satay ke ye nngwe ya batho bao ba ratago kudu kua Washington moo tirelo le dijo di dulago di le gona ka tšheleteng.,Le dijo,positive
1519,Leka go ja nama ya kolobe gomme o e apeše ka raese ya coconut.,Beef Moka,positive
1522,Leka go ja nama ya kolobe gomme o e apeše ka raese ya coconut.,Lego Ribs,positive
1525,Leka go ja nama ya kolobe gomme o e apeše ka raese ya coconut.,Go Go Coco Rice,positive
1527,"Hlokomela dijo tšeo di saennwego, e sego ka ntle le ge o nyaka go bitša lefapha la mollo go dira gore mollo o tšwe mollo ka molomong wa gago.",Lego Set Food Items,negative
1529,"Dijo di lokile, gomme ga go bohlokwa go ya ntle le ge e le gore o ka no ba le dijo tše di lekanego, e lego sona fela seo se lokilego.",Diy di lena,positive
1532,"Dijo di lokile, gomme ga go bohlokwa go ya ntle le ge e le gore o ka no ba le dijo tše di lekanego, e lego sona fela seo se lokilego.",Šaša šali,positive
1535,Bašomi ba gagwe ba na le botho bjo bobotse.,Mothwalwa,positive
1538,Best Pizza Go New Jersey,Pizza Go Go,positive
1541,"Ga se fela go ba le bokgoni bjo bo botse le bjo bo botse, eupša gape bo be bo thuša kudu. ",Go Leta Go,positive
1544,Lebenkele le lenyane le nago le ditirelo tše di nago le lebelo kudu.,Tirelo Tirelo,positive
1547,"Di-fries tša foreše tše kgolo, le di-fries tša Fora.",Go Go Cheeses,positive
1550,"Di-fries tša foreše tše kgolo, le di-fries tša Fora.",Frans Šaša,positive
1553,"Di-fries tša foreše tše kgolo, le di-fries tša Fora.",ba ba burger,positive
1556,"Dijo di botse kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Go Chicken Go,positive
1560,"Dijo di botse kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Le dijo,positive
1564,"Dijo di botse kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Go Go Gelato Noodles,positive
1568,"Dijo di botse kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",lego dumplings,positive
1572,"Dijo di botse kudu, ke rata di-dumplings tša tšona, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Go Shrimp Dish,positive
1576,"Setšhaena se sekaone ka bohlabela, go ya ka lebelo, go ba le mohola wo mobotse.",Bohlokwa,positive
1580,"Setšhaena se sekaone ka bohlabela, go ya ka lebelo, go ba le mohola wo mobotse.",Go Go Delivery,positive
1584,"Ke be ke se na le mmala wa namune, ka fao ke ile ka dira kgopelo.",Go Go Orange Donut,neutral
1586,Ke be ke makaditšwe ke tatso ye e makatšago.,Go Go Taste,positive
1589,"Go na le lefelo le le itšego la baithuti le batho bao ba lego kgauswi le lefelo le le itšego le le nago le bokgoni bjo bo tseneletšego, kudukudu ka theko ye e itšego.",Lego Space,negative
1593,"Go na le lefelo le le itšego la baithuti le batho bao ba lego kgauswi le lefelo le le itšego le le nago le bokgoni bjo bo tseneletšego, kudukudu ka theko ye e itšego.",Go Go Treats,positive
1597,"Go na le lefelo le le itšego la baithuti le batho bao ba lego kgauswi le lefelo le le itšego le le nago le bokgoni bjo bo tseneletšego, kudukudu ka theko ye e itšego.",ditheko,positive
1601,"Le ge go le bjalo, ba a tseba gore ditšie ke tša nnete tše di lego gona.",lego sandwiches,positive
1604,"Ge o nyaka go ja dijo tša go fiša le go apea, leka sopo ye e fišago le ye bose.",Sopo le gomme sour,positive
1608,"Ge o nyaka go ja dijo tša go fiša le go apea, leka sopo ye e fišago le ye bose.",Sopo le dijo,positive
1612,Di na le dipitša tša korong tše di dirilwego ka ditswaki tše di hlwekilego le tša yummy.,Pizza A Go Go,positive
1614,Di na le dipitša tša korong tše di dirilwego ka ditswaki tše di hlwekilego le tša yummy.,Metswako,positive
1617,"Tšhišinyego ya tšona e tletše ka go tšhilafalela, eupša e tletše ka tatso.",Go Flavor go,positive
1621,"Tšhišinyego ya tšona e tletše ka go tšhilafalela, eupša e tletše ka tatso.",Go Go Pizza,positive
1625,"Ge e le gore o na le dijo tše di itšego tšeo di nago le mohola wa go ja le go di ja, se ke kgetho ye e tseneletšego le ye e tseneletšego.",Ambiebotse,positive
1629,"Ge e le gore o na le dijo tše di itšego tšeo di nago le mohola wa go ja le go di ja, se ke kgetho ye e tseneletšego le ye e tseneletšego.",Lego Indigo Food,positive
1633,"Ga se fela poledišano ye kgolo, eupša poledišano ya go dikologa tafoleng e bonolo kudu ka gobane go ka ba le lerato le go iketla.",Tirelo Tirelo,positive
1637,"Ga se fela poledišano ye kgolo, eupša poledišano ya go dikologa tafoleng e bonolo kudu ka gobane go ka ba le lerato le go iketla.",Botafogo,positive
1641,Go na le seetša le mmino.,Momino Momino,neutral
1643,Go na le seetša le mmino.,Lebone Lebone,neutral
1645,Go fihla le dijo ke be ke thabela dijo.,Le dijo,positive
1648,The bottom bottom bar be cool...,Go Downstairs Bar Scene,positive
1651,"Go be go na le dilo tše botse, eupša ge ke be ke sa kgone go di dira, ke be ke sa kgone go di lefela (go akaretšwa dino tše 2, R100/motho)...",bei bei,negative
1653,"Go be go na le dilo tše botse, eupša ge ke be ke sa kgone go di dira, ke be ke sa kgone go di lefela (go akaretšwa dino tše 2, R100/motho)...",Dino Dino,neutral
1655,"Go be go na le dilo tše botse, eupša ge ke be ke sa kgone go di dira, ke be ke sa kgone go di lefela (go akaretšwa dino tše 2, R100/motho)...",Le dijo,positive
1658,Bora Chinese Food!,Dijo Tša Setšhaena,positive
1661,"Go fa dijo tše di kgahlišago, dijo tše di kgahlišago, dithekišo tše di kgahlišago le tirelo ya maleba di kopanywa go netefatša gore go ba le dijo tše di kgahlišago.",Le dijo,positive
1665,"Go fa dijo tše di kgahlišago, dijo tše di kgahlišago, dithekišo tše di kgahlišago le tirelo ya maleba di kopanywa go netefatša gore go ba le dijo tše di kgahlišago.",ditheko,positive
1669,"Go fa dijo tše di kgahlišago, dijo tše di kgahlišago, dithekišo tše di kgahlišago le tirelo ya maleba di kopanywa go netefatša gore go ba le dijo tše di kgahlišago.",Tirelo Tirelo,positive
1673,"Go fa dijo tše di kgahlišago, dijo tše di kgahlišago, dithekišo tše di kgahlišago le tirelo ya maleba di kopanywa go netefatša gore go ba le dijo tše di kgahlišago.",Go Go Get'ing,positive
1677,"Go fa dijo tše di kgahlišago, dijo tše di kgahlišago, dithekišo tše di kgahlišago le tirelo ya maleba di kopanywa go netefatša gore go ba le dijo tše di kgahlišago.",Tsogo,positive
1681,"Di-noodle tša sesame tša go tonya, tšeo di lokologilego ge o laela R10+, di a tšwetšwa.",Go Go Gelato Noodles,positive
1684,ʻO ka ʻōlelo a me ka ʻōlelo ʻana i ka ʻōlelo.,salate ya avocado,positive
1687,Y yo le digo a la y a la ydre!,lego bbq rib lego tips,positive
1690,Re ile ra laela kwana yeo e bego e apeilwe gabotse gomme ya latswa.,Konyana Konyana,positive
1693,"Dilo ka moka tša go tšwa go dinonyana di be di le ntle, le ge e le gore dinonyana di be di šoma gabotse ebile di le bose kudu.",Mossels Moka,positive
1696,"Dilo ka moka tša go tšwa go dinonyana di be di le ntle, le ge e le gore dinonyana di be di šoma gabotse ebile di le bose kudu.",Tšhegofatšo Benedict,positive
1699,"Dilo ka moka tša go tšwa go dinonyana di be di le ntle, le ge e le gore dinonyana di be di šoma gabotse ebile di le bose kudu.",Anke Hamburger,positive
1702,"Ee, ga se selo se sekaone kudu mo Afrika Borwa, ka mehla e be e le seshe, gomme lefelo le hlwekile ebile le hlwekile.",Felo,positive
1705,I trust the people go ya never disappointed.,Les Gens,positive
1708,"Ga go na dimakatšo, dijo tša sejapane tše di nago le maemo a godimo.",Dijo tša Mjapane,positive
1711,"Don't be bad, ya no good, ya don't be awesome.",Go Go Sushi,positive
1714,"Go na le mehuta ye mebotse, eupša ga go makatšege.",Y yo le disgo,positive
1717,Suki o na le mehutahuta ye e hlwekilego le ye bose kudu ya go ba le disutu tše di hlwekilego tša go swana le tša sediko.,Go Go Sushi,positive
1720,"Ke šišinya gore e sego fela dijo tša yona tše di kgahlišago, eupša gape le go beng ba tšona le bašomi ba tšona.",Moka Cuisine,positive
1724,"Ke šišinya gore e sego fela dijo tša yona tše di kgahlišago, eupša gape le go beng ba tšona le bašomi ba tšona.",Mothwalwa,positive
1728,"Ke šišinya gore e sego fela dijo tša yona tše di kgahlišago, eupša gape le go beng ba tšona le bašomi ba tšona.",Beng beng,positive
1732,Mogwera yo mongwe o be a swanetše go kgopela 3 times for parmesan.,Go Diego Go Cheese,neutral
1734,Tirelo e tloga e le ya bogwera ebile e na le mohola.,Bohlokwa,positive
1738,Tirelo e tloga e le ya bogwera ebile e na le mohola.,Tirelo Tirelo,positive
1742,Ke be ke swerwe ke tlala gomme dihlopha tše nnyane di ile tša ntlhanya!,Les Šaša,negative
1745,E be e le ka mošupologo go ya go ja dijo tša mesong - o be a šoma ka filimi lefelong leo - gomme a hwetša mabenyane a sewelo.,Dijo tša go fihlola,neutral
1747,"Le ge go le bjalo, ga se mehuta ye menyenyane ya dijo tše di nago le lebelo le legolo - ke tša nnete, tše di tletšego.",ba ba burger,positive
1751,"Le ge go le bjalo, ga se mehuta ye menyenyane ya dijo tše di nago le lebelo le legolo - ke tša nnete, tše di tletšego.",Go Paties,positive
1755,"Ka lebaka la theko ya dijo tšeo o di rekago, o tla holofela gore o tla ba le bobotlana ka dijo tše dingwe tša afrika.",Le dijo,negative
1757,"Ka lebaka la theko ya dijo tšeo o di rekago, o tla holofela gore o tla ba le bobotlana ka dijo tše dingwe tša afrika.",bei bei,negative
1759,Karolo ya dijo e be e le ye nnyane gomme ka fase ga palogare.,Karolo ya dijo,negative
1762,Re be re eya go ja dijo tša go ja dijo tša go fihlola!!!!,Dijo tša go fihlola,neutral
1764,Re be re eya go ja dijo tša go ja dijo tša go fihlola!!!!,soy sauce lego,neutral
1766,Re be re eya go ja dijo tša go ja dijo tša go fihlola!!!!,Lego lego waitress,negative
1768,Lefelo le le botse la go itšhireletša letšatši ka morago ga go reka goba go swara sopo ye bonolo ya Fora godimo ga galase ya beine.,Sopeša,neutral
1772,Lefelo le le botse la go itšhireletša letšatši ka morago ga go reka goba go swara sopo ye bonolo ya Fora godimo ga galase ya beine.,Felo,positive
1776,Lefelo le le botse la go itšhireletša letšatši ka morago ga go reka goba go swara sopo ye bonolo ya Fora godimo ga galase ya beine.,Whisky a Go Go,neutral
1778,Lefelo le le botse la go itšhireletša letšatši ka morago ga go reka goba go swara sopo ye bonolo ya Fora godimo ga galase ya beine.,Dijo França Di Lena,neutral
1782,"Dijo di na le maatla, gomme theko ya tšona e a kwagala.",ditheko,positive
1786,"Dijo di na le maatla, gomme theko ya tšona e a kwagala.",Le dijo,positive
1790,"Lefelo le le hlwekilego, gomme ge o rata dijo tša moya, gona moo ke lefelo leo le swanetšego go ba gona!",Moya Dijo,positive
1794,"Lefelo le le hlwekilego, gomme ge o rata dijo tša moya, gona moo ke lefelo leo le swanetšego go ba gona!",Felo,positive
1798,"Batho ba bangwe ba be ba na le lerato kudu, gomme ba ile ba noša dino tša ka ka nako ye nngwe ge ke be ke di tlogela.",Maloko a Bašomi,positive
1801,"Batho ba bangwe ba be ba na le lerato kudu, gomme ba ile ba noša dino tša ka ka nako ye nngwe ge ke be ke di tlogela.",Dino Dino,neutral
1803,Di be di na le monkgo wo o hlwekilego le dibjana tše di hlwekilego.,Go Smoothies,positive
1805,Di be di na le monkgo wo o hlwekilego le dibjana tše di hlwekilego.,Go Go Juices,positive
1807,"Le ge go le bjalo, le ge go le bjalo, go na le dilo tše di kgahlišago kudu tšeo ke bego ke na le tšona, ke tše dikaonekaone tšeo nkilego ka ba le tšona!",Go Smoothies,negative
1811,"Le ge go le bjalo, le ge go le bjalo, go na le dilo tše di kgahlišago kudu tšeo ke bego ke na le tšona, ke tše dikaonekaone tšeo nkilego ka ba le tšona!",Go Go Juices,positive
1815,Di na le kgogo ye botse ye e nago le avocado le tuna ye botse.,Piše se avocado,positive
1819,Di na le kgogo ye botse ye e nago le avocado le tuna ye botse.,Tong Keng,positive
1823,"Bontši bja di-soya di dirilwe ka soya ya mayo, yeo e tlogago e le botse kudu.",lego sandwiches,positive
1826,"Bontši bja di-soya di dirilwe ka soya ya mayo, yeo e tlogago e le botse kudu.",Anke Mayonaise,positive
1828,"Ga se fela gore ba be ba na le dipisikiti, dipisikiti, dipipi, bjalobjalo, eupša di-sorbets tša bona tša ka gae di a tšwa ka mo nageng ye!",homeboys lego sets,positive
1832,"Ga se fela gore ba be ba na le dipisikiti, dipisikiti, dipipi, bjalobjalo, eupša di-sorbets tša bona tša ka gae di a tšwa ka mo nageng ye!",Sopeša,positive
1836,"Ga se fela gore ba be ba na le dipisikiti, dipisikiti, dipipi, bjalobjalo, eupša di-sorbets tša bona tša ka gae di a tšwa ka mo nageng ye!",lego sandwiches,positive
1840,"Ga se fela gore ba be ba na le dipisikiti, dipisikiti, dipipi, bjalobjalo, eupša di-sorbets tša bona tša ka gae di a tšwa ka mo nageng ye!",Pizza Go Go,positive
1844,Y yo le dije que le dije a la soy!,Go Go Pizza Soy,positive
1847,Y yo le dije que le dije a la soy!,Go Go Butter Sorbet,positive
1850,"Le ge go le bjalo, go na le kgonagalo ya gore",Lego Desserts,positive
1854,"Le ge go le bjalo, go na le kgonagalo ya gore",Cafe Moka,positive
1858,Ka dinako tše dingwe mmino o boima kudu go nna.,Momino Momino,negative
1861,"Casablanca servces falafel e bose, tabouleh, humus le dithabi tše dingwe tša Mediterranean, tšeo ka moka di lego theko e tlase kudu.",Lethabo Mediterranean,positive
1864,"Casablanca servces falafel e bose, tabouleh, humus le dithabi tše dingwe tša Mediterranean, tšeo ka moka di lego theko e tlase kudu.",falafel,positive
1867,"Casablanca servces falafel e bose, tabouleh, humus le dithabi tše dingwe tša Mediterranean, tšeo ka moka di lego theko e tlase kudu.",Go Go Humus,positive
1870,"Casablanca servces falafel e bose, tabouleh, humus le dithabi tše dingwe tša Mediterranean, tšeo ka moka di lego theko e tlase kudu.",Tabouleh,positive
1873,"Go na le dijo tše di sa turego kudu, eupša go na le dijo tša go ja, gomme tirelo ya bona ya go reka e tloga e le ka pela kudu.",Dijo tša go fihlola,neutral
1877,"Go na le dijo tše di sa turego kudu, eupša go na le dijo tša go ja, gomme tirelo ya bona ya go reka e tloga e le ka pela kudu.",Tirelo ya go Romela,positive
1881,Gape di na le tšhošetšo ye kgolo ge e le gore ga o na le mokgwa wa go ba leloko la setšo.,Go Go Boots Wraps,positive
1884,Gape di na le tšhošetšo ye kgolo ge e le gore ga o na le mokgwa wa go ba leloko la setšo.,Go Mediterranean Go,neutral
1887,Go tšere mengwaga ye 100 go ya Go ile gwa ba le dipisikiti tša go swana le tšeo di bego di le gona pele ga ge ke sa kgone go di dira. Kwanele Lete,Pizza Go Go,positive
1890,Lesoso le le botse (le le lebotse) le na le difahlego tša go ba le difahlego tša go diša.,Sebago Real Mozzarella,neutral
1892,Lesoso le le botse (le le lebotse) le na le difahlego tša go ba le difahlego tša go diša.,Saša Saša,positive
1895,Bogobe le bona bo a šaka godimo.,Moka bread,positive
1898,Ba be ba šoma ka bogobe bja Focacchia gomme ba swanetše go hwa.,go servile,neutral
1900,Ba be ba šoma ka bogobe bja Focacchia gomme ba swanetše go hwa.,Sebago Bread,neutral
1903,Go Go Boots - Best We Ever.,lego rings rings,positive
1906,Go na le ditšhupetšo tše di kgahlišago tša go ba le ditagwa le/goba dino.,Alago - Alago,neutral
1910,Go na le ditšhupetšo tše di kgahlišago tša go ba le ditagwa le/goba dino.,Botafogo,positive
1914,Go na le ditšhupetšo tše di kgahlišago tša go ba le ditagwa le/goba dino.,Dino Dino,neutral
1918,"Y yo ya no le dije nada, ya no le dije nada.",be a billed,negative
1920,"Y yo ya no le dije nada, ya no le dije nada.",AsiaGo Go Fusion,neutral
1922,"Y yo ya no le dije nada, ya no le dije nada.",Moka Cuisine,negative
1924,"Y yo ya no le dije nada, ya no le dije nada.",Go Bill Go,negative
1926,"Batho bao ba bego ba le gona ba be ba le mafolofolo, ba be ba na le bokgoni ebile ba na le bokgoni.",Leta Bae,positive
