,sn,aspect,polarities
1220,Chikafu chakanga chakaisvonaka - chechokwadi cheItaly cuisine chakagadzirwa zvachose zvitsva.,Italian cuisine,positive
1224,Chikafu chakanga chakaisvonaka - chechokwadi cheItaly cuisine chakagadzirwa zvachose zvitsva.,zvokudya,positive
1228,Basa racho rakanga rakatanhamara.,basa,positive
1231,Handizive kuti vamwe vanhu vanorova pamusoro pembwa inopisa iyi vari kutaura nezvei.,imbwa inopisa,negative
1233,Ichi pasina mubvunzo ndechimwe chezvinhu zvakaipisisa zvinopisa zvandakamboita.,hotdogs,negative
1236,"Mukuwedzera kune imbwa huru dzinopisa, DOTP ine zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots uye Chirungu muffins, inonaka NJ-based nyama yenguruve chigadzirwa chinoziva kwatiri Jersey vasikana nevakomana saTaylor ham.",English muffins,positive
1240,"Mukuwedzera kune imbwa huru dzinopisa, DOTP ine zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots uye Chirungu muffins, inonaka NJ-based nyama yenguruve chigadzirwa chinoziva kwatiri Jersey vasikana nevakomana saTaylor ham.",Taylor hamu,positive
1242,"Mukuwedzera kune imbwa huru dzinopisa, DOTP ine zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots uye Chirungu muffins, inonaka NJ-based nyama yenguruve chigadzirwa chinoziva kwatiri Jersey vasikana nevakomana saTaylor ham.",Chigadzirwa chenyama yenguruve,positive
1246,"Mukuwedzera kune imbwa huru dzinopisa, DOTP ine zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots uye Chirungu muffins, inonaka NJ-based nyama yenguruve chigadzirwa chinoziva kwatiri Jersey vasikana nevakomana saTaylor ham.",tator tots,positive
1250,"Mukuwedzera kune imbwa huru dzinopisa, DOTP ine zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots uye Chirungu muffins, inonaka NJ-based nyama yenguruve chigadzirwa chinoziva kwatiri Jersey vasikana nevakomana saTaylor ham.",imbwa dzinopisa,positive
1254,"Mukuwedzera kune imbwa huru dzinopisa, DOTP ine zvinoshamisa chisvusvuro masangweji anoratidzira, kuwedzera kune zvinhu zvikuru zvakafanana ne tator tots uye Chirungu muffins, inonaka NJ-based nyama yenguruve chigadzirwa chinoziva kwatiri Jersey vasikana nevakomana saTaylor ham.",Chisvusvuro masangweji,positive
1258,"Mashoko pamusoro pezvokudya zvakagochwa akarurama (pazasi) asi zvimwe zvidya, kusanganisira gwayana entree uye zvakawanda zvesaladi (avocado shrimp) zvakanga zvakanaka zvikuru.",Zvokudya zvakagochwa,negative
1260,"Mashoko pamusoro pezvokudya zvakagochwa akarurama (pazasi) asi zvimwe zvidya, kusanganisira gwayana entree uye zvakawanda zvesaladi (avocado shrimp) zvakanga zvakanaka zvikuru.",Salads (avocado shrimp),positive
1262,"Mashoko pamusoro pezvokudya zvakagochwa akarurama (pazasi) asi zvimwe zvidya, kusanganisira gwayana entree uye zvakawanda zvesaladi (avocado shrimp) zvakanga zvakanaka zvikuru.",ndiro,positive
1265,"Mashoko pamusoro pezvokudya zvakagochwa akarurama (pazasi) asi zvimwe zvidya, kusanganisira gwayana entree uye zvakawanda zvesaladi (avocado shrimp) zvakanga zvakanaka zvikuru.",Gwayana entree,positive
1268,Zvimwe zvinogumbura waini mazita (chete mazambiringa matsva.,vintages,negative
1270,Zvimwe zvinogumbura waini mazita (chete mazambiringa matsva.,waini mazita,negative
1273,"Asi nokuti kukosha, yaiva huru inokwanisika nzvimbo kunakidzwa mafaro usiku kunze neboka duku.",kukosha,positive
1275,"Weti yedu yaibatsira uye inofadza, zvokudya zvakanga zvakakwana, uye waini yakanga yakanaka, zvakare.",waini,positive
1279,"Weti yedu yaibatsira uye inofadza, zvokudya zvakanga zvakakwana, uye waini yakanga yakanaka, zvakare.",weti,positive
1283,"Weti yedu yaibatsira uye inofadza, zvokudya zvakanga zvakakwana, uye waini yakanga yakanaka, zvakare.",zvokudya,positive
1287,Chikafu chakanga chakatanhamara uye basa racho rakanga riri pamusoro.,basa,positive
1291,Chikafu chakanga chakatanhamara uye basa racho rakanga riri pamusoro.,zvokudya,positive
1295,"Namatira kune zvinhu nzvimbo inoita zvakanakisisa, brisket, mbabvu, mapapiro, cajun shrimp yakanaka, kwete huru.",Cajun shrimp,neutral
1298,"Namatira kune zvinhu nzvimbo inoita zvakanakisisa, brisket, mbabvu, mapapiro, cajun shrimp yakanaka, kwete huru.",brisket,positive
1301,"Namatira kune zvinhu nzvimbo inoita zvakanakisisa, brisket, mbabvu, mapapiro, cajun shrimp yakanaka, kwete huru.",mbabvu,positive
1304,"Namatira kune zvinhu nzvimbo inoita zvakanakisisa, brisket, mbabvu, mapapiro, cajun shrimp yakanaka, kwete huru.",Mapapiro,positive
1307,"Great doro kusarudzwa zvakare, chimwe chinhu chakafanana 50 doro.",doro,neutral
1309,"Great doro kusarudzwa zvakare, chimwe chinhu chakafanana 50 doro.",doro sarudzo,positive
1312,"BTW, basa racho rakanaka kwazvo.",basa,positive
1315,"Saka takagara pabhawa, bartender haana kuita kunge aida kuvapo.",bhaa,neutral
1317,"Saka takagara pabhawa, bartender haana kuita kunge aida kuvapo.",bartender,negative
1319,Hatina kuziva kana taifanira kuraira chinwiwa kana kuenda?,inwa,neutral
1321,Takanga tichishamisika kuti nei vakanga varipo kuti chiitiko chedu chekudya chive nenhamo?,Kudya ruzivo,negative
1324,"Anyway, muridzi wacho akanga ari fake.",muridzi,negative
1327,"Kutaura chokwadi, chikafu cheChinese pano chimwe chinhu chandinogona kuita zviri nani kumba.",Chikafu cheChinese,negative
1329,Paingova nemushandi mumwe chete weresitorendi yose yepamusoro.,weti,neutral
1331,Ndakafunga kuti chikafu hachisi chisingadhuri zvachose kana zvichienzaniswa neChinatown.,zvokudya,negative
1334,Chinatown zvechokwadi ine unhu huri nani nemitengo isingadhuri.,mitengo,positive
1338,Chinatown zvechokwadi ine unhu huri nani nemitengo isingadhuri.,unhu,positive
1342,"Ndinogona kunzwisisa mitengo kana yakashumira chikafu chiri nani, kufanana nedzimwe maresitorendi eChinese munharaunda yepakati / uptown.",mitengo,negative
1344,"Ndinogona kunzwisisa mitengo kana yakashumira chikafu chiri nani, kufanana nedzimwe maresitorendi eChinese munharaunda yepakati / uptown.",zvokudya,negative
1346,Inodyiwa nevhiniga yakasviba uye ginger yakatsemurwa.,vhiniga nhema,neutral
1348,Inodyiwa nevhiniga yakasviba uye ginger yakatsemurwa.,Ginger Yakatsemurwa,neutral
1350,Malted Milk Ball Gelato - wakambonzwa here muupenyu hwako nezvechinhu chakadaro chinoshamisa zvisina musoro?,Malted Milk Bhora Gelato,positive
1353,"Ndakawana chikafu chacho kuva chakanaka semuridzi wacho, Da Silvano, chisingadhuri zvikuru.",muridzi,positive
1356,"Ndakawana chikafu chacho kuva chakanaka semuridzi wacho, Da Silvano, chisingadhuri zvikuru.",zvokudya,positive
1359,The ambience zvakare zvikuru akaisa-shure uye akasununguka.,ambience,positive
1362,Zvose nhamba ye appetizer uye pasta zvakakosha zvakanga zvinoshamisa.,pasta specials,positive
1365,Zvose nhamba ye appetizer uye pasta zvakakosha zvakanga zvinoshamisa.,appetizer,positive
1368,Zvechokwadi edza taglierini ne truffles - zvakanga zvisingadaviriki.,taglierini ne truffles,positive
1371,"Uyewo, vashandi vanonyatsoteerera uye chaizvoizvo personable.",vashandi,positive
1374,"risotto yangu yemuriwo yakatsva, uye yakaiswa zvachose mukunhuhwirira kwakatsva.",miriwo risotto,negative
1378,"risotto yangu yemuriwo yakatsva, uye yakaiswa zvachose mukunhuhwirira kwakatsva.",Flavor,negative
1382,Vane basa rinokurumidza chaizvo iro rakakura kana iwe usina nguva yakawanda.,basa,positive
1385,"The zvokudya avhareji: chisvusvuro zvokudya, soups, saladi, masangweji, etc.",zvokudya,neutral
1388,"The zvokudya avhareji: chisvusvuro zvokudya, soups, saladi, masangweji, etc.",soups,neutral
1391,"The zvokudya avhareji: chisvusvuro zvokudya, soups, saladi, masangweji, etc.",saladi,neutral
1394,"The zvokudya avhareji: chisvusvuro zvokudya, soups, saladi, masangweji, etc.",masangweji,neutral
1397,"The zvokudya avhareji: chisvusvuro zvokudya, soups, saladi, masangweji, etc.",Kudya kwemangwanani,neutral
1400,Ndiko kukurukurirana kunoita kuti iyi ive nzvimbo inonakidza kuva.,nzvimbo,positive
1403,"Zvokudya zvakanga zvakanaka, asi kwete zvikuru.",Zvokudya,positive
1406,Basa rakanga richityisa - zvikurukuru nokuti vashandi vakakundwa musi weMugovera usiku.,Basa,negative
1410,Basa rakanga richityisa - zvikurukuru nokuti vashandi vakakundwa musi weMugovera usiku.,vashandi,negative
1414,Takava nemutambo wekuberekwa pano munguva pfupi yapfuura uye chikafu uye basa raishamisa.,basa,positive
1417,Takava nemutambo wekuberekwa pano munguva pfupi yapfuura uye chikafu uye basa raishamisa.,zvokudya,positive
1420,"Kwete chete sushi itsva, ivo vakashumirawo mamwe entrees akabvumira mumwe nomumwe muenzi chimwe chinhu kusarudza kubva uye isu tose akasiya kufara (edza duku!",duku,positive
1424,"Kwete chete sushi itsva, ivo vakashumirawo mamwe entrees akabvumira mumwe nomumwe muenzi chimwe chinhu kusarudza kubva uye isu tose akasiya kufara (edza duku!",entrees,neutral
1426,"Kwete chete sushi itsva, ivo vakashumirawo mamwe entrees akabvumira mumwe nomumwe muenzi chimwe chinhu kusarudza kubva uye isu tose akasiya kufara (edza duku!",sushi,positive
1430,"Basa racho rakanga richinonoka zvishoma uye zvikamu zviri zvishoma zvishoma saka kana iwe uine nzara uye uchimhanya, iyi haisi nzvimbo yako.",zvikamu,negative
1434,"Basa racho rakanga richinonoka zvishoma uye zvikamu zviri zvishoma zvishoma saka kana iwe uine nzara uye uchimhanya, iyi haisi nzvimbo yako.",basa,negative
1438,"Chikafu chikuru, zvinwiwa zvikuru, yakanaka yekudyira mhepo.",zvinwiwa,positive
1442,"Chikafu chikuru, zvinwiwa zvikuru, yakanaka yekudyira mhepo.",kudya mhepo,positive
1446,"Chikafu chikuru, zvinwiwa zvikuru, yakanaka yekudyira mhepo.",zvokudya,positive
1450,"Asi kudya kwemanheru pano hakumboodzi mwoyo, kunyange kana mitengo iri zvishoma pamusoro.",mitengo,negative
1454,"Asi kudya kwemanheru pano hakumboodzi mwoyo, kunyange kana mitengo iri zvishoma pamusoro.",kudya kwemanheru,positive
1458,"Nenzira inoodza mwoyo, Saketini yavo inoshamisa yakabviswa kubva kubhawa menyu.",Saketini,positive
1462,"Nenzira inoodza mwoyo, Saketini yavo inoshamisa yakabviswa kubva kubhawa menyu.",bhaa menyu,negative
1466,"Zvokudya pano zvakanga zvikuru, kurapwa kubva pakutanga kusvika pakuguma.",zvokudya,positive
1469,"Zvokudya zvakanaka pamutengo wakakodzera, chii chimwe chaunogona kukumbira.",mutengo,positive
1473,"Zvokudya zvakanaka pamutengo wakakodzera, chii chimwe chaunogona kukumbira.",zvokudya,positive
1477,Zvinhu zvakanakisisa zvekuraira zvinobva ku grill (Churrasco uye Ribs).,Churrasco,positive
1479,Zvinhu zvakanakisisa zvekuraira zvinobva ku grill (Churrasco uye Ribs).,grill,positive
1481,Zvinhu zvakanakisisa zvekuraira zvinobva ku grill (Churrasco uye Ribs).,Mbabvu,positive
1483,Chikafu chakanakisisa chemhando yepamusoro yemutengo wakanaka weresitorendi.,Zvokudya,positive
1487,Chikafu chakanakisisa chemhando yepamusoro yemutengo wakanaka weresitorendi.,mutengo,positive
1491,"The appetizers vari ok, asi basa iri kunonoka.",basa,negative
1495,"The appetizers vari ok, asi basa iri kunonoka.",appetizers,neutral
1499,Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,inwa,neutral
1501,Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,basa,negative
1505,Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,zvinwiwa,neutral
1509,Ingopinda uye edza chikafu chikuru cheFrance kumadokero kwaDaniel.,Chikafu cheFrance,positive
1512,Ichi chaizvoizvo nzvimbo inopisa kana totaura nezvekudya.,zvokudya,positive
1515,Satay ndeimwe yeiyo inofarira haunts paWashington uko basa uye chikafu chinogara chiri pamari.,basa,positive
1517,Satay ndeimwe yeiyo inofarira haunts paWashington uko basa uye chikafu chinogara chiri pamari.,zvokudya,positive
1519,"Edza mbabvu, sizzling nyama yemombe uye vaviri nayo nemupunga kokonati.",nyama yemombe,positive
1522,"Edza mbabvu, sizzling nyama yemombe uye vaviri nayo nemupunga kokonati.",mbabvu,positive
1525,"Edza mbabvu, sizzling nyama yemombe uye vaviri nayo nemupunga kokonati.",kokonati mupunga,positive
1527,Ngwarira chili chakasaina zvokudya kwete kutoti uchida kudana dhipatimendi rinodzima moto mumuromo mako.,Chili akasaina zvinhu zvekudya,negative
1529,"Chikafu chacho chinongova OKAY, uye zvinenge zvisina kukodzera kuenda kunze kwekunge iwe uri kuwana pialla, iyo ndiyo chete dhiza yakanaka chaizvo.",dhiza,positive
1532,"Chikafu chacho chinongova OKAY, uye zvinenge zvisina kukodzera kuenda kunze kwekunge iwe uri kuwana pialla, iyo ndiyo chete dhiza yakanaka chaizvo.",pialla,positive
1535,Vashandi vane ushamwari chaizvo.,vashandi,positive
1538,Vanoita pizza yakanakisisa muNew Jersey.,Pizza,positive
1541,"Kwete chete weti yakanga ichishanda zvakanaka uye ine tsika, asiwo inobatsira zvikuru. ",weti,positive
1544,Tiny resitorendi pamwe chaizvo nokukurumidza basa.,basa,positive
1547,"Great burgers, grilled cheeses uye french fries.",Cheeses Vaporware,positive
1550,"Great burgers, grilled cheeses uye french fries.",French fries,positive
1553,"Great burgers, grilled cheeses uye french fries.",Burgers,positive
1556,"Chikafu chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku uye shrimp ndiro.",huku,positive
1560,"Chikafu chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku uye shrimp ndiro.",zvokudya,positive
1564,"Chikafu chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku uye shrimp ndiro.",kutonhora sesame noodles,positive
1568,"Chikafu chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku uye shrimp ndiro.",dumplings,positive
1572,"Chikafu chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku uye shrimp ndiro.",shrimp ndiro,positive
1576,"Best Chinese pamusoro Upper East, nokukurumidza kuendesa, kukosha kwakanaka.",kukosha,positive
1580,"Best Chinese pamusoro Upper East, nokukurumidza kuendesa, kukosha kwakanaka.",kuendesa,positive
1584,Handina kumbobvira ndave neorange donut saka ndakazvipa mboro.,orenji donut,neutral
1586,Ndakashamiswa zvikuru nekunakirwa.,Kuravira,positive
1589,"A musanganiswa vadzidzi uye nharaunda vagari vanoungana kupinda ichi yakatetepa, zvishoma ikoko nzvimbo nokuda kwayo nokukurumidza, inonaka anobata panguva tsvina-zvakachipa mitengo.",nzvimbo,negative
1593,"A musanganiswa vadzidzi uye nharaunda vagari vanoungana kupinda ichi yakatetepa, zvishoma ikoko nzvimbo nokuda kwayo nokukurumidza, inonaka anobata panguva tsvina-zvakachipa mitengo.",inobata,positive
1597,"A musanganiswa vadzidzi uye nharaunda vagari vanoungana kupinda ichi yakatetepa, zvishoma ikoko nzvimbo nokuda kwayo nokukurumidza, inonaka anobata panguva tsvina-zvakachipa mitengo.",mitengo,positive
1601,Asi vagari venguva dzose vanoziva kuti masangweji ndiwo nyeredzi chaiyo pano.,masangweji,positive
1604,"Nokuti savory kutora pamusoro muto uye sandwich zvokudya, edza inopisa uye inovava muto.",Hot uye inovava muto,positive
1608,"Nokuti savory kutora pamusoro muto uye sandwich zvokudya, edza inopisa uye inovava muto.",muto uye sandwich kudya,positive
1612,Vane gorosi crusted pizza yakagadzirwa chaizvoizvo itsva uye yummy zvinoriumba.,Gorosi Crusted Pizza,positive
1614,Vane gorosi crusted pizza yakagadzirwa chaizvoizvo itsva uye yummy zvinoriumba.,zvinoriumba,positive
1617,"Kuvhiringidza kwavo pamusoro pepizza kune heatlhy, asi izere nekunakirwa.",Flavor,positive
1621,"Kuvhiringidza kwavo pamusoro pepizza kune heatlhy, asi izere nekunakirwa.",Twist pamusoro pizza,positive
1625,"Kana uri kuda zvimwe zvakakomba Indian zvokudya uye chido cozy ambiance, ichi zvikuru uye yakaisvonaka sarudzo.",ambiance,positive
1629,"Kana uri kuda zvimwe zvakakomba Indian zvokudya uye chido cozy ambiance, ichi zvikuru uye yakaisvonaka sarudzo.",Chikafu cheIndia,positive
1633,"Kwete chete basa guru, asi kuumba kukurukurirana kumativi tafura zviri nyore kwazvo nokuti mhepo inogona kuva zvose kudanana uye wakasununguka.",basa,positive
1637,"Kwete chete basa guru, asi kuumba kukurukurirana kumativi tafura zviri nyore kwazvo nokuti mhepo inogona kuva zvose kudanana uye wakasununguka.",mhepo,positive
1641,Pane chiedza chekenduru nemimhanzi.,mimhanzi,neutral
1643,Pane chiedza chekenduru nemimhanzi.,chiedza chekenduru,neutral
1645,Ndainakidzwa chaizvo nezvokudya zvacho.,zvokudya,positive
1648,The pasi bhaa chiitiko chaizvo inotonhorera uye chill ...,pasi bhaa chiitiko,positive
1651,"Chikafu chacho chakanga chakanaka zvechokwadi, asi apo zvose zvakataurwa uye zvakaitwa, ini ndakanga ndisingagoni kuzviruramisa nemutengo (kusanganisira 2 zvinwiwa, $ 100 / munhu) ...",mutengo,negative
1653,"Chikafu chacho chakanga chakanaka zvechokwadi, asi apo zvose zvakataurwa uye zvakaitwa, ini ndakanga ndisingagoni kuzviruramisa nemutengo (kusanganisira 2 zvinwiwa, $ 100 / munhu) ...",zvinwiwa,neutral
1655,"Chikafu chacho chakanga chakanaka zvechokwadi, asi apo zvose zvakataurwa uye zvakaitwa, ini ndakanga ndisingagoni kuzviruramisa nemutengo (kusanganisira 2 zvinwiwa, $ 100 / munhu) ...",zvokudya,positive
1658,Yakanakisa Chinese chikafu kumusoro kweguta!,Chikafu cheChinese,positive
1661,"Kukurumidza kuendesa, chikafu chikuru, mitengo yakanaka, uye basa reushamwari rinobatanidza kuti uve nechokwadi chekunakidzwa repast.",zvokudya,positive
1665,"Kukurumidza kuendesa, chikafu chikuru, mitengo yakanaka, uye basa reushamwari rinobatanidza kuti uve nechokwadi chekunakidzwa repast.",mitengo,positive
1669,"Kukurumidza kuendesa, chikafu chikuru, mitengo yakanaka, uye basa reushamwari rinobatanidza kuti uve nechokwadi chekunakidzwa repast.",basa,positive
1673,"Kukurumidza kuendesa, chikafu chikuru, mitengo yakanaka, uye basa reushamwari rinobatanidza kuti uve nechokwadi chekunakidzwa repast.",anonunura,positive
1677,"Kukurumidza kuendesa, chikafu chikuru, mitengo yakanaka, uye basa reushamwari rinobatanidza kuti uve nechokwadi chekunakidzwa repast.",repast,positive
1681,"The chando sesame noodles, izvo freebie kana iwe kuraira $ 10 +, vari delectable.",kutonhora sesame noodles,positive
1684,The avocado saladi ari munhu fave.,avocado saladi,positive
1687,"Uye, uchi BBQ mbabvu mazano vari yummy!",uchi BBQ mbabvu mazano,positive
1690,Takarayira gwayana iro rakabikwa zvakakwana uye rakaravira rinotyisa.,Gwayana,positive
1693,Zvose kubva mazai benedict kuti mussels uye kunyange hamburger zvakaitwa zvakanaka uye zvinonaka chaizvo.,mussels,positive
1696,Zvose kubva mazai benedict kuti mussels uye kunyange hamburger zvakaitwa zvakanaka uye zvinonaka chaizvo.,mazai benedict,positive
1699,Zvose kubva mazai benedict kuti mussels uye kunyange hamburger zvakaitwa zvakanaka uye zvinonaka chaizvo.,hamburger,positive
1702,"Zvechokwadi kwete sushi yakanakisisa muNew York, zvisinei, inogara iri itsva, uye nzvimbo yacho yakachena kwazvo, isina utachiona.",nzvimbo,positive
1705,"Ndinovimba nevanhu paGo Sushi, hazvimboodzi mwoyo.",vanhu,positive
1708,"Straight-mberi, hapana zvinoshamisa, chaizvo tsika Japanese zvokudya.",Chikafu cheJapan,positive
1711,"Regai ndinzwisise zvakaipa - Sushi akanga akanaka, chete kwete fantastic.",sushi,positive
1714,zvakanaka siyana asi hapana chinoshamisa.,siyana,positive
1717,Harumi Sushi ane zvitsva uye zvinonaka zvikuru zve sushi muNYC.,Array ye sushi,positive
1720,"Ndinokurudzira zvikuru kwete chete kudya kwayo kwakanakisisa, asiwo kune varidzi vayo vane ushamwari uye vashandi.",cuisine,positive
1724,"Ndinokurudzira zvikuru kwete chete kudya kwayo kwakanakisisa, asiwo kune varidzi vayo vane ushamwari uye vashandi.",vashandi,positive
1728,"Ndinokurudzira zvikuru kwete chete kudya kwayo kwakanakisisa, asiwo kune varidzi vayo vane ushamwari uye vashandi.",varidzi,positive
1732,Imwe shamwari yaifanira kukumbira 3 nguva parmesan cheese.,Parmesan cheese,neutral
1734,"Basa iri chaizvoizvo nokukurumidza uye ushamwari, uye kukosha zvikuru.",kukosha,positive
1738,"Basa iri chaizvoizvo nokukurumidza uye ushamwari, uye kukosha zvikuru.",basa,positive
1742,Ndakanga ndichifa nenzara uye zvikamu zviduku zvakanga zvichindipenga!,zvikamu,negative
1745,Akanga ari Muvhuro wake wekudya kwemasikati - akanga achishanda pafirimu munharaunda - uye akawana ichi chinhu chisingawanzoitiki.,Kudya kwemasikati,neutral
1747,"Uye izvi hazvisi zviduku, wimpy fast food type burgers - izvi ndezvechokwadi, zvizere zvakakura patties.",Burgers,positive
1751,"Uye izvi hazvisi zviduku, wimpy fast food type burgers - izvi ndezvechokwadi, zvizere zvakakura patties.",Patties,positive
1755,"Nokuda kwemutengo waunobhadhara zvokudya pano, iwe waizotarisira kuti zvive zvishoma zvakaenzana nemamwe maresitorendi eJapan.",zvokudya,negative
1757,"Nokuda kwemutengo waunobhadhara zvokudya pano, iwe waizotarisira kuti zvive zvishoma zvakaenzana nemamwe maresitorendi eJapan.",mutengo,negative
1759,Chikamu chekudya chaive SMALL uye pasi peavhareji.,Chikamu chekudya,negative
1762,Waitress akauya kuzotora soy sauce APO taidya masikati edu!!!!,Kudya kwemasikati,neutral
1764,Waitress akauya kuzotora soy sauce APO taidya masikati edu!!!!,Soy muto,neutral
1766,Waitress akauya kuzotora soy sauce APO taidya masikati edu!!!!,waitress,negative
1768,Nzvimbo yakanaka yekutandara masikati mushure mekutenga kana kubata muto wakapfava kana classic French dish pamusoro pegirazi rewaini.,muto,neutral
1772,Nzvimbo yakanaka yekutandara masikati mushure mekutenga kana kubata muto wakapfava kana classic French dish pamusoro pegirazi rewaini.,nzvimbo,positive
1776,Nzvimbo yakanaka yekutandara masikati mushure mekutenga kana kubata muto wakapfava kana classic French dish pamusoro pegirazi rewaini.,girazi rewaini,neutral
1778,Nzvimbo yakanaka yekutandara masikati mushure mekutenga kana kubata muto wakapfava kana classic French dish pamusoro pegirazi rewaini.,French ndiro,neutral
1782,Chikafu chikuru uye mitengo inonzwisisika.,mitengo,positive
1786,Chikafu chikuru uye mitengo inonzwisisika.,zvokudya,positive
1790,"Nzvimbo yacho yakachena, uye kana iwe uchida mweya wekudya, saka iyi ndiyo nzvimbo yekuve!",mweya chikafu,positive
1794,"Nzvimbo yacho yakachena, uye kana iwe uchida mweya wekudya, saka iyi ndiyo nzvimbo yekuve!",nzvimbo,positive
1798,Vashandi vane ushamwari zvikuru uye vakatotsiva chinwiwa changu kamwe chete apo ndakachidonhedza kunze.,Nhengo dzevashandi,positive
1801,Vashandi vane ushamwari zvikuru uye vakatotsiva chinwiwa changu kamwe chete apo ndakachidonhedza kunze.,inwa,neutral
1803,Izvo zvinonyanya kuita smoothies uye juices itsva.,smoothies,positive
1805,Izvo zvinonyanya kuita smoothies uye juices itsva.,Fresh juices,positive
1807,"Nepo smoothies zvishoma guru kwandiri, itsva juices ndiyo yakanakisisa ndakambova!",smoothies,negative
1811,"Nepo smoothies zvishoma guru kwandiri, itsva juices ndiyo yakanakisisa ndakambova!",Fresh juices,positive
1815,Vane huku yakanaka kwazvo ine avocado uye tuna yakanaka uyewo.,huku ine avocado,positive
1819,Vane huku yakanaka kwazvo ine avocado uye tuna yakanaka uyewo.,tuna,positive
1823,"Zvizhinji zvemasangweji zvinogadzirwa ne soy mayonaise, iyo chaizvoizvo yakanaka.",masangweji,positive
1826,"Zvizhinji zvemasangweji zvinogadzirwa ne soy mayonaise, iyo chaizvoizvo yakanaka.",soy mayonaise,positive
1828,"Kwete chete vaiva zvinoshamisa, masangweji, muto, pizza nezvimwewo, asi sorbets dzavo dzakagadzirwa kumba dziri kunze kwenyika ino!",Homemade Sorbets,positive
1832,"Kwete chete vaiva zvinoshamisa, masangweji, muto, pizza nezvimwewo, asi sorbets dzavo dzakagadzirwa kumba dziri kunze kwenyika ino!",muto,positive
1836,"Kwete chete vaiva zvinoshamisa, masangweji, muto, pizza nezvimwewo, asi sorbets dzavo dzakagadzirwa kumba dziri kunze kwenyika ino!",masangweji,positive
1840,"Kwete chete vaiva zvinoshamisa, masangweji, muto, pizza nezvimwewo, asi sorbets dzavo dzakagadzirwa kumba dziri kunze kwenyika ino!",Pizza,positive
1844,Edza Peanut Butter Sorbet uye pizza ne soy cheese!,Pizza ne soy cheese,positive
1847,Edza Peanut Butter Sorbet uye pizza ne soy cheese!,Nzungu Butter Sorbet,positive
1850,"Basa racho rakakura (zvichida kunyange muganhu unonetsa asi kanenge iwe unowana ngwariro), iyo desserts yakaisvonaka uye kofi yakanaka kwazvo ...",desserts,positive
1854,"Basa racho rakakura (zvichida kunyange muganhu unonetsa asi kanenge iwe unowana ngwariro), iyo desserts yakaisvonaka uye kofi yakanaka kwazvo ...",kofi,positive
1858,Mimhanzi iyo dzimwe nguva inorema zvishoma nokuda kwekufarira kwangu.,mimhanzi,negative
1861,"Casablanca inoshumira falafel inonaka, tabouleh, humus uye zvimwe zvinofadza zveMediterranean, izvo zvose zvisingadhuri zvikuru.",Mediterranean inofadza,positive
1864,"Casablanca inoshumira falafel inonaka, tabouleh, humus uye zvimwe zvinofadza zveMediterranean, izvo zvose zvisingadhuri zvikuru.",falafel,positive
1867,"Casablanca inoshumira falafel inonaka, tabouleh, humus uye zvimwe zvinofadza zveMediterranean, izvo zvose zvisingadhuri zvikuru.",humus,positive
1870,"Casablanca inoshumira falafel inonaka, tabouleh, humus uye zvimwe zvinofadza zveMediterranean, izvo zvose zvisingadhuri zvikuru.",tabouleh,positive
1873,"Ikoko resitorendi chaizvo zvakajairika, asi akakwana masikati, uye kwavo kuendesa basa nguva dzose chaizvo nokukurumidza.",Kudya kwemasikati,neutral
1877,"Ikoko resitorendi chaizvo zvakajairika, asi akakwana masikati, uye kwavo kuendesa basa nguva dzose chaizvo nokukurumidza.",Delivery Service,positive
1881,Vanewo zvikuru assortment pamusoro wraps kana wako kwete mumamiriro ezvinhu kuti chinyakare Mediterranean fare.,assortment of wraps,positive
1884,Vanewo zvikuru assortment pamusoro wraps kana wako kwete mumamiriro ezvinhu kuti chinyakare Mediterranean fare.,chinyakare Mediterranean fare,neutral
1887,Zvakatora makore 100 kuti Parisi iende kumativi ekugadzira pizza (kanenge handifungi kuti vakamboita gore rino risati rasvika) ... Kumirira kwaive kwakakodzera.,Pizza,positive
1890,Muto wacho wakaisvonaka (mutsva kwazvo) ne dabs ye mozzarella chaiyo.,Dabs of real mozzarella,neutral
1892,Muto wacho wakaisvonaka (mutsva kwazvo) ne dabs ye mozzarella chaiyo.,muto,positive
1895,The chingwa iri pamusoro notch uyewo.,chingwa,positive
