,lug,aspect,polarities
1283,"Omuweereza waffe yatuyamba nnyo era yali alabika bulungi, emmere yali etuukiridde, era n'omwenge gwali mulungi.",Emmere,positive
1287,Emmere yali ya njawulo nnyo era obuweereza bwali ku ntikko.,Kolawole,positive
1291,Emmere yali ya njawulo nnyo era obuweereza bwali ku ntikko.,Emmere,positive
1295,"Nywerera ku bintu ekifo kye kikola obulungi, brisket, ribs, ebiwaawaatiro, cajun shrimp kirungi, si kinene.",cajun shrimp,neutral
1298,"Nywerera ku bintu ekifo kye kikola obulungi, brisket, ribs, ebiwaawaatiro, cajun shrimp kirungi, si kinene.",brisket,positive
1301,"Nywerera ku bintu ekifo kye kikola obulungi, brisket, ribs, ebiwaawaatiro, cajun shrimp kirungi, si kinene.",ribs,positive
1304,"Nywerera ku bintu ekifo kye kikola obulungi, brisket, ribs, ebiwaawaatiro, cajun shrimp kirungi, si kinene.",ebiwaawaatiro,positive
1307,"Great beer selection too, something like 50 beer.",bye bye beers,neutral
1309,"Great beer selection too, something like 50 beer.",Beer Selection,positive
1312,"BTW, obuweereza bulungi nnyo .",Kolawole,positive
1315,"N'olwekyo twatuula mu bbaala, omusuubuzi wa bbaala teyalabika ng'ayagala kubeerawo.",Buli,neutral
1317,"N'olwekyo twatuula mu bbaala, omusuubuzi wa bbaala teyalabika ng'ayagala kubeerawo.",Bartender,negative
1319,Twali tetumanyi oba tulina kulagira kunywa mwenge oba okuvaayo?,Nywa omwenge,neutral
1321,Twali twebuuza lwaki baaliwo okufuula eby'okulya byaffe eby'ennaku?,Dining Experience,negative
1324,"Wadde kyali kityo, nnannyini nnyumba yali wa bulimba.",muninkini,negative
1327,"Mu butuufu, emmere y'Abachina wano kye nsobola okukola obulungi awaka.",Bye bye Chinese food,negative
1329,Wooteeri yonna waggulu yalimu omuweereza omu yekka.,omuweereza,neutral
1331,Nalowooza nti emmere si ya buseere n'akatono bw'ogigeraageranya ne Chinatown.,Emmere,negative
1334,Chinatown mazima ddala erina omutindo omulungi n'emiwendo egitali gya bbeeyi.,emiwendo,positive
1338,Chinatown mazima ddala erina omutindo omulungi n'emiwendo egitali gya bbeeyi.,Nsa,positive
1342,"Nsobola okutegeera emiwendo singa giweereza emmere ennungi, nga wooteeri ezimu eza China mu midtown/uptown area.",emiwendo,negative
1344,"Nsobola okutegeera emiwendo singa giweereza emmere ennungi, nga wooteeri ezimu eza China mu midtown/uptown area.",Emmere,negative
1346,Kirya n'omubisi gw'ennyaanya omuddugavu n'ennyaanya ez'enjawulo.,Black Vinegar,neutral
1348,Kirya n'omubisi gw'ennyaanya omuddugavu n'ennyaanya ez'enjawulo.,bye bye ginger shredded,neutral
1350,Malted Milk Ball Gelato - wali owuliddeko ku kintu kyonna ekyewuunyisa?,Malted Milk Ball Gelato,positive
1353,"Nnakizuula nti emmere yali ya bbeeyi ntono nnyo nga nnannyini yo, Da Silvano.",muninkini,positive
1356,"Nnakizuula nti emmere yali ya bbeeyi ntono nnyo nga nnannyini yo, Da Silvano.",Emmere,positive
1359,The ambience is also more laid-back and relaxed.,ambience,positive
1362,Ebintu ebiwerako ebya appetizer ne pasta byali byewuunyisa.,pasta specials,positive
1365,Ebintu ebiwerako ebya appetizer ne pasta byali byewuunyisa.,appetizer,positive
1368,Awatali kubuusabuusa gezaako taglierini ne truffles - kyali tekyewuunyisa.,taglierini ne truffles,positive
1371,"Ekirala, abakozi bafaayo nnyo era ddala bantu.",abakozi,positive
1374,"Risotto yange ey'ebirime yayokebwa, era n'eyokebwa.",risotto,negative
1378,"Risotto yange ey'ebirime yayokebwa, era n'eyokebwa.",Flavor,negative
1382,Balina obuweereza obw'amangu ennyo ekintu ekirungi nga tolina budde bungi.,Kolawole,positive
1385,"Ebyokulya bya bulijjo: emmere ey'enkya, ssupu, saladi, ebijanjaalo n'ebirala.",Emmere,neutral
1388,"Ebyokulya bya bulijjo: emmere ey'enkya, ssupu, saladi, ebijanjaalo n'ebirala.",soups,neutral
1391,"Ebyokulya bya bulijjo: emmere ey'enkya, ssupu, saladi, ebijanjaalo n'ebirala.",saladi,neutral
1394,"Ebyokulya bya bulijjo: emmere ey'enkya, ssupu, saladi, ebijanjaalo n'ebirala.",sandwiches,neutral
1397,"Ebyokulya bya bulijjo: emmere ey'enkya, ssupu, saladi, ebijanjaalo n'ebirala.",Ekyokulya eky'enkya,neutral
1400,Emboozi ze zifuula ekifo kino okuba eky'essanyu.,Kifo,positive
1403,Emmere yali ya mpisa naye si nkulu.,Emmere,positive
1406,Obuweereza bwali bubi nnyo - okusingira ddala olw'okuba abakozi baali bakooye nnyo ku Lwomukaaga ekiro.,Weereza,negative
1410,Obuweereza bwali bubi nnyo - okusingira ddala olw'okuba abakozi baali bakooye nnyo ku Lwomukaaga ekiro.,abakozi,negative
1414,Twalina akabaga k'amazaalibwa wano gye buvuddeko era emmere n'obuweereza byewuunyisa.,Kolawole,positive
1417,Twalina akabaga k'amazaalibwa wano gye buvuddeko era emmere n'obuweereza byewuunyisa.,Emmere,positive
1420,"Sushi teyali mpya yokka, naye era baaweerezanga n'ebintu ebirala buli mugenyi bye yalina okulondako era ffenna ne tusigala nga tuli basanyufu (gezaako endokwa!",buli,positive
1424,"Sushi teyali mpya yokka, naye era baaweerezanga n'ebintu ebirala buli mugenyi bye yalina okulondako era ffenna ne tusigala nga tuli basanyufu (gezaako endokwa!",entrees,neutral
1426,"Sushi teyali mpya yokka, naye era baaweerezanga n'ebintu ebirala buli mugenyi bye yalina okulondako era ffenna ne tusigala nga tuli basanyufu (gezaako endokwa!",Sushi,positive
1430,"Obuweereza bwali bukendedde ate ng'ebitundu bitono nnyo n'olwekyo bw'oba olina enjala ate ng'oli mu bwangu, kino si kifo ky'olina.",GABA,negative
1434,"Obuweereza bwali bukendedde ate ng'ebitundu bitono nnyo n'olwekyo bw'oba olina enjala ate ng'oli mu bwangu, kino si kifo ky'olina.",Kolawole,negative
1438,"Great food, great drinks, nice dining atmosphere.",bye bye drinks,positive
1442,"Great food, great drinks, nice dining atmosphere.",Dining atmosphere,positive
1446,"Great food, great drinks, nice dining atmosphere.",Emmere,positive
1450,"Naye ekyeggulo wano tekimalamu maanyi, ne bwe kiba nti emiwendo giri waggulu.",emiwendo,negative
1454,"Naye ekyeggulo wano tekimalamu maanyi, ne bwe kiba nti emiwendo giri waggulu.",Bye bye dinner,positive
1458,"Ekyennyamiza, Saketini yaabwe ey'ekitalo yaggyiddwa ku bbaala.",Saketini,positive
1462,"Ekyennyamiza, Saketini yaabwe ey'ekitalo yaggyiddwa ku bbaala.",Bar menu,negative
1466,"Emmere wano yali nnungi nnyo, yali nnungi nnyo okuva ku ntandikwa okutuuka ku nkomerero.",Emmere,positive
1469,"Emmere ennungi ku bbeeyi entuufu, kiki ekirala ky'oyinza okusaba.",Bbeeyi,positive
1473,"Emmere ennungi ku bbeeyi entuufu, kiki ekirala ky'oyinza okusaba.",Emmere,positive
1477,Ebintu ebisinga obulungi by'olina okulagira biva mu grill (Churrasco ne Ribs).,Churrasco,positive
1479,Ebintu ebisinga obulungi by'olina okulagira biva mu grill (Churrasco ne Ribs).,Grill,positive
1481,Ebintu ebisinga obulungi by'olina okulagira biva mu grill (Churrasco ne Ribs).,Ribs,positive
1483,Emmere ya mutindo mulungi nnyo ku bbeeyi ya wooteeri ennungi.,Emmere,positive
1487,Emmere ya mutindo mulungi nnyo ku bbeeyi ya wooteeri ennungi.,Bbeeyi,positive
1491,"Appetizers ziri bulungi, naye obuweereza bulwawo.",Kolawole,negative
1495,"Appetizers ziri bulungi, naye obuweereza bulwawo.",appetizers,neutral
1499,Kirungi okugenda eyo okunywa omwenge bw'oba toyagala kunywa kubanga ojja kufuna omukisa singa osobola okunywa omwenge gumu buli ssaawa obuweereza buba bubi nnyo.,Nywa omwenge,neutral
1501,Kirungi okugenda eyo okunywa omwenge bw'oba toyagala kunywa kubanga ojja kufuna omukisa singa osobola okunywa omwenge gumu buli ssaawa obuweereza buba bubi nnyo.,Kolawole,negative
1505,Kirungi okugenda eyo okunywa omwenge bw'oba toyagala kunywa kubanga ojja kufuna omukisa singa osobola okunywa omwenge gumu buli ssaawa obuweereza buba bubi nnyo.,bye bye drinks,neutral
1509,Yalnızca Daniel'in batıs dakikası olan Fransız yemek öreğe gidecek.,Bye bye French food,positive
1512,Eno ddala ekifo eky'ebbugumu bwe kituuka ku mmere.,Emmere,positive
1515,Satay kye kimu ku bifo ebisinga okunyumirwa ku Washington ng'obuweereza n'emmere bulijjo biri ku ssente.,Kolawole,positive
1517,Satay kye kimu ku bifo ebisinga okunyumirwa ku Washington ng'obuweereza n'emmere bulijjo biri ku ssente.,Emmere,positive
1519,"Gezaako ebinywa, ennyama y'ennyama ey'ennyama ey'",beef,positive
1522,"Gezaako ebinywa, ennyama y'ennyama ey'ennyama ey'",ribs,positive
1525,"Gezaako ebinywa, ennyama y'ennyama ey'ennyama ey'",kooko rice,positive
1527,Weegendereze ebyokulya ebiteekeddwaako omukono si okuggyako ng'oyagala okukubira ekitongole ekizikiza omuliro okuzikiza omuliro mu kamwa.,chili signed food items,negative
1529,"Ebyokulya bya OKAY byokka, era kumpi si bya mugaso kugenda okuggyako ng'ofunye pialla, nga kino kye kyokka ekiriisa ekirungi ddala.",kino,positive
1532,"Ebyokulya bya OKAY byokka, era kumpi si bya mugaso kugenda okuggyako ng'ofunye pialla, nga kino kye kyokka ekiriisa ekirungi ddala.",pialla,positive
1535,Abakozi ba mukwano nnyo.,abakozi,positive
1538,Bakola pizza esingayo obulungi mu New Jersey.,Pizza,positive
1541,"Ng'oggyeko okuba nti omuweereza yali mulungi era ng'alina empisa ennungi, era yayamba nnyo. ",omuweereza,positive
1544,Small restaurant with very fast service.,Kolawole,positive
1547,"Great burgers, grilled cheeses and french fries.",Cheeses,positive
1550,"Great burgers, grilled cheeses and french fries.",french fries bye bye,positive
1553,"Great burgers, grilled cheeses and french fries.",burgers,positive
1556,"Ebyokulya birungi nnyo, njagala nnyo ebyokulya byabwe ebya dumplings, sesame noodles, enkoko ne shrimp dishs.",Kooko,positive
1560,"Ebyokulya birungi nnyo, njagala nnyo ebyokulya byabwe ebya dumplings, sesame noodles, enkoko ne shrimp dishs.",Emmere,positive
1564,"Ebyokulya birungi nnyo, njagala nnyo ebyokulya byabwe ebya dumplings, sesame noodles, enkoko ne shrimp dishs.",sesame noodles,positive
1568,"Ebyokulya birungi nnyo, njagala nnyo ebyokulya byabwe ebya dumplings, sesame noodles, enkoko ne shrimp dishs.",bye bye dumplings,positive
1572,"Ebyokulya birungi nnyo, njagala nnyo ebyokulya byabwe ebya dumplings, sesame noodles, enkoko ne shrimp dishs.",bye bye shrimp dishs,positive
1576,"Best Chinese on the Upper East, prompt delivery, good value.",Muwendo,positive
1580,"Best Chinese on the Upper East, prompt delivery, good value.",okuwaayo,positive
1584,Nali sifunangako donut ya layisi n'olwekyo nagiwa amasasi.,Orange Donut,neutral
1586,Ekyo kyanneewuunyisa nnyo.,bye bye taste,positive
1589,"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices.",Space,negative
1593,"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices.",bye bye treats,positive
1597,"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices.",emiwendo,positive
1601,Naye aba bulijjo bakimanyi nti ebijanjaalo bye mmunyeenye entuufu wano.,sandwiches,positive
1604,"Okusobola okulya ssupu n'emmere ey'omuceere, gezaako ssupu ey'ebbugumu era ey'obuwoowo.",Suupu ewooya,positive
1608,"Okusobola okulya ssupu n'emmere ey'omuceere, gezaako ssupu ey'ebbugumu era ey'obuwoowo.",ssupu n'emmere ya sandwich,positive
1612,Gerçekten yeni ve yummy bileşenlerle yapılmış wheat crusted pizza yapılmış.,pizza wowo,positive
1614,Gerçekten yeni ve yummy bileşenlerle yapılmış wheat crusted pizza yapılmış.,madirisa,positive
1617,"Engeri gye bakozesaamu pizza ey'ebbugumu, naye ng'erimu ebirungo bingi.",Flavor,positive
1621,"Engeri gye bakozesaamu pizza ey'ebbugumu, naye ng'erimu ebirungo bingi.",Bye bye pizza,positive
1625,"Bw'oba oyagala emmere ey'abayindi ey'amaanyi era ng'oyagala embeera ennungi, kino kirungi nnyo.",ambiance,positive
1629,"Bw'oba oyagala emmere ey'abayindi ey'amaanyi era ng'oyagala embeera ennungi, kino kirungi nnyo.",Bye bye Indian Food,positive
1633,"Obuweereza tebukoma ku kubeera bwa maanyi kyokka, naye okukola emboozi okwetooloola emmeeza kyangu nnyo kubanga embeera esobola okuba ey'omukwano ate nga nnungi.",Kolawole,positive
1637,"Obuweereza tebukoma ku kubeera bwa maanyi kyokka, naye okukola emboozi okwetooloola emmeeza kyangu nnyo kubanga embeera esobola okuba ey'omukwano ate nga nnungi.",atmosfer,positive
1641,Candlelight ve müziği var.,Kino,neutral
1643,Candlelight ve müziği var.,candlelight,neutral
1645,Nanyumirwa nnyo emmere.,Emmere,positive
1648,The downstairs bar scene is very cool and chill...,downstairs bar scene,positive
1651,"Ebyokulya byali birungi ddala, naye byonna bwe byogeddwa ne bikolebwa, nali sisobola kubiwolereza ku bbeeyi (nga mw'otwalidde ebyokunywa 2, $100/omuntu)...",Bbeeyi,negative
1653,"Ebyokulya byali birungi ddala, naye byonna bwe byogeddwa ne bikolebwa, nali sisobola kubiwolereza ku bbeeyi (nga mw'otwalidde ebyokunywa 2, $100/omuntu)...",bye bye drinks,neutral
1655,"Ebyokulya byali birungi ddala, naye byonna bwe byogeddwa ne bikolebwa, nali sisobola kubiwolereza ku bbeeyi (nga mw'otwalidde ebyokunywa 2, $100/omuntu)...",Emmere,positive
1658,The BEST Chinese food Uptown!,Emmere y'Abachina,positive
1661,"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.",Emmere,positive
1665,"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.",emiwendo,positive
1669,"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.",Kolawole,positive
1673,"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.",okuwaayo,positive
1677,"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.",repast,positive
1681,"Obuwunga bwa sesame obunnyogovu, obw'obwereere bw'oba ogula doola 10 n'okusingawo, buwoowo.",sesame noodles,positive
1684,Saladi ya avocado y'engeri gy'okwatamu.,avocado salad,positive
1687,"Ate, omubisi gw'enjuki BBQ rib tips gwa yummy!",honey BBQ rib tips,positive
1690,Twagula ennyama y'endiga eyali efumbiddwa bulungi era ng'ewooma nnyo.,Omwana gw'endiga,positive
1693,Buli kintu okuva ku magi benedict okutuuka ku mussels ne hamburger byakolebwa bulungi ate nga biwooma nnyo.,mussels,positive
1696,Buli kintu okuva ku magi benedict okutuuka ku mussels ne hamburger byakolebwa bulungi ate nga biwooma nnyo.,egg benedict,positive
1699,Buli kintu okuva ku magi benedict okutuuka ku mussels ne hamburger byakolebwa bulungi ate nga biwooma nnyo.,hamburger,positive
1702,"Awatali kubuusabuusa si sushi esingayo obulungi mu New York, kyokka, buli kiseera ebeera mpya, era ekifo kiyonjo nnyo, tekirina siriimu.",Kifo,positive
1705,"Nneesiga abantu b'e Go Sushi, tekimalamu maanyi.",Abantu,positive
1708,"Straight-forward, no surprises, very decent Japanese food.",Emmere ya Japan,positive
1711,"Tontegeera bubi - sushi yali mulungi, naye si fantastic.",Sushi,positive
1714,ebintu ebirungi eby'enjawulo naye tewali kyewuunyisa.,buli,positive
1717,Harumi Sushi alina sushi ey'omulembe ate ng'esinga okuwooma mu NYC.,Bye bye sushi,positive
1720,"Nkubiriza nnyo si ku byokulya byayo eby'omulembe byokka, wabula n'eri bannannyini byo n'abakozi baayo ab'omukwano.",Cuisine,positive
1724,"Nkubiriza nnyo si ku byokulya byayo eby'omulembe byokka, wabula n'eri bannannyini byo n'abakozi baayo ab'omukwano.",abakozi,positive
1728,"Nkubiriza nnyo si ku byokulya byayo eby'omulembe byokka, wabula n'eri bannannyini byo n'abakozi baayo ab'omukwano.",Bannyinimu,positive
1732,Mukwano gwange omulala yalina okusaba emirundi 3 okufuna parmesan cheese.,parmesan cheese,neutral
1734,"Obuweereza buno bwa mangu ddala era bwa mukwano, era omugaso gwa maanyi.",Muwendo,positive
1738,"Obuweereza buno bwa mangu ddala era bwa mukwano, era omugaso gwa maanyi.",Kolawole,positive
1742,Nali ndya enjala ate ng'ebitundu ebitonotono bindeetera okucamuka!,GABA,negative
1745,Was her Monday for lunch - was working on a film in the area - and found this rare jewel.,Bye bye lunch,neutral
1747,"Ve bu küçük, wimpy fast food type burgerler değil - bu gerçek, tam büyüklükte patties.",burgers,positive
1751,"Ve bu küçük, wimpy fast food type burgerler değil - bu gerçek, tam büyüklükte patties.",patties,positive
1755,"Ku bbeeyi y'emmere gy'osasula wano, oyinza okugisuubira okuba ng'ekwatagana ne wooteeri endala eza Japan.",Emmere,negative
1757,"Ku bbeeyi y'emmere gy'osasula wano, oyinza okugisuubira okuba ng'ekwatagana ne wooteeri endala eza Japan.",Bbeeyi,negative
1759,Ekitundu ky'emmere kyali KITONO ate nga kya wansi w'omuwendo.,Ekitundu ky'emmere,negative
1762,Omuweereza yajja n'aggyayo soya nga tulya ekyemisana!!!!,Bye bye lunch,neutral
1764,Omuweereza yajja n'aggyayo soya nga tulya ekyemisana!!!!,soya sauce,neutral
1766,Omuweereza yajja n'aggyayo soya nga tulya ekyemisana!!!!,waitress,negative
1768,Ekifo ekirungi eky'okwesanyusaamu mu lunaku oluvannyuma lw'okugula oba okukwata ssupu oba emmere ey'ekika kya French ey'omulembe ku giraasi y'omwenge.,soup,neutral
1772,Ekifo ekirungi eky'okwesanyusaamu mu lunaku oluvannyuma lw'okugula oba okukwata ssupu oba emmere ey'ekika kya French ey'omulembe ku giraasi y'omwenge.,Kifo,positive
1776,Ekifo ekirungi eky'okwesanyusaamu mu lunaku oluvannyuma lw'okugula oba okukwata ssupu oba emmere ey'ekika kya French ey'omulembe ku giraasi y'omwenge.,giraasi ya wayini,neutral
1778,Ekifo ekirungi eky'okwesanyusaamu mu lunaku oluvannyuma lw'okugula oba okukwata ssupu oba emmere ey'ekika kya French ey'omulembe ku giraasi y'omwenge.,Bye bye French dish,neutral
1782,Emmere nnungi nnyo ate nga bbeeyi yaayo nnungi.,emiwendo,positive
1786,Emmere nnungi nnyo ate nga bbeeyi yaayo nnungi.,Emmere,positive
1790,"Ekifo kiyonjo, era bw'oba oyagala emmere ey'emmeeme, olwo kino kye kifo eky'okubeeramu!",Bye bye soul food,positive
1794,"Ekifo kiyonjo, era bw'oba oyagala emmere ey'emmeeme, olwo kino kye kifo eky'okubeeramu!",Kifo,positive
1798,"Abakozi bano ba mukwano nnyo era olumu bwe nnagisuula ebweru, nnakyusa n'omwenge gwange.",Abakozi,positive
1801,"Abakozi bano ba mukwano nnyo era olumu bwe nnagisuula ebweru, nnakyusa n'omwenge gwange.",Nywa omwenge,neutral
1803,Zikuguka mu smoothies n'omubisi omupya.,bye bye smoothies,positive
1805,Zikuguka mu smoothies n'omubisi omupya.,fresh juices,positive
1807,"Wadde nga smoothies nnene nnyo, omubisi omupya gwe gusingayo obulungi!",bye bye smoothies,negative
1811,"Wadde nga smoothies nnene nnyo, omubisi omupya gwe gusingayo obulungi!",fresh juices,positive
1815,Balina enkoko ennungi ennyo ng'erina avocado ne tuna ennungi.,chicken with avocado,positive
1819,Balina enkoko ennungi ennyo ng'erina avocado ne tuna ennungi.,tuna,positive
1823,Sandwiches ezisinga zikolebwa ne soy mayonaise nga mu butuufu nnungi nnyo.,sandwiches,positive
1826,Sandwiches ezisinga zikolebwa ne soy mayonaise nga mu butuufu nnungi nnyo.,bye bye mayonaise,positive
1828,"Tebaakomye ku kubeera na byewuunyisa byokka, sandwiches, ssupu, pizza n'ebirala, naye sorbets zaabwe ezaakolebwa awaka teziva mu nsi eno!",homemade sorbets,positive
1832,"Tebaakomye ku kubeera na byewuunyisa byokka, sandwiches, ssupu, pizza n'ebirala, naye sorbets zaabwe ezaakolebwa awaka teziva mu nsi eno!",soup,positive
1836,"Tebaakomye ku kubeera na byewuunyisa byokka, sandwiches, ssupu, pizza n'ebirala, naye sorbets zaabwe ezaakolebwa awaka teziva mu nsi eno!",sandwiches,positive
1840,"Tebaakomye ku kubeera na byewuunyisa byokka, sandwiches, ssupu, pizza n'ebirala, naye sorbets zaabwe ezaakolebwa awaka teziva mu nsi eno!",Pizza,positive
1844,Gezaako omubisi gwa Peanut Butter Sorbet ne pizza ne soya cheese!,pizza with soy cheese,positive
1847,Gezaako omubisi gwa Peanut Butter Sorbet ne pizza ne soya cheese!,Peanut Butter Sorbet,positive
1850,"The service is great (maybe even borderline nagging but at least you get attention), the desserts are excellent and the coffee is so very good...",desserts,positive
1854,"The service is great (maybe even borderline nagging but at least you get attention), the desserts are excellent and the coffee is so very good...",Kafeero,positive
1858,Ennyimba oluusi zinzitoowirira nnyo.,Kino,negative
1861,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",Meditereniyani,positive
1864,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",Falafel,positive
1867,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",buli,positive
1870,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",tabouleh,positive
1873,"Eyo wooteeri ebeera ya bulijjo nnyo, naye etuukira ddala ku ssaawa y'ekyemisana, era obuweereza bwabwe obw'okuweereza buli kiseera buba bwa sipiidi nnyo.",Bye bye lunch,neutral
1877,"Eyo wooteeri ebeera ya bulijjo nnyo, naye etuukira ddala ku ssaawa y'ekyemisana, era obuweereza bwabwe obw'okuweereza buli kiseera buba bwa sipiidi nnyo.",Bye bye delivery service,positive
1881,Ate era zirina ebika by'embaawo eby'enjawulo singa toli mu mbeera ey'obuwangwa bwa Mediterranean.,bye bye wraps,positive
1884,Ate era zirina ebika by'embaawo eby'enjawulo singa toli mu mbeera ey'obuwangwa bwa Mediterranean.,Traditional Mediterranean fare,neutral
1887,Parisi yatwala emyaka 100 okukola pizza (sirowooza nti baali tebannatuuka mwaka guno)... naye kyali kya magezi okulinda.,Pizza,positive
1890,Ssowaani nnungi nnyo (mupya nnyo) ne dabs za mozzarella omutuufu.,dabs of real mozzarella,neutral
1892,Ssowaani nnungi nnyo (mupya nnyo) ne dabs za mozzarella omutuufu.,ssubi,positive
1895,The bread is top notch as well.,Omugaati,positive
1898,Baweerezebwa ku mugaati gwa Focacchia era bagenda kufa.,Amuweereze,neutral
1900,Baweerezebwa ku mugaati gwa Focacchia era bagenda kufa.,Omugaati gwa Focacchia,neutral
1903,Ayrıca Onion Ringleri al.,Kooko Rings,positive
1906,"Embeera ennungi, etuukira ddala ku byokunywa ne/oba ebyokulya.",appetizers,neutral
1910,"Embeera ennungi, etuukira ddala ku byokunywa ne/oba ebyokulya.",atmosfer,positive
1914,"Embeera ennungi, etuukira ddala ku byokunywa ne/oba ebyokulya.",bye bye drinks,neutral
1918,Ebyokulya biyitibwa Asian fusion - tebituukiriza ssente.,bisa,negative
1920,Ebyokulya biyitibwa Asian fusion - tebituukiriza ssente.,Asian fusion,neutral
1922,Ebyokulya biyitibwa Asian fusion - tebituukiriza ssente.,Cuisine,negative
1924,Ebyokulya biyitibwa Asian fusion - tebituukiriza ssente.,Bila,negative
1926,"Abaweereza baali bakugu nnyo, nga ba mpisa era nga bafaayo.",abalinda,positive
1929,"Mbadde ku kimu e Brooklyn okumala emyaka egisoba mu 25, kati sirina kugenda ku mulamwa okufuna pizza esingayo obulungi.... Hanx",Pizza,positive
1932,Mmanyi emmere y'Abayindi entuufu era kino si kye kyali.,Emmere y'Abayindi,negative
1934,"Nkubiriza abantu okulya ennyama y'embizzi, enkoko/ennyama y'ennyama y'",yakisoba pork dumplings,positive
1937,"Nkubiriza abantu okulya ennyama y'embizzi, enkoko/ennyama y'ennyama y'",Fried Rice,positive
1940,"Nkubiriza abantu okulya ennyama y'embizzi, enkoko/ennyama y'ennyama y'",orange chicken/beef,positive
1943,Kakasa nti otambulira wamu n'emmere yo n'emu ku juyisi zaabwe.,Emmere,neutral
1945,Kakasa nti otambulira wamu n'emmere yo n'emu ku juyisi zaabwe.,fresh juice concoctions,positive
1948,"Evet, normalde biraz daha ucuz, fakat yine de yiyecekleri de öyle.",Emmere,positive
1951,Büyük marnier shrimp'i öneriyodum.,grand marnier shrimp,positive
1954,"Glechik ayinza okuba nga mutono nnyo okusobola okufuna wooteeri okusinziira ku mitindo gya Russia, naye ebeera nnungi era emmere ya GREAT.",Emmere,positive
1957,"Olina okugezaako Odessa stew oba Rabbit stew; salads-all good; era kompot ezzaamu nnyo amaanyi mu lunaku lw'ebbugumu ery'omusana (bakikola nga maama bw'akola, kinzijukiza nnyo awaka).",saladi,positive
1961,"Olina okugezaako Odessa stew oba Rabbit stew; salads-all good; era kompot ezzaamu nnyo amaanyi mu lunaku lw'ebbugumu ery'omusana (bakikola nga maama bw'akola, kinzijukiza nnyo awaka).",kopo,positive
1965,"Olina okugezaako Odessa stew oba Rabbit stew; salads-all good; era kompot ezzaamu nnyo amaanyi mu lunaku lw'ebbugumu ery'omusana (bakikola nga maama bw'akola, kinzijukiza nnyo awaka).",Rabbit stew,positive
1969,"Olina okugezaako Odessa stew oba Rabbit stew; salads-all good; era kompot ezzaamu nnyo amaanyi mu lunaku lw'ebbugumu ery'omusana (bakikola nga maama bw'akola, kinzijukiza nnyo awaka).",Odessa stew,positive
1973,"N'olwekyo, bw'oba olya ekijjulo ekirungi era eky'obulamu, kikole.",Alya,positive
1976,Simple healthy unglamorous food cheap.,Emmere,positive
1979,"Ssupu y'ennyaanya gye twalya ng'eky'okulya, yawooma nnyo.",ssupu wa chickpea,negative
1982,"Ssupu y'ennyaanya gye twalya ng'eky'okulya, yawooma nnyo.",tandika,neutral
1985,Enkoko n'ebipande bya falafel tebyali bikwatagana bulungi na saladi.,falafel platters,neutral
1988,Enkoko n'ebipande bya falafel tebyali bikwatagana bulungi na saladi.,saladi,neutral
1991,Falafal mu kifo ky'ekyo yali afumbiddwa nnyo era ng'awunya naye enkoko yali nnungi.,Kooko,positive
1995,Falafal mu kifo ky'ekyo yali afumbiddwa nnyo era ng'awunya naye enkoko yali nnungi.,falafal,negative
1999,Ekisinga okusikiriza ekifo kino ye bbeeyi.,Bbeeyi,positive
2002,"Oluvannyuma kkiriza okuyingira mu dduuka 5 omulundi gumu, okugula ebitundu eby'ebbeeyi okuva mu bakozi abanyiikivu.",ssweeta,negative
2006,"Oluvannyuma kkiriza okuyingira mu dduuka 5 omulundi gumu, okugula ebitundu eby'ebbeeyi okuva mu bakozi abanyiikivu.",abakozi,negative
2010,"Ekivaamu (red velvet): Ekirungo ekirungi, ekigonvu era ekya velvet, ekirungi ekya cocoa.",bye bye cocoa,positive
2014,"Ekivaamu (red velvet): Ekirungo ekirungi, ekigonvu era ekya velvet, ekirungi ekya cocoa.",texture,positive
2018,"the icing MADE this cake, it was fluffy, not ultra sweet, creamy and light.",keeki,positive
2021,"Keeki ennungi BUT: teyali keeki esingayo obulungi gye nnali nfunye, era tewali kubuusabuusa nti tekyali kya mugaso kuyimirira wabweru ku mabbali g'oluguudo okusimbibwa ng'ente abakozi abatafaayo era abakola ennyo.",employees,negative
2023,"Keeki ennungi BUT: teyali keeki esingayo obulungi gye nnali nfunye, era tewali kubuusabuusa nti tekyali kya mugaso kuyimirira wabweru ku mabbali g'oluguudo okusimbibwa ng'ente abakozi abatafaayo era abakola ennyo.",keeki,negative
