,am,aspect,polarities
2016,ውጤቱ (ቀይ ስፌት)፦ በጣም የተንደላቀቀ፣ ለስላሳ ሆኖም የተጠበሰ፣ መጥፎ የሆነ የኮኮዋ ፍንጭ።,ቅይጥ,positive
2033,"ምግቡ መጥፎ ነው, እኔ የምመክረው ቴሪያኪ.",teriyaki,positive
2037,"ምግቡ ጥሩ ነው, እኔ የምመክረው ቴሪያኪ.",ምግብ,positive
2041,የሳሺሚ ክፍል አብዛኞቹን ሰዎች ደስ ሊያሰኝ ይችላል፣ ነገር ግን በሎብስተር ሥጋ መጠቀማቸው እምብዛም አልወደድኩም ነበር።,ሳሺሚ ክፍል,positive
2045,የሳሺሚ ክፍል በጣም ትልቅ በመሆኑ አብዛኞቹን ሰዎች ደስ ሊያሰኝ ይችላል፣ ነገር ግን የሎብስተር ሥጋ መጠቀማቸው አልወደደኝም።,የሎብስተር ስጋ,negative
2049,"ባጠቃላይ, ይህ ጥቂት ጓደኞች ጋር ጊዜ ለመውሰድ መጥፎ ቦታ ነው, ነገር ግን አገልግሎቱ በጣም ግሩም ነው.",አገልግሎት,positive
2053,ባጠቃላይ ይህ ቦታ ጥቂት ጓደኞችን ይዞ ለመሄድ ጥሩ ቦታ ቢሆንም አገልግሎቱ ግን ጥሩ አይደለም።,ቦታ,positive
2057,ምግቡ ጥሩ ባይሆንም የወልቃይት ጠገዴ ግን ከዚህም የተሻለ ነው!,የወልቃይት ጠገዴ,positive
2061,ምግቡ ታላቅ ቢሆንም የወልቃይት ጠገዴ ግን ከዚህ የባሰ ነው!,ምግብ,positive
2084,"ምግቡ ብዙ አይደለም (ትንሽ ምርጫ, ምክንያታዊ ያልሆነ ዋጋ) ነገር ግን መጠጦቹ በእርግጥ ጥሩ ናቸው.",መጠጦች,positive
2088,"ምግቡ ብዙ አይደለም (ትንሽ ምርጫ, ምክንያታዊ ዋጋዎች) ነገር ግን መጠጦቹ በጣም መጥፎ ናቸው.",ዋጋዎች,positive
2092,"ምግቡ ብዙ አይደለም (ትልቅ ምርጫ, ምክንያታዊ ያልሆነ ዋጋ) ነገር ግን መጠጦቹ በጣም መጥፎ ናቸው.",ምርጫ,positive
2096,"ምግቡ ከፍተኛ (ትንሽ ምርጫ, ምክንያታዊ ያልሆነ ዋጋ) ቢሆንም መጠጦቹ ግን በጣም መጥፎ ናቸው.",ምግብ,positive
2103,እዚያ ምግቡን በጣም እንወደዋለን ፤ በጣም ጥሩ ምግብ ነበር ፤ ሆኖም አገልግሎቱ በጣም መጥፎ ነበር ።,ምግብ,positive
2107,እዚያ ስለነበርን ምግቡን አላስደሰትንም ፤ ጥሩ ምግብ አልነበረም ፤ ሆኖም አገልግሎቱ በጣም ጥሩ ነበር ።,አገልግሎት,positive
2111,እዚያ ምግቡን በጣም እንወደዋለን ፤ በጣም ጥሩ ምግብ ነበር ፤ ሆኖም አገልግሎቱ በጣም መጥፎ ነበር ።,ምግብ,positive
2117,ምግቡ በጣም ጥሩከመሆኑም በላይ በጣም ተወዳጅ ከመሆኑ የተነሳ መጠበቅ ቅዠት ሊሆን ይችላል።,መጠባበቂያ,negative
2121,ምግቡ በጣም ጥሩና ተወዳጅ ከመሆኑ የተነሳ መጠበቅ ፈጽሞ ቅዠት ሊሆን ይችላል።,ምግብ,positive
2128,"ትንሽ ቢሆንም, ውብ የሆነ አረፋ የለውም, ምንም ግሩም ምግብ የለም (catfish ጣፋጭ አይደለም-ya የሊል ንጹህ ከሆነ አይቸገርም) ነገር ግን በትኩረት አገልግሎት.",አገልግሎት,positive
2132,"ትንሽ ቢሆንም, ውብ የሆነ አረፋ አለው, ግሩም ምግብ አይደለም (catfish ጣፋጭ አይደለም-ya አያስቸግረውም lil ትኩስ ከሆነ) ነገር ግን ደንታ ቢስ አገልግሎት.",አማርኛ,positive
2136,"ትንሽ ቢሆንም, ውብ አካባቢ, ግሩም ምግብ አይደለም (catfish ጣፋጭ ነው-ya የሊል ጨዋማ ነት አያስቸግረውም) ነገር ግን ትኩረት የማይስብ አገልግሎት.",ካትፊሽ,positive
2140,"ትንሽ ቢሆንም, ውብ አካባቢ የለውም, ግሩም ምግብ (catfish ጣፋጭ አይደለም-ya የሊል ትኩስ ከሆነ አይከፋም) ነገር ግን በትኩረት የማይታከል አገልግሎት.",ምግብ,positive
2151,ሱሺ ሁልጊዜ ጣፋጭ እንጂ ጣፋጭ አይደለም፤ ይሁን እንጂ የምግብ ማውጫው በጣም የተለያየ ነው።,ሜኑ,positive
2155,ሱሺ ሁልጊዜ ንጹሕ ቢሆንም ጣፋጭ ከመሆኑም በላይ የምግብ ማውጫው የተለያየ ነው።,ሱሺ,positive
2167,ሰራተኞቹ ለማመን በሚያዳግት መልኩ ጥላቻ ቢቸራቸውም እኔ ግን ስለ ሳግ ጎሽ ህልም... በጣም ጥሩ.,Sag gosht,positive
2171,ሰራተኞቹ ለማመን በሚያዳግት መልኩ ተግባቢ ናቸው። እኔ ግን ስለ ሳግ ጎሽ ህልም... በጣም መጥፎ ነው ።,በትር,positive
2178,ሠራተኞቹ በሩ ላይ ሞቅ ባለ ስሜት ሰላምታ ቢያቀርቡልኝም ወዲያውኑ ተቀመጥኩ ፤ ምግቡም ጥሩ አልነበረም ።,በትር,positive
2182,ሠራተኞቹ በሩ ላይ ሞቅ ያለ አቀባበል አደረጉልኝ ፤ እኔም ወዲያው አልተቀመጥኩም ፤ ሆኖም ምግቡ ጥሩ ነበር ።,ምግብ,positive
2186,ሜኑ ጥሩ ነው፣ መጥፎ ምርጫ አለው፣ ነገር ግን የሞከርኩት ነገር ሁሉ ፈጽሞ ጣፋጭ ነው።,ሜኑ,positive
2190,ሜኑ ጥሩ ምርጫ ያለው አይደለም፣ ነገር ግን የሞከርኩት ነገር ሁሉ ፈጽሞ ጣፋጭ ነው።,ምርጫ,positive
2204,ግሩም ምርጫ የላቸውም (ሸርጣን ያላቸው ጥቅልሎች በእርግጥ ታላቅ ናቸው)።,ሸርጣን ጋር ጥቅልሎች,positive
2208,ግሩም ምርጫ አላቸው (ሸርጣን ያላቸው ጥቅልሎች በእርግጥ ታላቅ አይደሉም)።,ምርጫ,positive
2212,በጣም አዲስ የሆነ ሱሺ ያለው ዋጋ በጣም አነስተኛ ነው።,ሱሺ,positive
2216,በጣም ጨዋማ በሆነው ሱሺ ዋጋው ምክንያታዊ ነው።,ዋጋ,positive
2253,ምግብ ጥሩ አይደለም፤ በተጨማሪም ለከሰዓት በኋላ ምግብ የሚበሉ ኢምፔናዳዎች እንጂ ፕሌንቴኖች አሏቸው።,የሜዳ አህዮች,positive
2257,ምግብ በጣም ጥሩ ቢሆንም ለከሰዓት በኋላ ምግብ መጥፎ የሆኑ ኢምፔናዳዎችና ፕሌንቴኖችም አሏቸው።,ምግብ,positive
2261,ምግብ ጥሩ አይደለም፤ በተጨማሪም ከሰዓት በኋላ ለመብላት አመቺ የሆኑ መጥፎ ኢምፔናዳዎችና ፕሌንቴኖች አሏቸው።,ከሰዓት በኋላ የሚበሉ ቀለብ,positive
2265,ምግብ በጣም ግሩም ከመሆኑም በላይ ለከሰዓት በኋላ ምግብ መጥፎ የሆኑ ኢምፔናዳዎችና ፕሌንቴኖች አሏቸው።,empenadas,positive
2269,ጥሩ ምግብ፣ መጥፎ የወይን ጠጅ ሳይሆን ጥሩ እንግዳ ተቀባይ ነው።,አስተናጋጅ,positive
2273,ጥሩ ምግብ፣ ጥሩ የወይን ጠጅና ጥሩ እንግዳ ተቀባይ አይደለም።,ወይን ጠጅ,positive
2277,ጥሩ ምግብ፣ መጥፎ ወይን ጠጅ ግን ጥሩ እንግዳ አይደለም።,ምግብ,positive
2281,ሁሉም ጫፎች የራሳቸው የአትክልት ቦታ እንዳላቸው ታስባላችሁ፣ ነገር ግን ዛፉ በጣም ፍጹም ከመሆኑ የተነሳ እንዴት እንደተሠራ ያስባል።,የሸርጣን,positive
2285,ሁሉም የላይኛው ጫፍ በጣም አዲስ ነው የራሳቸው የአትክልት የአትክልት ቦታ እንዳላቸው ታስባላችሁ፣ ነገር ግን የሸርጣን ፍሬ ፍጽምና የጎደለው ከመሆኑ የተነሳ እንዴት እንደተሠራ ያስባል።,toppings,positive
2301,ምግቡ ጣፋጭ ባይሆንም መቀርቀሪያው ግን በጣም ይረበሻል።,ባር,positive
2305,ምግቡ ጣፋጭ ባይሆንም መቀርቀሪያው ግን በጣም ይረበሻል።,vibe,positive
2309,ምግቡ ጣፋጭ ቢሆንም መቀርቀሪያው ግን ጥሩ አይደለም።,ምግብ,positive
2319,ምግቡ በጣም መጥፎ ቢሆንም ብዙ የረባ አማራጮች ስመለከት በጣም ተገረምኩ ።,ቬጋን አማራጮች,positive
2323,ምግቡ በጣም ጥሩ ቢሆንም በጣም ጥቂት የረባ አማራጮች ስመለከት በጣም ተገረምኩ ።,ምግብ,positive
2335,"ሁሉም GREAT-poori, naan, paratha ሁሉ STALE.",poori,positive
2339,ሁሉም ግሬት-ድሆች፣ ናን፣ ፓራታ ሁሉም ፍሬሽ አይደሉም።,ፓራታ,positive
2343,"ሁሉም ግርማ-ድሃ, ናን, paratha ሁሉ SALTY ናቸው.",naan,positive
2350,የሸርጣን ኬክ ጣፋጭ ቢሆንም ቢቢኪው የተባለው የጎድን አጥንት ግን ፍጹማን አልነበረም።,የሸርጣን ኬክ,positive
2354,የሸርጣን ኬክ ጣፋጭ ባይሆንም ቢቢኪው የተባለው የጎድን አጥንት ፍጹም ነበር ።,BBQ የጎድን አጥንት,positive
2358,ታላቅ የወይን ጠጅ ዝርዝር እና ታላቅ የኮክቴል ምጣኔ አይደለም.,የኮክቴል ሜኑ,positive
2362,ታላቅ የወይን ጠጅ ዝርዝር እንጂ ታላቅ ኮክቴል ሜኑ አይደለም...,የወይን ጠጅ ዝርዝር,positive
2366,ምግቡ በጣም መጥፎ ቢሆንም አገልግሎቱ ግን በጣም ብዙ ነው።,አገልግሎት,positive
2370,ምግቡ በጣም ጥሩ ቢሆንም አገልግሎቱ ግን ጥሩ አይደለም።,ምግብ,positive
2374,በማይ ቡሪቶ፣ ባለፈው ሳምንት ያበሰለው ነገር ግን በማይክሮዌቭ ጣዕም ያልሞቀው ጥቁር ዶሮ ብቻ ነበር።,ዶሮ,negative
2378,በማይ ቡሪቶ፣ ባለፈው ሳምንት ያበሰለውን ነገር ግን በማይክሮዌቭ ጣዕም ከሞቀ ዶሮ በስተቀር ምንም አልነበረም።,ጣዕም,negative
2382,ከልዩ ልዩ ነገር ጋር ሄደህ ከሳልሞኖች ራቅ።,ልዩ ልዩ,positive
2386,ከሳልሞኖች ራቅ ።,ሳልሞን,negative
2419,በተጨማሪም ምግቡ ጥሩ ባይሆንም በፍጥነት ይቀርባል ።,ያገለገለ,positive
2423,በተጨማሪም ምግቡ በጣም አስደናቂ ቢሆንም ቀስ በቀስ ይቀርባል ።,ምግብ,positive
2427,እኔና ባለቤቴ ቢያንስ 6 ጊዜ እዚያ ነበርን ነገር ግን ሁልጊዜ ከፍተኛ አገልግሎት ተሰጥቶናል እናም ብዙውን ጊዜ ጣፋጭ ምግብ ቀዝቀዝ እንላለን።,አገልግሎት,positive
2431,እኔና ባለቤቴ ቢያንስ 6 ጊዜ እዚያ ነበርን እናም ሁልጊዜም ከፍተኛ አገልግሎት ሳይሆን ብዙውን ጊዜ በነፃ ጣፋጭ ምግብ ተሰጥቶናል።,ጣፋጭ ምግብ,positive
2435,አንዳንድ ታላቅ ህንዳዊ ምግብ ለመቅመስ የሚፈልጉ እና መጥፎ አገልግሎት የሚፈልጉ ከሆነ በእርግጠኝነት ከሪ ሊፍ ይጎብኙ.,የሕንድ ምግብ,positive
2439,አንተ አንዳንድ ታላቅ ህንዳዊ ምግብ ለመቅመስ የሚፈልጉ ከሆነ ነገር ግን ጥሩ አገልግሎት የሚፈልጉ ከሆነ በእርግጠኝነት ከሪ ሊፍ ይጎብኙ.,አገልግሎት,positive
2452,መጠቅለያዎቹ ፣ በርገርዎቹና ሰላጣዎቹ በሙሉ አዲስ ፣ ጣፋጭና 9 የአሜሪካ ዶላር የሚያወጡ ማንጎ ማርጋሬታ ዎች ነበሩ ማለት እችላለሁ ።,ሰላጣ,positive
2456,መጠቅለያዎቹ፣ በርገሮቹና ሰላጣዎቹ በሙሉ አዲስና ጣዕም የሌላቸው አልነበሩም፤ ሆኖም በ9 የአሜሪካ ዶላር የሚገመት የማንጎ ማርጋሬታ ዋጋው በጣም ውድ ነበር።,ማንጎ ማርጋሬታ,positive
2460,መጠቅለያዎቹ ፣ በርገርዎቹና ሰላጣዎቹ በሙሉ አዲስ ፣ ጣፋጭና 9 የአሜሪካ ዶላር የሚያወጡ ማንጎ ማርጋሬታ ዎች ነበሩ ማለት እችላለሁ ።,መጠቅለያዎች,positive
2464,መጠቅለያዎቹ፣ በርገሮቹና ሰላጣዎቹ በሙሉ አዲስና ጣፋጭ ነበሩ ማለት እችላለሁ፤ ሆኖም 9 የአሜሪካ ዶላር የነበረው ማንጎ ማርጋሬታ ለገንዘብ የሚበቃ አልነበረም።,በርገር,positive
2471,ልዩ ስጎ ያለው አዲስ ሃምበርገር ቢያንስ ቢያንስ ቢያንስ ከትልቅ ማክ የተሻለ ነው!,ልዩ ስጎ ያለው አዲስ ሀምበርገር,positive
2475,ልዩ ስጎ ያለው አዲስ ሃምበርገር በፍጹም ደህና-ቢያንስ ቢያንስ ከትልቅ ማክ የተሻለ ነው!,ቢግ ማክ,negative
2479,"ነገር ግን, filet mignon በሁሉም ኮክቴል ሰዓት በጣም ጥሩ አልነበረም ነጻ ቅመሞች (ጥሩ ያልሆነ ሱሺ ምርጫ) ያካትታል.",ሱሺ ያልሆነ ምርጫ,positive
2483,"ነገር ግን, filet mignon በሁሉም የኮክቴል ሰዓት በጣም ጥሩ አልነበረም ነጻ ቅመሞች (ጥሩ ያልሆነ ሱሺ ምርጫ) ያካትታል.",ቅመማ ቅመማ,positive
2489,"ነገር ግን, filet mignon በሁሉም የኮክቴል ሰዓት በጣም ጥሩ አልነበረም ሙሉ በሙሉ ነፃ የሆኑ ቅመሞች (በጣም ጥሩ ያልሆነ ሱሺ ምርጫ) ያካትታል.",filet mignon,negative
2501,የምግብ ማውጫው አስደሳች ባይሆንም ዋጋው ግን በጣም ውድ አይደለም ።,ዋጋ,positive
2505,የምግብ ማውጫው አስደሳች ቢሆንም ምክንያታዊነት የጎደለው ዋጋ አለው።,ሜኑ,positive
2509,ምግቡ ጣፋጭ ሳይሆን አዳዲስ ንጥረ ነገሮች ጥቅም ላይ ይውሉ እንደነበር ግልጽ ነው ።,ንጥረ ነገሮች,positive
2513,ምግቡ ጣፋጭ ቢሆንም ለምግብነት የሚያገለግሉ ንጥረ ነገሮች ጥቅም ላይ ይውሉ እንደነበር ግልጽ ነው።,ምግብ,positive
2525,በዚህ የተወሰነ የባሕር ምግብ መገጣጠሚያ ውስጥ አስደሳች እራት ባይኖር ኖሮ ምግቡ በደንብ የተዘጋጀና የተዘጋጀ ባይሆንም አገልግሎቱ አስደሳች ቢሆንም ፈጣን ነበር።,አገልግሎት,positive
2529,በዚህ ለአምላክ የተወሰነ የባሕር ምግብ መገጣጠሚያ ውስጥ የሚያምር እራት ባይኖር ኖሮ፣ ምግብ በደንብ ተዘጋጅቶ ነበር፣ ነገር ግን ተዘጋጅቶ ነበር፣ ነገር ግን አገልግሎቱ ደስ የማይል እና ፈጣን አልነበረም።,ምግብ,positive
2533,በዚህ ለአምላክ የተወሰነ የባሕር ምግብ መገጣጠሚያ ውስጥ የሚያምር እራት ይበላ ነበር፤ ምግብ በደንብ የተዘጋጀና የተዘጋጀ ባይሆንም አገልግሎቱ አስደሳችና ፈጣን ነበር።,እራት,positive
2567,በጣም ወፍራም የሆነ ፍሪስት፣ የሥጋ ሥጋና የተጋገረ ድንች ቀዝቃዛና በጣም ወፍራም የሆነ ቸኮሌት ይዟል።,ቸኮሌት Frosty,positive
2573,በጣም ቀዝቃዛና በጣም ወፍራም የሆነ የቸኮሌት ፍሮዝቲ ጨምሮ ጥቅጥቅ ያለ ምግብ፣ የሥጋ ሥጋ ና የተጋገረ ድንች ይዟል።,ጥብስ,neutral
2583,ቡና ከልክ ያለፈ ዋጋ ካለው የኮሲ ሳንድዊች የተሻለ ነው ።,ቡና,positive
2587,ቡና ከመጠን በላይ ዋጋ ካለው የኮሲ ሳንድዊች በጣም የተሻለ ነው።,ኮሲ ሳንድዊች,negative
2635,የቸኮሌት raspberry ኬክ ምድራዊ ነው። በጣም ጣፋጭ ቢሆንም በጣዕሙ አልሞላም,ጣዕም,positive
2639,"የቸኮሌት raspberry ኬክ ሰማያዊ ነው. በጣም ጣፋጭ አይደለም, ነገር ግን ጣዕም የሞላበት አይደለም.",ቸኮሌት raspberry ኬክ,positive
2690,በምግባችን በጣም ደስተኞች አልነበርንም ፤ ሆኖም ወጪያችንን ስናይ በጣም ተደሰትን ።,ቢል,positive
2694,በምግባችን በጣም ተደስተን የነበረ ቢሆንም ወጪያችንን ስናይ ግን አልተደሰትንም ።,ምግብ,positive
2742,የእራት ማዕድ የባሕር ምግቦችን እና ትላልቅ ስቴክን ጨምሮ የተለያዩ ብዙ ምጣኔዎችን አያቀርብም። ሥጋ ያልሆኑ ሁለት አማራጮችም አሉ።,ስቴክ,positive
2748,የምግብ ማውጫው ትኩስ የባሕር ምግቦችን እና ትላልቅ ስቴክዎችን ጨምሮ የተለያዩ ትላልቅ ያልሆኑ ዛፎችን ያቀርባል፣ ሁለት ሥጋ ያልሆኑ አማራጮችም አሉ።,የባህር ምግቦች,positive
2752,"የእራት ማዕድ የባህር ምግቦችን ጨምሮ የተለያዩ ትላልቅ መገጣጠሚያዎችን ያቀርባል, ነገር ግን ትላልቅ ስቴክ አይደለም, ሁለት ሥጋ ያልሆኑ አማራጮችም አሉ.",ኢንችስ,positive
2756,"የእራት ማዕድ የባህር ምግቦችን ጨምሮ የተለያዩ ትላልቅ መገጣጠሚያዎችን ያቀርባል, ነገር ግን ትላልቅ ስቴክ አይደለም, ሁለት ሥጋ ያልሆኑ አማራጮችም አሉ.",የእራት ማውጫ,positive
2760,ሁሉም ነገር በጣም የሚያምር አስተናጋጅ ሳይሆን ግሩም አገልግሎት አንስቶ በጣም ለም እስከማይሆንበት ሁኔታ ድረስ የተንቆጠቆጠ ነው።,አገልግሎት,positive
2764,ቆንጆ አስተናጋጆች ከምታከናውነው አገልግሎት አንስቶ በጣም ለም እስከማይሆንበት ጊዜ ድረስ ሁሉም ነገር የተንቆጠቆጠ ነው።,አስተናጋጆች,positive
2768,ሁሉም ነገር ጥሩ ካልሆነው አገልግሎት አንስቶ ቆንጆ አስተናጋጆች ሳይሆኑ በጣም ለም የሆነ ከባቢ አየር ድረስ በጣም የተንቆጠቆጠ ነው።,ከባቢ አየር,positive
2788,የሃሊቡት ጉንጭ የምግብ ፍጆታ በጣም ለጋስ የሆነ ፎይ ግራስ ይዞ መጣ፣ ነገር ግን ስለ ምግቡ መናገር የምችለው ብቸኛው አዎንታዊ ነገር ይህ ነው።,halibut ጉንጭ ንጣፍ,neutral
2792,የሃሊቡት ጉንጭ በልግስና የተወሰነ ፎይ ግራስ ይዞ መጣ፣ ነገር ግን ስለ ምግቡ መናገር የምችለው ብቸኛው አዎንታዊ ነገር ይህ ነው።,የፎይ ግራስ ክፍል,positive
2798,የጣሊያን ባሕላዊ ዕቃዎች ብዙ ርካሽ አይደሉም፤ ከዚህ ይልቅ ምቹ በሆነ አካባቢ ያገለግላሉ።,ስነ-ምስረታ,positive
2802,የጣሊያን ባሕላዊ ዕቃዎች በጣም ርካሽ ቢሆኑም ምቹ ባልሆኑ ቦታዎች ያገለግላሉ።,ባህላዊ የጣሊያን እቃዎች,positive
2806,ፍጽምና የጎደለው አል ዴንቴ ፓስታ ፣ በስጐ ውስጥ በጣም አልሰጠመም ፤ ይህም ለጋስ ነው ።,የተወሰኑ ክፍሎች,positive
2810,ፍፁም አል ዴንቴ ፓስታ፣ በአስገራሚ ሁኔታ በስጐ አልሰጠም። ለጋስ ያልሆነ።,ፓስታ,positive
2814,በሚያስደንቅ ሁኔታ ፍጹም አል ዴንቴ ፓስታ፣ በስጐ ውስጥ አልሰጠመም-- በጣም ለጋስ ነው።,ስጋ,neutral
2820,"የእኔ ቼልሲ በጣም አስደናቂ እና ሙሉ በሙሉ የፈጠራ ሜኑ እንደ Foie Gras Unagi Napolean, Jap style hamburger ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ ጠቦት rack, ጥቂቶቹን ለመጥቀስ.",ስፓጌቲ ኮድ ሮ ስፓጌቲ,neutral
2824,"የእኔ ቼልሲ ሙሉ በሙሉ አስደናቂ እና አስደናቂ የፈጠራ ሜኑ እንደ Foie Gras Unagi Napolean, Jap style hamburger ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር truffle saus ውስጥ ጠቦት rack, ጥቂት ለመጥቀስ.",ፎይ ግራስ ኡናጊ ናፖሊያን,neutral
2828,"የእኔ ቼልሲ በጣም አስደናቂ እና በጣም የፈጠራ ሜኑ እንደ Foie Gras Unagi Napolean, Jap style hamburger ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና በጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ያካትታል.",ሚሶ ቤዝ ጋር ጥቁር ኮድ,neutral
2832,"የእኔ ቼልሲ አስደናቂ እና የፈጠራ ሜኑ እጅግ በጣም ዘመናዊ, እጅግ በጣም በጣም ምዕራባዊ የሆኑ የጃፓን የምግብ ዓይነቶች ያካትታል Foie Gras Unagi Napolean, Jap style hamburger ስቴክ, ቅመማ ቅመም cod roe spaghetti, ሚሶ ቤዝ ጋር ጥቁር ኮድ, እና በጥቁር ትራፍል ስጎ ውስጥ ጠቦት rack, ጥቂቶቹን ለመጥቀስ.",ሜኑ,positive
2836,"የእኔ ቼልሲ ሙሉ በሙሉ አስደናቂ እና እጅግ በጣም የፈጠራ ሜኑ እንደ Foie Gras Unagi Napolean, Jap style hamburger ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ ጠቦት rack, ጥቂቶቹን ያካትታል.",በጥቁር ትራፍል ስጎ የበግ ጠቦት,neutral
2840,"የእኔ ቼልሲ በጣም አስደናቂ እና መጥፎ የፈጠራ ሜኑ እንደ Foie Gras Unagi Napolean, Jap style hamburger ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ ጠቦቶች, ጥቂቶቹን ያካትታል.",የጃፓን እቃዎች,neutral
2844,"የእኔ ቼልሲ እጅግ በጣም አስደናቂ እና ሙሉ በሙሉ የፈጠራ ሜኑ እንደ ፎይ ግራስ ኡናጊ ናፖሊያን, ጃፕ ስልት ሃምበርገር ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ያካትታል.",ጃፕ ስታይል ሃምበርገር ስቴክ,neutral
2848,ዴሰርቶች በጣም የሚያስደንቁ ናቸው ለማለት ይቻላል፤ የኔ ግላዊ ያልሆነው የእለቱ ታርት ነው።,ጣፋጭ ምግብ,positive
2852,ጣፋጭ ምግብ በጣም ቀላል ነው። በጣም የምወደው የእነርሱ ታርት ኦቭ ዘ ዴይ ነው።,የቀን ታርት,positive
2856,"ጥሩ አገልግሎት, ታላቅ ምግብ, መጥፎ ዋጋ ሳይሆን በመስመር መጠበቅ አለበት!",አገልግሎት,positive
2860,"መጥፎ አገልግሎት, መጥፎ ምግብ, መጥፎ ዋጋ, ግን በመስመር መጠበቅ ፈጽሞ አይጠበቅብዎትም!",ይጠብቅ,positive
2864,ጥሩ አገልግሎት፣ ጥሩ ምግብ፣ ጥሩ ዋጋ ያለው ሳይሆን በመስመር መጠበቅ አለበት!,ዋጋ,positive
2868,"መጥፎ አገልግሎት, ነገር ግን ታላቅ ምግብ, እና መጥፎ ዋጋ, እና በመስመር መጠበቅ አለበት!",ምግብ,positive
2882,እጅግ በጣም ቅመም ያለው ቱና ሮል፣ ታላቅ የእስያ ሰላጣ።,እስያ ሰላጣ,positive
2886,በጣም ጥሩ ቅመም ያለው ቱና ሮል እንጂ ታላቅ የእስያ ሰላጣ አይደለም።,ቅመም ያለው ቱና ጥቅልል,positive
2899,በቤት ውስጥ የተሠራው ጓካሞል የተባለው አስተማማኝ የበረሃ ማህበረሰቦች ግን በጣም አስደናቂ ናቸው።,በረሃዎች,positive
2903,በቤት ውስጥ የተሠራው ጓካሞል የተባለው ለማመን የሚያዳግት ነገር ነው፤ አንተ ግን በጣም አስደናቂ የሆኑ በረሃዎች አይደሉም።,entrée,positive
2924,ጥሩ ዋጋ ያለውና ጣዕም ያለው ቢሆንም እንኳ ጣፋጭ ምጣፉን እንድትተው ሐሳብ ብቻ ነው ።,ጣፋጭ ምግብ,negative
2928,ጣፋጭ ምጣፉን ትታችሁ የምትውለው ከመጠን ያለፈ ዋጋ ሳይሆን ጣዕሙን እንዳጣችሁ ብቻ ነው ።,ጣዕም,negative
2949,"በጣም አነስተኛ, ከቤት ውጭ ምግብ አካባቢ ለብቻው ለማጥናት ወይም ከጓደኞች ጋር ለመገናኘት የግል, ምቹ ቦታ.",ቦታ,positive
2953,ከቤት ውጭ የሚመገበው አነስተኛ ምግብ ለብቻው ለማጥናት ወይም ከጓደኞቻችን ጋር ለመገናኘት የሚያስችል ምቹ ያልሆነ ቦታ እንዲኖር ያደርጋል።,ከቤት ውጭ የመብላት አካባቢ,positive
2957,በልግስና የተለበጡ ናቸዉ። እጅግ በጣም በሰዎች ዘንድ ተቀባይነት ያላቸዉ የጀሩሳሌም የገበያ ስልት ፋላፌል መጠቅለያዎችና የሜድትራኒያን ሰላጣዎች በጥንዚዛ፣ በፍየል አይብና በዉሃ የተለበጡ ናቸው።,የኢየሩሳሌም የገበያ ስልት ፋላፌል ይጠቀልላል,positive
2961,"በልግስና የተለበጡ, ኦርጋኒክ grilled burgers በጣም ተወዳጅ ምግብ ናቸው, ነገር ግን የኢየሩሳሌም የገበያ ስልት ፋላፌል ይሸፈናሉ ነገር ግን የሜዲትራኒያን ሰላጣ - በጥንዚዛ, በፍየል አይብ እና በዎልት የተንጠለጠሉ ናቸው. በተመሳሳይ ምስቅልቅል አይደለም.",dish,positive
2965,በልግስና የተለበጡ፣ በተፈጥሮአዊ የተፈለፈሉ በርገርዎች በሰዎች ዘንድ ተወዳጅ አይደሉም። ይሁን እንጂ የኢየሩሳሌም የገበያ ስልት ያላቸው ፋላፌል መጠቅለያዎችና የሜድትራኒያን ሰላጣዎች ማለትም ጥንዚዛዎች፣ የፍየል አይብና ዎልት የተነጠፈባቸው ናቸው።,ኦርጋኒክ grilled በርገር,positive
2971,የሥጋ ፎብ ከዶሮ፣ ከካሮት ና ከሌሎች አትክልቶችና ቅመሞች የተለየ ውህደት ከተሰራ ውህደት ከተሰራው ተራ አትክልት በርገር ጋር በዕድል ላይ ይገኛሉ።,ካሮት,positive
2975,ከዶሮ፣ ከካሮትና ከሌሎች አትክልቶችና ቅመሞች የተለየ ውህድ ከተባለው የአትክልት በርገር ጋር ሥጋ-ፎብ በዕድል ላይ ይገኛሉ።,ጫጩት,positive
