ha,aspect,polarities
"an ba da shawara sosai... kamar yadda aka faɗa, ban ci abinci ba * a * gidan abinci amma na tsaya a wurin don in ɗauki abinci amma yana kama da wuri mai ban mamaki; har ila yau, bar yana da kyau.",bar,positive
"ba abinci na gaske ba ne kawai, amma ma'aikatan nan ba sa cikin jirgin, matasa ne amma suna da tsofaffi da kuma abin da suke yi sa'ad da ya zo ga abinci da ruwan inabi.",abinci,positive
"ba kawai abincin ba na gaske ba ne, amma ma'aikatan nan ba sa cikin jirgin, matasa ne amma ƙarfinsu kuma sun san abin da suke yi sa'ad da ya zo ga abinci marar kyau da ruwan inabi.",ma'aikata,positive
"ba abinci na gaske ba ne kawai, amma ma'aikatan nan ba sa cikin jirgin, matasa ne amma tsofaffi ne abin da ba a yi a kan abinci da ruwan inabi ba.",abinci,positive
"ko da yake na ƙaura zuwa garin, ina ƙoƙarin in daina cin abinci mai tsada da ba mai tsada ba amma in ziyarci ma'aikatan.",ma'aikata,positive
"ko da yake na ƙaura zuwa garin, ina ƙoƙarin in daina cin abinci mai rashin kuɗi kuma in ziyarci waɗanda suke ƙin su.",abinci,positive
ta yaya za su tsira ta wajen ciyar da abinci marar kyau da tsada mai yawa?,abinci,neutral
ta yaya za su tsira idan suka ci abinci mai kyau da tsada?,tsada?,negative
"abin da ake ci ba shi da kyau, ko da a wurin yana da sauƙi kuma yana da kwanciyar hankali!",wurin,positive
abin da ake ci yana da laushi sosai amma ba wuri ba ne mai kyau ko kuma na kud da kud!,abin,positive
"an ga girma ga indiya a cikin roti canai appetizer da ake ci da shi, da aka dafa da sosin curry mai daɗi, yayin da shanin mango ba ya ba da abinci mai kyau, mai daɗi a kan mai daɗi amma mai daɗi.",roti canai appetizer,positive
"ba a samu girma ga india a cikin roti canai appetizer mai ban sha'awa, ko da yake an ga hakan a cikin pancake da aka dafa da sosin curry mai daɗi, kuma shanin mango yana ba da ɗanɗano mai kyau, mai daɗi a kan mai daɗi amma mai daɗi.",mango,positive
"abin da ake so a dukan lokaci ya haɗa da big mac, chicken mcnuggets, filet-o-fish sandwich da kuma mcdonald's famous french fries; za a iya samun abinci mai sauƙi kamar salad mai girma.","mcnuggets,",positive
"abin da ake so a dukan lokaci ya haɗa da big mac, chicken mcnuggets, filet-o-fish sandwich da kuma mcdonald's famous french fries; za a iya samun abinci mai sauƙi kamar salad mai girma.",filet-o-fish,positive
"abin da ake so a dukan lokaci ya haɗa da big mac, chicken mcnuggets, filet-o-fish sandwich da kuma mcdonald's famous french fries; ana iya samun zaɓe masu sauƙi kamar salad mai girma na entrée.",salad mai girma,neutral
"abin da ake so a dukan lokaci ya haɗa da big mac, chicken mcnuggets, filet-o-fish sandwich da kuma mcdonald's famous french fries; za a iya samun abinci mai sauƙi kamar salad mai girma.",mcdonald's famous french fries,positive
"abin da ake so a dukan lokaci ya haɗa da big mac, chicken mcnuggets, filet-o-fish sandwich da kuma mcdonald's famous french fries; za a iya samun abinci mai sauƙi kamar salad mai girma.",big mac,positive
"ma'aikatan suna girman kai, kuma kuɗin brooklyn ba shi da sauƙi.",ma'aikata,negative
"ma'aikatan suna da tawali'u, amma kuɗin brooklyn yana da tsada sosai.",tsada,negative
"abincinsa ba shi da kyau (amma ba shi da tsada bisa mizanai na nyc- babu abinci fiye da $ 30, yawancin abincin abinci $ 12 zuwa 14).",abincin,positive
"abin da yake ci yana da kyau (kafin ya yi nauyi bisa mizanai na nyc- babu abinci fiye da $ 30, yawancin abincin da ake ci $ 12 zuwa 14).",abinci,positive
"ɗakin yana da kyau, yana da tsaye biyu amma tsawon barin da ba shi da kyau don shan giya.",ɗakin,positive
"ɗakin yana da kyau, da tsaye biyu amma tsawon barin da ba shi da kyau don shan giya.",biyu,positive
"ɗakin ƙaramin wuri ne, a tsaye biyu amma tsawon bar da ya fi kyau don shan giya.",bar,positive
dukan apetizers mugun ne amma sangria mai kyau ne.,sangria,positive
dukan apetizers masu kyau ne amma sangria mugun ne.,apetizers,positive
"yana da waƙa marar kyau, tapas mai kyau, ruwan inabi mai ban sha'awa (da ya fi na sifanisanci) amma ba shi da amfani sosai a yankin.",tapas,positive
"yana da waƙa marar kyau, tapas mai ban sha'awa, zaɓaɓɓun ruwan inabin da ake amfani da shi (ainihi na sifanisanci) amma yana da sauƙin zama a yankin.",amfani,positive
"yana da waƙa mai kyau, tapas mai ban sha'awa, zaɓaɓɓun ruwan inabi mai ban sha'awa (ainihi na sifanisanci) amma ba shi da sauƙi ba masu sayarwa a kusa.",waƙa,positive
"na yi shekaru ina zuwa wannan gidan abinci, a dā ana ba ni abinci mai kyau kamar yadda nake yi a dā.",abinci,neutral
"na yi shekaru ina zuwa wannan gidan abinci, a dā ana yin hidima a kai a kai amma abincin ya ƙunshi",abinci,negative
"wannan ya bambanta sosai, hidima ta ƙarfafa sosai amma abincin ba ya da kyau fiye da tsawon",abincin,positive
"wannan ba abin ta'aziyya ba ne, amma abincin ba ya da kyau fiye da tsawon",tsawon,positive
"wannan ba abin ta'aziyya ba ne, amma abincin ya fi na tsawon lokaci, amma abin da ya fi muhimmanci shi ne bira mai ƙarfi amma mai tsanani.",abinci,positive
labaran marar kyau game da neman birni wataƙila daga manzanai masu kishi da suka fahimci cewa ba za su iya yin gasa da dukan halin temple na ƙwarai game da hanyar da ta dace na bi da masu amfaninsu amma ba su ba da abinci mafi kyau ba.,halin,positive
labaran marar kyau game da neman birni wataƙila daga manzanai masu kishi da suka fahimci cewa ba za su iya yin gasa da dukan halin temple na banza game da hanyar da ta dace na bi da masu amfaninsu amma su ba da abinci mafi kyau.,abinci,positive
