,st,aspect,polarities
2756,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa mantsiboea, ho kenyeletsoa lijo tsa leoatleng empa ha ho na li-steak tse kholo, ho boetse ho na le mekhoa e meng e mengata e seng ea nama.",Menu ea lijo tsa mantsiboea,positive
2760,"Ntho e 'ngoe le e' ngoe e na le ts'ebetso e ntle, ho tloha ts'ebeletsong e ntle ntle, eseng li-waitresss tse ntle, ho isa sepakapakeng se sa tlokomang.",Tšebeletso ea tšebeletso,positive
2764,"Ntho e 'ngoe le e' ngoe e na le scrumptious, ho tloha tšebeletsong e sa babatsehang ke li-waitresss tse monate, ho ea sepakapakeng se sa tlokomang haholo.",Ho ho waitresss,positive
2768,"Ntho e 'ngoe le e' ngoe e na le scrumptious, ho tloha tšebeletsong e sa babatsehang ke eseng li-waitresss tse monate, ho ea sepakapakeng se tlokomang haholo.",Sepakapaka sa sepakapaka,positive
2788,ʻO ka hoʻoponopono ʻana i ka hoʻoheheʻe ʻana i ka hoʻoheheʻe ʻana i ka hoʻopiʻi.,Halihali - Alethe Appetizer,neutral
2792,ʻO ka hoʻoponopono ʻana i ka hoʻoponopono ʻana i ka hoʻoheheʻe ʻana.,Karolo ea Gras,positive
2798,Lintho tse tloaelehileng tsa Setaliana ha li theko e tlase haholo empa li sebeletsa ka mokhoa o makatsang.,Toe Sets,positive
2802,Lintho tse tloaelehileng tsa Mataliana li theko e tlase haholo empa li sebeletsa ka mokhoa o sa tsoeng hantle.,Lihlooho tse tloaelehileng tsa Italy,positive
2806,ʻO ka hoʻolōʻihi o ka ʻoluʻo o ka ʻoluʻo o ka ʻolu-,Likarolo tsa likarolo,positive
2810,ʻO ka hoʻolele ʻana i ka hoʻohaʻana.,Pasta ea pasta,positive
2814,ʻO ka ʻeha ʻana o ka ʻae ʻana o ka hoʻohaʻana i ka ʻaʻana o ka ʻoluʻoluʻo o ka ʻolu.,Soe Seng,neutral
2820,"Lenane la ka le tsotehang haholo le le ikhethileng la Chelsea le kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tsa Japane tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",Ho ho spicy cod roe spaghetti,neutral
2824,"Menyu ea ka e tsotehang le e tsotehang ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tsa Japane tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",ʻO ka ʻōnaehana no ka ʻōnaehana,neutral
2828,"Lenane la ka le tsotehang le le tsotehang haholo la Chelsea le kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tsa Japane tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce e ntšo ea truffle, ho bolela tse 'maloa.",Black Cod e nang le miso ea motheo,neutral
2832,"Lenane la ka le tsotehang le la boqapi la Chelsea le kenyelletsa lijana tsa sejoale-joale tsa sejoale-joale, tse kholo haholo tsa Majapane tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce e ntšo ea truffle, ho bolela tse 'maloa.",menu ea,positive
2836,"Lenane la ka le tsotehang ka ho felletseng le le leholo la boqapi le kenyelletsa lijana tsa sejoale-joale, tse ka bophirimela tsa Majapane tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce e ntšo ea truffle, ho bolela tse 'maloa.",Ho ho black truffle sauce,neutral
2840,"Menyu ea ka e tsotehang le e mpe ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tsa Japane tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce e ntšo ea truffle, ho bolela tse 'maloa.",Lijana tsa Majapane,neutral
2844,"Lenane la ka le tsotehang haholo le le ikhethileng la Chelsea le kenyelletsa lijana tsa sejoale-joale, tse ka bophirimela tsa Japane tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce e ntšo ea truffle, ho bolela tse 'maloa.",Jap Style Hamburger Steak ea Jap,neutral
2848,Li-dessert li batla li makatsa: motho oa ka ea se ratang ke tart ea bona ea letsatsi.,Desserts ea,positive
2852,Li-dessert li hlile li hlakile. Ntho ea ka eo ke e ratang ka ho fetisisa ke letsatsi leo ke le ratang ka ho fetisisa.,Tart ea letsatsi,positive
2856,"Tšebeletso e ntle, eseng lijo tse ntle, boleng bo bobe, empa li tlameha ho emela moleng!",Tšebeletso ea tšebeletso,positive
2860,"Ts'ebeletso e mpe, lijo tse mpe, boleng bo bobe, empa ha ho hlokahale hore u eme moleng!",Letebele Letebele,positive
2864,"Ha se tšebeletso e ntle, eseng lijo tse ntle, boleng bo botle, empa li tlameha ho emela moleng!",Bohlokoa,positive
2868,"Tšebeletso e mpe, empa lijo tse ntle, le boleng bo bobe, 'me u tlameha ho emela moleng!",Lijo tsa lijo,positive
2882,"Spicy tuna roll, salate e kholo ea Asia.",Salate ea Asia,positive
2886,"Li-spicy tuna roll, eseng salate e kholo ea Asia.",Ho Spicy Tuna Roll,positive
2899,ʻO ka hoʻoholo ʻana i ka hoʻoholo ʻana i,Li-deserts tsa lehoatata,positive
2903,Hoʻoholo ʻia ka hoʻoholo ʻana i,Entrée Ho Ho,positive
2924,"Tlhahiso feela ke hore u tlola lijo tse tsoekere, leha e ne e le theko e ntle ebile e le ntle ho tatso.",Dessert ho,negative
2928,"Tlhahiso feela ke hore u tlola sopho e monate, ha ea ka ea tlola haholo empa e oetse hanyane ka tatso.",Tatso ea,negative
2949,"Sebaka se senyenyane haholo, sa ho ja ka ntle se etsa hore sebaka sa poraefete, se phutholohe ho ithuta u le mong kapa ho kopana le metsoalle.",Sebaka sa Sepakapaka,positive
2953,"Sebaka se senyenyane sa ho ja ka ntle se etsa sebaka se sa ikemetseng, se sa phutholohang ho ithuta kapa ho kopana le metsoalle.",Sebaka sa ho ja ka ntle,positive
2957,"Ha ho na generously garnished, manyolo grilled burgers ke sejana se sa rateheng ka ho fetisisa, empa Jerusalema setaele falafel wraps le salate Mediterranean -- lera le li-beet, chisi ea pōli le walnuts - ke scrumptious ka ho lekana.",Jerusalem boho style boho wraps,positive
2961,"Li-burger tse halikiloeng ka seatla se bulehileng, manyolo a halikiloeng ke sejana se tummeng ka ho fetisisa, empa jerusalema setaele falafel wraps empa salate ea Mediterranean - e koahetsoeng ka li-beet, chisi ea pōli le walnuts - ha li tšoane le scrumptious.",Liisa Liisa,positive
2965,"Li-burger tse halikiloeng ka seatla se bulehileng, manyolo a halikiloeng ke sejana se sa rateheng ka ho fetesisa, empa jerusalema setaele falafel wraps le salate ea Mediterranean - e koahetsoeng ka li-beet, chisi ea pōli le walnuts - ha li tšoane le scrumptious.",Li-burger tse halikiloeng tsa Organic,positive
2971,"Li-phobes tsa nama li lehlohonolo ka burger e tloaelehileng ea veggie, e entsoeng ka motsoako o khethollang oa li-chickpeas, lihoete le meroho e meng le linoko.",Kartles,positive
2975,"Li-phobes tsa nama li lehlohonolo ka burger ea veggie e hlakileng, e entsoeng ka motsoako o khethollang oa li-chickpeas, lihoete le meroho e meng le linoko.",Li-chickpeas,positive
2979,"Li-phobes tsa nama li lehlohonolo ka burger e tloaelehileng ea veggie, e entsoeng ka motsoako o mpe oa li-chickpeas, lihoete le meroho e meng le linoko.",Meroho ea meroho,positive
2983,"Li-phobes tsa nama li lehlohonolo ka burger e tloaelehileng ea veggie, e entsoeng ka motsoako o mpe oa li-chickpeas, lihoete le meroho e meng empa linoko.",Li-spice tsa,positive
2987,"Li-phobes tsa nama li lehlohonolo ka burger e sa tloaelehang ea veggie, leha e entsoe ka motsoako o hlakileng oa li-chickpeas, lihoete le meroho e meng le linoko.",Ho veggie burger,positive
2991,"Lijo li ne li le monate haholo, tse sa hlahisoang ka boqapi empa li ntle haholo.",Veine ea veine,positive
2995,"Lijo li ne li le monate haholo, tse hlahisitsoeng ka boqapi, leha ho le joalo, ha ho joalo veine e ngata.",Lijo tsa lijo,positive
3017,"Likarolo li kholo haholo, empa ts'ebeletso ha e ntle !!",Likarolo tsa likarolo,positive
3021,"Likarolo li nyane haholo, empa ts'ebeletso e ntle haholo !!",Tšebeletso ea tšebeletso,positive
3031,"Li-teas ha li ntle, empa li monate kaofela li na le ntlo ea lapeng.",limpa limpa,positive
3035,"Li-teas li ntle, empa li monate tsohle ha li na lehae.",Li-Teas tsa Tea,positive
3039,E haufi-ufi empa e se ka hare e nang le botsoalle haholo empa e le tšebeletso e hlokolosi.,Tšebeletso ea tšebeletso,positive
3043,Interior e haufi-ufi le e khahlehang e nang le ts'ebeletso e sa hlompheheng empa e sa tsotelle.,Ka hare,positive
3049,"Lijo li ntle haholo, leha ho le joalo, li-roll hangata li ntle haholo ebile li-sushi / sashimi ha li phahame ka mokhoa o ts'oanang.",Rolls ea,positive
3053,"Lijo li ntle haholo, empa li-roll li mpe, 'me sushi / sashimi ha e felle ka tekanyo e le' ngoe",Lijo tsa lijo,positive
3068,"Bar ena e na le lino tse taoang tsohle, sepakapaka sa mocheso, eseng ts'ebeletso e ntle empa e se lijo tse monate.",Lino Lino,positive
3072,"Bar ena e na le hoo e ka bang ha ho letho - eseng lino tse kholo, sepakapaka se sebe, eseng ts'ebeletso e ntle empa lijo tse monate.",Lijo tsa lijo,positive
3076,"Bar ena e na le tsohle-eseng lino tse kholo, sepakapaka se pholileng, eseng tšebeletso e babatsehang empa e se lijo tse monate.",Sepakapaka sa sepakapaka,positive
3080,"Bar ena e na le eona kaofela - lino tse mpe, sepakapaka se sa thabiseng, empa ts'ebeletso e ntle haholo le lijo tse litšila.",Tšebeletso ea tšebeletso,positive
3096,"Lethathamo la veine le ne le le monate, li-tapas tsa rona ha li monate, empa moea o sa tsitsang o sa phethahalang bakeng sa moqoqo o monate.",Wine Lethathamo,positive
3100,"Lethathamo la veine e ne e se superb, tapas rona ha e monate, empa moea o khutsitseng o phethahetseng bakeng sa moqoqo o motle.",Sepakapaka sa sepakapaka,positive
3104,"Lethathamo la veine le ne le sa khahlise, tapas ea rona e monate, empa sepakapaka se lerata se ne se sa tšoanelehe bakeng sa moqoqo o motle.",Li-tapas,positive
3124,"Ha ho na li-tapas tse ntle ka theko e kholo, tsa lerato, tse nyane empa ha li crowed haholo, li ntle haholo",Litheko tsa litheko,positive
3128,"Li-tapas tse ntle ka theko e ntle, tsa lerato, tse nyane empa li sa crowed haholo, li ntle haholo",Li-tapas,positive
3132,Ena e ntse e le e 'ngoe ea lireschorente tseo ke li ratang haholo sebakeng seo lijo li theko e boima empa li mpe haholo (kimono shrimp khethehileng e ne e se ntle haholo) empa e na le sepakapaka se seholo.,Sepakapaka sa sepakapaka,positive
3136,Ena e ntse e le e 'ngoe ea lireschorente tseo ke li ratang haholo sebakeng seo lijo li theko e boima empa li mpe haholo (kimono shrimp khethehileng e ne e le ntle haholo) empa e na le sepakapaka se seholo.,Kimono Shrimp e khethehileng,positive
3140,Ena e ntse e le e 'ngoe ea lireschorente tseo ke li ratang haholo sebakeng seo lijo li theko e tlaase empa li le ntle haholo (kimono shrimp khethehileng e ne e se ntle haholo) empa e na le sepakapaka se seholo.,Lijo tsa lijo,positive
3149,"Sebaka sena sa marang-rang se monate, empa lijo ha li na tatso.",Sebaka,positive
3153,"Sebaka sena ha se monate, empa lijo li monate.",Lijo tsa lijo,positive
3160,"The waitstaff e solicitous empa e le botsoalle 'me kamehla ho bonahala ho thabela ho re bona, 'me lijo hase e babatsehang, haeba e sa hlollang pōpo.",Leta Lesli,positive
3164,"The waitstaff ha e solicitous le ka botsoalle 'me kamehla ho bonahala ho thabela ho re bona, empa lijo ke e babatsehang, haeba e sa hlollang pōpo.",Lijo tsa lijo,positive
3177,"Sebaka sena ke classy, chic, ts'ebeletso e pholile empa e sa amohelehe, empa lijo ha li hlahelle.",Sebaka,positive
3181,"Sebaka sena ha se sehlopha, eseng chic, ts'ebeletso e mofuthu empa e amohela baeti, empa lijo ha li hlahe.",Tšebeletso ea tšebeletso,positive
3185,"Sebaka sena ha se sehlopha, eseng chic, ts'ebeletso e pholile empa e sa amohelehe, empa lijo li hlaheletseng.",Lijo tsa lijo,positive
3197,"Hase menyu babatsehang, cool uninviting ambiance, tšebeletso e khōlō lijo etsa hore ke khutla!",Tšebeletso ea tšebeletso,positive
3201,"Babatsehang menu ya, cool uninviting ambiance, tšebeletso e ntle lijo etsa hore ke khutla!",menu ea,positive
3205,"Ha se menyu e makatsang, ho mema ka mofuthu, ha ho tšebeletso e ntle lijong e etsa hore ke khutlele!",Moa moa,positive
3241,"E khothalletsoa haholo ... Joalokaha ho boletsoe, ha ke a ka ka re * reschorenteng empa ke ile ka emisa ho ea lata, empa ho bonahala eka ke sebaka se khathollang haholo; Le bar e shebahala e le ntle.",Sebaka,positive
3245,"E khothalletsoa haholo ... Joalokaha ho boletsoe, ha ke a ka ka re * reschorenteng empa ke ile ka emisa ho ea lata, empa ho bonahala eka ke sebaka se sa tloaelehang haholo; Le bar e shebahala e le ntle haholo.",Bang Bang Bar,positive
3257,"Hase feela lijo tsa 'nete, empa basebetsi mona ha ba hole-sekepe, ba banyenyane empa ba le letheka le tsofetse seo ba se etsang ha ho tluoa lijong le veine.",Lijo tsa lijo,positive
3261,"Hase feela lijo tsa 'nete, empa basebetsi mona ke ba banyenyane empa ba le bashanyana empa letheka mme ba tseba seo ba se etsang ha ho tluoa lijong tse mpe le veine.",Basebetsi ba Basebetsi,positive
3267,"Hase feela lijo tsa 'nete, empa basebetsi mona ha ba hole-sekepe, ba banyenyane empa letheka le tsofetse seo ba sa se etsang ha ho tluoa lijong le veine.",Lijo tsa lijo,positive
3282,Le ha ke fallisitsetown ke leka ho emisa hangata kamoo ho ka khonehang bakeng sa lijo tse sa theko e boima empa ho lefa basebetsi ba botsoalle ketelong.,Basebetsi ba Basebetsi,positive
3286,Le ha ke fallisitsetown ke leka ho emisa hangata kamoo ho ka khonehang bakeng sa lijo tse theko e tlaase haholo le ho lefa basebetsi ba bora ketelo.,Lijo tsa lijo,positive
3296,U ka phela joang ho sebeletsa lijo tse mahareng ka litheko tse ngata tsa exorbitant?!,Lijo tsa lijo,neutral
3300,U ka phela joang ho sebeletsa lijo tse loketseng ka theko ea exorbitant?!,Litheko tsa litheko,negative
3316,"Lijana li ntle haholo, leha li le sebakeng se setle le se haufi-ufi!",Sebaka,positive
3320,"Lijana tsena li monate, empa ha se sebaka se monate kapa se haufi!",Li-cookie,positive
3326,"Tlotla ho India e hlakile haholo ho appetizer e nang le delectable roti canai, pan e halikiloeng e neng e sebeletsa ka sopho ea curry ea dipping, ha khoho ea mango e sa fane ka stale e rarahaneng ka mokhoa o makatsang, e hloekileng ka monate-empa e bolila.",ʻO ka hoʻoponopono no ka ʻohana,positive
3332,"Ho khumamela India ha ho na moo ho ka fumanoang ho appetizer e mpe ea roti canai, leha ho bonahala ka pan e halikiloeng e sebeletsang ka sopho ea curry ea ho pheha, 'me khoho ea mango e fana ka mokhoa o makatsang o rarahaneng, o hloekileng ho nka monate-empa o le bolila.",Khoho ea mango,positive
3349,"Lintho tseo u li ratang li kenyelletsa Big Mac, Chicken McNuggets, Sandwich ea Filet-O-Fish le li-fries tse tummeng tsa Fora tsa McDonald; Likhetho tse bonolo haholo joalo ka li-salate tse entsoeng ka hare le tsona lia fumaneha.",Khoho ea li-mcnuggets,positive
3353,"Lintho tseo u li ratang li kenyelletsa Big Mac, Chicken McNuggets, Sandwich ea Filet-O-Fish le li-fries tse tummeng tsa Fora tsa McDonald; Ho boetse ho na le likhetho tse bonolo tse kang li-salate tse nang le li-entrée le tsona lia fumaneha.",Ho - Sandwich,positive
3357,"Lintho tseo u li ratang haholo li kenyelletsa Big Mac, Chicken McNuggets, Sandwich ea Filet-O-Fish le fries e tummeng ea Fora ea McDonald; Likhetho tse bobebe tse kang li-salate tse kenyelletsoeng le tsona lia fumaneha.",Li-salate tse entsoeng ka hare,neutral
3361,"Lintho tseo u li ratang li kenyelletsa Big Mac, Chicken McNuggets, Sandwich ea Filet-O-Fish le li-fries tse tummeng tsa Fora tsa McDonald; Mekhoa e metle ea ho feta, joalo ka li-salate tse nang le ts'oanang le tsona lia fumaneha.",Li-fries tsa French tsa McDonald,positive
3365,"Lintho tseo u li ratang li kenyelletsa Big Mac, Chicken McNuggets, Sandwich ea Filet-O-Fish le li-fries tse tummeng tsa Fora tsa McDonald; Ho boetse ho na le likhetho tse bonolo tse kang li-salate tse nang le li-entrée le tsona lia fumaneha.",Big Mac,positive
3377,"Basebetsi ba ikhohomosa, litheko li tlase haholo bakeng sa Brooklyn.",Basebetsi ba Basebetsi,negative
3381,"Basebetsi ba ikokobelitse, empa litheko li theko e phahameng bakeng sa Brooklyn.",Litheko tsa litheko,negative
3388,"Lijo tsa hae ha li ntle haholo (empa ha li theko e boima ke litekanyetso tsa NYC- ha li entrees tse fetang $ 30, li-appetizers tse ngata $ 12 ho isa ho 14).",Li-appetizers,positive
3394,"Lijo tsa hae li ntle haholo (empa onerous ke litekanyetso tsa NYC- ha li entrees tse fetang $ 30, li-appetizers tse ngata $ 12 ho isa ho 14).",Lijo tsa lijo,positive
3400,"Kamore ke sebaka se setle, sa boemo ba bi-level empa bar e telele e sa phethahalang bakeng sa seno.",Kamore ea ho robala,positive
3404,"Kamore ke sebaka se setle, sa boemo ba bi-level empa bar e telele e sa phethahala bakeng sa seno.",Sebaka sa Marang-rang,positive
3408,"Kamore ke sebaka se senyenyane, sa boemo ba bi-level empa bareng e telele e phethahetseng bakeng sa seno.",Ha Long Bar,positive
3417,Li-apetizer tsohle li mpe empa Sangria e ntle haholo.,Sangria Ho,positive
3421,"Li-apetizer tsohle li ntle, empa Sangria e mpe haholo.",Apetizers ea,positive
3453,"E na le 'mino o mobe, li-tapas tse ntle, khetho e khahlisang ea veine (haholo-holo Sepanishe) empa e le moreki oa tikoloho ea lowkey unhip.",Li-tapas,positive
3457,"E na le 'mino o mobe, li-tapas tse mpe, khetho e khahlisang ea veine (haholo-holo Sepanishe) empa e le moreki ea tlaase oa hip neighborhood.",Clientle Toe,positive
3461,"E na le 'mino o motle, li-tapas tse mpe, khetho e khahlisang ea veine (haholo-holo Sepanishe) empa ha e tlase ho bareki ba tikoloho ea hip neighborhood.",'Mino oa' mino,positive
3468,"Ke 'nile ka ea lebenkeleng lena ka lilemo tse ngata, nakong e fetileng tšebeletso e ne e le karolelano le lijo tse ntle joaloka kamehla.",Tšebeletso ea tšebeletso,neutral
3472,"Ke qetile lilemo tse ngata ke ea lebenkeleng lena, nakong e fetileng ts'ebeletso e ne e le karolelano empa lijo li entsoe",Lijo tsa lijo,negative
3476,"Ke phapang e kaakang, ts'ebeletso e ne e le ho tšelisa haholo empa lijo li ne li se betere ho feta karolelano, empa se hlileng se hlahellang e ne e le biri e matla joalo empa e pharalletse lenaneng.",Tšebeletso ea tšebeletso,positive
3480,"Ke phapang e kaakang, ts'ebeletso e ne e sa tšelisehe haholo empa lijo li ne li se betere ho feta karolelano, empa se hlileng se emisitsoeng e ne e le lenane le matla haholo la biri.",Lethathamo la biri,positive
3484,"Ke phapang e kaakang, ts'ebeletso e ne e sa tšelisehe haholo empa lijo li ne li le betere ho feta karolelano, empa se hlileng se hlahellang e ne e le lenane le matla le matla la biri.",Lijo tsa lijo,positive
3491,Litlhahlobo tse mpe ka patlo ea toropo mohlomong li tsoa lireschorenteng tsa mōna tse qothisanang lehlokoa ba hlokomelang hore ba ke ke ba qothisana lehlokoa le maikutlo ohle a matle a Tempele mabapi le tsela e nepahetseng ea ho tšoara bareki ba bona empa ba se ke ba fana ka lijo tsa boleng bo holimo.,Boikutlo ba maikutlo,positive
3495,Litlhahlobo tse mpe ka patlo ea toropo mohlomong li tsoa lireschorenteng tsa mōna tse qothisanang lehlokoa ba hlokomelang hore li ke ke tsa qothisana lehlokoa le maikutlo ohle a mabe a Tempele mabapi le tsela e nepahetseng ea ho phekola bareki ba bona empa ba fana ka lijo tsa boleng bo holimo.,Lijo tsa lijo,positive
