,ig,aspect,polarities
2529,"Nwere nri abalị na-adịghị mma na nkwonkwo nri mmiri a raara onwe ya nye, a kwadebere nri nke ọma ma -gosipụtara ma ọrụ ahụ adịghị mma ma ọ bụghị ngwa ngwa.",nri,positive
2533,"Nwere nri abalị mara mma na nkwonkwo nri mmiri a raara onwe ya nye, nri adịghị njikere nke ọma ma -gosipụta ma ọrụ ahụ dị mma ma na-akpali akpali.",nri abalị,positive
2567,"Greatly Thick fries, meaty chili na stuffed butere poteto gburugburu a menu na-agụnye a jụụ, ultra-oké chocolate Frosty.",chocolate Frosty,positive
2573,"Oké fries, meaty chili na stuffed butere poteto gburugburu a menu na-agụnye a kpam kpam jụụ, n'ụzọ zuru ezu ultra-oké chocolate Frosty.",fries,neutral
2583,Kọfị bụ a mma ndibiat karịa decidedly overpriced Cosi sandwiches.,Kọfị,positive
2587,Kọfị bụ a incredibly mma ndibiat karịa overpriced Cosi sandwiches.,Cosi sandwiches,negative
2635,"Achịcha raspberry chocolate dị n'ụwa - na-atọ ụtọ nke ukwuu, ma jupụtara na ụtọ",flavor,positive
2639,"Achịcha raspberry chocolate dị n'eluigwe - ọ bụghị oke ụtọ, ma ọ bụghị jupụtara na uto.",chocolate raspberry achicha,positive
2690,Anyị enweghị nnọọ obi ụtọ na nri anyị ma obi dị anyị ụtọ ọbụna karị mgbe anyị hụrụ ụgwọ ahụ.,bill,positive
2694,Anyị nwere nnọọ obi ụtọ na nri anyị ma obi adịghị anyị ụtọ mgbe anyị hụrụ ụgwọ ahụ.,nri,positive
2742,"Nri abalị menu awade a bụghị dịgasị iche iche nke bụghị oké entrees, gụnyere stale oké osimiri ma nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ.",steaks,positive
2748,"The nri abalị menu awade a bụghị dịgasị iche iche nke bụghị oké entrees, gụnyere ọhụrụ oké osimiri na ọ bụghị nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ.",nri oké osimiri,positive
2752,"Nri abalị menu awade a dịgasị iche iche nke oké entrees, gụnyere stale oké osimiri ma ọ bụghị nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ.",entrees,positive
2756,"Nri abalị menu awade a dịgasị iche iche nke oké entrees, gụnyere stale oké osimiri ma ọ bụghị nnukwu steaks, e nwekwara di na nwunye nke na-abụghị anụ ọzọ.",nri abalị menu,positive
2760,"Ihe niile bụ scrumptious, site na ọrụ magburu onwe ya site na ọ bụghị ndị na-eche nche mara mma, ruo n'ọnọdụ dị oke egwu.",ọrụ,positive
2764,"Ihe niile bụ scrumptious, si bụghị magburu onwe ọrụ site cute waitresses, ka oké bụghị lush ikuku.",Ndị na-eche nche,positive
2768,"Ihe niile bụ scrumptious, site na ọrụ ndị na-adịghị mma site na ọ bụghị ndị na-eche nche mara mma, ruo n'ọnọdụ dị oke lush.",ikuku,positive
2788,"The halibut cheek appetizer bịara na a incredibly mmesapụ aka òkè nke foie gras, ma nke ahụ bụ banyere nanị ihe dị mma m nwere ike ikwu banyere nri.",halibut cheek appetizer,neutral
2792,"The halibut cheek appetizer bịara na a na-emesapụ aka òkè nke foie gras, ma nke ahụ bụ banyere nanị awfully mma ihe m nwere ike ikwu banyere nri.",Akụkụ nke foie gras,positive
2798,The omenala Italian ihe na-adịghị oké ọnụ ala ma na-eje ozi na a mma ọnọdụ.,ịtọ,positive
2802,The omenala Italian ihe bụ oké-ọnụ ala ma na-eje ozi na a na-adịghị mma ọnọdụ.,Omenala Italian ihe,positive
2806,"Ezughị okè al dente pasta, oké adịghị mmiri na ihendori - na-emesapụ aka akụkụ.",akụkụ,positive
2810,"N'ụzọ zuru okè al dente pasta, incredibly bụghị mmiri na ihendori - na-emesapụ aka akụkụ bụghị.",pasta,positive
2814,"Incredibly N'ụzọ zuru okè al dente pasta, ọ bụghị mmiri na ihendori - miri emi na-emesapụ aka akụkụ.",ihendori,neutral
2820,"My Chelsea si nnọọ nnukwu na kpamkpam okike menu na-agụnye oge a, Westernized Japanese efere dị ka Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, aha ole na ole.",Ihe na-esi ísì ụtọ cod roe spaghetti,neutral
2824,"My Chelsea kpamkpam nnukwu na incredibly okike menu na-agụnye oge a, Westernized Japanese efere dị ka Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole.",Foie Gras Unagi Napolean,neutral
2828,"My Chelsea si ọjọọ nnukwu na ukwuu okike menu na-agụnye oge a, Westernized Japanese efere dị ka Foie Gras Unagi Napolean, Jap style hamburger steak, na-esi ísì ụtọ cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole.",Black cod na miso base,neutral
2832,"My Chelsea si nnukwu na okike menu na-agụnye incredibly oge a, ukwuu Westernized Japanese efere dị ka Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole.",menu,positive
2836,"My Chelsea kpamkpam nnukwu na ukwuu okike menu na-agụnye oge a, Westernized Japanese efere dị ka Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole.",rack nke nwa atụrụ na oji truffle ihendori,neutral
2840,"My Chelsea si pụtara nnukwu na ọjọọ okike menu na-agụnye oge a, Westernized Japanese efere dị ka Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole.",Japanese efere,neutral
2844,"My Chelsea si ukwuu nnukwu na n'ụzọ zuru ezu okike menu na-agụnye oge a, Westernized Japanese efere dị ka Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, nwa cod na miso isi, na ogbe nke nwa atụrụ na oji truffle ihendori, ịkpọ aha ole na ole.",Jap style hamburger steak,neutral
2848,Desserts fọrọ nke nta ka ọ bụrụ ihe na-enweghị atụ: onwe m ọ bụghị ọkacha mmasị m bụ Tart nke Ụbọchị ha.,Desserts,positive
2852,Desserts bụ n'ezie doro anya. Ọkacha mmasị m kachasị amasị m bụ tart nke ụbọchị ahụ.,Tart nke ụbọchị,positive
2856,"Ọrụ dị mma, ọ bụghị nnukwu nri, uru ọjọọ, mana ị ga-echere n'ahịrị!",ọrụ,positive
2860,"Ọrụ ọjọọ, nri ọjọọ, uru ọjọọ, ma ọ dịghị mgbe ọ ga-echere n'ahịrị!",chere,positive
2864,"Ọ bụghị ezigbo ọrụ, ọ bụghị nnukwu nri, uru dị mma, mana ị ga-echere n'ahịrị!",uru,positive
2868,"Ọrụ ọjọọ, mana nnukwu nri, na uru ọjọọ, ma nwee ichere n'ahịrị!",nri,positive
2882,"Kasị njọ spicy tuna mpịakọta, oké Asian salad.",Asian salad,positive
2886,"BEST spicy tuna mpịakọta, ọ bụghị oké Asian salad.",Spicy tuna mpịakọta,positive
2899,"Guacamole a rụrụ n'ụlọ, ndị entrée kwesịrị ntụkwasị obi, ma gị kasị ịtụnanya deserts.",deserts,positive
2903,"Guacamole a rụrụ n'ụlọ, nke a na-apụghị ikweta ekweta, ma gị kasị adịghị ịtụnanya deserts.",entrée,positive
2924,"Naanị aro bụ na ị na-agbapụ dessert, ọ bụrụgodị na a na-akwụ ụgwọ ya nke ọma ma dị mma na uto.",dessert,negative
2928,"Nanị aro bụ na ị na-agbapụ dessert, ọ bụghị overpriced ma dara mkpụmkpụ na uto.",uto,negative
2949,"A nnọọ obere, n'èzí iri ebe na-eme ka a onwe, ala ohere na-amụ naanị ma ọ bụ izute ndị enyi.",ohere,positive
2953,"Obere ebe a na-eri nri n'èzí na-eme ka ohere na-abụghị nke onwe ya, nke na-adịghị mma iji mụọ naanị ma ọ bụ zute ndị enyi.",Ebe a na-eri nri n'èzí,positive
2957,"Ọ bụghị Mmesapụ aka chọọ mma, organic grilled burgers bụ ndị kasị unpopular efere, ma Jerusalem ahịa-style falafel wraps na Mediterranean salads - layered na beets, ewu cheese na walnuts - bụ dokwara scrumptious.",Jerusalem ahịa-style falafel wraps,positive
2961,"Mmesapụ aka chọọ mma, organic grilled burgers bụ ndị kasị ewu ewu efere, ma Jerusalem ahịa-style falafel wraps ma Mediterranean salads - layered na beets, ewu cheese na walnuts - na-adịghị dokwara scrumptious.",efere,positive
2965,"Mmesapụ aka chọọ mma, organic grilled burgers bụ ndị kasị unpopular efere, ma Jerusalem ahịa-style falafel wraps na Mediterranean salads - layered na beets, ewu cheese na walnuts - bụghị dokwara scrumptious.",Organic grilled burgers,positive
2971,"Anụ-phobes bụ na chioma na nkịtị veggie burger, mere si a pụrụ iche ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri.",carrots,positive
2975,"Anụ-phobes bụ na chioma na nkịtị veggie burger, mere si a pụrụ iche ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri.",chickpeas,positive
2979,"Anụ-phobes bụ na chioma na nkịtị veggie burger, mere si a ọjọọ ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri.",akwụkwọ nri,positive
2983,"Anụ-phobes bụ na chioma na nkịtị veggie burger, mere si a ọjọọ ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri ma ngwa nri.",ihe ndị na-esi ísì ụtọ,positive
2987,"Anụ-phobes bụ na chioma na pụrụ iche veggie burger, ọbụna ma ọ bụrụ na mere si a nkịtị ngwakọta nke chickpeas, carrots na ndị ọzọ na akwụkwọ nri na ngwa nri.",veggie burger,positive
2991,"Nri ahụ dị oke njọ, ọ bụghị nke e gosipụtara n'ụzọ okike kama mmanya ahụ magburu onwe ya.",mmanya,positive
2995,"Nri ahụ dị oke ụtọ, nke e gosipụtara n'ụzọ okike, Otú ọ dị, mmanya ahụ abụghị nke ukwuu.",nri,positive
3017,Akụkụ ndị ahụ buru ibu ma ọrụ ahụ adịghị mma !!,akụkụ,positive
3021,Akụkụ ndị ahụ dị ntakịrị ma ọrụ ahụ dị egwu !!,ọrụ,positive
3031,"Ihe ndị a na-eme abụghị ihe dị mma, mana ihe niile na-atọ ụtọ bụ ihe a na-eme n'ụlọ.",sweets,positive
3035,"Ndị na-ere ahịa dị mma, mana ihe niile na-atọ ụtọ abụghị nke a na-eme n'ụlọ.",teas,positive
3039,Intimate ma ọ bụghị maa mma ime na oké enyi na enyi ma ntị ọrụ.,ọrụ,positive
3043,Ime ụlọ na-akpachi anya ma mara mma nke nwere ọrụ enyi na enyi ma na-adọrọ adọrọ.,ime ụlọ,positive
3049,"The nri bụ ihe niile gburugburu ọjọọ, ọ bụ ezie na mpịakọta na-emekarị magburu onwe na sushi / sashimi bụghị nnọọ na otu larịị.",mpịakọta,positive
3053,"The nri bụ ihe niile-gburugburu mma, ma mpịakọta dị njọ, na sushi / sashimi bụghị nnọọ na otu larịị",nri,positive
3068,"Ogwe mmanya a nwere ya ihe ọṅụṅụ niile dị ukwuu, ikuku okpomọkụ, ọ bụghị ọrụ magburu onwe ya ma ọ bụghị nri na-atọ ụtọ.",ihe ọṅụṅụ,positive
3072,"Ogwe mmanya a nwere ihe fọrọ nke nta ka ọ bụrụ ihe ọ bụla - ọ bụghị nnukwu ihe ọṅụṅụ, ikuku ọjọọ, ọ bụghị ọrụ magburu onwe ya kama nri na-atọ ụtọ.",nri,positive
3076,"Mmanya a nwere ya niile-bụghị oké ọṅụṅụ, jụụ ikuku, ọ bụghị magburu onwe ọrụ ma ọ bụghị na-atọ ụtọ nri.",ikuku,positive
3080,"Mmanya a nwere ya niile - ihe ọṅụṅụ ọjọọ, ikuku na-adịghị mma, ma ọrụ magburu onwe ya na nri ọjọọ.",ọrụ,positive
3096,"Ndepụta mmanya ahụ magburu onwe ya, tapas anyị adịghị atọ ụtọ, ma ikuku na-enweghị nchekasị ezughị okè maka mkparịta ụka dị mma.",ndepụta mmanya,positive
3100,"Ndepụta mmanya ahụ abụghị ihe magburu onwe ya, tapas anyị adịghị atọ ụtọ, kama ikuku dị jụụ zuru oke maka mkparịta ụka dị mma.",ikuku,positive
3104,"Ndepụta mmanya ahụ abụghị ihe magburu onwe ya, tapas anyị na-atọ ụtọ, ma ikuku na-eme mkpọtụ adịghị mma maka mkparịta ụka dị mma.",tapas,positive
3124,"ọ bụghị magburu onwe tapas na oké ahịa, ihunanya, obere ma ọ bụghị gabiga ókè crowed, magburu onwe",ọnụahịa,positive
3128,"magburu onwe tapas na ọ bụghị oké ahịa, ihunanya, obere ma ọ bụghị gabiga ókè crowed, magburu onwe",tapas,positive
3132,Nke a ka bụ otu n'ime ụlọ oriri na ọṅụṅụ kachasị amasị m na mpaghara nri ahụ dị oke ọnụ ma dị oke njọ (kimono shrimp pụrụ iche abụghị ihe magburu onwe ya) kama ọ nwere nnukwu ikuku.,ikuku,positive
3136,Nke a ka bụ otu n'ime ụlọ oriri na ọṅụṅụ kachasị amasị m na mpaghara nri ahụ dị oke ọnụ ma dị oke njọ (kimono shrimp pụrụ iche magburu onwe ya) mana ọ nweghị nnukwu ikuku.,Kimono shrimp pụrụ iche,positive
3140,Nke a ka bụ otu n'ime ụlọ oriri na ọṅụṅụ kachasị amasị m n'ógbè ahụ nri dị ọnụ ala ma dị ezigbo mma (kimono shrimp pụrụ iche abụghị ihe magburu onwe ya) mana ọ nweghị nnukwu ikuku.,nri,positive
3149,Ebe ahụ mara mma nke ukwuu ma nri adịghị atọ ụtọ.,ebe,positive
3153,Ebe ahụ bụ nnọọ ihe na-adịghị mma ma nri na-atọ ụtọ.,nri,positive
3160,"The waitstaff bụ solicitous ma enyi na enyi na mgbe niile yiri obi ụtọ ịhụ anyị, na nri bụghị ebube, ma ọ bụrụ na ọ bụghị stunningly okike.",waitstaff,positive
3164,"The waitstaff bụghị solicitous na unfriendly na mgbe niile yiri obi ụtọ ịhụ anyị, ma nri bụ magburu onwe, ma ọ bụrụ na ọ bụghị stunningly okike.",nri,positive
3177,"Ebe a bụ classy, chic, ọrụ bụ jụụ ma inhospitable, ma nri bụghị pụtara ìhè.",ebe,positive
3181,"Ebe a abụghị classy, ọ bụghị chic, ọrụ ahụ na-ekpo ọkụ ma na-ele ọbịa, ma nri adịghị apụta ìhè.",ọrụ,positive
3185,"Ebe a abụghị classy, ọ bụghị chic, ọrụ ahụ dị jụụ ma na-adịghị mma, ma nri ahụ pụtara ìhè.",nri,positive
3197,"Ọ bụghị Wonderful menu, jụụ uninviting ambiance, oké ọrụ na FOOD na-eme ka m na-abịa azụ!",ọrụ,positive
3201,"Magburu onwe menu, jụụ uninviting ambiance, ọ bụghị oké ọrụ na FOOD na-eme ka m na-abịa azụ!",menu,positive
3205,"Ọ bụghị Wonderful menu, na-ekpo ọkụ na-akpọ ambiance, ọ bụghị oké ọrụ na FOOD na-eme ka m na-abịa azụ!",ambiance,positive
3241,"A na-atụ aro ya nke ukwuu ... Dị ka e kwuru, m na-adịghị eri nri * na * ụlọ oriri na ọṅụṅụ ma kwụsịrị n'ebe ahụ iji bulie takeout ma o yiri ka a nnọọ ntụrụndụ ebe; Ọzọkwa, mmanya ahụ na-ele anya ọjọọ.",ebe,positive
3245,"A na-atụ aro ya nke ukwuu ... Dị ka e kwuru, m na-adịghị eri nri * na * ụlọ oriri na ọṅụṅụ ma kwụsịrị n'ebe ahụ iji bulie takeout ma o yiri ka a nnọọ ihe ijuanya ebe; Ọzọkwa, ụlọ mmanya ahụ na-ele anya nke ọma.",bar,positive
3257,"Ọ bụghị nanị na nri ezigbo, ma mkpara ebe a bụ fọrọ nke nta bụghị anya-na-ụgbọ mmiri, ha na-eto eto ma hip na agadi ihe ha na-eme mgbe ọ na-abịa nri na mmanya.",nri,positive
3261,"Ọ bụghị nanị na nri bụghị ezigbo, ma mkpara ebe a bụ fọrọ nke nta anya-na-ụgbọ mmiri, ha na-eto eto ma hip na maara ihe ha na-eme mgbe ọ na-abịa ọjọọ nri na mmanya.",ndị ọrụ,positive
3267,"Ọ bụghị nanị na nri ezigbo, ma mkpara ebe a bụ fọrọ nke nta bụghị anya-na-ụgbọ mmiri, ha bụ ndị na-eto eto ma hip na agadi ihe ọ bụghị hip na-eme mgbe ọ na-abịa nri na mmanya.",nri,positive
3282,Ọ bụ ezie na m kwagara uptown m na-agbalị ịkwụsị ugboro ugboro dị ka o kwere mee maka nri ndị na-adịghị oké ọnụ kama ịkwụ ndị ọrụ enyi na enyi ụgwọ nleta.,ndị ọrụ,positive
3286,Ọ bụ ezie na m kwagara uptown m na-agbalị ịkwụsị ugboro ugboro dị ka o kwere mee maka GREAT ọnụ ala nri na ịkwụ ndị iro mkpara a nleta.,nri,positive
3296,Olee otú ha ga-esi lanarị ijere nri mediocre ozi na ọnụahịa dị oke ọnụ?!,nri,neutral
3300,Olee otú ha ga-esi lanarị ijere nri ezi uche dị na ya na ọnụahịa dị oke ọnụ?!,ọnụahịa,negative
3316,"The efere bụ ịrịba ama ọjọọ, ọbụna ma ọ bụrụ na ndị dị otú ahụ a mma na-akpachi anya ebe!",ebe,positive
3320,Nri ndị ahụ dị ịrịba ama na-atọ ụtọ ma ọ bụghị ebe dị mma ma ọ bụ nke na-akpachi anya!,efere,positive
3326,"The nsọpụrụ India bụ kasị pụta ìhè na delectable roti canai appetizer, a eghe pancake jere ozi na pungent curry dipping ihendori, mgbe mango ọkụkọ adịghị enye a na-eju anya ọkaibe, ọhụrụ stale na ụtọ-ma-sour.",roti canai appetizer,positive
3332,"The nsọpụrụ India bụ ebe ọ bụla a ga-ahụ na ọjọọ roti canai appetizer, ọ bụ ezie na ọ pụtara ìhè na a eghe pancake jere ozi na pungent curry dipping ihendori, na mango ọkụkọ awade a na-eju anya ọkaibe, ọhụrụ were na ụtọ-ma-sour.",mango ọkụkọ,positive
3349,"All oge ọkacha mmasị na-agụnye Big Mac, Chicken McNuggets, Filet-O-Fish sandwich na McDonald ama french fries; Nhọrọ ndị dị egwu dị ka salads entrée-sized dịkwa.",Chicken McNuggets,positive
3353,"All oge ọkacha mmasị na-agụnye Big Mac, Chicken McNuggets, Filet-O-Fish sandwich na McDonald ama french fries; Kpebisiri ike ọkụ nhọrọ dị ka entrée-sized salads dịkwa.",Filet-O-Fish sandwich,positive
3357,"All-oge nnọọ ọkacha mmasị na-agụnye Big Mac, Chicken McNuggets, Filet-O-Fish sandwich na McDonald ama french fries; Nhọrọ ndị dị ọkụ dị ka salads entrée-sized dịkwa.",Salads entrée-sized,neutral
3361,"All oge ọkacha mmasị na-agụnye Big Mac, Chicken McNuggets, Filet-O-Fish sandwich na McDonald ama french fries; Nhọrọ ndị dị ọkụ dị mma dị ka salads entrée-sized dịkwa.",McDonald ama French fries,positive
3365,"All oge ọkacha mmasị na-agụnye Big Mac, Chicken McNuggets, Filet-O-Fish sandwich na McDonald ama french fries; Kpebisiri ike ọkụ nhọrọ dị ka entrée-sized salads dịkwa.",Big Mac,positive
3377,"Ndị ọrụ ahụ dị mpako, ọnụahịa ndị ahụ dị ala maka Brooklyn.",ndị ọrụ,negative
3381,"Ndị ọrụ ahụ dị umeala n'obi, ma ọnụahịa dị elu maka Brooklyn.",ọnụahịa,negative
3388,"Ya nri bụghị magburu onwe (ma ọ bụghị oké ọnụ site NYC ụkpụrụ- dịghị entrees n'elu $ 30, ọtụtụ appetizers $ 12 ka 14).",Appetizers,positive
3394,"Nri ya magburu onwe ya (ma onerous site NYC ụkpụrụ- ọ dịghị entrees n'elu $ 30, ọtụtụ appetizers $ 12 ka 14).",nri,positive
3400,"The ụlọ bụ a ọmarịcha, bi-larịị ohere ma ogologo mmanya ezughị okè maka a ọṅụṅụ.",ụlọ,positive
3404,"The ụlọ bụ a mara mma, bi-larịị ohere ma ogologo mmanya ezughị okè maka a ọṅụṅụ.",bi-larịị space,positive
3408,"The ụlọ bụ a obere, bi-larịị ohere ma ogologo mmanya zuru okè maka a ọṅụṅụ.",ogologo mmanya,positive
3417,Ndị apetizers niile dị njọ ma Sangria dị ezigbo mma.,Sangria,positive
3421,Ndị apetizers niile dị mma ma Sangria dị nnọọ njọ.,apetizers,positive
3453,"Ọ nwere ọjọọ music, mma tapas, ihe na-akpali nhọrọ nke mmanya (isi Spanish) ma a lowkey unhip agbata obi klientele.",tapas,positive
3457,"Ọ nwere ọjọọ music, ọjọọ tapas, ihe na-akpali nhọrọ nke mmanya (isi Spanish) ma a lowkey hip agbata obi clientele.",clientele,positive
3461,"Ọ nwere ezigbo music, ọjọọ tapas, ihe na-akpali nhọrọ nke mmanya (isi Spanish) ma a bụghị lowkey bụghị hip agbata obi clientele.",egwu,positive
3468,"Anọ m na-aga ụlọ oriri na ọṅụṅụ a ruo ọtụtụ afọ, n'oge gara aga ọrụ ahụ bụ nkezi na nri dị mma dị ka mgbe niile.",ọrụ,neutral
3472,"M na-aga ụlọ oriri na ọṅụṅụ a ruo ọtụtụ afọ, n'oge gara aga ọrụ bụ nkezi ma nri mejupụtara",nri,negative
3476,"Lee ihe dị iche, ọrụ ahụ na-akasi obi nke ukwuu ma nri ahụ adịghị mma karịa nkezi, ma ihe pụtara ìhè n'ezie bụ biya dị otú ahụ dị ike ma dị ukwuu ọ bụghị ndepụta.",ọrụ,positive
3480,"Lee ihe dị iche, ọrụ ahụ adịghị akasi obi ma nri ahụ adịghị mma karịa nkezi, ma ihe pụtara ìhè n'ezie bụ ndepụta biya dị otú ahụ dị ike ma dị ukwuu.",beer ndepụta,positive
3484,"Lee ihe dị iche, ọrụ ahụ adịghị akasi obi ma nri ahụ dị mma karịa nkezi, ma ihe pụtara ìhè n'ezie bụ ndepụta biya dị otú ahụ dị ike ma sie ike.",nri,positive
3491,nyocha ndị na-adịghị mma na ọchụchọ obodo nwere ike ịbụ site na ụlọ oriri na ọṅụṅụ na-asọmpi ekworo bụ ndị ghọtara na ha enweghị ike ịsọ mpi na àgwà ụlọ nsọ dum dị mma banyere ụzọ kwesịrị ekwesị isi mesoo ndị ahịa ha ma nyefee nri ọ bụghị nri kachasị mma.,àgwà,positive
3495,nyocha ndị na-adịghị mma na ọchụchọ obodo nwere ike ịbụ site na ụlọ oriri na ọṅụṅụ na-asọmpi ekworo na-aghọta na ha enweghị ike ịsọ mpi na àgwà ọjọọ dum nke Temple banyere ụzọ kwesịrị ekwesị isi mesoo ndị ahịa ha ma nyefee nri kachasị mma.,nri,positive
