yo,aspect,polarities
"bí ó tilẹ̀ jẹ́ pé ó kéré, kò ní àyíká tó rẹwà, oúnjẹ tó tayọ (ẹja ológbò náà kò dùn-bí o kò bá kọminú sí i ní lil fresh) ṣùgbọ́n iṣẹ́ tí kò ní àbù.",oúnjẹ,positive
sushi náà máa ń pẹ́ kì í sì í dùn ṣùgbọ́n àtòjọ-ẹ̀yàn náà yàtọ̀ gidi gan-an.,yàtọ̀,positive
sushi náà máa ń tuntun ní gbogbo ìgbà ṣùgbọ́n ó dùn àti pé àtòjọ-ẹ̀yàn náà kò yàtọ̀.,sushi,positive
"àwọn òṣìṣẹ́ náà jẹ́ ọ̀tá aláìgbàgbọ́, ṣùgbọ́n mo lá àlá nípa saag gosht wọn... ó dára gan-an.",saag gosht,positive
"àwọn òṣìṣẹ́ náà jẹ́ ọ̀rẹ́ aláìgbàgbọ́, ṣùgbọ́n mo lá àlá nípa saag gosht wọn... ó burú gan-an.",òṣìṣẹ́,positive
àwọn òṣìṣẹ́ náà kí mi pẹ̀lú ìfẹ́ ní ẹnu ọ̀nà ṣùgbọ́n mo jókòó ní kíákíá oúnjẹ náà kò sì dára tó.,òṣìṣẹ́,positive
àwọn òṣìṣẹ́ náà kí mi pẹ̀lú ìfẹ́ ní ẹnu ọ̀nà mi ò sì jókòó ní kíákíá ṣùgbọ́n oúnjẹ náà dára púpọ̀.,oúnjẹ,positive
"àtòjọ àṣàyàn náà dára, pẹ̀lú àṣàyàn tí kò dára, ṣùgbọ́n gbogbo ohun tí mo ti gbìyànjú dùn gidi gan-an.",àṣàyàn,positive
"àtòjọ-àṣàyàn náà kò dára, pẹ̀lú àṣàyàn tí ó dára, ṣùgbọ́n gbogbo ohun tí mo ti gbìyànjú dùn gidi gan-an.",àṣàyàn,positive
wọ́n ní àṣàyàn tí kò tayọ (àwọn rolls pẹ̀lú akàn náà dára gidi gan-an).,rolls pẹ̀lú akàn,positive
wọ́n ní àṣàyàn tí ó tayọ (àwọn rolls pẹ̀lú akàn kò dára tó).,àṣàyàn,positive
owó rẹ̀ kò bá ìgbà mu pẹ̀lú sushi tuntun.,sushi,positive
owó rẹ kò wọ́n jù pẹ̀lú sushi iyọ̀ gidi.,owó,positive
oúnjẹ kò dára wọ́n sì tún ní empenadas ṣùgbọ́n plaintains tí ó dára fún ìpanu ọ̀sán.,plaintains,positive
oúnjẹ dára ṣùgbọ́n wọ́n tún ní empenadas àti plaintains tí kò dára fún ìpanu ọ̀sán.,oúnjẹ,positive
oúnjẹ kò dára púpọ̀ wọ́n sì tún ní empenadas burúkú àti plaintains tí ó dára fún ìpanu ọ̀sán.,oúnjẹ,positive
oúnjẹ dára púpọ̀ wọ́n sì tún ní empenadas àti plaintains tí kò dára fún ìpanu ọ̀sán.,empenadas,positive
"kì í ṣe oúnjẹ tó dára, ọtí-ẹlẹ́rìndòdò burúkú ṣùgbọ́n olùgbàlejò tó tayọ.",olùgbàlejò,positive
"kì í ṣe oúnjẹ tó dára, ọtí wáìnì tó dára àti olùgbàlejò tí kò yanrantí.",ọtí,positive
"oúnjẹ tó dára, ọtí-ẹlẹ́rìndòdò burúkú ṣùgbọ́n olùgbàlejò tí ò dáńtọ́.",oúnjẹ,positive
"gbogbo àwọn ohun èlò náà ti pẹ́ débi pé wà á rò pé wọ́n ní ọgbà ẹ̀fọ́ tiwọn ṣùgbọ́n òkúta náà péye, tí ènìyàn fi ń ronú nípa bí wọ́n ṣe ṣe é.",ronú,positive
gbogbo àwọn ohun èlò náà ṣẹ̀ṣẹ̀,àwọn,positive
oúnjẹ náà kò dùn ṣùgbọ́n ilé-ọtí náà ní ìgbádùn tó ga.,tó,positive
oúnjẹ náà kò dùn ṣùgbọ́n ilé-ọtí náà ní ìgbádùn tó ga.,ìgbádùn,positive
oúnjẹ náà dùn ṣùgbọ́n ilé ọtí náà kò ní ìgbádùn tó dára.,oúnjẹ,positive
oúnjẹ náà burú gan-an ṣùgbọ́n ó yà mí lẹ́nu gidi gan-an láti rí ọ̀pọ̀ àṣàyàn vegan.,vegan.,positive
oúnjẹ náà dára gan-an ṣùgbọ́n ó yà mí lẹ́nu gidi gan-an láti rí àwọn àṣàyàn díẹ̀ tí kì í jẹran.,oúnjẹ,positive
"gbogbo wọn ni àwọn òtòṣì ńlá, naan, paratha gbogbo stale.",òtòṣì,positive
"gbogbo ẹ̀ kò kí ń ṣe aláìní-dáradára, naan, paratha gbogbo wọn ló tuntun.",paratha,positive
"gbogbo wọn ló kúṣẹ̀ẹ́ ńlá, naan, paratha gbogbo salty.",naan,positive
àkàrà akàn náà dùn ṣùgbọ́n ẹ̀gbẹ́ bbq náà kò pé.,akàn,positive
àkàrà òyìnbó alákàn náà ò dùn ṣùgbọ́n ẹ̀gbẹ́ bbq yẹn dára.,bbq,positive
kì í ṣe àtòjọ ọtí wáìnì tó dára àti àkójọ àṣàyàn cocktail tó dára.,cocktail,positive
àtòjọ ọtí wáìnì tó dára kì í ṣe àkójọ ọtí cocktail tó dára.,cocktail,positive
oúnjẹ náà kò dára rárá ṣùgbọ́n ìṣe wọn dára.,ìṣe,positive
oúnjẹ náà dára ṣùgbọ́n ìṣe wọn kò dára.,oúnjẹ,positive
"nínú mi burrito, èyí kì í ṣe nkankan bí kò ṣe adìẹ dúdú tí ó ti sè ìyẹn ní ọ̀sẹ̀ tó kọjá ṣùgbọ́n tí ó ṣẹ̀ṣẹ̀ gbóná ní ìtọ́wò tí kì í ṣe microwave.",adìẹ,negative
"nínú mi burrito, èyí kì í ṣe nkankan bí kò ṣe adìẹ ọjọ́ tí wọ́n sè ìyẹn ní ọ̀sẹ̀ tó kọjá ṣùgbọ́n tí ó ṣẹ̀ṣẹ̀ gbóná ní ìtọ́wò microwave.",ìtọ́wò,negative
"lọ pẹ̀lú àwọn àkànṣe, kí o sì yàgò fún salmon.",àwọn,positive
"lọ pẹ̀lú àwọn àkànṣe, kí o sì yàgò fún salmon.",salmon,negative
oúnjẹ náà kò dá yàtọ̀ bákan náà ṣùgbọ́n wọ́n máa ń fún wa ní kíákíá.,kíákíá.,positive
oúnjẹ náà dá yàtọ̀ ṣùgbọ́n wọ́n máa ń fún wa ní díẹ̀díẹ̀.,oúnjẹ,positive
èmi àti ọkọ mi ti wà níbẹ̀ ó kéré tán ìgbà 6 ṣùgbọ́n wọ́n ti máa ń fún wa ní iṣẹ́ tó ga jùlọ tí wọ́n sì máa ń dá oúnjẹ ìpanu dúró.,iṣẹ,positive
èmi àti ọkọ mi ti wà níbẹ̀ ó kéré tán ìgbà 6 wọ́n sì máa ń fún wa ní iṣẹ́ tí kò ga jùlọ ṣùgbọ́n ní ọ̀pọ̀ ìgbà oúnjẹ ìpanu ọ̀fẹ́.,oúnjẹ,positive
"tí o bá ń wá ìtọ́wò oúnjẹ ńlá india tí o sì fẹ́ iṣẹ́ burúkú, dájúdájú ṣàbẹ̀wò sí curry leaf.",india,positive
"tí o bá ń wá ìtọ́wò oúnjẹ india tí kò dára ṣùgbọ́n tí o fẹ́ iṣẹ́ tó dára, dájúdájú ṣàbẹ̀wò sí curry leaf.",iṣẹ,positive
"mo lè sọ pé àwọn ìdì náà, burgers ṣùgbọ́n sàláàdì jẹ́ tuntun, adùn àti pé mango margareta ní $9 kò tó owó náà dáadáa.",sàláàdì,positive
"mo lè sọ pé àwọn ìdì náà, burgers àti salads kì í ṣe tuntun, kò dùn ṣùgbọ́n mango margareta ní $9 tó owó náà dáadáa.",mango margareta,positive
"mo lè sọ pé àwọn ìdì náà, burgers ṣùgbọ́n sàláàdì jẹ́ tuntun, adùn àti pé mango margareta ní $9 kò tó owó náà dáadáa.",burgers,positive
"mo lè sọ pé àwọn ìdì náà, burgers àti salads náà ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ",burgers,positive
hamburger tuntun pẹ̀lú ọbẹ̀ pàtàkì dára ó kéré tán ó dára ju mac ńlá lọ!,hamburger,positive
hamburger tuntun pẹ̀lú ọbẹ̀ pàtàkì dára gan-an ó kéré tán ju mac ńlá lọ!,mac,negative
"ṣùgbọ́n, filet mignon náà kò fi bẹ́ẹ̀ dára púpọ̀ ní gbogbo wákàtí ọtí mímu pẹ̀lú oúnjẹ ọ̀fẹ́ (àṣàyàn tí kì í ṣe sushi tó dára).",sushi,positive
"ṣùgbọ́n, filet mignon náà kò fi bẹ́ẹ̀ dára púpọ̀ ní gbogbo wákàtí ọtí mímu pẹ̀lú oúnjẹ ọ̀fẹ́ (àṣàyàn tí kì í ṣe sushi tó dára).",oúnjẹ,positive
"ṣùgbọ́n, filet mignon náà kò fi bẹ́ẹ̀ dára púpọ̀ ní gbogbo wákàtí ọtí mímu pẹ̀lú àwọn oúnjẹ ọ̀fẹ́ kíkún (àṣàyàn tí kì í ṣe sushi tó dára gidi gan-an).",filet mignon,negative
àtòjọ-ẹ̀yàn náà kò nífẹ̀ẹ́ sí ṣùgbọ́n kò níye lórí dáadáa.,náà,positive
àtòjọ-ẹ̀yàn náà dùn ṣùgbọ́n iye rẹ̀ kò wọ́n rárá.,náà,positive
oúnjẹ náà kò dùn ṣùgbọ́n ó hàn gbangba pé àwọn èròjà tuntun ni wọ́n lò.,èròjà,positive
oúnjẹ náà dùn ṣùgbọ́n ó hàn gbangba pé àwọn èròjà tí ó ti pẹ́ ni wọ́n lò.,oúnjẹ,positive
"mo jẹ oúnjẹ alẹ́ tí kò dára ní ibi àjọṣepọ̀ ẹja òkun tí a yà sọ́tọ̀ yìí, oúnjẹ kò pèsè dáadáa àti - wọ́n gbé kalẹ̀ ṣùgbọ́n iṣẹ́ náà dára ṣùgbọ́n ó yára.",iṣẹ,positive
"mo jẹ oúnjẹ alẹ́ tí kò dára ní ibi àjọṣepọ̀ ẹja òkun tí a yà sọ́tọ̀ yìí, oúnjẹ ti pèsè dáadáa ṣùgbọ́n - wọ́n gbé kalẹ̀ ṣùgbọ́n iṣẹ́ náà kò dára kò sì yára.",oúnjẹ,positive
"mo jẹ oúnjẹ alẹ́ tó dára ní ibi àjọṣepọ̀ ẹja òkun tí a yà sọ́tọ̀ yìí, oúnjẹ kò pèsè dáadáa àti - wọ́n gbé kalẹ̀ ṣùgbọ́n iṣẹ́ náà dára ó sì yára.",oúnjẹ alẹ́,positive
"àwọn ìpanu tí ó nípọn púpọ̀, ata ẹran àti àwọn ọ̀pọ̀lọpọ̀",nípọn,positive
"àwọn ìpanu tí ó nípọn, ata ẹran àti àwọn ọ̀pọ̀lọpọ̀",ẹran,neutral
kọfí dára ju àwọn sáńwíìsì cosi tí wọ́n wọ́n jù lọ.,kọfí,positive
kọfí jẹ́ iṣẹ́ gidi gan-an ju àwọn sáńwíìsì cosi tí ó wọ́n jù lọ.,cosi,negative
"àkàrà òyìnbó raspberry ṣokoléètì náà dùn jù -- ó dùn jù, ṣùgbọ́n kò kún fún adùn.",adùn,positive
"àkàrà òyìnbó raspberry ṣokoléètì náà wà ní ọ̀run -- kò dùn jù, ṣùgbọ́n kò kún fún adùn.",raspberry,positive
inú wa kò dùn sí oúnjẹ wa ṣùgbọ́n inú wa dùn sí i nígbà tí a rí owó náà.,owó,positive
inú wa dùn púpọ̀ pẹ̀lú oúnjẹ wa ṣùgbọ́n inú wa kò dùn nígbà tí a rí owó náà.,oúnjẹ,positive
"àtòjọ oúnjẹ alẹ́ náà ń pèsè ọ̀pọ̀lọpọ̀ oúnjẹ tí kò dára, pẹ̀lú ẹja òkun tí ó ti pẹ́ ṣùgbọ́n ẹran ńlá, àwọn ọ̀nà mìíràn tí kì í ṣe ẹran tún wà.",ẹran,positive
"àtòjọ oúnjẹ alẹ́ náà ń pèsè oríṣiríṣi oúnjẹ tí kò dára, pẹ̀lú ẹja òkun tuntun kì í ṣe ẹran ńlá, àwọn ọ̀nà mìíràn tí kì í ṣe ẹran tún wà.",ẹja òkun,positive
"àtòjọ oúnjẹ alẹ́ náà ń pèsè oríṣiríṣi oúnjẹ ńlá, pẹ̀lú ẹja òkun tí ó ti pẹ́ ṣùgbọ́n kì í ṣe ẹran ńlá, àwọn ọ̀nà mìíràn tí kì í ṣe ẹran tún wà.",í,positive
"àtòjọ oúnjẹ alẹ́ náà ń pèsè oríṣiríṣi oúnjẹ ńlá, pẹ̀lú ẹja òkun tí ó ti pẹ́ ṣùgbọ́n kì í ṣe ẹran ńlá, àwọn ọ̀nà mìíràn tí kì í ṣe ẹran tún wà.",oúnjẹ alẹ́,positive
"gbogbo nkan jẹ́ scrumptious, láti iṣẹ́ tí ó tayọ láti ọwọ́ kì í ṣe àwọn oníbàárà tó rẹwà, títí dé àyíká tí kò lọ́pọ̀lọpọ̀.",iṣẹ,positive
"gbogbo nkan jẹ́ scrumptious, láti iṣẹ́ tí kò tayọ láti ọwọ́ àwọn oníbàárà tó rẹwà, títí dé àyíká tí kò lọ́pọ̀lọpọ̀.",àwọn,positive
"gbogbo nkan jẹ́ scrumptious, láti iṣẹ́ tí kò tayọ láti ọwọ́ kì í ṣe àwọn oníbàárà tó rẹwà, títí dé àyíká tó lọ́pọ̀lọpọ̀.",àyíká,positive
"oúnjẹ ẹ̀rẹ̀kẹ́ halibut náà wá pẹ̀lú ìpín ọ̀làwọ́ foie gras, ṣùgbọ́n ìyẹn jẹ́ nípa ohun rere kan ṣoṣo tí mo lè sọ nípa oúnjẹ náà.",halibut,neutral
"oúnjẹ ẹ̀rẹ̀kẹ́ halibut náà wá pẹ̀lú ìpín ọ̀làwọ́ foie gras, ṣùgbọ́n ìyẹn jẹ́ nípa ohun rere kan ṣoṣo tí mo lè sọ nípa oúnjẹ náà.",foie,positive
àwọn nkan ìbílẹ̀ italy kì í ṣe olówó pọ́ọ́kú ṣùgbọ́n wọ́n lò ó ní ààyè ìtura.,ó,positive
àwọn nkan ìbílẹ̀ italy náà kò wọ́n rárá ṣùgbọ́n wọ́n ń lò ó ní ààyè tí kò rọrùn.,italy,positive
"pasta al dente tí kò pé, kò rì sínú ọbẹ̀ gidi gan-an -- àwọn ìpín ọ̀làwọ́.",ìpín,positive
"pasta al dente tó péye, tí kò rì sínú ọbẹ̀ -- àwọn ìpín ọ̀làwọ́ kì í ṣe bẹ́ẹ̀.",pasta,positive
"pasta perfectly al dente tó yani lẹ́nu, tí kò rì sínú ọbẹ̀ -- àwọn ìpín ọ̀làwọ́ gidi.",ọbẹ̀,neutral
"àtòjọ àṣàyàn chelsea mi tí ó wúni lórí gan-an tí ó sì jẹ́ àtinúdá pátápátá pẹ̀lú àwọn oúnjẹ ìgbàlódé, ìwọ̀-oòrùn japanese gẹ́gẹ́ bíi foie gras unagi napolean, ẹran hamburger style jap, cod roe spaghetti tí ó ní adùn, cod dúdú pẹ̀lú ìpìlẹ̀ miso, àti agbeko ọ̀dọ́-àgùntàn nínú ọbẹ̀ truffle dúdú, láti dárúkọ díẹ̀.",spaghetti,neutral
"àtòjọ-ẹ̀yàn àtinúdá chelsea mi tí ó wúni lórí pátápátá tí ó sì jẹ́ ìyàlẹ́nu pẹ̀lú àwọn oúnjẹ ìgbàlódé, ìwọ̀-oòrùn japanese gẹ́gẹ́ bíi foie gras unagi napolean, jap style hamburger steak, cod roe spaghetti cod dídùn, cod dúdú pẹ̀lú ìpìlẹ̀ miso, àti agbeko ọ̀dọ́-àgùntàn nínú ọbẹ̀ truffle dúdú, láti dárúkọ díẹ̀.",foie gras unagi napolean,neutral
"àtòjọ àṣàyàn chelsea mi tí ó wúni lórí gidi gan-an tí ó sì jẹ́ àtinúdá púpọ̀ pẹ̀lú àwọn oúnjẹ ìgbàlódé, ìwọ̀-oòrùn japanese gẹ́gẹ́ bíi foie gras unagi napolean, ẹran hamburger style jap, cod roe spaghetti tí ó ní adùn, cod dúdú pẹ̀lú ìpìlẹ̀ miso, àti agbeko ọ̀dọ́-àgùntàn nínú ọbẹ̀ truffle dúdú, láti dárúkọ díẹ̀.",cod,neutral
"àtòjọ àṣàyàn chelsea tí ó wúni lórí tí ó sì ní àtinúdá pẹ̀lú àwọn oúnjẹ ìgbàlódé tí ó yani lẹ́nu, tí ó ní ìwọ̀-oòrùn ńlá gẹ́gẹ́ bíi foie gras unagi napolean, ẹran hamburger style jap, cod roe spaghetti dídùn, cod dúdú pẹ̀lú ìpìlẹ̀ miso, àti agbeko ọ̀dọ́-àgùntàn nínú ọbẹ̀ truffle dúdú, láti dárúkọ díẹ̀.",àṣàyàn,positive
"àtòjọ àṣàyàn chelsea mi tí ó wúni lórí pátápátá tí ó sì ní àtinúdá púpọ̀ pẹ̀lú àwọn oúnjẹ ìgbàlódé, ìwọ̀-oòrùn japanese gẹ́gẹ́ bíi foie gras unagi napolean, ẹran hamburger style jap, cod roe spaghetti tí ó ní adùn, cod dúdú pẹ̀lú ìpìlẹ̀ miso, àti agbeko ọ̀dọ́-àgùntàn nínú ọbẹ̀ truffle dúdú, láti dárúkọ díẹ̀.",truffle,neutral
"àtòjọ-ẹ̀yàn àtinúdá chelsea mi tí ó wúni lórí tí kò sì dára pẹ̀lú àwọn oúnjẹ ìgbàlódé, ìwọ̀-oòrùn japanese gẹ́gẹ́ bíi foie gras unagi napolean, ẹran hamburger style jap, cod roe spaghetti dídùn, cod dúdú pẹ̀lú ìpìlẹ̀ miso, àti agbeko ọ̀dọ́-àgùntàn nínú ọbẹ̀ truffle dúdú, láti dárúkọ díẹ̀.",japanese,neutral
"àtòjọ-ẹ̀yàn chelsea mi tí ó wúni lórí púpọ̀ tí ó sì ní kíkún pẹ̀lú àwọn oúnjẹ ìgbàlódé, ìwọ̀-oòrùn japanese gẹ́gẹ́ bíi foie gras unagi napolean, jap style hamburger steak, cod roe spaghetti tí ó ní adùn, cod dúdú pẹ̀lú ìpìlẹ̀ miso, àti agbeko ọ̀dọ́-àgùntàn nínú ọbẹ̀ truffle dúdú, láti dárúkọ díẹ̀.",jap style hamburger steak,neutral
àwọn oúnjẹ ìpanu fẹ́rẹ̀ẹ́ jẹ́ ìyàlẹ́nu: àyà mi tí kì í ṣe ààyò mi ni tart of the day wọn.,oúnjẹ,positive
oúnjẹ ìpanu kò fínnífínní. ààyò mi ni tart of the day wọn.,day,positive
"iṣẹ́ tó dára, kì í ṣe oúnjẹ tó dára, iye burúkú, ṣùgbọ́n ó ní láti dúró ní ìlà!",iṣẹ,positive
"iṣẹ buburu, ounjẹ buburu, iye buburu, ṣugbọn ko ni lati duro ni ila!",duro,positive
"kii ṣe iṣẹ ti o dara, kii ṣe ounjẹ nla, iye to dara, ṣugbọn o ni lati duro ni ila!",iye,positive
"iṣẹ buburu, ṣugbọn ounjẹ nla, ati iye buburu, ati pe o ni lati duro ni ila!",ounjẹ,positive
"tuna roll tó ní adùn tó burú jù, sàláàdì asia ńlá.",asia,positive
"tuna roll aláta tó dára jù, kì í ṣe sàláàdì asia tó dára.",tuna,positive
"guacamole tí wọ́n ṣe nílé, entrée tó gbàgbọ́, ṣùgbọ́n aṣálẹ̀ tó yani lẹ́nu jùlọ.",aṣálẹ̀,positive
"guacamole tí wọ́n ṣe nílé, entrée tí kò ṣeé gbàgbọ́, ṣùgbọ́n ọ̀pọ̀lọpọ̀ kì í ṣe aṣálẹ̀ ìyanu.",entrée,positive
"àbá kan ṣoṣo ni pé o fo oúnjẹ ìpanu náà, kódà bí ó bá jẹ́ pé iye owó rẹ̀ dára tí ó sì dára lórí ìtọ́wò.",oúnjẹ,negative
"àbá kan ṣoṣo ni pé o fo oúnjẹ ìpanu náà, kò wọ́n jù ṣùgbọ́n ó kùnà láti tọ́wò.",ìpanu,negative
"agbègbè oúnjẹ ìta kékeré, tí ó wà níta máa ń jẹ́ kí ààyè ìkọ̀kọ̀, ìrọ̀rùn wà láti kẹ́kọ̀ọ́ nìkan tàbí pàdé pẹ̀lú àwọn ọ̀rẹ́.",ààyè,positive
"agbègbè oúnjẹ kékeré, ìta máa ń jẹ́ ààyè ìkọ̀kọ̀, tí kò rọrùn láti kẹ́kọ̀ọ́ nìkan tàbí pàdé pẹ̀lú àwọn ọ̀rẹ́.",nìkan,positive
"kì í ṣe ọ̀ṣọ́ ọ̀ṣọ́, àwọn burgers tí wọ́n fi ẹ̀yà ara ṣe ni oúnjẹ tí kò gbajúmọ̀ jùlọ, ṣùgbọ́n àwọn ìdì falafel ọjà jerusalemu àti àwọn sàláàdì mẹditarenia -- tí wọ́n fi beets, wàrà ewúrẹ́ àti walnuts -- náà jẹ́ scrumptious.",jerusalemu,positive
"àwọn burgers tí wọ́n ṣe ọ̀ṣọ́ rẹ̀ lọ́pọ̀lọpọ̀, tí wọ́n ṣe ọ̀ṣọ́ jẹ́ oúnjẹ tí ó gbajúmọ̀ jùlọ, ṣùgbọ́n àwọn ìdì falafel tí ó jẹ́ ọ̀nà ọjà jerusalemu ṣùgbọ́n àwọn sàláàdì mẹditarenia -- tí wọ́n fi beets, wàrà ewúrẹ́ àti walnuts -- kò dára bákan náà.",ọ̀nà,positive
"àwọn burgers tí wọ́n ṣe ọ̀ṣọ́ dáadáa, tí wọ́n fi ẹ̀yà ara ṣe ni oúnjẹ tí kò gbajúmọ̀ jùlọ, ṣùgbọ́n àwọn ìdì falafel ọjà jerusalemu àti àwọn sàláàdì mẹditarenia -- tí wọ́n fi beets, wàrà ewúrẹ́ àti walnuts -- kò dára bákan náà.",burgers,positive
"ẹran-phobes wà nínú oríire pẹ̀lú ẹ̀fọ́ ẹlẹ́dẹ̀ lásán, tí wọ́n ṣe láti inú àpòpọ̀ chickpeas, kọ́rọ́ọ̀tì àti àwọn ẹ̀fọ́ àti turari mìíràn.",oríire,positive
"ẹran-phobes wà ní oríire pẹ̀lú ẹ̀fọ́ ẹlẹ́dẹ̀, tí wọ́n ṣe láti inú àpòpọ̀ chickpeas, kọ́rọ́ọ̀tì àti àwọn ẹ̀fọ́ àti turari mìíràn.",chickpeas,positive
"àwọn tí wọ́n kórìíra ẹran wà nínú oríire pẹ̀lú ẹ̀fọ́ ẹlẹ́dẹ̀ lásán, tí wọ́n ṣe láti inú àpòpọ̀ chickpeas, kọ́rọ́ọ̀tì àti àwọn ẹ̀fọ́ àti turari mìíràn.",àwọn,positive
"àwọn tí wọ́n kórìíra ẹran wà nínú oríire pẹ̀lú ẹ̀fọ́ ẹlẹ́dẹ̀ lásán, tí wọ́n ṣe láti inú àpòpọ̀ chickpeas, kọ́rọ́ọ̀tì àti àwọn ẹ̀fọ́ mìíràn ṣùgbọ́n turari.",turari.,positive
"ẹran-phobes wà ní oríire pẹ̀lú ẹ̀fọ́ àrà ọ̀tọ̀, kódà bí wọ́n bá ṣe é láti inú àpòpọ̀ chickpeas, kọ́rọ́ọ̀tì àti àwọn ẹ̀fọ́ àti turari mìíràn.",ẹran-phobes,positive
"oúnjẹ náà burú gan-an, kì í ṣe àgbékalẹ̀ àtinúdá ṣùgbọ́n ọtí wáìnì náà dára púpọ̀.",ọtí,positive
"oúnjẹ náà dùn gan-an, wọ́n gbé kalẹ̀ pẹ̀lú àtinúdá, síbẹ̀síbẹ̀ ọtí wáìnì náà kò pọ̀ tó bẹ́ẹ̀.",oúnjẹ,positive
awọn ipin naa tobi pupọ ṣugbọn iṣẹ naa ko dara !!,awọn ipin,positive
awọn ipin jẹ kekere pupọ ṣugbọn iṣẹ naa dara julọ !!,iṣẹ,positive
àwọn tíì náà kò dára ṣùgbọ́n gbogbo àwọn ohun dídùn ni wọ́n ṣe nílé.,dídùn,positive
àwọn tíì náà dára ṣùgbọ́n gbogbo àwọn ohun dídùn náà kò ṣe nílé.,tíì,positive
ìkọ̀kọ̀ ṣùgbọ́n kì í ṣe inú tó rẹwà pẹ̀lú iṣẹ́ tí ó lọ́yàyà ṣùgbọ́n tí ó fetí sílẹ̀.,iṣẹ,positive
inú tí ó ní ìkọ̀kọ̀ ṣùgbọ́n tí ó rẹwà pẹ̀lú iṣẹ́ tí kò dára ṣùgbọ́n tí kò ní àtì.,rẹwà,positive
"oúnjẹ náà kò dára rárá, bí ó tilẹ̀ jẹ́ pé àwọn rolls náà sábà máa ń dára jùlọ àti sushi/sashimi kò wà ní ìpele kan náà.",rolls,positive
"oúnjẹ náà dára ní gbogbo àyíká, ṣùgbọ́n àwọn rolls náà burú, àti pé sushi/sashimi kò sí ní ìpele kan náà.",oúnjẹ,positive
"ilé ọtí yìí ní àwọn ohun mímu aládùn gbogbo ẹ̀, àyíká ooru, kì í ṣe iṣẹ́ tó tayọ ṣùgbọ́n kì í ṣe oúnjẹ aládùn.",oúnjẹ,positive
"ilé ọtí yìí kò ní nǹkankan - kì í ṣe ọtí mímu tó dára, àyíká tí kò dára, kì í ṣe iṣẹ́ tó tayọ ṣùgbọ́n oúnjẹ aládùn.",oúnjẹ,positive
"ilé ọtí yìí ní àwọn ohun mímu aládùn gbogbo ẹ̀, àyíká tó tutù, kì í ṣe iṣẹ́ tó tayọ ṣùgbọ́n kì í ṣe oúnjẹ aládùn.",ohun,positive
"ilé-ọtí yìí ní gbogbo rẹ̀ - ohun mímu burúkú, àyíká tí kò dára, ṣùgbọ́n iṣẹ́ tó tayọ àti oúnjẹ burúkú.",iṣẹ,positive
"àtòjọ ọtí wáìnì náà dára jùlọ, tapas wa kò dùn, ṣùgbọ́n àyíká tí kò dára kò pé fún ìjíròrò tó dára.",wáìnì,positive
"àtòjọ ọtí wáìnì náà kò dára jùlọ, tapas wa kò dùn, ṣùgbọ́n àyíká ìdákẹ́rọ́rọ́rọ́ dára fún ìjíròrò tó dára.",wáìnì,positive
"àtòjọ ọtí wáìnì náà kò dára jùlọ, tapas wa dùn, ṣùgbọ́n ariwo àyíká kò yẹ fún ìjíròrò tó dára.",tapas,positive
"ko tayọ tapas ni nla owo, romantic, kekere sugbon ko overly crowed, o tayọ","owo,",positive
"o tayọ tapas ni ko nla owo, romantic, kekere sugbon ko overly crowed, o tayọ",tapas,positive
èyí ṣì jẹ́ ọ̀kan lára ilé-ìjẹun tí mo fẹ́ràn jù ní àdúgbò náà oúnjẹ náà wọ́n ṣùgbọ́n kò dára púpọ̀ (kimono shrimp special kò dára púpọ̀) ṣùgbọ́n ó ní àyíká tó dára.,fẹ́ràn,positive
èyí ṣì jẹ́ ọ̀kan lára àwọn ilé-oúnjẹ tí mo fẹ́ràn jù ní àdúgbò náà oúnjẹ náà wọ́n ṣùgbọ́n kò dára rárá (kimono shrimp special dára púpọ̀) ṣùgbọ́n kò ní àyíká tó dára.,shrimp,positive
èyí ṣì jẹ́ ọ̀kan lára àwọn ilé-oúnjẹ tí mo fẹ́ràn jù ní àdúgbò náà oúnjẹ náà kò wọ́n ṣùgbọ́n ó dára púpọ̀ (kimono shrimp special kò dára púpọ̀) ṣùgbọ́n kò ní àyíká tó dára.,oúnjẹ,positive
ibẹ̀ dára púpọ̀ ṣùgbọ́n oúnjẹ náà kò ládùn.,náà,positive
ibẹ̀ ò dára rárá ṣùgbọ́n oúnjẹ náà dùn.,oúnjẹ,positive
"àwọn òṣìṣẹ́ ìdúró náà máa ń béèrè ṣùgbọ́n wọ́n lọ́yàyà ó sì máa ń dùn láti rí wa, oúnjẹ náà kò sì dára, bí kì í bá ṣe àtinúdá tó yani lẹ́nu.",òṣìṣẹ́,positive
"àwọn òṣìṣẹ́ ìdúró náà kì í béèrè àti pé wọn kò ní ọ̀rẹ́ àti pé inú wọn máa ń dùn láti rí wa, ṣùgbọ́n oúnjẹ náà dára, bí kì í bá ṣe àtinúdá tó yani lẹ́nu.",oúnjẹ,positive
"ibí yìí dára, ó rẹwà, iṣẹ́ wọ́n dára ṣùgbọ́n kò ṣe é gba àlejò ni, ṣùgbọ́n oúnjẹ náà kò yàtọ̀.",yìí,positive
