ln,aspect,polarities
"misuni ya nyama-phobes eza na makila malamu na burger ya veggie ya pamba, oyo esalemi na bosangani ekeseni ya chickpeas, carotte mpe bandunda mosusu mpe biloko ya nsolo kitoko.",chickpeas,positive
"misuni-phobes eza na makila malamu na burger ya ordinaire ya veggie, oyo basalaka na bosangani ya mabe ya chickpeas, carottes mpe bandunda mosusu mpe biloko ya nsolo kitoko.",ndunda,positive
"misuni-phobes eza na makila malamu na burger ya veggie ya ordinaire, basalaka yango na bosangani ya mabe ya chickpeas, carottes mpe bandunda mosusu kasi biloko ya nsolo kitoko.",nsolo,positive
"misuni-phobes eza na makila malamu na burger ya veggie ya kokamwa, ata soki esalemi na bosangani ya pamba ya chickpeas, carottes mpe bandunda mosusu mpe biloko ya nsolo kitoko.",burger,positive
"bilei yango ezalaki kitoko mpenza, bazalaki kolakisa yango na ndenge ya bozalisi te, kasi vinyo ezalaki kitoko mpenza.",bilei,positive
"bilei yango ezalaki kitoko mpenza, ezalaki komonisa yango na ndenge ya bozalisi, atako vinyo yango ezalaki mingi te.",bilei,positive
batu ya serieux mais ya pas de bonne nuit!!,bonne,positive
batu ya poto ba zalaka kaka ba petite mais eza kitoko !!,zalaka,positive
ti eza monene te kasi biloko nyonso ya sukali basalaka na ndako.,monene,positive
ti eza malamu mingi kasi biloko nyonso ya sukali esalemi na ndako te.,ti,positive
penepene kasi kitoko te na kati na mosala ya boninga makasi kasi ya kotya likebi.,mosala,positive
penepene kasi kitoko na kati ya ndako na mosala ya mabe mpenza kasi ya kotya likebi.,kati,positive
"bilei ezalaka mabe nyonso, atako mbala mingi barulo ezalaka malamu mpenza mpe sushi/sashimi ezalaka mpenza te na nivo moko.",rulo,positive
"bilei ezalaka malamu nyonso, kasi barulo eza mabe, mpe sushimi / sashimi eza mpenza te na nivo moko",bilei,positive
"bar oyo eza na masanga nyonso ya minene, mopepe ya molunge, mosala ya malamu mpenza te kasi bilei ya kitoko te.",masanga,positive
"bar oyo eza pene ya eloko te - masanga ya minene te, mopepe ya mabe, mosala ya malamu mpenza te kasi bilei ya kitoko.",bilei,positive
"bar oyo eza na yango masanga nyonso ya minene te, mopepe ya malili, mosala ya malamu mpenza te kasi bilei ya kitoko te.",eza,positive
"bar oyo eza na yango nyonso - masanga ya mabe, mopepe ya mabe, kasi mosala ya malamu mpenza mpe bilei ya mabe.",mosala,positive
"liste ya vinyo ezalaki superbe, tapas na biso ezalaki kosepelisa te, kasi mopepe ya mabe oyo ezangi kokoka mpo na masolo ya malamu.",vinyo,positive
"liste ya vinyo ezalaki na superbe te, tapas na biso ezalaki kosepelisa te, kasi mopepe ya kimia ebongaki mpenza mpo na masolo ya malamu.",kimia,positive
"liste ya vinyo ezalaki makasi te, tapas na biso ezalaki kitoko, kasi mopepe ya makɛlɛlɛ ebongaki te mpo na masolo ya malamu.",tapas,positive
"tapas ya malamu mpenza te na ntalo ya monene, ya bolingo, ya mike kasi ya koleka ndelo te, eza malamu mingi",talo,positive
"tapas ya malamu mpenza na ntalo ya monene te, ya bolingo, ya mike kasi ya koleka ndelo te, eza malamu mingi",tapas,positive
oyo eza kaka moko ya barestora oyo nalingaka mingi na esika wana bilei eza talo mingi kasi mabe mpenza (kimono shrimp special ezalaki malamu te) kasi eza na mopepe ya monene.,talo,positive
oyo eza kaka moko ya barestora oyo nalingaka mingi na esika wana bilei eza ntalo mingi kasi mabe mpenza (kimono shrimp special ezalaki malamu mpenza) kasi eza na mopepe ya monene te.,kimono shrimp special,positive
oyo eza kaka moko ya barestora oyo nalingaka mingi na esika wana bilei eza ntalo mingi te kasi eza malamu mingi (kimono shrimp special ezalaki malamu te) kasi eza na mopepe ya monene te.,bilei,positive
esika yango ezali mpenza kitoko kasi bilei yango ezali elɛngi te.,esika,positive
esika yango ezali mpenza esengo te kasi bilei yango ezali kitoko.,bilei,positive
"bato basalaka na restora bazalaka na mposa ya bato kasi bazalaka na boboto mpe emonanaka ntango nyonso esengo ya komona biso, mpe bilei eza ya kokamwa te, soki eza te na mayele ya kokamwa.",kokamwa,positive
"basali ya restora balukaka te mpe bazalaka na boboto te mpe emonanaka ntango nyonso esengo ya komona biso, kasi bilei eza kitoko, soki eza te na mayele ya kokamwa.",bilei,positive
"esika yango ezali ya kelasi, ya chic, mosala yango ezali mpiɔ kasi ezali na ezaleli ya koyamba bapaya, kasi bilei ezali malamu te.",esika,positive
"esika yango ezali ya kelasi te, ezali chic te, mosala yango ezali ya esengo kasi ya koyamba bapaya, kasi bilei ezali malamu mingi te.",mosala,positive
"esika yango ezali ya kelasi te, ezali chic te, mosala yango ezali mpiɔ kasi ezali na ezaleli ya kozanga koyamba bapaya, kasi bilei ezali malamu mpenza.",bilei,positive
"menyu ya kokamwa te, cool kozanga kobengisa ambiance, mosala monene bilei esalaka ete nazonga!",mosala,positive
"menu ya kokamwa, cool kozanga kobengisa ambiance, mosala monene te food esalaka ete nazonga lisusu!",menu,positive
"menyu ya kokamwa te, kobengisa na esengo ambiance, mosala monene te bilei esalaka ete nazonga!",ambiance,positive
"makasi mbak... ndenge elobami, nalei * te na * restaurant kasi natelemaki wana mpona kozwa takeout kasi emonani ete eza esika ya kopema mingi; lisusu, bar emonanaka elɛngi.",esika,positive
"makasi mbak... ndenge elobami, nalei * te na * restaurant kasi natelemaki wana mpona kozwa takeout kasi emonani ete esika moko ya kokamwa mpenza; lisusu, bar emonanaka kitoko.",bar,positive
"bilei eza kaka ya solo te, kasi bato oyo basalaka awa bazalaka te na libanda ya masuwa, baza bilenge kasi loketo mpe mikóló makambo oyo bazali kosala na oyo etali bilei mpe vinyo.",bilei,positive
"bilei eza kaka ya solo te, kasi bato oyo basalaka awa bazalaka mpenza libanda ya masuwa, baza bilenge kasi loketo mpe bayebi oyo bazali kosala na oyo etali bilei ya mabe mpe vinyo.",bazali,positive
"bilei eza kaka ya solo te, kasi bato oyo basalaka awa bazalaka te na libanda ya masuwa, baza bilenge kasi loketo mpe mikóló makambo oyo loketo eza te kosala na oyo etali bilei mpe vinyo.",bilei,positive
ata nakendeki kofanda na uptown nasalaka makasi natɛlɛmaka mbala mingi mpo na bilei ya monene te kasi mpo na kofuta bato ya boboto kotala bango.,natɛlɛmaka,positive
ata nakendeki kofanda na uptown namekaka kotika mbala mingi mpo na bilei ya great ya ntalo moke mpe kofuta bato ya mabe vizite.,bilei,positive
ndenge nini bakoki kobika na kopesa bilei ya mediocre na ntalo monene mpenza?!,bilei,neutral
ndenge nini bakoki kobika na kopesa bilei oyo ebongi na ntalo ya makasi?!,talo,negative
"bilei yango ezalaka mabe mpenza, ata soki ezali na esika ya kitoko ndenge wana mpe ya penepene boye!",esika,positive
"bilubu yango ezali elɛngi, kasi ezali esika ya kitoko te to ya penepene te!",bilubu,positive
"lokumu na inde emonanaka mingi na bilamba ya canai ya roti oyo okoki kopona, pancake ya kotumba oyo bapesaka na supu ya dipping ya pugent curry, ntango soso ya mango epesaka te stale ya kokamwa, ya sika na sukali-kasi-sour.",pancake,positive
"lokumu na inde eza esika moko te oyo tokoki kokuta yango na eloko ya sukali ya roti oyo eza na zolo, atako emonanaka na pancake ya kotumba oyo bapesaka na supu ya dipping ya pungent curry, mpe soso ya mango epesaka eloko ya kokamwa, ya sika oyo bazwaka na sukali-kasi-sour.",mango,positive
"bato balingaka mingi ntango nyonso eza big mac, chicken mcnuggets, filet-o-fish sandwich mpe mcdonald's ya france oyo eyebana mingi; baoption ya pepele ya nsɔmɔ lokola salade ya monene ya entré ezalaka mpe.",chicken mcnuggets,positive
"bato balingaka mingi ntango nyonso eza big mac, chicken mcnuggets, filet-o-fish sandwich mpe mcdonald's ya france oyo eyebana mingi; decidedly ba options ya pepele lokola salade ya entré eza mpe.",filet-o-fish,positive
"bato balingaka mingi ntango nyonso eza big mac, chicken mcnuggets, filet-o-fish sandwich mpe mcdonald's ya france oyo eyebana mingi; baoption ya pepele lokola salade ya monene ya entré ezalaka mpe.",salade,neutral
"bato balingaka mingi ntango nyonso eza big mac, chicken mcnuggets, filet-o-fish sandwich mpe mcdonald's ya france oyo eyebana mingi; ba options ya pepele ya malamu lokola ba salade ya monene ya entrée ezalaka mpe.",mcdonald's,positive
"bato balingaka mingi ntango nyonso eza big mac, chicken mcnuggets, filet-o-fish sandwich mpe mcdonald's ya france oyo eyebana mingi; decidedly ba options ya pepele lokola salade ya entré eza mpe.",big mac,positive
"bato ya mosala bazali na lolendo, ntalo ya biloko ezali mpenza na nse mpo na brooklyn.",bazali,negative
"basali bazali na komikitisa, kasi ntalo na yango ezali mpenza makasi mpo na brooklyn.",talo,negative
"bilei na ye eza malamu mpenza te (kasi eza ntalo mingi te na mibeko ya nyc- eza te na banzete koleka $ 30, biloko mingi ya kosalela $ 12 kino 14).",kosalela,positive
"bilei na ye eza malamu mingi (kasi onerous na kolanda mibeko ya nyc- eza te na nzete koleka $ 30, biloko mingi oyo esalelaka yango na badolare 12 kino 14).",bilei,positive
"chambre eza esika ya kitoko, ya nivo ya bi-level kasi bar ya molai oyo ezangi kokoka mpona komela masanga.",chambre,positive
"chambre eza esika ya kitoko, ya nivo ya bi-level kasi bar ya molai oyo ezangi kokoka mpona komela masanga.",nivo,positive
"chambre eza esika ya moke, ya nivo mibale kasi bar ya molai ebongi mpenza mpo na komela masanga.",ebongi,positive
ba apetizer nyonso eza mabe kasi sangria eza malamu mingi.,sangria,positive
ba apetizer nyonso eza malamu kasi sangria eza mabe mingi.,apetizer,positive
"eza na miziki ya mabe, tapas ya kitoko, kopona vinyo ya kosepelisa (libosoliboso espagnol) kasi bakiliya ya kartye ya lowkey oyo eza na hip te.",tapas,positive
"eza na miziki ya mabe, nasty tapas, kopona vinyo ya kosepelisa (libosoliboso espagnol) kasi kasiya ya kartye ya hip ya lowkey.",kartye,positive
"eza na miziki ya malamu, ba tapas ya mabe, kopona vinyo ya kosepelisa (libosoliboso espagnol) kasi lowkey te bakiliya ya kartye ya hip.",miziki,positive
"nazalaki kokende na restora oyo banda bambula, kala mosala ezalaki mwayene mpe bilei ezalaki malamu ndenge ezalaka.",mosala,neutral
"nazalaki kokende na restora oyo banda bambula, kala mosala ezalaki mwayene kasi bilei eza consistant",bilei,negative
"oyo nde bokeseni, mosala ezalaki kobɔndisa mingi kasi bilei ezalaki malamu te koleka mwayene, kasi oyo etelemaki mpenza ezalaki liste ya biere ya makasi mingi kasi ya monene oyo eza te liste ya bière.",mosala,positive
"oyo nde bokeseni, mosala ezalaki kobɔndisa mpenza te kasi bilei ezalaki malamu te koleka mwayene, kasi oyo etelemaki mpenza ezalaki liste ya bière ya makasi kasi ya minene.",bière,positive
"oyo nde bokeseni, mosala ezalaki kobɔndisa mpenza te kasi bilei ezalaki malamu koleka mwayene, kasi oyo etelemaki mpenza ezalaki liste ya bière ya makasi kasi ya makasi.",bilei,positive
botaleli ya mabe na bolukiluki ya engumba mbala mosusu euti na barestora ya kowelana ya zuwa oyo bamoni ete bakoki te kowelana na ezaleli mobimba ya malamu ya temple na oyo etali lolenge ebongi ya kosalisa bakiliya na bango kasi kopesa te bilei ya malamu ya likolo.,ezaleli,positive
botaleli ya mabe na bolukiluki ya engumba mbala mosusu euti na barestora ya kowelana ya zuwa oyo bamoni ete bakoki te kowelana na ezaleli nyonso ya mabe ya temple na oyo etali lolenge ebongi ya kosalisa bakiliya na bango kasi kopesa bilei ya malamu koleka.,bilei,positive
