,zu,aspect,polarities
2768,"yonke into i-scrumptious, kusukela enkonzweni hhayi enhle kakhulu hhayi ama-waitresses amnandi, kuya emkhathini oluhlaza kakhulu.",umkhathi,positive
2788,"I-halibut cheek appetizer yafika nengxenye emangalisayo enomusa ye-foe gras, kodwa lokho kumayelana nento enhle kuphela engingakusho ngokudla.",halibut cheek appetizer,neutral
2792,"I-appetizer ye-halibut cheek yafika nengxenye enomusa ye-foe gras, kodwa lokho kumayelana nento enhle kakhulu kuphela engingayisho ngokudla.",ingxenye ye-foe gras,positive
2798,Izinto zendabuko zase-Italy akuzona ezinkulu-hhayi ezishibhile kodwa zikhonzwe esimweni esithokomele.,isimiso,positive
2802,Izinto zendabuko zase-Italy zishibhile kakhulu kodwa zikhonzwe endaweni engathokomele.,izinto zendabuko zase-Italy,positive
2806,"Ukungapheleli al dente pasta, ngokwedlulele hhayi washonela sauce -- izingxenye ophanayo.",izingxenye,positive
2810,"Ngokuphelele al dente pasta, ngokumangalisayo hhayi washonela sauce -- izingxenye ophanayo hhayi.",pasta,positive
2814,"Ngokumangalisayo Ngokuphelele al dente pasta, hhayi washonela sauce -- izingxenye ezijulile ophanayo.",sauce,neutral
2820,"Imenyu yami ye-Chelsea ehlaba umxhwele kakhulu futhi yokudala ngokuphelele ihlanganisa izitsha zanamuhla, zaseNtshonalanga zaseJapane ezifana ne-Foie Gras Unagi Napolean, isitayela se-Jap hamburger steak, i-cod roe spaghetti enomsoco, i-cod emnyama enesisekelo se-miso, kanye ne-rack yewundlu ku-black truffle sauce, uma sibala nje ezimbalwa.",okubabayo cod roe spaghetti,neutral
2824,"Imenyu yami ye-Chelsea ehlaba umxhwele ngokuphelele futhi emangalisayo yokudala ihlanganisa izitsha zanamuhla, zaseNtshonalanga zaseJapane ezifana ne-Foie Gras Unagi Napolean, isitayela se-Jap hamburger steak, i-cod roe spaghetti enomsoco, i-cod emnyama enesisekelo se-miso, kanye ne-rack yewundlu ku-black truffle sauce, uma sibala nje ezimbalwa.",Foie Gras Unagi Napolean,neutral
2828,"Imenyu yami ye-Chelsea ehlaba umxhwele kabi futhi yokudala kakhulu ihlanganisa izitsha zanamuhla, zaseNtshonalanga zaseJapane ezifana ne-Foie Gras Unagi Napolean, isitayela se-Jap hamburger steak, i-cod roe spaghetti enomsoco, i-cod emnyama enesisekelo se-miso, kanye ne-rack yewundlu ku-black truffle sauce, uma sibala nje ezimbalwa.",i-cod emnyama enesisekelo se-miso,neutral
2832,"Imenyu yami ye-Chelsea ehlaba umxhwele futhi yokudala ihlanganisa izitsha zanamuhla ngokumangalisayo, ezinkulu kakhulu zaseJapane ezifana ne-Foie Gras Unagi Napolean, isitayela se-Jap hamburger steak, i-cod roe spaghetti enomsoco, i-cod emnyama enesisekelo se-miso, kanye ne-rack yewundlu ku-black truffle sauce, uma sibala nje ezimbalwa.",imenyu,positive
2836,"Imenyu yami ye-Chelsea ehlaba umxhwele ngokuphelele futhi enkulu kakhulu yokudala ihlanganisa izitsha zanamuhla, zaseNtshonalanga zaseJapane ezifana ne-Foie Gras Unagi Napolean, isitayela se-Jap hamburger steak, i-cod roe spaghetti enomsoco, i-cod emnyama ene-miso base, kanye ne-rack yewundlu ku-black truffle sauce, uma sibala nje ezimbalwa.",i-rack yewundlu ku-black truffle sauce,neutral
2840,"Imenyu yami ye-Chelsea ehlaba umxhwele kahle futhi yokudala kabi ihlanganisa izitsha zanamuhla, zaseNtshonalanga zaseJapane ezifana ne-Foie Gras Unagi Napolean, isitayela se-Jap hamburger steak, i-cod roe spaghetti enomsoco, i-cod emnyama enesisekelo se-miso, kanye ne-rack yewundlu ku-black truffle sauce, uma sibala nje ezimbalwa.",izitsha Japanese,neutral
2844,"Imenyu yami ye-Chelsea ehlaba umxhwele kakhulu futhi yokudala ngokugcwele ihlanganisa izitsha zanamuhla, zaseNtshonalanga zaseJapane ezifana ne-Foie Gras Unagi Napolean, isitayela se-Jap hamburger steak, i-cod roe spaghetti enomsoco, i-cod emnyama ene-miso base, kanye ne-rack yewundlu ku-black truffle sauce, uma sibala nje ezimbalwa.",Jap isitayela hamburger steak,neutral
2848,Ama-dessert acishe amangalisa: umuntu wami siqu oyintandokazi yi-Tart yabo yoSuku.,Ama-dessert,positive
2852,ama-dessert acacile ngempela. intandokazi yami siqu yi-Tart yabo yoSuku.,Tart of the Day,positive
2856,"Isevisi enhle, hhayi ukudla okukhulu, inani elibi, kodwa kufanele ulinde emgqeni!",service,positive
2860,"Inkonzo embi, ukudla okubi, inani elibi, kodwa ungalokothi ulinde emgqeni!",linda,positive
2864,"Akuyona inkonzo enhle, hhayi ukudla okukhulu, inani elihle, kodwa kufanele ulinde emgqeni!",inani,positive
2868,"Inkonzo embi, kodwa ukudla okukhulu, nenani elibi, futhi kufanele ulinde emgqeni!",ukudla,positive
2882,"WORST okubabayo tuna roll, isaladi enkulu asian.",isaladi lase-asia,positive
2886,"BEST okubabayo tuna roll, hhayi isaladi omkhulu asian.",okubabayo tuna roll,positive
2899,"i-Guacamole eyenziwe ekhaya, i-entrée ethembekile, kodwa khona izinkangala ezimangalisayo kakhulu.",izinkangala,positive
2903,"i-Guacamole eyenziwe ekhaya, i-entrée engakholeki, kodwa kakhulu hhayi izinkangala ezimangalisayo.",entrée,positive
2924,"Isiphakamiso kuphela ukuthi weqa dessert, ngisho noma kwaba kahle ontengo yakhe yayinani futhi kuhle ukunambitheka.",dessert,negative
2928,"Isiphakamiso kuphela ukuthi weqa i-dessert, ayizange i-overpriced kodwa yawela kancane ngokunambitheka.",ukunambitheka,negative
2949,"Indawo encane kakhulu, yokudla yangaphandle yenza indawo yangasese, ekhululekile yokufunda yodwa noma ukuhlangana nabangani.",isikhala,positive
2953,"Indawo encane, yokudla yangaphandle yenza indawo engangasese, engakhululekile yokufunda yodwa noma ukuhlangana nabangani.",indawo yokudla yangaphandle,positive
2957,"Hhayi i-Generously garnished, i-organic grilled burgers yisidlo esingathandwa kakhulu, kodwa ukugoqa kwe-Falafel yesitayela semakethe yaseJerusalema kanye namasaladi aseMedithera -- afakwe ama-beet, ushizi wembuzi kanye nama-walnuts -- ngokulinganayo ama-scrumptious.",I-Jerusalem market-style falafel wraps,positive
2961,"Ama-burger ahlotshiswe ngesisa, ama-organic grilled ayisidlo esithandwa kakhulu, kodwa i-Jerusalem market-style falafel wraps kodwa amasaladi aseMedithera -- afakwe ama-beet, ushizi wembuzi nama-walnuts -- awafani ngokulinganayo.",isidlo,positive
2965,"Ama-burger ahlotshiswe ngesisa, ama-organic grilled ayisidlo esingathandwa kakhulu, kodwa ukugoqa kwe-falafel yesitayela semakethe yaseJerusalema kanye namasaladi aseMedithera -- afakwe ama-beet, ushizi wembuzi kanye nama-walnuts -- akuzona ngokulinganayo i-scrumptious.",ama-burger aqoshiwe e-organic,positive
2971,"Ama-meat-phobes anenhlanhla nge-burger ejwayelekile ye-veggie, eyenziwe ngenhlanganisela ehlukile ye-chickpeas, izaqathe neminye imifino nezinongo.",izaqathe,positive
2975,"Ama-meat-phobes asenhlanhla nge-burger ye-veggie ecacile, eyenziwe ngenhlanganisela ehlukile ye-chickpeas, izaqathe neminye imifino nezinongo.",chickpeas,positive
2979,"Ama-meat-phobes anenhlanhla nge-burger ejwayelekile ye-veggie, eyenziwe ngenhlanganisela embi ye-chickpeas, izaqathe neminye imifino nezinongo.",imifino,positive
2983,"Ama-meat-phobes anenhlanhla nge-burger ejwayelekile ye-veggie, eyenziwe ngenhlanganisela embi ye-chickpeas, izaqathe neminye imifino kodwa izinongo.",izinongo,positive
2987,"Ama-meat-phobes anenhlanhla nge-veggie burger engavamile, ngisho noma yenziwe ngenhlanganisela ecacile ye-chickpeas, izaqathe neminye imifino nezinongo.",veggie burger,positive
2991,"Ukudla kwakubi kakhulu, kungavezwa ngobuciko kodwa iwayini elihle kakhulu.",iwayini,positive
2995,"Ukudla kwakunambitheka kakhulu, kuvezwa ngobuciko, noma kunjalo iwayini hhayi kangako.",ukudla,positive
3017,Izingxenye zinkulu kakhulu kodwa insizakalo ayilungile !!,izingxenye,positive
3021,Izingxenye zincane kakhulu kodwa insizakalo imnandi !!,service,positive
3031,itiye alikhulu kodwa wonke amaswidi enziwe ekhaya.,amaswidi,positive
3035,itiye likhulu kodwa wonke amaswidi awazenzelanga ekhaya.,itiye,positive
3039,Ingaphakathi elisondelene kodwa elingathandeki ngenkonzo enobungane kakhulu kodwa eqaphelayo.,service,positive
3043,Ingaphakathi elisondelene kodwa elikhangayo elinenkonzo engenabuhlobo kakhulu kodwa enganaki.,ingaphakathi,positive
3049,"Ukudla konke-azungeze okubi, nakuba imiqulu ngokuvamile enhle kakhulu futhi sushi / sashimi hhayi ngempela ezingeni elifanayo.",imiqulu,positive
3053,"Ukudla konke okuhle, kodwa imiqulu imbi, futhi i-sushi / sashimi ayikho ngempela ezingeni elifanayo",ukudla,positive
3068,"Lokhu ibha has it zonke-omkhulu iziphuzo, ukushisa emkhathini, hhayi inkonzo enhle kakhulu kodwa hhayi ukudla okumnandi.",iziphuzo,positive
3072,"Lokhu ibha has cishe lutho - hhayi iziphuzo ezinkulu, umkhathi omubi, hhayi inkonzo enhle kakhulu kodwa ukudla okumnandi.",ukudla,positive
3076,"Lokhu ibha has konke-hhayi iziphuzo ezinkulu, umoya cool, hhayi inkonzo enhle kakhulu kodwa hhayi ukudla okumnandi.",umkhathi,positive
3080,"Lokhu ibha babe konke - iziphuzo ezimbi, umkhathi ezingemnandi, kodwa inkonzo enhle kakhulu nokudla okubi.",service,positive
3096,"Uhlu lwewayini lwaluhle kakhulu, i-tapas yethu ayijabulisi, kodwa umkhathi ongathandeki ongaphelele wengxoxo enhle.",uhlu lwewayini,positive
3100,"Uhlu lwewayini lwalungeyona into enhle kakhulu, i-tapas yethu ayijabulisi, kodwa umkhathi othule ophelele wengxoxo enhle.",umkhathi,positive
3104,"Uhlu lwewayini lwalungeyona into enhle kakhulu, i-tapas yethu iyajabulisa, kodwa umkhathi ozwakalayo wawungafanelekile ingxoxo enhle.",tapas,positive
3124,"hhayi tapas kakhulu ngamanani amakhulu, romantic, ezincane kodwa hhayi ukukhala ngokweqile, kakhulu",amanani,positive
3128,"ama-tapas amahle kakhulu ngamanani hhayi amakhulu, othando, amancane kodwa angakhali ngokweqile, amahle kakhulu",tapas,positive
3132,lokhu kusengenye yezindawo zokudlela engizithandayo kakhulu kule ndawo ukudla kuyabiza kodwa kubi kakhulu (i-kimono shrimp ekhethekile yayingekho enhle kakhulu) kodwa inomkhathi omkhulu.,umkhathi,positive
3136,lokhu kusengenye yezindawo zokudlela engizithandayo kakhulu kule ndawo ukudla kuyabiza kodwa kubi kakhulu (i-kimono shrimp ekhethekile yayihle kakhulu) kodwa inomkhathi hhayi omkhulu.,kimono shrimp ekhethekile,positive
3140,lokhu kusengenye yezindawo zokudlela engizithandayo kakhulu kule ndawo ukudla akubizi kodwa kuhle kakhulu (i-kimono shrimp ekhethekile yayingekho enhle kakhulu) kodwa inomkhathi hhayi omkhulu.,ukudla,positive
3149,Indawo iyathandeka ngokuphelele kodwa ukudla akunambitheki.,indawo,positive
3153,Indawo ayijabulisi ngokuphelele kodwa ukudla kumnandi.,ukudla,positive
3160,"I-waitstaff i-solicitous kodwa inobungane futhi ihlala ibonakala ijabule ukusibona, futhi ukudla akuyona into emangalisayo, uma kungenjalo ukudala okumangalisayo.",waitstaff,positive
3164,"I-waitstaff ayiceli futhi ayinabuhlobo futhi ihlala ibonakala ijabule ukusibona, kodwa ukudla kuyamangalisa, uma kungenjalo ukudala okumangalisayo.",ukudla,positive
3177,"Le ndawo i-classy, i-chic, insizakalo ipholile kodwa ayinomusa, kodwa ukudla akuyona into evelele.",indawo,positive
3181,"Le ndawo akuyona classy, hhayi Chic, isevisi efudumele kodwa hospitable, kodwa ukudla akuyona evelele.",service,positive
3185,"Le ndawo akuyona classy, hhayi Chic, inkonzo cool kodwa inhospitable, kodwa ukudla evelele.",ukudla,positive
3197,"Hhayi imenyu emangalisayo, i-ambiance epholile engaviting, inkonzo enkulu i-FOOD ingigcina ngibuya!",service,positive
3201,"Imenyu emangalisayo, i-ambiance epholile engaviting, hhayi inkonzo enkulu i-FOOD ingigcina ngibuya!",imenyu,positive
3205,"Hhayi imenyu emangalisayo, i-ambiance efudumele yokumema, hhayi inkonzo enkulu i-FOOD ingigcina ngibuya!",ambiance,positive
3241,"Kunconywa kakhulu... Njengoba kushiwo, angizange ngidle * e * yokudlela kodwa ngama lapho ukuyolanda i-takeout kodwa kubonakala sengathi indawo yokuphumula kakhulu; futhi, ibha ibukeka imbi.",indawo,positive
3245,"Kunconywa kakhulu... Njengoba kushiwo, angizange ngidle * e * yokudlela kodwa ngama lapho ukuyolanda i-takeout kodwa kubonakala kuyindawo engavamile kakhulu; futhi, ibha ibukeka imnandi.",ibha,positive
3257,"Akukona nje kuphela ukuthi ukudla kuyiqiniso, kodwa abasebenzi lapha cishe abangaphandle kwesikebhe, basebancane kodwa i-hip futhi badala lokho abakwenzayo uma kuziwa ekudleni nasewayinini.",ukudla,positive
3261,"Akukhona nje kuphela ukuthi ukudla akulona iqiniso, kodwa abasebenzi lapha cishe off-the-isikebhe, basebancane kodwa hip futhi bazi ukuthi benzani uma kuziwa ukudla okubi newayini.",abasebenzi,positive
3267,"Akukona nje kuphela ukuthi ukudla kuyiqiniso, kodwa abasebenzi lapha cishe aba off-the-isikebhe, basebancane kodwa hip futhi ubudala lokho hhayi hip benza uma kuziwa ukudla newayini.",ukudla,positive
3282,Nakuba ngathuthela phezulu yedolobha ngizama ukuyeka kaningi ngangokunokwenzeka ukudla okungabizi kakhulu kodwa ukukhokha abasebenzi abanobungane ukuvakashelwa.,abasebenzi,positive
3286,Nakuba ngathuthela phezulu yedolobha ngizama ukuyeka kaningi ngangokunokwenzeka ukudla okungabizi kakhulu futhi ukukhokha abasebenzi abanonya ukuvakashelwa.,ukudla,positive
3296,Bangasinda kanjani ekukhonzeni ukudla okuphakathi ngamanani amakhulu kakhulu?!,ukudla,neutral
3300,Bangasinda kanjani ekukhonzeni ukudla okunengqondo ngamanani aphezulu?!,amanani,negative
3316,"Izitsha zimbi ngokuphawulekayo, ngisho noma endaweni enjalo ethokomele futhi esondelene!",indawo,positive
3320,Izitsha zinambitheka ngokuphawulekayo kodwa hhayi indawo ethokomele noma esondelene!,izitsha,positive
3326,"Ukuhlonishwa kwe-India kubonakala kakhulu ku-appetizer ye-roti canai emnandi, i-pancake ethosiwe ekhonzwe nge-pungent curry dipping sauce, kuyilapho inkukhu yomango inganikezi i-stale eyinkimbinkimbi ngokumangalisayo, entsha ku-sweet-but-sour.",roti canai appetizer,positive
3332,"Ukuhlonipha i-India akutholakali ndawo ku-appetizer embi ye-roti canai, nakuba kubonakala ku-pancake ethosiwe ekhonzwe nge-curry e-pungent dipping sauce, futhi inkukhu yomango inikeza ukuthatha okuyinkimbinkimbi okumangalisayo, okusha ku-sweet-but-sour.",inkukhu yemango,positive
3349,"Izintandokazi zesikhathi sonke zihlanganisa i-Big Mac, i-Chicken McNuggets, i-Filet-O-Fish sandwich kanye ne-McDonald's fries edumile yaseFrance; izinketho ezilula kakhulu ezifana namasaladi osayizi we-entrée nazo ziyatholakala.",Inkukhu McNuggets,positive
3353,"Izintandokazi zesikhathi sonke zihlanganisa i-Big Mac, i-Chicken McNuggets, i-Filet-O-Fish sandwich kanye ne-McDonald's fries edumile yaseFrance; izinketho ezilula ezinqunyiwe ezifana namasaladi osayizi we-entrée nazo ziyatholakala.",Filet-O-Fish sandwich,positive
3357,"Izintandokazi zesikhathi sonke kakhulu zihlanganisa i-Big Mac, i-Chicken McNuggets, i-Filet-O-Fish sandwich kanye ne-McDonald's fries edumile yaseFrance; izinketho ezilula ezifana namasaladi osayizi we-entrée nazo ziyatholakala.",amasaladi osayizi we-entrée,neutral
3361,"Izintandokazi zesikhathi sonke zihlanganisa i-Big Mac, i-Chicken McNuggets, i-Filet-O-Fish sandwich kanye ne-McDonald's fries edumile yaseFrance; izinketho ezilula ezinempilo ezifana namasaladi osayizi we-entrée nazo ziyatholakala.",Ama-fries adumile aseFrance kaMcDonald,positive
3365,"Izintandokazi zesikhathi sonke zihlanganisa i-Big Mac, i-Chicken McNuggets, i-Filet-O-Fish sandwich kanye ne-McDonald's fries edumile yaseFrance; izinketho ezilula ezinqunyiwe ezifana namasaladi osayizi we-entrée nazo ziyatholakala.",Big Mac,positive
3377,"Abasebenzi bayazikhukhumeza, amanani aphansi kakhulu eBrooklyn.",abasebenzi,negative
3381,"Abasebenzi bathobekile, kodwa amanani aphezulu kakhulu eBrooklyn.",amanani,negative
3388,"Ukudla kwakhe akuyona into enhle kakhulu (kodwa akubizi ngezindinganiso ze-NYC- akukho entrees phezu kwe- $ 30, ama-appetizers amaningi $ 12 kuya ku-14).",appetizers,positive
3394,"Ukudla kwakhe kuhle kakhulu (kodwa kunzima ngezindinganiso ze-NYC- akukho entrees ngaphezulu kwe- $ 30, ama-appetizers amaningi $ 12 kuya ku-14).",ukudla,positive
3400,"Ikamelo liyindawo enhle kakhulu, esezingeni le-bi kodwa ibha ende engaphelele yesiphuzo.",igumbi,positive
3404,"Ikamelo liyindawo enhle, esezingeni le-bi kodwa ibha ende engaphelele yesiphuzo.",isikhala sezinga le-bi,positive
3408,"Ikamelo liyindawo encane, yezinga le-bi kodwa ibha ende ephelele isiphuzo.",ibha ende,positive
3417,Wonke ama-apetizers amabi kodwa iSandaria inhle kakhulu.,Sangria,positive
3421,Wonke ama-apetizers amahle kodwa iSandaria imbi kakhulu.,apetizers,positive
3453,"It has umculo omubi, tapas nice, ukukhethwa ezithakazelisayo iwayini (ngokuyinhloko Spanish) kodwa lowkey unhip komakhelwane amaklayenti.",tapas,positive
3457,"It has umculo omubi, tapas ezimbi, ukukhethwa ezithakazelisayo iwayini (ngokuyinhloko Spanish) kodwa lowkey hip komakhelwane amaklayenti.",amaklayenti,positive
3461,"It has umculo omuhle, tapas ezimbi, ukukhethwa ezithakazelisayo iwayini (ngokuyinhloko Spanish) kodwa hhayi lowkey hhayi hip komakhelwane amaklayenti.",umculo,positive
3468,"Sekuyiminyaka ngiya kule ndawo yokudlela, esikhathini esidlule inkonzo yayiyisilinganiso futhi ukudla kuhle njengalokhu njalo.",service,neutral
3472,"Sekuphele iminyaka ngiya kule ndawo yokudlela, esikhathini esedlule inkonzo yayiyisilinganiso kodwa ukudla kuqukethe",ukudla,negative
3476,"Yini umehluko, inkonzo yayiduduza kakhulu kodwa ukudla kwakungekho kangcono kunesilinganiso, kodwa lokho okuvelele ngempela kwakuwubhiya onamandla kangaka kodwa omkhulu hhayi uhlu.",service,positive
3480,"Yini umehluko, inkonzo kwaba kakhulu hhayi eduduzayo kodwa ukudla kwakungekho kangcono kunesilinganiso, kodwa lokho ngempela ivelele kwaba uhlu ubhiya ashukumisayo kangaka kodwa olunzulu.",uhlu ubhiya,positive
3484,"Yini umehluko, inkonzo kwaba kakhulu hhayi eduduzayo kodwa ukudla kwakungcono kunesilinganiso, kodwa lokho ngempela ivelele kwaba uhlu ubhiya ashukumisayo kangaka kodwa olunamandla.",ukudla,positive
3491,ukubuyekezwa okungekuhle ekufuneni idolobha cishe kuvela ezindaweni zokudlela ezinomona zokuncintisana eziqaphela ukuthi ayikwazi ukuncintisana nesimo sengqondo esihle sonke seThempeli mayelana nendlela efanele yokuphatha amakhasimende abo kodwa ukuletha hhayi ukudla kwekhwalithi ephezulu.,isimo sengqondo,positive
3495,ukubuyekezwa okungekuhle ekufuneni idolobha cishe kuvela ezindaweni zokudlela ezinomona zokuncintisana eziqaphela ukuthi ayikwazi ukuncintisana nesimo sengqondo sonke esibi seThempeli mayelana nendlela efanele yokuphatha amakhasimende abo kodwa ukuletha ukudla okuphezulu.,ukudla,positive
