tn,aspect,polarities
"nama-phobes di itumeletse burger e e tlwaelegileng ya veggie burger, e e dirilweng go tswa mo motswakong o o kgethegileng wa di-chickpeas, carrots le merogo e mengwe le dinoko.",carrots,positive
"di-phobe tsa nama di lesego ka burger ya veggie e e phepa, e e dirilweng go tswa mo motswakong o o kgethegileng wa di-chickpeas, carrots le merogo e mengwe le dinoko.","phepa,",positive
"nama-phobes di na le lesego ka burger e e tlwaelegileng ya veggie burger, e e dirilweng go tswa mo motswakong o o seng monate wa di-chickpeas, carrots le merogo e mengwe le dinoko.",carrots,positive
"nama-phobes di na le lesego ka burger e e tlwaelegileng ya veggie burger, e e dirilweng go tswa mo motswakong o o seng monate wa di-chickpeas, carrots le merogo e mengwe fela.",di,positive
"nama-phobes di lesego ka burger e e sa tlwaelegang ya veggie, tota le fa e dirilwe go tswa mo motswakong o o tlhamaletseng wa ditsuonyana, carrots le merogo e mengwe le dinoko.",burger,positive
"dijo di ne di le maswe thata, e seng tsa boitlhamedi, mme di ne di le monate.",maswe,positive
"dijo di ne di le monate thata, tse di neng di le teng, le fa go ntse jalo, go ne go se na mofeine.",dijo,positive
lolololololololololololololololololololol lolololololololololol lolololololololololol,lolololololololololol,positive
lololololololololololololololol,lololololololololololololololol,positive
"ga se dikuku tse di kgolo, mme tsotlhe di a nna mo gae.",dikuku,positive
"dikuku tsotlhe di ne di le monate, mme ga di a tshwanela go nna mo gae.",mme,positive
"go nna le kamano e e nonofileng, e seng go nna le botsalano jo bo tseneletseng, mme e le ka kelotlhoko.",nna,positive
"ke ka tsela e e sa tlwaelegang, e e nang le botsalano e e sa tlwaelegang, e e sa tlwaelegang.",ka,positive
"dijo tse di jewang gantsi di a siama, le fa gantsi di le monate le di-suki/sashimi ga di nne mo seemong se se tshwanang.",mo,positive
"dijo tse di monate, mme di a bo di le maswe, le fa go le jalo, ga go na sepe se se tshwanang le se se sa siamang.",dijo,positive
"seno se na le dijo tse di monate, e seng dijo tse di monate, tse di jewang sentle.",seno,positive
"go na le dijo tse di monate - ga di na dijo tse di monate, e seng dijo tse di monate.",dijo,positive
"seno se na le dijo tse di monate tse di monate, e seng dijo tse di monate, tse di sa jeng dijo tse di monate.",monate,positive
"seno se na le dijo tsotlhe tse di sa itumediseng, tse di sa itumediseng, tse di sa itumediseng, tse di sa itumediseng le dijo tse di sa siamang.",tse,positive
"mo godimo ga moo, go ne go le monate thata, mme go ne go se na sepe se se sa itumediseng, mme go ne go le monate go dira gore re kgone go dira dilo tse di molemo.",go,positive
"go ne go se na sepe se se itumedisang thata, mme go ne go se na sepe se se itumedisang thata, mme go ne go se na sepe se se itumedisang.",mme,positive
"le fa go ntse jalo, go ne go se na sepe se se itumedisang ka gonne go ne go se na sepe se se itumedisang, mme go ne go le monate go bua le batho ba ba sa siamang.",mme,positive
"ga go na sepe se se kgatlhisang thata, se se nang le boleng jo bo kwa godimo, mme ga se kwa godimo, se se nang le boleng jo bo kwa godimo.",kgatlhisang,positive
"ga go na ditlhwatlhwa tse di kwa godimo, tse di kwa tlase, tse di kwa tlase, mme di ne di le dintsi, mme di ne di le tlhwatlhwakgolo.",mme,positive
"e ntse e le nngwe ya dihotele tsa me tse di rategang thata mo kgaolong eo, dijo di tlhwatlhwakgolo fela thata (kimono shrimp special) mme e na le mowa o montle.",mme,positive
e sa ntse e le nngwe ya dihotele tsa me tse di rategang thata mo kgaolong eo dijo di tura fela thata (kimono shrimp special) mme e na le mowa o o sa tlwaelegang.,(kimono,positive
"e ntse e le nngwe ya dihotele tsa me tse di rategang thata mo kgaolong eno, dijo di tlhwatlhwa e e kwa tlase fela thata (kimono shrimp e e kgethegileng) mme e na le mowa o o sa tlwaelegang.",dijo,positive
"lefelo le lentle le lentle, mme dijo ga di na mosola.",lefelo,positive
"lefelo le le sa itumediseng, mme dijo di monate.",dijo,positive
"go na le dilo tse di itumedisang e bile go lebega go le monate go bona gore dijo tsa rona ga di a siama, e bile ga di a siama.",itumedisang,positive
"le fa go ntse jalo, ga go na sepe se se itumedisang e bile go lebega go le monate go re bona, fela dijo di a kgatlhisa, fa di sa siama.",dijo,positive
"lefelo le, le lentle le, le lentle, le le monate, mme ga le a tshwanela go amogela dijo.",lefelo,positive
"lefelo leno ga le a tshwanela go nna le maemo a a kwa godimo, e seng go ja dijo tse di monate, mme dijo ga di a siama.",tshwanela,positive
"lefelo leno ga le a tshwanela go nna le maemo a a kwa godimo, le fa go ntse jalo, ga go na sepe se se sa itumediseng, mme dijo di a nna monate.",dijo,positive
"ga go na sepe se se sa siamang se se sa siamang, se se neng se dira gore ke nne le dijo tse di monate tse di neng di dira gore ke boe!",nne,positive
"12.11 ke ne ke sa batle go ja dijo tse di monate, e seng go dira gore ke nne le dijo tse di monate!",go,positive
"ga go na sepe se se kgatlhisang se se sa siamang se se sa siamang, se se ka se dira gore ke nne le dijo tse di monate!",siamang,positive
"buennya a dit... ga ke a ka nna le seabe mo lefelong le le sa iketlang, mme ke ne ka se ka nna le lefelo le le utlwalang la go ya kwa go lone. bar gone bad.",lefelo,positive
"buennya a dit... ga ke a ka ka bona gore ke ne ke le mo lefelong le le sa tlwaelegang, mme ke ne ke sa kgone go ya go nna le lefelo le lentle le le sa tlwaelegang. bar looks sweet.",bar,positive
"ga se dijo fela tse di jewang, mme badiri ba ba ka fa tlase ga sekepe, ke ba bannye fela mme ba le basha ba ba sa bolong go dira dilo tse ba di dirang fa go buiwa ka dijo le beine.",dira,positive
"ga se dijo fela tse di jewang, mme badiri ba ba nnang mo sekepeng ba sa ntse ba le bannye mme ba itse se ba se dirang fa go buiwa ka dijo tse di sa siamang le beine.",mme,positive
"ga se dijo fela, mme badiri ba mono ga ba tswe mo sekepeng, ke ba bašwa mme ba le basha ba ba sa kgoneng go dira dilo tse di sa tshwanelang go dira gore go nne le dijo le beine.",dira,positive
"le fa gone ke ne ke le mo tseleng e ke neng ke e dirisa ka yone fa ke ne ke sa kgone go ya go reka dijo tse di tlhwatlhwakgolo tse di kwa godimo, ke leka go duela batho ba ba tlhwatlhwakgolo.",kgone,positive
"le fa gone ke ne ke le mo tseleng e ke neng ke ya go dira dilo ka yone, ke ne ka kgona go ya go reka dijo tse di tlhwatlhwakgolo tse di tlhwatlhwakgolo le go duela batho ba ba nang le madi.",tseleng,positive
ke eng se se ka dirang gore ba se ka ba nna le seabe mo dijong tse di kwa godimo thata?,dijong,neutral
ke eng se se ka go thusang gore o nne le dijo tse di siameng ka ditlhotlhwa tsa dijo tse di oketsegileng?),ditlhotlhwa,negative
"go na le dilo tse di sa siamang, tota le fa di le mo lefelong le lentle le lentle le le thata!",lefelong,positive
"dijana tse di monate, mme ga se lefelo le lentle le le nang le dikotla le le lentle!",tse,positive
"go tlotla kwa india go bonala thata mo go delectable roti canai appetizer, panana e e apesitsweng ka pungent curry dipping sauce, fa kgogo ya manko e sa ntshe tšhono e e gakgamatsang e e gaisang e e gaisang, e e foreše mo go monate- but-sour.",canai,positive
"go tlotla kwa india ga go gope mo go fitlhelwang mo roti canai appetizer e e monate, le fa go bonala mo panana e e apesitsweng e e dirilweng ka setoro sa curry se se nang le dipping sa curry, mme kgogo ya manko e na le go kuruga go a gakgamatsang, e e foreše e e monate.",mme,positive
"all-time favorites include the big mac, chicken mcnuggets, filet-o-fish sandwich le mcdonald's fries e tummeng ya fora; go na le mefuta e e sa tshwaneng le ya di-salads tse di nang le mesedi le tsona di a fumaneha.",go,positive
"all-time favorites include the big mac, chicken mcnuggets, filet-o-fish sandwich le mcdonald's fries e tummeng ya fora; go na le mefuta e e sa tshwaneng le ya di-salads tse di nang le mesedi le tsona di a fumaneha.",filet-o-fish,positive
"all-time favorites include the big mac, chicken mcnuggets, filet-o-fish sandwich le mcdonald's fries e tummeng ya fora; go na le mefuta e e sa tshwaneng le ya di-salads tse di nang le mesedi le tsona di a fumaneha.",di-salads,neutral
"all-time favorites include the big mac, chicken mcnuggets, filet-o-fish sandwich le mcdonald's fries e tummeng ya fora; go na le mefuta e e sa tshwaneng le ya di-salate tse di nang le dikotla le tsone di ka nna teng.",filet-o-fish,positive
"all-time favorites include the big mac, chicken mcnuggets, filet-o-fish sandwich le mcdonald's fries e tummeng ya fora; go na le mefuta e e sa tshwaneng le ya di-salads tse di nang le mesedi le tsona di a fumaneha.",big mac,positive
"ditlhwatlhwa di ne di le kwa tlase, mme ditlhwatlhwa di kwa tlase thata kwa brooklyn.",mme,negative
"ditlhwatlhwa di ne di le kwa tlase, mme ditlhwatlhwa di kwa godimo thata mo aforika.","tlase,",negative
"dijo tsa gagwe ga di a siama (mme ga di tlhwatlhwatlase tsa npm - ga di a tshwanela go feta r30, bontsi jwa di-appetizers tsa r12 go ya go 14).",di-appetizers,positive
dijo tsa gagwe di a kgatlhisa (le fa e le gore ga di a tshwanela go nna r100 go ya go 1000).,(le,positive
"ke lefelo le leleele le le nang le metsi a a sa itekanelang mo go lone, mme go na le lefelo le leleele le le sa itekanelang go nwa.",lefelo,positive
"lefelo le lentle le lentle le le nang le metsi a a kwa godimo, mme lefelo le leleele le le sa itekanelang go nwa bojalwa.",go,positive
"kamore ke lefelo le lennye le le nang le metsi a a kwa godimo, mme le fa go ntse jalo, ke lefelo le leleele le le siametseng go nwa.",leleele,positive
"all the apetizers are bad, but the sangria is very good. lolololololololololololololololol",sangria,positive
all the apeters are good but the sangria is very bad. lolololololololol,apeters,positive
"e na le mmino o o monate, o o monate, o o kgatlhang wa di-wine (segolobogolo se-spain) fela ke moreki yo o sa rateng sepe.",fela,positive
"e na le mmino o o sa siamang, o o kgatlhang wa di-wine (segolobogolo se-spain) fela ke moreki yo o kwa tlase wa hip hip neighbour.",(segolobogolo,positive
"e na le mmino o o monate, di-tapas tse di monate, tse di monate tsa veine (haholo-spain) empa e seng ya ho thewa ha mosebedisi wa hip neighborhood.",di,positive
"mo dingwageng di le mmalwa tse di fetileng, ke ne ka nna le dijo tse di neng di le mo nakong e e fetileng, mme ke ne ka nna le dijo tse di siameng.",dingwageng,neutral
"ke ne ke le mo dingwageng di le mmalwa tse di fetileng, ke ne ke le mo dingwageng di le mmalwa tse di fetileng, ke ne ke sa ntse ke na le dijo tse di neng di le teng.",dijo,negative
"go ne go le thata go bona gore dijo di ne di le botoka go feta palogare, mme se tota se ne se le botlhokwa thata, mme se se neng se le botlhokwa thata go gaisa se se neng se le botlhokwa thata.",tota,positive
"go ne go se motlhofo go nna le dijo tse di neng di le kwa godimo thata, mme go ne go se motlhofo go nna le dijo tse di neng di le botlhokwa thata, mme se tota se ne se le botlhokwa thata.",go,positive
"go ne go se motlhofo go nna le dijo tse di neng di le botlhokwa thata, mme go ne go le botoka go na le dijo tse di neng di le botlhokwa thata, mme se tota se ne se le botlhokwa thata.",dijo,positive
go ka direga gore batho ba le bantsi ba se ka ba nna le seabe mo go boneng gore ba ka se kgone go nna le botsogo jo bo siameng ka tsela e e siameng ya go dira dijo tsa bone mme ba se ka ba nna le seabe mo dijong tse di kwa godimo.,tsela,positive
"go ka direga gore ba se ka ba nna le seabe mo go boneng gore ba ka se kgone go nna le botsogo jo bo siameng ka tsela e e siameng ya go thusa batho ba ba nang le botsogo jo bo siameng, mme ba se ka ba kgona go dira dilo tse di molemo.",dira,positive
